Uretici_KOD,MARKA,Tanim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
248,Cabani,Cabani,47,,,,,,
252,Cabani,,48,,,,,,
257,Cabani,Cabani,49,,,,,,
262,Cabani,Cabani,50,,,,,,
265,Cabani,Cabani,51,,,,,,
267,Cabani,,52,,,,,,
268,Cabani,Cabani,53,,,,,,
269,Cabani,Cabani,54,,,,,,
271,Cabani,Cabani,55,,,,,,
274,Cabani,Cabani,56,,,,,,
275,Cabani,Cabani,57,,,,,,
276,Cabani,Cabani,58,,,,,,
280,Cabani,Cabani,59,,,,,,
281,Cabani,Cabani,60,,,,,,
283,Cabani,Cabani,61,,,,,,
284,Cabani,Cabani,62,,,,,,
286,Cabani,Cabani,63,,,,,,
288,Cabani,Cabani,64,,,,,,
2880,Cabani,Cabani,65,,,,,,
299,Cabani,Cabani,66,,,,,,
303,Gezer,Gezer,67,,,,,,
315,Cabani,Cabani,68,,,,,,
323,Rio-s,Rio-s,69,,,,,,
337,Cabani,Cabani,70,,,,,,
378,Cabani,Cabani,71,,,,,,
417,Cabani,Cabani,72,,,,,,
446,Cabani,Cabani,73,,,,,,
457,457,,74,,,,,,
457,Cabani,Cabani,75,,,,,,
459,Cabani,Cabani,76,,,,,,
460,Cabani,Cabani,77,,,,,,
461,Cabani,Cabani,78,,,,,,
462,Cabani,Cabani,79,,,,,,
463,Cabani,Cabani,80,,,,,,
469,Cabani,Cabani,81,,,,,,
469,Gamelu,Gamelu,82,,,,,,
469,Wildbull,Wildbull,83,,,,,,
470,Fonem,Fonem,84,,,,,,
471,Cabani,Cabani,85,,,,,,
474,Cabani,,86,,,,,,
476,Cabani,,87,,,,,,
477,Cabani,,88,,,,,,
478,Cabani,Cabani,89,,,,,,
479,Cabani,,90,,,,,,
480,Cabani,Cabani,91,,,,,,
481,Gripper,Gripper,92,,,,,,
481,Mekap,Mekap,93,,,,,,
482,Cabani,Cabani,94,,,,,,
483,Guja,Guja,95,,,,,,
484,Cabani,Cabani,96,,,,,,
484,CEOX,CEOX,97,,,,,,
485,Cabani,Cabani,98,,,,,,
486,Cabani,Cabani,99,,,,,,
487,Cabani,Cabani,100,,,,,,
488,Cabani,Cabani,101,,,,,,
489,Cabani,Cabani,102,,,,,,
490,Cabani,Cabani,103,,,,,,
491,Cabani,Cabani,104,,,,,,
491,Fabcare,Fabcare,105,,,,,,
492,Orion,Orion,106,,,,,,
493,NORS,NORS,107,,,,,,
494,Cabani,Cabani,108,,,,,,
495,Cabani,Cabani,109,,,,,,
496,Cabani,Cabani,110,,,,,,
497,Cabani,Cabani,111,,,,,,
498,Cabani,Cabani,112,,,,,,
499,Cabani,Cabani,113,,,,,,
500,Crunell,Crunell,114,,,,,,
501,Cabani,Cabani,115,,,,,,
502,Cabani,Cabani,116,,,,,,
503,Cabani,Cabani,117,,,,,,
504,PIENN,PIENN,118,,,,,,
505,Cabani,Cabani,119,,,,,,
506,Cabani,Cabani,120,,,,,,
507,Cabani,Cabani,121,,,,,,
508,Cabani,Cabani,122,,,,,,
509,Cabani,Cabani,123,,,,,,
510,Crunell,Crunell,124,,,,,,
511,Cabani,Cabani,125,,,,,,
512,Cabani,Cabani,126,,,,,,
513,Cabani,Cabani,127,,,,,,
514,Cabani,Cabani,128,,,,,,
515,Cabani,Cabani,129,,,,,,
516,Cabani,Cabani,130,,,,,,
517,Cabani,Cabani,131,,,,,,
518,Cabani,Cabani,132,,,,,,
519,Crunell,Crunell,133,,,,,,
520 ,Cabani,Cabani,134,,,,,,
521,Cabani,Cabani,135,,,,,,
522,Cabani,Cabani,136,,,,,,
523 ,Cabani,Cabani,137,,,,,,
524,Cabani,Cabani,138,,,,,,
525,Cabani,Cabani,139,,,,,,
526,Cabani,Cabani,140,,,,,,
527,Cabani,Cabani,141,,,,,,
528,Cabani,,142,,,,,,
528,Crunell,Crunell,143,,,,,,
529,Crunell,Crunell,144,,,,,,
530,Cabani,,145,,,,,,
531,Cabani,,146,,,,,,
532,Cabani,,147,,,,,,
533,Cabani,,148,,,,,,
534,Cabani,Cabani,149,,,,,,
535,Cabani,Cabani,150,,,,,,
53544535AF,DENEMECAHİT,DENEMECAHİT,191,CAHIT,2024-09-26 12:19:57.470000,KGShop,,,
536,Cabani,Cabani,151,,,,,,
537,MÇS,MÇS,152,,,,,,
538,Cabani,,153,,,,,,
539,Cabani,Cabani,154,,,,,,
540,Cabani,,155,,,,,,
541,Cabani,Cabani,156,,,,,,
542,Cabani,,157,,,,,,
543,Cabani,,158,,,,,,
544,Cabani,,159,,,,,,
545,Cabani,Cabani,160,,,,,,
546,Cabani,Cabani,161,,,,,,
547,Cabani,Cabani,162,,,,,,
548,Cabani,Cabani,163,,,,,,
549,Cabani,Cabani,164,,,,,,
550,Cabani,Cabani,165,,,,,,
551,Cabani,Cabani,166,,,,,,
552,Keen,Keen,167,,,,,,
553,Cabani,Cabani,168,,,,,,
554,Cabani,,169,,,,,,
555,Cabani,Cabani,170,,,,,,
557,Cabani,Cabani,171,,,,,,
558,Cabani,Cabani,172,,,,,,
559,Cabani,Cabani,173,,,,,,
560,Cabani,Cabani,174,,,,,,
561,Cabani,Cabani,175,,,,,,
562,Harrow,Harrow,176,,,,,,
563,Cabani,Cabani,177,,,,,,
565,Cabani,Cabani,178,,,,,,
566,Cabani,Cabani,179,,,,,,
567,Cabani,Cabani,180,,,,,,
Cabani,Cabani,,181,,,,,,
L001,Cabani,,182,,,,,,
Özdallar,Marcomen,Marcomen,186,SERKAN,2024-03-05 17:21:55.427000,KGShop,,,
Rino Kemer,Cabani,Cabani,183,,,,,,
Yekta,Cabani,,184,,,,,,
