SipNo,SipHarinx,Activid,Proses,Notu,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
139,541,4,17,,59,17,,,,,,
139,541,5,18,,60,18,,,,,,
139,541,6,03,,61,19,,,,,,
139,541,6,10,,62,19,,,,,,
139,542,0,20,,63,20,,,,,,
139,542,0,22,,64,20,,,,,,
139,542,0,24,,65,20,,,,,,
139,542,0,30,,66,20,,,,,,
139,542,7,02,,67,21,,,,,,
139,542,7,03,,68,21,,,,,,
139,542,7,05,,69,21,,,,,,
139,542,7,15,,70,21,,,,,,
139,542,7,17,,71,21,,,,,,
139,542,8,19,,72,22,,,,,,
139,543,0,20,,73,23,,,,,,
139,543,0,22,,74,23,,,,,,
139,543,0,24,,75,23,,,,,,
139,543,0,30,,76,23,,,,,,
139,543,9,02,,77,24,,,,,,
139,543,9,03,,78,24,,,,,,
139,543,9,15,,79,24,,,,,,
139,543,9,16,,80,24,,,,,,
139,543,9,17,,81,24,,,,,,
139,543,10,19,,82,25,,,,,,
140,544,0,20,,83,26,,,,,,
140,544,0,22,,84,26,,,,,,
140,544,0,24,,85,26,,,,,,
140,544,0,30,,86,26,,,,,,
141,545,0,20,,87,27,,,,,,
141,545,0,22,,88,27,,,,,,
141,545,0,26,,89,27,,,,,,
141,545,0,30,,90,27,,,,,,
1145,2035,0,20,,91,28,,,,,,
1145,2035,0,22,,92,28,,,,,,
1145,2035,0,24,,93,28,,,,,,
1145,2035,0,30,,94,28,,,,,,
1145,2035,1045,02,,95,29,,,,,,
1145,2035,1045,03,,96,29,,,,,,
1145,2035,1045,15,,97,29,,,,,,
1145,2035,1045,16,,98,29,,,,,,
1145,2035,1045,17,,99,29,,,,,,
1145,2035,1046,19,,100,30,,,,,,
1151,2057,0,20,,101,31,,,,,,
1151,2057,0,22,,102,31,,,,,,
1151,2057,0,24,,103,31,,,,,,
1151,2057,0,30,,104,31,,,,,,
1151,2057,1048,19,,105,33,,,,,,
1152,2058,0,20,,106,34,,,,,,
1152,2058,0,22,,107,34,,,,,,
1152,2058,0,24,,108,34,,,,,,
1152,2058,0,30,,109,34,,,,,,
1152,2058,1049,19,,110,35,,,,,,
1153,2059,0,20,,111,36,,,,,,
1153,2059,0,22,,112,36,,,,,,
1153,2059,0,24,,113,36,,,,,,
1153,2059,0,30,,114,36,,,,,,
1153,2059,1051,19,,115,38,,,,,,
1164,2078,0,20,,116,39,,,,,,
1164,2078,0,22,,117,39,,,,,,
1164,2078,0,26,,118,39,,,,,,
1164,2078,0,30,,119,39,,,,,,
1164,2078,1058,02,,120,40,,,,,,
1164,2078,1058,03,,121,40,,,,,,
1164,2078,1058,04,,122,40,,,,,,
1164,2078,1058,15,,123,40,,,,,,
1164,2078,1058,17,,124,40,,,,,,
1164,2078,1059,18,,125,41,,,,,,
1164,2078,1060,03,,126,42,,,,,,
1164,2078,1060,10,,127,42,,,,,,
1166,2080,0,20,,128,43,,,,,,
1166,2080,0,22,,129,43,,,,,,
1166,2080,0,24,,130,43,,,,,,
1166,2080,0,30,,131,43,,,,,,
1166,2080,1061,02,,132,44,,,,,,
1166,2080,1061,03,,133,44,,,,,,
1166,2080,1061,15,,134,44,,,,,,
1166,2080,1061,16,,135,44,,,,,,
1166,2080,1061,17,,136,44,,,,,,
1166,2080,1062,19,,137,45,,,,,,
1172,2086,0,20,,138,46,,,,,,
1172,2086,0,22,,139,46,,,,,,
1172,2086,0,24,,140,46,,,,,,
1172,2086,0,30,,141,46,,,,,,
1172,2086,1067,02,,142,47,,,,,,
1172,2086,1067,03,,143,47,,,,,,
1172,2086,1067,15,,144,47,,,,,,
1172,2086,1067,16,,145,47,,,,,,
1172,2086,1067,17,,146,47,,,,,,
1172,2086,1068,19,,147,48,,,,,,
1172,2086,1069,03,,148,49,,,,,,
1172,2086,1069,10,,149,49,,,,,,
1173,2087,0,20,,150,50,,,,,,
1173,2087,0,22,,151,50,,,,,,
1173,2087,0,24,,152,50,,,,,,
1173,2087,0,30,,153,50,,,,,,
1173,2087,1070,02,,154,51,,,,,,
1173,2087,1070,03,,155,51,,,,,,
1173,2087,1070,15,,156,51,,,,,,
1173,2087,1070,16,,157,51,,,,,,
1173,2087,1070,17,,158,51,,,,,,
1173,2087,1071,19,,159,52,,,,,,
1186,2118,0,20,,160,53,,,,,,
1186,2118,0,22,,161,53,,,,,,
1186,2118,0,26,,162,53,,,,,,
1186,2118,0,30,,163,53,,,,,,
1186,2118,1072,02,,164,54,,,,,,
1186,2118,1072,03,,165,54,,,,,,
1186,2118,1072,04,,166,54,,,,,,
1186,2118,1072,15,,167,54,,,,,,
1186,2118,1072,17,,168,54,,,,,,
1186,2118,1073,01,,169,55,,,,,,
1186,2118,1074,18,,170,56,,,,,,
1186,2118,1075,03,,171,57,,,,,,
1186,2118,1075,10,,172,57,,,,,,
1189,2121,0,20,,173,59,,,,,,
1189,2121,0,22,,174,59,,,,,,
1189,2121,0,24,,175,59,,,,,,
1189,2121,0,30,,176,59,,,,,,
1189,2121,1080,02,,177,60,,,,,,
1189,2121,1080,03,,178,60,,,,,,
1189,2121,1080,15,,179,60,,,,,,
1189,2121,1080,16,,180,60,,,,,,
1189,2121,1080,17,,181,60,,,,,,
1189,2121,1081,19,,182,61,,,,,,
13618,39043,0,02,,183,64,,,,,,
13618,39043,0,15,,184,64,,,,,,
13618,39043,0,19,,185,64,,,,,,
13618,39043,0,25,,186,64,,,,,,
13618,39043,0,30,,187,64,,,,,,
19472,60373,0,02,,188,69,OZKAN,2023-11-21 14:05:59.547000,,OZKAN,2023-11-21 14:06:29.330000,
19472,60373,0,15,,189,69,OZKAN,2023-11-21 14:05:59.557000,,OZKAN,2023-11-21 14:06:29.333000,
19472,60373,0,25,,190,69,OZKAN,2023-11-21 14:05:59.560000,,OZKAN,2023-11-21 14:06:29.333000,
19472,60373,0,29,,191,69,OZKAN,2023-11-21 14:05:59.567000,,OZKAN,2023-11-21 14:06:29.337000,
