BelgeNo,OkuTarih,OkuUN,kgid,insUN,insDT,insApp,updUN,updDT,updApp
5840,2021-02-19 15:41:02.557000,murat.gider,60,,,,,,
5871,2021-02-22 15:49:36.553000,murat.gider,61,,,,,,
5873,2021-02-22 16:51:02.170000,murat.gider,62,,,,,,
5874,2021-02-22 16:51:02.277000,murat.gider,63,,,,,,
5875,2021-02-22 16:51:02.357000,murat.gider,64,,,,,,
5876,2021-02-22 16:51:02.423000,murat.gider,65,,,,,,
5959,2021-03-01 08:55:08.527000,murat.gider,66,,,,,,
5965,2021-03-01 10:04:30.873000,murat.gider,67,,,,,,
7032,2021-03-04 09:52:19.750000,murat.gider,68,,,,,,
7066,2021-03-05 14:19:53.927000,murat.gider,69,,,,,,
7070,2021-03-05 14:50:42.233000,murat.gider,70,,,,,,
7080,2021-03-05 16:38:27.520000,murat.gider,71,,,,,,
7082,2021-03-05 16:39:54.927000,murat.gider,72,,,,,,
7084,2021-03-05 16:41:46.013000,murat.gider,73,,,,,,
7087,2021-03-08 07:25:15.673000,murat.gider,74,,,,,,
7089,2021-03-08 07:26:51.063000,murat.gider,75,,,,,,
7092,2021-03-08 08:35:30.463000,murat.gider,76,,,,,,
7094,2021-03-08 08:37:36.853000,murat.gider,77,,,,,,
7099,2021-03-08 11:11:19.307000,murat.gider,78,,,,,,
7121,2021-03-08 17:07:41.380000,murat.gider,79,,,,,,
7159,2021-03-11 11:46:24.820000,murat.gider,80,,,,,,
7186,2021-03-11 15:29:26.027000,murat.gider,81,,,,,,
7187,2021-03-11 15:29:26.100000,murat.gider,82,,,,,,
7189,2021-03-11 15:29:26.153000,murat.gider,83,,,,,,
7240,2021-03-15 08:12:21.477000,murat.gider,84,,,,,,
7258,2021-03-15 10:52:32.220000,murat.gider,85,,,,,,
7279,2021-03-15 16:28:46.163000,murat.gider,86,,,,,,
7280,2021-03-15 16:28:46.307000,murat.gider,87,,,,,,
7281,2021-03-15 16:28:46.363000,murat.gider,88,,,,,,
7282,2021-03-15 16:28:46.420000,murat.gider,89,,,,,,
7287,2021-03-15 16:29:36.480000,murat.gider,90,,,,,,
7336,2021-03-17 16:42:17.220000,murat.gider,91,,,,,,
7432,2021-03-23 12:49:37.853000,murat.gider,92,,,,,,
7487,2021-03-25 10:44:35.360000,murat.gider,93,,,,,,
7489,2021-03-25 10:58:09.117000,murat.gider,94,,,,,,
7505,2021-03-26 16:22:26.897000,murat.gider,95,,,,,,
7545,2021-03-26 16:22:09.953000,murat.gider,96,,,,,,
7561,2021-03-29 10:53:09.960000,murat.gider,97,,,,,,
7578,2021-03-29 15:18:28.320000,murat.gider,98,,,,,,
7585,2021-03-29 16:33:39.497000,murat.gider,99,,,,,,
7586,2021-03-29 16:33:39.553000,murat.gider,100,,,,,,
7620,2021-03-31 14:54:00.620000,murat.gider,101,,,,,,
7622,2021-03-31 14:57:06.010000,murat.gider,102,,,,,,
7631,2021-04-01 09:05:24.447000,murat.gider,103,,,,,,
7692,2021-04-05 11:39:23.543000,murat.gider,104,,,,,,
7750,2021-04-06 17:14:06.757000,murat.gider,105,,,,,,
7753,2021-04-07 07:43:41.530000,murat.gider,106,,,,,,
7757,2021-04-07 08:16:47.693000,murat.gider,107,,,,,,
7758,2021-04-07 08:16:47.637000,murat.gider,108,,,,,,
7762,2021-04-07 08:30:39.133000,murat.gider,109,,,,,,
7781,2021-04-07 15:20:36.863000,murat.gider,110,,,,,,
7795,2021-04-07 16:50:46.857000,murat.gider,111,,,,,,
7799,2021-04-07 17:06:45.463000,murat.gider,112,,,,,,
7804,2021-04-08 08:08:39.777000,murat.gider,113,,,,,,
7806,2021-04-08 08:09:16.800000,murat.gider,114,,,,,,
7812,2021-04-08 10:19:47.053000,murat.gider,115,,,,,,
7825,2021-04-08 14:15:30.723000,murat.gider,116,,,,,,
7834,2021-04-09 08:34:39.327000,murat.gider,117,,,,,,
7836,2021-04-09 08:41:57.593000,murat.gider,118,,,,,,
7838,2021-04-09 09:01:29.980000,murat.gider,119,,,,,,
7856,2021-04-13 14:21:47.977000,murat.gider,120,,,,,,
7857,2021-04-13 14:21:47.817000,murat.gider,121,,,,,,
7858,2021-04-13 14:21:25.770000,murat.gider,122,,,,,,
7908,2021-04-13 14:21:07.717000,murat.gider,123,,,,,,
7922,2021-04-14 08:17:50.827000,murat.gider,124,,,,,,
7926,2021-04-14 09:02:28.300000,murat.gider,125,,,,,,
7967,2021-04-15 16:16:34.177000,murat.gider,126,,,,,,
7992,2021-04-16 15:52:56.337000,murat.gider,127,,,,,,
8011,2021-04-19 13:15:11.777000,murat.gider,128,,,,,,
8033,2021-04-20 12:21:43.103000,murat.gider,129,,,,,,
8063,2021-04-21 10:13:27.600000,murat.gider,130,,,,,,
8097,2021-04-22 10:32:39.430000,murat.gider,131,,,,,,
8100,2021-04-22 10:35:18.163000,murat.gider,132,,,,,,
8102,2021-04-22 10:40:59.267000,murat.gider,133,,,,,,
8213,2021-04-28 09:20:02.260000,murat.gider,134,,,,,,
8265,2021-04-29 12:06:48.287000,murat.gider,135,,,,,,
8271,2021-04-29 13:13:46.750000,murat.gider,136,,,,,,
8273,2021-04-29 13:44:42.953000,murat.gider,137,,,,,,
8279,2021-04-29 14:31:42.957000,murat.gider,138,,,,,,
8287,2021-04-30 09:17:06.130000,murat.gider,139,,,,,,
8288,2021-04-30 09:17:06.270000,murat.gider,140,,,,,,
8289,2021-04-30 09:17:06.213000,murat.gider,141,,,,,,
8290,2021-04-30 09:17:06.333000,murat.gider,142,,,,,,
8291,2021-04-30 09:17:06.380000,murat.gider,143,,,,,,
8367,2021-05-06 10:39:38.300000,murat.gider,144,,,,,,
8373,2021-05-06 12:19:33.200000,murat.gider,145,,,,,,
8375,2021-05-06 13:51:15.660000,murat.gider,146,,,,,,
8427,2021-05-10 14:50:20.663000,murat.gider,147,,,,,,
8433,2021-05-10 15:42:06.003000,murat.gider,148,,,,,,
8488,2021-05-17 15:55:01.800000,murat.gider,149,,,,,,
8517,2021-05-20 10:35:40.950000,murat.gider,150,,,,,,
8526,2021-05-20 13:43:40.793000,murat.gider,151,,,,,,
8542,2021-05-24 08:45:37.993000,murat.gider,152,,,,,,
8567,2021-05-24 08:25:41.423000,murat.gider,153,,,,,,
8569,2021-05-24 08:45:37.843000,murat.gider,154,,,,,,
8611,2021-05-25 14:12:13.900000,murat.gider,155,,,,,,
8614,2021-05-25 15:44:15.370000,murat.gider,156,,,,,,
8616,2021-05-25 15:47:51.917000,murat.gider,157,,,,,,
8618,2021-05-25 16:17:57.670000,murat.gider,158,,,,,,
8634,2021-05-26 12:03:49.637000,murat.gider,159,,,,,,
8636,2021-05-26 12:08:08.743000,murat.gider,160,,,,,,
8638,2021-05-26 12:48:07.317000,murat.gider,161,,,,,,
8643,2021-05-26 14:35:21.773000,murat.gider,162,,,,,,
8647,2021-05-26 14:51:28.940000,murat.gider,163,,,,,,
8652,2021-05-26 15:07:44.240000,murat.gider,164,,,,,,
8657,2021-05-26 16:28:27.540000,murat.gider,165,,,,,,
8659,2021-05-26 16:30:50.450000,murat.gider,166,,,,,,
8665,2021-05-26 17:15:12.887000,murat.gider,167,,,,,,
8680,2021-05-28 09:29:33.560000,murat.gider,168,,,,,,
8687,2021-05-28 10:37:52.187000,murat.gider,169,,,,,,
8689,2021-05-28 10:50:22.820000,murat.gider,170,,,,,,
8691,2021-05-28 10:55:28.643000,murat.gider,171,,,,,,
8727,2021-06-01 09:53:58.987000,murat.gider,172,,,,,,
8730,2021-06-01 10:23:11.303000,murat.gider,173,,,,,,
8732,2021-06-01 10:32:46.210000,murat.gider,174,,,,,,
8734,2021-06-01 10:33:55.837000,murat.gider,175,,,,,,
8736,2021-06-01 10:36:07.757000,murat.gider,176,,,,,,
8738,2021-06-01 10:37:19.243000,murat.gider,177,,,,,,
8740,2021-06-01 10:40:12.217000,murat.gider,178,,,,,,
8742,2021-06-01 10:42:03.060000,murat.gider,179,,,,,,
8744,2021-06-01 10:50:42.827000,murat.gider,180,,,,,,
8746,2021-06-01 10:54:02.183000,murat.gider,181,,,,,,
8748,2021-06-01 10:59:06.683000,murat.gider,182,,,,,,
8750,2021-06-01 11:01:45.587000,murat.gider,183,,,,,,
8768,2021-06-01 14:33:57.077000,murat.gider,184,,,,,,
8770,2021-06-01 14:35:57.447000,murat.gider,185,,,,,,
8774,2021-06-01 15:17:57.573000,murat.gider,186,,,,,,
8779,2021-06-01 16:18:26.783000,murat.gider,187,,,,,,
8781,2021-06-01 16:24:26.930000,murat.gider,188,,,,,,
8783,2021-06-01 16:26:23.067000,murat.gider,189,,,,,,
8787,2021-06-01 16:38:23.527000,murat.gider,190,,,,,,
8789,2021-06-01 16:41:55.627000,murat.gider,191,,,,,,
8791,2021-06-02 08:25:38.823000,murat.gider,192,,,,,,
8792,2021-06-02 08:25:38.963000,murat.gider,193,,,,,,
8801,2021-06-02 12:07:17.073000,murat.gider,194,,,,,,
8803,2021-06-02 12:08:48.347000,murat.gider,195,,,,,,
8810,2021-06-02 14:34:02.270000,murat.gider,196,,,,,,
8813,2021-06-02 14:45:13.073000,murat.gider,197,,,,,,
8863,2021-06-04 08:19:09.877000,murat.gider,198,,,,,,
8865,2021-06-04 08:53:31.223000,murat.gider,199,,,,,,
8868,2021-06-04 10:20:48.520000,murat.gider,200,,,,,,
8869,2021-06-04 10:20:48.573000,murat.gider,201,,,,,,
8894,2021-06-04 16:30:37.593000,murat.gider,202,,,,,,
8896,2021-06-04 16:32:44.227000,murat.gider,203,,,,,,
8898,2021-06-04 16:33:56.993000,murat.gider,204,,,,,,
8901,2021-06-07 09:33:13.583000,murat.gider,205,,,,,,
8905,2021-06-07 11:10:16.427000,murat.gider,206,,,,,,
8907,2021-06-07 11:11:14.670000,murat.gider,207,,,,,,
8909,2021-06-07 11:21:13.710000,murat.gider,208,,,,,,
8912,2021-06-07 11:39:15.597000,murat.gider,209,,,,,,
8914,2021-06-07 11:40:13.770000,murat.gider,210,,,,,,
8918,2021-06-07 12:23:35.050000,murat.gider,211,,,,,,
8920,2021-06-07 12:24:36.907000,murat.gider,212,,,,,,
8925,2021-06-07 15:22:47.780000,murat.gider,213,,,,,,
8926,2021-06-07 15:22:47.833000,murat.gider,214,,,,,,
8929,2021-06-07 15:50:25.677000,murat.gider,215,,,,,,
8937,2021-06-08 09:08:40.990000,murat.gider,216,,,,,,
8941,2021-06-08 11:16:06.330000,murat.gider,217,,,,,,
8943,2021-06-08 11:17:01.913000,murat.gider,218,,,,,,
8945,2021-06-08 11:19:13.563000,murat.gider,219,,,,,,
8949,2021-06-08 14:05:23.237000,murat.gider,220,,,,,,
8963,2021-06-09 09:21:54.487000,murat.gider,221,,,,,,
8987,2021-06-09 12:10:22.780000,murat.gider,222,,,,,,
8989,2021-06-09 12:12:59.220000,murat.gider,223,,,,,,
9001,2021-06-09 16:05:12.443000,murat.gider,224,,,,,,
9005,2021-06-10 07:48:30.877000,murat.gider,225,,,,,,
9007,2021-06-10 07:51:14.640000,murat.gider,226,,,,,,
9015,2021-06-10 11:18:23.953000,murat.gider,227,,,,,,
9022,2021-06-10 12:17:45.670000,murat.gider,228,,,,,,
9023,2021-06-10 12:17:45.743000,murat.gider,229,,,,,,
9050,2021-06-11 11:09:06.110000,murat.gider,230,,,,,,
9052,2021-06-11 11:10:09.770000,murat.gider,231,,,,,,
9054,2021-06-11 11:13:43.447000,murat.gider,232,,,,,,
9056,2021-06-11 13:14:50.383000,murat.gider,233,,,,,,
9067,2021-06-11 15:30:03.267000,murat.gider,234,,,,,,
9069,2021-06-11 15:43:50.320000,murat.gider,235,,,,,,
9071,2021-06-11 15:47:30.860000,murat.gider,236,,,,,,
9073,2021-06-11 15:49:09.870000,murat.gider,237,,,,,,
9098,2021-06-14 14:46:36.420000,murat.gider,238,,,,,,
9100,2021-06-14 14:54:27.460000,murat.gider,239,,,,,,
9102,2021-06-14 15:00:58.443000,murat.gider,240,,,,,,
9135,2021-06-16 09:23:46.037000,murat.gider,241,,,,,,
9137,2021-06-16 09:29:07.120000,murat.gider,242,,,,,,
9139,2021-06-16 09:30:03.623000,murat.gider,243,,,,,,
9142,2021-06-16 10:59:36.103000,murat.gider,244,,,,,,
9146,2021-06-16 11:13:40.310000,murat.gider,245,,,,,,
9150,2021-06-16 14:37:41.007000,murat.gider,246,,,,,,
9153,2021-06-16 15:47:49.223000,murat.gider,247,,,,,,
9155,2021-06-16 15:50:03.507000,murat.gider,248,,,,,,
9157,2021-06-16 15:51:01.480000,murat.gider,249,,,,,,
9179,2021-06-17 09:31:40.433000,murat.gider,250,,,,,,
9182,2021-06-17 09:46:14.977000,murat.gider,251,,,,,,
9200,2021-06-17 15:00:31.560000,murat.gider,252,,,,,,
9208,2021-06-18 08:06:05.833000,murat.gider,253,,,,,,
9225,2021-06-18 12:37:49.633000,murat.gider,254,,,,,,
9227,2021-06-18 12:54:41.300000,murat.gider,255,,,,,,
9229,2021-06-18 13:09:50.203000,murat.gider,256,,,,,,
9232,2021-06-18 13:37:52.200000,murat.gider,257,,,,,,
9246,2021-06-18 17:00:54.650000,murat.gider,258,,,,,,
9249,2021-06-21 07:39:03.723000,murat.gider,259,,,,,,
9251,2021-06-21 07:40:50.507000,murat.gider,260,,,,,,
9253,2021-06-21 07:50:54.893000,murat.gider,261,,,,,,
9277,2021-06-21 15:44:44.017000,murat.gider,262,,,,,,
9279,2021-06-21 15:49:35.290000,murat.gider,263,,,,,,
9281,2021-06-21 15:52:37.877000,murat.gider,264,,,,,,
9283,2021-06-21 16:01:31.873000,murat.gider,265,,,,,,
9319,2021-06-23 09:04:15.890000,murat.gider,266,,,,,,
9336,2021-06-23 13:46:57.267000,murat.gider,267,,,,,,
9338,2021-06-23 13:51:18.250000,murat.gider,268,,,,,,
9340,2021-06-23 13:53:12.920000,murat.gider,269,,,,,,
9355,2021-06-24 10:30:04.310000,murat.gider,270,,,,,,
9357,2021-06-24 10:45:12.667000,murat.gider,271,,,,,,
9376,2021-06-24 16:51:54.867000,murat.gider,272,,,,,,
9378,2021-06-24 16:54:21.637000,murat.gider,273,,,,,,
9380,2021-06-24 16:56:15.043000,murat.gider,274,,,,,,
9382,2021-06-24 16:57:54.123000,murat.gider,275,,,,,,
9384,2021-06-24 17:02:14.820000,murat.gider,276,,,,,,
9389,2021-06-25 07:46:21.930000,murat.gider,277,,,,,,
9391,2021-06-25 07:49:27.780000,murat.gider,278,,,,,,
9403,2021-06-25 15:35:34.573000,SİNAN.İSCAN,279,,,,,,
9437,2021-06-28 16:55:32.700000,murat.gider,280,,,,,,
9442,2021-06-29 10:55:49.673000,murat.gider,281,,,,,,
9450,2021-06-29 15:08:32.503000,murat.gider,282,,,,,,
9470,2021-06-30 10:21:08.897000,murat.gider,283,,,,,,
9472,2021-06-30 11:14:57.907000,murat.gider,284,,,,,,
9473,2021-06-30 11:14:57.990000,murat.gider,285,,,,,,
9495,2021-06-30 15:56:24.030000,murat.gider,286,,,,,,
9515,2021-07-01 12:53:51.907000,murat.gider,287,,,,,,
9518,2021-07-01 13:00:22.607000,murat.gider,288,,,,,,
9542,2021-07-02 09:55:53.300000,murat.gider,289,,,,,,
9544,2021-07-02 11:50:35.917000,murat.gider,290,,,,,,
9546,2021-07-02 10:06:17.087000,murat.gider,291,,,,,,
9548,2021-07-02 10:15:49.700000,murat.gider,292,,,,,,
9553,2021-07-02 11:49:33.333000,murat.gider,293,,,,,,
9555,2021-07-02 11:50:22.550000,murat.gider,294,,,,,,
9564,2021-07-02 14:29:04.250000,murat.gider,295,,,,,,
9567,2021-07-02 15:40:04.110000,murat.gider,296,,,,,,
9569,2021-07-02 15:44:14.287000,murat.gider,297,,,,,,
9573,2021-07-02 17:14:23.393000,murat.gider,298,,,,,,
9575,2021-07-02 17:16:09.610000,murat.gider,299,,,,,,
9577,2021-07-02 17:25:16.750000,murat.gider,300,,,,,,
9579,2021-07-02 17:29:42.630000,murat.gider,301,,,,,,
9582,2021-07-02 17:35:35.360000,murat.gider,302,,,,,,
9589,2021-07-05 16:20:11.690000,murat.gider,303,,,,,,
9591,2021-07-05 16:22:47.847000,murat.gider,304,,,,,,
9596,2021-07-05 16:59:50.617000,murat.gider,305,,,,,,
9621,2021-07-07 13:04:42.973000,murat.gider,306,,,,,,
9634,2021-07-07 17:11:49.880000,murat.gider,307,,,,,,
9660,2021-07-09 09:26:14.940000,murat.gider,308,,,,,,
9662,2021-07-09 10:25:56.223000,murat.gider,309,,,,,,
9668,2021-07-09 14:19:42.787000,murat.gider,310,,,,,,
9723,2021-07-26 12:11:33.520000,murat.gider,311,,,,,,
9725,2021-07-26 12:35:04.443000,murat.gider,312,,,,,,
9739,2021-07-26 15:33:21.987000,murat.gider,313,,,,,,
9746,2021-07-27 07:47:44.823000,murat.gider,314,,,,,,
9749,2021-07-27 09:25:43.943000,murat.gider,315,,,,,,
9754,2021-07-27 11:37:15.510000,murat.gider,316,,,,,,
9765,2021-07-27 16:08:49.713000,murat.gider,317,,,,,,
9767,2021-07-28 09:33:11.180000,murat.gider,318,,,,,,
9784,2021-07-28 16:29:55.520000,murat.gider,319,,,,,,
9788,2021-07-29 10:42:29.773000,murat.gider,320,,,,,,
9803,2021-07-29 15:59:47.323000,murat.gider,321,,,,,,
9805,2021-07-29 16:07:25.490000,murat.gider,322,,,,,,
9818,2021-07-30 12:25:29.890000,murat.gider,323,,,,,,
9820,2021-07-30 12:26:42.547000,murat.gider,324,,,,,,
9823,2021-08-02 12:30:39.300000,murat.gider,325,,,,,,
11835,2021-08-02 12:30:39.430000,murat.gider,326,,,,,,
11838,2021-08-02 13:14:05.683000,murat.gider,327,,,,,,
11841,2021-08-02 15:48:02.140000,murat.gider,328,,,,,,
11852,2021-08-03 17:16:01.343000,murat.gider,329,,,,,,
11861,2021-08-04 12:12:28.013000,murat.gider,330,,,,,,
11864,2021-08-04 13:19:17.300000,murat.gider,331,,,,,,
11886,2021-08-05 15:17:54.763000,murat.gider,332,,,,,,
11888,2021-08-05 15:22:50.080000,murat.gider,333,,,,,,
11893,2021-08-05 15:55:01.167000,murat.gider,334,,,,,,
11898,2021-08-05 16:50:47.673000,murat.gider,335,,,,,,
11903,2021-08-05 17:11:21.167000,murat.gider,336,,,,,,
11905,2021-08-05 17:16:44.227000,murat.gider,337,,,,,,
11909,2021-08-06 08:00:50.590000,murat.gider,338,,,,,,
11913,2021-08-06 11:41:55.970000,murat.gider,339,,,,,,
11915,2021-08-06 12:01:11.707000,murat.gider,340,,,,,,
11917,2021-08-06 12:04:30.303000,murat.gider,341,,,,,,
11919,2021-08-06 12:06:35.933000,murat.gider,342,,,,,,
11929,2021-08-06 16:37:32.127000,murat.gider,343,,,,,,
11933,2021-08-06 17:31:55.763000,murat.gider,344,,,,,,
12936,2021-08-09 14:30:32.287000,murat.gider,345,,,,,,
12938,2021-08-09 14:32:50.340000,murat.gider,346,,,,,,
12945,2021-08-09 16:41:04.030000,murat.gider,347,,,,,,
12949,2021-08-10 08:51:38.670000,murat.gider,348,,,,,,
12963,2021-08-10 15:43:44.953000,murat.gider,349,,,,,,
12965,2021-08-10 15:46:06.780000,murat.gider,350,,,,,,
12974,2021-08-11 11:40:29.950000,murat.gider,351,,,,,,
12976,2021-08-11 11:55:05.893000,murat.gider,352,,,,,,
12978,2021-08-11 11:58:20.447000,murat.gider,353,,,,,,
12987,2021-08-11 15:25:16.227000,murat.gider,354,,,,,,
12989,2021-08-11 15:30:15.247000,murat.gider,355,,,,,,
12991,2021-08-11 15:32:03.907000,murat.gider,356,,,,,,
12995,2021-08-11 16:37:30.397000,murat.gider,357,,,,,,
12997,2021-08-11 16:37:30.313000,murat.gider,358,,,,,,
13000,2021-08-11 16:39:46.343000,murat.gider,359,,,,,,
13002,2021-08-11 16:41:04.633000,murat.gider,360,,,,,,
13011,2021-08-12 09:23:37.290000,murat.gider,361,,,,,,
13019,2021-08-12 14:07:29.500000,murat.gider,362,,,,,,
13023,2021-08-12 14:26:17.923000,murat.gider,363,,,,,,
13025,2021-08-12 14:28:59.067000,murat.gider,364,,,,,,
13027,2021-08-12 14:33:42.970000,murat.gider,365,,,,,,
13031,2021-08-13 07:44:35.620000,murat.gider,366,,,,,,
13038,2021-08-13 09:34:35.270000,murat.gider,367,,,,,,
13040,2021-08-13 09:37:16.090000,murat.gider,368,,,,,,
13044,2021-08-13 10:53:57.577000,murat.gider,369,,,,,,
13046,2021-08-13 10:58:34.283000,murat.gider,370,,,,,,
13048,2021-08-13 11:05:38.063000,murat.gider,371,,,,,,
13052,2021-08-13 11:46:37.770000,murat.gider,372,,,,,,
13061,2021-08-13 15:59:21.107000,murat.gider,373,,,,,,
13063,2021-08-13 16:13:09.433000,murat.gider,374,,,,,,
13065,2021-08-13 16:29:37.807000,murat.gider,375,,,,,,
13082,2021-08-16 14:31:21.390000,murat.gider,376,,,,,,
13087,2021-08-16 15:11:22.697000,murat.gider,377,,,,,,
13089,2021-08-16 15:23:55.540000,murat.gider,378,,,,,,
13106,2021-08-17 10:21:04.740000,murat.gider,379,,,,,,
13109,2021-08-17 10:43:31.017000,murat.gider,380,,,,,,
13111,2021-08-17 10:44:02.407000,murat.gider,381,,,,,,
13113,2021-08-17 10:47:56.793000,murat.gider,382,,,,,,
13126,2021-08-18 08:48:14.353000,murat.gider,383,,,,,,
13128,2021-08-18 08:51:21.907000,murat.gider,384,,,,,,
13130,2021-08-18 10:32:58.483000,murat.gider,385,,,,,,
13142,2021-08-18 14:53:49.857000,murat.gider,386,,,,,,
13144,2021-08-18 14:58:31.290000,murat.gider,387,,,,,,
13147,2021-08-18 15:09:02.943000,murat.gider,388,,,,,,
13151,2021-08-18 17:05:21.033000,murat.gider,389,,,,,,
13157,2021-08-19 10:40:32.393000,murat.gider,390,,,,,,
13159,2021-08-19 10:45:12.187000,murat.gider,391,,,,,,
13162,2021-08-19 11:19:18.250000,murat.gider,392,,,,,,
13171,2021-08-19 16:58:28.453000,murat.gider,393,,,,,,
13174,2021-08-20 07:59:30.603000,murat.gider,394,,,,,,
13176,2021-08-20 08:02:11.660000,murat.gider,395,,,,,,
13200,2021-08-20 14:09:00.377000,murat.gider,396,,,,,,
13214,2021-08-20 15:26:59.363000,murat.gider,397,,,,,,
13219,2021-08-23 07:46:37.387000,murat.gider,398,,,,,,
13221,2021-08-23 07:49:57.670000,murat.gider,399,,,,,,
13240,2021-08-23 13:12:58.740000,murat.gider,400,,,,,,
13242,2021-08-23 13:19:25.010000,murat.gider,401,,,,,,
13245,2021-08-23 15:16:52.950000,murat.gider,402,,,,,,
13254,2021-08-24 08:38:41.573000,murat.gider,403,,,,,,
13256,2021-08-24 08:39:59.727000,murat.gider,404,,,,,,
13272,2021-08-24 14:16:13.790000,murat.gider,405,,,,,,
13276,2021-08-24 15:27:49.610000,murat.gider,406,,,,,,
13279,2021-08-24 15:30:32.897000,murat.gider,407,,,,,,
13285,2021-08-25 10:35:06.400000,murat.gider,408,,,,,,
13287,2021-08-25 10:36:27.083000,murat.gider,409,,,,,,
13289,2021-08-25 10:39:32.783000,murat.gider,410,,,,,,
13295,2021-08-25 11:07:15.420000,murat.gider,411,,,,,,
13300,2021-08-25 11:16:50.750000,murat.gider,412,,,,,,
13314,2021-08-25 15:30:03.700000,murat.gider,413,,,,,,
13316,2021-08-25 15:34:16.587000,murat.gider,414,,,,,,
13328,2021-08-26 09:39:32.987000,murat.gider,415,,,,,,
13332,2021-08-26 10:35:58.013000,murat.gider,416,,,,,,
13334,2021-08-26 10:44:41.817000,murat.gider,417,,,,,,
13336,2021-08-26 10:52:52.660000,murat.gider,418,,,,,,
13338,2021-08-26 10:56:38.390000,murat.gider,419,,,,,,
