KFisNo,KFisHarInx,Skod,Rkod,BedKod,FisNo,FisHarInx,Miktar,kgid,insUN,insDT,insApp,updUN,updDT,updApp
0,0,102639,6913,156,32218,110284,2.0000000000,109,,,,,,
0,0,102639,6914,156,32218,110284,2.0000000000,121,,,,,,
0,0,102639,6910,156,32219,110285,2.0000000000,48,,,,,,
0,0,102639,6911,156,32219,110285,1.0000000000,70,,,,,,
0,0,102639,6912,156,32219,110285,2.0000000000,92,,,,,,
0,0,102639,6914,156,32219,110285,2.0000000000,122,,,,,,
0,0,102639,6911,156,32220,110286,2.0000000000,71,,,,,,
0,0,102639,6910,156,32221,110287,2.0000000000,49,,,,,,
0,0,102639,6911,156,32221,110287,2.0000000000,72,,,,,,
0,0,102639,6912,156,32221,110287,2.0000000000,93,,,,,,
0,0,102639,6913,156,32221,110287,2.0000000000,110,,,,,,
0,0,102639,6914,156,32221,110287,2.0000000000,123,,,,,,
0,0,103145,1705,156,32295,110616,1.0000000000,144,,,,,,
0,0,121545,9488,156,32314,110729,1.0000000000,544,,,,,,
0,0,102600,2236,156,32333,110919,1.0000000000,43,,,,,,
0,0,118243,1886,156,32333,110921,1.0000000000,437,,,,,,
0,0,120164,5989,156,32335,110927,1.0000000000,485,,,,,,
0,0,102551,1805,156,32342,110940,2.0000000000,37,,,,,,
0,0,113297,1751,156,32403,111271,1.0000000000,248,,,,,,
0,0,115294,2374,156,32403,111274,1.0000000000,324,,,,,,
0,0,118309,6892,156,32403,111279,1.0000000000,442,,,,,,
0,0,117746,6986,156,32403,111280,1.0000000000,427,,,,,,
0,0,113297,1751,156,32404,111282,1.0000000000,249,,,,,,
0,0,113297,1751,156,32405,111287,1.0000000000,250,,,,,,
0,0,113286,1751,156,32405,111288,1.0000000000,202,,,,,,
0,0,115294,2374,156,32405,111291,1.0000000000,325,,,,,,
0,0,118309,6892,156,32405,111296,1.0000000000,443,,,,,,
0,0,117746,6986,156,32405,111297,1.0000000000,428,,,,,,
0,0,118309,6892,156,32499,111734,1.0000000000,444,,,,,,
0,0,115294,2374,157,32189,110126,1.0000000000,326,,,,,,
0,0,112524,2262,157,32198,110207,1.0000000000,177,,,,,,
0,0,117277,1718,157,32198,110208,1.0000000000,409,,,,,,
0,0,121078,1789,157,32201,110222,1.0000000000,528,,,,,,
0,0,117179,5792,157,32201,110224,3.0000000000,407,,,,,,
0,0,120495,2587,157,32201,110226,1.0000000000,500,,,,,,
0,0,118414,7284,157,32201,110228,1.0000000000,457,,,,,,
0,0,102639,6910,157,32218,110284,2.0000000000,50,,,,,,
0,0,102639,6911,157,32218,110284,2.0000000000,73,,,,,,
0,0,102639,6912,157,32218,110284,2.0000000000,94,,,,,,
0,0,102639,6913,157,32218,110284,2.0000000000,111,,,,,,
0,0,102639,6914,157,32218,110284,2.0000000000,124,,,,,,
0,0,102639,6910,157,32219,110285,2.0000000000,51,,,,,,
0,0,102639,6911,157,32219,110285,1.0000000000,74,,,,,,
0,0,102639,6912,157,32219,110285,2.0000000000,95,,,,,,
0,0,102639,6914,157,32219,110285,2.0000000000,125,,,,,,
0,0,102639,6911,157,32220,110286,1.0000000000,75,,,,,,
0,0,102639,6910,157,32221,110287,2.0000000000,52,,,,,,
0,0,102639,6911,157,32221,110287,2.0000000000,76,,,,,,
0,0,102639,6912,157,32221,110287,2.0000000000,96,,,,,,
0,0,102639,6913,157,32221,110287,2.0000000000,112,,,,,,
0,0,102639,6914,157,32221,110287,2.0000000000,126,,,,,,
0,0,116764,3387,157,32257,110450,1.0000000000,406,,,,,,
0,0,113286,3387,157,32295,110617,1.0000000000,224,,,,,,
0,0,121520,1704,157,32314,110728,1.0000000000,540,,,,,,
0,0,120164,5989,157,32335,110927,2.0000000000,486,,,,,,
0,0,115294,1751,157,32342,110939,1.0000000000,306,,,,,,
0,0,115294,2262,157,32342,110939,1.0000000000,310,,,,,,
0,0,102588,1806,157,32342,110942,2.0000000000,39,,,,,,
0,0,102589,4849,157,32342,110945,1.0000000000,41,,,,,,
0,0,115262,4752,157,32342,110947,1.0000000000,295,,,,,,
0,0,101847,1780,157,32342,110948,1.0000000000,4,,,,,,
0,0,113286,2262,157,32352,111008,1.0000000000,222,,,,,,
0,0,102639,6914,157,32352,111009,1.0000000000,127,,,,,,
0,0,115294,7205,157,32352,111011,1.0000000000,332,,,,,,
0,0,120164,3387,157,32352,111015,1.0000000000,481,,,,,,
0,0,121027,1780,157,32352,111017,1.0000000000,508,,,,,,
0,0,113286,2262,157,32353,111024,1.0000000000,223,,,,,,
0,0,115294,7205,157,32353,111028,1.0000000000,333,,,,,,
0,0,102639,6914,157,32353,111030,1.0000000000,128,,,,,,
0,0,120164,3387,157,32353,111034,1.0000000000,482,,,,,,
0,0,121027,1780,157,32353,111036,1.0000000000,509,,,,,,
0,0,115209,2236,157,32372,111105,1.0000000000,290,,,,,,
0,0,115225,4828,157,32379,111128,2.0000000000,293,,,,,,
0,0,113286,5989,157,32390,111156,1.0000000000,237,,,,,,
0,0,105394,2236,157,32390,111160,1.0000000000,147,,,,,,
0,0,105423,3280,157,32390,111161,1.0000000000,160,,,,,,
0,0,113297,3387,157,32390,111162,4.0000000000,264,,,,,,
0,0,113286,5989,157,32391,111165,1.0000000000,238,,,,,,
0,0,105394,2236,157,32391,111169,1.0000000000,148,,,,,,
0,0,105423,3280,157,32391,111170,1.0000000000,161,,,,,,
0,0,113297,3387,157,32391,111171,4.0000000000,265,,,,,,
0,0,120164,3387,157,32394,111180,1.0000000000,483,,,,,,
0,0,116483,5989,157,32403,111270,1.0000000000,370,,,,,,
0,0,113297,198,157,32403,111271,1.0000000000,243,,,,,,
0,0,113286,1751,157,32403,111272,1.0000000000,203,,,,,,
0,0,113286,3387,157,32403,111272,1.0000000000,225,,,,,,
0,0,115294,1718,157,32403,111274,2.0000000000,296,,,,,,
0,0,115294,1751,157,32403,111274,1.0000000000,307,,,,,,
0,0,115294,2374,157,32403,111274,1.0000000000,327,,,,,,
0,0,115294,7205,157,32403,111274,1.0000000000,334,,,,,,
0,0,117746,6986,157,32403,111280,1.0000000000,429,,,,,,
0,0,116483,5989,157,32404,111281,1.0000000000,371,,,,,,
0,0,113297,198,157,32404,111282,1.0000000000,244,,,,,,
0,0,113286,1751,157,32404,111283,1.0000000000,204,,,,,,
0,0,113286,3387,157,32404,111283,1.0000000000,226,,,,,,
0,0,116483,5989,157,32405,111286,1.0000000000,372,,,,,,
0,0,113297,198,157,32405,111287,1.0000000000,245,,,,,,
0,0,113286,1751,157,32405,111288,1.0000000000,205,,,,,,
0,0,113286,3387,157,32405,111288,1.0000000000,227,,,,,,
0,0,121093,3387,157,32405,111289,1.0000000000,532,,,,,,
0,0,115294,1718,157,32405,111291,2.0000000000,297,,,,,,
0,0,115294,1751,157,32405,111291,1.0000000000,308,,,,,,
0,0,115294,2374,157,32405,111291,1.0000000000,328,,,,,,
0,0,115294,7205,157,32405,111291,1.0000000000,335,,,,,,
0,0,117746,6986,157,32405,111297,1.0000000000,430,,,,,,
0,0,116761,3385,157,32407,111299,1.0000000000,398,,,,,,
0,0,116384,5180,157,32407,111300,1.0000000000,352,,,,,,
0,0,101908,1751,157,32407,111303,1.0000000000,7,,,,,,
0,0,116761,3385,157,32408,111307,1.0000000000,399,,,,,,
0,0,116384,5180,157,32408,111309,1.0000000000,353,,,,,,
0,0,101908,1751,157,32408,111311,1.0000000000,8,,,,,,
0,0,102531,2546,157,32414,111364,1.0000000000,34,,,,,,
0,0,118309,6892,157,32499,111734,2.0000000000,445,,,,,,
0,0,116505,1718,157,32616,112417,1.0000000000,388,,,,,,
0,0,117364,1767,157,32616,112418,1.0000000000,410,,,,,,
0,0,116483,3385,157,32616,112419,1.0000000000,356,,,,,,
0,0,101398,1806,158,32181,110088,1.0000000000,1,,,,,,
0,0,120495,39,158,32196,110205,1.0000000000,495,,,,,,
0,0,120495,39,158,32197,110206,1.0000000000,496,,,,,,
0,0,118414,6894,158,32201,110228,3.0000000000,454,,,,,,
0,0,118249,1704,158,32201,110229,1.0000000000,438,,,,,,
0,0,105423,1705,158,32214,110273,1.0000000000,153,,,,,,
0,0,102639,6910,158,32218,110284,4.0000000000,53,,,,,,
0,0,102639,6911,158,32218,110284,4.0000000000,77,,,,,,
0,0,102639,6912,158,32218,110284,4.0000000000,97,,,,,,
0,0,102639,6913,158,32218,110284,4.0000000000,113,,,,,,
0,0,102639,6914,158,32218,110284,4.0000000000,129,,,,,,
0,0,102639,6910,158,32219,110285,4.0000000000,54,,,,,,
0,0,102639,6912,158,32219,110285,4.0000000000,98,,,,,,
0,0,102639,6914,158,32219,110285,4.0000000000,130,,,,,,
0,0,102639,6911,158,32220,110286,4.0000000000,78,,,,,,
0,0,102639,6910,158,32221,110287,4.0000000000,55,,,,,,
0,0,102639,6911,158,32221,110287,4.0000000000,79,,,,,,
0,0,102639,6912,158,32221,110287,4.0000000000,99,,,,,,
0,0,102639,6913,158,32221,110287,4.0000000000,114,,,,,,
0,0,102639,6914,158,32221,110287,4.0000000000,131,,,,,,
0,0,120164,3387,158,32276,110567,1.0000000000,484,,,,,,
0,0,120164,5989,158,32276,110567,1.0000000000,487,,,,,,
0,0,113297,3387,158,32295,110618,1.0000000000,266,,,,,,
0,0,101908,1751,158,32300,110668,1.0000000000,9,,,,,,
0,0,121520,1704,158,32314,110728,2.0000000000,541,,,,,,
0,0,116592,1780,158,32329,110809,1.0000000000,396,,,,,,
0,0,115225,4828,158,32334,110922,1.0000000000,294,,,,,,
0,0,120164,5989,158,32335,110927,2.0000000000,488,,,,,,
0,0,102625,2409,158,32352,111006,1.0000000000,45,,,,,,
0,0,112570,2236,158,32352,111007,1.0000000000,185,,,,,,
0,0,112570,3280,158,32352,111007,1.0000000000,189,,,,,,
0,0,113286,1718,158,32352,111008,1.0000000000,198,,,,,,
0,0,115294,1718,158,32352,111011,1.0000000000,298,,,,,,
0,0,112873,3463,158,32352,111013,1.0000000000,195,,,,,,
0,0,113297,2262,158,32352,111014,1.0000000000,259,,,,,,
0,0,120893,3387,158,32352,111020,1.0000000000,505,,,,,,
0,0,102625,2409,158,32353,111022,1.0000000000,46,,,,,,
0,0,112570,2236,158,32353,111023,1.0000000000,186,,,,,,
0,0,112570,3280,158,32353,111023,1.0000000000,190,,,,,,
0,0,113286,1718,158,32353,111024,1.0000000000,199,,,,,,
0,0,115294,1718,158,32353,111028,1.0000000000,299,,,,,,
0,0,113297,2262,158,32353,111031,1.0000000000,260,,,,,,
0,0,112873,3463,158,32353,111032,1.0000000000,196,,,,,,
0,0,120893,3387,158,32353,111039,1.0000000000,506,,,,,,
0,0,105423,1705,158,32355,111043,1.0000000000,154,,,,,,
0,0,121150,1718,158,32372,111102,1.0000000000,535,,,,,,
0,0,101908,1751,158,32372,111103,1.0000000000,10,,,,,,
0,0,115209,2381,158,32379,111127,1.0000000000,291,,,,,,
0,0,115447,3385,158,32390,111155,1.0000000000,339,,,,,,
0,0,105423,3280,158,32390,111161,1.0000000000,162,,,,,,
0,0,113297,1751,158,32390,111162,1.0000000000,251,,,,,,
0,0,113297,3387,158,32390,111162,1.0000000000,267,,,,,,
0,0,115447,3385,158,32391,111164,1.0000000000,340,,,,,,
0,0,105423,3280,158,32391,111170,1.0000000000,163,,,,,,
0,0,113297,1751,158,32391,111171,1.0000000000,252,,,,,,
0,0,113297,3387,158,32391,111171,1.0000000000,268,,,,,,
0,0,113286,1751,158,32403,111272,1.0000000000,206,,,,,,
0,0,113286,3387,158,32403,111272,1.0000000000,228,,,,,,
0,0,115294,2374,158,32403,111274,1.0000000000,329,,,,,,
0,0,120113,3662,158,32403,111275,4.0000000000,469,,,,,,
0,0,116485,1780,158,32403,111278,1.0000000000,380,,,,,,
0,0,118309,6892,158,32403,111279,2.0000000000,446,,,,,,
0,0,117746,6986,158,32403,111280,1.0000000000,431,,,,,,
0,0,113286,1751,158,32404,111283,1.0000000000,207,,,,,,
0,0,113286,3387,158,32404,111283,1.0000000000,229,,,,,,
0,0,116483,3387,158,32405,111286,1.0000000000,362,,,,,,
0,0,116483,5989,158,32405,111286,1.0000000000,373,,,,,,
0,0,113286,1751,158,32405,111288,1.0000000000,208,,,,,,
0,0,113286,3387,158,32405,111288,1.0000000000,230,,,,,,
0,0,121093,3387,158,32405,111289,2.0000000000,533,,,,,,
0,0,115294,2374,158,32405,111291,1.0000000000,330,,,,,,
0,0,120113,3662,158,32405,111292,4.0000000000,470,,,,,,
0,0,116485,1780,158,32405,111295,1.0000000000,381,,,,,,
0,0,118309,6892,158,32405,111296,2.0000000000,447,,,,,,
0,0,117746,6986,158,32405,111297,1.0000000000,432,,,,,,
0,0,102639,6910,158,32414,111361,1.0000000000,56,,,,,,
0,0,118309,6892,158,32499,111734,2.0000000000,448,,,,,,
0,0,121040,9367,158,32613,112402,5.0000000000,511,,,,,,
0,0,116505,1718,158,32616,112417,2.0000000000,389,,,,,,
0,0,117364,1767,158,32616,112418,2.0000000000,411,,,,,,
0,0,116483,3385,158,32616,112419,2.0000000000,357,,,,,,
0,0,105-11M23270,1,158,36303,121586,1.0000000000,546,Guray,2024-03-08 15:50:55.140000,,,,
0,0,105-11M23270,5,158,36303,121586,1.0000000000,549,Guray,2024-03-08 15:51:22.357000,,,,
0,0,105-11M23270,77,158,36303,121586,1.0000000000,552,Guray,2024-03-08 15:51:35.773000,,,,
0,0,105-11M23270,1,158,36309,121587,1.0000000000,555,Guray,2024-03-08 15:56:25.477000,,,,
0,0,105-11M23270,5,158,36309,121587,1.0000000000,558,Guray,2024-03-08 15:56:34.773000,,,,
0,0,112524,2262,159,32189,110125,1.0000000000,178,,,,,,
0,0,120495,39,159,32196,110205,1.0000000000,497,,,,,,
0,0,120495,39,159,32197,110206,1.0000000000,498,,,,,,
0,0,121078,1704,159,32201,110222,1.0000000000,525,,,,,,
0,0,116512,1886,159,32201,110223,1.0000000000,394,,,,,,
0,0,105363,2236,159,32201,110225,2.0000000000,146,,,,,,
0,0,120495,8837,159,32201,110226,1.0000000000,501,,,,,,
0,0,118249,1704,159,32201,110229,3.0000000000,439,,,,,,
0,0,118249,1780,159,32201,110229,2.0000000000,440,,,,,,
0,0,105423,1705,159,32214,110273,1.0000000000,155,,,,,,
0,0,113289,2236,159,32216,110282,1.0000000000,242,,,,,,
0,0,102639,6910,159,32218,110284,6.0000000000,57,,,,,,
0,0,102639,6911,159,32218,110284,6.0000000000,80,,,,,,
0,0,102639,6912,159,32218,110284,7.0000000000,100,,,,,,
0,0,102639,6913,159,32218,110284,6.0000000000,115,,,,,,
0,0,102639,6914,159,32218,110284,6.0000000000,132,,,,,,
0,0,102639,6910,159,32219,110285,6.0000000000,58,,,,,,
0,0,102639,6911,159,32219,110285,2.0000000000,81,,,,,,
0,0,102639,6912,159,32219,110285,7.0000000000,101,,,,,,
0,0,102639,6914,159,32219,110285,6.0000000000,133,,,,,,
0,0,102639,6911,159,32220,110286,6.0000000000,82,,,,,,
0,0,102639,6910,159,32221,110287,6.0000000000,59,,,,,,
0,0,102639,6911,159,32221,110287,6.0000000000,83,,,,,,
0,0,102639,6912,159,32221,110287,7.0000000000,102,,,,,,
0,0,102639,6913,159,32221,110287,6.0000000000,116,,,,,,
0,0,102639,6914,159,32221,110287,6.0000000000,134,,,,,,
0,0,121150,1808,159,32271,110534,1.0000000000,536,,,,,,
0,0,121520,1704,159,32314,110728,2.0000000000,542,,,,,,
0,0,102532,1718,159,32323,110781,1.0000000000,35,,,,,,
0,0,120164,5989,159,32334,110923,1.0000000000,489,,,,,,
0,0,118309,6986,159,32334,110924,1.0000000000,453,,,,,,
0,0,102266,2236,159,32334,110925,2.0000000000,31,,,,,,
0,0,120164,5989,159,32335,110927,2.0000000000,490,,,,,,
0,0,120164,5989,159,32336,110928,1.0000000000,491,,,,,,
0,0,121040,9369,159,32337,110929,1.0000000000,513,,,,,,
0,0,112566,1751,159,32338,110930,1.0000000000,182,,,,,,
0,0,102588,1806,159,32342,110942,2.0000000000,40,,,,,,
0,0,112533,2236,159,32342,110943,3.0000000000,181,,,,,,
0,0,101398,1806,159,32342,110944,2.0000000000,2,,,,,,
0,0,102589,4849,159,32342,110945,2.0000000000,42,,,,,,
0,0,102249,2240,159,32342,110949,2.0000000000,29,,,,,,
0,0,120495,39,159,32351,111001,1.0000000000,499,,,,,,
0,0,120021,3387,159,32352,111003,1.0000000000,464,,,,,,
0,0,118448,7321,159,32352,111004,1.0000000000,459,,,,,,
0,0,116485,1886,159,32352,111005,1.0000000000,386,,,,,,
0,0,115294,2262,159,32352,111011,1.0000000000,311,,,,,,
0,0,117364,1780,159,32352,111021,1.0000000000,417,,,,,,
0,0,120021,3387,159,32353,111025,1.0000000000,465,,,,,,
0,0,118448,7321,159,32353,111026,1.0000000000,460,,,,,,
0,0,116485,1886,159,32353,111027,1.0000000000,387,,,,,,
0,0,115294,2262,159,32353,111028,1.0000000000,312,,,,,,
0,0,117364,1780,159,32353,111040,1.0000000000,418,,,,,,
0,0,120928,1860,159,32355,111042,2.0000000000,507,,,,,,
0,0,101908,1860,159,32359,111065,1.0000000000,14,,,,,,
0,0,115209,2381,159,32379,111127,1.0000000000,292,,,,,,
0,0,115447,3385,159,32390,111155,2.0000000000,341,,,,,,
0,0,112379,1751,159,32390,111158,1.0000000000,171,,,,,,
0,0,105394,2236,159,32390,111160,1.0000000000,149,,,,,,
0,0,105423,1705,159,32390,111161,3.0000000000,156,,,,,,
0,0,113297,1751,159,32390,111162,1.0000000000,253,,,,,,
0,0,115447,3385,159,32391,111164,2.0000000000,342,,,,,,
0,0,112379,1751,159,32391,111167,1.0000000000,172,,,,,,
0,0,105394,2236,159,32391,111169,1.0000000000,150,,,,,,
0,0,105423,1705,159,32391,111170,3.0000000000,157,,,,,,
0,0,113297,1751,159,32391,111171,1.0000000000,254,,,,,,
0,0,116483,3387,159,32403,111270,1.0000000000,363,,,,,,
0,0,116483,5989,159,32403,111270,1.0000000000,374,,,,,,
0,0,113286,1751,159,32403,111272,2.0000000000,209,,,,,,
0,0,113286,3387,159,32403,111272,1.0000000000,231,,,,,,
0,0,112379,1718,159,32403,111273,2.0000000000,168,,,,,,
0,0,112379,1751,159,32403,111273,2.0000000000,173,,,,,,
0,0,115294,2262,159,32403,111274,1.0000000000,313,,,,,,
0,0,120113,3662,159,32403,111275,3.0000000000,471,,,,,,
0,0,120113,4117,159,32403,111275,2.0000000000,475,,,,,,
0,0,118039,3385,159,32403,111276,1.0000000000,435,,,,,,
0,0,116485,1780,159,32403,111278,2.0000000000,382,,,,,,
0,0,117746,6986,159,32403,111280,2.0000000000,433,,,,,,
0,0,116483,3387,159,32404,111281,1.0000000000,364,,,,,,
0,0,116483,5989,159,32404,111281,1.0000000000,375,,,,,,
0,0,113286,1751,159,32404,111283,2.0000000000,210,,,,,,
0,0,113286,3387,159,32404,111283,1.0000000000,232,,,,,,
0,0,112379,1718,159,32404,111284,2.0000000000,169,,,,,,
0,0,115294,2262,159,32404,111285,1.0000000000,314,,,,,,
0,0,116483,3387,159,32405,111286,1.0000000000,365,,,,,,
0,0,116483,5989,159,32405,111286,1.0000000000,376,,,,,,
0,0,113297,1751,159,32405,111287,2.0000000000,255,,,,,,
0,0,113286,1751,159,32405,111288,2.0000000000,211,,,,,,
0,0,113286,3387,159,32405,111288,1.0000000000,233,,,,,,
0,0,112379,1718,159,32405,111290,2.0000000000,170,,,,,,
0,0,112379,1751,159,32405,111290,2.0000000000,174,,,,,,
0,0,115294,2262,159,32405,111291,1.0000000000,315,,,,,,
0,0,120113,3662,159,32405,111292,3.0000000000,472,,,,,,
0,0,120113,4117,159,32405,111292,2.0000000000,476,,,,,,
0,0,118039,3385,159,32405,111293,1.0000000000,436,,,,,,
0,0,116485,1780,159,32405,111295,2.0000000000,383,,,,,,
0,0,117746,6986,159,32405,111297,2.0000000000,434,,,,,,
0,0,121060,7719,159,32406,111298,1.0000000000,516,,,,,,
0,0,116761,3385,159,32407,111299,1.0000000000,400,,,,,,
0,0,115822,3273,159,32407,111301,2.0000000000,343,,,,,,
0,0,115822,5599,159,32407,111301,2.0000000000,347,,,,,,
0,0,121060,7719,159,32407,111302,1.0000000000,517,,,,,,
0,0,121208,5989,159,32408,111305,1.0000000000,537,,,,,,
0,0,116761,3385,159,32408,111307,1.0000000000,401,,,,,,
0,0,115822,3273,159,32408,111308,2.0000000000,344,,,,,,
0,0,115822,5599,159,32408,111308,2.0000000000,348,,,,,,
0,0,121060,7719,159,32408,111310,1.0000000000,518,,,,,,
0,0,112096,1806,159,32414,111362,1.0000000000,167,,,,,,
0,0,118309,6892,159,32499,111734,2.0000000000,449,,,,,,
0,0,121040,9367,159,32613,112402,5.0000000000,512,,,,,,
0,0,116505,1718,159,32616,112417,3.0000000000,390,,,,,,
0,0,117364,1767,159,32616,112418,2.0000000000,412,,,,,,
0,0,116483,3385,159,32616,112419,3.0000000000,358,,,,,,
0,0,105-11M23270,1,159,36303,121586,1.0000000000,547,Guray,2024-03-08 15:51:00.760000,,,,
0,0,105-11M23270,5,159,36303,121586,1.0000000000,550,Guray,2024-03-08 15:51:24.290000,,,,
0,0,105-11M23270,77,159,36303,121586,1.0000000000,553,Guray,2024-03-08 15:51:36.860000,,,,
0,0,105-11M23270,1,159,36309,121587,1.0000000000,556,Guray,2024-03-08 15:56:26.300000,,,,
0,0,105-11M23270,5,159,36309,121587,1.0000000000,559,Guray,2024-03-08 15:56:37.770000,,,,
0,0,117680,7196,160,32201,110221,2.0000000000,419,,,,,,
0,0,121078,1704,160,32201,110222,1.0000000000,526,,,,,,
0,0,116512,1886,160,32201,110223,1.0000000000,395,,,,,,
0,0,118414,6894,160,32201,110228,2.0000000000,455,,,,,,
0,0,118414,7284,160,32201,110228,1.0000000000,458,,,,,,
0,0,118249,1780,160,32201,110229,3.0000000000,441,,,,,,
0,0,120495,8837,160,32217,110283,1.0000000000,502,,,,,,
0,0,102639,6910,160,32218,110284,4.0000000000,60,,,,,,
0,0,102639,6911,160,32218,110284,4.0000000000,84,,,,,,
0,0,102639,6912,160,32218,110284,5.0000000000,103,,,,,,
0,0,102639,6913,160,32218,110284,4.0000000000,117,,,,,,
0,0,102639,6914,160,32218,110284,4.0000000000,135,,,,,,
0,0,102639,6910,160,32219,110285,4.0000000000,61,,,,,,
0,0,102639,6911,160,32219,110285,2.0000000000,85,,,,,,
0,0,102639,6912,160,32219,110285,5.0000000000,104,,,,,,
0,0,102639,6914,160,32219,110285,4.0000000000,136,,,,,,
0,0,102639,6911,160,32220,110286,4.0000000000,86,,,,,,
0,0,102639,6910,160,32221,110287,4.0000000000,62,,,,,,
0,0,102639,6911,160,32221,110287,4.0000000000,87,,,,,,
0,0,102639,6912,160,32221,110287,5.0000000000,105,,,,,,
0,0,102639,6913,160,32221,110287,4.0000000000,118,,,,,,
0,0,102639,6914,160,32221,110287,4.0000000000,137,,,,,,
0,0,116483,3387,160,32222,110288,1.0000000000,366,,,,,,
0,0,116485,1805,160,32275,110566,1.0000000000,384,,,,,,
0,0,101908,1751,160,32300,110668,1.0000000000,11,,,,,,
0,0,121520,1704,160,32314,110728,1.0000000000,543,,,,,,
0,0,114331,2236,160,32323,110782,2.0000000000,289,,,,,,
0,0,120164,5989,160,32335,110927,2.0000000000,492,,,,,,
0,0,121040,9369,160,32337,110929,1.0000000000,514,,,,,,
0,0,115294,1751,160,32342,110939,1.0000000000,309,,,,,,
0,0,115294,2262,160,32342,110939,1.0000000000,316,,,,,,
0,0,115294,2374,160,32342,110939,1.0000000000,331,,,,,,
0,0,102551,1805,160,32342,110940,1.0000000000,38,,,,,,
0,0,118892,7589,160,32342,110946,1.0000000000,461,,,,,,
0,0,102249,2240,160,32342,110949,1.0000000000,30,,,,,,
0,0,112570,3280,160,32352,111007,1.0000000000,191,,,,,,
0,0,113982,1751,160,32352,111012,1.0000000000,287,,,,,,
0,0,121070,8584,160,32352,111018,1.0000000000,523,,,,,,
0,0,121060,7719,160,32352,111019,1.0000000000,519,,,,,,
0,0,112570,3280,160,32353,111023,1.0000000000,192,,,,,,
0,0,113982,1751,160,32353,111033,1.0000000000,288,,,,,,
0,0,121070,8584,160,32353,111037,1.0000000000,524,,,,,,
0,0,121060,7719,160,32353,111038,1.0000000000,520,,,,,,
0,0,112873,3464,160,32355,111045,1.0000000000,197,,,,,,
0,0,120164,1789,160,32355,111046,1.0000000000,478,,,,,,
0,0,113286,1718,160,32390,111156,2.0000000000,200,,,,,,
0,0,117684,5792,160,32390,111159,1.0000000000,422,,,,,,
0,0,105423,1705,160,32390,111161,1.0000000000,158,,,,,,
0,0,105423,3280,160,32390,111161,1.0000000000,164,,,,,,
