Company,Location,GKod,kgid
01,CA001,G01.002,4389
01,CA001,G01.003,4390
01,CA001,G01.004,4391
01,CA001,G01.005,4392
01,CA001,G01.006,4393
01,CA001,G02 - ,4394
01,CA001,G02.001,4395
01,CA001,G02.002,4396
01,CA001,G02.003,4397
01,CA001,G02.004,4398
01,CA001,G02.005,4399
01,CA001,G02.006,4400
01,CA001,G02.007,4401
01,CA001,G03 - ,4402
01,CA001,G03.001,4403
01,CA001,G03.002,4404
01,CA001,G03.003,4405
01,CA001,G03.004,4406
01,CA001,G03.005,4407
01,CA001,G03.006,4408
01,CA001,G04 -,4409
01,CA001,G04.002,4410
01,CA001,G04.003,4411
01,CA001,G04.004,4412
01,CA001,G04.005,4413
01,CA001,G04.006,4414
01,CA001,G04.007,4415
01,CA001,G04.008,4416
01,CA001,G04.009,4417
01,CA001,G04.010,4418
01,CA001,G04.011,4419
01,CA001,G05 -,4420
01,CA001,G05.001,4421
01,CA001,G05.002,4422
01,CA001,G05.003,4423
01,CA001,G05.004,4424
01,CA001,G05.005,4425
01,CA001,G05.006,4426
01,CA001,G05.007,4427
01,CA001,G05.009,4428
01,CA001,G05.010,4429
01,CA001,G05.011,4430
01,CA001,G05.012,4431
01,CA001,G05.013,4432
01,CA001,G05.014,4433
01,CA001,G05.015,4434
01,CA001,G05.016,4435
01,CA001,G05.017,4436
01,CA001,G05.019,4437
01,CA001,G06 -,4438
01,CA001,G06.001,4439
01,CA001,G08 -,4440
01,CA001,G08.001,4441
01,CA001,G08.002,4442
01,CA001,G08.003,4443
01,CA001,G08.006,4444
01,CA001,G08.007,4445
01,CA001,G09 -,4446
01,CA001,G09.001,4447
01,CA001,G09.002,4448
01,CA001,G09.003,4449
01,CA001,G09.004,4450
01,CA001,G09.005,4451
01,CA001,G09.006,4452
01,CA001,G10 - ,4453
01,CA001,G10.001,4454
01,CA001,G10.002,4455
01,CA001,G10.005,4456
01,CA001,G10.006,4457
01,CA001,G11 -,4458
01,CA001,G11.001,4459
01,CA001,G11.002,4460
01,CA001,G11.003,4461
01,CA001,G11.004,4462
01,CA001,GD01,4599
01,CA001,K01 -,4463
01,CA001,K01.001,4464
01,CA001,K01.002,4465
01,CA001,K01.003,4466
01,CA001,K01.004,4467
01,CA001,K01.005,4468
01,CA001,K01.006,4469
01,CA001,K01.007,4470
01,CA001,K01.008,4471
01,CA001,K01.009,4472
01,CA001,K01.010,4473
01,CA001,K01.011,4474
01,CA001,K01.013,4475
01,CA001,K01.099,4476
01,CA001,P01 -,4477
01,CA001,P01.001,4478
01,CA001,R01 -,4479
01,CA001,R01.001,4480
01,CA001,R01.002,4481
01,CA001,R01.003,4482
01,CA001,R01.004,4483
01,CA001,R01.005,4484
01,CA001,R02 -,4485
01,CA001,R02.001,4486
01,CA001,R02.002,4487
01,CA001,R03 -,4488
01,CA001,R03.001,4489
01,CA001,R03.002,4490
01,CA001,R05 -,4491
01,CA001,R05.001,4492
01,CA001,R05.002,4493
01,CA001,R06 -,4494
01,CA001,R06.001,4495
01,CA001,R06.002,4496
01,CA001,R07 -,4497
01,CA001,R07.001,4498
01,CA001,R07.002,4499
01,CA001,R07.003,4500
01,CA001,R08,4501
01,CA001,R08.001,4502
01,CA001,S01 -,4503
01,CA001,S01.001,4504
01,CA001,S01.002,4505
01,CA001,S01.003,4506
01,CA001,S01.004,4507
01,CA001,S01.005,4508
01,CA001,S01.006,4509
01,CA001,S01.007,4510
01,CA001,S01.008,4511
01,CA001,S01.009,4512
01,CA001,S01.010,4513
01,CA001,S01.011,4514
01,CA001,S01.012,4515
01,CA001,S01.014,4516
01,CA001,S01.015,4517
01,CA001,S01.016,4518
01,CA001,S01.021,4519
01,CA001,S01.022,4520
01,CA001,S01.028,4521
01,CA001,U01 -,4522
01,CA001,U01.001,4523
01,CA001,U01.002,4524
01,CA001,U01.003,4525
01,CA001,U01.004,4526
01,CA001,U01.005,4527
01,CA001,U01.006,4528
01,CA001,U02 - ,4529
01,CA001,U02.004,4530
01,CA001,U02.005,4531
01,CA001,U02.006,4532
01,CA001,U03 - ,4533
01,CA001,U03.001,4534
01,CA001,U03.002,4535
01,CA001,U03.003,4536
01,CA001,U03.004,4537
01,CA001,U03.005,4538
01,CA001,U03.006,4539
01,CA001,U04 -,4540
01,CA001,U04.001,4541
01,CA001,U04.002,4542
01,CA001,U04.004,4543
01,CA001,U04.005,4544
01,CA001,U04.006,4545
01,CA001,U04.007,4546
01,CA001,U04.008,4547
01,CA001,U04.009,4548
01,CA001,U04.010,4549
01,CA001,U05 -,4550
01,CA001,U05.001,4551
01,CA001,U05.002,4552
01,CA001,U05.003,4553
01,CA001,U05.004,4554
01,CA001,U05.005,4555
01,CA001,U05.006,4556
01,CA001,U05.007,4557
01,CA001,U05.009,4558
01,CA001,U05.010,4559
01,CA001,U05.011,4560
01,CA001,U05.017,4561
01,CA001,U06 -,4562
01,CA001,U06.001,4563
01,CA001,U08 -,4564
01,CA001,U08.001,4565
01,CA001,U08.002,4566
01,CA001,U08.003,4567
01,CA001,U08.004,4568
01,CA001,U08.005,4569
01,CA001,U08.006,4570
01,CA001,U09 -,4571
01,CA001,U09.001,4572
01,CA001,U09.002,4573
01,CA001,U09.003,4574
01,CA001,U09.004,4575
01,CA001,U09.005,4576
01,CA001,U09.006,4577
01,CA001,U10 - ,4578
01,CA001,U10.001,4579
01,CA001,U10.002,4580
01,CA001,U10.005,4581
01,CA001,U10.006,4582
01,CA001,U12 -,4583
01,CA001,U12.001,4584
01,CA001,U12.002,4585
01,CA001,U12.003,4586
01,CA001,U12.009,4587
01,CA001,U13-,4588
01,CA001,U13.001,4589
01,CA001,U13.002,4590
01,CA001,U13.003,4591
01,CA001,U13.004,4592
01,CA001,U13.005,4593
01,CA001,U13.006,4594
01,CA001,U13.007,4595
01,CA001,U13.008,4598
01,CA001,U13.009,4596
01,CA001,U13.019,4597
01,CA002,A01 -,460
01,CA002,A01.001,461
01,CA002,A01.002,462
01,CA002,A01.003,463
01,CA002,A01.004,464
01,CA002,A01.005,465
01,CA002,A01.006,466
01,CA002,A02 - ,467
01,CA002,A02.001,468
01,CA002,A02.002,469
01,CA002,A02.003,470
01,CA002,A02.004,471
01,CA002,A02.005,472
01,CA002,A02.006,473
01,CA002,A03 - ,474
01,CA002,A03.001,475
01,CA002,A03.002,476
01,CA002,A03.003,477
01,CA002,A03.004,478
01,CA002,A03.005,479
01,CA002,A03.006,480
01,CA002,A04 -,481
01,CA002,A04.002,482
01,CA002,A04.003,483
01,CA002,A04.004,484
01,CA002,A04.005,485
01,CA002,A04.006,486
01,CA002,A04.007,487
01,CA002,A04.008,488
01,CA002,A04.009,489
01,CA002,A04.011,490
01,CA002,A05 -,491
01,CA002,A05.001,492
01,CA002,A05.002,493
01,CA002,A05.003,494
01,CA002,A05.004,495
01,CA002,A05.007,496
01,CA002,A05.009,497
01,CA002,A05.010,498
01,CA002,A05.011,499
01,CA002,A05.012,500
01,CA002,A05.019,501
01,CA002,A07 -,502
01,CA002,A07.001,503
01,CA002,A07.002,504
01,CA002,A07.003,505
01,CA002,A07.004,506
01,CA002,A07.005,507
01,CA002,A07.006,508
01,CA002,A07.007,509
01,CA002,A07.008,510
01,CA002,A07.009,511
01,CA002,A07.010,512
01,CA002,A08 -,513
01,CA002,A08.001,514
01,CA002,A08.002,515
01,CA002,A08.003,516
01,CA002,A08.004,517
01,CA002,A08.005,518
01,CA002,A08.006,519
01,CA002,A08.007,520
01,CA002,A09 -,521
01,CA002,A09.001,522
01,CA002,A09.002,523
01,CA002,A09.003,524
01,CA002,A09.004,525
01,CA002,A09.005,526
01,CA002,A09.006,527
01,CA002,A09.007,528
01,CA002,A09.008,529
01,CA002,A11 -,530
01,CA002,A11.001,531
01,CA002,A11.002,532
01,CA002,A11.003,533
01,CA002,A11.004,534
01,CA002,A11.005,535
01,CA002,A11.006,536
01,CA002,A13 -,537
01,CA002,A13.001,538
01,CA002,A13.002,539
01,CA002,A13.003,540
01,CA002,A13.004,541
01,CA002,A13.005,542
01,CA002,A13.006,543
01,CA002,A14 -,544
01,CA002,A14.002,545
01,CA002,A14.005,546
01,CA002,A14.007,547
01,CA002,A14.008,548
01,CA002,A14.009,549
01,CA002,A14.011,550
01,CA002,A15.001,551
01,CA002,A15.002,552
01,CA002,A15.003,553
01,CA002,A15.004,554
01,CA002,A15.005,555
01,CA002,A15.006,556
01,CA002,A15.009,557
01,CA002,A15.010,558
01,CA002,A15.011,559
01,CA002,A15.017,560
01,CA002,A19 -,561
01,CA002,A19-001,562
01,CA002,A21 -,563
01,CA002,A21.001,564
01,CA002,A21.002,565
01,CA002,A21.003,566
01,CA002,A21.004,567
01,CA002,A21.005,568
01,CA002,A21.006,569
01,CA002,A23 -,570
01,CA002,A23.001,571
01,CA002,A23.002,572
01,CA002,A23.003,573
01,CA002,A23.004,574
01,CA002,A23.005,575
01,CA002,A23.006,576
01,CA002,A24 -,577
01,CA002,A24.002,578
01,CA002,A24.005,579
01,CA002,A24.007,580
01,CA002,A24.008,581
01,CA002,A24.009,582
01,CA002,A24.011,583
01,CA002,A25.001,584
01,CA002,A25.002,585
01,CA002,A25.003,586
01,CA002,A25.004,587
01,CA002,A25.005,588
01,CA002,A25.006,589
01,CA002,A25.009,590
01,CA002,A25.010,591
01,CA002,A25.011,592
01,CA002,A25.017,593
01,CA002,A29 - ,594
01,CA002,A29.001,595
01,CA002,A31 -,596
01,CA002,A31.001,597
01,CA002,A31.002,598
01,CA002,A31.003,599
01,CA002,A31.004,600
01,CA002,A31.005,601
01,CA002,A31.006,602
01,CA002,A33 -,603
01,CA002,A33.001,604
01,CA002,A33.002,605
01,CA002,A33.003,606
01,CA002,A33.004,607
01,CA002,A33.005,608
01,CA002,A33.006,609
01,CA002,A34 -,610
01,CA002,A34.001,611
01,CA002,A34.002,612
01,CA002,A34.005,613
01,CA002,A34.007,614
01,CA002,A34.008,615
01,CA002,A34.009,616
01,CA002,A34.011,617
01,CA002,A35.001,618
01,CA002,A35.002,619
01,CA002,A35.003,620
01,CA002,A35.004,621
01,CA002,A35.005,622
01,CA002,A35.006,623
01,CA002,A35.009,624
01,CA002,A35.010,625
01,CA002,A35.011,626
01,CA002,A35.017,627
01,CA002,A39 - ,628
01,CA002,A39.001,629
01,CA002,A41 -,630
01,CA002,A41.001,631
01,CA002,A41.002,632
01,CA002,A41.003,633
01,CA002,A41.004,634
01,CA002,A41.005,635
01,CA002,A41.006,636
01,CA002,A43 -,637
01,CA002,A43.001,638
01,CA002,A43.002,639
01,CA002,A43.003,640
01,CA002,A43.004,641
01,CA002,A43.005,642
01,CA002,A43.006,643
01,CA002,A44 -,644
01,CA002,A44.002,645
01,CA002,A44.005,646
01,CA002,A44.007,647
01,CA002,A44.008,648
01,CA002,A44.009,649
01,CA002,A44.011,650
01,CA002,A45.001,651
01,CA002,A45.002,652
01,CA002,A45.003,653
01,CA002,A45.004,654
01,CA002,A45.005,655
01,CA002,A45.006,656
01,CA002,A45.009,657
01,CA002,A45.010,658
01,CA002,A45.011,659
01,CA002,A45.017,660
01,CA002,A49 - ,661
01,CA002,A49.001,662
01,CA002,A91 -,663
01,CA002,A91.001,664
01,CA002,A91.002,665
01,CA002,A91.003,666
01,CA002,A91.004,667
01,CA002,A91.005,668
01,CA002,A91.006,669
01,CA002,A93 -,670
01,CA002,A93.001,671
01,CA002,A93.002,672
01,CA002,A93.003,673
01,CA002,A93.004,674
01,CA002,A93.005,675
01,CA002,A93.006,676
01,CA002,A94 -,677
01,CA002,A94.002,678
01,CA002,A94.005,679
01,CA002,A94.007,680
01,CA002,A94.008,681
01,CA002,A94.009,682
01,CA002,A95.001,683
01,CA002,A95.002,684
01,CA002,A95.003,685
01,CA002,A95.004,686
01,CA002,A95.005,687
01,CA002,A95.006,688
01,CA002,A95.009,689
01,CA002,A95.010,690
01,CA002,A95.011,691
01,CA002,A95.017,692
01,CA002,A95.019,693
01,CA002,F01 -,694
01,CA002,F01.001,695
01,CA002,F01.002,696
01,CA002,F01.003,697
01,CA002,F01.004,698
01,CA002,F01.005,699
01,CA002,F01.006,700
01,CA002,F01.007,701
01,CA002,F01.008,702
01,CA002,F01.009,703
01,CA002,F01.010,704
01,CA002,F01.011,705
01,CA002,F01.020,706
01,CA002,G01 -,707
01,CA002,G01.001,708
01,CA002,G01.002,709
01,CA002,G01.003,710
01,CA002,G01.004,711
01,CA002,G01.005,712
01,CA002,G01.006,713
01,CA002,G02 - ,714
01,CA002,G02.001,715
01,CA002,G02.002,716
01,CA002,G02.003,717
01,CA002,G02.004,718
01,CA002,G02.005,719
01,CA002,G02.006,720
01,CA002,G02.007,721
01,CA002,G03 - ,722
01,CA002,G03.001,723
01,CA002,G03.002,724
01,CA002,G03.003,725
01,CA002,G03.004,726
01,CA002,G03.005,727
01,CA002,G03.006,728
01,CA002,G04 -,729
01,CA002,G04.002,730
01,CA002,G04.003,731
01,CA002,G04.004,732
01,CA002,G04.005,733
01,CA002,G04.006,734
01,CA002,G04.007,735
01,CA002,G04.008,736
01,CA002,G04.009,737
01,CA002,G04.010,738
01,CA002,G04.011,739
01,CA002,G05 -,740
01,CA002,G05.001,741
01,CA002,G05.002,742
01,CA002,G05.003,743
01,CA002,G05.004,744
01,CA002,G05.005,745
01,CA002,G05.006,746
01,CA002,G05.007,747
01,CA002,G05.009,748
01,CA002,G05.010,749
01,CA002,G05.011,750
01,CA002,G05.012,751
01,CA002,G05.013,752
01,CA002,G05.014,753
01,CA002,G05.015,754
01,CA002,G05.016,755
01,CA002,G05.017,756
01,CA002,G05.019,757
01,CA002,G06 -,758
01,CA002,G06.001,759
01,CA002,G08 -,760
01,CA002,G08.001,761
01,CA002,G08.002,762
01,CA002,G08.003,763
01,CA002,G08.006,764
01,CA002,G08.007,765
01,CA002,G09 -,766
01,CA002,G09.001,767
01,CA002,G09.002,768
01,CA002,G09.003,769
01,CA002,G09.004,770
01,CA002,G09.005,771
01,CA002,G09.006,772
01,CA002,G10 - ,773
01,CA002,G10.001,774
01,CA002,G10.002,775
01,CA002,G10.005,776
01,CA002,G10.006,777
01,CA002,G11 -,778
01,CA002,G11.001,779
01,CA002,G11.002,780
01,CA002,G11.003,781
01,CA002,G11.004,782
01,CA002,K01 -,783
01,CA002,K01.001,784
01,CA002,K01.002,785
01,CA002,K01.003,786
01,CA002,K01.004,787
01,CA002,K01.005,788
01,CA002,K01.006,789
01,CA002,K01.007,790
01,CA002,K01.008,791
01,CA002,K01.009,792
01,CA002,K01.010,793
01,CA002,K01.011,794
01,CA002,K01.013,795
01,CA002,K01.099,796
01,CA002,P01 -,797
01,CA002,P01.001,798
01,CA002,R01 -,799
01,CA002,R01.001,800
01,CA002,R01.002,801
01,CA002,R01.003,802
01,CA002,R01.004,803
01,CA002,R01.005,804
01,CA002,R02 -,805
01,CA002,R02.001,806
01,CA002,R02.002,807
01,CA002,R03 -,808
01,CA002,R03.001,809
01,CA002,R03.002,810
01,CA002,R05 -,811
01,CA002,R05.001,812
01,CA002,R05.002,813
01,CA002,R06 -,814
01,CA002,R06.001,815
01,CA002,R06.002,816
01,CA002,R07 -,817
01,CA002,R07.001,818
01,CA002,R07.002,819
01,CA002,R07.003,820
01,CA002,R08,821
01,CA002,R08.001,822
01,CA002,S01 -,823
01,CA002,S01.001,824
01,CA002,S01.002,825
01,CA002,S01.003,826
01,CA002,S01.004,827
01,CA002,S01.005,828
01,CA002,S01.006,829
01,CA002,S01.007,830
01,CA002,S01.008,831
01,CA002,S01.009,832
01,CA002,S01.010,833
01,CA002,S01.011,834
01,CA002,S01.012,835
01,CA002,S01.014,836
01,CA002,S01.015,837
01,CA002,S01.016,838
01,CA002,S01.021,839
01,CA002,S01.022,840
01,CA002,S01.028,841
01,CA002,U01 -,842
01,CA002,U01.001,843
01,CA002,U01.002,844
01,CA002,U01.003,845
01,CA002,U01.004,846
01,CA002,U01.005,847
01,CA002,U01.006,848
01,CA002,U02 - ,849
01,CA002,U02.004,850
01,CA002,U02.005,851
01,CA002,U02.006,852
01,CA002,U03 - ,853
01,CA002,U03.001,854
01,CA002,U03.002,855
01,CA002,U03.003,856
01,CA002,U03.004,857
01,CA002,U03.005,858
01,CA002,U03.006,859
01,CA002,U04 -,860
01,CA002,U04.001,861
01,CA002,U04.002,862
01,CA002,U04.004,863
01,CA002,U04.005,864
01,CA002,U04.006,865
01,CA002,U04.007,866
01,CA002,U04.008,867
01,CA002,U04.009,868
01,CA002,U04.010,869
01,CA002,U05 -,870
01,CA002,U05.001,871
01,CA002,U05.002,872
01,CA002,U05.003,873
01,CA002,U05.004,874
01,CA002,U05.005,875
01,CA002,U05.006,876
01,CA002,U05.007,877
01,CA002,U05.009,878
01,CA002,U05.010,879
01,CA002,U05.011,880
01,CA002,U05.017,881
01,CA002,U06 -,882
01,CA002,U06.001,883
01,CA002,U08 -,884
01,CA002,U08.001,885
01,CA002,U08.002,886
01,CA002,U08.003,887
01,CA002,U08.004,888
01,CA002,U08.005,889
01,CA002,U08.006,890
01,CA002,U09 -,891
01,CA002,U09.001,892
01,CA002,U09.002,893
01,CA002,U09.003,894
01,CA002,U09.004,895
01,CA002,U09.005,896
01,CA002,U09.006,897
01,CA002,U10 - ,898
01,CA002,U10.001,899
01,CA002,U10.002,900
01,CA002,U10.005,901
01,CA002,U10.006,902
01,CA002,U12 -,903
01,CA002,U12.001,904
01,CA002,U12.002,905
01,CA002,U12.003,906
01,CA002,U12.009,907
01,CA002,U13-,908
01,CA002,U13.001,909
01,CA002,U13.002,910
01,CA002,U13.003,911
01,CA002,U13.004,912
01,CA002,U13.005,913
01,CA002,U13.006,914
01,CA002,U13.007,915
01,CA002,U13.008,916
01,CA002,U13.009,917
01,CA002,U13.019,918
01,CA003,A01 -,919
01,CA003,A01.001,920
01,CA003,A01.002,921
01,CA003,A01.003,922
01,CA003,A01.004,923
01,CA003,A01.005,924
01,CA003,A01.006,925
01,CA003,A02 - ,926
01,CA003,A02.001,927
01,CA003,A02.002,928
01,CA003,A02.003,929
01,CA003,A02.004,930
01,CA003,A02.005,931
01,CA003,A02.006,932
01,CA003,A03 - ,933
01,CA003,A03.001,934
01,CA003,A03.002,935
01,CA003,A03.003,936
01,CA003,A03.004,937
01,CA003,A03.005,938
01,CA003,A03.006,939
01,CA003,A04 -,940
01,CA003,A04.002,941
01,CA003,A04.003,942
01,CA003,A04.004,943
01,CA003,A04.005,944
01,CA003,A04.006,945
01,CA003,A04.007,946
01,CA003,A04.008,947
01,CA003,A04.009,948
01,CA003,A04.011,949
01,CA003,A05 -,950
01,CA003,A05.001,951
01,CA003,A05.002,952
01,CA003,A05.003,953
01,CA003,A05.004,954
01,CA003,A05.007,955
01,CA003,A05.009,956
01,CA003,A05.010,957
01,CA003,A05.011,958
01,CA003,A05.012,959
01,CA003,A05.019,960
01,CA003,A07 -,961
01,CA003,A07.001,962
01,CA003,A07.002,963
01,CA003,A07.003,964
01,CA003,A07.004,965
01,CA003,A07.005,966
01,CA003,A07.006,967
01,CA003,A07.007,968
01,CA003,A07.008,969
01,CA003,A07.009,970
01,CA003,A07.010,971
01,CA003,A08 -,972
01,CA003,A08.001,973
01,CA003,A08.002,974
01,CA003,A08.003,975
01,CA003,A08.004,976
01,CA003,A08.005,977
01,CA003,A08.006,978
01,CA003,A08.007,979
01,CA003,A09 -,980
01,CA003,A09.001,981
01,CA003,A09.002,982
01,CA003,A09.003,983
01,CA003,A09.004,984
01,CA003,A09.005,985
01,CA003,A09.006,986
01,CA003,A09.007,987
01,CA003,A09.008,988
01,CA003,A11 -,989
01,CA003,A11.001,990
01,CA003,A11.002,991
01,CA003,A11.003,992
01,CA003,A11.004,993
01,CA003,A11.005,994
01,CA003,A11.006,995
01,CA003,A13 -,996
01,CA003,A13.001,997
01,CA003,A13.002,998
01,CA003,A13.003,999
01,CA003,A13.004,1000
01,CA003,A13.005,1001
01,CA003,A13.006,1002
01,CA003,A14 -,1003
01,CA003,A14.002,1004
01,CA003,A14.005,1005
01,CA003,A14.007,1006
01,CA003,A14.008,1007
01,CA003,A14.009,1008
01,CA003,A14.011,1009
01,CA003,A15.001,1010
01,CA003,A15.002,1011
01,CA003,A15.003,1012
01,CA003,A15.004,1013
01,CA003,A15.005,1014
01,CA003,A15.006,1015
01,CA003,A15.009,1016
01,CA003,A15.010,1017
01,CA003,A15.011,1018
01,CA003,A15.017,1019
01,CA003,A19 -,1020
01,CA003,A19-001,1021
01,CA003,A21 -,1022
01,CA003,A21.001,1023
01,CA003,A21.002,1024
01,CA003,A21.003,1025
01,CA003,A21.004,1026
01,CA003,A21.005,1027
01,CA003,A21.006,1028
01,CA003,A23 -,1029
01,CA003,A23.001,1030
01,CA003,A23.002,1031
01,CA003,A23.003,1032
