ID,STanim,RTanim,BTanim,Pay,Payda,BelgeNo,PosNo,Parcali,BosHucre,DT,Location,kgid,insUN,insDT,insApp,updUN,updDT,updApp
14,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,21,30,0,5116,0,0,2024-11-13 17:53:10.123000,CA001,14,Samet,2024-11-13 17:53:10.123000,KGWMSREST,,,
15,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,1,36,0,5116,1,10000,2024-11-13 17:53:34.490000,CA001,15,Samet,2024-11-13 17:53:34.490000,KGWMSREST,,,
16,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,2,36,0,5116,1,10000,2024-11-13 17:53:36.867000,CA001,16,Samet,2024-11-13 17:53:36.867000,KGWMSREST,,,
17,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,3,36,0,5116,1,10000,2024-11-13 17:53:39.570000,CA001,17,Samet,2024-11-13 17:53:39.570000,KGWMSREST,,,
18,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,25,28,0,5116,0,0,2024-11-13 17:57:09.990000,CA001,18,Samet,2024-11-13 17:57:09.990000,KGWMSREST,,,
19,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,20,28,0,5116,0,0,2024-11-13 17:57:11.147000,CA001,19,Samet,2024-11-13 17:57:11.147000,KGWMSREST,,,
20,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,20,28,0,5116,0,0,2024-11-13 17:57:12.637000,CA001,20,Samet,2024-11-13 17:57:12.637000,KGWMSREST,,,
21,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,21,28,0,5116,0,0,2024-11-13 17:57:13.960000,CA001,21,Samet,2024-11-13 17:57:13.960000,KGWMSREST,,,
22,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,26,28,0,5116,0,0,2024-11-13 17:57:15.373000,CA001,22,Samet,2024-11-13 17:57:15.373000,KGWMSREST,,,
23,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,22,28,0,5116,0,0,2024-11-13 17:57:16.820000,CA001,23,Samet,2024-11-13 17:57:16.820000,KGWMSREST,,,
24,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,21,28,0,5116,0,0,2024-11-13 17:57:18.390000,CA001,24,Samet,2024-11-13 17:57:18.390000,KGWMSREST,,,
25,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,23,28,0,5116,0,0,2024-11-13 17:57:20.257000,CA001,25,Samet,2024-11-13 17:57:20.257000,KGWMSREST,,,
26,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,22,28,0,5116,0,0,2024-11-13 17:57:20.950000,CA001,26,Samet,2024-11-13 17:57:20.950000,KGWMSREST,,,
27,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,27,28,0,5116,0,0,2024-11-13 17:57:22.063000,CA001,27,Samet,2024-11-13 17:57:22.063000,KGWMSREST,,,
28,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,24,28,0,5116,0,0,2024-11-13 17:57:22.890000,CA001,28,Samet,2024-11-13 17:57:22.890000,KGWMSREST,,,
29,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,23,28,0,5116,0,0,2024-11-13 17:57:23.633000,CA001,29,Samet,2024-11-13 17:57:23.633000,KGWMSREST,,,
30,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,28,28,0,5116,0,0,2024-11-13 17:57:24.357000,CA001,30,Samet,2024-11-13 17:57:24.357000,KGWMSREST,,,
31,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,25,28,0,5116,0,0,2024-11-13 17:57:24.813000,CA001,31,Samet,2024-11-13 17:57:24.813000,KGWMSREST,,,
32,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,24,28,0,5116,0,0,2024-11-13 17:57:25.347000,CA001,32,Samet,2024-11-13 17:57:25.347000,KGWMSREST,,,
33,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,26,28,0,5116,0,0,2024-11-13 17:57:26.023000,CA001,33,Samet,2024-11-13 17:57:26.023000,KGWMSREST,,,
34,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,25,28,0,5116,0,0,2024-11-13 17:57:27.483000,CA001,34,Samet,2024-11-13 17:57:27.483000,KGWMSREST,,,
35,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,26,28,0,5116,0,0,2024-11-13 17:57:27.957000,CA001,35,Samet,2024-11-13 17:57:27.957000,KGWMSREST,,,
36,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,27,28,0,5116,0,0,2024-11-13 17:57:28.673000,CA001,36,Samet,2024-11-13 17:57:28.673000,KGWMSREST,,,
37,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,28,28,0,5116,0,0,2024-11-13 17:57:29.170000,CA001,37,Samet,2024-11-13 17:57:29.170000,KGWMSREST,,,
38,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,27,28,0,5116,0,0,2024-11-13 17:57:29.887000,CA001,38,Samet,2024-11-13 17:57:29.887000,KGWMSREST,,,
39,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,28,28,0,5116,0,0,2024-11-13 17:57:30.377000,CA001,39,Samet,2024-11-13 17:57:30.377000,KGWMSREST,,,
40,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,27,28,0,5116,0,0,2024-11-13 17:57:39.457000,CA001,40,Samet,2024-11-13 17:57:39.457000,KGWMSREST,,,
41,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,28,28,0,5116,0,0,2024-11-13 17:57:39.963000,CA001,41,Samet,2024-11-13 17:57:39.963000,KGWMSREST,,,
42,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,4,36,0,5116,1,10000,2024-11-13 17:57:56.743000,CA001,42,Samet,2024-11-13 17:57:56.743000,KGWMSREST,,,
43,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,5,36,0,5116,1,10000,2024-11-13 17:57:58.897000,CA001,43,Samet,2024-11-13 17:57:58.897000,KGWMSREST,,,
44,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,6,36,0,5116,1,10000,2024-11-13 17:58:00.430000,CA001,44,Samet,2024-11-13 17:58:00.430000,KGWMSREST,,,
45,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,7,36,0,5116,1,10000,2024-11-13 17:58:09.533000,CA001,45,Samet,2024-11-13 17:58:09.533000,KGWMSREST,,,
46,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,8,36,0,5116,1,10000,2024-11-13 17:58:13.783000,CA001,46,Samet,2024-11-13 17:58:13.783000,KGWMSREST,,,
47,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,9,36,0,5116,1,10000,2024-11-13 17:58:19.867000,CA001,47,Samet,2024-11-13 17:58:19.867000,KGWMSREST,,,
48,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,35,10,36,0,5116,1,10000,2024-11-13 17:58:21.747000,CA001,48,Samet,2024-11-13 17:58:21.747000,KGWMSREST,,,
49,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,11,36,0,5116,1,10000,2024-11-13 17:58:24.813000,CA001,49,Samet,2024-11-13 17:58:24.813000,KGWMSREST,,,
50,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,12,36,0,5116,1,10000,2024-11-13 17:58:27.230000,CA001,50,Samet,2024-11-13 17:58:27.230000,KGWMSREST,,,
51,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,13,36,0,5116,1,10000,2024-11-13 17:58:29.357000,CA001,51,Samet,2024-11-13 17:58:29.357000,KGWMSREST,,,
52,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,14,36,0,5116,1,10000,2024-11-13 17:58:34.393000,CA001,52,Samet,2024-11-13 17:58:34.393000,KGWMSREST,,,
53,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,36,15,36,0,5116,1,10000,2024-11-13 17:58:37.230000,CA001,53,Samet,2024-11-13 17:58:37.230000,KGWMSREST,,,
54,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,37,16,36,0,5116,1,10000,2024-11-13 17:58:39.910000,CA001,54,Samet,2024-11-13 17:58:39.910000,KGWMSREST,,,
55,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,1,5,0,5118,0,0,2024-11-13 18:33:05.183000,CA001,55,Samet,2024-11-13 18:33:05.183000,KGWMSREST,,,
56,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,2,5,0,5118,0,0,2024-11-13 18:33:51.750000,CA001,56,Samet,2024-11-13 18:33:51.750000,KGWMSREST,,,
57,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,1,5,0,5118,0,1,2024-11-13 18:34:22.880000,CA001,57,Samet,2024-11-13 18:34:22.880000,KGWMSREST,,,
58,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,2,5,0,5118,0,0,2024-11-13 18:35:36.197000,CA001,58,Samet,2024-11-13 18:35:36.197000,KGWMSREST,,,
59,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,3,5,0,5118,0,0,2024-11-13 18:35:37.410000,CA001,59,Samet,2024-11-13 18:35:37.410000,KGWMSREST,,,
60,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,4,5,0,5118,0,0,2024-11-13 18:35:38.663000,CA001,60,Samet,2024-11-13 18:35:38.663000,KGWMSREST,,,
61,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,5,5,0,5118,0,0,2024-11-13 18:35:39.870000,CA001,61,Samet,2024-11-13 18:35:39.870000,KGWMSREST,,,
62,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,2,5,0,5118,0,1,2024-11-13 18:35:54.853000,CA001,62,Samet,2024-11-13 18:35:54.853000,KGWMSREST,,,
63,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,3,5,0,5118,0,1,2024-11-13 18:36:10.947000,CA001,63,Samet,2024-11-13 18:36:10.947000,KGWMSREST,,,
64,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,4,5,0,5118,0,1,2024-11-13 18:36:13.410000,CA001,64,Samet,2024-11-13 18:36:13.410000,KGWMSREST,,,
65,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,1,5,0,5118,0,0,2024-11-14 10:11:12.213000,CA001,65,Samet,2024-11-14 10:11:12.213000,KGWMSREST,,,
66,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,2,5,0,5118,0,0,2024-11-14 10:12:06.157000,CA001,66,Samet,2024-11-14 10:12:06.157000,KGWMSREST,,,
67,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,3,5,0,5118,0,0,2024-11-14 10:12:08.077000,CA001,67,Samet,2024-11-14 10:12:08.077000,KGWMSREST,,,
68,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,4,5,0,5118,0,0,2024-11-14 10:12:10.257000,CA001,68,Samet,2024-11-14 10:12:10.257000,KGWMSREST,,,
69,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,5,5,0,5118,0,0,2024-11-14 10:12:22.647000,CA001,69,Samet,2024-11-14 10:12:22.647000,KGWMSREST,,,
70,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,1,5,0,5118,0,1,2024-11-14 10:12:41.483000,CA001,70,Samet,2024-11-14 10:12:41.483000,KGWMSREST,,,
71,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,2,5,0,5118,0,1,2024-11-14 10:12:44.027000,CA001,71,Samet,2024-11-14 10:12:44.027000,KGWMSREST,,,
72,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,3,5,0,5118,0,1,2024-11-14 10:12:47.523000,CA001,72,Samet,2024-11-14 10:12:47.523000,KGWMSREST,,,
73,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,4,5,0,5118,0,1,2024-11-14 10:12:51.087000,CA001,73,Samet,2024-11-14 10:12:51.087000,KGWMSREST,,,
74,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,1,5,0,5118,0,0,2024-11-14 10:43:25.023000,CA001,74,Samet,2024-11-14 10:43:25.023000,KGWMSREST,,,
75,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,2,5,0,5118,0,0,2024-11-14 10:43:59.450000,CA001,75,Samet,2024-11-14 10:43:59.450000,KGWMSREST,,,
76,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,3,5,0,5118,0,0,2024-11-14 10:44:02.050000,CA001,76,Samet,2024-11-14 10:44:02.050000,KGWMSREST,,,
77,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,4,5,0,5118,0,0,2024-11-14 10:44:04.203000,CA001,77,Samet,2024-11-14 10:44:04.203000,KGWMSREST,,,
78,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,5,5,0,5118,0,0,2024-11-14 10:44:06.893000,CA001,78,Samet,2024-11-14 10:44:06.893000,KGWMSREST,,,
79,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,1,5,0,5118,0,1,2024-11-14 10:44:25.200000,CA001,79,Samet,2024-11-14 10:44:25.200000,KGWMSREST,,,
80,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,2,5,0,5118,0,1,2024-11-14 10:44:36.977000,CA001,80,Samet,2024-11-14 10:44:36.977000,KGWMSREST,,,
81,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,3,5,0,5118,0,1,2024-11-14 10:44:43.113000,CA001,81,Samet,2024-11-14 10:44:43.113000,KGWMSREST,,,
82,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,4,5,0,5118,0,1,2024-11-14 10:44:49.663000,CA001,82,Samet,2024-11-14 10:44:49.663000,KGWMSREST,,,
83,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,1,5,0,5118,0,0,2024-11-14 12:10:49.703000,CA001,83,Samet,2024-11-14 12:10:49.703000,KGWMSREST,,,
84,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,2,5,0,5118,0,0,2024-11-14 12:10:51.060000,CA001,84,Samet,2024-11-14 12:10:51.060000,KGWMSREST,,,
85,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,3,5,0,5118,0,0,2024-11-14 12:10:52.223000,CA001,85,Samet,2024-11-14 12:10:52.223000,KGWMSREST,,,
86,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,4,5,0,5118,0,0,2024-11-14 12:10:53.263000,CA001,86,Samet,2024-11-14 12:10:53.263000,KGWMSREST,,,
87,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,5,5,0,5118,0,0,2024-11-14 12:10:54.340000,CA001,87,Samet,2024-11-14 12:10:54.340000,KGWMSREST,,,
88,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,1,5,0,5118,0,1,2024-11-14 12:11:04.053000,CA001,88,Samet,2024-11-14 12:11:04.053000,KGWMSREST,,,
89,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,2,5,0,5118,1,1,2024-11-14 12:11:12.733000,CA001,89,Samet,2024-11-14 12:11:12.733000,KGWMSREST,,,
90,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,3,5,0,5118,1,1,2024-11-14 12:11:17.890000,CA001,90,Samet,2024-11-14 12:11:17.890000,KGWMSREST,,,
91,Korgun 2553 118 Taban Beyaz Astar Ayakkabı,Siyah Fsn - Siyah Deri,39,1,5,0,22636,0,0,2024-11-14 17:04:14.577000,CA001,91,Samet,2024-11-14 17:04:14.577000,KGWMSREST,,,
