minx,SipNo,Siparis_Miktari,Birim,Toplam_Kapatilan,Gonderilen,Faturalanan,Net_Kalan,kgid,insUN,insDT,insApp,updUN,updDT,updApp
6,1661,210.0,ADET,0.0,0.0,0.0,210.0,25,,,,,,
6,1670,5000.0,ADET,5000.0,5000.0,0.0,0.0,26,,,,,,
6,1676,10730.0,ADET,10730.0,10730.0,10730.0,0.0,27,,,,,,
6,1677,130.0,ADET,130.0,130.0,130.0,0.0,28,,,,,,
6,1684,8.0,ADET,8.0,8.0,8.0,0.0,29,,,,,,
6,1692,5000.0,ADET,5000.0,5000.0,0.0,0.0,30,,,,,,
6,1693,192.0,ADET,192.0,192.0,192.0,0.0,31,,,,,,
6,1697,2001.0,ADET,2001.0,2001.0,2001.0,0.0,32,,,,,,
6,1699,2000.0,ADET,2000.0,2000.0,2000.0,0.0,33,,,,,,
6,1702,1.0,ADET,0.0,0.0,0.0,1.0,34,,,,,,
6,1705,12.0,ADET,12.0,12.0,0.0,0.0,35,,,,,,
6,1706,300.0,ADET,300.0,300.0,0.0,0.0,36,,,,,,
6,1709,13300.0,ADET,13300.0,13300.0,13300.0,0.0,37,,,,,,
6,1712,200.0,ADET,200.0,200.0,200.0,0.0,38,,,,,,
6,1816,10000.0,ADET,0.0,0.0,0.0,10000.0,39,,,,,,
6,1847,20.0,ADET,20.0,20.0,0.0,0.0,40,,,,,,
6,1883,1000.0,ADET,0.0,0.0,0.0,1000.0,41,,,,,,
6,1888,2.0,ADET,2.0,2.0,0.0,0.0,42,,,,,,
6,1940,20000.0,ADET,0.0,0.0,0.0,20000.0,43,,,,,,
6,1990,100.0,ADET,0.0,0.0,0.0,100.0,44,,,,,,
6,2002,64.0,ADET,0.0,0.0,0.0,64.0,45,,,,,,
6,2004,10.0,ADET,0.0,0.0,0.0,10.0,46,,,,,,
6,1699,20.0,BOBIN,20.0,20.0,20.0,0.0,47,,,,,,
6,1347,652.0,CIFT,385.0,385.0,385.0,267.0,48,,,,,,
6,1348,360.0,CIFT,0.0,0.0,0.0,360.0,49,,,,,,
6,1349,160.0,CIFT,0.0,0.0,0.0,160.0,50,,,,,,
6,1351,1150.0,CIFT,900.0,900.0,900.0,250.0,51,,,,,,
6,1359,32.0,CIFT,0.0,0.0,0.0,32.0,52,,,,,,
6,1378,150.0,CIFT,0.0,0.0,0.0,150.0,53,,,,,,
6,1381,2250.0,CIFT,0.0,0.0,0.0,2250.0,54,,,,,,
6,1408,1100.0,CIFT,1100.0,1100.0,1100.0,0.0,55,,,,,,
6,1415,135.0,CIFT,135.0,135.0,135.0,0.0,56,,,,,,
6,1421,855.0,CIFT,855.0,855.0,855.0,0.0,57,,,,,,
6,1422,135.0,CIFT,135.0,135.0,135.0,0.0,58,,,,,,
6,1423,235.0,CIFT,235.0,235.0,235.0,0.0,59,,,,,,
6,1424,795.0,CIFT,795.0,795.0,0.0,0.0,60,,,,,,
6,1425,1300.0,CIFT,1300.0,1300.0,1300.0,0.0,61,,,,,,
6,1434,170.0,CIFT,0.0,0.0,0.0,170.0,62,,,,,,
6,1446,260.0,CIFT,193.0,193.0,193.0,67.0,63,,,,,,
6,1447,1300.0,CIFT,1300.0,1300.0,1300.0,0.0,64,,,,,,
6,1515,280.0,CIFT,280.0,280.0,280.0,0.0,65,,,,,,
6,1516,185.0,CIFT,185.0,185.0,185.0,0.0,66,,,,,,
6,1526,997.0,CIFT,0.0,0.0,0.0,997.0,67,,,,,,
6,1585,2350.0,CIFT,2350.0,2350.0,2350.0,0.0,68,,,,,,
6,1601,472.0,CIFT,472.0,472.0,472.0,0.0,69,,,,,,
6,1602,1400.0,CIFT,1400.0,1400.0,1400.0,0.0,70,,,,,,
6,1610,250.0,CIFT,250.0,250.0,250.0,0.0,71,,,,,,
6,1616,420.0,CIFT,420.0,420.0,420.0,0.0,72,,,,,,
6,1648,12.0,CIFT,0.0,0.0,0.0,12.0,73,,,,,,
6,1671,3.0,CIFT,3.0,3.0,3.0,0.0,74,,,,,,
6,1681,2440.0,CIFT,2440.0,2440.0,2440.0,0.0,75,,,,,,
6,1682,370.0,CIFT,0.0,0.0,0.0,370.0,76,,,,,,
6,1686,135.0,CIFT,0.0,0.0,0.0,135.0,77,,,,,,
6,1690,330.0,CIFT,0.0,0.0,0.0,330.0,78,,,,,,
6,1698,50.0,CIFT,0.0,0.0,0.0,50.0,79,,,,,,
6,1704,1100.0,CIFT,200.0,200.0,200.0,900.0,80,,,,,,
6,1707,300.0,CIFT,300.0,300.0,0.0,0.0,81,,,,,,
6,1718,880.0,CIFT,880.0,880.0,0.0,0.0,82,,,,,,
6,1720,335.0,CIFT,0.0,0.0,0.0,335.0,83,,,,,,
6,1721,745.0,CIFT,565.0,565.0,0.0,180.0,84,,,,,,
6,1765,3.0,CIFT,3.0,3.0,0.0,0.0,85,,,,,,
6,1769,2400.0,CIFT,2400.0,2400.0,0.0,0.0,86,,,,,,
6,1782,650.0,CIFT,0.0,0.0,0.0,650.0,87,,,,,,
6,1783,1050.0,CIFT,1050.0,1050.0,1050.0,0.0,88,,,,,,
6,1819,200.0,CIFT,0.0,0.0,0.0,200.0,89,,,,,,
6,1890,115.0,CIFT,0.0,0.0,0.0,115.0,90,,,,,,
6,1897,307.0,CIFT,0.0,0.0,0.0,307.0,91,,,,,,
6,1938,4.0,CIFT,4.0,4.0,0.0,0.0,92,,,,,,
6,1957,56.0,CIFT,0.0,0.0,0.0,56.0,93,,,,,,
6,1607,39033.0,DESI,39033.0,39033.0,39033.0,0.0,94,,,,,,
6,1608,5414.0,DESI,5414.0,5414.0,5414.0,0.0,95,,,,,,
6,1611,69023.0,DESI,69023.0,69023.0,69023.0,0.0,96,,,,,,
6,1624,50000.0,DESI,50000.0,40113.0,0.0,0.0,97,,,,,,
6,1719,2504.0,DESI,2504.0,2504.0,2504.0,0.0,98,,,,,,
6,1895,181.0,DESI,181.0,181.0,0.0,0.0,99,,,,,,
6,1978,1159.0,DESI,1159.0,1159.0,0.0,0.0,100,,,,,,
6,1979,194.0,DESI,194.0,194.0,0.0,0.0,101,,,,,,
6,1039,390.0,KG,0.0,0.0,0.0,390.0,102,,,,,,
6,1379,20.0,KG,20.0,20.0,20.0,0.0,103,,,,,,
6,1433,5.0,KG,5.0,5.0,5.0,0.0,104,,,,,,
6,1529,10.0,KG,0.0,0.0,0.0,10.0,105,,,,,,
6,1589,50.0,KG,50.0,50.0,50.0,0.0,106,,,,,,
6,1625,200.0,KG,200.0,200.0,200.0,0.0,107,,,,,,
6,1658,10.0,KG,10.0,10.0,10.0,0.0,108,,,,,,
6,1818,1.0,KG,1.0,1.0,0.0,0.0,109,,,,,,
6,1958,52.0,KG,52.0,52.0,0.0,0.0,110,,,,,,
6,1380,4.0,KOLI,4.0,4.0,4.0,0.0,111,,,,,,
6,1418,1.0,KOLI,1.0,1.0,1.0,0.0,112,,,,,,
6,1480,60.0,METRE,60.0,60.0,60.0,0.0,113,,,,,,
6,1594,130.5,METRE,130.5,130.5,130.5,0.0,114,,,,,,
6,1664,25.0,METRE,25.0,25.0,25.0,0.0,115,,,,,,
6,1699,50.0,METRE,50.0,50.0,50.0,0.0,116,,,,,,
6,1767,50.0,METRE,50.0,50.0,0.0,0.0,117,,,,,,
6,1768,125.0,METRE,125.0,125.0,0.0,0.0,118,,,,,,
6,1445,9.0,PAKET,9.0,9.0,9.0,0.0,119,,,,,,
6,1647,20.0,PAKET,20.0,20.0,20.0,0.0,120,,,,,,
6,1696,6.5,PAKET,6.5,6.5,0.0,0.0,121,,,,,,
6,1708,15.0,PAKET,15.0,15.0,0.0,0.0,122,,,,,,
6,1764,8.0,PAKET,5.0,5.0,0.0,3.0,123,,,,,,
6,1770,1.0,PAKET,1.0,0.0,0.0,0.0,124,,,,,,
6,1772,10.0,PAKET,10.0,10.0,10.0,0.0,125,,,,,,
6,1603,60.0,PLAKA,60.0,60.0,60.0,0.0,126,,,,,,
6,1700,20.0,PLAKA,20.0,20.0,20.0,0.0,127,,,,,,
6,1716,10.0,PLAKA,10.0,10.0,10.0,0.0,128,,,,,,
6,1823,1.0,PLAKA,1.0,1.0,0.0,0.0,129,,,,,,
6,1891,40.0,PLAKA,40.0,0.0,0.0,0.0,130,,,,,,
6,1893,30.0,PLAKA,30.0,30.0,0.0,0.0,131,,,,,,
6,1894,42.0,PLAKA,42.0,42.0,0.0,0.0,132,,,,,,
