MKod,SendServerName,SendCatalog,Title,SendKod,SendTitle,kgid,insUN,insDT,insApp,updUN,updDT,updApp
48,KorgunDb,Antrepo20,FREE SARI (BAKIR),,,47,,,,,,
49,KorgunDb,Antrepo20,MAT SIYAH,,,48,,,,,,
50,KorgunDb,Antrepo20,FREE SIYAH CABANI YAZILI,,,49,,,,,,
51,KorgunDb,Antrepo20,FREE SARI BAKIR CABANI YAZILI,,,50,,,,,,
52,KorgunDb,Antrepo20,MAT SIYAH CABANI YAZILI,,,51,,,,,,
53,KorgunDb,Antrepo20,ANTIK,,,52,,,,,,
54,KorgunDb,Antrepo20,FINDIK,,,53,,,,,,
55,KorgunDb,Antrepo20,SIYAH-FUME,,,54,,,,,,
56,KorgunDb,Antrepo20,SIYAH-BEYAZ-LACIVERT,,,55,,,,,,
57,KorgunDb,Antrepo20,SIYAH-BEYAZ-KIRMIZI,,,56,,,,,,
58,KorgunDb,Antrepo20,HARDAL,,,57,,,,,,
59,KorgunDb,Antrepo20,GRI,,,58,,,,,,
60,KorgunDb,Antrepo20,MAVI,,,59,,,,,,
61,KorgunDb,Antrepo20,301 SIYAH,,,60,,,,,,
62,KorgunDb,Antrepo20,YESIL,,,61,,,,,,
63,KorgunDb,Antrepo20,SARI,,,62,,,,,,
64,KorgunDb,Antrepo20,SILVER,,,63,,,,,,
65,KorgunDb,Antrepo20,SIYAH-GRI-BEYAZ,,,64,,,,,,
66,KorgunDb,Antrepo20,SIYAH-ACIKGRI-SIYAH,,,65,,,,,,
67,KorgunDb,Antrepo20,BAKIR,,,66,,,,,,
68,KorgunDb,Antrepo20,FREE FUME,,,67,,,,,,
69,KorgunDb,Antrepo20,Şal Desenli,,,68,,,,,,
70,KorgunDb,Antrepo20,Kırmızı Çiçekli,,,69,,,,,,
71,KorgunDb,Antrepo20,Siyah,,,70,,,,,,
72,KorgunDb,Antrepo20,Mavi,,,71,,,,,,
73,KorgunDb,Antrepo20,Gümüş,,,72,,,,,,
74,KorgunDb,Antrepo20,Haki,,,73,,,,,,
75,KorgunDb,Antrepo20,Kahve Kahve,,,74,,,,,,
76,KorgunDb,Antrepo20,Platin,,,75,,,,,,
77,KorgunDb,Antrepo20,Laci,,,76,,,,,,
78,KorgunDb,Antrepo20,K.Altın,,,77,,,,,,
79,KorgunDb,Antrepo20,Yeşil Dokuma Kumaş,,,78,,,,,,
80,KorgunDb,Antrepo20,Pembe,,,79,,,,,,
81,KorgunDb,Antrepo20,Sarı Desenli,,,80,,,,,,
82,KorgunDb,Antrepo20,Bordo Floter,,,81,,,,,,
83,KorgunDb,Antrepo20,Siyah Floter - Siyah Naturel Floter,,,82,,,,,,
84,KorgunDb,Antrepo20,Vizon Floter - Pudra Naturel Floter,,,83,,,,,,
85,KorgunDb,Antrepo20,Kırmızı Floter - Kırmızı Deri,,,84,,,,,,
86,KorgunDb,Antrepo20,Taba Floter,,,85,,,,,,
87,KorgunDb,Antrepo20,Kahve Deri,,,86,,,,,,
88,KorgunDb,Antrepo20,Mavi Floter - Mavi Naturel,,,87,,,,,,
89,KorgunDb,Antrepo20,Sarı Floter,,,88,,,,,,
90,KorgunDb,Antrepo20,Haki Floter,,,89,,,,,,
91,KorgunDb,Antrepo20,Kahve Floter,,,90,,,,,,
92,KorgunDb,Antrepo20,Multi Colour,,,91,,,,,,
93,KorgunDb,Antrepo20,Siyah Örgülü - Siyah Deri,,,92,,,,,,
94,KorgunDb,Antrepo20,Siyah Mat Floter - Siyah Naturel Floter,,,93,,,,,,
95,KorgunDb,Antrepo20,Gri Fsn Grideri,,,94,,,,,,
96,KorgunDb,Antrepo20,Siyah Fsn - Siyah Deri,,,95,,,,,,
97,KorgunDb,Antrepo20,Laci Deri,,,96,,,,,,
98,KorgunDb,Antrepo20,Füme,,,97,,,,,,
99,KorgunDb,Antrepo20,Naturel,,,98,,,,,,
100,KorgunDb,Antrepo20,Bej Deri,,,99,,,,,,
101,KorgunDb,Antrepo20,Kırmızı Fsn - Kırmızı Deri,,,100,,,,,,
102,KorgunDb,Antrepo20,Gri Kroko - Garni Napa - Gri Kroko Deri,,,101,,,,,,
103,KorgunDb,Antrepo20,Koyu Gri,,,102,,,,,,
104,KorgunDb,Antrepo20,Açık Kahve Deri,,,103,,,,,,
105,KorgunDb,Antrepo20,Taba Deri,,,104,,,,,,
107,KorgunDb,Antrepo20,Kahve Suet,,,105,,,,,,
108,KorgunDb,Antrepo20,Kızıl Kahve - Kırmızı Deri,,,106,,,,,,
109,KorgunDb,Antrepo20,Siyah Nubuk,,,107,,,,,,
110,KorgunDb,Antrepo20,Bej Nubuk,,,108,,,,,,
111,KorgunDb,Antrepo20,Turuncu Yılan,,,109,,,,,,
112,KorgunDb,Antrepo20,Mavi Deri,,,110,,,,,,
114,KorgunDb,Antrepo20,Turkuaz,,,111,,,,,,
115,KorgunDb,Antrepo20,Laci Suet,,,112,,,,,,
116,KorgunDb,Antrepo20,Eflatun Açma - Mor Deri,,,113,,,,,,
117,KorgunDb,Antrepo20,Mor Deri,,,114,,,,,,
118,KorgunDb,Antrepo20,Murdum - Mor,,,115,,,,,,
122,KorgunDb,Antrepo20,Pembe Deri,,,116,,,,,,
123,KorgunDb,Antrepo20,Gümüş Deri,,,117,,,,,,
124,KorgunDb,Antrepo20,Altın Deri,,,118,,,,,,
125,KorgunDb,Antrepo20,Platin Flap - Füme Deri,,,119,,,,,,
126,KorgunDb,Antrepo20,Beyaz Deri,,,120,,,,,,
127,KorgunDb,Antrepo20,Koyu Kahve Deri,,,121,,,,,,
128,KorgunDb,Antrepo20,Yeşil Fason - Yeşil Deri,,,122,,,,,,
129,KorgunDb,Antrepo20,Sax Mavi Deri,,,123,,,,,,
130,KorgunDb,Antrepo20,Ekru Kırık - Beyaz Bordoderi,,,124,,,,,,
131,KorgunDb,Antrepo20,Platin Antrasit Deri,,,125,,,,,,
132,KorgunDb,Antrepo20,Bordo Deri,,,126,,,,,,
133,KorgunDb,Antrepo20,Gümüş Flap - Gümüş Deri,,,127,,,,,,
134,KorgunDb,Antrepo20,Siyah Baskılı Deri,,,128,,,,,,
136,KorgunDb,Antrepo20,Antrasit,,,129,,,,,,
137,KorgunDb,Antrepo20,Rose,,,130,,,,,,
139,KorgunDb,Antrepo20,Mor,,,131,,,,,,
140,KorgunDb,Antrepo20,Petrol,,,132,,,,,,
141,KorgunDb,Antrepo20,Siyah Kroko,,,133,,,,,,
142,KorgunDb,Antrepo20,Kiremit Kahve,,,134,,,,,,
143,KorgunDb,Antrepo20,Siyah Devekusu,,,135,,,,,,
144,KorgunDb,Antrepo20,Kahve Devekuşu,,,136,,,,,,
145,KorgunDb,Antrepo20,Laci Devekuşu Deri,,,137,,,,,,
146,KorgunDb,Antrepo20,Taba Devekusu,,,138,,,,,,
147,KorgunDb,Antrepo20,Yeşil Deri,,,139,,,,,,
148,KorgunDb,Antrepo20,Kahve Devekuşu - Kahve Devekuşu Deri,,,140,,,,,,
150,KorgunDb,Antrepo20,Altın,,,141,,,,,,
151,KorgunDb,Antrepo20,Yeşil,,,142,,,,,,
152,KorgunDb,Antrepo20,Bronz,,,143,,,,,,
153,KorgunDb,Antrepo20,Gül Kurusu,,,144,,,,,,
154,KorgunDb,Antrepo20,Gri,,,145,,,,,,
155,KorgunDb,Antrepo20,Gri Deri,,,146,,,,,,
159,KorgunDb,Antrepo20,Fusya Deri - Pembe Deri,,,147,,,,,,
160,KorgunDb,Antrepo20,Oranj Deri - Turuncu Deri,,,148,,,,,,
162,KorgunDb,Antrepo20,Açık Mavi,,,149,,,,,,
163,KorgunDb,Antrepo20,Açık Kahve,,,150,,,,,,
164,KorgunDb,Antrepo20,Mürdüm,,,151,,,,,,
165,KorgunDb,Antrepo20,Haki Yeşil Deri,,,152,,,,,,
167,KorgunDb,Antrepo20,Bronz Füme Deri,,,153,,,,,,
168,KorgunDb,Antrepo20,Sarı Deri,,,154,,,,,,
169,KorgunDb,Antrepo20,Sax Mavi,,,155,,,,,,
170,KorgunDb,Antrepo20,Molina A.Gri,,,156,,,,,,
173,KorgunDb,Antrepo20,Koyu Kahve,,,157,,,,,,
174,KorgunDb,Antrepo20,Taba,,,158,,,,,,
175,KorgunDb,Antrepo20,Deri Besleyici,,,159,,,,,,
177,KorgunDb,Antrepo20,Deve Tuyu,,,160,,,,,,
178,KorgunDb,Antrepo20,Temızleyıcı Renksiz,,,161,,,,,,
179,KorgunDb,Antrepo20,Klasik Sunger Renksiz,,,162,,,,,,
180,KorgunDb,Antrepo20,Pudra,,,163,,,,,,
181,KorgunDb,Antrepo20,Siyah Lızard - Siyah Deri,,,164,,,,,,
182,KorgunDb,Antrepo20,Laci,,,165,,,,,,
183,KorgunDb,Antrepo20,Açık Gri,,,166,,,,,,
184,KorgunDb,Antrepo20,Füme Deri,,,167,,,,,,
185,KorgunDb,Antrepo20,Toprak Deri - Kahve Deri,,,168,,,,,,
186,KorgunDb,Antrepo20,Siyah Rugan,,,169,,,,,,
187,KorgunDb,Antrepo20,Siyah Baskılı,,,170,,,,,,
188,KorgunDb,Antrepo20,Kahve Deri - Siyah Deri,,,171,,,,,,
189,KorgunDb,Antrepo20,Kahve Tekstil,,,172,,,,,,
190,KorgunDb,Antrepo20,Siyah Tekstil,,,173,,,,,,
191,KorgunDb,Antrepo20,Kahve Kroko,,,174,,,,,,
192,KorgunDb,Antrepo20,Beyaz Kroko,,,175,,,,,,
193,KorgunDb,Antrepo20,Laci Kroko,,,176,,,,,,
194,KorgunDb,Antrepo20,Siyah Açma,,,177,,,,,,
195,KorgunDb,Antrepo20,Taba Antik,,,178,,,,,,
196,KorgunDb,Antrepo20,Laci Floter,,,179,,,,,,
197,KorgunDb,Antrepo20,Kahve Antik,,,180,,,,,,
198,KorgunDb,Antrepo20,017 -Siyah Analin,,,181,,,,,,
199,KorgunDb,Antrepo20,Fındık Analin - Taba Analin,,,182,,,,,,
200,KorgunDb,Antrepo20,Kahve Santosanetta - Kahve Sanetta,,,183,,,,,,
201,KorgunDb,Antrepo20,Laci Santo - Laci Sanetta,,,184,,,,,,
202,KorgunDb,Antrepo20,Gri Santo - Gri Sanetta,,,185,,,,,,
203,KorgunDb,Antrepo20,Kahve Napa,,,186,,,,,,
204,KorgunDb,Antrepo20,Fındık Sanette - Taba Sanetta,,,187,,,,,,
206,KorgunDb,Antrepo20,Taba Santo - Taba Sanetta,,,188,,,,,,
207,KorgunDb,Antrepo20,Ceviz Santo - Taba Sanetta,,,189,,,,,,
208,KorgunDb,Antrepo20,Siyah Kroko Baskılı,,,190,,,,,,
209,KorgunDb,Antrepo20,Siyah Analin - Siyah Suet,,,191,,,,,,
210,KorgunDb,Antrepo20,Siyah Suet - Siyah Bufalo,,,192,,,,,,
211,KorgunDb,Antrepo20,Bordo Santo - Bordo Sanetta Deri,,,193,,,,,,
212,KorgunDb,Antrepo20,Camel Fsn - Taba Deri,,,194,,,,,,
213,KorgunDb,Antrepo20,Siyah Antik,,,195,,,,,,
214,KorgunDb,Antrepo20,Siyah Napa - Siyah Analin,,,196,,,,,,
215,KorgunDb,Antrepo20,Siyah Baby Buffalo - Siyah Buffalo Deri,,,197,,,,,,
216,KorgunDb,Antrepo20,Oliv Deri - Bej Deri,,,198,,,,,,
217,KorgunDb,Antrepo20,Taba Alkollü - Taba Deri,,,199,,,,,,
218,KorgunDb,Antrepo20,Laci Açma,,,200,,,,,,
219,KorgunDb,Antrepo20,Gri Suet,,,201,,,,,,
220,KorgunDb,Antrepo20,Bordo Açma,,,202,,,,,,
221,KorgunDb,Antrepo20,Oliv Alkollü - Yeşil Deri,,,203,,,,,,
222,KorgunDb,Antrepo20,Kahve Nubuk,,,204,,,,,,
223,KorgunDb,Antrepo20,Taba Ancona - Taba Deri,,,205,,,,,,
224,KorgunDb,Antrepo20,Vizon Nubuk,,,206,,,,,,
225,KorgunDb,Antrepo20,Laci Nubuk,,,207,,,,,,
226,KorgunDb,Antrepo20,Bordo Nubuk,,,208,,,,,,
228,KorgunDb,Antrepo20,Açık Kahve Santo,,,209,,,,,,
229,KorgunDb,Antrepo20,Taba Sınıstra,,,210,,,,,,
230,KorgunDb,Antrepo20,Siyah Deri - Gri Deri,,,211,,,,,,
231,KorgunDb,Antrepo20,Bordo Kroko - Bordo Deri,,,212,,,,,,
232,KorgunDb,Antrepo20,Kahve Antik - Naturel Kahve Antik,,,213,,,,,,
233,KorgunDb,Antrepo20,Kahve Alkollü - Kahve Deri,,,214,,,,,,
234,KorgunDb,Antrepo20,AtlAntik Suet - Mavi Suet,,,215,,,,,,
235,KorgunDb,Antrepo20,Laci Mondo - Taba Mondo,,,216,,,,,,
236,KorgunDb,Antrepo20,Kahve Buffalo,,,217,,,,,,
237,KorgunDb,Antrepo20,Siyah Fıesta - Siyah Deri,,,218,,,,,,
238,KorgunDb,Antrepo20,Laci Soft,,,219,,,,,,
239,KorgunDb,Antrepo20,Taba Bufalo,,,220,,,,,,
240,KorgunDb,Antrepo20,Laci Fıesta - Laci Deri,,,221,,,,,,
241,KorgunDb,Antrepo20,Siyah Wint Krokodı - Siyah Kroko,,,222,,,,,,
242,KorgunDb,Antrepo20,Fındık Taba Deri,,,223,,,,,,
243,KorgunDb,Antrepo20,Vizon Suet - Kahve Suet,,,224,,,,,,
244,KorgunDb,Antrepo20,Laci Suet - Kahve Suet,,,225,,,,,,
245,KorgunDb,Antrepo20,Bordo Suet - Siyah Suet,,,226,,,,,,
246,KorgunDb,Antrepo20,Kestane Taba Deri,,,227,,,,,,
247,KorgunDb,Antrepo20,Kahve Analin,,,228,,,,,,
248,KorgunDb,Antrepo20,Siyah Alkollü,,,229,,,,,,
249,KorgunDb,Antrepo20,Laci Alkollü Deri,,,230,,,,,,
250,KorgunDb,Antrepo20,Multı,,,231,,,,,,
251,KorgunDb,Antrepo20,Siyah Geyik - Siyah Bufalo,,,232,,,,,,
252,KorgunDb,Antrepo20,Laci Antik,,,233,,,,,,
253,KorgunDb,Antrepo20,Siyah Geyik,,,234,,,,,,
254,KorgunDb,Antrepo20,Siyah Malak,,,235,,,,,,
255,KorgunDb,Antrepo20,Kahve Malak,,,236,,,,,,
256,KorgunDb,Antrepo20,Laci Geyik,,,237,,,,,,
257,KorgunDb,Antrepo20,Laci Malak,,,238,,,,,,
258,KorgunDb,Antrepo20,Siyah Rodos - Siyah Deri,,,239,,,,,,
259,KorgunDb,Antrepo20,Siyah Bufalo - Garni Geyik,,,240,,,,,,
260,KorgunDb,Antrepo20,Mavi Suet,,,241,,,,,,
261,KorgunDb,Antrepo20,Siyah Parma - Siyah Deri,,,242,,,,,,
262,KorgunDb,Antrepo20,Laci Jamasa - Ponchu Bufalo,,,243,,,,,,
263,KorgunDb,Antrepo20,Laci Parma,,,244,,,,,,
264,KorgunDb,Antrepo20,Siyah Napa,,,245,,,,,,
265,KorgunDb,Antrepo20,Siyah Parma - Siyah Bufalo - Siyah Deri,,,246,,,,,,
266,KorgunDb,Antrepo20,Taba Spıro - Taba Deri,,,247,,,,,,
267,KorgunDb,Antrepo20,Bej Floter,,,248,,,,,,
268,KorgunDb,Antrepo20,Fındık Suet - Taba Suet,,,249,,,,,,
270,KorgunDb,Antrepo20,Beyaz Floter,,,250,,,,,,
271,KorgunDb,Antrepo20,Siyah Santo Siyah - Sanetta Deri,,,251,,,,,,
272,KorgunDb,Antrepo20,Laci Spıro - Laci Deri,,,252,,,,,,
273,KorgunDb,Antrepo20,Laci Cow,,,253,,,,,,
274,KorgunDb,Antrepo20,Kahve Cow,,,254,,,,,,
275,KorgunDb,Antrepo20,Taba Nubuk,,,255,,,,,,
276,KorgunDb,Antrepo20,Indigo Suet - Mavi Suet,,,256,,,,,,
277,KorgunDb,Antrepo20,Bej Suet,,,257,,,,,,
279,KorgunDb,Antrepo20,Vizon Deri,,,258,,,,,,
280,KorgunDb,Antrepo20,Kahve Geyik,,,259,,,,,,
281,KorgunDb,Antrepo20,Bordo Buffalo - Bordo Deri,,,260,,,,,,
282,KorgunDb,Antrepo20,Kahve Spıro - Kahve Deri,,,261,,,,,,
283,KorgunDb,Antrepo20,Laci Geyik - Laci Bufalo,,,262,,,,,,
284,KorgunDb,Antrepo20,Siyah Suet,,,263,,,,,,
286,KorgunDb,Antrepo20,Laci Baskılı Deri,,,264,,,,,,
288,KorgunDb,Antrepo20,464 -Siyah Pantone,,,265,,,,,,
289,KorgunDb,Antrepo20,Antrasit Triko,,,266,,,,,,
290,KorgunDb,Antrepo20,Laci Tekstil,,,267,,,,,,
291,KorgunDb,Antrepo20,Beyaz Tekstil,,,268,,,,,,
292,KorgunDb,Antrepo20,Siyah Mat,,,269,,,,,,
293,KorgunDb,Antrepo20,Kahve Soft - Kahve Suet,,,270,,,,,,
294,KorgunDb,Antrepo20,Laci Santo - Bordo Santo - Laci Sanetta,,,271,,,,,,
295,KorgunDb,Antrepo20,Laci Deri - Siyah Deri,,,272,,,,,,
296,KorgunDb,Antrepo20,Siyah Suet Danası - Siyah Deri,,,273,,,,,,
297,KorgunDb,Antrepo20,Siyah Antilop,,,274,,,,,,
298,KorgunDb,Antrepo20,Kahve Antilop,,,275,,,,,,
300,KorgunDb,Antrepo20,Siyah Kırma - Siyah Naturel Floter,,,276,,,,,,
301,KorgunDb,Antrepo20,Siyah Baskılı Açma,,,277,,,,,,
302,KorgunDb,Antrepo20,Taba Soft,,,278,,,,,,
303,KorgunDb,Antrepo20,Kum Yıkama Suet - Bej Suet,,,279,,,,,,
304,KorgunDb,Antrepo20,Kahve Nata - Kahve Antilop,,,280,,,,,,
305,KorgunDb,Antrepo20,Hardal Napa - Hardal Antilop - Taba Napa,,,281,,,,,,
306,KorgunDb,Antrepo20,Siyah Yıkama Suet - Siyah Suet,,,282,,,,,,
307,KorgunDb,Antrepo20,Laci Napa - Laci Antilop,,,283,,,,,,
308,KorgunDb,Antrepo20,Bej Nata - Bej Antilop,,,284,,,,,,
310,KorgunDb,Antrepo20,Siyah Damla Rugan - Gold Siyah Rugan,,,285,,,,,,
311,KorgunDb,Antrepo20,Beyaz Nata - Beyaz Rugan - Beyaz Açma,,,286,,,,,,
312,KorgunDb,Antrepo20,Bej Napa - Bej Zımbalı,,,287,,,,,,
313,KorgunDb,Antrepo20,Beyaz Napa,,,288,,,,,,
315,KorgunDb,Antrepo20,Laci Zebra - Laci Rugan,,,289,,,,,,
316,KorgunDb,Antrepo20,Kahve Nata - Fındık Açma,,,290,,,,,,
317,KorgunDb,Antrepo20,Siyah Hunter,,,291,,,,,,
318,KorgunDb,Antrepo20,Kum Suet - Bej Suet,,,292,,,,,,
320,KorgunDb,Antrepo20,Beyaz Nata - Kum Suet - Laci Mavi Fındık Taba,,,293,,,,,,
321,KorgunDb,Antrepo20,Beyaz Nata - Kum Suet,,,294,,,,,,
323,KorgunDb,Antrepo20,Bej Napa,,,295,,,,,,
324,KorgunDb,Antrepo20,Kahve Santo,,,296,,,,,,
325,KorgunDb,Antrepo20,Vizon Suet,,,297,,,,,,
326,KorgunDb,Antrepo20,314 -Kahve Naturel Antik - Kahve Deri,,,298,,,,,,
327,KorgunDb,Antrepo20,Kızıl Antik - Kahve Deri,,,299,,,,,,
328,KorgunDb,Antrepo20,Siyah Kuzu,,,300,,,,,,
329,KorgunDb,Antrepo20,Hardal Kırma Asis - Taba Floter,,,301,,,,,,
330,KorgunDb,Antrepo20,Hardal Napa - Taba Napa,,,302,,,,,,
331,KorgunDb,Antrepo20,Hardal Antik - Naturel Ceviz - Taba Antik,,,303,,,,,,
332,KorgunDb,Antrepo20,Açık Kahve Nata,,,304,,,,,,
333,KorgunDb,Antrepo20,Siyah Soft,,,305,,,,,,
334,KorgunDb,Antrepo20,Kahve Soft,,,306,,,,,,
336,KorgunDb,Antrepo20,Beyaz Soft,,,307,,,,,,
337,KorgunDb,Antrepo20,Bej Soft - Bej Napa,,,308,,,,,,
338,KorgunDb,Antrepo20,Kırmızı Flap,,,309,,,,,,
339,KorgunDb,Antrepo20,Bej Keten - Bej Zımbalı Napa,,,310,,,,,,
340,KorgunDb,Antrepo20,Gri Bez - Beyaz Napa,,,311,,,,,,
341,KorgunDb,Antrepo20,Bordo Triko,,,312,,,,,,
342,KorgunDb,Antrepo20,Siyah Buffalo,,,313,,,,,,
343,KorgunDb,Antrepo20,Fındık Sanetta - Taba Sanetta,,,314,,,,,,
344,KorgunDb,Antrepo20,Karışık Renk,,,315,,,,,,
345,KorgunDb,Antrepo20,Laci Deri - Gri Deri - Deniz Mavisi Siyah Laci,,,316,,,,,,
346,KorgunDb,Antrepo20,Laci Çuval Baskılı Napa,,,317,,,,,,
347,KorgunDb,Antrepo20,Kahve Kalın Zımbalı Napa,,,318,,,,,,
348,KorgunDb,Antrepo20,Mavi Deri - Beyaz Deri,,,319,,,,,,
350,KorgunDb,Antrepo20,Siyah Deri,,,320,,,,,,
352,KorgunDb,Antrepo20,Kahve Yıkama - Kahve Deri,,,321,,,,,,
353,KorgunDb,Antrepo20,Siyah Antik - Siyah Açma,,,322,,,,,,
354,KorgunDb,Antrepo20,Bej Nubuk - Kahve Flap - Laci Nubuk,,,323,,,,,,
356,KorgunDb,Antrepo20,Kahve Kırma Asit - Kahve Floter,,,324,,,,,,
357,KorgunDb,Antrepo20,Laci Kırma - Laci Floter,,,325,,,,,,
359,KorgunDb,Antrepo20,Siyah Baskılı Nubuk - Siyah Naturel Floter,,,326,,,,,,
360,KorgunDb,Antrepo20,Laci Napa,,,327,,,,,,
361,KorgunDb,Antrepo20,Kahve Kips - Kahve Napa,,,328,,,,,,
362,KorgunDb,Antrepo20,Laci Alkollü Napa - Laci Deri,,,329,,,,,,
364,KorgunDb,Antrepo20,Laci Buffalo,,,330,,,,,,
365,KorgunDb,Antrepo20,Kızıl Kahve - Spıro Kahve,,,331,,,,,,
366,KorgunDb,Antrepo20,Baby Bufalo - Siyah Buffalo,,,332,,,,,,
367,KorgunDb,Antrepo20,Laci Deri - Beyaz Verona - Bordo Suet,,,333,,,,,,
368,KorgunDb,Antrepo20,Laci Flap - Beyaz Verona - Bordo Flap,,,334,,,,,,
369,KorgunDb,Antrepo20,İmparator Nubuk - Taba Nubuk,,,335,,,,,,
371,KorgunDb,Antrepo20,Laci Nubuk - Beyaz Biye,,,336,,,,,,
372,KorgunDb,Antrepo20,Kahve Deri - Kahve Zımbalı Deri - Bej Deri,,,337,,,,,,
375,KorgunDb,Antrepo20,Siyah Rodos Napa - Siyah Deri,,,338,,,,,,
376,KorgunDb,Antrepo20,Kahve Alkollü Napa,,,339,,,,,,
377,KorgunDb,Antrepo20,Vızon Nubuk,,,340,,,,,,
378,KorgunDb,Antrepo20,Siyah Keten,,,341,,,,,,
379,KorgunDb,Antrepo20,Laci Triko,,,342,,,,,,
380,KorgunDb,Antrepo20,Bej Triko,,,343,,,,,,
381,KorgunDb,Antrepo20,Beyaz Keten - Bej Keten,,,344,,,,,,
382,KorgunDb,Antrepo20,Siyah Ponchu - Jamacka Bufalo - Siyah Buffalo,,,345,,,,,,
383,KorgunDb,Antrepo20,Siyah Açma - Siyah Geyik,,,346,,,,,,
384,KorgunDb,Antrepo20,Kahve Kaşmir - Kahve Deri,,,347,,,,,,
385,KorgunDb,Antrepo20,Kahve Garnili Deri - Taba Finisajlı Kırma,,,348,,,,,,
387,KorgunDb,Antrepo20,Laci Vanucci,,,349,,,,,,
388,KorgunDb,Antrepo20,Siyah Kırma - Siyah Suet - Siyah Floter,,,350,,,,,,
390,KorgunDb,Antrepo20,Füme Suet,,,351,,,,,,
391,KorgunDb,Antrepo20,Taba Flap Kahve - Taba Flap,,,352,,,,,,
392,KorgunDb,Antrepo20,Gri Oxid,,,353,,,,,,
393,KorgunDb,Antrepo20,Taba Alkollü Deri,,,354,,,,,,
394,KorgunDb,Antrepo20,Laci Dustın - Laci Yılan,,,355,,,,,,
395,KorgunDb,Antrepo20,Kahve Antilop - Kahve Kroko,,,356,,,,,,
396,KorgunDb,Antrepo20,Laci Deri - Laci Suet,,,357,,,,,,
397,KorgunDb,Antrepo20,Siyah Antilop - Siyah Kroko,,,358,,,,,,
398,KorgunDb,Antrepo20,Siyah Wint Kroko - Siyah Kroko,,,359,,,,,,
399,KorgunDb,Antrepo20,Oliv Nubuk - Yeşil Nubuk,,,360,,,,,,
401,KorgunDb,Antrepo20,Taba Pier,,,361,,,,,,
