Company,Location,CKod,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
01,CA001,120.04.014,104,1989,,,,,,
01,CA001,120.04.015,105,1990,,,,,,
01,CA001,120.04.016,106,1991,,,,,,
01,CA001,120.04.017,107,1992,,,,,,
01,CA001,120.04.018,108,1993,,,,,,
01,CA001,120.05.001,109,1994,,,,,,
01,CA001,120.05.002,110,1995,,,,,,
01,CA001,120.05.004,111,1997,,,,,,
01,CA001,120.05.005,112,40,,,,,,
01,CA001,120.05.007,113,1999,,,,,,
01,CA001,120.05.008,114,2000,,,,,,
01,CA001,120.05.009,115,41,,,,,,
01,CA001,120.05.010,116,42,,,,,,
01,CA001,120.05.011,117,2001,,,,,,
01,CA001,120.05.012,118,2002,,,,,,
01,CA001,120.05.013,119,2003,,,,,,
01,CA001,120.05.014,120,2004,,,,,,
01,CA001,120.05.015,121,2005,,,,,,
01,CA001,120.05.016,122,2006,,,,,,
01,CA001,120.05.017,123,43,,,,,,
01,CA001,120.05.019,124,2008,,,,,,
01,CA001,120.05.020,125,2009,,,,,,
01,CA001,120.05.022,126,2011,,,,,,
01,CA001,120.05.023,127,44,,,,,,
01,CA001,120.05.024,128,45,,,,,,
01,CA001,120.05.025,129,46,,,,,,
01,CA001,120.05.026,130,47,,,,,,
01,CA001,120.05.027,131,48,,,,,,
01,CA001,120.05.028,132,49,,,,,,
01,CA001,120.05.029,133,50,,,,,,
01,CA001,120.05.030,134,51,,,,,,
01,CA001,120.05.031,135,52,,,,,,
01,CA001,120.05.032,136,53,,,,,,
01,CA001,120.05.033,137,2012,,,,,,
01,CA001,120.05.034,138,54,,,,,,
01,CA001,120.05.035,139,55,,,,,,
01,CA001,120.05.036,140,56,,,,,,
01,CA001,120.05.037,141,57,,,,,,
01,CA001,120.05.038,142,58,,,,,,
01,CA001,120.05.039,143,59,,,,,,
01,CA001,120.05.040,144,60,,,,,,
01,CA001,120.05.041,145,2013,,,,,,
01,CA001,120.05.042,146,61,,,,,,
01,CA001,120.05.043,147,2014,,,,,,
01,CA001,120.05.044,148,62,,,,,,
01,CA001,120.05.045,149,2015,,,,,,
01,CA001,120.05.047,150,63,,,,,,
01,CA001,120.05.048,151,2016,,,,,,
01,CA001,120.05.049,152,64,,,,,,
01,CA001,120.05.050,153,2017,,,,,,
01,CA001,120.05.051,154,65,,,,,,
01,CA001,120.05.052,155,66,,,,,,
01,CA001,120.05.053,156,67,,,,,,
01,CA001,120.05.054,157,68,,,,,,
01,CA001,120.05.055,158,69,,,,,,
01,CA001,120.05.056,159,70,,,,,,
01,CA001,120.05.057,160,71,,,,,,
01,CA001,120.05.058,161,72,,,,,,
01,CA001,120.05.059,162,73,,,,,,
01,CA001,120.05.060,163,74,,,,,,
01,CA001,120.05.061,164,2018,,,,,,
01,CA001,120.05.062,165,2019,,,,,,
01,CA001,120.05.063,166,2020,,,,,,
01,CA001,120.05.064,167,2021,,,,,,
01,CA001,120.05.065,168,2022,,,,,,
01,CA001,120.05.066,169,2023,,,,,,
01,CA001,120.05.068,170,2025,,,,,,
01,CA001,120.05.070,171,2027,,,,,,
01,CA001,120.05.071,172,2028,,,,,,
01,CA001,120.AE.005,173,2029,,,,,,
01,CA001,120.DZ.005,174,210,,,,,,
01,CA001,120.ET.011,175,2052,,,,,,
01,CA001,120.GE.011,176,2066,,,,,,
01,CA001,120.IQ.056,177,2070,,,,,,
01,CA001,120.IQ.121,178,421,,,,,,
01,CA001,120.IR.004,179,490,,,,,,
01,CA001,120.IR.039,180,522,,,,,,
01,CA001,120.IR.063,181,545,,,,,,
01,CA001,120.IR.241,182,718,,,,,,
01,CA001,120.IR.249,183,2092,,,,,,
01,CA001,120.IR.259,184,2102,,,,,,
01,CA001,120.IS.001,185,2108,,,,,,
01,CA001,120.KE.002,186,2111,,,,,,
01,CA001,120.KG.029,187,2115,,,,,,
01,CA001,120.KZ.055,188,2126,,,,,,
01,CA001,120.KZ.077,189,2127,,,,,,
01,CA001,120.KZ.130,190,2149,,,,,,
01,CA001,120.KZ.152,191,2171,,,,,,
01,CA001,120.PS.001,192,2199,,,,,,
01,CA001,120.RU.134,193,1108,,,,,,
01,CA001,120.RU.295,194,2204,,,,,,
01,CA001,120.RU.355,195,2228,,,,,,
01,CA001,120.TJ.047,4685,1367,Samet,2024-09-20 16:40:22.817000,KGShop,Samet,2024-09-20 16:40:22.863000,KGShop
01,CA001,120.TJ.075,196,2281,,,,,,
01,CA001,120.TM.006,197,1386,,,,,,
01,CA001,120.TM.041,198,2294,,,,,,
01,CA001,120.TM.046,199,2296,,,,,,
01,CA001,120.TM.056,200,2306,,,,,,
01,CA001,120.UZ.030,201,1575,,,,,,
01,CA001,120.UZ.197,202,2347,,,,,,
01,CA001,120.UZ.245,203,2395,,,,,,
01,CA001,120.ZW.003,4662,3900,Guray,2024-03-08 13:20:49.580000,KGShop,Guray,2024-03-08 13:20:49.610000,KGShop
01,CA001,320 02 502,204,2486,,,,,,
01,CA001,320.01.000,205,2487,,,,,,
01,CA001,320.01.001,206,2488,,,,,,
01,CA001,320.01.002,207,2489,,,,,,
01,CA001,320.01.003,208,1739,,,,,,
01,CA001,320.01.004,209,1740,,,,,,
01,CA001,320.01.005,210,2490,,,,,,
01,CA001,320.01.006,211,2491,,,,,,
01,CA001,320.01.007,212,1741,,,,,,
01,CA001,320.01.008,213,1742,,,,,,
01,CA001,320.01.009,214,1743,,,,,,
01,CA001,320.01.010,215,2492,,,,,,
01,CA001,320.01.011,216,2493,,,,,,
01,CA001,320.01.012,217,1744,,,,,,
01,CA001,320.01.013,218,2494,,,,,,
01,CA001,320.01.014,219,1745,,,,,,
01,CA001,320.01.015,220,2495,,,,,,
01,CA001,320.01.016,221,2496,,,,,,
01,CA001,320.01.017,222,2497,,,,,,
01,CA001,320.01.018,223,1746,,,,,,
01,CA001,320.01.019,224,1747,,,,,,
01,CA001,320.01.020,225,1748,,,,,,
01,CA001,320.01.021,226,1749,,,,,,
01,CA001,320.01.022,227,1750,,,,,,
01,CA001,320.01.023,228,1751,,,,,,
01,CA001,320.01.024,229,2498,,,,,,
01,CA001,320.01.025,230,2499,,,,,,
01,CA001,320.01.026,231,1752,,,,,,
01,CA001,320.01.027,232,1753,,,,,,
01,CA001,320.01.028,233,1754,,,,,,
01,CA001,320.01.029,234,2500,,,,,,
01,CA001,320.01.030,235,1755,,,,,,
01,CA001,320.01.031,236,1756,,,,,,
01,CA001,320.01.032,237,2501,,,,,,
01,CA001,320.01.034,238,1757,,,,,,
01,CA001,320.01.035,239,1758,,,,,,
01,CA001,320.01.036,240,1759,,,,,,
01,CA001,320.01.037,241,2502,,,,,,
01,CA001,320.01.038,242,1760,,,,,,
01,CA001,320.01.039,243,2503,,,,,,
01,CA001,320.01.040,244,1761,,,,,,
01,CA001,320.01.041,245,1762,,,,,,
01,CA001,320.01.042,246,1763,,,,,,
01,CA001,320.01.043,247,1764,,,,,,
01,CA001,320.01.044,248,1765,,,,,,
01,CA001,320.01.045,249,2504,,,,,,
01,CA001,320.01.046,250,2505,,,,,,
01,CA001,320.01.047,251,1766,,,,,,
01,CA001,320.01.048,252,1767,,,,,,
01,CA001,320.01.049,253,2506,,,,,,
01,CA001,320.01.050,254,1768,,,,,,
01,CA001,320.01.051,255,1769,,,,,,
01,CA001,320.01.052,256,1770,,,,,,
01,CA001,320.01.053,257,1771,,,,,,
01,CA001,320.01.054,258,1772,,,,,,
01,CA001,320.01.056,259,1773,,,,,,
01,CA001,320.01.057,260,1774,,,,,,
01,CA001,320.01.058,261,1775,,,,,,
01,CA001,320.01.059,262,1776,,,,,,
01,CA001,320.01.060,263,1777,,,,,,
01,CA001,320.01.061,264,1778,,,,,,
01,CA001,320.01.062,265,1779,,,,,,
01,CA001,320.01.063,266,1780,,,,,,
01,CA001,320.01.064,267,1781,,,,,,
01,CA001,320.01.065,268,1782,,,,,,
01,CA001,320.01.066,269,2507,,,,,,
01,CA001,320.01.068,270,1783,,,,,,
01,CA001,320.01.069,271,1784,,,,,,
01,CA001,320.01.070,272,1785,,,,,,
01,CA001,320.01.071,273,1786,,,,,,
01,CA001,320.01.072,274,2508,,,,,,
01,CA001,320.01.073,275,1787,,,,,,
01,CA001,320.01.074,276,1788,,,,,,
01,CA001,320.01.075,277,1789,,,,,,
01,CA001,320.01.076,278,1790,,,,,,
01,CA001,320.01.077,279,1791,,,,,,
01,CA001,320.01.078,280,1792,,,,,,
01,CA001,320.01.079,281,1793,,,,,,
01,CA001,320.01.080,282,2509,,,,,,
01,CA001,320.01.081,283,1794,,,,,,
01,CA001,320.01.082,284,1795,,,,,,
01,CA001,320.01.083,285,1796,,,,,,
01,CA001,320.01.084,286,1797,,,,,,
01,CA001,320.01.085,287,1798,,,,,,
01,CA001,320.01.086,288,1799,,,,,,
01,CA001,320.01.087,289,1800,,,,,,
01,CA001,320.01.088,290,1801,,,,,,
01,CA001,320.01.089,291,1802,,,,,,
01,CA001,320.01.090,292,1803,,,,,,
01,CA001,320.01.091,293,1804,,,,,,
01,CA001,320.01.092,294,2510,,,,,,
01,CA001,320.01.093,295,1805,,,,,,
01,CA001,320.01.094,296,1806,,,,,,
01,CA001,320.01.095,297,1807,,,,,,
01,CA001,320.01.096,298,2511,,,,,,
01,CA001,320.01.097,299,1808,,,,,,
01,CA001,320.01.098,300,1809,,,,,,
01,CA001,320.01.099,301,1810,,,,,,
01,CA001,320.01.100,302,1811,,,,,,
01,CA001,320.01.101,303,1812,,,,,,
01,CA001,320.01.102,304,1813,,,,,,
01,CA001,320.01.103,305,2512,,,,,,
01,CA001,320.01.104,306,2513,,,,,,
01,CA001,320.01.105,307,2514,,,,,,
01,CA001,320.01.106,308,2515,,,,,,
01,CA001,320.01.107,309,1814,,,,,,
01,CA001,320.01.108,310,1815,,,,,,
01,CA001,320.01.109,311,1816,,,,,,
01,CA001,320.01.110,312,1817,,,,,,
01,CA001,320.01.111,313,1818,,,,,,
01,CA001,320.01.112,314,2516,,,,,,
01,CA001,320.01.113,315,1819,,,,,,
01,CA001,320.01.114,316,1820,,,,,,
01,CA001,320.01.115,317,1821,,,,,,
01,CA001,320.01.116,318,2517,,,,,,
01,CA001,320.01.117,319,2518,,,,,,
01,CA001,320.01.118,320,2519,,,,,,
01,CA001,320.01.119,321,2520,,,,,,
01,CA001,320.01.120,322,2521,,,,,,
01,CA001,320.01.121,323,2522,,,,,,
01,CA001,320.01.122,324,2523,,,,,,
01,CA001,320.01.123,325,2524,,,,,,
01,CA001,320.01.124,326,2525,,,,,,
01,CA001,320.01.125,327,2526,,,,,,
01,CA001,320.01.126,328,2527,,,,,,
01,CA001,320.01.127,329,2528,,,,,,
01,CA001,320.01.128,330,2529,,,,,,
01,CA001,320.01.129,331,2530,,,,,,
01,CA001,320.01.130,332,2531,,,,,,
01,CA001,320.01.131,333,2532,,,,,,
01,CA001,320.01.132,334,2533,,,,,,
01,CA001,320.01.133,335,2534,,,,,,
01,CA001,320.01.134,336,2535,,,,,,
01,CA001,320.01.137,337,2538,,,,,,
01,CA001,320.01.138,338,2539,,,,,,
01,CA001,320.01.140,339,2540,,,,,,
01,CA001,320.01.141,340,2541,,,,,,
01,CA001,320.01.142,341,2542,,,,,,
01,CA001,320.01.143,342,2543,,,,,,
01,CA001,320.01.144,343,2544,,,,,,
01,CA001,320.01.145,344,2545,,,,,,
01,CA001,320.01.146,345,2546,,,,,,
01,CA001,320.01.147,346,2547,,,,,,
01,CA001,320.01.148,347,2548,,,,,,
01,CA001,320.01.149,348,2549,,,,,,
01,CA001,320.01.150,349,2550,,,,,,
01,CA001,320.01.151,350,2551,,,,,,
01,CA001,320.01.152,351,2552,,,,,,
01,CA001,320.01.153,352,2553,,,,,,
01,CA001,320.01.154,353,2554,,,,,,
01,CA001,320.01.155,354,2555,,,,,,
01,CA001,320.01.156,355,2556,,,,,,
01,CA001,320.01.157,356,2557,,,,,,
01,CA001,320.01.158,357,2558,,,,,,
01,CA001,320.01.159,358,2559,,,,,,
01,CA001,320.01.160,359,2560,,,,,,
01,CA001,320.01.161,360,2561,,,,,,
01,CA001,320.01.163,361,2562,,,,,,
01,CA001,320.01.164,362,2563,,,,,,
01,CA001,320.01.165,363,2564,,,,,,
01,CA001,320.01.166,364,2565,,,,,,
01,CA001,320.01.167,365,2566,,,,,,
01,CA001,320.01.169,366,2567,,,,,,
01,CA001,320.01.171,367,2568,,,,,,
01,CA001,320.01.172,368,2569,,,,,,
01,CA001,320.01.173,369,2570,,,,,,
01,CA001,320.01.255,4680,3910,Guray,2024-06-06 09:20:03.460000,KGShop,Guray,2024-06-06 09:20:03.473000,KGShop
01,CA001,320.01.876,4676,3906,k,2024-04-30 17:24:53.660000,KGShop,k,2024-04-30 17:24:53.697000,KGShop
01,CA001,320.02.001,370,2571,,,,,,
01,CA001,320.02.002,371,1822,,,,,,
01,CA001,320.02.003,372,2572,,,,,,
01,CA001,320.02.004,373,2573,,,,,,
01,CA001,320.02.005,374,1823,,,,,,
01,CA001,320.02.006,375,2574,,,,,,
01,CA001,320.02.007,376,2575,,,,,,
01,CA001,320.02.008,377,1824,,,,,,
01,CA001,320.02.009,378,2576,,,,,,
01,CA001,320.02.010,379,1825,,,,,,
01,CA001,320.02.011,380,2577,,,,,,
01,CA001,320.02.012,381,1826,,,,,,
01,CA001,320.02.013,382,1827,,,,,,
01,CA001,320.02.014,383,2578,,,,,,
01,CA001,320.02.015,384,1828,,,,,,
01,CA001,320.02.016,385,1829,,,,,,
01,CA001,320.02.017,386,2579,,,,,,
01,CA001,320.02.018,387,1830,,,,,,
01,CA001,320.02.019,388,1831,,,,,,
01,CA001,320.02.020,389,1832,,,,,,
01,CA001,320.02.021,390,2580,,,,,,
01,CA001,320.02.022,391,1833,,,,,,
01,CA001,320.02.023,392,2581,,,,,,
01,CA001,320.02.024,393,2582,,,,,,
01,CA001,320.02.025,394,2583,,,,,,
01,CA001,320.02.026,395,2584,,,,,,
01,CA001,320.02.027,396,2585,,,,,,
01,CA001,320.02.028,397,2586,,,,,,
01,CA001,320.02.029,398,2587,,,,,,
01,CA001,320.02.030,399,2588,,,,,,
01,CA001,320.02.031,400,2589,,,,,,
01,CA001,320.02.032,401,2590,,,,,,
01,CA001,320.02.033,402,2591,,,,,,
01,CA001,320.02.034,403,1834,,,,,,
01,CA001,320.02.035,404,2592,,,,,,
01,CA001,320.02.036,405,1835,,,,,,
01,CA001,320.02.037,406,1836,,,,,,
01,CA001,320.02.038,407,2593,,,,,,
01,CA001,320.02.039,408,1837,,,,,,
01,CA001,320.02.040,409,1838,,,,,,
01,CA001,320.02.041,410,1839,,,,,,
01,CA001,320.02.042,411,2594,,,,,,
01,CA001,320.02.043,412,2595,,,,,,
01,CA001,320.02.044,413,1840,,,,,,
01,CA001,320.02.045,414,1841,,,,,,
01,CA001,320.02.046,415,1842,,,,,,
01,CA001,320.02.047,416,2596,,,,,,
01,CA001,320.02.048,417,2597,,,,,,
01,CA001,320.02.049,418,1843,,,,,,
01,CA001,320.02.050,419,2598,,,,,,
01,CA001,320.02.051,420,1844,,,,,,
01,CA001,320.02.052,421,2599,,,,,,
01,CA001,320.02.053,422,2600,,,,,,
01,CA001,320.02.054,423,2601,,,,,,
01,CA001,320.02.055,424,2602,,,,,,
01,CA001,320.02.056,425,1845,,,,,,
01,CA001,320.02.057,426,1846,,,,,,
01,CA001,320.02.058,427,2603,,,,,,
01,CA001,320.02.059,428,1847,,,,,,
01,CA001,320.02.060,429,2604,,,,,,
01,CA001,320.02.061,430,2605,,,,,,
01,CA001,320.02.062,431,2606,,,,,,
01,CA001,320.02.063,432,2607,,,,,,
01,CA001,320.02.064,433,2608,,,,,,
01,CA001,320.02.065,434,2609,,,,,,
01,CA001,320.02.066,435,2610,,,,,,
01,CA001,320.02.067,436,2611,,,,,,
01,CA001,320.02.068,437,2612,,,,,,
01,CA001,320.02.069,438,2613,,,,,,
01,CA001,320.02.070,439,2614,,,,,,
01,CA001,320.02.071,440,2615,,,,,,
01,CA001,320.02.072,441,2616,,,,,,
01,CA001,320.02.076,442,2617,,,,,,
01,CA001,320.02.077,443,2618,,,,,,
01,CA001,320.02.134,444,2620,,,,,,
01,CA001,320.02.152,445,2621,,,,,,
01,CA001,320.02.154,446,2622,,,,,,
01,CA001,320.02.159,447,2623,,,,,,
01,CA001,320.02.167,448,2624,,,,,,
01,CA001,320.02.192,449,2625,,,,,,
01,CA001,320.02.195,450,2626,,,,,,
01,CA001,320.02.196,451,2627,,,,,,
01,CA001,320.02.197,452,2628,,,,,,
01,CA001,320.02.199,453,2629,,,,,,
01,CA001,320.02.200,454,2630,,,,,,
01,CA001,320.02.214,455,2631,,,,,,
01,CA001,320.02.221,456,2633,,,,,,
01,CA001,320.02.222,457,2634,,,,,,
01,CA001,320.02.223,458,2635,,,,,,
01,CA001,320.02.224,459,2636,,,,,,
01,CA001,320.02.226,460,2637,,,,,,
01,CA001,320.02.229,461,2638,,,,,,
01,CA001,320.02.233,462,2639,,,,,,
01,CA001,320.02.236,463,2640,,,,,,
01,CA001,320.02.237,464,2641,,,,,,
01,CA001,320.02.238,465,2642,,,,,,
01,CA001,320.02.241,466,2643,,,,,,
01,CA001,320.02.276,467,2644,,,,,,
01,CA001,320.02.277,468,2645,,,,,,
01,CA001,320.02.280,469,2646,,,,,,
01,CA001,320.02.281,470,2647,,,,,,
01,CA001,320.02.402,471,2649,,,,,,
01,CA001,320.02.461,472,2650,,,,,,
01,CA001,320.02.465,473,2652,,,,,,
01,CA001,320.02.468,474,2655,,,,,,
01,CA001,320.02.469,475,2656,,,,,,
01,CA001,320.02.470,476,2657,,,,,,
01,CA001,320.02.471,477,2658,,,,,,
01,CA001,320.02.472,478,2659,,,,,,
01,CA001,320.02.473,479,2660,,,,,,
01,CA001,320.02.474,480,2661,,,,,,
01,CA001,320.02.475,481,2662,,,,,,
01,CA001,320.02.477,482,2663,,,,,,
01,CA001,320.02.478,483,2664,,,,,,
01,CA001,320.02.479,484,2665,,,,,,
01,CA001,320.02.480,485,2666,,,,,,
01,CA001,320.02.481,486,2667,,,,,,
01,CA001,320.02.482,487,2668,,,,,,
01,CA001,320.02.483,488,2669,,,,,,
01,CA001,320.02.484,489,2670,,,,,,
01,CA001,320.02.485,490,2671,,,,,,
01,CA001,320.02.486,491,2672,,,,,,
01,CA001,320.02.487,492,2673,,,,,,
01,CA001,320.02.488,493,2674,,,,,,
01,CA001,320.02.490,494,2675,,,,,,
01,CA001,320.02.491,495,2676,,,,,,
01,CA001,320.02.492,496,2677,,,,,,
01,CA001,320.02.493,497,2678,,,,,,
01,CA001,320.02.494,498,2679,,,,,,
01,CA001,320.02.495,499,2680,,,,,,
01,CA001,320.02.496,500,2681,,,,,,
01,CA001,320.02.497,501,2682,,,,,,
01,CA001,320.02.498,502,2683,,,,,,
01,CA001,320.02.499,503,2684,,,,,,
01,CA001,320.02.500,504,2685,,,,,,
01,CA001,320.02.501,505,2686,,,,,,
01,CA001,320.02.502,506,2687,,,,,,
01,CA001,320.03.001,507,2688,,,,,,
01,CA001,320.03.002,508,2689,,,,,,
01,CA001,320.03.003,509,1848,,,,,,
01,CA001,320.03.004,510,1849,,,,,,
01,CA001,320.03.005,511,1850,,,,,,
01,CA001,320.03.006,512,1851,,,,,,
01,CA001,320.03.007,513,1852,,,,,,
01,CA001,320.03.008,514,2690,,,,,,
01,CA001,320.03.009,515,1853,,,,,,
01,CA001,320.03.010,516,1854,,,,,,
01,CA001,320.03.011,517,2691,,,,,,
01,CA001,320.03.012,518,1855,,,,,,
01,CA001,320.03.013,519,2692,,,,,,
01,CA001,320.03.014,520,2693,,,,,,
01,CA001,320.03.015,521,1856,,,,,,
01,CA001,320.03.016,522,2694,,,,,,
01,CA001,320.03.017,523,1857,,,,,,
01,CA001,320.03.018,524,1858,,,,,,
01,CA001,320.03.019,525,2695,,,,,,
01,CA001,320.03.020,526,1859,,,,,,
01,CA001,320.03.021,527,2696,,,,,,
01,CA001,320.03.022,528,1860,,,,,,
01,CA001,320.03.023,529,2697,,,,,,
01,CA001,320.03.024,530,1861,,,,,,
01,CA001,320.03.025,531,1862,,,,,,
01,CA001,320.03.026,532,2698,,,,,,
01,CA001,320.03.027,533,1863,,,,,,
01,CA001,320.03.028,534,2699,,,,,,
01,CA001,320.03.029,535,1864,,,,,,
01,CA001,320.03.030,536,2700,,,,,,
01,CA001,320.03.031,537,2701,,,,,,
01,CA001,320.03.032,538,2702,,,,,,
01,CA001,320.03.033,539,2703,,,,,,
01,CA001,320.03.034,540,1865,,,,,,
01,CA001,320.03.035,541,2704,,,,,,
01,CA001,320.03.036,542,2705,,,,,,
01,CA001,320.03.037,543,2706,,,,,,
01,CA001,320.03.038,544,1866,,,,,,
01,CA001,320.03.039,545,2707,,,,,,
01,CA001,320.03.040,546,2708,,,,,,
01,CA001,320.03.041,547,2709,,,,,,
01,CA001,320.03.042,548,2710,,,,,,
