SKOD,RKOD,BedKod,Tip,Fiyat,ParaCinsi,FTarih,exCheck,insUN,insDT,UpdUN,UpdDT,kgid,mkgid,insApp,updApp
100003,0,0,03,10.0000000000,EU,2025-03-27 00:00:00,,OZKAN,2025-03-27 12:20:51.547000,OZKAN,2025-03-27 12:20:51.553000,46218,6,KGShop_ALEXSIPARIS,KGShop_ALEXSIPARIS
100003,0,0,51,596.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.757000,Samet,2025-05-28 17:43:44.373000,46224,6,KGShop,KGShop
100003,0,0,52,596.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.180000,Samet,2025-05-28 17:44:18.523000,47712,6,KGShop,KGShop
100003,0,0,54,102.0000000000,TL,2025-05-22 16:40:26.230000,,OZKAN,2025-05-22 16:40:26.230000,OZKAN,2025-05-22 16:40:26.230000,47112,6,,
100003,0,0,55,202.0000000000,US,2025-05-22 16:40:26.233000,,OZKAN,2025-05-22 16:40:26.233000,OZKAN,2025-05-22 16:40:26.233000,47113,6,,
100006,0,0,04,1289.0000000000,TL,2024-10-22 00:00:00,,Samet,2024-10-22 12:57:37.987000,Samet,2024-10-22 12:57:37.987000,46198,7,KGShop,KGShop
100006,0,0,12,14.0000000000,US,2024-10-22 00:00:00,,Samet,2024-10-22 12:57:37.990000,Samet,2024-10-22 12:57:37.990000,46199,7,KGShop,KGShop
100006,0,0,51,1885.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.760000,Samet,2025-05-28 17:43:44.483000,46225,7,KGShop,KGShop
100006,0,0,52,1885.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.323000,Samet,2025-05-28 17:44:18.633000,47772,7,KGShop,KGShop
100006,0,0,54,103.0000000000,TL,2025-05-22 16:40:26.213000,,OZKAN,2025-05-22 16:40:26.213000,OZKAN,2025-05-22 16:40:26.213000,47110,7,,
100006,0,0,55,203.0000000000,US,2025-05-22 16:40:26.220000,,OZKAN,2025-05-22 16:40:26.220000,OZKAN,2025-05-22 16:40:26.220000,47111,7,,
100007,0,0,51,1642.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.760000,Samet,2025-05-28 17:43:44.550000,46226,9,KGShop,KGShop
100007,0,0,52,1642.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.387000,Samet,2025-05-28 17:44:18.700000,47800,9,KGShop,KGShop
100007,0,0,54,104.0000000000,TL,2025-05-22 16:40:26.200000,,OZKAN,2025-05-22 16:40:26.200000,OZKAN,2025-05-22 16:40:26.200000,47108,9,,
100007,0,0,55,204.0000000000,US,2025-05-22 16:40:26.203000,,OZKAN,2025-05-22 16:40:26.203000,OZKAN,2025-05-22 16:40:26.203000,47109,9,,
100008,0,0,51,1642.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.763000,Samet,2025-05-28 17:43:44.560000,46227,10,KGShop,KGShop
100008,0,0,52,1642.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.400000,Samet,2025-05-28 17:44:18.707000,47806,10,KGShop,KGShop
100008,0,0,54,105.0000000000,TL,2025-05-22 16:40:26.187000,,OZKAN,2025-05-22 16:40:26.187000,OZKAN,2025-05-22 16:40:26.187000,47106,10,,
100008,0,0,55,205.0000000000,US,2025-05-22 16:40:26.193000,,OZKAN,2025-05-22 16:40:26.193000,OZKAN,2025-05-22 16:40:26.193000,47107,10,,
100009,0,0,51,1824.0000000000,TL,2025-04-21 00:00:00,,Samet,2025-02-06 13:34:27.190000,Samet,2025-05-28 17:43:44.640000,46208,11,KGShop,KGShop
100009,0,0,52,1824.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.580000,Samet,2025-05-28 17:44:18.797000,47854,11,KGShop,KGShop
100009,0,0,54,106.0000000000,TL,2025-05-22 16:40:26.173000,,OZKAN,2025-05-22 16:40:26.173000,OZKAN,2025-05-22 16:40:26.173000,47104,11,,
100009,0,0,55,206.0000000000,US,2025-05-22 16:40:26.180000,,OZKAN,2025-05-22 16:40:26.180000,OZKAN,2025-05-22 16:40:26.180000,47105,11,,
100010,0,0,51,1763.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.767000,Samet,2025-05-28 17:43:44.637000,46228,12,KGShop,KGShop
100010,0,0,52,1763.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.580000,Samet,2025-05-28 17:44:18.797000,47853,12,KGShop,KGShop
100010,0,0,54,107.0000000000,TL,2025-05-22 16:40:26.160000,,OZKAN,2025-05-22 16:40:26.160000,OZKAN,2025-05-22 16:40:26.160000,47102,12,,
100010,0,0,55,207.0000000000,US,2025-05-22 16:40:26.167000,,OZKAN,2025-05-22 16:40:26.167000,OZKAN,2025-05-22 16:40:26.167000,47103,12,,
100011,0,0,51,1907.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.770000,Samet,2025-05-28 17:43:44.653000,46229,13,KGShop,KGShop
100011,0,0,52,1907.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.600000,Samet,2025-05-28 17:44:18.813000,47864,13,KGShop,KGShop
100011,0,0,54,108.0000000000,TL,2025-05-22 16:40:26.147000,,OZKAN,2025-05-22 16:40:26.147000,OZKAN,2025-05-22 16:40:26.147000,47100,13,,
100011,0,0,55,208.0000000000,US,2025-05-22 16:40:26.150000,,OZKAN,2025-05-22 16:40:26.150000,OZKAN,2025-05-22 16:40:26.153000,47101,13,,
100012,0,0,51,1824.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.770000,Samet,2025-05-28 17:43:44.617000,46230,14,KGShop,KGShop
100012,0,0,52,1824.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.533000,Samet,2025-05-28 17:44:18.773000,47839,14,KGShop,KGShop
100012,0,0,54,109.0000000000,TL,2025-05-22 16:40:26.133000,,OZKAN,2025-05-22 16:40:26.133000,OZKAN,2025-05-22 16:40:26.133000,47098,14,,
100012,0,0,55,209.0000000000,US,2025-05-22 16:40:26.140000,,OZKAN,2025-05-22 16:40:26.140000,OZKAN,2025-05-22 16:40:26.140000,47099,14,,
100013,0,0,51,752.0000000000,TL,2025-05-16 00:00:00,,harun,2025-04-21 14:25:08.773000,Samet,2025-05-28 17:43:44.590000,46231,15,KGShop,KGShop
100013,0,0,52,752.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.480000,Samet,2025-05-28 17:44:18.743000,47823,15,KGShop,KGShop
100013,255,159,01,32.0000000000,TL,2025-02-28 00:00:00,*,Samet,2025-02-28 01:17:40.040000,Samet,2025-02-28 01:17:43.260000,46209,15,KGShop_ERKAN,KGShop_ERKAN
100014,0,0,51,1763.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.773000,Samet,2025-05-28 17:43:44.647000,46232,16,KGShop,KGShop
100014,0,0,52,1763.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.590000,Samet,2025-05-28 17:44:18.807000,47859,16,KGShop,KGShop
100015,0,0,51,1946.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.777000,Samet,2025-05-28 17:43:44.640000,46233,17,KGShop,KGShop
100015,0,0,52,1946.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.583000,Samet,2025-05-28 17:44:18.800000,47856,17,KGShop,KGShop
100016,0,0,51,752.0000000000,TL,2025-05-16 00:00:00,,harun,2025-04-21 14:25:08.780000,Samet,2025-05-28 17:43:44.600000,46234,18,KGShop,KGShop
100016,0,0,52,752.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.493000,Samet,2025-05-28 17:44:18.753000,47829,18,KGShop,KGShop
100016,0,0,54,110.0000000000,TL,2025-05-22 16:40:26.120000,,OZKAN,2025-05-22 16:40:26.120000,OZKAN,2025-05-22 16:40:26.123000,47096,18,,
100016,0,0,55,210.0000000000,US,2025-05-22 16:40:26.127000,,OZKAN,2025-05-22 16:40:26.127000,OZKAN,2025-05-22 16:40:26.127000,47097,18,,
100017,0,0,51,1100.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.780000,Samet,2025-05-28 17:43:44.640000,46235,19,KGShop,KGShop
100017,0,0,52,1100.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.580000,Samet,2025-05-28 17:44:18.800000,47855,19,KGShop,KGShop
100017,0,0,54,111.0000000000,TL,2025-05-22 16:40:25.913000,,OZKAN,2025-05-22 16:40:25.913000,OZKAN,2025-05-22 16:40:26.093000,47094,19,,
100017,0,0,55,211.0000000000,US,2025-05-22 16:40:26.113000,,OZKAN,2025-05-22 16:40:26.113000,OZKAN,2025-05-22 16:40:26.113000,47095,19,,
100018,0,0,51,1824.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.783000,Samet,2025-05-28 17:43:44.650000,46236,20,KGShop,KGShop
100018,0,0,52,1824.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.593000,Samet,2025-05-28 17:44:18.810000,47861,20,KGShop,KGShop
100019,0,0,51,1702.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.787000,Samet,2025-05-28 17:43:44.633000,46237,21,KGShop,KGShop
100019,0,0,52,1702.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.570000,Samet,2025-05-28 17:44:18.790000,47849,21,KGShop,KGShop
100020,0,0,51,1672.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.790000,Samet,2025-05-28 17:43:44.233000,46238,22,KGShop,KGShop
100020,0,0,52,1672.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.010000,Samet,2025-05-28 17:44:18.373000,47637,22,KGShop,KGShop
100021,0,0,51,1915.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.790000,Samet,2025-05-28 17:43:44.620000,46239,23,KGShop,KGShop
100021,0,0,52,1915.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.537000,Samet,2025-05-28 17:44:18.777000,47841,23,KGShop,KGShop
100022,0,0,51,1824.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.793000,Samet,2025-05-28 17:43:44.637000,46240,24,KGShop,KGShop
100022,0,0,52,1824.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.577000,Samet,2025-05-28 17:44:18.793000,47852,24,KGShop,KGShop
100023,0,0,51,1672.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.797000,Samet,2025-05-28 17:43:44.597000,46241,25,KGShop,KGShop
100023,0,0,52,1672.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.487000,Samet,2025-05-28 17:44:18.750000,47826,25,KGShop,KGShop
100024,0,0,51,1672.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.797000,Samet,2025-05-28 17:43:44.620000,46242,26,KGShop,KGShop
100024,0,0,52,1672.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.540000,Samet,2025-05-28 17:44:18.777000,47842,26,KGShop,KGShop
100025,0,0,51,1581.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.800000,Samet,2025-05-28 17:43:44.237000,46243,27,KGShop,KGShop
100025,0,0,52,1581.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.017000,Samet,2025-05-28 17:44:18.377000,47640,27,KGShop,KGShop
100026,0,0,51,1581.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.803000,Samet,2025-05-28 17:43:44.613000,46244,28,KGShop,KGShop
100026,0,0,52,1581.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.530000,Samet,2025-05-28 17:44:18.770000,47837,28,KGShop,KGShop
100027,0,0,51,1885.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.807000,Samet,2025-05-28 17:43:44.227000,46245,29,KGShop,KGShop
100027,0,0,52,1885.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.003000,Samet,2025-05-28 17:44:18.367000,47632,29,KGShop,KGShop
100028,0,0,51,1946.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.807000,Samet,2025-05-28 17:43:44.227000,46246,30,KGShop,KGShop
100028,0,0,52,1946.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.003000,Samet,2025-05-28 17:44:18.367000,47633,30,KGShop,KGShop
100029,0,0,51,1976.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.810000,Samet,2025-05-28 17:43:44.643000,46247,31,KGShop,KGShop
100029,0,0,52,1976.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.587000,Samet,2025-05-28 17:44:18.803000,47857,31,KGShop,KGShop
100030,0,0,51,1794.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.810000,Samet,2025-05-28 17:43:44.633000,46248,32,KGShop,KGShop
100030,0,0,52,1794.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.573000,Samet,2025-05-28 17:44:18.793000,47851,32,KGShop,KGShop
100031,0,0,51,1794.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.813000,Samet,2025-05-28 17:43:44.233000,46249,33,KGShop,KGShop
100031,0,0,52,1794.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.013000,Samet,2025-05-28 17:44:18.377000,47638,33,KGShop,KGShop
100032,0,0,51,1581.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.817000,Samet,2025-05-28 17:43:44.237000,46250,34,KGShop,KGShop
100032,0,0,52,1581.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.017000,Samet,2025-05-28 17:44:18.377000,47639,34,KGShop,KGShop
100033,0,0,51,1885.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.820000,Samet,2025-05-28 17:43:44.730000,46251,35,KGShop,KGShop
100033,0,0,52,1885.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.680000,Samet,2025-05-28 17:44:18.877000,47899,35,KGShop,KGShop
100034,0,0,51,1642.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.820000,Samet,2025-05-28 17:43:44.240000,46252,36,KGShop,KGShop
100034,0,0,52,1642.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.020000,Samet,2025-05-28 17:44:18.380000,47642,36,KGShop,KGShop
100035,0,0,51,1794.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.823000,Samet,2025-05-28 17:43:44.633000,46253,37,KGShop,KGShop
100035,0,0,52,1794.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.573000,Samet,2025-05-28 17:44:18.793000,47850,37,KGShop,KGShop
100036,0,0,51,1794.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.827000,Samet,2025-05-28 17:43:44.230000,46254,38,KGShop,KGShop
100036,0,0,52,1794.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.007000,Samet,2025-05-28 17:44:18.370000,47634,38,KGShop,KGShop
100037,0,0,51,1794.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.830000,Samet,2025-05-28 17:43:44.240000,46255,39,KGShop,KGShop
100037,0,0,52,1794.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.020000,Samet,2025-05-28 17:44:18.380000,47641,39,KGShop,KGShop
100038,0,0,51,1581.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.830000,Samet,2025-05-28 17:43:44.627000,46256,40,KGShop,KGShop
100038,0,0,52,1581.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.560000,Samet,2025-05-28 17:44:18.783000,47845,40,KGShop,KGShop
100039,0,0,51,1976.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.833000,Samet,2025-05-28 17:43:44.230000,46257,41,KGShop,KGShop
100039,0,0,52,1976.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.007000,Samet,2025-05-28 17:44:18.370000,47635,41,KGShop,KGShop
100040,0,0,51,1672.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.837000,Samet,2025-05-28 17:43:44.223000,46258,42,KGShop,KGShop
100040,0,0,52,1672.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23,Samet,2025-05-28 17:44:18.363000,47631,42,KGShop,KGShop
100041,0,0,51,1733.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.840000,Samet,2025-05-28 17:43:44.220000,46259,43,KGShop,KGShop
100041,0,0,52,1733.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:22.993000,Samet,2025-05-28 17:44:18.357000,47627,43,KGShop,KGShop
100042,0,0,51,1763.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.840000,Samet,2025-05-28 17:43:44.597000,46260,44,KGShop,KGShop
100042,0,0,52,1763.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.490000,Samet,2025-05-28 17:44:18.750000,47827,44,KGShop,KGShop
100043,0,0,51,1763.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.843000,Samet,2025-05-28 17:43:44.600000,46261,45,KGShop,KGShop
100043,0,0,52,1763.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.490000,Samet,2025-05-28 17:44:18.750000,47828,45,KGShop,KGShop
100044,0,0,51,1763.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.847000,Samet,2025-05-28 17:43:44.593000,46262,46,KGShop,KGShop
100044,0,0,52,1763.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.487000,Samet,2025-05-28 17:44:18.747000,47825,46,KGShop,KGShop
100046,0,0,51,1003.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.850000,Samet,2025-05-28 17:43:44.543000,46263,48,KGShop,KGShop
100046,0,0,52,1003.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.380000,Samet,2025-05-28 17:44:18.693000,47796,48,KGShop,KGShop
100047,0,0,51,1155.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.850000,Samet,2025-05-28 17:43:44.727000,46264,49,KGShop,KGShop
100047,0,0,52,1155.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.680000,Samet,2025-05-28 17:44:18.873000,47898,49,KGShop,KGShop
100048,0,0,51,1155.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.853000,Samet,2025-05-28 17:43:44.740000,46265,50,KGShop,KGShop
100048,0,0,52,1155.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.687000,Samet,2025-05-28 17:44:18.880000,47901,50,KGShop,KGShop
100049,0,0,51,1155.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.857000,Samet,2025-05-28 17:43:44.743000,46266,51,KGShop,KGShop
100049,0,0,52,1155.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.687000,Samet,2025-05-28 17:44:18.880000,47902,51,KGShop,KGShop
100050,0,0,51,1186.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.860000,Samet,2025-05-28 17:43:44.217000,46267,52,KGShop,KGShop
100050,0,0,52,1186.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:22.987000,Samet,2025-05-28 17:44:18.353000,47624,52,KGShop,KGShop
100051,0,0,51,1216.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.863000,Samet,2025-05-28 17:43:44.217000,46268,53,KGShop,KGShop
100051,0,0,52,1216.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:22.990000,Samet,2025-05-28 17:44:18.353000,47625,53,KGShop,KGShop
100052,0,0,51,1581.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.867000,Samet,2025-05-28 17:43:44.213000,46269,54,KGShop,KGShop
100052,0,0,52,1581.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:22.987000,Samet,2025-05-28 17:44:18.350000,47623,54,KGShop,KGShop
100053,0,0,51,1702.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.867000,Samet,2025-05-28 17:43:44.217000,46270,55,KGShop,KGShop
100053,0,0,52,1702.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:22.990000,Samet,2025-05-28 17:44:18.357000,47626,55,KGShop,KGShop
100054,0,0,51,1155.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.870000,Samet,2025-05-28 17:43:44.740000,46271,56,KGShop,KGShop
100054,0,0,52,1155.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.683000,Samet,2025-05-28 17:44:18.877000,47900,56,KGShop,KGShop
100055,0,0,51,1216.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.873000,Samet,2025-05-28 17:43:44.707000,46272,57,KGShop,KGShop
100055,0,0,52,1216.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.670000,Samet,2025-05-28 17:44:18.867000,47893,57,KGShop,KGShop
100056,0,0,51,1216.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.877000,Samet,2025-05-28 17:43:44.707000,46273,58,KGShop,KGShop
100056,0,0,52,1216.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.670000,Samet,2025-05-28 17:44:18.867000,47894,58,KGShop,KGShop
100057,0,0,51,1216.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.880000,Samet,2025-05-28 17:43:44.703000,46274,59,KGShop,KGShop
100057,0,0,52,1216.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.663000,Samet,2025-05-28 17:44:18.863000,47891,59,KGShop,KGShop
100058,0,0,51,1216.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.883000,Samet,2025-05-28 17:43:44.703000,46275,60,KGShop,KGShop
100058,0,0,52,1216.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.667000,Samet,2025-05-28 17:44:18.863000,47892,60,KGShop,KGShop
100061,0,0,51,975.0000000000,TL,2025-05-16 00:00:00,,harun,2025-05-16 23:09:09.517000,Samet,2025-05-28 17:43:44.617000,46311,22853,KGShop,KGShop
100061,0,0,52,975.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.537000,Samet,2025-05-28 17:44:18.773000,47840,22853,KGShop,KGShop
100063,0,0,51,1885.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.887000,Samet,2025-05-28 17:43:44.457000,46276,64,KGShop,KGShop
100063,0,0,52,1885.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.290000,Samet,2025-05-28 17:44:18.610000,47758,64,KGShop,KGShop
100064,0,0,51,1520.0000000000,TL,2025-04-21 00:00:00,,harun,2025-04-21 14:25:08.890000,Samet,2025-05-28 17:43:44.747000,46277,65,KGShop,KGShop
100064,0,0,52,1520.0000000000,TL,2025-05-28 00:00:00,*,Samet,2025-05-28 17:43:23.690000,Samet,2025-05-28 17:44:18.883000,47904,65,KGShop,KGShop
