Ulke,Sehir,ilce,kgid,insUN,insDT,insApp,updUN,updDT,updApp
Filistin,İstanbul,,82,,,,,,
Finlandiya,,,83,,,,,,
Fransa,,,84,,,,,,
French Guiana,,,85,,,,,,
Gabon Cumhuriyeti,,,86,,,,,,
Gabon Cumhuriyeti,İstanbul,,87,,,,,,
Gambia,,,88,,,,,,
Gana,,,89,,,,,,
Gana,Accra,,90,,,,,,
Gine,,,91,,,,,,
Gine,Adana,,92,,,,,,
Gine,Antalya,,93,,,,,,
Gine,İstanbul,,94,,,,,,
Güney Afrika Cumhuriyeti,,,95,,,,,,
Gürcistan,,,96,,,,,,
Gürcistan,Adigeni,,97,,,,,,
Gürcistan,İstanbul,,98,,,,,,
Gürcistan,Tbilisi,,99,,,,,,
Hırvatistan,,,100,,,,,,
Hindistan,,,101,,,,,,
Hindistan,West Bengal,Jodhio,102,,,,,,
Hollanda,,,103,,,,,,
Hong Kong,,,104,,,,,,
Iceland,,,105,,,,,,
Ingiltere,,,106,,,,,,
Irak,,,107,,,,,,
Irak,Al Anbar,,108,,,,,,
Irak,Al Anbar,Avcılar,109,,,,,,
Irak,Arbil,,110,,,,,,
Irak,Arbil,dfgdg,111,,,,,,
Irak,Baghdad,,112,,,,,,
Irak,Bursa,,113,,,,,,
Irak,ırak,,114,,,,,,
Irak,İstanbul,,115,,,,,,
Irak,Konya,,116,,,,,,
Irak,Sakarya,,117,,,,,,
Irak,SÜLEYMANİ,SÜLEYMANİ,118,,,,,,
Iran,,,119,,,,,,
Iran,İstanbul,,120,,,,,,
Iran,İstanbul,Kağıthane,121,,,,,,
Iran,Sakarya,,122,,,,,,
Iran,Tahran,tahran,123,,,,,,
Irlanda,,,124,,,,,,
Ispanya,,,125,,,,,,
Israil,,,126,,,,,,
Israil,Haifa,,127,,,,,,
Israil,Northern,,128,,,,,,
Israil,Southern,,129,,,,,,
Isveç,,,130,,,,,,
Isviçre,,,131,,,,,,
Italya,,,132,,,,,,
Italya,Cosenza,Calabria,133,,,,,,
Japonya,,,134,,,,,,
Jordan,,,135,,,,,,
Jordan,Amman,,136,,,,,,
K.K.T.C,Gazimağusa,,137,,,,,,
K.K.T.C,Gazimağusa,Akdoğan,138,,,,,,
K.K.T.C,Gazimağusa,Beyarmudu,139,,,,,,
K.K.T.C,Gazimağusa,Gazimağusa,140,,,,,,
K.K.T.C,Gazimağusa,Geçitkale,141,,,,,,
K.K.T.C,Gazimağusa,İnönü,142,,,,,,
K.K.T.C,Gazimağusa,Paşaköy,143,,,,,,
K.K.T.C,Gazimağusa,Serdarlı,144,,,,,,
K.K.T.C,Gazimağusa,Tatlısu,145,,,,,,
K.K.T.C,Gazimağusa,Vadili,146,,,,,,
K.K.T.C,Gazimağusa,Yeni Boğaziçi,147,,,,,,
K.K.T.C,Girne,Alsancak,148,,,,,,
K.K.T.C,Girne,Çatalköy,149,,,,,,
K.K.T.C,Girne,Dikmen,150,,,,,,
K.K.T.C,Girne,Esentepe,151,,,,,,
K.K.T.C,Girne,Girne,152,,,,,,
K.K.T.C,Girne,Karaoğlanoğlu,153,,,,,,
K.K.T.C,Girne,Lapta,154,,,,,,
K.K.T.C,Girne,Ozanköy,155,,,,,,
K.K.T.C,Girne,Tepebaşı,156,,,,,,
K.K.T.C,Girne,Zeytinlik,157,,,,,,
K.K.T.C,Güzelyurt,Bademliköy,158,,,,,,
K.K.T.C,Güzelyurt,Cengizköy,159,,,,,,
K.K.T.C,Güzelyurt,Erenköy,160,,,,,,
K.K.T.C,Güzelyurt,Gemikonağı,161,,,,,,
K.K.T.C,Güzelyurt,Güneşköy,162,,,,,,
K.K.T.C,Güzelyurt,Güzelyurt,163,,,,,,
K.K.T.C,Güzelyurt,Lefke,164,,,,,,
K.K.T.C,Güzelyurt,Yayla,165,,,,,,
K.K.T.C,Güzelyurt,Yedidalga,166,,,,,,
K.K.T.C,Güzelyurt,Yeşilyurt,167,,,,,,
K.K.T.C,İskele,Büyükkonuk,168,,,,,,
K.K.T.C,İskele,Dipkarpaz,169,,,,,,
K.K.T.C,İskele,İskele,170,,,,,,
K.K.T.C,İskele,Kalecik,171,,,,,,
K.K.T.C,İskele,Mehmetçik,172,,,,,,
K.K.T.C,İskele,Tuzluca,173,,,,,,
K.K.T.C,İskele,Yeni Erenköy,174,,,,,,
K.K.T.C,İskele,Ziyamet,175,,,,,,
K.K.T.C,Lefkoşa,,176,,,,,,
K.K.T.C,Lefkoşa,Akıncılar,177,,,,,,
K.K.T.C,Lefkoşa,Alayköy,178,,,,,,
K.K.T.C,Lefkoşa,Balıkesir,179,,,,,,
K.K.T.C,Lefkoşa,Değirmenlik,180,,,,,,
K.K.T.C,Lefkoşa,Dilekkaya,181,,,,,,
K.K.T.C,Lefkoşa,Gönyeli,182,,,,,,
K.K.T.C,Lefkoşa,Lefkoşa,183,,,,,,
K.K.T.C,Lefkoşa,Minareliköy,184,,,,,,
K.K.T.C,Lefkoşa,Yeşilırmak,185,,,,,,
Kamboçya,,,186,,,,,,
Kamerun,,,187,,,,,,
Kanada,,,188,,,,,,
Kanada,Calgary,,189,,,,,,
Kanada,İstanbul,,190,,,,,,
Kanada,Toronto,,191,,,,,,
Katar,,,192,,,,,,
Katar,,Espiye,193,,,,,,
Katar,Ad Dawhah,,194,,,,,,
Katar,Al Wakrah,,195,,,,,,
Katar,Al Wakrah,Şişli,196,,,,,,
Katar,Ar Rayyan,,197,,,,,,
Katar,İstanbul,,198,,,,,,
Kazakistan,,,199,,,,,,
Kazakistan,Aktobe,dfgdg,200,,,,,,
Kazakistan,Almaty,,201,,,,,,
Kazakistan,Astana,,202,,,,,,
Kazakistan,Bursa,,203,,,,,,
Kazakistan,İstanbul,,204,,,,,,
Kazakistan,İzmir,,205,,,,,,
Kazakistan,Trabzon,,206,,,,,,
Kazakistan,Turkestan,,207,,,,,,
Kenya,,,208,,,,,,
Kıbrıs,,,209,,,,,,
Kırgızistan,,,210,,,,,,
Kırgızistan,Bishkek,,211,,,,,,
Kırgızistan,Bishkek,Başakşehir,212,,,,,,
Kırgızistan,İstanbul,,213,,,,,,
Kiribati,,,214,,,,,,
Kolombiya,,,215,,,,,,
Komoros,,,216,,,,,,
Kongo,,,217,,,,,,
Kongo,İstanbul,,218,,,,,,
Kore (Güney),,,219,,,,,,
Kore (Güney),Gwangju,,220,,,,,,
Kore (Güney),Kayseri,,221,,,,,,
Kore (Güney),Seoul,,222,,,,,,
Kosova,,,223,,,,,,
Kosta Rika,,,224,,,,,,
Kuveyt,,,225,,,,,,
Kuveyt,Al Asimah,,226,,,,,,
Kyrgyzistan,,,227,,,,,,
Letonya,,,228,,,,,,
Liberya,,,229,,,,,,
Libya,,,230,,,,,,
Libya,,Kağıthane,231,,,,,,
Libya,İstanbul,,232,,,,,,
Litvanya,,,233,,,,,,
Litvanya,Kaunas,,234,,,,,,
Lübnan,,,235,,,,,,
Macao,,,236,,,,,,
Macaristan,,,237,,,,,,
Madagaskar,,,238,,,,,,
Makedonya,,,239,,,,,,
Malavi,,,240,,,,,,
Malezya,,,241,,,,,,
Mali Republic,,,242,,,,,,
Mali Republic,İstanbul,,243,,,,,,
Malta,,,244,,,,,,
Mauritius,,,245,,,,,,
Meksika,,,246,,,,,,
Mısır,,,247,,,,,,
Mısır,İstanbul,,248,,,,,,
Moldovya,,,249,,,,,,
Moldovya,Balti,,250,,,,,,
Moldovya,Chi?inau,,251,,,,,,
Moldovya,Chişinau,,252,,,,,,
Monaco,,,253,,,,,,
Mongolia,,,254,,,,,,
Montenegro,,,255,,,,,,
Moritanya,,,256,,,,,,
Morocco,,,257,,,,,,
Morocco,Casablanca,,258,,,,,,
Mozambik,,,259,,,,,,
Namibia,,,260,,,,,,
Nijer,,,261,,,,,,
Nijerya,,,262,,,,,,
Nijerya,İstanbul,,263,,,,,,
Norveç,,,264,,,,,,
Oman,,,265,,,,,,
Orta Afrika Cumhuriyeti,,,266,,,,,,
Pakistan,,,267,,,,,,
Panama,,,268,,,,,,
Papua New Guinea,,,269,,,,,,
Peru,,,270,,,,,,
Peru,Lima,,271,,,,,,
Pitcairn Adaları,,,272,,,,,,
Polonya,,,273,,,,,,
Portekiz,,,274,,,,,,
Réunion,,,275,,,,,,
Réunion,ı,,276,,,,,,
Romanya,,,277,,,,,,
Romanya,Arad,,278,,,,,,
Romanya,Bucharest,,279,,,,,,
Romanya,Galai,,280,,,,,,
Romanya,İstanbul,,281,,,,,,
Rusya,,,282,,,,,,
Rusya,Denizli,,283,,,,,,
Rusya,İstanbul,,284,,,,,,
Rusya,Krasnodar,,285,,,,,,
Rusya,Moscow,,286,,,,,,
Rusya,Rostov-on-Don,,287,,,,,,
Rusya,Saint Petersburg,,288,,,,,,
Rusya,Sakarya,,289,,,,,,
Rusya,Vladivostok,,290,,,,,,
Rusya,Yekaterinburg,,291,,,,,,
Rwanda,,,292,,,,,,
Senegal,,,296,,,,,,
Senegal,İstanbul,,297,,,,,,
Senegal,Sakarya,,298,,,,,,
Serbia,,,299,,,,,,
Serbia,Belgrade,,300,,,,,,
Serbia,Subotica,,301,,,,,,
Sierra Leone,,,302,,,,,,
Singapur,,,303,,,,,,
Slovakya,,,304,,,,,,
Somali,,,305,,,,,,
South Georgia and the South Sandwich Islands,,,306,,,,,,
South Georgia and the South Sandwich Islands,İstanbul,,307,,,,,,
Sri Lanka,Colombo,,308,,,,,,
Sudan,,,309,,,,,,
Sudan,İstanbul,,310,,,,,,
Sudan,Konya,,311,,,,,,
Suriname,,,312,,,,,,
Suudi Arabistan,,,293,,,,dbo,2024-04-24 11:45:40.333000,Microsoft SQL Server Management Studio - Query
Suudi Arabistan,Jeddah,,294,,,,dbo,2024-04-24 11:45:40.333000,Microsoft SQL Server Management Studio - Query
Suudi Arabistan,Riyadh,,295,,,,dbo,2024-04-24 11:45:40.333000,Microsoft SQL Server Management Studio - Query
Swaziland,,,313,,,,,,
Switzerland,,,314,,,,,,
Syria,,,315,,,,,,
Taiwan,,,316,,,,,,
Tajikistan,,,317,,,,,,
Tajikistan,İstanbul,,318,,,,,,
Tanzania,,,319,,,,,,
Togolese Republic,,,320,,,,,,
Tonga,,,321,,,,,,
Tonga,İstanbul,Avcılar,322,,,,,,
Trinidad &amp; Tobago,,,323,,,,,,
Tunisia,,,324,,,,,,
Tunisia,Bursa,,325,,,,,,
Tunisia,İstanbul,,326,,,,,,
Turkmenistan,,,327,,,,,,
Turkmenistan,Aşkabat,,328,,,,,,
Turkmenistan,İstanbul,,329,,,,,,
Tuvalu,,,330,,,,,,
Tuvalu,İstanbul,Avcılar,331,,,,,,
Türkiye,,,332,,,,,,
Türkiye,,Bağcılar,333,,,,,,
Türkiye,,Bodrum,334,,,,,,
Türkiye,,Ereğli,335,,,,,,
Türkiye,,Güngören,336,,,,,,
Türkiye,,Kağıthane,337,,,,,,
Türkiye,,Merkez,338,,,,,,
Türkiye,Adana,,339,,,,,,
Türkiye,Adana,Aladağ,340,,,,,,
Türkiye,Adana,Baraj Yolu,341,,,,,,
Türkiye,Adana,Cemalpaşa,342,,,,,,
Türkiye,Adana,Ceyhan,343,,,,,,
Türkiye,Adana,Çarşı,344,,,,,,
Türkiye,Adana,Çukurova,345,,,,,,
Türkiye,Adana,Feke,346,,,,,,
Türkiye,Adana,İmamoğlu,347,,,,,,
Türkiye,Adana,Karaisalı,348,,,,,,
Türkiye,Adana,Karataş,349,,,,,,
Türkiye,Adana,Kozan,350,,,,,,
Türkiye,Adana,Merkez,351,,,,,,
Türkiye,Adana,Pozantı,352,,,,,,
Türkiye,Adana,Saimbeyli,353,,,,,,
Türkiye,Adana,Sarıçam,354,,,,,,
Türkiye,Adana,Seyhan,355,,,,,,
Türkiye,Adana,Tufanbeyli,356,,,,,,
Türkiye,Adana,Yumurtalık,357,,,,,,
Türkiye,Adana,Yüreğir,358,,,,,,
Türkiye,Adıyaman,,359,,,,,,
Türkiye,Adıyaman,Besni,360,,,,,,
Türkiye,Adıyaman,Çelikhan,361,,,,,,
Türkiye,Adıyaman,Gerger,362,,,,,,
Türkiye,Adıyaman,Gölbaşı,363,,,,,,
Türkiye,Adıyaman,Kahta,364,,,,,,
Türkiye,Adıyaman,Samsat,365,,,,,,
Türkiye,Adıyaman,Sincik,366,,,,,,
Türkiye,Adıyaman,Tut,367,,,,,,
Türkiye,Afyon,,368,,,,,,
Türkiye,Afyon,Başmakçı,369,,,,,,
Türkiye,Afyon,Bayat,370,,,,,,
Türkiye,Afyon,Bolvadin,371,,,,,,
Türkiye,Afyon,Çay,372,,,,,,
Türkiye,Afyon,Çobanlar,373,,,,,,
Türkiye,Afyon,Dazkırı,374,,,,,,
Türkiye,Afyon,Dinar,375,,,,,,
Türkiye,Afyon,Emirdağ,376,,,,,,
Türkiye,Afyon,Evciler,377,,,,,,
Türkiye,Afyon,Hocalar,378,,,,,,
Türkiye,Afyon,İhsaniye,379,,,,,,
Türkiye,Afyon,İscehisar,380,,,,,,
Türkiye,Afyon,Kızılören,381,,,,,,
Türkiye,Afyon,Merkez,382,,,,,,
Türkiye,Afyon,Sandıklı,383,,,,,,
Türkiye,Afyon,Sinanpaşa,384,,,,,,
Türkiye,Afyon,Sincanlı,385,,,,,,
Türkiye,Afyon,Sultandağı,386,,,,,,
Türkiye,Afyon,Şuhut,387,,,,,,
Türkiye,Afyonkarahisar,,388,,,,,,
Türkiye,Afyonkarahisar,Afyonkarahisar,389,,,,,,
Türkiye,Ağrı,,390,,,,,,
Türkiye,Ağrı,Diyadin,391,,,,,,
Türkiye,Ağrı,Doğubayazıt,392,,,,,,
Türkiye,Ağrı,Doğubeyazıt,393,,,,,,
Türkiye,Ağrı,Eleşkirt,394,,,,,,
Türkiye,Ağrı,Hamur,395,,,,,,
Türkiye,Ağrı,Merkez,396,,,,,,
Türkiye,Ağrı,Patnos,397,,,,,,
Türkiye,Ağrı,Taşlıçay,398,,,,,,
Türkiye,Ağrı,Tutak,399,,,,,,
Türkiye,Aksaray,,400,,,,,,
Türkiye,Aksaray,Ağaçören,401,,,,,,
Türkiye,Aksaray,Eskil,402,,,,,,
Türkiye,Aksaray,Gülağaç,403,,,,,,
Türkiye,Aksaray,Gülağaç(Ağaçlı),404,,,,,,
Türkiye,Aksaray,Güzelyurt,405,,,,,,
Türkiye,Aksaray,Merkez,406,,,,,,
Türkiye,Aksaray,Ortaköy,407,,,,,,
Türkiye,Aksaray,Sarıyahşi,408,,,,,,
Türkiye,Amasya,,409,,,,,,
Türkiye,Amasya,Göynücek,410,,,,,,
Türkiye,Amasya,Gümüşhacıköy,411,,,,,,
Türkiye,Amasya,Hamamözü,412,,,,,,
Türkiye,Amasya,Merkez,413,,,,,,
Türkiye,Amasya,Merzifon,414,,,,,,
Türkiye,Amasya,Suluova,415,,,,,,
Türkiye,Amasya,Taşova,416,,,,,,
Türkiye,Ankara,,417,,,,,,
Türkiye,Ankara,Akköprü,418,,,,,,
Türkiye,Ankara,Akyurt,419,,,,,,
Türkiye,Ankara,Altındağ,420,,,,,,
Türkiye,Ankara,Ayaş,421,,,,,,
Türkiye,Ankara,Bala,422,,,,,,
Türkiye,Ankara,Beypazarı,423,,,,,,
Türkiye,Ankara,Çamlıdere,424,,,,,,
Türkiye,Ankara,Çankaya,425,,,,,,
Türkiye,Ankara,Çubuk,426,,,,,,
Türkiye,Ankara,Elmadağ,427,,,,,,
Türkiye,Ankara,Etimesgut,428,,,,,,
Türkiye,Ankara,Evren,429,,,,,,
Türkiye,Ankara,Gaziemir,430,,,,,,
Türkiye,Ankara,Gölbaşı,431,,,,,,
Türkiye,Ankara,Güdül,432,,,,,,
Türkiye,Ankara,Haymana,433,,,,,,
Türkiye,Ankara,Kalecik,434,,,,,,
Türkiye,Ankara,Kazan,435,,,,,,
Türkiye,Ankara,Keçiören,436,,,,,,
Türkiye,Ankara,Kızılcahamam,437,,,,,,
Türkiye,Ankara,Mamak,438,,,,,,
Türkiye,Ankara,Nallıhan,439,,,,,,
Türkiye,Ankara,Polatlı,440,,,,,,
Türkiye,Ankara,Pursaklar,441,,,,,,
Türkiye,Ankara,Sincan,442,,,,,,
Türkiye,Ankara,Şereflikoçhisar,443,,,,,,
Türkiye,Ankara,Yenimahalle,444,,,,,,
Türkiye,Antalya,,445,,,,,,
Türkiye,Antalya,Akseki,446,,,,,,
Türkiye,Antalya,Alanya,447,,,,,,
Türkiye,Antalya,Batı Vilayet,448,,,,,,
Türkiye,Antalya,Döşemealtı,449,,,,,,
Türkiye,Antalya,Elmalı,450,,,,,,
Türkiye,Antalya,Finike,451,,,,,,
Türkiye,Antalya,Gazipaşa,452,,,,,,
Türkiye,Antalya,Gündoğmuş,453,,,,,,
Türkiye,Antalya,İbradı(Aydınkent),454,,,,,,
Türkiye,Antalya,İbradi,455,,,,,,
Türkiye,Antalya,Kale,456,,,,,,
Türkiye,Antalya,Kale(Demre),457,,,,,,
Türkiye,Antalya,Kaş,458,,,,,,
Türkiye,Antalya,Kemer,459,,,,,,
Türkiye,Antalya,Kepez,460,,,,,,
Türkiye,Antalya,Konyaaltı,461,,,,,,
Türkiye,Antalya,Korkuteli,462,,,,,,
Türkiye,Antalya,Kumköy,463,,,,,,
Türkiye,Antalya,Kumluca,464,,,,,,
Türkiye,Antalya,Mahmutlar,465,,,,,,
Türkiye,Antalya,Manavgat,466,,,,,,
Türkiye,Antalya,Merkez,467,,,,,,
Türkiye,Antalya,Muratpaşa,468,,,,,,
Türkiye,Antalya,Serik,469,,,,,,
Türkiye,Ardahan,,470,,,,,,
Türkiye,Ardahan,Çıldır,471,,,,,,
Türkiye,Ardahan,Damal,472,,,,,,
Türkiye,Ardahan,Göle,473,,,,,,
Türkiye,Ardahan,Hanak,474,,,,,,
Türkiye,Ardahan,Merkez,475,,,,,,
Türkiye,Ardahan,Posof,476,,,,,,
Türkiye,Artvin,,477,,,,,,
Türkiye,Artvin,Ardanuç,478,,,,,,
Türkiye,Artvin,Arhavi,479,,,,,,
Türkiye,Artvin,Borçka,480,,,,,,
Türkiye,Artvin,Hopa,481,,,,,,
Türkiye,Artvin,Merkez,482,,,,,,
Türkiye,Artvin,Murgul,483,,,,,,
Türkiye,Artvin,Murgul(Göktaş),484,,,,,,
Türkiye,Artvin,Şavşat,485,,,,,,
Türkiye,Artvin,Yusufeli,486,,,,,,
Türkiye,Aydın,,487,,,,,,
Türkiye,Aydın,Bozdoğan,488,,,,,,
Türkiye,Aydın,Buharkent,489,,,,,,
Türkiye,Aydın,Buharkent(Çubukdağı),490,,,,,,
Türkiye,Aydın,Çine,491,,,,,,
Türkiye,Aydın,Davutlar,492,,,,,,
Türkiye,Aydın,Didim,493,,,,,,
Türkiye,Aydın,Didim(Yenihisar),494,,,,,,
Türkiye,Aydın,Germencik,495,,,,,,
Türkiye,Aydın,Güzelçamlı,496,,,,,,
Türkiye,Aydın,Ilıca mevkii,497,,,,,,
Türkiye,Aydın,İncirliova,498,,,,,,
Türkiye,Aydın,Kadınlar Denizi,499,,,,,,
Türkiye,Aydın,Karacasu,500,,,,,,
Türkiye,Aydın,Karpuzlu,501,,,,,,
Türkiye,Aydın,Koçarlı,502,,,,,,
Türkiye,Aydın,Köşk,503,,,,,,
Türkiye,Aydın,Kuşadası,504,,,,,,
Türkiye,Aydın,Kuyucak,505,,,,,,
Türkiye,Aydın,Merkez,506,,,,,,
Türkiye,Aydın,Nazilli,507,,,,,,
Türkiye,Aydın,Sahil Siteleri,508,,,,,,
Türkiye,Aydın,Söke,509,,,,,,
Türkiye,Aydın,Sultanhisar,510,,,,,,
Türkiye,Aydın,Yenihisar,511,,,,,,
Türkiye,Aydın,Yenipazar,512,,,,,,
Türkiye,Balıkesir,,513,,,,,,
Türkiye,Balıkesir,Akçay,514,,,,,,
Türkiye,Balıkesir,Ayvalık,515,,,,,,
Türkiye,Balıkesir,Balya,516,,,,,,
Türkiye,Balıkesir,Bandırma,517,,,,,,
Türkiye,Balıkesir,Bigadiç,518,,,,,,
Türkiye,Balıkesir,Burhaniye,519,,,,,,
Türkiye,Balıkesir,Dursunbey,520,,,,,,
Türkiye,Balıkesir,Edremit,521,,,,,,
Türkiye,Balıkesir,Erdek,522,,,,,,
Türkiye,Balıkesir,Gömeç,523,,,,,,
Türkiye,Balıkesir,Gönen,524,,,,,,
Türkiye,Balıkesir,Havran,525,,,,,,
Türkiye,Balıkesir,İvrindi,526,,,,,,
Türkiye,Balıkesir,Kepsut,527,,,,,,
Türkiye,Balıkesir,Manyas,528,,,,,,
Türkiye,Balıkesir,Marmara,529,,,,,,
Türkiye,Balıkesir,Merkez,530,,,,,,
Türkiye,Balıkesir,Savaştepe,531,,,,,,
Türkiye,Balıkesir,Sındırgı,532,,,,,,
Türkiye,Balıkesir,Susurluk,533,,,,,,
Türkiye,Bartın,,534,,,,,,
Türkiye,Bartın,Amasra,535,,,,,,
Türkiye,Bartın,Kurucaşile,536,,,,,,
Türkiye,Bartın,Kuruçaşile,537,,,,,,
Türkiye,Bartın,Merkez,538,,,,,,
Türkiye,Bartın,Ulus,539,,,,,,
Türkiye,Batman,,540,,,,,,
Türkiye,Batman,Beşiri,541,,,,,,
Türkiye,Batman,Gercüş,542,,,,,,
Türkiye,Batman,Hasankeyf,543,,,,,,
Türkiye,Batman,Kozluk,544,,,,,,
Türkiye,Batman,Merkez,545,,,,,,
Türkiye,Batman,Sason,546,,,,,,
Türkiye,Bayburt,,547,,,,,,
Türkiye,Bayburt,Aydıntepe,548,,,,,,
Türkiye,Bayburt,Demirözü,549,,,,,,
Türkiye,Bayburt,Merkez,550,,,,,,
Türkiye,Bilecik,,551,,,,,,
Türkiye,Bilecik,Bozüyük,552,,,,,,
Türkiye,Bilecik,Gölpazarı,553,,,,,,
Türkiye,Bilecik,İnhisar,554,,,,,,
Türkiye,Bilecik,Merkez,555,,,,,,
Türkiye,Bilecik,Osmaneli,556,,,,,,
Türkiye,Bilecik,Pazaryeri,557,,,,,,
Türkiye,Bilecik,Söğüt,558,,,,,,
Türkiye,Bilecik,Yenipazar,559,,,,,,
Türkiye,Bingöl,,560,,,,,,
Türkiye,Bingöl,Adaklı,561,,,,,,
Türkiye,Bingöl,Genç,562,,,,,,
Türkiye,Bingöl,Karlıova,563,,,,,,
Türkiye,Bingöl,Kığı,564,,,,,,
Türkiye,Bingöl,Kiğı,565,,,,,,
Türkiye,Bingöl,Merkez,566,,,,,,
Türkiye,Bingöl,Solhan,567,,,,,,
Türkiye,Bingöl,Yayladere,568,,,,,,
Türkiye,Bingöl,Yedisu,569,,,,,,
Türkiye,Bitlis,,570,,,,,,
Türkiye,Bitlis,Adilce_newvaz,571,,,,,,
Türkiye,Bitlis,Adilcevaz,572,,,,,,
Türkiye,Bitlis,Ahlat,573,,,,,,
Türkiye,Bitlis,Güroymak,574,,,,,,
Türkiye,Bitlis,Hizan,575,,,,,,
Türkiye,Bitlis,Merkez,576,,,,,,
Türkiye,Bitlis,Mutki,577,,,,,,
Türkiye,Bitlis,Tatvan,578,,,,,,
Türkiye,Bolu,,579,,,,,,
Türkiye,Bolu,Abant,580,,,,,,
Türkiye,Bolu,Akçakoca,581,,,,,,
Türkiye,Bolu,Akkaya,582,,,,,,
Türkiye,Bolu,Ayrılık Çeşmesi,583,,,,,,
Türkiye,Bolu,Bolu Dağı,584,,,,,,
Türkiye,Bolu,Dörtdivan,585,,,,,,
Türkiye,Bolu,Gerede,586,,,,,,
Türkiye,Bolu,Gölcük,587,,,,,,
Türkiye,Bolu,Göynük,588,,,,,,
Türkiye,Bolu,Hendek,589,,,,,,
Türkiye,Bolu,Karacasu,590,,,,,,
Türkiye,Bolu,Kartalkaya,591,,,,,,
Türkiye,Bolu,Kıbrıscık,592,,,,,,
Türkiye,Bolu,Kıbrısçık,593,,,,,,
Türkiye,Bolu,Mengen,594,,,,,,
Türkiye,Bolu,Merkez,595,,,,,,
Türkiye,Bolu,Mudurnu,596,,,,,,
Türkiye,Bolu,Seben,597,,,,,,
Türkiye,Bolu,Yeniçağa,598,,,,,,
Türkiye,Burdur,,599,,,,,,
Türkiye,Burdur,Ağlasun,600,,,,,,
Türkiye,Burdur,Altınyayla,601,,,,,,
Türkiye,Burdur,Altınyayla(Dirmil),602,,,,,,
