ModelKod,Proses,Parcainx,BedKod1,BedKod2,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
101188,25,3,155,155,325,232,,,,,,
101188,25,3,156,156,326,232,,,,,,
101188,25,3,157,157,327,232,,,,,,
101188,25,3,158,158,328,232,,,,,,
101188,25,3,159,159,329,232,,,,,,
101188,25,3,160,160,330,232,,,,,,
101188,25,3,161,161,331,232,,,,,,
101188,25,3,162,162,332,232,,,,,,
101188,25,3,168,168,333,232,,,,,,
101188,25,3,206,206,334,232,,,,,,
101188,25,3,207,207,335,232,,,,,,
101188,25,3,249,249,336,232,,,,,,
101394,25,1,155,155,337,262,,,,,,
101394,25,1,156,156,338,262,,,,,,
101394,25,1,157,157,339,262,,,,,,
101394,25,1,158,158,340,262,,,,,,
101394,25,1,159,159,341,262,,,,,,
101394,25,1,160,160,342,262,,,,,,
101394,25,1,161,161,343,262,,,,,,
101394,25,1,162,162,344,262,,,,,,
101394,25,1,168,168,345,262,,,,,,
101394,25,1,206,206,346,262,,,,,,
101394,25,1,207,207,347,262,,,,,,
101394,25,2,155,155,348,263,,,,,,
101394,25,2,156,156,349,263,,,,,,
101394,25,2,157,157,350,263,,,,,,
101394,25,2,158,158,351,263,,,,,,
101394,25,2,159,159,352,263,,,,,,
101394,25,2,160,160,353,263,,,,,,
101394,25,2,161,161,354,263,,,,,,
101394,25,2,162,162,355,263,,,,,,
101394,25,2,168,168,356,263,,,,,,
101394,25,2,206,206,357,263,,,,,,
101394,25,2,207,207,358,263,,,,,,
101394,25,5,155,155,359,264,,,,,,
101394,25,5,156,156,360,264,,,,,,
101394,25,5,157,157,361,264,,,,,,
101394,25,5,158,158,362,264,,,,,,
101394,25,5,159,159,363,264,,,,,,
101394,25,5,160,160,364,264,,,,,,
101394,25,5,161,161,365,264,,,,,,
101394,25,5,162,162,366,264,,,,,,
101394,25,5,168,168,367,264,,,,,,
101394,25,5,206,206,368,264,,,,,,
101394,25,5,207,207,369,264,,,,,,
101398,25,1,155,155,370,282,,,,,,
101398,25,1,156,157,371,282,,,,,,
101398,25,1,157,157,372,282,,,,,,
101398,25,1,158,158,373,282,,,,,,
101398,25,1,159,159,374,282,,,,,,
101398,25,1,160,160,375,282,,,,,,
101398,25,1,161,161,376,282,,,,,,
101398,25,1,162,162,377,282,,,,,,
101398,25,1,168,168,378,282,,,,,,
101398,25,1,206,206,379,282,,,,,,
101398,25,1,207,207,380,282,,,,,,
101398,25,1,249,249,381,282,,,,,,
101398,25,2,155,155,382,283,,,,,,
101398,25,2,156,156,383,283,,,,,,
101398,25,2,157,157,384,283,,,,,,
101398,25,2,158,158,385,283,,,,,,
101398,25,2,159,159,386,283,,,,,,
101398,25,2,160,160,387,283,,,,,,
101398,25,2,161,161,388,283,,,,,,
101398,25,2,162,162,389,283,,,,,,
101398,25,2,168,168,390,283,,,,,,
101398,25,2,206,206,391,283,,,,,,
101398,25,2,207,207,392,283,,,,,,
101398,25,2,249,249,393,283,,,,,,
101398,25,3,155,155,394,284,,,,,,
101398,25,3,156,156,395,284,,,,,,
101398,25,3,157,157,396,284,,,,,,
101398,25,3,158,158,397,284,,,,,,
101398,25,3,159,159,398,284,,,,,,
101398,25,3,160,160,399,284,,,,,,
101398,25,3,161,161,400,284,,,,,,
101398,25,3,162,162,401,284,,,,,,
101398,25,3,168,168,402,284,,,,,,
101398,25,3,206,206,403,284,,,,,,
101398,25,3,207,207,404,284,,,,,,
101398,25,3,249,249,405,284,,,,,,
101406,25,1,155,155,406,305,,,,,,
101406,25,1,156,156,407,305,,,,,,
101406,25,1,157,157,408,305,,,,,,
101406,25,1,158,158,409,305,,,,,,
101406,25,1,159,159,410,305,,,,,,
101406,25,1,160,160,411,305,,,,,,
101406,25,1,161,161,412,305,,,,,,
101406,25,1,162,162,413,305,,,,,,
101406,25,1,168,168,414,305,,,,,,
101406,25,1,206,206,415,305,,,,,,
101406,25,1,207,207,416,305,,,,,,
101406,25,1,249,249,417,305,,,,,,
101406,25,2,155,155,418,306,,,,,,
101406,25,2,156,156,419,306,,,,,,
101406,25,2,157,157,420,306,,,,,,
101406,25,2,158,158,421,306,,,,,,
101406,25,2,159,159,422,306,,,,,,
101406,25,2,160,160,423,306,,,,,,
101406,25,2,161,161,424,306,,,,,,
101406,25,2,162,162,425,306,,,,,,
101406,25,2,168,168,426,306,,,,,,
101406,25,2,206,206,427,306,,,,,,
101406,25,2,207,207,428,306,,,,,,
101406,25,2,249,249,429,306,,,,,,
101406,25,3,155,155,430,307,,,,,,
101406,25,3,156,156,431,307,,,,,,
101406,25,3,157,157,432,307,,,,,,
101406,25,3,158,158,433,307,,,,,,
101406,25,3,159,159,434,307,,,,,,
101406,25,3,160,160,435,307,,,,,,
101406,25,3,161,161,436,307,,,,,,
101406,25,3,162,162,437,307,,,,,,
101406,25,3,168,168,438,307,,,,,,
101406,25,3,206,206,439,307,,,,,,
101406,25,3,207,207,440,307,,,,,,
101406,25,3,249,249,441,307,,,,,,
101412,25,1,155,155,442,329,,,,,,
101412,25,1,156,156,443,329,,,,,,
101412,25,1,157,157,444,329,,,,,,
101412,25,1,158,158,445,329,,,,,,
101412,25,1,159,159,446,329,,,,,,
101412,25,1,160,160,447,329,,,,,,
101412,25,1,161,161,448,329,,,,,,
101412,25,1,162,162,449,329,,,,,,
101412,25,1,168,168,450,329,,,,,,
101412,25,1,206,206,451,329,,,,,,
101412,25,1,207,207,452,329,,,,,,
101412,25,2,155,155,453,330,,,,,,
101412,25,2,156,156,454,330,,,,,,
101412,25,2,157,157,455,330,,,,,,
101412,25,2,158,158,456,330,,,,,,
101412,25,2,159,159,457,330,,,,,,
101412,25,2,160,160,458,330,,,,,,
101412,25,2,161,161,459,330,,,,,,
101412,25,2,162,162,460,330,,,,,,
101412,25,2,168,168,461,330,,,,,,
101412,25,2,206,206,462,330,,,,,,
101412,25,2,207,207,463,330,,,,,,
101412,25,3,155,155,464,331,,,,,,
101412,25,3,156,156,465,331,,,,,,
101412,25,3,157,157,466,331,,,,,,
101412,25,3,158,158,467,331,,,,,,
101412,25,3,159,159,468,331,,,,,,
101412,25,3,160,160,469,331,,,,,,
101412,25,3,161,161,470,331,,,,,,
101412,25,3,162,162,471,331,,,,,,
101412,25,3,168,168,472,331,,,,,,
101412,25,3,206,206,473,331,,,,,,
101412,25,3,207,207,474,331,,,,,,
101413,25,1,155,155,475,350,,,,,,
101413,25,1,156,156,476,350,,,,,,
101413,25,1,157,157,477,350,,,,,,
101413,25,1,158,158,478,350,,,,,,
101413,25,1,159,159,479,350,,,,,,
101413,25,1,160,160,480,350,,,,,,
101413,25,1,161,161,481,350,,,,,,
101413,25,1,162,162,482,350,,,,,,
101413,25,1,168,168,483,350,,,,,,
101413,25,1,206,206,484,350,,,,,,
101413,25,1,207,207,485,350,,,,,,
101413,25,2,155,155,486,351,,,,,,
101413,25,2,156,156,487,351,,,,,,
101413,25,2,157,157,488,351,,,,,,
101413,25,2,158,158,489,351,,,,,,
101413,25,2,159,159,490,351,,,,,,
101413,25,2,160,160,491,351,,,,,,
101413,25,2,161,161,492,351,,,,,,
101413,25,2,162,162,493,351,,,,,,
101413,25,2,168,168,494,351,,,,,,
101413,25,2,206,206,495,351,,,,,,
101413,25,2,207,207,496,351,,,,,,
101413,25,5,155,155,497,352,,,,,,
101413,25,5,156,156,498,352,,,,,,
101413,25,5,157,157,499,352,,,,,,
101413,25,5,158,158,500,352,,,,,,
101413,25,5,159,159,501,352,,,,,,
101413,25,5,160,160,502,352,,,,,,
101413,25,5,161,161,503,352,,,,,,
101413,25,5,162,162,504,352,,,,,,
101413,25,5,168,168,505,352,,,,,,
101413,25,5,206,206,506,352,,,,,,
101413,25,5,207,207,507,352,,,,,,
101421,25,2,155,155,508,371,,,,,,
101421,25,2,156,156,509,371,,,,,,
101421,25,2,157,157,510,371,,,,,,
101421,25,2,158,158,511,371,,,,,,
101421,25,2,159,159,512,371,,,,,,
101421,25,2,160,160,513,371,,,,,,
101421,25,2,161,161,514,371,,,,,,
101421,25,2,162,162,515,371,,,,,,
101421,25,2,168,168,516,371,,,,,,
101421,25,2,206,206,517,371,,,,,,
101421,25,2,207,207,518,371,,,,,,
101421,25,3,155,155,519,372,,,,,,
101421,25,3,156,156,520,372,,,,,,
101421,25,3,157,157,521,372,,,,,,
101421,25,3,158,158,522,372,,,,,,
101421,25,3,159,159,523,372,,,,,,
101421,25,3,160,160,524,372,,,,,,
101421,25,3,161,161,525,372,,,,,,
101421,25,3,162,162,526,372,,,,,,
101421,25,3,168,168,527,372,,,,,,
101421,25,3,206,206,528,372,,,,,,
101421,25,3,207,207,529,372,,,,,,
101421,25,4,155,155,530,373,,,,,,
101421,25,4,156,156,531,373,,,,,,
101421,25,4,157,157,532,373,,,,,,
101421,25,4,158,158,533,373,,,,,,
101421,25,4,159,159,534,373,,,,,,
101421,25,4,160,160,535,373,,,,,,
101421,25,4,161,161,536,373,,,,,,
101421,25,4,162,162,537,373,,,,,,
101421,25,4,168,168,538,373,,,,,,
101421,25,4,206,206,539,373,,,,,,
101421,25,4,207,207,540,373,,,,,,
101431,25,1,155,155,541,396,,,,,,
101431,25,1,156,156,542,396,,,,,,
101431,25,1,157,157,543,396,,,,,,
101431,25,1,158,158,544,396,,,,,,
101431,25,1,159,159,545,396,,,,,,
101431,25,1,160,160,546,396,,,,,,
101431,25,1,161,161,547,396,,,,,,
101431,25,1,162,162,548,396,,,,,,
101431,25,1,168,168,549,396,,,,,,
101431,25,1,206,206,550,396,,,,,,
101431,25,1,207,207,551,396,,,,,,
101431,25,1,249,249,552,396,,,,,,
101431,25,2,155,155,553,397,,,,,,
101431,25,2,156,156,554,397,,,,,,
101431,25,2,157,157,555,397,,,,,,
101431,25,2,158,158,556,397,,,,,,
101431,25,2,159,159,557,397,,,,,,
101431,25,2,160,160,558,397,,,,,,
101431,25,2,161,161,559,397,,,,,,
101431,25,2,162,162,560,397,,,,,,
101431,25,2,168,168,561,397,,,,,,
101431,25,2,206,206,562,397,,,,,,
101431,25,2,207,207,563,397,,,,,,
101431,25,2,249,249,564,397,,,,,,
101431,25,3,155,155,565,398,,,,,,
101431,25,3,156,156,566,398,,,,,,
101431,25,3,157,157,567,398,,,,,,
101431,25,3,158,158,568,398,,,,,,
101431,25,3,159,159,569,398,,,,,,
101431,25,3,160,160,570,398,,,,,,
101431,25,3,161,161,571,398,,,,,,
101431,25,3,162,162,572,398,,,,,,
101431,25,3,168,168,573,398,,,,,,
101431,25,3,206,206,574,398,,,,,,
101431,25,3,207,207,575,398,,,,,,
101431,25,3,249,249,576,398,,,,,,
101447,25,2,155,155,577,419,,,,,,
101447,25,2,156,157,578,419,,,,,,
101447,25,2,157,158,579,419,,,,,,
101447,25,2,158,159,580,419,,,,,,
101447,25,2,159,160,581,419,,,,,,
101447,25,2,160,161,582,419,,,,,,
101447,25,2,161,162,583,419,,,,,,
101447,25,2,162,162,584,419,,,,,,
101447,25,2,168,168,585,419,,,,,,
101447,25,2,206,206,586,419,,,,,,
101447,25,2,207,207,587,419,,,,,,
101447,25,2,249,249,588,419,,,,,,
101447,25,9,155,155,589,420,,,,,,
101447,25,9,156,156,590,420,,,,,,
101447,25,9,157,157,591,420,,,,,,
101447,25,9,158,158,592,420,,,,,,
101447,25,9,159,159,593,420,,,,,,
101447,25,9,160,160,594,420,,,,,,
101447,25,9,161,161,595,420,,,,,,
101447,25,9,162,162,596,420,,,,,,
101447,25,9,168,168,597,420,,,,,,
101447,25,9,206,206,598,420,,,,,,
101447,25,9,207,207,599,420,,,,,,
101447,25,9,249,249,600,420,,,,,,
101447,25,15,155,155,601,422,,,,,,
101447,25,15,156,156,602,422,,,,,,
101447,25,15,157,157,603,422,,,,,,
101447,25,15,158,158,604,422,,,,,,
101447,25,15,159,159,605,422,,,,,,
101447,25,15,160,160,606,422,,,,,,
101447,25,15,161,161,607,422,,,,,,
101447,25,15,162,162,608,422,,,,,,
101447,25,15,168,168,609,422,,,,,,
101447,25,15,206,206,610,422,,,,,,
101447,25,15,207,207,611,422,,,,,,
101447,25,15,249,249,612,422,,,,,,
101450,25,2,155,155,613,438,,,,,,
101450,25,2,156,156,614,438,,,,,,
101450,25,2,157,157,615,438,,,,,,
101450,25,2,158,158,616,438,,,,,,
101450,25,2,159,159,617,438,,,,,,
101450,25,2,160,160,618,438,,,,,,
101450,25,2,161,161,619,438,,,,,,
101450,25,2,162,162,620,438,,,,,,
101450,25,2,168,168,621,438,,,,,,
101450,25,2,206,206,622,438,,,,,,
101450,25,2,207,207,623,438,,,,,,
101450,25,3,155,155,624,439,,,,,,
101450,25,3,156,156,625,439,,,,,,
101450,25,3,157,157,626,439,,,,,,
101450,25,3,158,158,627,439,,,,,,
101450,25,3,159,159,628,439,,,,,,
101450,25,3,160,160,629,439,,,,,,
101450,25,3,161,161,630,439,,,,,,
101450,25,3,162,162,631,439,,,,,,
101450,25,3,168,168,632,439,,,,,,
101450,25,3,206,206,633,439,,,,,,
101450,25,3,207,207,634,439,,,,,,
101452,25,1,155,155,635,460,,,,,,
101452,25,1,156,156,636,460,,,,,,
101452,25,1,157,157,637,460,,,,,,
101452,25,1,158,158,638,460,,,,,,
101452,25,1,159,159,639,460,,,,,,
101452,25,1,160,160,640,460,,,,,,
101452,25,1,161,161,641,460,,,,,,
101452,25,1,162,162,642,460,,,,,,
101452,25,1,168,168,643,460,,,,,,
101452,25,1,206,206,644,460,,,,,,
101452,25,1,207,207,645,460,,,,,,
101452,25,2,155,155,646,461,,,,,,
101452,25,2,156,156,647,461,,,,,,
101452,25,2,157,157,648,461,,,,,,
101452,25,2,158,158,649,461,,,,,,
101452,25,2,159,159,650,461,,,,,,
101452,25,2,160,160,651,461,,,,,,
101452,25,2,161,161,652,461,,,,,,
101452,25,2,162,162,653,461,,,,,,
101452,25,2,168,168,654,461,,,,,,
101452,25,2,206,206,655,461,,,,,,
101452,25,2,207,207,656,461,,,,,,
