Ulke,Sehir,kgid,insUN,insDT,insApp,updUN,updDT,updApp
Anguilla,Prickly Pear Cays,229,,,,,,
Anguilla,Sandy Island,230,,,,,,
Anguilla,Scrub Island,231,,,,,,
Anguilla,Seal Island,232,,,,,,
Anguilla,Sombrero,233,,,,,,
Antartika,,234,,,,,,
Antartika,Amundsen-Scott,235,,,,,,
Antartika,Casey,236,,,,,,
Antartika,Dakshin Gangotri,237,,,,,,
Antartika,Davis,238,,,,,,
Antartika,Dumont d Urville,239,,,,,,
Antartika,Esperanza,240,,,,,,
Antartika,Halley,241,,,,,,
Antartika,Leningradskaya,242,,,,,,
Antartika,Mawson,243,,,,,,
Antartika,McMurdo,244,,,,,,
Antartika,Mirnyy,245,,,,,,
Antartika,Molodezhnaya,246,,,,,,
Antartika,Novolazarevskaya,247,,,,,,
Antartika,Palmer,248,,,,,,
Antartika,Rothera,249,,,,,,
Antartika,Russkaya,250,,,,,,
Antartika,Sanae,251,,,,,,
Antartika,Scott Base,252,,,,,,
Antartika,Syowa,253,,,,,,
Antartika,Vostok,254,,,,,,
Antigua and Barbuda,Codrington,255,,,,,,
Antigua and Barbuda,St George,256,,,,,,
Antigua and Barbuda,St John s,257,,,,,,
Antigua and Barbuda,St Mary,258,,,,,,
Antigua and Barbuda,St Paul,259,,,,,,
Antigua and Barbuda,St Peter,260,,,,,,
Antigua and Barbuda,St Philip,261,,,,,,
Arjantin,,280,,,,,,
Arjantin,Avellaneda,281,,,,,,
Arjantin,Bahia Blanca,282,,,,,,
Arjantin,Buenos Aires,283,,,,,,
Arjantin,Cordoba,284,,,,,,
Arjantin,Corrientes,285,,,,,,
Arjantin,La Plata,286,,,,,,
Arjantin,Mar del Plata,287,,,,,,
Arjantin,Mendoza,288,,,,,,
Arjantin,Neuquen,289,,,,,,
Arjantin,Resistencia,290,,,,,,
Arjantin,Rosario,291,,,,,,
Arjantin,Salta,292,,,,,,
Arjantin,San Juan,293,,,,,,
Arjantin,San Miguel,294,,,,,,
Arjantin,Santa Fe,295,,,,,,
Arjantin,Santiago del Estero,296,,,,,,
Arnavutluk,,297,,,,,,
Arnavutluk,Berat,298,,,,,,
Arnavutluk,Durrës,299,,,,,,
Arnavutluk,Elbasan,300,,,,,,
Arnavutluk,Fier,301,,,,,,
Arnavutluk,Gjirokastër,302,,,,,,
Arnavutluk,İstanbul,303,,,,,,
Arnavutluk,Kamëz,304,,,,,,
Arnavutluk,Korçë,305,,,,,,
Arnavutluk,Lushnjë,306,,,,,,
Arnavutluk,Sakarya,307,,,,,,
Arnavutluk,Sarandë,308,,,,,,
Arnavutluk,Shkodër,309,,,,,,
Arnavutluk,Tirane,310,,,,,,
Arnavutluk,Vlorë,311,,,,,,
Arnavutluk,Zonguldak,312,,,,,,
Aruba,,313,,,,,,
Aruba,Barcadera,314,,,,,,
Aruba,Ceru Colorado,315,,,,,,
Aruba,Noord,316,,,,,,
Aruba,Oranjestad,317,,,,,,
Aruba,Sabaneta,318,,,,,,
Aruba,Santa Cruz,319,,,,,,
Aruba,Sint Nicolaas,320,,,,,,
Ascension,Cat Hill,321,,,,,,
Ascension,Georgetown,322,,,,,,
Ascension,The Residency,323,,,,,,
Ascension,Traveller s Hill,324,,,,,,
Ascension,Two Boats,325,,,,,,
Avustralya,,326,,,,,,
Avustralya,Adelaide,327,,,,,,
Avustralya,Albury-Wodonga,328,,,,,,
Avustralya,Ballarat,329,,,,,,
Avustralya,Bendigo,330,,,,,,
Avustralya,Brisbane,331,,,,,,
Avustralya,Cairns,332,,,,,,
Avustralya,Canberra-Queanbeyan,333,,,,,,
Avustralya,Darwin,334,,,,,,
Avustralya,Geelong,335,,,,,,
Avustralya,Gold Coast-Tweed,336,,,,,,
Avustralya,Hobart,337,,,,,,
Avustralya,Launceston,338,,,,,,
Avustralya,Melbourne,339,,,,,,
Avustralya,Newcastle,340,,,,,,
Avustralya,Perth,341,,,,,,
Avustralya,Sunshine Coast,342,,,,,,
Avustralya,Sydney,343,,,,,,
Avustralya,Toowoomba,344,,,,,,
Avustralya,Townsville,345,,,,,,
Avustralya,Wollongong,346,,,,,,
Avusturya,,347,,,,,,
Avusturya,Amstetten,348,,,,,,
Avusturya,Baden,349,,,,,,
Avusturya,Braunau am Inn,350,,,,,,
Avusturya,Bregenz,351,,,,,,
Avusturya,Dornbirn,352,,,,,,
Avusturya,Eisenstadt,353,,,,,,
Avusturya,Feldkirch,354,,,,,,
Avusturya,Graz,355,,,,,,
Avusturya,Hallein,356,,,,,,
Avusturya,Innsbruck,357,,,,,,
Avusturya,Kapfenberg,358,,,,,,
Avusturya,Klagenfurt,359,,,,,,
Avusturya,Klosterneuburg,360,,,,,,
Avusturya,Krems,361,,,,,,
Avusturya,Kufstein,362,,,,,,
Avusturya,Leoben,363,,,,,,
Avusturya,Leonding,364,,,,,,
Avusturya,Linz,365,,,,,,
Avusturya,Lustenau,366,,,,,,
Avusturya,Mödling,367,,,,,,
Avusturya,Salzburg,368,,,,,,
Avusturya,Sankt Pölten,369,,,,,,
Avusturya,Schwechat,370,,,,,,
Avusturya,Spittal an der Drau,371,,,,,,
Avusturya,Steyr,372,,,,,,
Avusturya,Traun,373,,,,,,
Avusturya,Vienna,374,,,,,,
Avusturya,Villach,375,,,,,,
Avusturya,Wels,376,,,,,,
Avusturya,Wiener Neustadt,377,,,,,,
Avusturya,Wolfsberg,378,,,,,,
Azerbeycan,,379,,,,,,
Azerbeycan,Ali Bayramlı,380,,,,,,
Azerbeycan,Astara,381,,,,,,
Azerbeycan,Baku,382,,,,,,
Azerbeycan,Edirne,383,,,,,,
Azerbeycan,Ganca,384,,,,,,
Azerbeycan,İstanbul,385,,,,,,
Azerbeycan,Kürdamir,386,,,,,,
Azerbeycan,Laki,387,,,,,,
Azerbeycan,Mingaçevir,388,,,,,,
Azerbeycan,Sumqayıt,389,,,,,,
Azerbeycan,Şaki,390,,,,,,
Azerbeycan,Xaçmaz,391,,,,,,
Azerbeycan,Xankandi,392,,,,,,
Azerbeycan,Yevlax,393,,,,,,
Azerbeycan,Z,394,,,,,,
Bahamalar,Acklins,395,,,,,,
Bahamalar,Berry Islands,396,,,,,,
Bahamalar,Bimini,397,,,,,,
Bahamalar,Black Point,398,,,,,,
Bahamalar,Cat Island,399,,,,,,
Bahamalar,Central Abaco,400,,,,,,
Bahamalar,Central Andros,401,,,,,,
Bahamalar,Central Eleuthera,402,,,,,,
Bahamalar,City of Freeport,403,,,,,,
Bahamalar,Crooked Island,404,,,,,,
Bahamalar,East Grand Bahama,405,,,,,,
Bahamalar,Exuma,406,,,,,,
Bahamalar,Grand Cay,407,,,,,,
Bahamalar,Harbour Island,408,,,,,,
Bahamalar,Hope Town,409,,,,,,
Bahamalar,Inagua,410,,,,,,
Bahamalar,Long Island,411,,,,,,
Bahamalar,Mangrove Cay,412,,,,,,
Bahamalar,Mayaguana,413,,,,,,
Bahamalar,Moores Island,414,,,,,,
Bahamalar,North Abaco,415,,,,,,
Bahamalar,North Andros,416,,,,,,
Bahamalar,North Eleuthera,417,,,,,,
Bahamalar,Ragged Island,418,,,,,,
Bahamalar,Rum Cay,419,,,,,,
Bahamalar,San Salvador,420,,,,,,
Bahamalar,South Abaco,421,,,,,,
Bahamalar,South Andros,422,,,,,,
Bahamalar,South Eleuthera,423,,,,,,
Bahamalar,Spanish Wells,424,,,,,,
Bahamalar,West Grand Bahama,425,,,,,,
Bahreyn,,426,,,,,,
Bahreyn,Ad Dur,427,,,,,,
Bahreyn,Al Jasrafi,428,,,,,,
Bahreyn,Al Jufayr,429,,,,,,
Bahreyn,Al Malikiyah,430,,,,,,
Bahreyn,Al Mamtalah,431,,,,,,
Bahreyn,Al Wasmiyah,432,,,,,,
Bahreyn,Ar Rifa al Gharbi,433,,,,,,
Bahreyn,Ar Rifa ash Sharqi,434,,,,,,
Bahreyn,Ar Rumaythah,435,,,,,,
Bahreyn,Askar,436,,,,,,
Bahreyn,Awali,437,,,,,,
Bahreyn,Az Zallaq,438,,,,,,
Bahreyn,Bani Jamrah,439,,,,,,
Bahreyn,Barbar,440,,,,,,
Bahreyn,Dar Kulayb,441,,,,,,
Bahreyn,Jaww,442,,,,,,
Bahreyn,Jurdab,443,,,,,,
Bahreyn,Karzakkan,444,,,,,,
Bahreyn,Manama,445,,,,,,
Bangladeş,,446,,,,,,
Bangladeş,Barisal,447,,,,,,
Bangladeş,Chittagong,448,,,,,,
Bangladeş,Dhaka,449,,,,,,
Bangladeş,Khulna,450,,,,,,
Bangladeş,Rajshahi,451,,,,,,
Bangladeş,Sylhet,452,,,,,,
Barbados,Christ Church,453,,,,,,
Barbados,Saint Andrew,454,,,,,,
Barbados,Saint George,455,,,,,,
Barbados,Saint James,456,,,,,,
Barbados,Saint John,457,,,,,,
Barbados,Saint Joseph,458,,,,,,
Barbados,Saint Lucy,459,,,,,,
Barbados,Saint Michael,460,,,,,,
Barbados,Saint Peter,461,,,,,,
Barbados,Saint Philip,462,,,,,,
Barbados,Saint Thomas,463,,,,,,
Belçika,,464,,,,,,
Belçika,Aalst,465,,,,,,
Belçika,Aarschot,466,,,,,,
Belçika,Antwerpen,467,,,,,,
Belçika,Arlon,468,,,,,,
Belçika,Brugge,469,,,,,,
Belçika,Brussel,470,,,,,,
Belçika,Charleroi,471,,,,,,
Belçika,Diest,472,,,,,,
Belçika,Dinant,473,,,,,,
Belçika,Durbuy,474,,,,,,
Belçika,Genk,475,,,,,,
Belçika,Gent,476,,,,,,
Belçika,Geraardsbergen,477,,,,,,
Belçika,Hasselt,478,,,,,,
Belçika,Kortrijk,479,,,,,,
Belçika,La Louviere,480,,,,,,
Belçika,Leuven,481,,,,,,
Belçika,Liege,482,,,,,,
Belçika,Louvain-la-Neuve,483,,,,,,
Belçika,Mechelen,484,,,,,,
Belçika,Mons,485,,,,,,
Belçika,Mortsel,486,,,,,,
Belçika,Mouscron,487,,,,,,
Belçika,Namur,488,,,,,,
Belçika,Nivelles,489,,,,,,
Belçika,Oostende,490,,,,,,
Belçika,Oudenaarde,491,,,,,,
Belçika,Roeselare,492,,,,,,
Belçika,Ronse,493,,,,,,
Belçika,Seraing,494,,,,,,
Belçika,Sint-Niklaas,495,,,,,,
Belçika,Sint-Truiden,496,,,,,,
Belçika,Tienen,497,,,,,,
Belçika,Tongeren,498,,,,,,
Belçika,Tournai,499,,,,,,
Belçika,Verviers,500,,,,,,
Belçika,Wavre,501,,,,,,
Belçika,Zottegem,502,,,,,,
Belize,Belize City,503,,,,,,
Belize,Belmopan,504,,,,,,
Belize,Corozal,505,,,,,,
Belize,Dangriga,506,,,,,,
Belize,Ladyville,507,,,,,,
Belize,Orange Walk,508,,,,,,
Belize,Punta Gorda,509,,,,,,
Belize,San Ignacio,510,,,,,,
Belize,San Pedro,511,,,,,,
Belize,Trial Farm,512,,,,,,
Benin,,513,,,,,,
Benin,Alibori,514,,,,,,
Benin,Atakora,515,,,,,,
Benin,Atlantique,516,,,,,,
Benin,Borgou,517,,,,,,
Benin,Collines,518,,,,,,
Benin,Donga,519,,,,,,
Benin,Kouffo,520,,,,,,
Benin,Littoral,521,,,,,,
Benin,Mono,522,,,,,,
Benin,Oueme,523,,,,,,
Benin,Plateau,524,,,,,,
Benin,Zou,525,,,,,,
Bermuda,Devonshire,526,,,,,,
Bermuda,Hamilton,527,,,,,,
Bermuda,Paget,528,,,,,,
Bermuda,Pembroke,529,,,,,,
Bermuda,Sandys,530,,,,,,
Bermuda,Smiths,531,,,,,,
Bermuda,Southampton,532,,,,,,
Bermuda,St Georges,533,,,,,,
Bermuda,Warwick,534,,,,,,
Beyaz Rusya,,535,,,,,,
Beyaz Rusya,Asipovichy,536,,,,,,
Beyaz Rusya,Babruysk,537,,,,,,
Beyaz Rusya,Baranovichi,538,,,,,,
Beyaz Rusya,Barysau,539,,,,,,
Beyaz Rusya,Biaroza,540,,,,,,
Beyaz Rusya,Brest,541,,,,,,
Beyaz Rusya,Dzyarzhynsk,542,,,,,,
Beyaz Rusya,Homel,543,,,,,,
Beyaz Rusya,Horki,544,,,,,,
Beyaz Rusya,Hrodna,545,,,,,,
Beyaz Rusya,Ivatsevichy,546,,,,,,
Beyaz Rusya,Kalinkavichy,547,,,,,,
Beyaz Rusya,Kobryn,548,,,,,,
Beyaz Rusya,Krychaw,549,,,,,,
Beyaz Rusya,Lida,550,,,,,,
Beyaz Rusya,Luninets,551,,,,,,
Beyaz Rusya,Maladzyechna,552,,,,,,
Beyaz Rusya,Mazyr,553,,,,,,
Beyaz Rusya,Minsk,554,,,,,,
Beyaz Rusya,Mogilev,555,,,,,,
Beyaz Rusya,Navahrudak,556,,,,,,
Beyaz Rusya,Navapolatsk,557,,,,,,
Beyaz Rusya,Orsha,558,,,,,,
Beyaz Rusya,Pastavy,559,,,,,,
Beyaz Rusya,Pinsk,560,,,,,,
Beyaz Rusya,Polatsk,561,,,,,,
Beyaz Rusya,Rahachou,562,,,,,,
Beyaz Rusya,Rechytsa,563,,,,,,
Beyaz Rusya,Salihorsk,564,,,,,,
Beyaz Rusya,Slonim,565,,,,,,
Beyaz Rusya,Slutsk,566,,,,,,
Beyaz Rusya,Smarhon,567,,,,,,
Beyaz Rusya,Svetlahorsk,568,,,,,,
Beyaz Rusya,Vaukavysk,569,,,,,,
Beyaz Rusya,Vileyka,570,,,,,,
Beyaz Rusya,Vitebsk,571,,,,,,
Beyaz Rusya,Zhlobin,572,,,,,,
Beyaz Rusya,Zhodzina,573,,,,,,
Bhutan,Geylegphug,574,,,,,,
Bhutan,Paro,575,,,,,,
Bhutan,Phuntsholing,576,,,,,,
Bhutan,Punakha,577,,,,,,
Bhutan,Samdrup Jongkhar,578,,,,,,
Bhutan,Taga Dzong,579,,,,,,
Bhutan,Thimphu,580,,,,,,
Bhutan,Tongsa,581,,,,,,
Bhutan,Trashigang,582,,,,,,
Bhutan,Wangdue Phodrang,583,,,,,,
Birle?ik Arap Emirlikleri,,584,,,,,,
Birleşik Arap Emirlikleri,,585,,,,,,
Birleşik Arap Emirlikleri,DUBAİ,586,,,,,,
Birleşik Arap Emirlikleri,Sharjah,587,,,,,,
Bolivya,,588,,,,,,
Bolivya,Aiquile,589,,,,,,
Bolivya,Apolo,590,,,,,,
Bolivya,Ascencion,591,,,,,,
Bolivya,Asuncion,592,,,,,,
Bolivya,Camiri,593,,,,,,
Bolivya,Caranavi,594,,,,,,
Bolivya,Cobija,595,,,,,,
Bolivya,Cochabamba,596,,,,,,
Bolivya,Concepcion,597,,,,,,
Bolivya,Guaqui,598,,,,,,
Bolivya,La Paz,599,,,,,,
Bolivya,Las Petas,600,,,,,,
Bolivya,Loreto,601,,,,,,
Bolivya,Magdalena,602,,,,,,
Bolivya,Montero,603,,,,,,
Bolivya,Oruro,604,,,,,,
Bolivya,Potosi,605,,,,,,
Bolivya,Puerto Acosta,606,,,,,,
Bolivya,Puerto Heath,607,,,,,,
Bolivya,Puerto Suarez,608,,,,,,
Bolivya,Reyes,609,,,,,,
Bolivya,Riberalta,610,,,,,,
Bolivya,Robore,611,,,,,,
Bolivya,San Borja,612,,,,,,
Bolivya,San Ignecio,613,,,,,,
Bolivya,San Jose de Chiquitos,614,,,,,,
Bolivya,Santa Ana,615,,,,,,
Bolivya,Santa Cruz,616,,,,,,
Bolivya,Santa Rosa Del Sara,617,,,,,,
Bolivya,Sucre,618,,,,,,
Bolivya,Tarabuco,619,,,,,,
Bolivya,Tarija,620,,,,,,
Bolivya,Uyuni,621,,,,,,
Bolivya,Viacha,622,,,,,,
Bolivya,Villa Montes,623,,,,,,
Bolivya,Villazon,624,,,,,,
Bolivya,Yucuiba,625,,,,,,
Bosna Hersek,,626,,,,,,
Bosna Hersek,Banja Luka,627,,,,,,
Bosna Hersek,Bihac,628,,,,,,
Bosna Hersek,Bosanski Brod,629,,,,,,
Bosna Hersek,Brcko,630,,,,,,
Bosna Hersek,Gorazde,631,,,,,,
Bosna Hersek,Mostar,632,,,,,,
Bosna Hersek,Prijedor,633,,,,,,
Bosna Hersek,Sarajevo,634,,,,,,
Bosna Hersek,Tuzla,635,,,,,,
Bosna Hersek,Zenica,636,,,,,,
Botswana,,637,,,,,,
Botswana,Bobonong,638,,,,,,
Botswana,Francistown,639,,,,,,
Botswana,Gabane,640,,,,,,
Botswana,Gaborone,641,,,,,,
Botswana,Gumare,642,,,,,,
Botswana,Jwaneng,643,,,,,,
Botswana,Kanye,644,,,,,,
Botswana,Lobatse,645,,,,,,
Botswana,Mahalapye,646,,,,,,
Botswana,Maun,647,,,,,,
