Cekinx,Harinx,HarTip,BordroNo,Tarih,istut,muhkod,cmb,cmb_Kod,Banka,Sube,GiderMuhKod,ProGiderKod,MuhFisNo,KarsiMuhKod,MM,KarsiMM,GiderMM,GiderTip,GiderParaCinsi,insUN,insDT,updUN,updDT,OzKod1,OzKod2,locked,Resim,Resim2,Aciklama,OzKod3,OzKod4,OzKod5,LastUpdate,LastCalculate,NeedCalculate,iptal,kgid,mkgid,insApp,updApp
16,164,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.783000,emine.kuscu,2020-08-06 10:30:06.783000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,164,16,,
18,165,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.793000,emine.kuscu,2020-08-06 10:30:06.793000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,165,18,,
19,5,0,0000000001,2020-01-28 00:00:00,,101.01.001,C,320.01.045,,,,,522,320.01.045,,,,,,Orbital,2020-02-04 11:21:28.883000,Orbital,2020-02-28 09:27:30.807000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,5,19,,
20,2,1,0000000001,2020-01-01 00:00:00,,121.01.001,B,6200023,GAR,0373,,,934,121.02.001,,,,,,Orbital,2020-02-04 10:21:37.540000,Orbital,2020-02-04 10:21:37.547000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,2,20,,
20,3,B,0000000001,2020-01-21 00:00:00,,121.02.001,B,6200023,GAR,0373,,,1815,102.01.001,,,,,,Orbital,2020-02-04 10:23:16.197000,Orbital,2020-11-22 17:07:20.120000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,3,20,,
21,69,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.950000,emine.kuscu,2020-07-17 14:55:22.737000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,69,21,,
22,35,BO,0000000004,2020-03-02 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1804,102.01.010,,,,,,emine.kuscu,2020-03-10 17:32:10.477000,emine.kuscu,2020-03-10 17:32:10.480000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,35,22,,
23,6,1,0000000002,2020-01-01 00:00:00,,101.01.001,B,6200023,GAR,0373,,,934,101.02.001,,,,,,Orbital,2020-02-11 10:57:15.317000,Orbital,2020-02-11 10:57:24.593000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,6,23,,
23,7,B,0000000002,2020-01-13 00:00:00,,101.02.001,B,6200023,GAR,0373,,,524,102.01.001,,,,,,Orbital,2020-02-11 10:58:26.607000,melek.atli,2020-07-23 09:13:55.013000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,7,23,,
24,112,BO,0000000010,2020-03-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1810,102.01.010,,,,,,emine.kuscu,2020-07-03 08:42:01.817000,emine.kuscu,2020-07-17 14:55:33.250000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,112,24,,
25,156,BO,0000000014,2020-08-04 00:00:00,,103.01.010,B,0001467,ISB,1278,,,2105,102.01.010,,,,,,emine.kuscu,2020-08-04 10:29:26.063000,emine.kuscu,2020-08-04 10:29:49.363000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,156,25,,
164,27,BO,0000000004,2020-03-02 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1804,102.01.010,,,,,,emine.kuscu,2020-03-10 17:18:15.543000,emine.kuscu,2020-07-17 14:54:55.820000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,27,164,,
165,28,BO,0000000004,2020-03-02 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1804,102.01.010,,,,,,emine.kuscu,2020-03-10 17:18:15.543000,emine.kuscu,2020-03-10 17:18:15.543000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,28,165,,
166,19,BO,0000000003,2020-01-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1802,102.01.010,,,,,,emine.kuscu,2020-03-10 17:13:53.423000,emine.kuscu,2020-03-10 17:13:53.423000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,19,166,,
167,22,BO,0000000003,2020-01-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1802,102.01.010,,,,,,emine.kuscu,2020-03-10 17:13:53.427000,emine.kuscu,2020-03-10 17:13:53.427000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,22,167,,
168,29,BO,0000000004,2020-03-02 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1804,102.01.010,,,,,,emine.kuscu,2020-03-10 17:18:15.547000,emine.kuscu,2020-03-10 17:18:15.547000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,29,168,,
169,18,BO,0000000003,2020-01-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1802,102.01.010,,,,,,emine.kuscu,2020-03-10 17:13:53.420000,emine.kuscu,2020-03-10 17:13:53.420000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,18,169,,
170,30,BO,0000000004,2020-03-02 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1804,102.01.010,,,,,,emine.kuscu,2020-03-10 17:18:15.547000,emine.kuscu,2020-03-10 17:18:15.547000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,30,170,,
171,17,BO,0000000003,2020-01-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1802,102.01.010,,,,,,emine.kuscu,2020-03-10 17:13:53.420000,emine.kuscu,2020-07-17 14:50:47.500000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,17,171,,
172,21,BO,0000000003,2020-01-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1802,102.01.010,,,,,,emine.kuscu,2020-03-10 17:13:53.427000,emine.kuscu,2020-03-10 17:13:53.427000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,21,172,,
173,15,BO,0000000001,2020-01-06 00:00:00,,103.01.010,B,0001467,ISB,1278,,,748,102.01.010,,,,,,Orbital,2020-02-28 09:25:47.457000,nursal.dereboyu,2020-03-13 17:29:26.060000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,15,173,,
174,20,BO,0000000003,2020-01-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1802,102.01.010,,,,,,emine.kuscu,2020-03-10 17:13:53.423000,emine.kuscu,2020-03-10 17:13:53.423000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,20,174,,
175,31,BO,0000000004,2020-03-02 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1804,102.01.010,,,,,,emine.kuscu,2020-03-10 17:18:15.547000,emine.kuscu,2020-03-10 17:18:15.547000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,31,175,,
176,25,BO,0000000003,2020-01-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1802,102.01.010,,,,,,emine.kuscu,2020-03-10 17:13:53.430000,emine.kuscu,2020-03-10 17:13:53.430000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,25,176,,
177,33,BO,0000000004,2020-03-02 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1804,102.01.010,,,,,,emine.kuscu,2020-03-10 17:18:15.550000,emine.kuscu,2020-03-10 17:18:15.550000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,33,177,,
178,23,BO,0000000003,2020-01-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1802,102.01.010,,,,,,emine.kuscu,2020-03-10 17:13:53.427000,emine.kuscu,2020-03-10 17:13:53.427000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,23,178,,
179,32,BO,0000000004,2020-03-02 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1804,102.01.010,,,,,,emine.kuscu,2020-03-10 17:18:15.550000,emine.kuscu,2020-03-10 17:18:15.550000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,32,179,,
180,24,BO,0000000003,2020-01-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1802,102.01.010,,,,,,emine.kuscu,2020-03-10 17:13:53.427000,emine.kuscu,2020-03-10 17:13:53.430000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,24,180,,
181,16,BO,0000000002,2020-01-06 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1785,102.01.010,,,,,,emine.kuscu,2020-03-10 17:05:43.973000,Orbital,2020-07-17 13:41:42.270000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,16,181,,
182,26,BO,0000000003,2020-01-31 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1802,102.01.010,,,,,,emine.kuscu,2020-03-10 17:13:53.430000,emine.kuscu,2020-03-10 17:13:53.430000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,26,182,,
183,34,BO,0000000004,2020-03-02 00:00:00,,103.01.010,B,0001467,ISB,1278,,,1804,102.01.010,,,,,,emine.kuscu,2020-03-10 17:18:15.550000,emine.kuscu,2020-03-10 17:18:15.550000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,34,183,,
184,40,BO,0000000006,2020-01-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1806,102.01.030,,,,,,emine.kuscu,2020-03-12 08:50:09.133000,emine.kuscu,2020-07-17 14:55:09.430000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,40,184,,
185,52,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.490000,emine.kuscu,2020-03-12 08:54:23.490000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,52,185,,
186,53,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.490000,emine.kuscu,2020-03-12 08:54:23.490000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,53,186,,
188,128,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.747000,emine.kuscu,2020-07-17 14:55:50.057000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,128,188,,
189,70,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.963000,emine.kuscu,2020-07-03 08:29:16.967000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,70,189,,
190,41,BO,0000000006,2020-01-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1806,102.01.030,,,,,,emine.kuscu,2020-03-12 08:50:09.143000,emine.kuscu,2020-03-12 08:50:09.143000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,41,190,,
191,71,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.980000,emine.kuscu,2020-07-03 08:29:16.980000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,71,191,,
192,91,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.233000,emine.kuscu,2020-07-17 14:55:28.113000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,91,192,,
193,54,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.493000,emine.kuscu,2020-03-12 08:54:23.493000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,54,193,,
194,129,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.750000,emine.kuscu,2020-07-03 10:08:16.750000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,129,194,,
195,74,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.983000,emine.kuscu,2020-07-03 08:29:16.983000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,74,195,,
196,130,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.750000,emine.kuscu,2020-07-03 10:08:16.750000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,130,196,,
197,93,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.247000,emine.kuscu,2020-07-03 08:32:42.247000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,93,197,,
198,131,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.750000,emine.kuscu,2020-07-03 10:08:16.750000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,131,198,,
199,55,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.493000,emine.kuscu,2020-03-12 08:54:23.493000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,55,199,,
200,73,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.983000,emine.kuscu,2020-07-03 08:29:16.983000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,73,200,,
201,94,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.250000,emine.kuscu,2020-07-03 08:32:42.250000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,94,201,,
203,166,BO,0000000015,2020-08-04 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,2160,102.01.030,,,,,,emine.kuscu,2020-08-06 10:30:06.797000,emine.kuscu,2020-08-06 10:30:06.797000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,166,203,,
204,132,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.750000,emine.kuscu,2020-07-03 10:08:16.750000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,132,204,,
205,127,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.537000,emine.kuscu,2020-07-03 10:03:38.537000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,127,205,,
206,72,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.980000,emine.kuscu,2020-07-03 08:29:16.980000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,72,206,,
207,133,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.753000,emine.kuscu,2020-07-03 10:08:16.753000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,133,207,,
208,42,BO,0000000006,2020-01-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1806,102.01.030,,,,,,emine.kuscu,2020-03-12 08:50:09.143000,emine.kuscu,2020-03-12 08:50:09.143000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,42,208,,
209,56,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.497000,emine.kuscu,2020-03-12 08:54:23.497000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,56,209,,
210,95,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.250000,emine.kuscu,2020-07-03 08:32:42.250000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,95,210,,
211,134,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.753000,emine.kuscu,2020-07-03 10:08:16.753000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,134,211,,
214,43,BO,0000000006,2020-01-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1806,102.01.030,,,,,,emine.kuscu,2020-03-12 08:50:09.147000,emine.kuscu,2020-03-12 08:50:09.147000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,43,214,,
215,44,BO,0000000006,2020-01-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1806,102.01.030,,,,,,emine.kuscu,2020-03-12 08:50:09.147000,emine.kuscu,2020-03-12 08:50:09.147000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,44,215,,
216,135,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.753000,emine.kuscu,2020-07-03 10:08:16.753000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,135,216,,
217,37,BO,0000000005,2020-01-06 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1805,102.01.030,,,,,,emine.kuscu,2020-03-12 08:46:58.347000,emine.kuscu,2020-03-12 08:46:58.347000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,37,217,,
218,57,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.497000,emine.kuscu,2020-03-12 08:54:23.497000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,57,218,,
219,75,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.983000,emine.kuscu,2020-07-03 08:29:16.983000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,75,219,,
220,136,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.757000,emine.kuscu,2020-07-03 10:08:16.757000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,136,220,,
221,124,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.533000,emine.kuscu,2020-07-03 10:03:38.533000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,124,221,,
222,45,BO,0000000006,2020-01-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1806,102.01.030,,,,,,emine.kuscu,2020-03-12 08:50:09.150000,emine.kuscu,2020-03-12 08:50:09.150000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,45,222,,
223,36,BO,0000000005,2020-01-06 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1805,102.01.030,,,,,,emine.kuscu,2020-03-12 08:46:58.333000,emine.kuscu,2020-07-17 14:55:02.150000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,36,223,,
225,137,BO,0000000012,2020-06-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1812,102.01.030,,,,,,emine.kuscu,2020-07-03 10:08:16.757000,emine.kuscu,2020-07-03 10:08:16.757000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,137,225,,
226,58,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.497000,emine.kuscu,2020-03-12 08:54:23.497000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,58,226,,
228,76,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.987000,emine.kuscu,2020-07-03 08:29:16.987000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,76,228,,
229,77,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.987000,emine.kuscu,2020-07-03 08:29:16.987000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,77,229,,
230,59,BO,0000000007,2020-03-01 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1807,102.01.030,,,,,,emine.kuscu,2020-03-12 08:54:23.500000,emine.kuscu,2020-03-12 08:54:23.500000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,59,230,,
231,111,BO,0000000009,2020-04-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1809,102.01.030,,,,,,emine.kuscu,2020-07-03 08:32:42.270000,emine.kuscu,2020-07-03 08:32:42.270000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,111,231,,
232,78,BO,0000000008,2020-03-31 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1808,102.01.030,,,,,,emine.kuscu,2020-07-03 08:29:16.990000,emine.kuscu,2020-07-03 08:29:16.990000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,78,232,,
233,123,BO,0000000011,2020-06-30 00:00:00,,103.01.030,B,50401471-5025,ZER,2406,,,1811,102.01.030,,,,,,emine.kuscu,2020-07-03 10:03:38.533000,emine.kuscu,2020-07-03 10:03:38.533000,01,,,,,,,,,1900-01-01 00:00:00,2022-02-14 00:47:45.443000,0,,123,233,,
