EmirNo,SKOD,RKOD,BedKod,FisNo,FisHarinx,SendTar,StartTarih,Proses,AltProses,Personel,EndTarih,Giren,Cikan,scikan,Birim,WMakNum,Fire,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
178,112873,3463,160,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:57:25.633000,18,,U11001,2021-07-28 11:01:46.223000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,19,1,,,,,,
178,112873,3463,160,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:58:03.353000,19,,U18001,2021-08-05 15:36:57.527000,3.0000000000,0E-10,0E-10,CIFT,0,0E-10,20,1,,,,,,
178,112873,3463,161,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:55:59.943000,15,,U02002,2021-07-28 11:00:18.107000,1.0000000000,1.0000000000,0E-10,CIFT,0,0E-10,21,1,,,,,,
178,112873,3463,161,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:56:33.283000,11,,U15002,2021-07-28 11:01:09.473000,1.0000000000,1.0000000000,0E-10,CIFT,0,0E-10,22,1,,,,,,
178,112873,3463,161,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:57:25.633000,18,,U11001,2021-07-28 11:01:46.223000,1.0000000000,1.0000000000,0E-10,CIFT,0,0E-10,23,1,,,,,,
178,112873,3463,161,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:58:03.353000,19,,U18001,2021-08-05 15:36:57.527000,1.0000000000,0E-10,0E-10,CIFT,0,0E-10,24,1,,,,,,
178,112873,3463,162,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:55:59.943000,15,,U02002,2021-07-28 11:00:18.107000,1.0000000000,1.0000000000,0E-10,CIFT,0,0E-10,25,1,,,,,,
178,112873,3463,162,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:56:33.283000,11,,U15002,2021-07-28 11:01:09.473000,1.0000000000,1.0000000000,0E-10,CIFT,0,0E-10,26,1,,,,,,
178,112873,3463,162,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:57:25.633000,18,,U11001,2021-07-28 11:01:46.223000,1.0000000000,1.0000000000,0E-10,CIFT,0,0E-10,27,1,,,,,,
178,112873,3463,162,4400,11548,2021-05-17 08:20:29.717000,2021-07-28 10:58:03.353000,19,,U18001,2021-08-05 15:36:57.527000,1.0000000000,0E-10,0E-10,CIFT,0,0E-10,28,1,,,,,,
1478,115123,3387,156,11054,28766,2022-02-15 10:36:04.773000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,29,2,,,,,,
1478,115123,3387,156,11054,28766,2022-02-15 10:36:04.773000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,30,2,,,,,,
1478,115123,3387,157,10724,27121,2022-02-11 14:25:31.170000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,1.0000000000,1.0000000000,0E-10,CIFT,0,0E-10,31,2,,,,,,
1478,115123,3387,157,10724,27121,2022-02-11 14:25:31.170000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,1.0000000000,1.0000000000,0E-10,CIFT,0,0E-10,32,2,,,,,,
1478,115123,3387,157,11054,28766,2022-02-15 10:36:04.773000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,33,2,,,,,,
1478,115123,3387,157,11054,28766,2022-02-15 10:36:04.773000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,34,2,,,,,,
1478,115123,3387,158,10724,27121,2022-02-11 14:25:31.170000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,35,2,,,,,,
1478,115123,3387,158,10724,27121,2022-02-11 14:25:31.170000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,36,2,,,,,,
1478,115123,3387,158,11054,28766,2022-02-15 10:36:04.773000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,37,2,,,,,,
1478,115123,3387,158,11054,28766,2022-02-15 10:36:04.773000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,38,2,,,,,,
1478,115123,3387,159,10724,27121,2022-02-11 14:25:31.170000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,39,2,,,,,,
1478,115123,3387,159,10724,27121,2022-02-11 14:25:31.170000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,40,2,,,,,,
1478,115123,3387,159,11054,28766,2022-02-15 10:36:04.773000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,41,2,,,,,,
1478,115123,3387,159,11054,28766,2022-02-15 10:36:04.773000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,42,2,,,,,,
1478,115123,3387,160,10724,27121,2022-02-11 14:25:31.170000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,43,2,,,,,,
1478,115123,3387,160,10724,27121,2022-02-11 14:25:31.170000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,44,2,,,,,,
1478,115123,3387,160,11054,28766,2022-02-15 10:36:04.773000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,45,2,,,,,,
1478,115123,3387,160,11054,28766,2022-02-15 10:36:04.773000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,46,2,,,,,,
1478,115123,3387,161,10724,27121,2022-02-11 14:25:31.170000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,47,2,,,,,,
1478,115123,3387,161,10724,27121,2022-02-11 14:25:31.170000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,48,2,,,,,,
1478,115123,3387,161,11054,28766,2022-02-15 10:36:04.773000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,49,2,,,,,,
1478,115123,3387,161,11054,28766,2022-02-15 10:36:04.773000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,50,2,,,,,,
1478,115123,3387,162,10724,27121,2022-02-11 14:25:31.170000,2022-03-01 15:35:52.970000,15,,U02003,2013-02-25 17:18:46.700000,1.0000000000,1.0000000000,0E-10,CIFT,0,0E-10,51,2,,,,,,
1478,115123,3387,162,10724,27121,2022-02-11 14:25:31.170000,2022-03-08 09:25:28.890000,17,,U15005,2013-03-02 17:17:47.577000,1.0000000000,1.0000000000,0E-10,CIFT,0,0E-10,52,2,,,,,,
1641,112362,3280,157,11591,30724,2022-03-23 13:11:08.587000,2022-03-28 16:03:24.270000,15,,U02002,2013-03-24 16:14:31.480000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,53,3,,,,,,
1641,112362,3280,157,11591,30724,2022-03-23 13:11:08.587000,2022-04-05 14:02:18.237000,18,,U15009,2013-03-30 21:53:57.047000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,54,3,,,,,,
1641,112362,3280,157,11591,30724,2022-03-23 13:11:08.587000,2022-04-05 14:02:41.693000,19,,U18001,2022-04-06 10:40:48.880000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,55,3,,,,,,
1641,112362,3280,157,11591,30724,2022-03-23 13:11:08.587000,2022-04-06 10:40:12.637000,25,,U19001,2022-04-06 10:40:56.770000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,56,3,,,,,,
1641,112362,3280,158,11591,30724,2022-03-23 13:11:08.587000,2022-03-28 16:03:24.270000,15,,U02002,2013-03-24 16:14:31.480000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,57,3,,,,,,
1641,112362,3280,158,11591,30724,2022-03-23 13:11:08.587000,2022-04-05 14:02:18.237000,18,,U15009,2013-03-30 21:53:57.047000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,58,3,,,,,,
1641,112362,3280,158,11591,30724,2022-03-23 13:11:08.587000,2022-04-05 14:02:41.693000,19,,U18001,2022-04-06 10:40:48.880000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,59,3,,,,,,
1641,112362,3280,158,11591,30724,2022-03-23 13:11:08.587000,2022-04-06 10:40:12.637000,25,,U19001,2022-04-06 10:40:56.770000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,60,3,,,,,,
1641,112362,3280,159,11591,30724,2022-03-23 13:11:08.587000,2022-03-28 16:03:24.270000,15,,U02002,2013-03-24 16:14:31.480000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,61,3,,,,,,
1641,112362,3280,159,11591,30724,2022-03-23 13:11:08.587000,2022-04-05 14:02:18.237000,18,,U15009,2013-03-30 21:53:57.047000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,62,3,,,,,,
1641,112362,3280,159,11591,30724,2022-03-23 13:11:08.587000,2022-04-05 14:02:41.693000,19,,U18001,2022-04-06 10:40:48.880000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,63,3,,,,,,
1641,112362,3280,159,11591,30724,2022-03-23 13:11:08.587000,2022-04-06 10:40:12.637000,25,,U19001,2022-04-06 10:40:56.770000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,64,3,,,,,,
1641,112362,3280,160,11591,30724,2022-03-23 13:11:08.587000,2022-03-28 16:03:24.270000,15,,U02002,2013-03-24 16:14:31.480000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,65,3,,,,,,
1641,112362,3280,160,11591,30724,2022-03-23 13:11:08.587000,2022-04-05 14:02:18.237000,18,,U15009,2013-03-30 21:53:57.047000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,66,3,,,,,,
1641,112362,3280,160,11591,30724,2022-03-23 13:11:08.587000,2022-04-05 14:02:41.693000,19,,U18001,2022-04-06 10:40:48.880000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,67,3,,,,,,
1641,112362,3280,160,11591,30724,2022-03-23 13:11:08.587000,2022-04-06 10:40:12.637000,25,,U19001,2022-04-06 10:40:56.770000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,68,3,,,,,,
1789,112513,1705,156,11802,31802,2022-04-21 14:31:57.160000,2022-04-28 08:46:29.157000,15,,U02002,2013-04-22 17:38:30.227000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,69,4,,,,,,
1789,112513,1705,156,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:20.710000,18,,U15009,2013-04-23 19:33:17.643000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,70,4,,,,,,
1789,112513,1705,156,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:39.090000,19,,U18001,2022-05-06 09:43:28.763000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,71,4,,,,,,
1789,112513,1705,156,11802,31802,2022-04-21 14:31:57.160000,2022-05-06 09:42:49.003000,25,,U19001,2022-05-06 09:43:38.270000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,72,4,,,,,,
1789,112513,1705,156,11802,31802,2022-04-21 14:31:57.160000,2022-05-10 09:20:40.820000,30,,U25001,2022-05-10 09:21:27.090000,3.0000000000,3.0000000000,0E-10,CIFT,0,0E-10,73,4,,,,,,
1789,112513,1705,157,11802,31802,2022-04-21 14:31:57.160000,2022-04-28 08:46:29.157000,15,,U02002,2013-04-22 17:38:30.227000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,74,4,,,,,,
1789,112513,1705,157,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:20.710000,18,,U15009,2013-04-23 19:33:17.643000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,75,4,,,,,,
1789,112513,1705,157,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:39.090000,19,,U18001,2022-05-06 09:43:28.763000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,76,4,,,,,,
1789,112513,1705,157,11802,31802,2022-04-21 14:31:57.160000,2022-05-06 09:42:49.003000,25,,U19001,2022-05-06 09:43:38.270000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,77,4,,,,,,
1789,112513,1705,157,11802,31802,2022-04-21 14:31:57.160000,2022-05-10 09:20:40.820000,30,,U25001,2022-05-10 09:21:27.090000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,78,4,,,,,,
1789,112513,1705,158,11802,31802,2022-04-21 14:31:57.160000,2022-04-28 08:46:29.157000,15,,U02002,2013-04-22 17:38:30.227000,8.0000000000,8.0000000000,0E-10,CIFT,0,0E-10,79,4,,,,,,
1789,112513,1705,158,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:20.710000,18,,U15009,2013-04-23 19:33:17.643000,8.0000000000,8.0000000000,0E-10,CIFT,0,0E-10,80,4,,,,,,
1789,112513,1705,158,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:39.090000,19,,U18001,2022-05-06 09:43:28.763000,8.0000000000,8.0000000000,0E-10,CIFT,0,0E-10,81,4,,,,,,
1789,112513,1705,158,11802,31802,2022-04-21 14:31:57.160000,2022-05-06 09:42:49.003000,25,,U19001,2022-05-06 09:43:38.270000,8.0000000000,8.0000000000,0E-10,CIFT,0,0E-10,82,4,,,,,,
1789,112513,1705,158,11802,31802,2022-04-21 14:31:57.160000,2022-05-10 09:20:40.820000,30,,U25001,2022-05-10 09:21:27.090000,8.0000000000,8.0000000000,0E-10,CIFT,0,0E-10,83,4,,,,,,
1789,112513,1705,159,11802,31802,2022-04-21 14:31:57.160000,2022-04-28 08:46:29.157000,15,,U02002,2013-04-22 17:38:30.227000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,84,4,,,,,,
1789,112513,1705,159,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:20.710000,18,,U15009,2013-04-23 19:33:17.643000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,85,4,,,,,,
1789,112513,1705,159,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:39.090000,19,,U18001,2022-05-06 09:43:28.763000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,86,4,,,,,,
1789,112513,1705,159,11802,31802,2022-04-21 14:31:57.160000,2022-05-06 09:42:49.003000,25,,U19001,2022-05-06 09:43:38.270000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,87,4,,,,,,
1789,112513,1705,159,11802,31802,2022-04-21 14:31:57.160000,2022-05-10 09:20:40.820000,30,,U25001,2022-05-10 09:21:27.090000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,88,4,,,,,,
1789,112513,1705,160,11802,31802,2022-04-21 14:31:57.160000,2022-04-28 08:46:29.157000,15,,U02002,2013-04-22 17:38:30.227000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,89,4,,,,,,
1789,112513,1705,160,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:20.710000,18,,U15009,2013-04-23 19:33:17.643000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,90,4,,,,,,
1789,112513,1705,160,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:39.090000,19,,U18001,2022-05-06 09:43:28.763000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,91,4,,,,,,
1789,112513,1705,160,11802,31802,2022-04-21 14:31:57.160000,2022-05-06 09:42:49.003000,25,,U19001,2022-05-06 09:43:38.270000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,92,4,,,,,,
1789,112513,1705,160,11802,31802,2022-04-21 14:31:57.160000,2022-05-10 09:20:40.820000,30,,U25001,2022-05-10 09:21:27.090000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,93,4,,,,,,
1789,112513,1705,161,11802,31802,2022-04-21 14:31:57.160000,2022-04-28 08:46:29.157000,15,,U02002,2013-04-22 17:38:30.227000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,94,4,,,,,,
1789,112513,1705,161,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:20.710000,18,,U15009,2013-04-23 19:33:17.643000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,95,4,,,,,,
1789,112513,1705,161,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:39.090000,19,,U18001,2022-05-06 09:43:28.763000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,96,4,,,,,,
1789,112513,1705,161,11802,31802,2022-04-21 14:31:57.160000,2022-05-06 09:42:49.003000,25,,U19001,2022-05-06 09:43:38.270000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,97,4,,,,,,
1789,112513,1705,161,11802,31802,2022-04-21 14:31:57.160000,2022-05-10 09:20:40.820000,30,,U25001,2022-05-10 09:21:27.090000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,98,4,,,,,,
1789,112513,1705,162,11802,31802,2022-04-21 14:31:57.160000,2022-04-28 08:46:29.157000,15,,U02002,2013-04-22 17:38:30.227000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,99,4,,,,,,
1789,112513,1705,162,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:20.710000,18,,U15009,2013-04-23 19:33:17.643000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,100,4,,,,,,
1789,112513,1705,162,11802,31802,2022-04-21 14:31:57.160000,2022-04-29 10:41:39.090000,19,,U18001,2022-05-06 09:43:28.763000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,101,4,,,,,,
1789,112513,1705,162,11802,31802,2022-04-21 14:31:57.160000,2022-05-06 09:42:49.003000,25,,U19001,2022-05-06 09:43:38.270000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,102,4,,,,,,
1789,112513,1705,162,11802,31802,2022-04-21 14:31:57.160000,2022-05-10 09:20:40.820000,30,,U25001,2022-05-10 09:21:27.090000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,103,4,,,,,,
1810,103145,1705,156,12097,32078,2022-05-05 15:12:49.883000,2022-05-10 11:02:47.980000,15,,U02003,2013-05-05 00:46:02.567000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,104,5,,,,,,
1810,103145,1705,156,12097,32078,2022-05-05 15:12:49.883000,2022-05-13 10:44:00.980000,19,,U15010,2022-05-23 10:20:08.283000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,105,5,,,,,,
1810,103145,1705,156,12097,32078,2022-05-05 15:12:49.883000,2022-05-23 10:19:25.477000,25,,U19001,2022-05-23 10:20:46.690000,2.0000000000,2.0000000000,0E-10,CIFT,0,0E-10,106,5,,,,,,
1810,103145,1705,156,12097,32078,2022-05-05 15:12:49.883000,2022-05-25 14:31:30.343000,30,,U25001,,2.0000000000,0E-10,0E-10,CIFT,0,0E-10,107,5,,,,,,
1810,103145,1705,157,12097,32078,2022-05-05 15:12:49.883000,2022-05-10 11:02:47.980000,15,,U02003,2013-05-05 00:46:02.567000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,108,5,,,,,,
1810,103145,1705,157,12097,32078,2022-05-05 15:12:49.883000,2022-05-13 10:44:00.980000,19,,U15010,2022-05-23 10:20:08.283000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,109,5,,,,,,
1810,103145,1705,157,12097,32078,2022-05-05 15:12:49.883000,2022-05-23 10:19:25.477000,25,,U19001,2022-05-23 10:20:46.690000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,110,5,,,,,,
1810,103145,1705,157,12097,32078,2022-05-05 15:12:49.883000,2022-05-25 14:31:30.343000,30,,U25001,,4.0000000000,0E-10,0E-10,CIFT,0,0E-10,111,5,,,,,,
1810,103145,1705,158,12097,32078,2022-05-05 15:12:49.883000,2022-05-10 11:02:47.980000,15,,U02003,2013-05-05 00:46:02.567000,6.0000000000,6.0000000000,0E-10,CIFT,0,0E-10,112,5,,,,,,
1810,103145,1705,158,12097,32078,2022-05-05 15:12:49.883000,2022-05-13 10:44:00.980000,19,,U15010,2022-05-23 10:20:08.283000,6.0000000000,6.0000000000,0E-10,CIFT,0,0E-10,113,5,,,,,,
1810,103145,1705,158,12097,32078,2022-05-05 15:12:49.883000,2022-05-23 10:19:25.477000,25,,U19001,2022-05-23 10:20:46.690000,6.0000000000,6.0000000000,0E-10,CIFT,0,0E-10,114,5,,,,,,
1810,103145,1705,158,12097,32078,2022-05-05 15:12:49.883000,2022-05-25 14:31:30.343000,30,,U25001,,6.0000000000,0E-10,0E-10,CIFT,0,0E-10,115,5,,,,,,
1810,103145,1705,159,12097,32078,2022-05-05 15:12:49.883000,2022-05-10 11:02:47.980000,15,,U02003,2013-05-05 00:46:02.567000,7.0000000000,7.0000000000,0E-10,CIFT,0,0E-10,116,5,,,,,,
1810,103145,1705,159,12097,32078,2022-05-05 15:12:49.883000,2022-05-13 10:44:00.980000,19,,U15010,2022-05-23 10:20:08.283000,7.0000000000,7.0000000000,0E-10,CIFT,0,0E-10,117,5,,,,,,
1810,103145,1705,159,12097,32078,2022-05-05 15:12:49.883000,2022-05-23 10:19:25.477000,25,,U19001,2022-05-23 10:20:46.690000,7.0000000000,7.0000000000,0E-10,CIFT,0,0E-10,118,5,,,,,,
1810,103145,1705,159,12097,32078,2022-05-05 15:12:49.883000,2022-05-25 14:31:30.343000,30,,U25001,,7.0000000000,0E-10,0E-10,CIFT,0,0E-10,119,5,,,,,,
1810,103145,1705,160,12097,32078,2022-05-05 15:12:49.883000,2022-05-10 11:02:47.980000,15,,U02003,2013-05-05 00:46:02.567000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,120,5,,,,,,
1810,103145,1705,160,12097,32078,2022-05-05 15:12:49.883000,2022-05-13 10:44:00.980000,19,,U15010,2022-05-23 10:20:08.283000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,121,5,,,,,,
1810,103145,1705,160,12097,32078,2022-05-05 15:12:49.883000,2022-05-23 10:19:25.477000,25,,U19001,2022-05-23 10:20:46.690000,4.0000000000,4.0000000000,0E-10,CIFT,0,0E-10,122,5,,,,,,
