Code,Name,Rate,ID,kgid,insUN,insDT,insApp,updUN,updDT,updApp
213,ÇEVRE VE BAHÇE BAKIM HİZMETLERİ [GT 117-Bölüm (3.2.10)],7/10,122,122,,,,,,
213,ÇEVRE VE BAHÇE BAKIM HİZMETLERİ [GT 117-Bölüm (3.2.10)],9/10,123,123,,,,,,
214,SERVİS TAŞIMACILIĞI HİZMETİ [GT 117-Bölüm (3.2.11)],5/10,124,124,,,,,,
215,HER TÜRLÜ BASKI VE BASIM HİZMETLERİ [GT 117-Bölüm (3.2.12)],5/10,125,125,,,,,,
215,HER TÜRLÜ BASKI VE BASIM HİZMETLERİ [GT 117-Bölüm (3.2.12)],7/10,126,126,,,,,,
216," KANUNU EKLİ CETVELLERDEKİ İDARE, KURUM VE KURULUŞLARA YAPILAN DİGER HİZMETLER.",5/10,127,127,,,,,,
217,Diğer Hizmetler [KDVGUT-(I/C-2.1.3.2.13)],5/10,128,128,,,,,,
217,HURDA METALDEN ELDE EDİLEN KÜLÇE TESLİMLERİ [GT 117-Bölüm (3.3.1)],5/10,129,129,,,,,,
217,HURDA METALDEN ELDE EDİLEN KÜLÇE TESLİMLERİ [GT 117-Bölüm (3.3.1)],7/10,130,130,,,,,,
218,"HURDA METALDEN ELDE EDİLENLER DIŞINDAKİ BAKIR, ÇİNKO DEMİR ; ÇELİK ALÜMİNYUM VE KURŞUN KÜLÇE TESLİMLERİ [KDVGUT-(I/C-2.1.3.3.1)]",5/10,131,131,,,,,,
218,"HURDA METALDEN ELDE EDİLENLER DIŞINDAKİ BAKIR, ÇİNKO DEMİR ; ÇELİK ALÜMİNYUM VE KURŞUN KÜLÇE TESLİMLERİ [KDVGUT-(I/C-2.1.3.3.1)]",7/10,132,132,,,,,,
219,"BAKIR, ÇİNKO VE ALÜMİNYUM ÜRÜNLERİNİN TESLİMİ [GT 117-Bölüm (3.3.2)]",5/10,133,133,,,,,,
219,"BAKIR, ÇİNKO VE ALÜMİNYUM ÜRÜNLERİNİN TESLİMİ [GT 117-Bölüm (3.3.2)]",7/10,134,134,,,,,,
220,İSTİSNADAN VAZGEÇENLERİN HURDA VE ATIK TESLİMİ [GT 117-Bölüm (3.3.3)],5/10,135,135,,,,,,
220,İSTİSNADAN VAZGEÇENLERİN HURDA VE ATIK TESLİMİ [GT 117-Bölüm (3.3.3)],7/10,136,136,,,,,,
221,"METAL, PLASTİK, LASTİK, KAUÇUK, KÂĞIT VE CAM HURDA VE ATIKLARDAN ELDE EDİLEN HAMMADDE TESLİMİ [GT 117-Bölüm (3.3.4)]",9/10,137,137,,,,,,
222,"PAMUK, TİFTİK, YÜN VE YAPAĞI İLE HAM POST VE DERİ TESLİMLERİ [GT 117-Bölüm (3.3.5)]",9/10,138,138,,,,,,
223,AĞAÇ VE ORMAN ÜRÜNLERİ TESLİMİ [GT 117-Bölüm (3.3.6)],5/10,139,139,,,,,,
224,YÜK TAŞIMACILIĞI HİZMETİ [KDVGUT-(I/C-2.1.3.2.11)],2/10,140,140,,,,,,
225,TİCARİ REKLAM HİZMETLERİ [KDVGUT-(I/C-2.1.3.2.15)],3/10,141,141,,,,,,
226,DİĞER TESLİMLER [KDVGUT-(I/C-2.1.3.3.7.)],2/10,142,142,,,,,,
227,DEMİR-ÇELİK ÜRÜNLERİNİN TESLİMİ [KDVGUT-(I/C-2.1.3.3.8)],4/10,143,143,,,,,,
601,YAPIM İŞLERİ İLE BU İŞLERLE BİRLİKTE İFA EDİLEN MÜHENDİSLİK-MİMARLIK VE ETÜT-PROJE HİZMETLERİ [GT 117-Bölüm (3.2.1)],3/10,144,144,,,,,,
601,YAPIM İŞLERİ İLE BU İŞLERLE BİRLİKTE İFA EDİLEN MÜHENDİSLİK-MİMARLIK VE ETÜT-PROJE HİZMETLERİ [GT 117-Bölüm (3.2.1)],4/10,145,145,,,,,,
602,"ETÜT, PLAN-PROJE, DANIŞMANLIK, DENETİM VE BENZERİ HİZMETLER[GT 117-Bölüm (3.2.2)]",9/10,146,146,,,,,,
603,"MAKİNE, TEÇHİZAT, DEMİRBAŞ VE TAŞITLARA AİT TADİL, BAKIM VE ONARIM HİZMETLERİ [GT 117-Bölüm (3.2.3)]",5/10,147,147,,,,,,
603,"MAKİNE, TEÇHİZAT, DEMİRBAŞ VE TAŞITLARA AİT TADİL, BAKIM VE ONARIM HİZMETLERİ [GT 117-Bölüm (3.2.3)]",7/10,148,148,,,,,,
604,YEMEK SERVİS HİZMETİ [GT 117-Bölüm (3.2.4)],5/10,149,149,,,,,,
605,ORGANİZASYON HİZMETİ [GT 117-Bölüm (3.2.4)],5/10,150,150,,,,,,
606,İŞGÜCÜ TEMİN HİZMETLERİ [GT 117-Bölüm (3.2.5)],9/10,151,151,,,,,,
607,ÖZEL GÜVENLİK HİZMETİ [GT 117-Bölüm (3.2.5)],9/10,152,152,,,,,,
607,ÖZEL GÜVENLİK HİZMETİ [GT 117-Bölüm (3.2.5)],9/10,153,153,,,,,,
608,YAPI DENETİM HİZMETLERİ [GT 117-Bölüm (3.2.6)],9/10,154,154,,,,,,
609,"FASON OLARAK YAPTIRILAN TEKSTİL VE KONFEKSİYON İŞLERİ, ÇANTA VE AYAKKABI DİKİM İŞLERİ VE BU İŞLERE ARACILIK HİZMETLERİ [GT 117-Bölüm (3.2.7)]",5/10,155,155,,,,,,
609,"FASON OLARAK YAPTIRILAN TEKSTİL VE KONFEKSİYON İŞLERİ, ÇANTA VE AYAKKABI DİKİM İŞLERİ VE BU İŞLERE ARACILIK HİZMETLERİ [GT 117-Bölüm (3.2.7)]",7/10,156,156,,,,,,
610,TURİSTİK MAĞAZALARA VERİLEN MÜŞTERİ BULMA / GÖTÜRME HİZMETLERİ [GT 117-Bölüm (3.2.8)],9/10,157,157,,,,,,
611,"SPOR KULÜPLERİNİN YAYIN, REKLÂM VE İSİM HAKKI GELİRLERİNE KONU İŞLEMLERİ [GT 117-Bölüm (3.2.9)]",9/10,158,158,,,,,,
612,TEMİZLİK HİZMETİ [GT 117-Bölüm (3.2.10)],7/10,159,159,,,,,,
612,TEMİZLİK HİZMETİ [GT 117-Bölüm (3.2.10)],9/10,160,160,,,,,,
613,ÇEVRE VE BAHÇE BAKIM HİZMETLERİ [GT 117-Bölüm (3.2.10)],7/10,161,161,,,,,,
613,ÇEVRE VE BAHÇE BAKIM HİZMETLERİ [GT 117-Bölüm (3.2.10)],9/10,162,162,,,,,,
614,SERVİS TAŞIMACILIĞI HİZMETİ [GT 117-Bölüm (3.2.11)],5/10,163,163,,,,,,
615,HER TÜRLÜ BASKI VE BASIM HİZMETLERİ [GT 117-Bölüm (3.2.12)],5/10,164,164,,,,,,
615,HER TÜRLÜ BASKI VE BASIM HİZMETLERİ [GT 117-Bölüm (3.2.12)],7/10,165,165,,,,,,
616," KANUNU EKLİ CETVELLERDEKİ İDARE, KURUM VE KURULUŞLARA YAPILAN DİGER HİZMETLER.",5/10,166,166,,,,,,
617,Diğer Hizmetler [KDVGUT-(I/C-2.1.3.2.13)],5/10,167,167,,,,,,
617,HURDA METALDEN ELDE EDİLEN KÜLÇE TESLİMLERİ [GT 117-Bölüm (3.3.1)],5/10,168,168,,,,,,
617,HURDA METALDEN ELDE EDİLEN KÜLÇE TESLİMLERİ [GT 117-Bölüm (3.3.1)],7/10,169,169,,,,,,
618,"HURDA METALDEN ELDE EDİLENLER DIŞINDAKİ BAKIR, ÇİNKO DEMİR ; ÇELİK ALÜMİNYUM VE KURŞUN KÜLÇE TESLİMLERİ [KDVGUT-(I/C-2.1.3.3.1)]",5/10,170,170,,,,,,
618,"HURDA METALDEN ELDE EDİLENLER DIŞINDAKİ BAKIR, ÇİNKO DEMİR ; ÇELİK ALÜMİNYUM VE KURŞUN KÜLÇE TESLİMLERİ [KDVGUT-(I/C-2.1.3.3.1)]",7/10,171,171,,,,,,
619,"BAKIR, ÇİNKO VE ALÜMİNYUM ÜRÜNLERİNİN TESLİMİ [GT 117-Bölüm (3.3.2)]",5/10,172,172,,,,,,
619,"BAKIR, ÇİNKO VE ALÜMİNYUM ÜRÜNLERİNİN TESLİMİ [GT 117-Bölüm (3.3.2)]",7/10,173,173,,,,,,
620,İSTİSNADAN VAZGEÇENLERİN HURDA VE ATIK TESLİMİ [GT 117-Bölüm (3.3.3)],5/10,174,174,,,,,,
620,İSTİSNADAN VAZGEÇENLERİN HURDA VE ATIK TESLİMİ [GT 117-Bölüm (3.3.3)],7/10,175,175,,,,,,
621,"METAL, PLASTİK, LASTİK, KAUÇUK, KÂĞIT VE CAM HURDA VE ATIKLARDAN ELDE EDİLEN HAMMADDE TESLİMİ [GT 117-Bölüm (3.3.4)]",9/10,176,176,,,,,,
622,"PAMUK, TİFTİK, YÜN VE YAPAĞI İLE HAM POST VE DERİ TESLİMLERİ [GT 117-Bölüm (3.3.5)]",9/10,177,177,,,,,,
623,AĞAÇ VE ORMAN ÜRÜNLERİ TESLİMİ [GT 117-Bölüm (3.3.6)],5/10,178,178,,,,,,
624,YÜK TAŞIMACILIĞI HİZMETİ [KDVGUT-(I/C-2.1.3.2.11)],2/10,179,179,,,,,,
625,TİCARİ REKLAM HİZMETLERİ [KDVGUT-(I/C-2.1.3.2.15)],3/10,180,180,,,,,,
626,DİĞER TESLİMLER [KDVGUT-(I/C-2.1.3.3.7.)],2/10,181,181,,,,,,
627,DEMİR-ÇELİK ÜRÜNLERİNİN TESLİMİ [KDVGUT-(I/C-2.1.3.3.8)],5/10,182,182,,,,,,
801,YAPIM İŞLERİ İLE BU İŞLERLE BİRLİKTE İFA EDİLEN MÜHENDİSLİK-MİMARLIK VE ETÜT-PROJE HİZMETLERİ [GT 117-Bölüm (3.2.1)],10/10,183,183,,,,,,
802,"ETÜT, PLAN-PROJE, DANIŞMANLIK, DENETİM VE BENZERİ HİZMETLER[GT 117-Bölüm (3.2.2)]",10/10,184,184,,,,,,
803,"MAKİNE, TEÇHİZAT, DEMİRBAŞ VE TAŞITLARA AİT TADİL, BAKIM VE ONARIM HİZMETLERİ [GT 117-Bölüm (3.2.3)]",10/10,185,185,,,,,,
804,YEMEK SERVİS HİZMETİ [GT 117-Bölüm (3.2.4)],10/10,186,186,,,,,,
805,ORGANİZASYON HİZMETİ [GT 117-Bölüm (3.2.4)],10/10,187,187,,,,,,
806,İŞGÜCÜ TEMİN HİZMETLERİ [GT 117-Bölüm (3.2.5)],10/10,188,188,,,,,,
807,ÖZEL GÜVENLİK HİZMETİ [GT 117-Bölüm (3.2.5)],10/10,189,189,,,,,,
808,YAPI DENETİM HİZMETLERİ [GT 117-Bölüm (3.2.6)],10/10,190,190,,,,,,
809,"FASON OLARAK YAPTIRILAN TEKSTİL VE KONFEKSİYON İŞLERİ, ÇANTA VE AYAKKABI DİKİM İŞLERİ VE BU İŞLERE ARACILIK HİZMETLERİ [GT 117-Bölüm (3.2.7)",10/10,191,191,,,,,,
810,TURİSTİK MAĞAZALARA VERİLEN MÜŞTERİ BULMA / GÖTÜRME HİZMETLERİ [GT 117-Bölüm (3.2.8)],10/10,192,192,,,,,,
811,"SPOR KULÜPLERİNİN YAYIN, REKLÂM VE İSİM HAKKI GELİRLERİNE KONU İŞLEMLERİ [GT 117-Bölüm (3.2.9)]",10/10,193,193,,,,,,
812,TEMİZLİK HİZMETİ [GT 117-Bölüm (3.2.10)],10/10,194,194,,,,,,
813,ÇEVRE VE BAHÇE BAKIM HİZMETLERİ [GT 117-Bölüm (3.2.10)],10/10,195,195,,,,,,
814,SERVİS TAŞIMACILIĞI HİZMETİ [GT 117-Bölüm (3.2.11)],10/10,196,196,,,,,,
815,HER TÜRLÜ BASKI VE BASIM HİZMETLERİ [GT 117-Bölüm (3.2.12)],10/10,197,197,,,,,,
816,HURDA METALDEN ELDE EDİLEN KÜLÇE TESLİMLERİ [GT 117-Bölüm (3.3.1)],10/10,198,198,,,,,,
817,"HURDA METALDEN ELDE EDİLENLER DIŞINDAKİ BAKIR, ÇİNKO DEMİR ; ÇELİK ALÜMİNYUM VE KURŞUN KÜLÇE TESLİMLERİ [KDVGUT-(I/C-2.1.3.3.1)]",10/10,199,199,,,,,,
818,"BAKIR, ÇİNKO VE ALÜMİNYUM ÜRÜNLERİNİN TESLİMİ [GT 117-Bölüm (3.3.2)]",10/10,200,200,,,,,,
819,İSTİSNADAN VAZGEÇENLERİN HURDA VE ATIK TESLİMİ [GT 117-Bölüm (3.3.3)],10/10,201,201,,,,,,
820,"METAL, PLASTİK, LASTİK, KAUÇUK, KÂĞIT VE CAM HURDA VE ATIKLARDAN ELDE EDİLEN HAMMADDE TESLİMİ [GT 117-Bölüm (3.3.4)]",10/10,202,202,,,,,,
821,"PAMUK, TİFTİK, YÜN VE YAPAĞI İLE HAM POST VE DERİ TESLİMLERİ [GT 117-Bölüm (3.3.5)]",10/10,203,203,,,,,,
822,AĞAÇ VE ORMAN ÜRÜNLERİ TESLİMİ [GT 117-Bölüm (3.3.6)],10/10,204,204,,,,,,
823,YÜK TAŞIMACILIĞI HİZMETİ [KDVGUT-(I/C-2.1.3.2.11)],10/10,205,205,,,,,,
824,TİCARİ REKLAM HİZMETLERİ [KDVGUT-(I/C-2.1.3.2.15)],10/10,206,206,,,,,,
825,DEMİR-ÇELİK ÜRÜNLERİNİN TESLİMİ [KDVGUT-(I/C-2.1.3.3.8)],10/10,207,207,,,,,,
911,"SPOR KULÜPLERININ YAYIN, REKLAM VE İSIM HAKKI GELİRLERİNE KONU İŞLEMLERİ",10/10,208,208,,,,,,
227,DEMİR-ÇELİK ÜRÜNLERİNİN TESLİMİ [KDVGUT-(I/C-2.1.3.3.8)],5/10,209,209,dbo,2025-02-19 16:46:02.603000,Microsoft SQL Server Management Studio,dbo,2025-02-19 16:47:07.207000,Microsoft SQL Server Management Studio
