SipNo,AvTip,Coninx,Odinx,Fisinx,EvrakNo,Tutar,ParaCinsi,Vade,Tanim,PortfoyNo,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1656,k,4385,0,5178,2629,2540.0000000000,US,,,,62,,,,,,
1666,k,4387,0,5180,2630,1000.0000000000,US,,,,63,,,,,,
1685,k,4418,0,5219,2631,328.0000000000,US,,,,64,,,,,,
1713,k,5579,0,6423,2632,400.0000000000,US,,,,65,,,,,,
1725,k,5653,0,6511,2633,1000.0000000000,US,,,,66,,,,,,
1728,k,5657,0,6516,2634,1000.0000000000,US,,,,67,,,,,,
1731,k,5659,0,6518,2636,500.0000000000,US,,,,68,,,,,,
1786,k,5738,0,6625,3013,500.0000000000,US,,,,69,,,,,,
1813,k,5816,0,6727,3022,2600.0000000000,US,,,,70,,,,,,
1815,k,5741,0,6628,3014,400.0000000000,US,,,,71,,,,,,
1820,k,5784,0,6688,3015,330.0000000000,US,,,,72,,,,,,
1820,k,5806,0,6710,3018,200.0000000000,US,,,,73,,,,,,
1822,k,5800,0,6704,3016,2000.0000000000,US,,,,74,,,,,,
1829,k,5808,0,6712,3020,1000.0000000000,US,,,,75,,,,,,
1830,k,5807,0,6711,3019,100.0000000000,US,,,,76,,,,,,
1853,k,5820,0,6732,3024,5000.0000000000,US,,,,77,,,,,,
1882,k,5845,0,6757,3025,779.0000000000,US,,,,78,,,,,,
1889,k,5852,0,6768,3026,495.0000000000,US,,,,79,,,,,,
1906,k,5871,0,6798,3028,1500.0000000000,US,,,,80,,,,,,
1908,k,5872,0,6799,3029,1900.0000000000,US,,,,81,,,,,,
1939,k,5879,0,6812,3030,200.0000000000,US,,,,82,,,,,,
1954,k,5905,0,6840,3031,3000.0000000000,US,,,,83,,,,,,
1960,k,5916,0,6856,3032,608.0000000000,US,,,,84,,,,,,
1961,k,5942,0,6897,3035,2000.0000000000,US,,,,85,,,,,,
1962,a,5906,0,6841,,1440.0000000000,US,,,,86,,,,,,
1963,a,5907,0,6842,,1000.0000000000,US,,,,87,,,,,,
1964,a,5908,0,6843,,20000.0000000000,US,,,,88,,,,,,
1964,a,5909,0,6844,,1000.0000000000,US,,POSTAN ÇEKİLDİ,,89,,,,,,
1995,k,5923,0,6872,3033,6130.0000000000,US,,,,90,,,,,,
2003,k,5924,0,6873,3034,1217.0000000000,US,,,,91,,,,,,
2017,k,5946,0,6913,3036,900.0000000000,US,,,,92,,,,,,
2036,k,5948,0,6915,3037,500.0000000000,US,,,,93,,,,,,
2044,k,5949,0,6916,3038,1000.0000000000,US,,,,94,,,,,,
2063,k,5978,0,6952,3040,2000.0000000000,US,,,,95,,,,,,
2070,k,5981,0,6956,3041,5000.0000000000,US,,,,96,,,,,,
2077,k,5982,0,6957,3042,1500.0000000000,US,,,,97,,,,,,
2078,k,5983,0,6958,3043,370.0000000000,US,,,,98,,,,,,
2104,k,6012,0,6993,3044,1190.0000000000,US,,,,99,,,,,,
2125,a,6057,0,7055,,1000.0000000000,US,,,,100,,,,,,
2133,k,6055,0,7050,3045,1000.0000000000,US,,,,101,,,,,,
2151,k,6060,0,7064,3046,5800.0000000000,US,,,,102,,,,,,
2151,k,6061,0,7065,3047,20.0000000000,US,,,,103,,,,,,
2152,k,6062,0,7066,3048,1000.0000000000,US,,,,104,,,,,,
2153,k,6064,0,7068,3050,1180.0000000000,US,,,,105,,,,,,
2154,k,6063,0,7067,3049,1000.0000000000,US,,,,106,,,,,,
2185,k,6072,0,7077,3051,3600.0000000000,US,,,,107,,,,,,
2187,k,6077,0,7082,3052,700.0000000000,US,,,,108,,,,,,
2189,k,6083,0,7088,3053,700.0000000000,US,,,,109,,,,,,
2204,k,6084,0,7089,3054,690.0000000000,US,,,,110,,,,,,
2205,k,6085,0,7090,3055,200.0000000000,US,,,,111,,,,,,
2214,k,6086,0,7091,3056,1100.0000000000,US,,,,112,,,,,,
2214,k,6206,0,7263,3079,1500.0000000000,US,,,,113,,,,,,
2220,k,6087,0,7092,3057,2250.0000000000,US,,,,114,,,,,,
2225,k,6088,0,7093,3058,1000.0000000000,US,,,,115,,,,,,
2226,k,6089,0,7094,3059,5540.0000000000,US,,,,116,,,,,,
2229,k,6160,0,7188,3065,988.0000000000,US,,,,117,,,,,,
2255,k,6101,0,7106,3060,500.0000000000,US,,,,118,,,,,,
2281,k,6109,0,7125,3061,200.0000000000,US,,,,119,,,,,,
2286,k,6152,0,7175,3062,960.0000000000,US,,,,120,,,,,,
2287,k,6155,0,7181,3063,2500.0000000000,US,,,,121,,,,,,
2293,k,6159,0,7187,3064,470.0000000000,US,,,,122,,,,,,
2294,k,6161,0,7189,3066,1904.0000000000,US,,,,123,,,,,,
2295,k,6162,0,7190,3067,5000.0000000000,US,,,,124,,,,,,
2296,k,6163,0,7191,3068,750.0000000000,US,,,,125,,,,,,
2297,k,6164,0,7192,3069,1130.0000000000,US,,,,126,,,,,,
2297,k,6205,0,7262,3078,2000.0000000000,US,,,,127,,,,,,
2298,k,6165,0,7193,3070,48.0000000000,US,,,,128,,,,,,
2299,k,6166,0,7194,3071,38.0000000000,US,,,,129,,,,,,
2300,k,6167,0,7195,3072,2000.0000000000,US,,,,130,,,,,,
2301,k,6168,0,7196,3073,300.0000000000,US,,,,131,,,,,,
2302,k,6169,0,7197,3074,300.0000000000,US,,,,132,,,,,,
2348,k,6202,0,7259,3075,140.0000000000,US,,,,133,,,,,,
2350,k,6203,0,7260,3076,1190.0000000000,US,,,,134,,,,,,
2351,k,6204,0,7261,3077,600.0000000000,US,,,,135,,,,,,
2352,k,6207,0,7264,3080,100.0000000000,US,,,,136,,,,,,
2368,k,6383,0,7513,3114,10000.0000000000,US,,,,137,,,,,,
2375,k,6258,0,7340,3081,325.0000000000,US,,,,138,,,,,,
2388,k,6259,0,7341,3082,840.0000000000,US,,,,139,,,,,,
2400,k,6269,0,7351,3083,395.0000000000,US,,,,140,,,,,,
2401,k,6270,0,7352,3084,4100.0000000000,US,,,,141,,,,,,
2401,k,6271,0,7353,3085,420.0000000000,US,,,,142,,,,,,
2402,k,6272,0,7354,3086,800.0000000000,US,,,,143,,,,,,
2402,k,6273,0,7355,3087,800.0000000000,US,,,,144,,,,,,
2421,k,6278,0,7360,3090,770.0000000000,US,,,,145,,,,,,
2422,k,6277,0,7359,3089,48.0000000000,US,,,,146,,,,,,
2422,k,6315,0,7408,3103,860.0000000000,US,,,,147,,,,,,
2425,k,6279,0,7361,3091,500.0000000000,US,,,,148,,,,,,
2431,k,6280,0,7362,3092,1600.0000000000,US,,,,149,,,,,,
2437,k,6282,0,7364,3094,1972.0000000000,US,,,,150,,,,,,
2441,k,6289,0,7381,3095,850.0000000000,US,,,,151,,,,,,
2450,k,6306,0,7399,3096,400.0000000000,US,,,,152,,,,,,
2454,k,6307,0,7400,3097,1990.0000000000,US,,,,153,,,,,,
2459,k,6310,0,7403,3098,1000.0000000000,US,,,,154,,,,,,
2460,k,6318,0,7411,3106,500.0000000000,US,,,,155,,,,,,
2461,k,6311,0,7404,3099,600.0000000000,US,,,,156,,,,,,
2462,k,6312,0,7405,3100,20.0000000000,US,,,,157,,,,,,
2462,k,6313,0,7406,3101,140.0000000000,US,,,,158,,,,,,
2463,k,6314,0,7407,3102,500.0000000000,US,,,,159,,,,,,
2464,k,6316,0,7409,3104,280.0000000000,US,,,,160,,,,,,
2464,k,6317,0,7410,3105,500.0000000000,US,,,,161,,,,,,
2496,k,6325,0,7433,3107,260.0000000000,US,,,,162,,,,,,
2498,k,6341,0,7449,3108,1044.0000000000,US,,,,163,,,,,,
2499,k,6437,0,7585,3122,1000.0000000000,US,,,,164,,,,,,
2505,k,6351,0,7462,3111,500.0000000000,US,,,,165,,,,,,
2506,k,6381,0,7507,3113,500.0000000000,US,,,,166,,,,,,
2511,k,6350,0,7461,3110,500.0000000000,US,,,,167,,,,,,
2515,k,6352,0,7463,3112,250.0000000000,US,,,,168,,,,,,
2532,k,6398,0,7542,3116,6000.0000000000,US,,,,169,,,,,,
2549,k,6399,0,7543,3117,1000.0000000000,US,,,,170,,,,,,
2558,k,6400,0,7544,3118,550.0000000000,US,,,,171,,,,,,
2559,k,6401,0,7545,3119,250.0000000000,US,,,,172,,,,,,
2559,k,6402,0,7546,3118,250.0000000000,US,,,,173,,,,,,
2567,k,6404,0,7548,3120,500.0000000000,US,,,,174,,,,,,
2568,k,6405,0,7549,3121,300.0000000000,US,,,,175,,,,,,
2584,k,6438,0,7586,3123,1000.0000000000,US,,,,176,,,,,,
2594,k,6440,0,7589,3124,210.0000000000,US,,,,177,,,,,,
2595,k,6441,0,7590,3125,300.0000000000,US,,,,178,,,,,,
2596,k,6442,0,7591,3126,500.0000000000,US,,,,179,,,,,,
2597,k,6443,0,7592,3127,638.0000000000,US,,,,180,,,,,,
2598,k,6444,0,7593,3128,481.0000000000,US,,,,181,,,,,,
2599,k,6445,0,7594,3129,200.0000000000,US,,,,182,,,,,,
2600,k,6446,0,7595,3130,180.0000000000,US,,,,183,,,,,,
2601,k,6447,0,7596,3131,900.0000000000,US,,,,184,,,,,,
2602,k,6448,0,7597,3132,459.0000000000,US,,,,185,,,,,,
2649,k,6487,0,7645,3133,100.0000000000,US,,,,186,,,,,,
2654,k,7538,0,8749,3143,8300.0000000000,US,,,,187,,,,,,
2654,k,7548,0,8759,3151,1700.0000000000,US,,,,188,,,,,,
2657,k,6491,0,7661,3134,200.0000000000,US,,,,189,,,,,,
2658,k,6531,0,7725,3141,2700.0000000000,US,,,,190,,,,,,
2665,k,6502,0,7680,3135,760.0000000000,US,,,,191,,,,,,
2687,k,6526,0,7720,3136,600.0000000000,US,,,,192,,,,,,
2688,k,6527,0,7721,3137,2600.0000000000,US,,,,193,,,,,,
2694,k,6528,0,7722,3138,1034.0000000000,US,,,,194,,,,,,
2695,k,6529,0,7723,3139,10000.0000000000,US,,,,195,,,,,,
2695,k,7543,0,8754,3146,10000.0000000000,US,,,,196,,,,,,
2712,k,6530,0,7724,3140,670.0000000000,US,,,,197,,,,,,
2713,k,6532,0,7726,3142,300.0000000000,US,,,,198,,,,,,
2719,k,7703,0,8953,3168,3000.0000000000,US,,,,199,,,,,,
3721,k,7539,0,8750,3144,500.0000000000,US,,,,200,,,,,,
3724,k,7759,0,9047,3173,500.0000000000,US,,,,201,,,,,,
3725,k,7547,0,8758,3150,1600.0000000000,US,,,,202,,,,,,
3726,k,7540,0,8751,3145,700.0000000000,US,,,,203,,,,,,
3727,k,7544,0,8755,3147,420.0000000000,US,,,,204,,,,,,
3732,k,7545,0,8756,3148,4000.0000000000,US,,,,205,,,,,,
3733,k,7546,0,8757,3149,1000.0000000000,US,,,,206,,,,,,
3762,k,7579,0,8792,3152,322.0000000000,US,,,,207,,,,,,
3769,k,7581,0,8798,3153,880.0000000000,US,,,,208,,,,,,
3774,k,7593,0,8814,3154,480.0000000000,US,,,,209,,,,,,
3774,k,7594,0,8815,3155,30.0000000000,US,,,,210,,,,,,
3776,k,7595,0,8816,3156,318.0000000000,US,,,,211,,,,,,
3794,k,7632,0,8864,3157,5000.0000000000,US,,,,212,,,,,,
3797,k,7633,0,8865,3158,4000.0000000000,US,,,,213,,,,,,
3826,k,7636,0,8868,3159,470.0000000000,US,,,,214,,,,,,
3832,k,7649,0,8881,3160,1293.0000000000,US,,,,215,,,,,,
3836,k,7667,0,8899,3161,2000.0000000000,US,,,,216,,,,,,
3843,k,7672,0,8907,3162,1000.0000000000,US,,,,217,,,,,,
3875,k,7675,0,8910,3163,1000.0000000000,US,,,,218,,,,,,
3879,k,7676,0,8911,3164,700.0000000000,US,,,,219,,,,,,
3887,k,7683,0,8918,3165,330.0000000000,US,,,,220,,,,,,
3890,k,7699,0,8943,3166,600.0000000000,US,,,,221,,,,,,
3891,k,7700,0,8944,3167,222.0000000000,US,,,,222,,,,,,
3917,k,7741,0,9023,3169,700.0000000000,US,,,,223,,,,,,
3918,k,7742,0,9024,3170,350.0000000000,US,,,,224,,,,,,
3919,k,7743,0,9025,3171,150.0000000000,US,,,,225,,,,,,
3931,k,7744,0,9026,3172,36.0000000000,US,,,,226,,,,,,
3939,k,7760,0,9048,3174,400.0000000000,US,,,,227,,,,,,
3940,k,7761,0,9049,3175,2000.0000000000,US,,,,228,,,,,,
4497,k,9442,0,11451,3177,2660.0000000000,US,,,,229,,,,,,
4518,k,9477,0,11529,3177,935.0000000000,US,,,,230,,,,,,
4521,k,9516,0,11572,3178,1000.0000000000,US,,,,231,,,,,,
4524,k,9539,0,11595,3179,580.0000000000,US,,,,232,,,,,,
4532,k,9551,0,11608,3180,100.0000000000,US,,,,233,,,,,,
4551,k,9605,0,11674,3181,210.0000000000,US,,,,234,,,,,,
4553,k,9606,0,11675,3182,200.0000000000,US,,,,235,,,,,,
4563,k,9714,0,11813,3183,516.0000000000,US,,,,236,,,,,,
4566,k,9732,0,11832,3184,1000.0000000000,US,,,,237,,,,,,
4574,k,9746,0,11853,3185,2600.0000000000,US,,,,238,,,,,,
4578,k,9747,0,11854,3186,455.0000000000,US,,,,239,,,,,,
4582,k,9756,0,11863,3187,350.0000000000,US,,,,240,,,,,,
4583,k,9759,0,11866,3188,1500.0000000000,US,,,,241,,,,,,
4603,k,9908,0,12043,3189,1605.0000000000,US,,,,242,,,,,,
4611,k,9966,0,12122,3193,1500.0000000000,US,,,,243,,,,,,
4612,k,9927,0,12075,3191,170.0000000000,US,,,,244,,,,,,
4624,k,9947,0,12100,3192,1000.0000000000,US,,,,245,,,,,,
4642,k,9967,0,12123,3194,200.0000000000,US,,,,246,,,,,,
4644,k,10021,0,12179,3195,1440.0000000000,US,,,,247,,,,,,
4652,k,10041,0,12210,3196,380.0000000000,US,,,,248,,,,,,
4674,k,10190,0,12405,3197,930.0000000000,US,,,,249,,,,,,
4676,k,10241,0,12457,3199,304.0000000000,US,,,,250,,,,,,
4677,k,10276,0,12511,3200,500.0000000000,US,,,,251,,,,,,
4691,k,10325,0,12570,3201,818.0000000000,US,,,,252,,,,,,
4702,k,10354,0,12626,3202,500.0000000000,US,,,,253,,,,,,
4704,k,10361,0,12640,3203,200.0000000000,US,,,,254,,,,,,
4710,k,10374,0,12658,3204,1500.0000000000,US,,,,255,,,,,,
4711,k,10515,0,12840,3206,500.0000000000,US,,,,256,,,,,,
4712,k,10387,0,12684,3205,290.0000000000,US,,,,257,,,,,,
4719,k,10521,0,12850,3207,1680.0000000000,US,,,,258,,,,,,
4729,k,10528,0,12857,3208,1000.0000000000,US,,,,259,,,,,,
4738,k,10563,0,12920,3209,500.0000000000,US,,,,260,,,,,,
4751,k,10577,0,12944,3210,1000.0000000000,US,,,,261,,,,,,
4755,k,10606,0,12993,3212,2000.0000000000,US,,,,262,,,,,,
4756,k,10591,0,12961,3211,350.0000000000,US,,,,263,,,,,,
4761,k,10611,0,13004,3213,3000.0000000000,US,,,,264,,,,,,
4761,k,13934,0,16858,3288,3000.0000000000,US,,,,265,,,,,,
4762,k,10612,0,13005,3214,600.0000000000,US,,,,266,,,,,,
4763,k,10613,0,13006,3215,1500.0000000000,US,,,,267,,,,,,
4763,k,13937,0,16861,3288,1500.0000000000,US,,,,268,,,,,,
4785,k,10643,0,13051,3212,1000.0000000000,US,,,,269,,,,,,
4786,k,10644,0,13052,3213,750.0000000000,US,,,,270,,,,,,
4787,k,10645,0,13053,3214,1050.0000000000,US,,,,271,,,,,,
4788,k,10646,0,13054,3215,560.0000000000,US,,,,272,,,,,,
4794,k,10647,0,13055,3216,1000.0000000000,US,,,,273,,,,,,
4795,k,10648,0,13056,3217,800.0000000000,US,,,,274,,,,,,
4795,k,10649,0,13057,3218,800.0000000000,US,,,,275,,,,,,
4804,k,10650,0,13058,3219,580.0000000000,US,,,,276,,,,,,
4805,k,10651,0,13059,3220,1000.0000000000,US,,,,277,,,,,,
4815,k,10652,0,13060,3221,1000.0000000000,US,,,,278,,,,,,
4817,k,10653,0,13061,3222,500.0000000000,US,,,,279,,,,,,
4830,k,11850,0,14327,3236,1000.0000000000,US,,,,280,,,,,,
4832,k,10705,0,13150,3223,500.0000000000,US,,,,281,,,,,,
4856,k,10722,0,13175,3224,1000.0000000000,US,,,,282,,,,,,
4857,k,10724,0,13177,3225,1000.0000000000,US,,,,283,,,,,,
4890,k,10739,0,13201,3226,1136.0000000000,US,,,,284,,,,,,
4893,k,10750,0,13217,3227,338.0000000000,US,,,,285,,,,,,
4918,k,10762,0,13232,3228,2270.0000000000,US,,,,286,,,,,,
4924,k,10801,0,13277,3229,1600.0000000000,US,,NAKİT,,287,,,,,,
4924,k,10802,0,13278,3230,50.0000000000,US,,CABANİ POSTAN,,288,,,,,,
4926,k,10814,0,13291,3231,10000.0000000000,US,,İŞBANKASI LİNK (ANTREPO),,289,,,,,,
4926,k,11813,0,14289,3232,19900.0000000000,US,,2.LİNK TAHSİLATI,,290,,,,,,
4926,k,11814,0,14290,3233,16334.0000000000,US,,3.LİNK TAHSİLATI,,291,,,,,,
6929,k,11842,0,14319,3234,40.0000000000,US,,,,292,,,,,,
6929,k,11843,0,14320,3235,360.0000000000,US,,,,293,,,,,,
6964,k,11872,0,14362,3237,200.0000000000,US,,,,294,,,,,,
6968,k,11887,0,14377,3238,3770.0000000000,US,,,,295,,,,,,
6971,k,11888,0,14378,3239,1350.0000000000,US,,,,296,,,,,,
6976,k,11911,0,14404,3240,320.0000000000,US,,,,297,,,,,,
6977,k,11912,0,14405,3241,400.0000000000,US,,,,298,,,,,,
6984,k,11935,0,14428,3242,1000.0000000000,US,,,,299,,,,,,
6986,k,11941,0,14435,3243,3000.0000000000,US,,,,300,,,,,,
6993,k,11978,0,14482,3244,1000.0000000000,US,,,,301,,,,,,
7003,k,12000,0,14514,3245,900.0000000000,US,,,,302,,,,,,
8006,k,13016,0,15531,3246,284.0000000000,US,,,,303,,,,,,
8029,k,13028,0,15550,3247,446.0000000000,US,,,,304,,,,,,
8041,k,13044,0,15566,3248,1150.0000000000,US,,,,305,,,,,,
8044,k,13049,0,15571,3249,1762.0000000000,US,,,,306,,,,,,
8055,k,13064,0,15590,3250,500.0000000000,US,,,,307,,,,,,
8072,k,13089,0,15618,3251,572.0000000000,US,,,,308,,,,,,
8073,k,13112,0,15650,3252,500.0000000000,US,,,,309,,,,,,
8106,k,13171,0,15724,3253,500.0000000000,US,,,,310,,,,,,
8151,k,13345,0,15965,3258,3600.0000000000,US,,,,311,,,,,,
8175,k,13281,0,15888,3254,2800.0000000000,US,,,,312,,,,,,
8176,k,13282,0,15889,3255,1500.0000000000,US,,,,313,,,,,,
8199,k,13329,0,15945,3256,3400.0000000000,US,,,,314,,,,,,
8202,k,13333,0,15949,3257,600.0000000000,US,,,,315,,,,,,
8224,k,13356,0,15976,3259,400.0000000000,US,,,,316,,,,,,
8225,k,13357,0,15977,3260,300.0000000000,US,,,,317,,,,,,
8225,k,13358,0,15978,3261,80.0000000000,US,,,,318,,,,,,
8232,k,13383,0,16004,3262,500.0000000000,US,,,,319,,,,,,
8240,k,13427,0,16207,3263,400.0000000000,US,,,,320,,,,,,
8241,k,13432,0,16212,3264,500.0000000000,US,,,,321,,,,,,
8249,k,13439,0,16228,3265,920.0000000000,US,,,,322,,,,,,
8259,k,13445,0,16238,3266,300.0000000000,US,,,,323,,,,,,
8262,k,13446,0,16239,3267,1000.0000000000,US,,,,324,,,,,,
8288,k,13460,0,16267,3268,500.0000000000,US,,,,325,,,,,,
8296,k,13493,0,16301,3269,400.0000000000,US,,,,326,,,,,,
8301,k,13498,0,16306,3270,800.0000000000,US,,,,327,,,,,,
8314,k,13538,0,16354,3271,1000.0000000000,US,,,,328,,,,,,
8323,k,13609,0,16436,3272,220.0000000000,US,,,,329,,,,,,
8324,k,13681,0,16536,3277,1260.0000000000,US,,,,330,,,,,,
8325,k,13647,0,16492,3273,1000.0000000000,US,,,,331,,,,,,
8325,k,13963,0,16892,3290,4686.0000000000,US,,,,332,,,,,,
8338,k,13650,0,16495,3274,1100.0000000000,US,,,,333,,,,,,
8339,k,13657,0,16511,3275,200.0000000000,US,,,,334,,,,,,
8348,k,13680,0,16535,3276,440.0000000000,US,,,,335,,,,,,
8352,k,13687,0,16543,3278,1000.0000000000,US,,,,336,,,,,,
8354,k,13730,0,16596,3280,1200.0000000000,US,,,,337,,,,,,
8358,k,13720,0,16584,3279,1000.0000000000,US,,,,338,,,,,,
8373,k,13756,0,16626,3281,414.0000000000,US,,,,339,,,,,,
8380,k,13822,0,16725,3284,1700.0000000000,US,,,,340,,,,,,
8381,k,13802,0,16694,3282,220.0000000000,US,,,,341,,,,,,
8387,k,13821,0,16724,3283,1400.0000000000,US,,,,342,,,,,,
8404,k,13833,0,16736,3285,424.0000000000,US,,,,343,,,,,,
8409,k,13860,0,16768,3287,3100.0000000000,US,,,,344,,,,,,
8423,k,13886,0,16801,3286,1414.0000000000,US,,,,345,,,,,,
8428,k,13902,0,16825,3287,3140.0000000000,US,,,,346,,,,,,
8435,k,13947,0,16876,3288,195.0000000000,US,,,,347,,,,,,
8439,k,13962,0,16891,3289,500.0000000000,US,,,,348,,,,,,
8440,k,14114,0,17097,3298,1400.0000000000,US,,,,349,,,,,,
8444,k,13974,0,16918,3291,1500.0000000000,US,,,,350,,,,,,
8455,k,13993,0,16941,3292,1000.0000000000,US,,,,351,,,,,,
8465,k,14001,0,16963,3293,2000.0000000000,US,,,,352,,,,,,
8475,k,14413,0,17476,3313,500.0000000000,US,,,,353,,,,,,
8477,k,14089,0,17064,3297,2700.0000000000,US,,,,354,,,,,,
8478,k,14065,0,17040,3294,2500.0000000000,US,,,,355,,,,,,
8486,k,14066,0,17041,3295,400.0000000000,US,,,,356,,,,,,
8488,k,14068,0,17043,3296,650.0000000000,US,,,,357,,,,,,
8504,k,14138,0,17125,3301,1000.0000000000,US,,,,358,,,,,,
8508,k,14115,0,17098,3299,1400.0000000000,US,,,,359,,,,,,
8522,k,14137,0,17124,3300,1000.0000000000,US,,,,360,,,,,,
8534,k,14166,0,17161,3303,1482.0000000000,US,,,,361,,,,,,
8542,k,14165,0,17160,3302,350.0000000000,US,,,,362,,,,,,
8542,k,14592,0,17697,3319,150.0000000000,US,,,,363,,,,,,
8545,k,14201,0,17199,3305,800.0000000000,US,,,,364,,,,,,
8548,k,14200,0,17198,3304,200.0000000000,US,,,,365,,,,,,
8549,k,14206,0,17204,3306,800.0000000000,US,,,,366,,,,,,
8560,k,14211,0,17209,3307,252.0000000000,US,,,,367,,,,,,
8571,k,14277,0,17293,3308,260.0000000000,US,,,,368,,,,,,
8580,k,14292,0,17326,3309,800.0000000000,US,,,,369,,,,,,
8598,k,14336,0,17395,3310,312.0000000000,US,,,,370,,,,,,
8606,k,14379,0,17442,3311,300.0000000000,US,,,,371,,,,,,
8608,k,14380,0,17443,3312,1050.0000000000,US,,,,372,,,,,,
8620,k,14414,0,17477,3314,1800.0000000000,US,,,,373,,,,,,
8627,k,14420,0,17483,3315,750.0000000000,US,,,,374,,,,,,
8633,k,14433,0,17500,3316,500.0000000000,US,,,,375,,,,,,
8643,k,14451,0,17531,3317,360.0000000000,US,,,,376,,,,,,
8655,k,14580,0,17683,3318,500.0000000000,US,,,,377,,,,,,
8660,k,14609,0,17724,3322,525.0000000000,US,,,,378,,,,,,
8673,k,14596,0,17706,3320,200.0000000000,US,,,,379,,,,,,
