EmirNo,EmirTarihi,Notu,ModelKod,Durum,Tip,Location,TerTarih,OzKod1,YazSay,OzKod2,insUN,insDT,updUN,updDT,MrpBasTar,MrpTerTar,kgid,insApp,updApp
2365,2022-08-26 10:24:13.137000,,113291,B,M,CA002,2022-09-30 14:35:29.920000,,3,,mujgan.saglam,2022-08-26 10:24:13.137000,uretim,2022-09-23 14:47:33.683000,,,24,,
2376,2022-08-29 10:05:19,,118284,B,M,CA002,2022-09-30 14:42:24.640000,,1,,mehmet.sari,2022-08-29 10:05:19.010000,uretim,2022-09-05 17:45:32.977000,,,25,,
2387,2022-09-19 17:26:10.867000,,118905,,M,CA002,2022-09-30 15:35:58.720000,,1,,mehmet.sari,2022-09-19 17:26:10.877000,mehmet.sari,2022-09-19 17:29:20.110000,,,26,,
2394,2022-09-02 08:18:24.373000,,113286,B,M,CA002,2022-09-30 14:54:30.400000,,5,,mehmet.sari,2022-09-02 08:18:24.373000,mehmet.sari,2022-09-06 14:04:37.040000,,,27,,
2455,2022-09-16 10:06:04.487000,,116485,B,M,CA002,2022-09-30 15:33:05.920000,,1,,mehmet.sari,2022-09-16 10:06:04.503000,uretim,2022-09-28 08:09:04.883000,,,28,,
2457,2022-09-16 16:56:40.500000,"",117798,B,M,CA002,2022-09-30 15:34:15.040000,,2,,mehmet.sari,2022-09-16 16:56:40.510000,mehmet.sari,2022-09-22 11:21:28.233000,,,29,,
2504,2022-09-28 10:46:44.493000,,117746,B,M,CA002,2022-09-30 16:06:30.400000,,3,,mehmet.sari,2022-09-28 10:46:44.497000,mehmet.sari,2022-12-01 08:16:43.517000,,,30,,
2521,2022-10-05 09:26:58.960000,"",113286,B,M,CA002,2022-09-30 16:16:52.480000,,1,,mehmet.sari,2022-10-05 09:26:58.970000,uretim,2022-10-10 08:15:01.563000,,,31,,
2540,2022-10-05 17:13:54.763000,"",118252,B,M,CA002,2022-09-30 16:27:49.120000,,1,,mehmet.sari,2022-10-05 17:13:54.777000,uretim,2022-10-31 10:31:44.173000,,,32,,
2544,2022-10-07 10:31:17.430000,"",119239,,M,CA002,2022-09-30 16:35:52.960000,,3,,mehmet.sari,2022-10-07 10:31:17.433000,mehmet.sari,2022-10-10 17:11:32.597000,,,33,,
2545,2022-10-06 11:08:04.670000,,119239,,M,CA002,2022-09-30 16:30:41.920000,,2,,mehmet.sari,2022-10-06 11:08:04.677000,mehmet.sari,2022-10-10 17:11:56.610000,,,34,,
2588,2022-10-13 14:00:46.097000,,115813,B,M,CA002,2022-09-30 16:58:55.360000,,3,,mehmet.sari,2022-10-13 14:00:46.097000,uretim,2022-10-17 15:02:27.067000,,,35,,
2592,2022-10-16 16:11:10.723000,"",112379,B,M,CA002,2022-09-30 17:01:13.600000,,1,,mehmet.sari,2022-10-16 16:11:10.723000,uretim,2022-10-18 17:22:56.637000,,,36,,
2604,2022-10-18 14:09:38.057000,,115294,B,M,CA002,2022-09-30 17:08:08.320000,,1,,mehmet.sari,2022-10-18 14:09:38.057000,uretim,2022-10-19 14:46:29.120000,,,37,,
2650,2022-10-26 15:17:24.547000,,113297,B,M,CA002,2022-09-30 17:34:38.080000,,1,,mehmet.sari,2022-10-26 15:17:24.553000,uretim,2022-10-31 11:15:01.213000,,,38,,
2652,2022-10-26 15:20:23.060000,,113289,B,M,CA002,2022-09-30 17:35:47.200000,,1,,mehmet.sari,2022-10-26 15:20:23.060000,uretim,2022-10-28 09:28:39.860000,,,39,,
2698,2022-11-08 08:16:21.703000,,113298,B,M,CA002,2022-09-30 18:04:00.640000,,1,,mehmet.sari,2022-11-08 08:16:21.707000,uretim,2022-11-08 15:24:58.450000,,,40,,
2711,2022-11-09 11:19:24.183000,,102307,B,M,CA002,2022-09-30 18:11:29.920000,,1,,mehmet.sari,2022-11-09 11:19:24.183000,uretim,2022-11-16 10:57:13.877000,,,41,,
2712,2022-11-09 16:49:50.823000,,115206,B,M,CA002,2022-09-30 18:14:22.720000,,2,,mehmet.sari,2022-11-09 16:49:50.823000,uretim,2022-11-14 08:17:44.420000,,,42,,
2759,2022-11-16 10:34:12.780000,,101807,B,M,CA002,2022-09-30 18:40:17.920000,,1,,mehmet.sari,2022-11-16 10:34:12.780000,uretim,2022-11-28 16:25:48.650000,,,43,,
2807,2022-11-21 16:03:23.440000,"",116764,B,M,CA002,2022-09-30 19:08:31.360000,,1,,mehmet.sari,2022-11-21 16:03:23.440000,uretim,2022-11-24 10:27:26.830000,,,44,,
2819,2022-11-23 10:36:39.360000,"",101518,B,M,CA002,2022-09-30 19:15:26.080000,,2,,mehmet.sari,2022-11-23 10:36:39.360000,mehmet.sari,2022-11-24 12:08:15.830000,,,45,,
2833,2022-11-25 16:38:31.217000,,102286,B,M,CA002,2022-09-30 19:23:29.920000,,1,,mehmet.sari,2022-11-25 16:38:31.220000,uretim,2022-11-28 08:02:43.823000,,,46,,
2846,2022-11-29 16:22:29.733000,,117746,B,M,CA002,2022-09-30 19:30:59.200000,,1,,mehmet.sari,2022-11-29 16:22:29.737000,uretim,2022-12-01 08:00:06.010000,,,47,,
2849,2022-11-30 08:48:19.600000,,115225,B,M,CA002,2022-09-30 19:32:42.880000,,1,,mehmet.sari,2022-11-30 08:48:19.600000,uretim,2022-12-05 17:14:01.667000,,,48,,
2920,2022-12-13 13:40:40.787000,,112487,B,M,CA002,2022-09-30 20:15:54.880000,,1,,mehmet.sari,2022-12-13 13:40:40.787000,uretim,2023-01-10 14:22:11.617000,,,49,,
2976,2022-12-23 16:12:26.420000,,117619,B,M,CA002,2022-09-30 20:48:44.800000,,1,,mehmet.sari,2022-12-23 16:12:26.423000,uretim,2022-12-26 08:21:14.683000,,,50,,
2998,2022-12-27 12:19:30.910000,,102572,B,M,CA002,2022-09-30 21:03:08.800000,,1,,mehmet.sari,2022-12-27 12:19:30.920000,uretim,2022-12-28 09:50:01.697000,,,51,,
3035,2023-01-05 14:50:51.947000,,118285,B,M,CA002,2022-09-30 21:29:04,,1,,mehmet.sari,2023-01-05 14:50:51.957000,uretim,2023-01-09 12:02:11.050000,,,52,,
3049,2023-01-10 10:05:31.457000,,120495,B,M,CA002,2022-09-30 21:38:51.520000,,1,,mehmet.sari,2023-01-10 10:05:31.460000,uretim,2023-01-16 08:31:04.283000,,,53,,
3051,2023-01-10 10:07:26.173000,,120495,B,M,CA002,2022-09-30 21:40:00.640000,,1,,mehmet.sari,2023-01-10 10:07:26.173000,uretim,2023-01-24 14:16:34.240000,,,54,,
3080,2023-01-18 09:54:52.013000,,120916,,M,CA002,2022-09-30 22:04:46.720000,,1,,mehmet.sari,2023-01-18 09:54:52.023000,mehmet.sari,2023-01-18 10:06:25.120000,,,55,,
3088,2023-01-18 08:21:28.430000,"",113286,B,M,CA002,2022-09-30 22:01:53.920000,,1,,mehmet.sari,2023-01-18 08:21:28.437000,uretim,2023-01-20 16:56:48.473000,,,56,,
3106,2023-01-20 15:05:26.503000,,114640,B,M,CA002,2022-09-30 22:12:50.560000,,1,,mehmet.sari,2023-01-20 15:05:26.510000,uretim,2023-01-23 08:09:49.400000,,,57,,
3120,2023-01-24 13:41:14.477000,,120495,B,M,CA002,2022-09-30 22:20:54.400000,,1,,mehmet.sari,2023-01-24 13:41:14.477000,uretim,2023-02-07 17:08:27.340000,,,58,,
3123,2023-01-24 13:45:06.653000,,120495,B,M,CA002,2022-09-30 22:22:38.080000,,1,,mehmet.sari,2023-01-24 13:45:06.657000,uretim,2023-02-01 17:31:25.857000,,,59,,
3145,2023-01-26 12:12:21.897000,,116592,B,M,CA002,2022-09-30 22:35:18.400000,,1,,mehmet.sari,2023-01-26 12:12:21.897000,uretim,2023-01-27 11:52:39.797000,,,60,,
3155,2023-01-27 08:18:13.607000,,117833,B,M,CA002,2022-09-30 22:41:04,,1,,mehmet.sari,2023-01-27 08:18:13.613000,uretim,2023-01-27 15:03:51.680000,,,61,,
3181,2023-02-01 16:24:14.397000,,102537,B,M,CA002,2022-09-30 22:56:37.120000,,1,,mehmet.sari,2023-02-01 16:24:14.397000,uretim,2023-02-02 16:42:13.430000,,,62,,
3182,2023-02-01 16:28:28.833000,,102537,B,M,CA002,2022-09-30 22:57:11.680000,,1,,mehmet.sari,2023-02-01 16:28:28.833000,uretim,2023-02-02 11:50:36.663000,,,63,,
3183,2023-02-01 16:30:25.697000,,102537,B,M,CA002,2022-09-30 22:57:46.240000,,1,,mehmet.sari,2023-02-01 16:30:25.697000,uretim,2023-02-03 08:05:27.020000,,,64,,
3184,2023-02-01 16:32:43.910000,,102537,B,M,CA002,2022-09-30 22:58:20.800000,,1,,mehmet.sari,2023-02-01 16:32:43.910000,uretim,2023-02-02 16:42:12.673000,,,65,,
3185,2023-02-01 16:36:25.440000,,102537,B,M,CA002,2022-09-30 22:58:55.360000,,1,,mehmet.sari,2023-02-01 16:36:25.440000,uretim,2023-02-06 14:20:22.483000,,,66,,
3205,2023-02-03 11:10:06.207000,,120078,B,M,CA002,2022-09-30 23:13:53.920000,,2,,mehmet.sari,2023-02-03 11:10:06.210000,uretim,2023-02-14 09:33:53.393000,,,67,,
3241,2023-02-13 11:04:42.990000,,120495,B,M,CA002,2022-09-30 23:32:54.400000,,1,,mehmet.sari,2023-02-13 11:04:42.990000,uretim,2023-02-14 17:33:52.310000,,,68,,
3242,2023-02-13 11:05:12.510000,,120495,B,M,CA002,2022-09-30 23:33:28.960000,,1,,mehmet.sari,2023-02-13 11:05:12.513000,uretim,2023-03-03 11:03:42.507000,,,69,,
3244,2023-02-13 11:14:03.023000,,120495,B,M,CA002,2022-09-30 23:34:38.080000,,1,,mehmet.sari,2023-02-13 11:14:03.023000,uretim,2023-03-02 13:50:22.720000,,,70,,
3281,2023-02-20 11:27:25.173000,,120495,B,M,CA002,2022-09-30 23:57:40.480000,,1,,mehmet.sari,2023-02-20 11:27:25.177000,uretim,2023-02-27 15:44:14.467000,,,71,,
3284,2023-02-20 11:33:40.707000,,120495,B,M,CA002,2022-09-30 23:59:24.160000,,1,,mehmet.sari,2023-02-20 11:33:40.707000,uretim,2023-02-21 14:31:03.330000,,,72,,
3294,2023-02-21 15:04:59.243000,"",121093,B,M,CA002,2022-10-01 00:05:09.760000,,2,,mehmet.sari,2023-02-21 15:04:59.243000,mehmet.sari,2023-03-16 16:33:22.290000,,,73,,
3367,2023-03-09 07:43:15.393000,,102537,B,M,CA002,2022-10-01 00:49:30.880000,,1,,mehmet.sari,2023-03-09 07:43:15.407000,uretim,2023-03-09 09:41:13.093000,,,74,,
3368,2023-03-09 07:43:53.880000,,102537,B,M,CA002,2022-10-01 00:50:05.440000,,1,,mehmet.sari,2023-03-09 07:43:53.880000,uretim,2023-03-09 09:41:12.663000,,,75,,
3431,2023-04-13 08:19:15.110000,,121147,B,M,CA002,2022-10-01 02:24:33.280000,,,,mehmet.sari,2023-04-13 08:19:15.117000,mehmet.sari,2023-04-13 08:23:09.183000,,,76,,
3520,2023-04-12 12:12:57.023000,,102563,B,M,CA002,2022-10-01 02:19:22.240000,,1,,mehmet.sari,2023-04-12 12:12:57.023000,uretim,2023-04-13 10:38:40.073000,,,77,,
3534,2023-04-17 10:30:16.023000,"",102567,B,M,CA002,2022-10-01 02:28:35.200000,,1,,mehmet.sari,2023-04-17 10:30:16.037000,uretim,2023-04-18 16:45:46.690000,,,78,,
3539,2023-04-17 11:39:27.043000,,112379,B,M,CA002,2022-10-01 02:31:28,,1,,mehmet.sari,2023-04-17 11:39:27.043000,uretim,2023-04-17 16:54:42.613000,,,79,,
3624,2023-05-05 10:16:06.333000,,121040,B,M,CA002,2022-10-01 03:20:25.600000,,1,,mehmet.sari,2023-05-05 10:16:06.333000,uretim,2023-05-10 12:07:25.710000,,,80,,
3653,2023-05-09 16:52:40.673000,,121093,B,M,CA002,2022-10-01 03:37:07.840000,,1,,mehmet.sari,2023-05-09 16:52:40.673000,uretim,2023-05-12 12:08:55.110000,,,81,,
3701,2023-05-22 17:00:06.463000,,121150,B,M,CA002,2022-10-01 04:08:14.080000,,1,,mehmet.sari,2023-05-22 17:00:06.463000,uretim,2023-05-24 08:14:08.923000,,,82,,
3705,2023-05-22 17:03:40.630000,,116764,B,M,CA002,2022-10-01 04:10:32.320000,,1,,mehmet.sari,2023-05-22 17:03:40.630000,uretim,2023-05-23 12:05:12.520000,,,83,,
3761,2023-06-05 12:17:26.440000,,115270,B,M,CA002,2022-10-01 04:46:15.040000,,1,,mehmet.sari,2023-06-05 12:17:26.440000,uretim,2023-06-12 07:54:16.577000,,,84,,
3784,2023-06-07 09:18:42.460000,"",121499,B,M,CA002,2022-10-01 04:59:29.920000,,1,,mehmet.sari,2023-06-07 09:18:42.470000,uretim,2023-06-12 09:12:31.877000,,,85,,
3820,2023-06-14 16:11:16.140000,,121727,B,M,CA002,2022-10-01 05:21:23.200000,,1,,mehmet.sari,2023-06-14 16:11:16.140000,uretim,2023-06-19 09:31:07.413000,,,86,,
3845,2023-06-21 09:50:20.330000,,111126,B,M,CA002,2022-10-01 05:35:47.200000,,1,,mehmet.sari,2023-06-21 09:50:20.330000,uretim,2023-06-23 16:42:31.147000,,,87,,
3930,2023-07-24 17:04:28.297000,"",121861,B,M,CA002,2022-10-01 06:27:03.040000,,1,,mehmet.sari,2023-07-24 17:04:28.297000,uretim,2023-08-02 08:50:23.710000,,,88,,
3932,2023-07-25 08:13:06.933000,"",122270,B,M,CA002,2022-10-01 06:28:12.160000,,1,,mehmet.sari,2023-07-25 08:13:06.940000,uretim,2023-08-04 10:26:29.057000,,,89,,
3957,2023-07-27 17:20:32.207000,,116485,B,M,CA002,2022-10-01 06:43:10.720000,,1,,mehmet.sari,2023-07-27 17:20:32.207000,uretim,2023-08-02 16:10:11.947000,,,90,,
3993,2023-08-04 09:01:53.280000,,112379,B,M,CA002,2022-10-01 07:04:29.440000,,1,,mehmet.sari,2023-08-04 09:01:53.280000,uretim,2023-08-07 17:39:38.180000,,,91,,
3997,2023-08-07 08:17:27.110000,,122269,B,M,CA002,2022-10-01 07:06:47.680000,,1,,mehmet.sari,2023-08-07 08:17:27.110000,uretim,2023-08-11 16:05:34.890000,,,92,,
4012,2023-08-07 17:18:05.140000,"",122110,B,M,CA002,2022-10-01 07:15:26.080000,,1,,mehmet.sari,2023-08-07 17:18:05.140000,uretim,2023-09-08 09:43:45.483000,,,93,,
4024,2023-08-11 09:43:44.693000,"",122888,B,M,CA002,2022-10-01 07:22:20.800000,,1,,mehmet.sari,2023-08-11 09:43:44.703000,uretim,2023-08-28 08:40:50.703000,,,94,,
4033,2023-08-14 16:01:15.930000,"",122830,B,M,CA002,2022-10-01 07:27:31.840000,,1,,mehmet.sari,2023-08-14 16:01:15.940000,uretim,2023-08-21 10:41:20.013000,,,95,,
4059,2023-08-16 17:26:26.663000,,121039,B,M,CA002,2022-10-01 07:42:30.400000,,1,,mehmet.sari,2023-08-16 17:26:26.677000,uretim,2023-09-05 07:58:21.313000,,,96,,
4069,2023-08-17 14:42:55.213000,"",121062,B,M,CA002,2022-10-01 07:48:50.560000,,1,,mehmet.sari,2023-08-17 14:42:55.213000,uretim,2023-08-22 09:53:01.633000,,,97,,
4079,2023-08-18 15:56:04.913000,,112570,,M,CA002,2022-10-01 07:55:10.720000,,2,,mehmet.sari,2023-08-18 15:56:04.913000,mehmet.sari,2023-08-23 09:04:18.050000,,,98,,
4095,2023-08-23 09:18:25.310000,,118288,B,M,CA002,2022-10-01 08:04:23.680000,,1,,mehmet.sari,2023-08-23 09:18:25.310000,uretim,2023-08-31 10:29:54.803000,,,99,,
4138,2023-08-28 10:06:12.257000,"",120893,B,M,CA002,2022-10-01 08:29:44.320000,,1,,mehmet.sari,2023-08-28 10:06:12.257000,uretim,2023-09-04 17:20:17.430000,,,100,,
4218,2023-09-13 17:27:55.897000,"",121147,B,M,CA002,2022-10-01 09:16:58.240000,,2,,mehmet.sari,2023-09-29 12:21:15.990000,mehmet.sari,2023-09-29 12:21:43.390000,,,101,,
4225,2023-09-14 11:18:41.747000,,123027,B,M,CA002,2022-10-01 09:21:00.160000,,1,,mehmet.sari,2023-09-14 11:18:41.747000,uretim,2023-09-18 16:15:23.130000,,,102,,
4268,2023-09-21 12:39:12.117000,,113286,B,M,CA002,2022-10-01 09:45:46.240000,,1,,mehmet.sari,2023-09-21 12:39:12.117000,uretim,2023-09-25 16:40:03.370000,,,103,,
4298,2023-09-25 08:53:11.977000,,121353,B,M,CA002,2022-10-01 10:03:03.040000,,1,,mehmet.sari,2023-09-25 08:53:11.977000,uretim,2023-09-28 11:59:15.947000,,,104,,
4325,2023-09-27 09:43:19.200000,,121150,B,M,CA002,2022-10-01 10:18:36.160000,,2,,mehmet.sari,2023-09-27 09:43:19.200000,selimkorgun,2023-10-02 16:25:42.800000,,,105,,
4326,2023-09-27 09:52:03.353000,,121150,B,M,CA002,2022-10-01 10:19:10.720000,,1,,mehmet.sari,2023-09-27 09:52:03.353000,selimkorgun,2023-10-02 16:25:48.320000,,,106,,
4328,2023-09-27 10:54:51.333000,,123123,B,M,CA002,2022-10-01 10:20:19.840000,,1,,mehmet.sari,2023-09-27 10:54:51.333000,selimkorgun,2023-10-09 08:40:16.680000,,,107,,
4345,2023-09-29 14:29:50.440000,,116592,B,M,CA002,2022-10-01 10:30:07.360000,,1,,mehmet.sari,2023-09-29 14:29:50.440000,selimkorgun,2023-10-04 14:01:17.287000,,,108,,
4348,2023-10-02 17:12:32.987000,,113298,B,M,CA002,2022-10-01 10:31:51.040000,,1,,mehmet.sari,2023-10-02 17:12:32.987000,selimkorgun,2023-10-06 17:28:29.200000,,,109,,
4374,2023-10-06 17:01:36.203000,,121040,B,M,CA002,2022-10-01 10:46:49.600000,,1,,mehmet.sari,2023-10-06 17:01:36.203000,selimkorgun,2023-10-12 12:13:03.770000,,,110,,
4387,2023-10-09 16:38:27.637000,,121040,B,M,CA002,2022-10-01 10:54:18.880000,,3,,mehmet.sari,2023-10-09 16:38:27.637000,selimkorgun,2023-10-30 15:07:34.367000,,,111,,
4388,2023-10-09 16:40:35.470000,,121040,B,M,CA002,2022-10-01 10:54:53.440000,,2,,mehmet.sari,2023-10-09 16:40:35.470000,selimkorgun,2023-11-07 08:38:41.173000,,,112,,
4389,2023-10-09 16:42:37.270000,,121040,B,M,CA002,2022-10-01 10:55:28,,2,,mehmet.sari,2023-10-09 16:42:37.270000,selimkorgun,2023-10-20 08:13:04.310000,,,113,,
4391,2023-10-09 16:46:17.830000,,121040,B,M,CA002,2022-10-01 10:56:37.120000,,2,,mehmet.sari,2023-10-09 16:46:17.830000,selimkorgun,2023-10-20 08:39:37.843000,,,114,,
4392,2023-10-09 16:46:48.443000,,121040,B,M,CA002,2022-10-01 10:57:11.680000,,12,,mehmet.sari,2023-10-09 16:46:48.443000,selimkorgun,2023-10-20 10:56:05.080000,,,115,,
4406,2023-10-11 09:54:41.830000,,123161,B,M,CA002,2022-10-01 11:05:15.520000,,1,,mehmet.sari,2023-10-11 09:54:41.830000,selimkorgun,2023-10-16 08:33:32.177000,,,116,,
4410,2023-10-11 11:34:19.520000,,121034,B,M,CA002,2022-10-01 11:07:33.760000,,1,,mehmet.sari,2023-10-11 11:34:19.520000,selimkorgun,2023-10-19 08:44:13.530000,,,117,,
4417,2023-10-11 16:20:32.413000,,111075,B,M,CA002,2022-10-01 11:11:35.680000,,1,,mehmet.sari,2023-10-11 16:20:32.417000,selimkorgun,2023-10-18 10:45:36.973000,,,118,,
4445,2023-10-13 14:27:46.637000,"",115270,B,M,CA002,2022-10-01 11:27:43.360000,,1,,mehmet.sari,2023-10-13 14:27:46.637000,selimkorgun,2023-10-19 17:13:26.793000,,,119,,
4459,2023-10-20 13:51:53.587000,,117816,B,M,CA002,2022-10-01 11:35:47.200000,,1,,mehmet.sari,2023-10-20 13:51:53.587000,selimkorgun,2023-10-26 16:16:56.683000,,,120,,
4461,2023-10-20 14:04:09.677000,"",115813,B,M,CA002,2022-10-01 11:36:56.320000,,1,,mehmet.sari,2023-10-20 14:04:09.680000,selimkorgun,2023-10-24 10:18:27.917000,,,121,,
4463,2023-10-20 14:19:25.820000,"",117874,B,M,CA002,2022-10-01 11:38:05.440000,,1,,mehmet.sari,2023-10-20 14:19:25.820000,selimkorgun,2023-10-24 10:18:24.747000,,,122,,
4467,2023-10-23 08:18:43.520000,,113298,B,M,CA002,2022-10-01 11:40:23.680000,,1,,mehmet.sari,2023-10-23 08:18:43.527000,selimkorgun,2023-10-25 17:27:19.303000,,,123,,
4468,2023-10-23 08:34:54.003000,,120164,B,M,CA002,2022-10-01 11:40:58.240000,,1,,mehmet.sari,2023-10-23 08:34:54.017000,selimkorgun,2023-10-27 10:42:44.573000,,,124,,
4469,2023-10-23 08:59:45.093000,,101886,B,M,CA002,2022-10-01 11:41:32.800000,,1,,mehmet.sari,2023-10-23 08:59:45.097000,selimkorgun,2023-10-26 15:16:15.267000,,,125,,
4470,2023-10-23 09:17:51.480000,,102531,B,M,CA002,2022-10-01 11:42:07.360000,,1,,mehmet.sari,2023-10-23 09:17:51.483000,selimkorgun,2023-10-30 08:18:29.087000,,,126,,
4471,2023-10-23 09:34:46.443000,,102531,B,M,CA002,2022-10-01 11:42:41.920000,,1,,mehmet.sari,2023-10-23 09:34:46.447000,selimkorgun,2023-10-30 08:18:28.620000,,,127,,
4475,2023-10-23 12:58:18.260000,,123021,B,M,CA002,2022-10-01 11:45:00.160000,,1,,mehmet.sari,2023-10-23 12:58:18.263000,selimkorgun,2023-11-02 08:15:00.930000,,,128,,
4477,2023-11-02 17:06:21.257000,,123022,B,M,CA002,2022-10-01 12:30:30.400000,,1,,busraelarslan,2023-11-02 17:06:21.257000,selimkorgun,2023-11-06 09:26:08.123000,,,129,,
4481,2023-10-25 10:32:05.063000,,119239,B,M,CA002,2022-10-01 11:48:27.520000,,1,,mehmet.sari,2023-10-25 10:32:05.063000,selimkorgun,2023-11-02 08:15:05.430000,,,130,,
4483,2023-11-01 17:02:05.307000,,123195,,M,CA002,2022-10-01 12:27:37.600000,,,,busraelarslan,2023-11-01 17:02:05.307000,busraelarslan,2023-11-01 17:02:38.577000,,,131,,
4484,2023-10-25 12:09:16,,123196,B,M,CA002,2022-10-01 11:50:11.200000,,1,,mehmet.sari,2023-10-25 12:09:16,selimkorgun,2023-11-02 09:48:11.040000,,,132,,
4485,2023-10-25 12:30:50.237000,,116485,B,M,CA002,2022-10-01 11:50:45.760000,,1,,mehmet.sari,2023-10-25 12:30:50.237000,selimkorgun,2023-10-30 16:44:34.670000,,,133,,
4486,2023-10-25 12:35:55.147000,,123112,B,M,CA002,2022-10-01 11:51:20.320000,,1,,mehmet.sari,2023-10-25 12:35:55.147000,selimkorgun,2023-10-26 13:55:02.600000,,,134,,
