SKod,Modul,MKod,kgid,insUN,insDT,insApp,updUN,updDT,updApp
101519,B,206,10,,,,,,
101519,B,207,11,,,,,,
101809,B,155,12,,,,,,
101809,B,156,13,,,,,,
101809,B,157,14,,,,,,
101809,B,158,15,,,,,,
101809,B,159,16,,,,,,
101809,B,160,17,,,,,,
101809,B,161,18,,,,,,
101809,B,162,19,,,,,,
101809,B,168,20,,,,,,
101809,B,206,21,,,,,,
101809,B,207,22,,,,,,
102.100,B,155,23,,,,,,
102.100,B,156,24,,,,,,
102.100,B,157,25,,,,,,
102.100,B,158,26,,,,,,
102.100,B,159,27,,,,,,
102.100,B,160,28,,,,,,
102.100,B,161,29,,,,,,
102.100,B,162,30,,,,,,
102.100,B,168,31,,,,,,
102.100,B,206,32,,,,,,
102.100,B,207,33,,,,,,
102.1000,B,155,34,,,,,,
102.1000,B,156,35,,,,,,
102.1000,B,157,36,,,,,,
102.1000,B,158,37,,,,,,
102.1000,B,159,38,,,,,,
102.1000,B,160,39,,,,,,
102.1000,B,161,40,,,,,,
102.1000,B,162,41,,,,,,
102.1000,B,168,42,,,,,,
102.1000,B,206,43,,,,,,
102.1000,B,207,44,,,,,,
102503,B,155,45,,,,,,
102503,B,156,46,,,,,,
102503,B,157,47,,,,,,
102503,B,158,48,,,,,,
102503,B,159,49,,,,,,
102503,B,160,50,,,,,,
102503,B,161,51,,,,,,
102503,B,162,52,,,,,,
102503,B,168,53,,,,,,
102503,B,206,54,,,,,,
102503,B,207,55,,,,,,
102626,B,155,56,,,,,,
102626,B,156,57,,,,,,
102626,B,157,58,,,,,,
102626,B,158,59,,,,,,
102626,B,159,60,,,,,,
102626,B,160,61,,,,,,
102626,B,161,62,,,,,,
102626,B,162,63,,,,,,
102626,B,168,64,,,,,,
102626,B,206,65,,,,,,
102626,B,207,66,,,,,,
105-11M23270,B,157,49119,Guray,2024-03-08 13:10:04.747000,KGShop,,,
105-11M23270,B,158,49116,Guray,2024-03-08 13:10:04.720000,KGShop,,,
105-11M23270,B,159,49117,Guray,2024-03-08 13:10:04.730000,KGShop,,,
105-11M23270,B,160,49118,Guray,2024-03-08 13:10:04.737000,KGShop,,,
105-11M23270,B,161,49120,Guray,2024-03-08 13:10:04.753000,KGShop,,,
105214,B,155,67,,,,,,
105214,B,156,68,,,,,,
105214,B,157,69,,,,,,
105214,B,158,70,,,,,,
105214,B,159,71,,,,,,
105214,B,160,72,,,,,,
105214,B,161,73,,,,,,
105214,B,162,74,,,,,,
105214,B,168,75,,,,,,
105214,B,206,76,,,,,,
105214,B,207,77,,,,,,
111792,B,155,78,,,,,,
111792,B,156,79,,,,,,
111792,B,157,80,,,,,,
111792,B,158,81,,,,,,
111792,B,159,82,,,,,,
111792,B,160,83,,,,,,
111792,B,161,84,,,,,,
111792,B,162,85,,,,,,
111792,B,168,86,,,,,,
111792,B,206,87,,,,,,
111792,B,207,88,,,,,,
112571,B,155,89,,,,,,
112571,B,156,90,,,,,,
112571,B,157,91,,,,,,
112571,B,158,92,,,,,,
112571,B,159,93,,,,,,
112571,B,160,94,,,,,,
112571,B,161,95,,,,,,
112571,B,162,96,,,,,,
112571,B,168,97,,,,,,
112571,B,206,98,,,,,,
112571,B,207,99,,,,,,
112574,B,155,100,,,,,,
112574,B,156,101,,,,,,
112574,B,157,102,,,,,,
112574,B,158,103,,,,,,
112574,B,159,104,,,,,,
112574,B,160,105,,,,,,
112574,B,161,106,,,,,,
112574,B,162,107,,,,,,
112574,B,168,108,,,,,,
112574,B,206,109,,,,,,
112574,B,207,110,,,,,,
112576,B,155,111,,,,,,
112576,B,156,112,,,,,,
112576,B,157,113,,,,,,
112576,B,158,114,,,,,,
112576,B,159,115,,,,,,
112576,B,160,116,,,,,,
112576,B,161,117,,,,,,
112576,B,162,118,,,,,,
112576,B,168,119,,,,,,
112576,B,206,120,,,,,,
112576,B,207,121,,,,,,
112582,B,155,122,,,,,,
112582,B,156,123,,,,,,
112582,B,157,124,,,,,,
112582,B,158,125,,,,,,
112582,B,159,126,,,,,,
112582,B,160,127,,,,,,
112582,B,161,128,,,,,,
112582,B,162,129,,,,,,
112582,B,168,130,,,,,,
112582,B,206,131,,,,,,
112582,B,207,132,,,,,,
112730,B,156,133,,,,,,
112730,B,157,134,,,,,,
112730,B,158,135,,,,,,
112730,B,159,136,,,,,,
112730,B,160,137,,,,,,
112730,B,161,138,,,,,,
112730,B,162,139,,,,,,
112730,B,206,140,,,,,,
112730,B,249,141,,,,,,
112882,B,156,142,,,,,,
112882,B,157,143,,,,,,
112882,B,158,144,,,,,,
112882,B,159,145,,,,,,
112882,B,160,146,,,,,,
112882,B,161,147,,,,,,
112882,B,162,148,,,,,,
113228,B,157,149,,,,,,
113228,B,158,150,,,,,,
113228,B,159,151,,,,,,
113228,B,160,152,,,,,,
113228,B,161,153,,,,,,
116672,B,155,154,,,,,,
116672,B,156,155,,,,,,
116672,B,157,156,,,,,,
116672,B,158,157,,,,,,
116672,B,159,158,,,,,,
116672,B,160,159,,,,,,
116672,B,161,160,,,,,,
116672,B,162,161,,,,,,
116672,B,168,162,,,,,,
116672,B,206,163,,,,,,
116672,B,207,164,,,,,,
117243,B,155,165,,,,,,
117243,B,156,166,,,,,,
117243,B,157,167,,,,,,
117243,B,158,168,,,,,,
117243,B,159,169,,,,,,
117243,B,160,170,,,,,,
117243,B,161,171,,,,,,
117243,B,162,172,,,,,,
117243,B,168,173,,,,,,
117243,B,206,174,,,,,,
117243,B,207,175,,,,,,
117359,B,155,176,,,,,,
117359,B,156,177,,,,,,
117359,B,157,178,,,,,,
117359,B,158,179,,,,,,
117359,B,159,180,,,,,,
117359,B,160,181,,,,,,
117359,B,161,182,,,,,,
117359,B,162,183,,,,,,
117359,B,168,184,,,,,,
117359,B,206,185,,,,,,
117359,B,207,186,,,,,,
117360,B,155,187,,,,,,
117360,B,156,188,,,,,,
117360,B,157,189,,,,,,
117360,B,158,190,,,,,,
117360,B,159,191,,,,,,
117360,B,160,192,,,,,,
117360,B,161,193,,,,,,
117360,B,162,194,,,,,,
117360,B,168,195,,,,,,
117360,B,206,196,,,,,,
117360,B,207,197,,,,,,
117361,B,155,198,,,,,,
117361,B,156,199,,,,,,
117361,B,157,200,,,,,,
117361,B,158,201,,,,,,
117361,B,159,202,,,,,,
117361,B,160,203,,,,,,
117361,B,161,204,,,,,,
117361,B,162,205,,,,,,
117361,B,168,206,,,,,,
117361,B,206,207,,,,,,
117361,B,207,208,,,,,,
117362,B,155,209,,,,,,
117362,B,156,210,,,,,,
117362,B,157,211,,,,,,
117362,B,158,212,,,,,,
117362,B,159,213,,,,,,
117362,B,160,214,,,,,,
117362,B,161,215,,,,,,
117362,B,162,216,,,,,,
117362,B,168,217,,,,,,
117362,B,206,218,,,,,,
117362,B,207,219,,,,,,
117363,B,155,220,,,,,,
117363,B,156,221,,,,,,
117363,B,157,222,,,,,,
117363,B,158,223,,,,,,
117363,B,159,224,,,,,,
117363,B,160,225,,,,,,
117363,B,161,226,,,,,,
117363,B,162,227,,,,,,
117363,B,168,228,,,,,,
117363,B,206,229,,,,,,
117363,B,207,230,,,,,,
117364,B,155,231,,,,,,
117364,B,156,232,,,,,,
117364,B,157,233,,,,,,
117364,B,158,234,,,,,,
117364,B,159,235,,,,,,
117364,B,160,236,,,,,,
117364,B,161,237,,,,,,
117364,B,162,238,,,,,,
117364,B,168,239,,,,,,
117364,B,206,240,,,,,,
117364,B,207,241,,,,,,
117366,B,155,242,,,,,,
117366,B,156,243,,,,,,
117366,B,157,244,,,,,,
117366,B,158,245,,,,,,
117366,B,159,246,,,,,,
117366,B,160,247,,,,,,
117366,B,161,248,,,,,,
117366,B,162,249,,,,,,
117366,B,168,250,,,,,,
117366,B,206,251,,,,,,
117366,B,207,252,,,,,,
117367,B,155,253,,,,,,
117367,B,156,254,,,,,,
117367,B,157,255,,,,,,
117367,B,158,256,,,,,,
117367,B,159,257,,,,,,
117367,B,160,258,,,,,,
117367,B,161,259,,,,,,
117367,B,162,260,,,,,,
117367,B,168,261,,,,,,
117367,B,206,262,,,,,,
117367,B,207,263,,,,,,
117368,B,155,264,,,,,,
117368,B,156,265,,,,,,
117368,B,157,266,,,,,,
117368,B,158,267,,,,,,
117368,B,159,268,,,,,,
117368,B,160,269,,,,,,
117368,B,161,270,,,,,,
117368,B,162,271,,,,,,
117368,B,168,272,,,,,,
117368,B,206,273,,,,,,
117368,B,207,274,,,,,,
117369,B,155,275,,,,,,
117369,B,156,276,,,,,,
117369,B,157,277,,,,,,
117369,B,158,278,,,,,,
117369,B,159,279,,,,,,
117369,B,160,280,,,,,,
117369,B,161,281,,,,,,
117369,B,162,282,,,,,,
117369,B,168,283,,,,,,
117369,B,206,284,,,,,,
117369,B,207,285,,,,,,
117370,B,155,286,,,,,,
117370,B,156,287,,,,,,
117370,B,157,288,,,,,,
117370,B,158,289,,,,,,
117370,B,159,290,,,,,,
117370,B,160,291,,,,,,
117370,B,161,292,,,,,,
117370,B,162,293,,,,,,
117370,B,168,294,,,,,,
117370,B,206,295,,,,,,
117370,B,207,296,,,,,,
117371,B,155,297,,,,,,
117371,B,156,298,,,,,,
117371,B,157,299,,,,,,
117371,B,158,300,,,,,,
117371,B,159,301,,,,,,
117371,B,160,302,,,,,,
117371,B,161,303,,,,,,
117371,B,162,304,,,,,,
117371,B,168,305,,,,,,
117371,B,206,306,,,,,,
117371,B,207,307,,,,,,
117372,B,155,308,,,,,,
117372,B,156,309,,,,,,
117372,B,157,310,,,,,,
117372,B,158,311,,,,,,
117372,B,159,312,,,,,,
117372,B,160,313,,,,,,
117372,B,161,314,,,,,,
117372,B,162,315,,,,,,
117372,B,168,316,,,,,,
117372,B,206,317,,,,,,
117372,B,207,318,,,,,,
117373,B,155,319,,,,,,
117373,B,156,320,,,,,,
117373,B,157,321,,,,,,
117373,B,158,322,,,,,,
117373,B,159,323,,,,,,
117373,B,160,324,,,,,,
117373,B,161,325,,,,,,
117373,B,162,326,,,,,,
117373,B,168,327,,,,,,
117373,B,206,328,,,,,,
117373,B,207,329,,,,,,
117374,B,155,330,,,,,,
117374,B,156,331,,,,,,
117374,B,157,332,,,,,,
117374,B,158,333,,,,,,
117374,B,159,334,,,,,,
117374,B,160,335,,,,,,
117374,B,161,336,,,,,,
117374,B,162,337,,,,,,
117374,B,168,338,,,,,,
117374,B,206,339,,,,,,
117374,B,207,340,,,,,,
117375,B,155,341,,,,,,
117375,B,156,342,,,,,,
117375,B,157,343,,,,,,
117375,B,158,344,,,,,,
117375,B,159,345,,,,,,
117375,B,160,346,,,,,,
117375,B,161,347,,,,,,
117375,B,162,348,,,,,,
117375,B,168,349,,,,,,
117375,B,206,350,,,,,,
117375,B,207,351,,,,,,
117376,B,155,352,,,,,,
117376,B,156,353,,,,,,
117376,B,157,354,,,,,,
117376,B,158,355,,,,,,
117376,B,159,356,,,,,,
117376,B,160,357,,,,,,
117376,B,161,358,,,,,,
117376,B,162,359,,,,,,
117376,B,168,360,,,,,,
117376,B,206,361,,,,,,
117376,B,207,362,,,,,,
117377,B,155,363,,,,,,
117377,B,156,364,,,,,,
117377,B,157,365,,,,,,
117377,B,158,366,,,,,,
117377,B,159,367,,,,,,
117377,B,160,368,,,,,,
117377,B,161,369,,,,,,
117377,B,162,370,,,,,,
117377,B,168,371,,,,,,
117377,B,206,372,,,,,,
117377,B,207,373,,,,,,
117378,B,155,374,,,,,,
117378,B,156,375,,,,,,
117378,B,157,376,,,,,,
117378,B,158,377,,,,,,
117378,B,159,378,,,,,,
117378,B,160,379,,,,,,
117378,B,161,380,,,,,,
117378,B,162,381,,,,,,
117378,B,168,382,,,,,,
117378,B,206,383,,,,,,
117378,B,207,384,,,,,,
117379,B,155,385,,,,,,
117379,B,156,386,,,,,,
117379,B,157,387,,,,,,
117379,B,158,388,,,,,,
117379,B,159,389,,,,,,
117379,B,160,390,,,,,,
117379,B,161,391,,,,,,
117379,B,162,392,,,,,,
117379,B,168,393,,,,,,
117379,B,206,394,,,,,,
117379,B,207,395,,,,,,
117380,B,155,396,,,,,,
117380,B,156,397,,,,,,
117380,B,157,398,,,,,,
117380,B,158,399,,,,,,
117380,B,159,400,,,,,,
117380,B,160,401,,,,,,
117380,B,161,402,,,,,,
117380,B,162,403,,,,,,
117380,B,168,404,,,,,,
117380,B,206,405,,,,,,
117380,B,207,406,,,,,,
117381,B,155,407,,,,,,
117381,B,156,408,,,,,,
117381,B,157,409,,,,,,
117381,B,158,410,,,,,,
117381,B,159,411,,,,,,
117381,B,160,412,,,,,,
117381,B,161,413,,,,,,
117381,B,162,414,,,,,,
117381,B,168,415,,,,,,
117381,B,206,416,,,,,,
117381,B,207,417,,,,,,
117382,B,155,418,,,,,,
117382,B,156,419,,,,,,
117382,B,157,420,,,,,,
117382,B,158,421,,,,,,
117382,B,159,422,,,,,,
117382,B,160,423,,,,,,
117382,B,161,424,,,,,,
117382,B,162,425,,,,,,
117382,B,168,426,,,,,,
117382,B,206,427,,,,,,
117382,B,207,428,,,,,,
117383,B,155,429,,,,,,
117383,B,156,430,,,,,,
117383,B,157,431,,,,,,
117383,B,158,432,,,,,,
117383,B,159,433,,,,,,
117383,B,160,434,,,,,,
117383,B,161,435,,,,,,
117383,B,162,436,,,,,,
117383,B,168,437,,,,,,
117383,B,206,438,,,,,,
117383,B,207,439,,,,,,
117384,B,155,440,,,,,,
117384,B,156,441,,,,,,
117384,B,157,442,,,,,,
117384,B,158,443,,,,,,
117384,B,159,444,,,,,,
117384,B,160,445,,,,,,
117384,B,161,446,,,,,,
117384,B,162,447,,,,,,
117384,B,168,448,,,,,,
117384,B,206,449,,,,,,
117384,B,207,450,,,,,,
117385,B,155,451,,,,,,
117385,B,156,452,,,,,,
117385,B,157,453,,,,,,
117385,B,158,454,,,,,,
117385,B,159,455,,,,,,
117385,B,160,456,,,,,,
117385,B,161,457,,,,,,
117385,B,162,458,,,,,,
117385,B,168,459,,,,,,
117385,B,206,460,,,,,,
117385,B,207,461,,,,,,
117386,B,155,462,,,,,,
117386,B,156,463,,,,,,
117386,B,157,464,,,,,,
117386,B,158,465,,,,,,
117386,B,159,466,,,,,,
117386,B,160,467,,,,,,
117386,B,161,468,,,,,,
117386,B,162,469,,,,,,
117386,B,168,470,,,,,,
117386,B,206,471,,,,,,
117386,B,207,472,,,,,,
117387,B,155,473,,,,,,
117387,B,156,474,,,,,,
117387,B,157,475,,,,,,
117387,B,158,476,,,,,,
117387,B,159,477,,,,,,
117387,B,160,478,,,,,,
117387,B,161,479,,,,,,
117387,B,162,480,,,,,,
117387,B,168,481,,,,,,
117387,B,206,482,,,,,,
117387,B,207,483,,,,,,
117388,B,155,484,,,,,,
117388,B,156,485,,,,,,
117388,B,157,486,,,,,,
117388,B,158,487,,,,,,
117388,B,159,488,,,,,,
117388,B,160,489,,,,,,
117388,B,161,490,,,,,,
117388,B,162,491,,,,,,
117388,B,168,492,,,,,,
117388,B,206,493,,,,,,
117388,B,207,494,,,,,,
117389,B,155,495,,,,,,
117389,B,156,496,,,,,,
117389,B,157,497,,,,,,
117389,B,158,498,,,,,,
117389,B,159,499,,,,,,
117389,B,160,500,,,,,,
117389,B,161,501,,,,,,
117389,B,162,502,,,,,,
117389,B,168,503,,,,,,
117389,B,206,504,,,,,,
117389,B,207,505,,,,,,
117390,B,155,506,,,,,,
117390,B,156,507,,,,,,
117390,B,157,508,,,,,,
117390,B,158,509,,,,,,
117390,B,159,510,,,,,,
117390,B,160,511,,,,,,
117390,B,161,512,,,,,,
117390,B,162,513,,,,,,
117390,B,168,514,,,,,,
117390,B,206,515,,,,,,
117390,B,207,516,,,,,,
117391,B,155,517,,,,,,
117391,B,156,518,,,,,,
117391,B,157,519,,,,,,
117391,B,158,520,,,,,,
117391,B,159,521,,,,,,
117391,B,160,522,,,,,,
117391,B,161,523,,,,,,
117391,B,162,524,,,,,,
117391,B,168,525,,,,,,
117391,B,206,526,,,,,,
117391,B,207,527,,,,,,
117392,B,155,528,,,,,,
117392,B,156,529,,,,,,
117392,B,157,530,,,,,,
117392,B,158,531,,,,,,
117392,B,159,532,,,,,,
117392,B,160,533,,,,,,
117392,B,161,534,,,,,,
117392,B,162,535,,,,,,
117392,B,168,536,,,,,,
117392,B,206,537,,,,,,
117392,B,207,538,,,,,,
117393,B,155,539,,,,,,
117393,B,156,540,,,,,,
117393,B,157,541,,,,,,
117393,B,158,542,,,,,,
117393,B,159,543,,,,,,
117393,B,160,544,,,,,,
117393,B,161,545,,,,,,
117393,B,162,546,,,,,,
117393,B,168,547,,,,,,
117393,B,206,548,,,,,,
117393,B,207,549,,,,,,
117394,B,155,550,,,,,,
117394,B,156,551,,,,,,
117394,B,157,552,,,,,,
117394,B,158,553,,,,,,
117394,B,159,554,,,,,,
117394,B,160,555,,,,,,
117394,B,161,556,,,,,,
117394,B,162,557,,,,,,
117394,B,168,558,,,,,,
117394,B,206,559,,,,,,
117394,B,207,560,,,,,,
117395,B,155,561,,,,,,
117395,B,156,562,,,,,,
117395,B,157,563,,,,,,
117395,B,158,564,,,,,,
117395,B,159,565,,,,,,
117395,B,160,566,,,,,,
117395,B,161,567,,,,,,
117395,B,162,568,,,,,,
117395,B,168,569,,,,,,
117395,B,206,570,,,,,,
117395,B,207,571,,,,,,
117396,B,155,572,,,,,,
117396,B,156,573,,,,,,
117396,B,157,574,,,,,,
117396,B,158,575,,,,,,
117396,B,159,576,,,,,,
117396,B,160,577,,,,,,
117396,B,161,578,,,,,,
117396,B,162,579,,,,,,
117396,B,168,580,,,,,,
117396,B,206,581,,,,,,
117396,B,207,582,,,,,,
117397,B,155,583,,,,,,
117397,B,156,584,,,,,,
117397,B,157,585,,,,,,
117397,B,158,586,,,,,,
117397,B,159,587,,,,,,
117397,B,160,588,,,,,,
117397,B,161,589,,,,,,
117397,B,162,590,,,,,,
117397,B,168,591,,,,,,
117397,B,206,592,,,,,,
117397,B,207,593,,,,,,
117398,B,155,594,,,,,,
117398,B,156,595,,,,,,
117398,B,157,596,,,,,,
117398,B,158,597,,,,,,
117398,B,159,598,,,,,,
117398,B,160,599,,,,,,
117398,B,161,600,,,,,,
117398,B,162,601,,,,,,
117398,B,168,602,,,,,,
117398,B,206,603,,,,,,
117398,B,207,604,,,,,,
117399,B,155,605,,,,,,
117399,B,156,606,,,,,,
117399,B,157,607,,,,,,
117399,B,158,608,,,,,,
117399,B,159,609,,,,,,
117399,B,160,610,,,,,,
117399,B,161,611,,,,,,
117399,B,162,612,,,,,,
117399,B,168,613,,,,,,
117399,B,206,614,,,,,,
117399,B,207,615,,,,,,
117400,B,155,616,,,,,,
117400,B,156,617,,,,,,
117400,B,157,618,,,,,,
117400,B,158,619,,,,,,
117400,B,159,620,,,,,,
117400,B,160,621,,,,,,
117400,B,161,622,,,,,,
117400,B,162,623,,,,,,
117400,B,168,624,,,,,,
117400,B,206,625,,,,,,
117400,B,207,626,,,,,,
117401,B,155,627,,,,,,
117401,B,156,628,,,,,,
117401,B,157,629,,,,,,
117401,B,158,630,,,,,,
117401,B,159,631,,,,,,
117401,B,160,632,,,,,,
117401,B,161,633,,,,,,
117401,B,162,634,,,,,,
117401,B,168,635,,,,,,
117401,B,206,636,,,,,,
117401,B,207,637,,,,,,
117402,B,155,638,,,,,,
117402,B,156,639,,,,,,
117402,B,157,640,,,,,,
117402,B,158,641,,,,,,
117402,B,159,642,,,,,,
117402,B,160,643,,,,,,
117402,B,161,644,,,,,,
117402,B,162,645,,,,,,
117402,B,168,646,,,,,,
117402,B,206,647,,,,,,
117402,B,207,648,,,,,,
117403,B,155,649,,,,,,
117403,B,156,650,,,,,,
117403,B,157,651,,,,,,
117403,B,158,652,,,,,,
117403,B,159,653,,,,,,
117403,B,160,654,,,,,,
117403,B,161,655,,,,,,
117403,B,162,656,,,,,,
117403,B,168,657,,,,,,
117403,B,206,658,,,,,,
117403,B,207,659,,,,,,
117404,B,155,660,,,,,,
117404,B,156,661,,,,,,
117404,B,157,662,,,,,,
117404,B,158,663,,,,,,
117404,B,159,664,,,,,,
117404,B,160,665,,,,,,
117404,B,161,666,,,,,,
117404,B,162,667,,,,,,
117404,B,168,668,,,,,,
117404,B,206,669,,,,,,
117404,B,207,670,,,,,,
117405,B,155,671,,,,,,
117405,B,156,672,,,,,,
117405,B,157,673,,,,,,
117405,B,158,674,,,,,,
117405,B,159,675,,,,,,
117405,B,160,676,,,,,,
117405,B,161,677,,,,,,
117405,B,162,678,,,,,,
117405,B,168,679,,,,,,
117405,B,206,680,,,,,,
117405,B,207,681,,,,,,
117406,B,155,682,,,,,,
117406,B,156,683,,,,,,
117406,B,157,684,,,,,,
117406,B,158,685,,,,,,
117406,B,159,686,,,,,,
117406,B,160,687,,,,,,
117406,B,161,688,,,,,,
117406,B,162,689,,,,,,
117406,B,168,690,,,,,,
117406,B,206,691,,,,,,
117406,B,207,692,,,,,,
117407,B,155,693,,,,,,
117407,B,156,694,,,,,,
117407,B,157,695,,,,,,
117407,B,158,696,,,,,,
117407,B,159,697,,,,,,
117407,B,160,698,,,,,,
117407,B,161,699,,,,,,
117407,B,162,700,,,,,,
117407,B,168,701,,,,,,
117407,B,206,702,,,,,,
117407,B,207,703,,,,,,
117408,B,155,704,,,,,,
117408,B,156,705,,,,,,
117408,B,157,706,,,,,,
117408,B,158,707,,,,,,
117408,B,159,708,,,,,,
117408,B,160,709,,,,,,
117408,B,161,710,,,,,,
117408,B,162,711,,,,,,
117408,B,168,712,,,,,,
117408,B,206,713,,,,,,
117408,B,207,714,,,,,,
117409,B,155,715,,,,,,
117409,B,156,716,,,,,,
117409,B,157,717,,,,,,
117409,B,158,718,,,,,,
117409,B,159,719,,,,,,
117409,B,160,720,,,,,,
117409,B,161,721,,,,,,
117409,B,162,722,,,,,,
117409,B,168,723,,,,,,
117409,B,206,724,,,,,,
117409,B,207,725,,,,,,
117410,B,155,726,,,,,,
117410,B,156,727,,,,,,
117410,B,157,728,,,,,,
117410,B,158,729,,,,,,
117410,B,159,730,,,,,,
117410,B,160,731,,,,,,
117410,B,161,732,,,,,,
117410,B,162,733,,,,,,
117410,B,168,734,,,,,,
117410,B,206,735,,,,,,
117410,B,207,736,,,,,,
117411,B,155,737,,,,,,
117411,B,156,738,,,,,,
117411,B,157,739,,,,,,
117411,B,158,740,,,,,,
117411,B,159,741,,,,,,
117411,B,160,742,,,,,,
117411,B,161,743,,,,,,
117411,B,162,744,,,,,,
117411,B,168,745,,,,,,
117411,B,206,746,,,,,,
117411,B,207,747,,,,,,
117412,B,155,748,,,,,,
117412,B,156,749,,,,,,
117412,B,157,750,,,,,,
117412,B,158,751,,,,,,
117412,B,159,752,,,,,,
117412,B,160,753,,,,,,
117412,B,161,754,,,,,,
117412,B,162,755,,,,,,
117412,B,168,756,,,,,,
117412,B,206,757,,,,,,
117412,B,207,758,,,,,,
117413,B,155,759,,,,,,
117413,B,156,760,,,,,,
117413,B,157,761,,,,,,
117413,B,158,762,,,,,,
117413,B,159,763,,,,,,
117413,B,160,764,,,,,,
117413,B,161,765,,,,,,
117413,B,162,766,,,,,,
117413,B,168,767,,,,,,
117413,B,206,768,,,,,,
117413,B,207,769,,,,,,
117414,B,155,770,,,,,,
117414,B,156,771,,,,,,
117414,B,157,772,,,,,,
117414,B,158,773,,,,,,
117414,B,159,774,,,,,,
117414,B,160,775,,,,,,
117414,B,161,776,,,,,,
117414,B,162,777,,,,,,
117414,B,168,778,,,,,,
117414,B,206,779,,,,,,
117414,B,207,780,,,,,,
117415,B,155,781,,,,,,
117415,B,156,782,,,,,,
117415,B,157,783,,,,,,
117415,B,158,784,,,,,,
117415,B,159,785,,,,,,
117415,B,160,786,,,,,,
117415,B,161,787,,,,,,
117415,B,162,788,,,,,,
117415,B,168,789,,,,,,
117415,B,206,790,,,,,,
117415,B,207,791,,,,,,
117416,B,155,792,,,,,,
117416,B,156,793,,,,,,
117416,B,157,794,,,,,,
117416,B,158,795,,,,,,
117416,B,159,796,,,,,,
117416,B,160,797,,,,,,
117416,B,161,798,,,,,,
117416,B,162,799,,,,,,
117416,B,168,800,,,,,,
117416,B,206,801,,,,,,
117416,B,207,802,,,,,,
117417,B,155,803,,,,,,
117417,B,156,804,,,,,,
117417,B,157,805,,,,,,
117417,B,158,806,,,,,,
117417,B,159,807,,,,,,
117417,B,160,808,,,,,,
117417,B,161,809,,,,,,
117417,B,162,810,,,,,,
117417,B,168,811,,,,,,
117417,B,206,812,,,,,,
117417,B,207,813,,,,,,
117418,B,155,814,,,,,,
117418,B,156,815,,,,,,
117418,B,157,816,,,,,,
117418,B,158,817,,,,,,
117418,B,159,818,,,,,,
117418,B,160,819,,,,,,
117418,B,161,820,,,,,,
117418,B,162,821,,,,,,
117418,B,168,822,,,,,,
117418,B,206,823,,,,,,
117418,B,207,824,,,,,,
117419,B,155,825,,,,,,
