minx,FaturaNo,SipNo,Fatura_Miktari,ParaCinsi,kgid,insUN,insDT,insApp,updUN,updDT,updApp
5,2020000001786,1603,60.0,TL,113,,,,,,
5,2020000001789,,1.0,TL,114,,,,,,
5,2020000001810,1447,835.0,TL,115,,,,,,
5,2020000001822,,215.0,TL,116,,,,,,
5,2020000001827,1625,200.0,TL,117,,,,,,
5,2020000001829,,260.0,TL,118,,,,,,
5,2020000001883,,225.0,TL,119,,,,,,
5,2020000001950,1700,20.0,TL,120,,,,,,
5,2020000001977,,324.0,TL,121,,,,,,
5,2020000001978,1716,10.0,TL,122,,,,,,
5,2020000002158,,12.0,TL,123,,,,,,
5,2020000002176,,4.0,TL,124,,,,,,
5,2020000002265,,350.0,TL,125,,,,,,
5,2020000002398,1361,356.0,TL,126,,,,,,
5,2020000002495,1445,9.0,TL,127,,,,,,
5,2020000002499,1422,135.0,TL,128,,,,,,
5,2020000002730,1772,10.0,TL,129,,,,,,
5,2020000002837,,20.0,TL,130,,,,,,
5,2020000003009,,12.0,TL,131,,,,,,
5,2020000003086,,11.0,TL,132,,,,,,
5,2020000003112,,3.0,TL,133,,,,,,
5,2020000003180,,2.0,TL,134,,,,,,
5,2020000003256,,135.0,TL,135,,,,,,
5,2020000003257,,30.0,TL,136,,,,,,
5,2020000003296,,3.0,TL,137,,,,,,
5,2020000003370,,2.0,TL,138,,,,,,
5,2020000003479,,3.03,TL,139,,,,,,
5,2020000003733,1380,15.0,TL,140,,,,,,
5,2020000003761,1380,1.0,TL,141,,,,,,
5,2020000003764,1418,1.0,TL,142,,,,,,
5,2020000003780,1647,20.0,TL,143,,,,,,
5,2020000003787,1380,5.0,TL,144,,,,,,
5,2020000003878,1664,25.0,TL,145,,,,,,
5,2020000004139,1712,200.0,TL,146,,,,,,
5,2020000004806,,255.0,TL,147,,,,,,
5,2020000004926,,386.0,TL,148,,,,,,
5,2020000004972,,50.0,TL,149,,,,,,
5,2020000005155,,750.0,TL,150,,,,,,
5,2020000005241,,130.0,TL,151,,,,,,
5,2020000005271,1480,60.0,TL,152,,,,,,
5,2020000005391,,2.0,TL,153,,,,,,
5,2020000005607,,192.0,TL,154,,,,,,
5,2020000006025,1613,20.0,TL,155,,,,,,
5,2020000007715,,1320.0,TL,156,,,,,,
5,2020000009499,1382,30.0,TL,157,,,,,,
5,2020000009893,,192.0,TL,158,,,,,,
5,2020000010481,1612,50.0,TL,159,,,,,,
5,2020000011242,,190.0,TL,160,,,,,,
5,2020000011342,1693,192.0,TL,161,,,,,,
5,2020000013222,,10.0,TL,162,,,,,,
5,2020000021239,,560.0,TL,163,,,,,,
5,2020000022860,,775.0,TL,164,,,,,,
5,2020000023182,,140.0,TL,165,,,,,,
5,2020000023288,,4.0,TL,166,,,,,,
5,2020000026394,1516,185.0,TL,167,,,,,,
5,2020000026954,1601,442.0,TL,168,,,,,,
5,2020000027629,1601,30.0,TL,169,,,,,,
5,2020000029052,1610,250.0,TL,170,,,,,,
5,2020121400005,1684,8.0,TL,171,,,,,,
5,26803,,890.0,TL,172,,,,,,
5,26808,,490.0,TL,173,,,,,,
5,26815,,1330.0,TL,174,,,,,,
5,33517,1546,540.0,TL,175,,,,,,
5,33523,1677,130.0,TL,176,,,,,,
5,51958,,1.0,TL,177,,,,,,
5,629812,,1070.0,TL,178,,,,,,
5,67922,,1.0,TL,179,,,,,,
5,72560,,51.0,TL,180,,,,,,
5,92446,,16200.0,TL,181,,,,,,
