PARAD,MCTable,COLPLACE,FieldName,COLNAME,COLWidth,ColDispFormat,ToplamGoster,kgid,insUN,insDT,insApp,updUN,updDT,updApp
S3,0,2,CariKod_Tanim,Sipariş Cari Ko,142,,,105,,,,,,
S5,0,0,SipNo,Sipariş No,23,"#,###.##",,106,,,,,,
S5,0,1,SipTar,Sipariş Tarihi,68,,,107,,,,,,
S5,0,2,cariKod,Sipariş Cari Ko,101,,,108,,,,,,
S5,0,3,CariKod_Tanim,Sipariş Cari Ko,142,,,109,,,,,,
S5,0,4,TeslimTar,Termin Tarihi,78,,,110,,,,,,
S5,0,5,SipOzKod2,Sipariş Özel Ko,124,,,111,,,,,,
S5,0,6,SKod,Stok Kodu,76,,,112,,,,,,
S5,0,7,SKod_Tanim,Stok Kodu Tanım,124,,,113,,,,,,
S5,0,8,RKod,Renk,64,"#,###.##",,114,,,,,,
S5,0,9,RKod_Tanim,Renk Tanımı,304,,,115,,,,,,
S5,0,10,OzKod2,Özel Kod 2,66,,,116,,,,,,
S5,0,11,ROzKod2,Renk Özel Kod 2,100,,,117,,,,,,
S5,0,12,Resim,Resim,904,,,118,,,,,,
S5,0,13,Siparis_Miktari,Sipariş Miktarı,84,"#,###.##",,119,,,,,,
S5,0,14,CF2,Siparis Fiyatı,76,"#,###.##",,120,,,,,,
S5,0,15,ParaCinsi,Kur,23,,,121,,,,,,
S5,0,16,Birim,Birim,34,,,122,,,,,,
S5,0,17,FToplam,Fiş Toplamı,70,"#,##0.00",,123,,,,,,
S5,0,18,iskontoTut,İskonto Tutarı,83,"#,##0.00",,124,,,,,,
S5,0,19,Matrah,Matrah,64,"#,##0.00",,125,,,,,,
S5,0,20,Tutar,Tutar,40,"#,##0.00",,126,,,,,,
S5,0,21,Stok_Resim,Stok_Resim,71,,,127,,,,,,
S6,0,0,SipNo,Sipariş No,23,"#,###.##",,128,,,,,,
S6,0,1,SipTar,Sipariş Tarihi,68,,,129,,,,,,
S6,0,2,cariKod,Sipariş Cari Ko,101,,,130,,,,,,
S6,0,3,CariKod_Tanim,Sipariş Cari Ko,142,,,131,,,,,,
S6,0,4,TeslimTar,Termin Tarihi,78,,,132,,,,,,
S6,0,5,SipOzKod2,Sipariş Özel Ko,124,,,133,,,,,,
S6,0,6,SKod,Stok Kodu,76,,,134,,,,,,
S6,0,7,SKod_Tanim,Stok Kodu Tanım,124,,,135,,,,,,
S6,0,8,RKod,Renk,64,"#,###.##",,136,,,,,,
S6,0,9,RKod_Tanim,Renk Tanımı,304,,,137,,,,,,
S6,0,10,OzKod2,Özel Kod 2,66,,,138,,,,,,
S6,0,11,ROzKod2,Renk Özel Kod 2,100,,,139,,,,,,
S6,0,12,Resim,Resim,904,,,140,,,,,,
S6,0,13,Siparis_Miktari,Sipariş Miktarı,84,"#,###.##",,141,,,,,,
S6,0,14,CF2,Siparis Fiyatı,76,"#,###.##",,142,,,,,,
S6,0,15,ParaCinsi,Kur,23,,,143,,,,,,
S6,0,16,Birim,Birim,34,,,144,,,,,,
S6,0,17,FToplam,Fiş Toplamı,70,"#,##0.00",,145,,,,,,
S6,0,18,iskontoTut,İskonto Tutarı,83,"#,##0.00",,146,,,,,,
S6,0,19,Matrah,Matrah,64,"#,##0.00",,147,,,,,,
Banka_KK_Ekstresi,0,4,CariUnvan,CariUnvan,364,,,148,,,,,,
Banka_KK_Ekstresi,0,5,Vade,Vade,112,,,149,,,,,,
S6,0,20,Tutar,Tutar,40,"#,##0.00",,150,,,,,,
S6,0,21,Stok_Resim,Stok_Resim,71,,,151,,,,,,
Banka_KK_Ekstresi,0,6,Tutar,Tutar,64,"#,##0.00",*,152,,,,,,
Banka_KK_Ekstresi,0,8,ParaCinsi,ParaCinsi,57,,,153,,,,,,
Banka_KK_Ekstresi,0,9,OdTip,OdTip,64,,,154,,,,,,
Banka_KK_Ekstresi,0,10,Banka,Banka,94,,,155,,,,,,
Banka_KK_Ekstresi,0,11,Sube,Sube,94,,,156,,,,,,
Banka_KK_Ekstresi,0,12,Hesap,Hesap,184,,,157,,,,,,
Banka_KK_Ekstresi,0,13,FisTip,FisTip,28,,,158,,,,,,
Firma_Cek_Dokumu,0,0,PortfoyNo,Portföy No,51,"#,##0.##",,159,,,,,,
Firma_Cek_Dokumu,0,1,Banka,Banka,67,,,160,,,,,,
01 - Siparis Kalan R,0,0,cariKod,Sipariş Cari Ko,79,,,161,,,,,,
01 - Siparis Kalan R,0,1,CariKod_Tanim,Sipariş Cari Ko,150,,,162,,,,,,
01 - Siparis Kalan R,0,2,Siparis_Miktari,Sipariş Miktarı,60,"#,##0.####",*,163,,,,,,
01 - Siparis Kalan R,0,3,Birim,Birim,34,,,164,,,,,,
01 - Siparis Kalan R,0,4,Gonderilen,Gönderilen,53,"#,##0.####",*,165,,,,,,
01 - Siparis Kalan R,0,5,Faturalanan,Faturalanan,45,"#,##0.####",*,166,,,,,,
01 - Siparis Kalan R,0,6,Harici_Kapatilan,Harici Kapatıla,64,"#,##0.####",*,167,,,,,,
01 - Siparis Kalan R,0,7,Toplam_Kapatilan,Toplam Kapatıla,79,"#,##0.####",*,168,,,,,,
01 - Siparis Kalan R,0,8,Net_Kalan,Net Kalan,68,"#,##0.####",*,169,,,,,,
Firma_Cek_Dokumu,0,2,Sube,Şube,114,,,170,,,,,,
Firma_Cek_Dokumu,0,3,HesapNo,Hesap No,81,,,171,,,,,,
Firma_Cek_Dokumu,0,4,CekNo,Çek No,61,,,172,,,,,,
Firma_Cek_Dokumu,0,5,Vade,Vade,76,,,173,,,,,,
Firma_Cek_Dokumu,0,6,CMKod,Cari Kodu,94,,,174,,,,,,
Firma_Cek_Dokumu,0,7,CMKod_Tanim,Cari Kodu Tanım,151,,,175,,,,,,
Firma_Cek_Dokumu,0,8,Tutar,Tutar,64,"#,##0.00",*,176,,,,,,
Firma_Cek_Dokumu,0,9,ParaCinsi,Kur,23,,,177,,,,,,
Hayriye,0,0,OzKod3,Özel Kod 3,87,,,178,,,,,,
Hayriye,0,1,RKod_Tanim,Renk Tanımı,110,,,179,,,,,,
Hayriye,0,2,Siparis_Miktari,Sipariş Miktarı,112,"#,##0.##",,180,,,,,,
Hayriye,0,3,Birim,Birim,34,,,181,,,,,,
Hayriye,0,4,Stok_Resim,Stok_Resim,71,,,182,,,,,,
Kasa_Ekstresi,0,0,Fistar,Tarih,79,,,183,,,,,,
Kasa_Ekstresi,0,1,Cari,Hesap,74,,,184,,,,,,
Kasa_Ekstresi,0,2,Tanim,Tanim,141,,,185,,,,,,
Kasa_Ekstresi,0,3,HarAck,Aciklama,118,,,186,,,,,,
Kasa_Ekstresi,0,4,Borc,Borc,64,"#,##0.00",*,187,,,,,,
Kasa_Ekstresi,0,5,Alacak,Alacak,64,"#,##0.00",*,188,,,,,,
Kasa_Ekstresi,0,6,Bakiye,Bakiye,64,"#,##0.00",*,189,,,,,,
Kasa_Ekstresi,0,7,ParaCinsi,ParaCinsi,45,,,190,,,,,,
S9,0,0,SipNo,Sipariş No,23,"#,###.##",,191,,,,,,
S9,0,1,SipTar,Sipariş Tarihi,68,,,192,,,,,,
S9,0,2,cariKod,Sipariş Cari Ko,101,,,193,,,,,,
S9,0,3,CariKod_Tanim,Sipariş Cari Ko,142,,,194,,,,,,
S9,0,4,TeslimTar,Termin Tarihi,78,,,195,,,,,,
S9,0,5,SipOzKod2,Sipariş Özel Ko,124,,,196,,,,,,
S9,0,6,SKod,Stok Kodu,76,,,197,,,,,,
S9,0,7,SKod_Tanim,Stok Kodu Tanım,124,,,198,,,,,,
S9,0,8,RKod,Renk,64,"#,###.##",,199,,,,,,
S9,0,9,RKod_Tanim,Renk Tanımı,304,,,200,,,,,,
S9,0,10,OzKod2,Özel Kod 2,66,,,201,,,,,,
S9,0,11,ROzKod2,Renk Özel Kod 2,100,,,202,,,,,,
S9,0,12,Resim,Resim,904,,,203,,,,,,
S9,0,13,Siparis_Miktari,Sipariş Miktarı,84,"#,###.##",,204,,,,,,
S9,0,14,CF2,Siparis Fiyatı,76,"#,###.##",,205,,,,,,
S9,0,15,ParaCinsi,Kur,23,,,206,,,,,,
S9,0,16,Birim,Birim,34,,,207,,,,,,
S9,0,17,FToplam,Fiş Toplamı,70,"#,##0.00",,208,,,,,,
S9,0,18,iskontoTut,İskonto Tutarı,83,"#,##0.00",,209,,,,,,
S9,0,19,Matrah,Matrah,64,"#,##0.00",,210,,,,,,
S9,0,20,Tutar,Tutar,40,"#,##0.00",,211,,,,,,
S9,0,21,Stok_Resim,Stok_Resim,71,,,212,,,,,,
S10,0,0,SipTar,Sipariş Tarihi,112,,,213,,,,,,
S10,0,1,cariKod,Sipariş Cari Ko,94,,,214,,,,,,
S10,0,2,CariKod_Tanim,Sipariş Cari Ko,364,,,215,,,,,,
S10,0,3,SKod,Stok Kodu,94,,,216,,,,,,
S10,0,4,SKod_Tanim,Stok Kodu Tanım,304,,,217,,,,,,
S10,0,5,SipNo,Sipariş No,142,"#,###.##",,218,,,,,,
S10,0,6,TeslimTar,Termin Tarihi,78,,,219,,,,,,
S10,0,7,SipOzKod2,Sipariş Özel Ko,124,,,220,,,,,,
S10,0,8,RKod,Renk,64,"#,###.##",,221,,,,,,
S10,0,9,RKod_Tanim,Renk Tanımı,304,,,222,,,,,,
S10,0,10,ROzKod2,Renk Özel Kod 2,304,,,223,,,,,,
S10,0,11,OzKod2,Özel Kod 2,100,,,224,,,,,,
S10,0,12,Resim,Resim,904,,,225,,,,,,
S10,0,13,Siparis_Miktari,Sipariş Miktarı,84,"#,###.##",,226,,,,,,
S10,0,14,Birim,Birim,34,,,227,,,,,,
S10,0,15,FToplam,Fiş Toplamı,68,"#,##0.00",,228,,,,,,
S10,0,16,iskontoTut,İskonto Tutarı,83,"#,##0.00",,229,,,,,,
S10,0,17,Matrah,Matrah,64,"#,##0.00",,230,,,,,,
S10,0,18,Tutar,Tutar,64,"#,##0.00",,231,,,,,,
S10,0,19,ParaCinsi,Kur,23,,,232,,,,,,
S10,0,20,Stok_Resim,Stok_Resim,71,,,233,,,,,,
S10,0,21,CF2,Siparis Fiyatı,71,"#,###.##",,234,,,,,,
S11,0,0,SipTar,Sipariş Tarihi,112,,,235,,,,,,
S11,0,1,cariKod,Sipariş Cari Ko,94,,,236,,,,,,
S11,0,2,CariKod_Tanim,Sipariş Cari Ko,364,,,237,,,,,,
S11,0,3,SKod,Stok Kodu,94,,,238,,,,,,
S11,0,4,SKod_Tanim,Stok Kodu Tanım,304,,,239,,,,,,
S11,0,5,SipNo,Sipariş No,142,"#,###.##",,240,,,,,,
S11,0,6,TeslimTar,Termin Tarihi,78,,,241,,,,,,
S11,0,7,SipOzKod2,Sipariş Özel Ko,124,,,242,,,,,,
S11,0,8,RKod,Renk,64,"#,###.##",,243,,,,,,
S11,0,9,RKod_Tanim,Renk Tanımı,304,,,244,,,,,,
S11,0,10,ROzKod2,Renk Özel Kod 2,304,,,245,,,,,,
S11,0,11,OzKod2,Özel Kod 2,100,,,246,,,,,,
S11,0,12,Resim,Resim,904,,,247,,,,,,
S11,0,13,Siparis_Miktari,Sipariş Miktarı,84,"#,###.##",,248,,,,,,
S11,0,14,Birim,Birim,34,,,249,,,,,,
S11,0,15,FToplam,Fiş Toplamı,68,"#,##0.00",,250,,,,,,
S11,0,16,iskontoTut,İskonto Tutarı,83,"#,##0.00",,251,,,,,,
S11,0,17,Matrah,Matrah,64,"#,##0.00",,252,,,,,,
S11,0,18,Tutar,Tutar,64,"#,##0.00",,253,,,,,,
S11,0,19,ParaCinsi,Kur,23,,,254,,,,,,
S11,0,20,Stok_Resim,Stok_Resim,71,,,255,,,,,,
S11,0,21,CF2,Siparis Fiyatı,71,"#,###.##",,256,,,,,,
r1,0,0,SKod,Stok Kodu,81,,,257,,,,,,
r1,0,1,ROzKod2,Renk Özel Kod 2,145,,,258,,,,,,
r1,0,2,OzKod2,Özel Kod 2,66,,,259,,,,,,
r1,0,3,CariKod_Tanim,Cari Tanım,122,,,260,,,,,,
r1,0,4,irsaliyeNo,İrsaliye No,82,,,261,,,,,,
r1,0,5,Fatura_Miktari,İrsaliye Miktar,34,"#,###.##",,262,,,,,,
r1,0,6,StokFiyat,Stok Fiyatı,64,"#,###.##",,263,,,,,,
r1,0,7,ParaCinsi,Kur,23,,,264,,,,,,
r1,0,8,Stok_Resim,Stok_Resim,71,,,265,,,,,,
Banka_KK_Ekstresi,0,7,Masraf,Masraf,64,"#,##0.00",,266,,,,,,
01 - Cari_Hesap_List,0,0,CKod,Cari Kod,60,,,267,,,,,,
01 - Cari_Hesap_List,0,1,CName,Cari Adı,124,,,268,,,,,,
01 - Cari_Hesap_List,0,2,ParaCinsi,ParaCinsi,24,,,269,,,,,,
01 - Cari_Hesap_List,0,3,Borc,Borc,64,"#,##0.00",*,270,,,,,,
01 - Cari_Hesap_List,0,4,Alacak,Alacak,64,"#,##0.00",*,271,,,,,,
01 - Cari_Hesap_List,0,5,BBakiye,Borç Bakiye,72,"#,##0.00",*,272,,,,,,
01 - Cari_Hesap_List,0,6,ABakiye,Alacak Bakiye,83,"#,##0.00",*,273,,,,,,
01 - Cari_Hesap_List,0,7,SonBakiye,Bakiye,64,"#,##0.00",*,274,,,,,,
01 - Cari Islem List,0,0,Aciklama,Aciklama,166,,,275,,,,,,
01 - Cari Islem List,0,1,cbpg,Cari Kod,73,,,276,,,,,,
01 - Cari Islem List,0,2,cbpg_Tanim,Cari Kod Tanımı,227,,,277,,,,,,
01 - Cari Islem List,0,3,Tutar,Tutar,76,"#,##0.00",*,278,,,,,,
01 - Cari Islem List,0,4,ParaCinsi,ParaCinsi,33,,,279,,,,,,
02 - Cari Islem Deta,0,0,FisNo,FisNo,37,"#,##0.###",,280,,,,,,
02 - Cari Islem Deta,0,1,FisTar,İşlem Tarihi,65,,,281,,,,,,
02 - Cari Islem Deta,0,3,cbpg,Cari Kod,63,,,282,,,,,,
02 - Cari Islem Deta,0,4,cbpg_Tanim,Cari Kod Tanımı,150,,,283,,,,,,
02 - Cari Islem Deta,0,5,SatirAck1,SatirAck1,100,,,284,,,,,,
02 - Cari Islem Deta,0,6,Tutar,Tutar,68,"#,##0.00",*,285,,,,,,
02 - Cari Islem Deta,0,7,ParaCinsi,ParaCinsi,32,,,286,,,,,,
Kasa Islem Listesi,0,0,FisNo,FisNo,41,"#,##0.###",,287,,,,,,
Kasa Islem Listesi,0,1,Aciklama,Aciklama,89,,,288,,,,,,
Kasa Islem Listesi,0,2,FisTar,İşlem Tarihi,70,,,289,,,,,,
Kasa Islem Listesi,0,3,cbpg,Cari Kod,60,,,290,,,,,,
Kasa Islem Listesi,0,4,cbpg_Tanim,Cari Kod Tanımı,147,,,291,,,,,,
Kasa Islem Listesi,0,5,Tanim,Tanim,174,,,292,,,,,,
Kasa Islem Listesi,0,6,Tutar,Tutar,79,"#,##0.00",*,293,,,,,,
Kasa Islem Listesi,0,7,ParaCinsi,ParaCinsi,26,,,294,,,,,,
Hesap Planı Listesi,0,0,CODE,Kod,65,,,295,,,,,,
Hesap Planı Listesi,0,1,DEFINITION,Tanım,409,,,296,,,,,,
Hesap Planı Listesi,0,2,ID,ID,64,"#,###.####",,297,,,,,,
Hesap Planı Listesi,0,3,LEVEL_,LEVEL_,57,"#,###.####",,298,,,,,,
Banka Listesi,0,0,BankaTanim,Banka Tanım,93,,,299,,,,,,
Banka Listesi,0,1,sube,Şube Kodu,45,,,300,,,,,,
Banka Listesi,0,2,SubeTanim,Şube Tanım,135,,,301,,,,,,
Banka Listesi,0,3,HesapKod,Hesap Kodu,87,,,302,,,,,,
Banka Listesi,0,4,HesapTanim,Hesap Tanım,146,,,303,,,,,,
Banka Listesi,0,5,Paracinsi,Paracinsi,56,,,304,,,,,,
Banka Listesi,0,6,IBAN,IBAN,208,,,305,,,,,,
Banka Listesi,0,7,HesTip,Hesap Tipi,106,,,306,,,,,,
mağaza_ciro_raporu,0,0,Location_Tanim,Location_Tanim,140,,,307,,,,,,
mağaza_ciro_raporu,0,1,Miktar,Miktar,50,,*,308,,,,,,
mağaza_ciro_raporu,0,2,Birim,Birim,62,,,309,,,,,,
mağaza_ciro_raporu,0,3,StokFiyat,StokFiyat,76,,,310,,,,,,
mağaza_ciro_raporu,0,4,Fiyat,Fiyat,79,,*,311,,,,,,
mağaza_ciro_raporu,0,5,ParaCinsi,ParaCinsi,33,,,312,,,,,,
mağaza_ciro_raporu,0,6,iskontoTut,iskontoTut,72,,*,313,,,,,,
SF_Renkli_Liste,0,0,Resim,Resim,903,,,314,,,,,,
SF_Renkli_Liste,0,1,SKod,Stok Kodu,70,,,315,,,,,,
SF_Renkli_Liste,0,2,Tanim,Tanım,42,,,316,,,,,,
SF_Renkli_Liste,0,3,Renk_Tanim,Renk Tanim,59,,,317,,,,,,
SF_Renkli_Liste,0,4,TL-Toptan_Satış_TL,TL-Toptan Satış,30,"#,##0.0000",,318,,,,,,
SF_Renkli_Resimli,0,0,Resim,Resim,903,,,319,,,,,,
SF_Renkli_Resimli,0,1,SKod,Stok Kodu,70,,,320,,,,,,
SF_Renkli_Resimli,0,2,Tanim,Tanım,42,,,321,,,,,,
SF_Renkli_Resimli,0,3,Renk_Tanim,Renk Tanim,59,,,322,,,,,,
SF_Renkli_Resimli,0,4,TL-Toptan_Satış_TL,TL-Toptan Satış,30,"#,##0.0000",,323,,,,,,
mağaza_ciro_raporu,0,7,KDV_Tutar,KDV_Tutar,80,,*,324,,,,,,
mağaza_ciro_raporu,0,8,Tutar,Tutar,79,,*,325,,,,,,
mağaza_ciro_raporu,0,9,kdvsiz,kdvsiz,83,,,326,,,,,,
02 - Cari_Detay_List,0,0,CKod,Cari Kod,60,,,327,,,,,,
02 - Cari_Detay_List,0,2,ParaCinsi,ParaCinsi,24,,,328,,,,,,
02 - Cari_Detay_List,0,3,Borc,Borc,64,"#,##0.00",*,329,,,,,,
02 - Cari_Detay_List,0,4,Alacak,Alacak,64,"#,##0.00",*,330,,,,,,
Cari_Siparis_Listesi,0,0,SKod,SKod,60,,,331,,,,,,
Cari_Siparis_Listesi,0,1,SKod_Tanim,SKod_Tanim,148,,,332,,,,,,
Cari_Siparis_Listesi,0,0,SKod,SKod,68,,,333,,,,,,
Cari_Siparis_Listesi,0,1,Stok_Tanim,Stok_Tanim,304,,,334,,,,,,
Cari_Siparis_Listesi,0,2,Giren,Giren,57,"#,##0.####",*,335,,,,,,
Cari_Siparis_Listesi,0,3,Cikan,Cikan,64,"#,##0.####",*,336,,,,,,
Cari_Siparis_Listesi,0,4,Kalan,Kalan,53,"#,##0.####",*,337,,,,,,
Cari_Siparis_Listesi,0,5,Tutar,Tutar,64,"#,##0.00",*,338,,,,,,
Cari_Siparis_Listesi,0,6,KalTut,KalTut,64,"#,##0.####",*,339,,,,,,
Cari_Siparis_Listesi,0,7,ParaCinsi,ParaCinsi,57,,,340,,,,,,
Cari_Siparis_Listesi,0,2,RKod_Tanim,RKod_Tanim,113,,,341,,,,,,
Cari_Siparis_Listesi,0,3,Asorti,Asorti,36,,,342,,,,,,
Cari_Siparis_Listesi,0,4,Siparis_Miktari,Siparis_Miktari,45,"#,##0.####",*,343,,,,,,
Cari_Siparis_Listesi,0,5,Toplam_Kapatilan,Toplam_Kapatila,68,"#,##0.####",*,344,,,,,,
Cari_Siparis_Listesi,0,6,Net_Kalan,Net_Kalan,68,"#,##0.####",*,345,,,,,,
02 - Cari_Detay_List,0,5,BBakiye,Borç Bakiye,72,"#,##0.00",*,346,,,,,,
02 - Cari_Detay_List,0,6,ABakiye,Alacak Bakiye,83,"#,##0.00",*,347,,,,,,
02 - Cari_Detay_List,0,7,SonBakiye,Bakiye,64,"#,##0.00",*,348,,,,,,
İşçilik_Rapor,0,0,Personel,Personel,61,,,349,,,,,,
İşçilik_Rapor,0,1,Personel_Tanim,Personel Tanim,99,,,350,,,,,,
İşçilik_Rapor,0,2,EmirNo,Emir Numarası,44,,,351,,,,,,
İşçilik_Rapor,0,3,ModelKod,Model Kodu,54,,,352,,,,,,
İşçilik_Rapor,0,4,ModelKod_Tanim,Model Tanımı,171,,,353,,,,,,
