EmirNo,SKOD,RKOD,BedKod,FisNo,FisHarinx,SendTar,StartTarih,Proses,AltProses,Personel,EndTarih,Giren,Cikan,scikan,Birim,WMakNum,LotNo,Fire,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
4593,121493,1772,157,22682,63701,2025-04-07 18:03:16.560000,2025-04-07 18:06:02.617000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,117,1252,Samet,2025-04-07 18:06:02.640000,KGShop,Samet,2025-04-07 18:06:02.640000,KGShop
4593,121493,1772,159,22682,63701,2025-04-07 18:03:16.560000,2025-04-07 18:06:02.617000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,118,1252,Samet,2025-04-07 18:06:02.640000,KGShop,Samet,2025-04-07 18:06:02.640000,KGShop
4593,121493,1772,160,22682,63701,2025-04-07 18:03:16.560000,2025-04-07 18:06:02.617000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,119,1252,Samet,2025-04-07 18:06:02.640000,KGShop,Samet,2025-04-07 18:06:02.640000,KGShop
4593,121493,1772,161,22682,63701,2025-04-07 18:03:16.560000,2025-04-07 18:06:02.617000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,120,1252,Samet,2025-04-07 18:06:02.640000,KGShop,Samet,2025-04-07 18:06:02.640000,KGShop
4593,121493,1772,162,22682,63701,2025-04-07 18:03:16.560000,2025-04-07 18:06:02.617000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,121,1252,Samet,2025-04-07 18:06:02.640000,KGShop,Samet,2025-04-07 18:06:02.640000,KGShop
4596,113286,1751,160,22685,63704,2025-04-07 19:14:56.333000,2025-04-07 19:33:58.087000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,122,1255,Samet,2025-04-07 19:33:58.103000,KGShop,Samet,2025-04-07 19:33:58.113000,KGShop
4596,113286,1751,161,22685,63704,2025-04-07 19:14:56.333000,2025-04-07 19:33:58.087000,30,,,,9.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,123,1255,Samet,2025-04-07 19:33:58.103000,KGShop,Samet,2025-04-07 19:33:58.113000,KGShop
4596,113286,1751,162,22685,63704,2025-04-07 19:14:56.333000,2025-04-07 19:33:58.087000,30,,,,6.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,124,1255,Samet,2025-04-07 19:33:58.103000,KGShop,Samet,2025-04-07 19:33:58.113000,KGShop
4596,113286,2236,156,22685,63704,2025-04-07 19:14:56.333000,2025-04-07 19:33:58.087000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,125,1255,Samet,2025-04-07 19:33:58.103000,KGShop,Samet,2025-04-07 19:33:58.113000,KGShop
4596,113286,2236,157,22685,63704,2025-04-07 19:14:56.333000,2025-04-07 19:33:58.087000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,126,1255,Samet,2025-04-07 19:33:58.103000,KGShop,Samet,2025-04-07 19:33:58.113000,KGShop
4596,113286,2236,158,22685,63704,2025-04-07 19:14:56.333000,2025-04-07 19:33:58.087000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,127,1255,Samet,2025-04-07 19:33:58.103000,KGShop,Samet,2025-04-07 19:33:58.113000,KGShop
4596,113286,2236,159,22685,63704,2025-04-07 19:14:56.333000,2025-04-07 19:33:58.087000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,128,1255,Samet,2025-04-07 19:33:58.103000,KGShop,Samet,2025-04-07 19:33:58.113000,KGShop
4596,113286,2236,160,22685,63704,2025-04-07 19:14:56.333000,2025-04-07 19:33:58.087000,30,,,,3.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,129,1255,Samet,2025-04-07 19:33:58.103000,KGShop,Samet,2025-04-07 19:33:58.113000,KGShop
4597,100001,126,149,22687,63706,2025-04-07 19:53:18.470000,2025-04-07 19:54:34.680000,12,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000063706,0E-10,130,1256,Samet,2025-04-07 19:54:34.697000,KGShop,Samet,2025-04-07 19:54:34.707000,KGShop
4600,112873,3464,156,22691,63710,2025-04-07 20:27:09.030000,2025-04-07 20:29:31.803000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000063710,0E-10,132,1259,Samet,2025-04-07 20:29:31.823000,KGShop,Samet,2025-04-07 20:29:31.833000,KGShop
4600,112873,3464,156,22692,63711,2025-04-07 20:28:07.650000,2025-04-07 20:29:35.510000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000063710,0E-10,138,1259,Samet,2025-04-07 20:29:35.523000,KGShop,Samet,2025-04-07 20:29:35.523000,KGShop
4600,112873,3464,157,22691,63710,2025-04-07 20:27:09.030000,2025-04-07 20:29:31.803000,30,,,,3.0000000000,0E-10,0E-10,CIFT,0,0000063710,0E-10,133,1259,Samet,2025-04-07 20:29:31.823000,KGShop,Samet,2025-04-07 20:29:31.833000,KGShop
4600,112873,3464,157,22692,63711,2025-04-07 20:28:07.650000,2025-04-07 20:29:35.510000,30,,,,3.0000000000,0E-10,0E-10,CIFT,0,0000063710,0E-10,139,1259,Samet,2025-04-07 20:29:35.523000,KGShop,Samet,2025-04-07 20:29:35.523000,KGShop
4600,112873,3464,158,22691,63710,2025-04-07 20:27:09.030000,2025-04-07 20:29:31.803000,30,,,,3.0000000000,0E-10,0E-10,CIFT,0,0000063710,0E-10,134,1259,Samet,2025-04-07 20:29:31.823000,KGShop,Samet,2025-04-07 20:29:31.833000,KGShop
4600,112873,3464,158,22692,63711,2025-04-07 20:28:07.650000,2025-04-07 20:29:35.510000,30,,,,3.0000000000,0E-10,0E-10,CIFT,0,0000063710,0E-10,140,1259,Samet,2025-04-07 20:29:35.523000,KGShop,Samet,2025-04-07 20:29:35.523000,KGShop
4600,112873,3464,159,22691,63710,2025-04-07 20:27:09.030000,2025-04-07 20:29:31.803000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000063710,0E-10,135,1259,Samet,2025-04-07 20:29:31.823000,KGShop,Samet,2025-04-07 20:29:31.833000,KGShop
4600,112873,3464,159,22692,63711,2025-04-07 20:28:07.650000,2025-04-07 20:29:35.510000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000063710,0E-10,141,1259,Samet,2025-04-07 20:29:35.523000,KGShop,Samet,2025-04-07 20:29:35.523000,KGShop
4600,112873,3464,160,22691,63710,2025-04-07 20:27:09.030000,2025-04-07 20:29:31.803000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000063710,0E-10,136,1259,Samet,2025-04-07 20:29:31.823000,KGShop,Samet,2025-04-07 20:29:31.833000,KGShop
4600,112873,3464,160,22692,63711,2025-04-07 20:28:07.650000,2025-04-07 20:29:35.510000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000063710,0E-10,142,1259,Samet,2025-04-07 20:29:35.523000,KGShop,Samet,2025-04-07 20:29:35.523000,KGShop
4600,112873,3464,161,22691,63710,2025-04-07 20:27:09.030000,2025-04-07 20:29:31.803000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000063710,0E-10,137,1259,Samet,2025-04-07 20:29:31.823000,KGShop,Samet,2025-04-07 20:29:31.833000,KGShop
4601,113286,198,156,22693,63712,2025-04-08 01:35:38.920000,2025-04-08 01:37:49.653000,30,,,,4.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,143,1260,Samet,2025-04-08 01:37:49.703000,KGShop,Samet,2025-04-08 01:37:49.720000,KGShop
4601,113286,198,157,22693,63712,2025-04-08 01:35:38.920000,2025-04-08 01:37:49.653000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,144,1260,Samet,2025-04-08 01:37:49.703000,KGShop,Samet,2025-04-08 01:37:49.720000,KGShop
4601,113286,198,158,22693,63712,2025-04-08 01:35:38.920000,2025-04-08 01:37:49.653000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,145,1260,Samet,2025-04-08 01:37:49.703000,KGShop,Samet,2025-04-08 01:37:49.720000,KGShop
4601,113286,198,158,22694,63713,2025-04-08 01:36:28.997000,2025-04-08 01:38:14.390000,30,,,,5.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,148,1260,Samet,2025-04-08 01:38:14.413000,KGShop,Samet,2025-04-08 01:38:14.423000,KGShop
4601,113286,198,159,22693,63712,2025-04-08 01:35:38.920000,2025-04-08 01:37:49.653000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,146,1260,Samet,2025-04-08 01:37:49.703000,KGShop,Samet,2025-04-08 01:37:49.720000,KGShop
4601,113286,198,159,22694,63713,2025-04-08 01:36:28.997000,2025-04-08 01:38:14.390000,30,,,,7.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,149,1260,Samet,2025-04-08 01:38:14.413000,KGShop,Samet,2025-04-08 01:38:14.423000,KGShop
4601,113286,198,160,22693,63712,2025-04-08 01:35:38.920000,2025-04-08 01:37:49.653000,30,,,,3.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,147,1260,Samet,2025-04-08 01:37:49.703000,KGShop,Samet,2025-04-08 01:37:49.720000,KGShop
4601,113286,198,160,22694,63713,2025-04-08 01:36:28.997000,2025-04-08 01:38:14.390000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,150,1260,Samet,2025-04-08 01:38:14.413000,KGShop,Samet,2025-04-08 01:38:14.423000,KGShop
4601,113286,198,161,22694,63713,2025-04-08 01:36:28.997000,2025-04-08 01:38:14.390000,30,,,,4.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,151,1260,Samet,2025-04-08 01:38:14.413000,KGShop,Samet,2025-04-08 01:38:14.423000,KGShop
4601,113286,198,162,22694,63713,2025-04-08 01:36:28.997000,2025-04-08 01:38:14.390000,30,,,,1.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,152,1260,Samet,2025-04-08 01:38:14.413000,KGShop,Samet,2025-04-08 01:38:14.423000,KGShop
4603,113286,717,156,22696,63718,2025-04-08 17:32:15.903000,2025-04-08 18:24:25.850000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,219,1263,Samet,2025-04-08 18:24:25.913000,KGShop,Samet,2025-04-08 18:24:25.917000,KGShop
4603,113286,717,157,22696,63718,2025-04-08 17:32:15.903000,2025-04-08 18:24:25.850000,30,,,,6.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,220,1263,Samet,2025-04-08 18:24:25.913000,KGShop,Samet,2025-04-08 18:24:25.917000,KGShop
4603,113286,717,158,22696,63718,2025-04-08 17:32:15.903000,2025-04-08 18:24:25.850000,30,,,,8.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,221,1263,Samet,2025-04-08 18:24:25.913000,KGShop,Samet,2025-04-08 18:24:25.917000,KGShop
4603,113286,717,159,22696,63718,2025-04-08 17:32:15.903000,2025-04-08 18:24:25.850000,30,,,,10.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,222,1263,Samet,2025-04-08 18:24:25.913000,KGShop,Samet,2025-04-08 18:24:25.917000,KGShop
4603,113286,717,160,22696,63718,2025-04-08 17:32:15.903000,2025-04-08 18:24:25.850000,30,,,,8.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,223,1263,Samet,2025-04-08 18:24:25.913000,KGShop,Samet,2025-04-08 18:24:25.917000,KGShop
4603,113286,717,161,22696,63718,2025-04-08 17:32:15.903000,2025-04-08 18:24:25.850000,30,,,,4.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,224,1263,Samet,2025-04-08 18:24:25.913000,KGShop,Samet,2025-04-08 18:24:25.917000,KGShop
4603,113286,717,162,22696,63718,2025-04-08 17:32:15.903000,2025-04-08 18:24:25.850000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,225,1263,Samet,2025-04-08 18:24:25.913000,KGShop,Samet,2025-04-08 18:24:25.917000,KGShop
4603,113286,3387,156,22697,63719,2025-04-08 17:35:27.550000,2025-04-10 12:20:45.890000,30,,,,6.0000000000,0E-10,0E-10,CIFT,0,0000063719,0E-10,241,1263,Samet,2025-04-10 12:20:46.127000,KGShop_SIPYAZDIR,Samet,2025-04-10 12:20:46.137000,KGShop_SIPYAZDIR
4603,113286,3387,157,22697,63719,2025-04-08 17:35:27.550000,2025-04-10 12:20:45.890000,30,,,,6.0000000000,0E-10,0E-10,CIFT,0,0000063719,0E-10,242,1263,Samet,2025-04-10 12:20:46.127000,KGShop_SIPYAZDIR,Samet,2025-04-10 12:20:46.137000,KGShop_SIPYAZDIR
4603,113286,3387,158,22697,63719,2025-04-08 17:35:27.550000,2025-04-10 12:20:45.890000,30,,,,6.0000000000,0E-10,0E-10,CIFT,0,0000063719,0E-10,243,1263,Samet,2025-04-10 12:20:46.127000,KGShop_SIPYAZDIR,Samet,2025-04-10 12:20:46.137000,KGShop_SIPYAZDIR
4603,113286,3387,159,22697,63719,2025-04-08 17:35:27.550000,2025-04-10 12:20:45.890000,30,,,,6.0000000000,0E-10,0E-10,CIFT,0,0000063719,0E-10,244,1263,Samet,2025-04-10 12:20:46.127000,KGShop_SIPYAZDIR,Samet,2025-04-10 12:20:46.137000,KGShop_SIPYAZDIR
4603,113286,3387,160,22697,63719,2025-04-08 17:35:27.550000,2025-04-10 12:20:45.890000,30,,,,6.0000000000,0E-10,0E-10,CIFT,0,0000063719,0E-10,245,1263,Samet,2025-04-10 12:20:46.127000,KGShop_SIPYAZDIR,Samet,2025-04-10 12:20:46.137000,KGShop_SIPYAZDIR
4603,113286,3387,161,22697,63719,2025-04-08 17:35:27.550000,2025-04-10 12:20:45.890000,30,,,,6.0000000000,0E-10,0E-10,CIFT,0,0000063719,0E-10,246,1263,Samet,2025-04-10 12:20:46.127000,KGShop_SIPYAZDIR,Samet,2025-04-10 12:20:46.137000,KGShop_SIPYAZDIR
4603,113286,5989,156,22696,63718,2025-04-08 17:32:15.903000,2025-04-08 18:24:25.850000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,226,1263,Samet,2025-04-08 18:24:25.913000,KGShop,Samet,2025-04-08 18:24:25.917000,KGShop
4603,113286,5989,157,22696,63718,2025-04-08 17:32:15.903000,2025-04-08 18:24:25.850000,30,,,,2.0000000000,0E-10,0E-10,CIFT,0,0000000000,0E-10,227,1263,Samet,2025-04-08 18:24:25.913000,KGShop,Samet,2025-04-08 18:24:25.917000,KGShop
