FisNo,DovKod,CDovKod,carpan,kgid,mkgid,insUN,insDT,insApp,updUN,updDT,updApp
445,US,TL,6.1569000000,47,445,,,,,,
446,US,TL,6.0608000000,48,446,,,,,,
447,US,TL,6.0807000000,49,447,,,,,,
448,US,TL,6.0854000000,50,448,,,,,,
450,US,TL,5.9314000000,51,450,,,,,,
451,US,TL,5.9322000000,52,451,,,,,,
452,US,TL,5.9653000000,53,452,,,,,,
453,US,TL,5.9659000000,54,453,,,,,,
455,US,TL,5.9622000000,55,455,,,,,,
457,EU,TL,7.5131000000,56,457,,,,,,
458,EU,TL,6.7627000000,57,458,,,,,,
459,EU,TL,6.8770000000,58,459,,,,,,
460,US,TL,5.9730000000,59,460,,,,,,
461,US,TL,6.0305000000,60,461,,,,,,
462,US,TL,6.0261000000,61,462,,,,,,
463,US,TL,6.1047000000,62,463,,,,,,
464,US,TL,6.1440000000,63,464,,,,,,
465,EU,TL,6.5470000000,64,465,,,,,,
466,US,TL,6.1511000000,65,466,,,,,,
467,EU,TL,6.5373000000,66,467,,,,,,
468,US,TL,6.1504000000,67,468,,,,,,
469,EU,TL,6.5795000000,68,469,,,,,,
470,US,TL,6.1569000000,69,470,,,,,,
472,US,TL,6.2240000000,70,472,,,,,,
474,US,TL,6.0608000000,71,474,,,,,,
475,US,TL,6.0807000000,72,475,,,,,,
477,US,TL,6.0854000000,73,477,,,,,,
478,US,TL,6.3537000000,74,478,,,,,,
479,EU,TL,6.5553000000,75,479,,,,,,
480,EU,TL,6.5553000000,76,480,,,,,,
481,US,TL,6.4360000000,77,481,,,,,,
482,US,TL,6.4360000000,78,482,,,,,,
483,US,TL,6.5097000000,79,483,,,,,,
484,US,TL,6.5476000000,80,484,,,,,,
485,US,TL,6.3537000000,81,485,,,,,,
486,US,TL,6.4360000000,82,486,,,,,,
487,US,TL,5.8246000000,83,487,,,,,,
528,US,TL,6.7429000000,84,528,,,,,,
568,US,TL,6.7573000000,85,568,,,,,,
624,US,TL,6.8467000000,86,624,,,,,,
629,US,TL,6.8530000000,87,629,,,,,,
716,US,TL,6.2753000000,88,716,,,,,,
718,US,TL,6.2753000000,89,718,,,,,,
720,US,TL,6.7648000000,90,720,,,,,,
753,US,TL,6.8454000000,91,753,,,,,,
762,US,TL,5.9165000000,92,762,,,,,,
803,US,TL,6.8353000000,93,803,,,,,,
826,US,TL,6.9400000000,94,826,,,,,,
828,US,TL,6.9433000000,95,828,,,,,,
829,US,TL,6.9265000000,96,829,,,,,,
830,US,TL,7.0458000000,97,830,,,,,,
831,US,TL,7.1025000000,98,831,,,,,,
834,US,TL,6.7853000000,99,834,,,,,,
836,US,TL,6.7773000000,100,836,,,,,,
838,US,TL,6.7483000000,101,838,,,,,,
839,US,TL,6.8160000000,102,839,,,,,,
841,US,TL,6.8158000000,103,841,,,,,,
842,US,TL,6.8158000000,104,842,,,,,,
843,US,TL,6.8155000000,105,843,,,,,,
844,US,TL,6.8160000000,106,844,,,,,,
845,US,TL,6.8260000000,107,845,,,,,,
848,US,TL,7.2403000000,108,848,,,,,,
849,us,tl,7.2500000000,109,849,,,,,,
913,us,tl,6.7423000000,110,913,,,,,,
919,US,TL,6.8318000000,111,919,,,,,,
920,us,tl,6.7668000000,112,920,,,,,,
921,us,tl,6.8128000000,113,921,,,,,,
925,us,tl,6.9443000000,114,925,,,,,,
926,US,TL,6.6539000000,115,926,,,,,,
927,US,TL,6.9819000000,116,927,,,,,,
928,US,TL,6.9827000000,117,928,,,,,,
930,EU,TL,7.5580000000,118,930,,,,,,
955,us,tl,6.6784000000,119,955,,,,,,
958,US,TL,6.7894000000,120,958,,,,,,
984,US,TL,7.2662000000,121,984,,,,,,
985,US,TL,7.2662000000,122,985,,,,,,
986,US,TL,7.3077000000,123,986,,,,,,
987,US,TL,7.2662000000,124,987,,,,,,
988,us,tl,7.2662000000,125,988,,,,,,
1057,EU,TL,7.9191000000,126,1057,,,,,,
1058,EU,TL,7.9298000000,127,1058,,,,,,
1059,EU,TL,8.6897000000,128,1059,,,,,,
1060,US,TL,7.3459000000,129,1060,,,,,,
1061,US,TL,7.3563000000,130,1061,,,,,,
1062,US,TL,7.3563000000,131,1062,,,,,,
1064,US,TL,7.4668000000,132,1064,,,,,,
1079,US,TL,7.5150468600,133,1079,,,,,,
1106,US,TL,7.4365000000,134,1106,,,,,,
1208,us,tl,7.7440000000,135,1208,,,,,,
1209,us,tl,7.7828000000,136,1209,,,,,,
1236,us,tl,6.8444000000,137,1236,,,,,,
1238,us,tl,6.8262000000,138,1238,,,,,,
1239,us,tl,6.8275000000,139,1239,,,,,,
1240,us,tl,6.8299000000,140,1240,,,,,,
1241,us,tl,6.9378000000,141,1241,,,,,,
1242,us,tl,7.2817000000,142,1242,,,,,,
1243,us,tl,7.2603000000,143,1243,,,,,,
1244,us,tl,7.2960000000,144,1244,,,,,,
1245,us,tl,7.7230000000,145,1245,,,,,,
1246,us,tl,7.8092000000,146,1246,,,,,,
1248,us,tl,6.8444000000,147,1248,,,,,,
1249,us,tl,6.8262000000,148,1249,,,,,,
1250,us,tl,6.8275000000,149,1250,,,,,,
1251,us,tl,7.2817000000,150,1251,,,,,,
1252,EU,TL,9.0577000000,151,1252,,,,,,
1280,US,tl,6.8638000000,152,1280,,,,,,
1281,US,TL,6.8495000000,153,1281,,,,,,
1285,us,tl,7.3242000000,154,1285,,,,,,
1289,us,tl,7.1600000000,155,1289,,,,,,
1291,us,tl,6.9754000000,156,1291,,,,,,
1292,us,tl,7.3353000000,157,1292,,,,,,
1293,us,tl,7.7739000000,158,1293,,,,,,
1294,us,tl,7.7776000000,159,1294,,,,,,
1295,EU,US,1.1757300000,160,1295,,,,,,
1296,EU,US,1.1613600000,161,1296,,,,,,
1297,EU,US,1.1592600000,162,1297,,,,,,
1298,us,tl,6.8495000000,163,1298,,,,,,
1395,US,TL,7.7393000000,164,1395,,,,,,
1397,US,TL,7.6699000000,165,1397,,,,,,
1436,US,TL,7.8944770000,166,1436,,,,,,
1442,US,TL,7.8075200000,167,1442,,,,,,
1469,EU,TL,9.1571000000,168,1469,,,,,,
1511,US,TL,8.4008000000,169,1511,,,,,,
1512,US,TL,8.3898000000,170,1512,,,,,,
1532,US,TL,7.6120000000,171,1532,,,,,,
1548,US,TL,7.7700000000,172,1548,,,,,,
1552,US,TL,7.7890000000,173,1552,,,,,,
1573,US,TL,7.8392000000,174,1573,,,,,,
1597,US,TL,8.2988000000,175,1597,,,,,,
1604,US,TL,7.8998000000,176,1604,,,,,,
1607,US,TL,7.8587000000,177,1607,,,,,,
1629,US,TL,7.9650000000,178,1629,,,,,,
1633,US,TL,8.3281000000,179,1633,,,,,,
1636,US,TL,8.3328000000,180,1636,,,,,,
1640,US,TL,7.5893000000,181,1640,,,,,,
1641,US,TL,7.7802000000,182,1641,,,,,,
1643,US,TL,7.8010000000,183,1643,,,,,,
1644,US,TL,7.7551000000,184,1644,,,,,,
1653,US,TL,7.7202000000,185,1653,,,,,,
1662,US,TL,7.8412000000,186,1662,,,,,,
1683,US,TL,7.7492520000,187,1683,,,,,,
1733,US,TL,7.7802000000,188,1733,,,,,,
1749,US,TL,7.8508000000,189,1749,,,,,,
1750,US,TL,7.7060000000,190,1750,,,,,,
1751,US,TL,7.4726000000,191,1751,,,,,,
1752,US,TL,7.3481000000,192,1752,,,,,,
1753,EU,US,1.1820771000,193,1753,,,,,,
2786,TL,US,30.0000000000,194,2786,Guray,2024-03-06 15:04:57.517000,KGShop,Guray,2024-03-06 15:07:22.157000,KGShop
2791,EU,US,1.2233445566,195,2791,k,2024-05-06 15:31:15.710000,KGShop,k,2024-05-06 15:31:15.720000,KGShop
