minx,cariKod,CariKod_Tanim,CariUnvan,BelgeNo,FSeri,FaturaNo,FatTar,SipNo,Fatura_Miktari,Birim,ParaCinsi,FatHarinx,kgid,insUN,insDT,insApp,updUN,updDT,updApp
1,320.01.020,Erdoğdu Ticaret,Erdoğdu Ayakkabı Malz.San. Ve Tic. Ltd.Şti.,4980,ERD,2020121400005,2020-12-14 16:36:14,1684,8.0,ADET,TL,,46,,,,,,
1,320.01.021,Fatih Ökçe,Fatih Ökçe San. Tic.A.Ş.,433,FMR,2020000003009,2020-02-21 17:30:04,,12.0,CIFT,TL,,47,,,,,,
1,320.01.021,Fatih Ökçe,Fatih Ökçe San. Tic.A.Ş.,434,FMR,2020000003370,2020-02-27 17:30:04,,2.0,CIFT,TL,,48,,,,,,
1,320.01.021,Fatih Ökçe,Fatih Ökçe San. Tic.A.Ş.,435,FMR,2020000003296,2020-02-27 17:30:04,,3.0,CIFT,TL,,49,,,,,,
1,320.01.021,Fatih Ökçe,Fatih Ökçe San. Tic.A.Ş.,693,FMR,2020000005391,2020-05-20 17:30:04,,2.0,CIFT,TL,,50,,,,,,
1,320.01.022,Fc Dokuma Etiket,Fc Dokuma Etiket Kom.Oto.Yed.Par.San.Tic.Ltd.Şti.,573,,92446,2020-03-10 13:33:12,,16200.0,ADET,TL,,51,,,,,,
1,320.01.022,Fc Dokuma Etiket,Fc Dokuma Etiket Kom.Oto.Yed.Par.San.Tic.Ltd.Şti.,624,,2020000000108,2020-05-04 13:33:12,,11500.0,ADET,TL,,52,,,,,,
1,320.01.022,Fc Dokuma Etiket,Fc Dokuma Etiket Kom.Oto.Yed.Par.San.Tic.Ltd.Şti.,3268,GIB,2020000000397,2020-10-07 09:39:03,,14250.0,ADET,TL,,53,,,,,,
1,320.01.022,Fc Dokuma Etiket,Fc Dokuma Etiket Kom.Oto.Yed.Par.San.Tic.Ltd.Şti.,3272,GIB,2020000000432,2020-10-23 10:42:05,,2000.0,ADET,TL,,54,,,,,,
1,320.01.022,Fc Dokuma Etiket,Fc Dokuma Etiket Kom.Oto.Yed.Par.San.Tic.Ltd.Şti.,5144,GIB,2020000000566,2020-12-24 15:54:43,1655,14200.0,ADET,TL,,55,,,,,,
1,320.01.024,Gommer Taban,Gommer Ayakkabı Taban İmalat San.Ve Tic.Ltd.Şti.,3849,,,2020-11-11 15:31:16,1347,117.0,CIFT,TL,,56,,,,,,
1,320.01.024,Gommer Taban,Gommer Ayakkabı Taban İmalat San.Ve Tic.Ltd.Şti.,3955,,,2020-12-08 14:26:14,1515,129.0,CIFT,TL,,57,,,,,,
1,320.01.024,Gommer Taban,Gommer Ayakkabı Taban İmalat San.Ve Tic.Ltd.Şti.,3956,,,2020-12-09 14:31:14,1347,10.0,CIFT,TL,,58,,,,,,
1,320.01.024,Gommer Taban,Gommer Ayakkabı Taban İmalat San.Ve Tic.Ltd.Şti.,3957,,,2020-12-07 14:34:59,1347,258.0,CIFT,TL,,59,,,,,,
1,320.01.024,Gommer Taban,Gommer Ayakkabı Taban İmalat San.Ve Tic.Ltd.Şti.,3957,,,2020-12-07 14:34:59,1446,193.0,CIFT,TL,,60,,,,,,
1,320.01.024,Gommer Taban,Gommer Ayakkabı Taban İmalat San.Ve Tic.Ltd.Şti.,3957,,,2020-12-07 14:34:59,1515,151.0,CIFT,TL,,61,,,,,,
1,320.01.024,Gommer Taban,Gommer Ayakkabı Taban İmalat San.Ve Tic.Ltd.Şti.,3957,,,2020-12-07 14:34:59,1671,3.0,CIFT,TL,,62,,,,,,
1,320.01.027,Gül Metal,Gül Metal Aks.San.Ve Tic.Ltd.Şti.,400,IKE,2020000000304,2020-02-22 09:40:50,,298.0,ADET,TL,,63,,,,,,
1,320.01.027,Gül Metal,Gül Metal Aks.San.Ve Tic.Ltd.Şti.,414,IKE,2020000000339,2020-02-27 16:11:04,,61.0,ADET,TL,,64,,,,,,
1,320.01.027,Gül Metal,Gül Metal Aks.San.Ve Tic.Ltd.Şti.,515,IKE,2020000000394,2020-03-05 15:03:41,,300.0,ADET,TL,,65,,,,,,
1,320.01.027,Gül Metal,Gül Metal Aks.San.Ve Tic.Ltd.Şti.,681,IKE,2020000000510,2020-03-20 15:03:41,,46.0,ADET,TL,,66,,,,,,
1,320.01.027,Gül Metal,Gül Metal Aks.San.Ve Tic.Ltd.Şti.,3946,IKE,2020000001401,2020-12-07 08:49:48,1604,76.0,ADET,TL,,67,,,,,,
1,320.01.030,İleri Ambalaj,İleri Ambalaj Ofis Malz.Teks.San.Ve Tic.Ltd.Şti.,431,ILR,2020000001977,2020-02-26 17:12:55,,324.0,ADET,TL,,68,,,,,,
1,320.01.030,İleri Ambalaj,İleri Ambalaj Ofis Malz.Teks.San.Ve Tic.Ltd.Şti.,836,ILR,2020000005607,2020-06-30 15:40:02,,192.0,ADET,TL,,69,,,,,,
1,320.01.030,İleri Ambalaj,İleri Ambalaj Ofis Malz.Teks.San.Ve Tic.Ltd.Şti.,3273,ILR,2020000009893,2020-10-24 10:43:30,,192.0,ADET,TL,,70,,,,,,
1,320.01.030,İleri Ambalaj,İleri Ambalaj Ofis Malz.Teks.San.Ve Tic.Ltd.Şti.,5100,ILR,2020000011342,2020-12-04 15:54:28,1693,192.0,ADET,TL,,71,,,,,,
1,320.01.031,İstanbul Oluklu Mukavva,İstanbul Oluklu Mukavva San. Ve Tic.Aş.,3515,IST,2020000002265,2020-10-27 08:44:07,,350.0,ADET,TL,,72,,,,,,
1,320.01.031,İstanbul Oluklu Mukavva,İstanbul Oluklu Mukavva San. Ve Tic.Aş.,3686,IST,2020000002398,2020-11-13 00:48:22,1361,356.0,ADET,TL,,73,,,,,,
1,320.01.032,Karaca Deri,Karaca Deri San.Ve Tic.Ltd.Şti.,3839,KRC,2020000000392,2020-11-20 13:56:29,1608,5414.0,DESI,TL,,74,,,,,,
1,320.01.034,Karizma Tekstil,Karizma Tekstil Ayakkabı Malz. San. Tic.Aş.,421,KRZ,2020000001069,2020-02-28 16:35:20,,2.0,METRE,TL,,75,,,,,,
1,320.01.034,Karizma Tekstil,Karizma Tekstil Ayakkabı Malz. San. Tic.Aş.,3613,KRZ,2020000004926,2020-11-09 14:30:40,,386.0,METRE,TL,,76,,,,,,
1,320.01.034,Karizma Tekstil,Karizma Tekstil Ayakkabı Malz. San. Tic.Aş.,3614,KRZ,2020000004972,2020-11-11 14:40:03,,50.0,METRE,TL,,77,,,,,,
1,320.01.034,Karizma Tekstil,Karizma Tekstil Ayakkabı Malz. San. Tic.Aş.,3842,KRZ,2020000005271,2020-11-27 14:10:49,1480,60.0,METRE,TL,,78,,,,,,
1,320.01.035,Kazım Süren Deri,Kazım Süren Deri İml.San.Tic.Ltd.Şti.,760,KSD,2020000000295,2020-06-05 11:46:43,,168.0,DESI,TL,,79,,,,,,
1,320.01.035,Kazım Süren Deri,Kazım Süren Deri İml.San.Tic.Ltd.Şti.,3187,KSD,2020000000550,2020-09-25 09:21:58,,1467.0,DESI,TL,,80,,,,,,
1,320.01.037,Kord İplik,Kord Endüstiriyel İp Ve İplik Sanayi Ve Tic.Aş.,3694,KRD,2020000002495,2020-11-18 01:06:55,1445,9.0,PAKET,TL,,81,,,,,,
1,320.01.037,Kord İplik,Kord Endüstiriyel İp Ve İplik Sanayi Ve Tic.Aş.,5204,KRD,2020000002730,2020-12-14 15:40:55,1772,10.0,PAKET,TL,,82,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,838,OYN,2020000001758,2020-06-30 15:50:17,,11.0,ADET,TL,,83,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,838,OYN,2020000001758,2020-06-30 15:50:17,,10.0,KOLI,TL,,84,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,840,OYN,2020000001789,2020-07-02 16:01:00,,1.0,ADET,TL,,85,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,842,OYN,2020000001756,2020-06-30 16:05:34,,1.0,KOLI,TL,,86,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,3233,OYN,2020000003180,2020-10-08 12:20:00,,2.0,KOLI,TL,,87,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,3235,OYN,2020000003112,2020-10-05 13:54:08,,1.0,ADET,TL,,88,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,3235,OYN,2020000003112,2020-10-05 13:54:08,,2.0,KOLI,TL,,89,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,3236,OYN,2020000003086,2020-10-02 13:57:07,,10.0,ADET,TL,,90,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,3236,OYN,2020000003086,2020-10-02 13:57:07,,1.0,KOLI,TL,,91,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,3690,OYN,2020000003764,2020-11-11 00:57:47,1418,1.0,KOLI,TL,,92,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,3691,OYN,2020000003787,2020-11-12 00:59:27,1380,5.0,ADET,TL,,93,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,3692,OYN,2020000003761,2020-11-11 01:01:26,1380,1.0,ADET,TL,,94,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,3693,OYN,2020000003733,2020-11-09 01:05:57,1380,11.0,ADET,TL,,95,,,,,,
1,320.01.038,Oynurden Kimya,Oynurden Kimya San.Tic.Aş.,3693,OYN,2020000003733,2020-11-09 01:05:57,1380,4.0,KOLI,TL,,96,,,,,,
1,320.01.039,Özen İplik,Özen İplik San.Ve Tic.A.Ş.,959,OZ1,2020000003479,2020-08-17 13:39:27,,3.03,KG,TL,,97,,,,,,
1,320.01.039,Özen İplik,Özen İplik San.Ve Tic.A.Ş.,3944,OZ1,2020000006025,2020-12-08 08:39:26,1613,20.0,ADET,TL,,98,,,,,,
1,320.01.040,Özer Örme,Özer Örme Tekstil San.Ve Tic.Ltd.Şti.,3110,OZR,2020000001101,2020-09-17 11:40:23,,20.5,METRE,TL,,99,,,,,,
1,320.01.040,Özer Örme,Özer Örme Tekstil San.Ve Tic.Ltd.Şti.,3274,OZR,2020000001212,2020-10-05 10:46:35,,102.0,METRE,TL,,100,,,,,,
1,320.01.042,Poltab Taban,Poltab Ayakkabı Taban San. Ve Tic.Ltd.Şti.,3184,PLT,2020000001883,2020-09-25 08:41:37,,225.0,CIFT,TL,,101,,,,,,
1,320.01.042,Poltab Taban,Poltab Ayakkabı Taban San. Ve Tic.Ltd.Şti.,3185,PLT,2020000001829,2020-09-25 09:08:31,,260.0,CIFT,TL,,102,,,,,,
1,320.01.042,Poltab Taban,Poltab Ayakkabı Taban San. Ve Tic.Ltd.Şti.,3844,PLT,2020000002499,2020-11-26 14:21:21,1422,135.0,CIFT,TL,,103,,,,,,
1,320.01.044,Sesa Ambalaj,Sesa Ambalaj Ofset Matbaa Ve Mak.San.Tic.Ltd.Şti.,422,SSA,2020000000039,2020-02-28 16:38:15,,3058.0,ADET,TL,,104,,,,,,
1,320.01.044,Sesa Ambalaj,Sesa Ambalaj Ofset Matbaa Ve Mak.San.Tic.Ltd.Şti.,690,SSA,2020000000068,2020-04-22 16:38:15,,5050.0,ADET,TL,,105,,,,,,
1,320.01.044,Sesa Ambalaj,Sesa Ambalaj Ofset Matbaa Ve Mak.San.Tic.Ltd.Şti.,950,SSA,2020000000130,2020-08-11 11:07:31,,5250.0,ADET,TL,,106,,,,,,
1,320.01.044,Sesa Ambalaj,Sesa Ambalaj Ofset Matbaa Ve Mak.San.Tic.Ltd.Şti.,3667,SSA,2020000000203,2020-10-30 11:07:31,,9955.0,ADET,TL,,107,,,,,,
1,320.01.045,Teknik Altın Düğme,Teknik Altın Düğme Ve Aks.San.Dış Tic.Ltd.Şti.,401,TAD,2020000000141,2020-02-26 10:09:00,,1200.0,ADET,TL,,108,,,,,,
1,320.01.045,Teknik Altın Düğme,Teknik Altın Düğme Ve Aks.San.Dış Tic.Ltd.Şti.,402,TAD,2020000000135,2020-02-25 10:11:41,,1100.0,ADET,TL,,109,,,,,,
1,320.01.045,Teknik Altın Düğme,Teknik Altın Düğme Ve Aks.San.Dış Tic.Ltd.Şti.,947,TAD,2020000000345,2020-08-12 10:56:07,,644.0,ADET,TL,,110,,,,,,
1,320.01.045,Teknik Altın Düğme,Teknik Altın Düğme Ve Aks.San.Dış Tic.Ltd.Şti.,3702,TAD,2020000000508,2020-11-18 14:43:08,1444,5955.0,ADET,TL,,111,,,,,,
1,320.01.045,Teknik Altın Düğme,Teknik Altın Düğme Ve Aks.San.Dış Tic.Ltd.Şti.,3888,TAD,2020000000553,2020-12-03 11:42:13,1605,585.0,ADET,TL,,112,,,,,,
1,320.01.045,Teknik Altın Düğme,Teknik Altın Düğme Ve Aks.San.Dış Tic.Ltd.Şti.,5047,TAD,2020000000591,2020-12-17 10:39:31,1660,1250.0,ADET,TL,,113,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,410,ZYT,2020000004806,2020-02-25 15:33:52,,255.0,CIFT,TL,,114,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,411,ZYT,2020000005155,2020-02-28 15:33:52,,750.0,CIFT,TL,,115,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,413,ZYT,2020000005241,2020-02-29 16:04:47,,130.0,CIFT,TL,,116,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,788,ZYT,2020000007715,2020-05-05 11:51:00,,1320.0,CIFT,TL,,117,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,831,ZYT,2020000011242,2020-07-09 15:13:43,,190.0,CIFT,TL,,118,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,922,ZYT,2020000013222,2020-07-28 15:13:43,,10.0,CIFT,TL,,119,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,3259,ZYT,2020000021239,2020-10-14 16:11:35,,560.0,CIFT,TL,,120,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,3516,ZYT,2020000022860,2020-10-30 08:51:57,,775.0,CIFT,TL,,121,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,3767,ZYT,2020000023182,2020-11-03 12:08:01,,140.0,CIFT,TL,,122,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,3768,ZYT,2020000023288,2020-11-04 12:11:30,,4.0,CIFT,TL,,123,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,3889,ZYT,2020000026394,2020-12-03 11:45:02,1516,185.0,CIFT,TL,,124,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,5051,ZYT,2020000027629,2020-12-15 10:57:40,1601,30.0,CIFT,TL,,125,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,5146,ZYT,2020000026954,2020-12-09 16:04:28,1601,442.0,CIFT,TL,,126,,,,,,
1,320.01.049,Ziylan Taban,Ziylan Taban San.Tic.A.Ş.,5169,ZYT,2020000029052,2020-12-28 14:17:32,1610,250.0,CIFT,TL,,127,,,,,,
1,320.01.050,3Gen Taban,3Gen Taban Ve Ayakkabı Yan San.Ve Tic.Aş.,832,UGN,2020000001822,2020-07-09 15:19:12,,215.0,CIFT,TL,,128,,,,,,
1,320.01.050,3Gen Taban,3Gen Taban Ve Ayakkabı Yan San.Ve Tic.Aş.,3104,UGN,2020000003256,2020-09-23 11:25:12,,135.0,CIFT,TL,,129,,,,,,
1,320.01.050,3Gen Taban,3Gen Taban Ve Ayakkabı Yan San.Ve Tic.Aş.,3105,UGN,2020000003257,2020-09-23 11:25:12,,30.0,CIFT,TL,,130,,,,,,
1,320.01.052,Ahm Aksesuar,Ahm Ayakkabı Ve Hazır Giyim Metal Aks.San.Tic.Ltd.Şti.,3704,GIB,2020000000099,2020-11-25 15:12:43,1507,3100.0,ADET,TL,,131,,,,,,
1,320.01.052,Ahm Aksesuar,Ahm Ayakkabı Ve Hazır Giyim Metal Aks.San.Tic.Ltd.Şti.,5044,GIB,2020000000111,2020-12-17 10:26:24,1654,4700.0,ADET,TL,,132,,,,,,
1,320.01.063,Çuvalsan Çuval,Çuvalsan Çuval Ve Plastik Ambalaj San.Tic.Ltd.Şti.,3354,CYS,2020000001407,2020-10-27 15:13:29,,50.0,ADET,TL,,133,,,,,,
1,320.01.063,Çuvalsan Çuval,Çuvalsan Çuval Ve Plastik Ambalaj San.Tic.Ltd.Şti.,3354,CYS,2020000001407,2020-10-27 15:13:29,1323,200.0,ADET,TL,,134,,,,,,
1,320.01.063,Çuvalsan Çuval,Çuvalsan Çuval Ve Plastik Ambalaj San.Tic.Ltd.Şti.,3703,CVS,2020000001496,2020-11-12 15:10:07,1433,150.0,ADET,TL,,135,,,,,,
1,320.01.063,Çuvalsan Çuval,Çuvalsan Çuval Ve Plastik Ambalaj San.Tic.Ltd.Şti.,3703,CVS,2020000001496,2020-11-12 15:10:07,1433,5.0,KG,TL,,136,,,,,,
1,320.01.063,Çuvalsan Çuval,Çuvalsan Çuval Ve Plastik Ambalaj San.Tic.Ltd.Şti.,3897,CVS,2020000001596,2020-12-02 12:11:40,1589,125.0,ADET,TL,,137,,,,,,
1,320.01.063,Çuvalsan Çuval,Çuvalsan Çuval Ve Plastik Ambalaj San.Tic.Ltd.Şti.,3899,CVS,2020000001617,2020-12-07 13:18:02,1589,50.0,KG,TL,,138,,,,,,
1,320.01.064,Doğapak Tekstil,Doğapak Tekstil San.Ve Tic.Ltd.Şti.,430,DGP,2020000000035,2020-02-28 17:05:07,,305.0,ADET,TL,,139,,,,,,
1,320.01.064,Doğapak Tekstil,Doğapak Tekstil San.Ve Tic.Ltd.Şti.,569,DGP,2020000000048,2020-03-10 13:25:08,,308.0,ADET,TL,,140,,,,,,
1,320.01.066,Durak Tekstil,Durak Tekstil San.Ve Tic.Aş.,429,DRS,2020000002158,2020-02-24 17:03:23,,12.0,ADET,TL,,141,,,,,,
1,320.01.066,Durak Tekstil,Durak Tekstil San.Ve Tic.Aş.,3447,DRS,2020000009499,2020-11-06 15:57:51,1382,30.0,ADET,TL,,142,,,,,,
1,320.01.066,Durak Tekstil,Durak Tekstil San.Ve Tic.Aş.,3943,DRS,2020000010481,2020-12-03 08:28:14,1612,50.0,ADET,TL,,143,,,,,,
1,320.01.072,Elit Taban,Elit Ayakkabı Taban San.Dış Tic.Ltd.Şti.,5045,,,2020-12-18 10:34:12,1681,1100.0,CIFT,TL,,144,,,,,,
1,320.01.072,Elit Taban,Elit Ayakkabı Taban San.Dış Tic.Ltd.Şti.,5046,,,2020-12-17 10:36:53,1681,1340.0,CIFT,TL,,145,,,,,,
