SKOD,RKOD,BedKod,Modul,FisNo,FisHarinx,Location,FisTip,Giren,Cikan,scikan,Birim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
102495,4845,156,i,21,27,CA002,1,3.000000,0.000000,,CIFT,124,Samet,2025-04-10 11:52:03.640000,KGShop_SIPYAZDIR,,,
102495,4845,157,i,21,27,CA002,1,7.000000,0.000000,,CIFT,125,Samet,2025-04-10 11:52:03.643000,KGShop_SIPYAZDIR,,,
102495,4845,158,i,21,27,CA002,1,8.000000,0.000000,,CIFT,126,Samet,2025-04-10 11:52:03.647000,KGShop_SIPYAZDIR,,,
102495,4845,159,i,21,27,CA002,1,10.000000,0.000000,,CIFT,127,Samet,2025-04-10 11:52:03.647000,KGShop_SIPYAZDIR,,,
102495,4845,160,i,21,27,CA002,1,7.000000,0.000000,,CIFT,128,Samet,2025-04-10 11:52:03.647000,KGShop_SIPYAZDIR,,,
102495,4845,161,i,21,27,CA002,1,3.000000,0.000000,,CIFT,129,Samet,2025-04-10 11:52:03.647000,KGShop_SIPYAZDIR,,,
102495,4845,162,i,21,27,CA002,1,2.000000,0.000000,,CIFT,130,Samet,2025-04-10 11:52:03.647000,KGShop_SIPYAZDIR,,,
102495,5272,157,i,21,28,CA002,1,3.000000,0.000000,,CIFT,131,Samet,2025-04-10 11:52:03.710000,KGShop_SIPYAZDIR,,,
102495,5272,158,i,21,28,CA002,1,6.000000,0.000000,,CIFT,132,Samet,2025-04-10 11:52:03.710000,KGShop_SIPYAZDIR,,,
102495,5272,159,i,21,28,CA002,1,9.000000,0.000000,,CIFT,133,Samet,2025-04-10 11:52:03.710000,KGShop_SIPYAZDIR,,,
102495,5272,160,i,21,28,CA002,1,6.000000,0.000000,,CIFT,134,Samet,2025-04-10 11:52:03.713000,KGShop_SIPYAZDIR,,,
102495,5272,161,i,21,28,CA002,1,3.000000,0.000000,,CIFT,135,Samet,2025-04-10 11:52:03.713000,KGShop_SIPYAZDIR,,,
102495,5272,162,i,21,28,CA002,1,3.000000,0.000000,,CIFT,136,Samet,2025-04-10 11:52:03.713000,KGShop_SIPYAZDIR,,,
1111,5,274,i,2,2,CA001,1,100.000000,0.000000,,CIFT,2,gulsah,2024-03-13 21:52:12.583000,KGShop,,,
1111,5,275,i,2,2,CA001,1,100.000000,0.000000,,CIFT,3,gulsah,2024-03-13 21:52:12.583000,KGShop,,,
1111,5,276,i,2,2,CA001,1,200.000000,0.000000,,CIFT,4,gulsah,2024-03-13 21:52:12.583000,KGShop,,,
1111,5,277,i,2,2,CA001,1,100.000000,0.000000,,CIFT,5,gulsah,2024-03-13 21:52:12.583000,KGShop,,,
1111,5,278,i,2,2,CA001,1,100.000000,0.000000,,CIFT,6,gulsah,2024-03-13 21:52:12.583000,KGShop,,,
1111,63,274,i,2,3,CA001,1,100.000000,0.000000,,CIFT,7,gulsah,2024-03-13 21:52:12.660000,KGShop,,,
1111,63,275,i,2,3,CA001,1,100.000000,0.000000,,CIFT,8,gulsah,2024-03-13 21:52:12.660000,KGShop,,,
1111,63,276,i,2,3,CA001,1,200.000000,0.000000,,CIFT,9,gulsah,2024-03-13 21:52:12.660000,KGShop,,,
1111,63,277,i,2,3,CA001,1,100.000000,0.000000,,CIFT,10,gulsah,2024-03-13 21:52:12.660000,KGShop,,,
1111,63,278,i,2,3,CA001,1,100.000000,0.000000,,CIFT,11,gulsah,2024-03-13 21:52:12.660000,KGShop,,,
11111,4839,314,i,1,1,CA001,1,1111.000000,0.000000,,CIFT,1,gulsah,2024-03-13 21:48:31.513000,KGShop,,,
112873,3464,156,i,14,17,CA002,1,2.000000,0.000000,,CIFT,64,Samet,2025-04-07 20:29:31.983000,KGShop,,,
112873,3464,156,i,15,18,CA002,1,2.000000,0.000000,,CIFT,70,Samet,2025-04-07 20:29:35.557000,KGShop,,,
112873,3464,157,i,14,17,CA002,1,3.000000,0.000000,,CIFT,65,Samet,2025-04-07 20:29:31.983000,KGShop,,,
112873,3464,157,i,15,18,CA002,1,3.000000,0.000000,,CIFT,71,Samet,2025-04-07 20:29:35.557000,KGShop,,,
112873,3464,158,i,14,17,CA002,1,3.000000,0.000000,,CIFT,66,Samet,2025-04-07 20:29:31.983000,KGShop,,,
112873,3464,158,i,15,18,CA002,1,3.000000,0.000000,,CIFT,72,Samet,2025-04-07 20:29:35.557000,KGShop,,,
112873,3464,159,i,14,17,CA002,1,1.000000,0.000000,,CIFT,67,Samet,2025-04-07 20:29:31.983000,KGShop,,,
112873,3464,159,i,15,18,CA002,1,1.000000,0.000000,,CIFT,73,Samet,2025-04-07 20:29:35.557000,KGShop,,,
112873,3464,160,i,14,17,CA002,1,2.000000,0.000000,,CIFT,68,Samet,2025-04-07 20:29:31.983000,KGShop,,,
112873,3464,160,i,15,18,CA002,1,1.000000,0.000000,,CIFT,74,Samet,2025-04-07 20:29:35.557000,KGShop,,,
112873,3464,161,i,14,17,CA002,1,1.000000,0.000000,,CIFT,69,Samet,2025-04-07 20:29:31.983000,KGShop,,,
113286,198,156,i,16,19,CA002,1,4.000000,0.000000,,CIFT,75,Samet,2025-04-08 01:37:51.247000,KGShop,,,
113286,198,157,i,16,19,CA002,1,2.000000,0.000000,,CIFT,76,Samet,2025-04-08 01:37:51.250000,KGShop,,,
113286,198,158,i,16,19,CA002,1,1.000000,0.000000,,CIFT,77,Samet,2025-04-08 01:37:51.250000,KGShop,,,
113286,198,158,i,17,20,CA002,1,5.000000,0.000000,,CIFT,80,Samet,2025-04-08 01:38:14.653000,KGShop,,,
113286,198,159,i,16,19,CA002,1,1.000000,0.000000,,CIFT,78,Samet,2025-04-08 01:37:51.250000,KGShop,,,
113286,198,159,i,17,20,CA002,1,7.000000,0.000000,,CIFT,81,Samet,2025-04-08 01:38:14.653000,KGShop,,,
113286,198,160,i,16,19,CA002,1,3.000000,0.000000,,CIFT,79,Samet,2025-04-08 01:37:51.250000,KGShop,,,
113286,198,160,i,17,20,CA002,1,2.000000,0.000000,,CIFT,82,Samet,2025-04-08 01:38:14.653000,KGShop,,,
113286,198,161,i,17,20,CA002,1,4.000000,0.000000,,CIFT,83,Samet,2025-04-08 01:38:14.653000,KGShop,,,
113286,198,162,i,17,20,CA002,1,1.000000,0.000000,,CIFT,84,Samet,2025-04-08 01:38:14.653000,KGShop,,,
113286,717,156,i,19,23,CA002,1,4.000000,0.000000,,CIFT,97,Samet,2025-04-08 17:37:35.233000,KGShop,Samet,2025-04-08 18:24:26.367000,KGShop
113286,717,157,i,19,23,CA002,1,12.000000,0.000000,,CIFT,98,Samet,2025-04-08 17:37:35.240000,KGShop,Samet,2025-04-08 18:24:26.373000,KGShop
113286,717,158,i,19,23,CA002,1,16.000000,0.000000,,CIFT,99,Samet,2025-04-08 17:37:35.240000,KGShop,Samet,2025-04-08 18:24:26.373000,KGShop
113286,717,159,i,19,23,CA002,1,20.000000,0.000000,,CIFT,100,Samet,2025-04-08 17:37:35.240000,KGShop,Samet,2025-04-08 18:24:26.377000,KGShop
113286,717,160,i,19,23,CA002,1,16.000000,0.000000,,CIFT,101,Samet,2025-04-08 17:37:35.240000,KGShop,Samet,2025-04-08 18:24:26.377000,KGShop
113286,717,161,i,19,23,CA002,1,8.000000,0.000000,,CIFT,102,Samet,2025-04-08 17:37:35.240000,KGShop,Samet,2025-04-08 18:24:26.377000,KGShop
113286,717,162,i,19,23,CA002,1,4.000000,0.000000,,CIFT,103,Samet,2025-04-08 17:37:35.240000,KGShop,Samet,2025-04-08 18:24:26.377000,KGShop
113286,1718,156,i,18,22,CA002,1,4.000000,0.000000,,CIFT,91,Samet,2025-04-08 16:55:23.400000,KGShop,,,
113286,1718,157,i,18,21,CA002,1,3.000000,0.000000,,CIFT,85,Samet,2025-04-08 16:55:20.133000,KGShop,,,
113286,1718,157,i,18,22,CA002,1,4.000000,0.000000,,CIFT,92,Samet,2025-04-08 16:55:23.400000,KGShop,,,
113286,1718,158,i,18,21,CA002,1,6.000000,0.000000,,CIFT,86,Samet,2025-04-08 16:55:20.150000,KGShop,,,
113286,1718,158,i,18,22,CA002,1,8.000000,0.000000,,CIFT,93,Samet,2025-04-08 16:55:23.400000,KGShop,,,
113286,1718,159,i,18,21,CA002,1,9.000000,0.000000,,CIFT,87,Samet,2025-04-08 16:55:20.150000,KGShop,,,
113286,1718,159,i,18,22,CA002,1,8.000000,0.000000,,CIFT,94,Samet,2025-04-08 16:55:23.400000,KGShop,,,
113286,1718,160,i,18,21,CA002,1,6.000000,0.000000,,CIFT,88,Samet,2025-04-08 16:55:20.150000,KGShop,,,
113286,1718,160,i,18,22,CA002,1,4.000000,0.000000,,CIFT,95,Samet,2025-04-08 16:55:23.400000,KGShop,,,
113286,1718,161,i,18,21,CA002,1,3.000000,0.000000,,CIFT,89,Samet,2025-04-08 16:55:20.150000,KGShop,,,
113286,1718,161,i,18,22,CA002,1,4.000000,0.000000,,CIFT,96,Samet,2025-04-08 16:55:23.400000,KGShop,,,
113286,1718,162,i,18,21,CA002,1,3.000000,0.000000,,CIFT,90,Samet,2025-04-08 16:55:20.150000,KGShop,,,
113286,1751,160,i,11,13,CA002,1,1.000000,0.000000,,CIFT,54,Samet,2025-04-07 19:33:59.840000,KGShop,,,
113286,1751,161,i,11,13,CA002,1,9.000000,0.000000,,CIFT,55,Samet,2025-04-07 19:33:59.850000,KGShop,,,
113286,1751,162,i,11,13,CA002,1,6.000000,0.000000,,CIFT,56,Samet,2025-04-07 19:33:59.850000,KGShop,,,
113286,2236,156,i,11,14,CA002,1,2.000000,0.000000,,CIFT,57,Samet,2025-04-07 19:33:59.950000,KGShop,,,
113286,2236,157,i,11,14,CA002,1,2.000000,0.000000,,CIFT,58,Samet,2025-04-07 19:33:59.950000,KGShop,,,
113286,2236,158,i,11,14,CA002,1,2.000000,0.000000,,CIFT,59,Samet,2025-04-07 19:33:59.950000,KGShop,,,
113286,2236,159,i,11,14,CA002,1,1.000000,0.000000,,CIFT,60,Samet,2025-04-07 19:33:59.950000,KGShop,,,
113286,2236,160,i,11,14,CA002,1,3.000000,0.000000,,CIFT,61,Samet,2025-04-07 19:33:59.950000,KGShop,,,
113286,3387,156,i,20,25,CA002,1,6.000000,0.000000,,CIFT,111,Samet,2025-04-08 17:37:49.727000,KGShop,,,
113286,3387,156,i,22,29,CA002,1,6.000000,0.000000,,CIFT,137,Samet,2025-04-10 12:20:47.530000,KGShop_SIPYAZDIR,,,
113286,3387,157,i,20,25,CA002,1,6.000000,0.000000,,CIFT,112,Samet,2025-04-08 17:37:49.730000,KGShop,,,
113286,3387,157,i,22,29,CA002,1,6.000000,0.000000,,CIFT,138,Samet,2025-04-10 12:20:47.543000,KGShop_SIPYAZDIR,,,
113286,3387,158,i,20,25,CA002,1,6.000000,0.000000,,CIFT,113,Samet,2025-04-08 17:37:49.730000,KGShop,,,
113286,3387,158,i,22,29,CA002,1,6.000000,0.000000,,CIFT,139,Samet,2025-04-10 12:20:47.543000,KGShop_SIPYAZDIR,,,
113286,3387,159,i,20,25,CA002,1,6.000000,0.000000,,CIFT,114,Samet,2025-04-08 17:37:49.730000,KGShop,,,
113286,3387,159,i,22,29,CA002,1,6.000000,0.000000,,CIFT,140,Samet,2025-04-10 12:20:47.543000,KGShop_SIPYAZDIR,,,
113286,3387,160,i,20,25,CA002,1,6.000000,0.000000,,CIFT,115,Samet,2025-04-08 17:37:49.730000,KGShop,,,
113286,3387,160,i,22,29,CA002,1,6.000000,0.000000,,CIFT,141,Samet,2025-04-10 12:20:47.543000,KGShop_SIPYAZDIR,,,
113286,3387,161,i,20,25,CA002,1,6.000000,0.000000,,CIFT,116,Samet,2025-04-08 17:37:49.730000,KGShop,,,
113286,3387,161,i,22,29,CA002,1,6.000000,0.000000,,CIFT,142,Samet,2025-04-10 12:20:47.543000,KGShop_SIPYAZDIR,,,
113286,5989,156,i,19,24,CA002,1,11.000000,0.000000,,CIFT,104,Samet,2025-04-08 17:37:35.417000,KGShop,Samet,2025-04-08 18:24:26.393000,KGShop
113286,5989,156,i,20,26,CA002,1,10.000000,0.000000,,CIFT,117,Samet,2025-04-08 17:37:49.890000,KGShop,,,
113286,5989,157,i,19,24,CA002,1,23.000000,0.000000,,CIFT,105,Samet,2025-04-08 17:37:35.420000,KGShop,Samet,2025-04-08 18:24:26.397000,KGShop
113286,5989,157,i,20,26,CA002,1,30.000000,0.000000,,CIFT,118,Samet,2025-04-08 17:37:49.893000,KGShop,,,
113286,5989,158,i,19,24,CA002,1,24.000000,0.000000,,CIFT,106,Samet,2025-04-08 17:37:35.423000,KGShop,,,
113286,5989,158,i,20,26,CA002,1,40.000000,0.000000,,CIFT,119,Samet,2025-04-08 17:37:49.893000,KGShop,,,
113286,5989,159,i,19,24,CA002,1,30.000000,0.000000,,CIFT,107,Samet,2025-04-08 17:37:35.423000,KGShop,,,
113286,5989,159,i,20,26,CA002,1,50.000000,0.000000,,CIFT,120,Samet,2025-04-08 17:37:49.897000,KGShop,,,
113286,5989,160,i,19,24,CA002,1,21.000000,0.000000,,CIFT,108,Samet,2025-04-08 17:37:35.423000,KGShop,,,
113286,5989,160,i,20,26,CA002,1,40.000000,0.000000,,CIFT,121,Samet,2025-04-08 17:37:49.897000,KGShop,,,
113286,5989,161,i,19,24,CA002,1,9.000000,0.000000,,CIFT,109,Samet,2025-04-08 17:37:35.423000,KGShop,,,
113286,5989,161,i,20,26,CA002,1,20.000000,0.000000,,CIFT,122,Samet,2025-04-08 17:37:49.897000,KGShop,,,
113286,5989,162,i,19,24,CA002,1,6.000000,0.000000,,CIFT,110,Samet,2025-04-08 17:37:35.423000,KGShop,,,
113286,5989,162,i,20,26,CA002,1,10.000000,0.000000,,CIFT,123,Samet,2025-04-08 17:37:49.897000,KGShop,,,
121493,1772,157,i,10,12,CA002,1,3.000000,0.000000,,CIFT,48,Samet,2025-04-07 18:05:36.720000,KGShop,Samet,2025-04-07 18:06:02.673000,KGShop
121493,1772,158,i,10,12,CA002,1,4.000000,0.000000,,CIFT,49,Samet,2025-04-07 18:05:36.727000,KGShop,,,
121493,1772,159,i,10,12,CA002,1,8.000000,0.000000,,CIFT,50,Samet,2025-04-07 18:05:36.727000,KGShop,Samet,2025-04-07 18:06:02.680000,KGShop
121493,1772,160,i,10,12,CA002,1,6.000000,0.000000,,CIFT,51,Samet,2025-04-07 18:05:36.727000,KGShop,Samet,2025-04-07 18:06:02.683000,KGShop
121493,1772,161,i,10,12,CA002,1,3.000000,0.000000,,CIFT,52,Samet,2025-04-07 18:05:36.727000,KGShop,Samet,2025-04-07 18:06:02.683000,KGShop
121493,1772,162,i,10,12,CA002,1,3.000000,0.000000,,CIFT,53,Samet,2025-04-07 18:05:36.727000,KGShop,Samet,2025-04-07 18:06:02.683000,KGShop
KG1000,7,156,i,8,9,CA002,1,6.000000,0.000000,,CIFT,32,OZKAN,2025-01-24 12:30:59.370000,KGShop,OZKAN,2025-01-24 12:47:56.447000,KGShop
KG1000,7,157,i,8,9,CA002,1,6.000000,0.000000,,CIFT,33,OZKAN,2025-01-24 12:30:59.373000,KGShop,OZKAN,2025-01-24 12:47:56.457000,KGShop
KG1000,7,157,i,8,10,CA002,1,18.000000,0.000000,,CIFT,38,OZKAN,2025-01-24 12:31:03.027000,KGShop,OZKAN,2025-01-24 12:47:59.880000,KGShop
KG1000,7,158,i,8,9,CA002,1,6.000000,0.000000,,CIFT,34,OZKAN,2025-01-24 12:30:59.377000,KGShop,OZKAN,2025-01-24 12:47:56.457000,KGShop
KG1000,7,158,i,8,10,CA002,1,27.000000,0.000000,,CIFT,39,OZKAN,2025-01-24 12:31:03.027000,KGShop,OZKAN,2025-01-24 12:47:59.883000,KGShop
KG1000,7,159,i,8,9,CA002,1,12.000000,0.000000,,CIFT,35,OZKAN,2025-01-24 12:30:59.377000,KGShop,OZKAN,2025-01-24 12:47:56.457000,KGShop
KG1000,7,159,i,8,10,CA002,1,18.000000,0.000000,,CIFT,40,OZKAN,2025-01-24 12:31:03.027000,KGShop,OZKAN,2025-01-24 12:47:59.883000,KGShop
KG1000,7,160,i,8,9,CA002,1,12.000000,0.000000,,CIFT,36,OZKAN,2025-01-24 12:30:59.377000,KGShop,OZKAN,2025-01-24 12:47:56.457000,KGShop
KG1000,7,160,i,8,10,CA002,1,18.000000,0.000000,,CIFT,41,OZKAN,2025-01-24 12:31:03.027000,KGShop,OZKAN,2025-01-24 12:47:59.883000,KGShop
KG1000,7,161,i,8,9,CA002,1,6.000000,0.000000,,CIFT,37,OZKAN,2025-01-24 12:30:59.377000,KGShop,OZKAN,2025-01-24 12:47:56.457000,KGShop
KG1000,7,161,i,8,10,CA002,1,9.000000,0.000000,,CIFT,42,OZKAN,2025-01-24 12:31:03.027000,KGShop,OZKAN,2025-01-24 12:47:59.883000,KGShop
SERIDENEME,0,155,i,3,4,CA002,1,1.000000,0.000000,,CIFT,12,OZKAN,2024-03-25 18:56:39.150000,KGShop,,,
SERIDENEME,0,249,i,3,4,CA002,1,1.000000,0.000000,,CIFT,13,OZKAN,2024-03-25 18:56:39.150000,KGShop,,,
SERIDENEME,0,314,i,3,4,CA002,1,1.000000,0.000000,,CIFT,14,OZKAN,2024-03-25 18:56:39.150000,KGShop,,,
TESTSERIALEX,0,10002,i,4,5,CA001,1,12.000000,0.000000,,CIFT,15,k,2024-03-26 15:22:11.200000,KGShop,,,
