inx,CompName,CompType,Deger
7,rg_YurticDis,TRadioGroup,0
7,clb_SevkTip,TCheckListBox,"0,1,2,3"
7,RGX_RapKriter,TRadioGroup,0
7,xcb_Script,TCheckBox,*
7,CBX_Script,TComboBox,0
32,CB_SipTip,TComboBox,0
32,CLB_Location,TCheckListBox,0
32,clb_SumFieldList,TCheckListBox,"0,1"
32,CB_ParaC,TComboBox,3
32,cbCevir,TCheckBox,*
32,cb_ParaC2,TComboBox,2
32,CB_StokSekli,TComboBox,0
32,RG_OzKodBag,TRadioGroup,0
32,CoBFiyat_Tip,TComboBox,0
32,CoBSatFiyat_Tip,TComboBox,0
32,CB_ParaC3,TComboBox,-1
32,rg_SipCreated,TRadioGroup,0
32,cb_OnayKademe,TComboBox,0
32,rg_ConvertBirim,TRadioGroup,0
32,rg_NetKalan,TRadioGroup,0
32,rg_TutarHesTip,TRadioGroup,0
32,CB_MDPLocation,TComboBox,0
32,rg_SipPrintOp,TRadioGroup,0
32,rg_SipUrKonum,TRadioGroup,0
32,rg_YurticDis,TRadioGroup,0
32,RGX_RapKriter,TRadioGroup,0
32,CBX_Script,TComboBox,0
33,CB_SipTip,TComboBox,0
33,CLB_Location,TCheckListBox,0
33,clb_SumFieldList,TCheckListBox,"0,1"
33,CB_ParaC,TComboBox,3
10,CB_SipTip,TComboBox,0
10,CLB_Location,TCheckListBox,0
10,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11,12,13,14"
10,CB_ParaC,TComboBox,3
10,cbCevir,TCheckBox,*
10,cb_ParaC2,TComboBox,2
10,CB_StokSekli,TComboBox,0
10,RG_OzKodBag,TRadioGroup,0
10,CoBFiyat_Tip,TComboBox,1
10,CoBSatFiyat_Tip,TComboBox,1
10,CB_ParaC3,TComboBox,2
10,rg_SipCreated,TRadioGroup,0
10,cb_OnayKademe,TComboBox,-1
10,rg_ConvertBirim,TRadioGroup,0
10,rg_NetKalan,TRadioGroup,0
10,rg_TutarHesTip,TRadioGroup,0
10,CB_MDPLocation,TComboBox,1
10,rg_SipPrintOp,TRadioGroup,0
10,rg_SipUrKonum,TRadioGroup,0
10,rg_YurticDis,TRadioGroup,0
10,clb_SevkDurum,TCheckListBox,"0,1,2,3"
10,RGX_RapKriter,TRadioGroup,0
10,xcb_Script,TCheckBox,*
10,CBX_Script,TComboBox,0
10,CBKapa,TCheckBox,*
11,rg_KurCevrim,TRadioGroup,0
11,CoBParaC,TComboBox,3
11,xcb_ParaC2,TCheckBox,*
11,CoBParaC2,TComboBox,2
11,clb_FisTipR,TCheckListBox,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
11,rg_AB_Dr,TRadioGroup,0
11,E_NormalCari,TCheckBox,*
11,E_FasonCari,TCheckBox,*
11,E_LokasyonCari,TCheckBox,*
11,xcb_AlBorVisible,TCheckBox,*
11,CoBLocation,TComboBox,1
11,cbl_xLocation,TCheckListBox,0
11,rg_iptal,TRadioGroup,0
11,rg_YurticDis,TRadioGroup,0
11,clb_FisTip,TCheckListBox,"0,1,2,3,4,5,6,7,8,9,10,11,12,13"
11,CB_Rap,TComboBox,0
11,cb_eXportType,TComboBox,1
11,CB_ParaCRapDov,TComboBox,2
11,cb_RapTitle,TCheckBox,*
11,cbSumCekDurum,TCheckBox,*
11,rg_RiskBilgi,TRadioGroup,0
11,xcb_Script,TCheckBox,*
11,CBX_Script,TComboBox,0
12,rg_KurCevrim,TRadioGroup,0
12,CoBParaC,TComboBox,3
12,xcb_ParaC2,TCheckBox,*
12,CoBParaC2,TComboBox,2
12,clb_FisTipR,TCheckListBox,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
12,rg_AB_Dr,TRadioGroup,0
33,cbCevir,TCheckBox,*
4,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11,12,13,14"
4,CB_ParaC,TComboBox,3
4,cbCevir,TCheckBox,*
4,cb_ParaC2,TComboBox,2
4,CBKapa,TCheckBox,*
4,CB_StokSekli,TComboBox,0
4,RG_OzKodBag,TRadioGroup,0
4,rg_SipCreated,TRadioGroup,0
4,cb_OnayKademe,TComboBox,-1
4,RadioGroup1,TRadioGroup,0
4,rg_ConvertBirim,TRadioGroup,0
4,rg_NetKalan,TRadioGroup,0
4,rg_TutarHesTip,TRadioGroup,0
4,CB_MDPLocation,TComboBox,1
4,rg_SipPrintOp,TRadioGroup,0
4,rg_YurticDis,TRadioGroup,0
4,clb_SevkTip,TCheckListBox,"0,1,2,3"
4,RGX_RapKriter,TRadioGroup,0
4,xcb_Script,TCheckBox,*
4,CBX_Script,TComboBox,0
12,E_NormalCari,TCheckBox,*
12,E_FasonCari,TCheckBox,*
12,E_LokasyonCari,TCheckBox,*
12,xcb_AlBorVisible,TCheckBox,*
12,xcb_PazSipKal,TCheckBox,*
12,CoBLocation,TComboBox,1
12,cbl_xLocation,TCheckListBox,0
12,rg_iptal,TRadioGroup,0
12,rg_YurticDis,TRadioGroup,0
12,clb_FisTip,TCheckListBox,"0,1,2,3,4,5,6,7,8,9,10,11,12,13"
12,CB_Rap,TComboBox,0
12,cb_eXportType,TComboBox,1
12,CB_ParaCRapDov,TComboBox,2
12,cb_RapTitle,TCheckBox,*
12,cbSumCekDurum,TCheckBox,*
12,rg_RiskBilgi,TRadioGroup,0
12,xcb_Script,TCheckBox,*
12,CBX_Script,TComboBox,1
13,CB_SipTip,TComboBox,0
13,CLB_Location,TCheckListBox,0
13,clb_SumFieldList,TCheckListBox,"0,7,12,13,14"
13,CB_ParaC,TComboBox,3
13,cbCevir,TCheckBox,*
13,cb_ParaC2,TComboBox,2
13,CB_StokSekli,TComboBox,0
13,RG_OzKodBag,TRadioGroup,0
13,CoBFiyat_Tip,TComboBox,1
13,CoBSatFiyat_Tip,TComboBox,1
13,CB_ParaC3,TComboBox,-1
13,rg_SipCreated,TRadioGroup,0
13,cb_OnayKademe,TComboBox,-1
13,rg_ConvertBirim,TRadioGroup,0
13,rg_NetKalan,TRadioGroup,0
13,rg_TutarHesTip,TRadioGroup,0
13,CB_MDPLocation,TComboBox,1
13,rg_SipPrintOp,TRadioGroup,0
13,rg_SipUrKonum,TRadioGroup,0
13,rg_YurticDis,TRadioGroup,0
13,clb_SevkDurum,TCheckListBox,"0,1,2,3"
13,RGX_RapKriter,TRadioGroup,0
13,CBX_Script,TComboBox,-1
14,CB_SipTip,TComboBox,0
14,CLB_Location,TCheckListBox,0
14,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11,12,13,14"
14,CB_ParaC,TComboBox,3
14,cbCevir,TCheckBox,*
14,cb_ParaC2,TComboBox,2
14,CB_StokSekli,TComboBox,0
14,RG_OzKodBag,TRadioGroup,0
14,CoBFiyat_Tip,TComboBox,1
14,CoBSatFiyat_Tip,TComboBox,1
14,CB_ParaC3,TComboBox,-1
14,rg_SipCreated,TRadioGroup,0
14,cb_OnayKademe,TComboBox,-1
14,rg_ConvertBirim,TRadioGroup,0
14,rg_NetKalan,TRadioGroup,0
14,rg_TutarHesTip,TRadioGroup,0
14,CB_MDPLocation,TComboBox,1
14,rg_SipPrintOp,TRadioGroup,0
14,rg_SipUrKonum,TRadioGroup,0
14,rg_YurticDis,TRadioGroup,0
14,clb_SevkDurum,TCheckListBox,"0,1,2,3"
14,RGX_RapKriter,TRadioGroup,0
14,xcb_Script,TCheckBox,*
14,CBX_Script,TComboBox,-1
14,cbStokMevcuduOlanlar,TCheckBox,*
14,CBKapa,TCheckBox,*
15,rg_KurCevrim,TRadioGroup,0
15,CoBParaC,TComboBox,3
15,CoBParaC2,TComboBox,2
15,clb_FisTipR,TCheckListBox,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
15,rg_AB_Dr,TRadioGroup,0
15,E_NormalCari,TCheckBox,*
15,E_FasonCari,TCheckBox,*
15,E_LokasyonCari,TCheckBox,*
15,xcb_AlBorVisible,TCheckBox,*
15,xcb_PazSipKal,TCheckBox,*
15,CoBLocation,TComboBox,2
15,cbl_xLocation,TCheckListBox,1
15,rg_iptal,TRadioGroup,0
15,rg_YurticDis,TRadioGroup,0
15,clb_FisTip,TCheckListBox,"0,1,2,3,4,5,6,7,8,9,10,11,12,13"
15,CB_Rap,TComboBox,0
15,cb_eXportType,TComboBox,1
15,CB_ParaCRapDov,TComboBox,2
15,cb_RapTitle,TCheckBox,*
15,cbSumCekDurum,TCheckBox,*
15,rg_RiskBilgi,TRadioGroup,0
15,xcb_Script,TCheckBox,*
15,CBX_Script,TComboBox,1
16,rg_KurCevrim,TRadioGroup,0
16,CoBParaC,TComboBox,3
16,CoBParaC2,TComboBox,2
16,clb_FisTipR,TCheckListBox,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
16,rg_AB_Dr,TRadioGroup,0
16,E_NormalCari,TCheckBox,*
16,E_FasonCari,TCheckBox,*
16,E_LokasyonCari,TCheckBox,*
16,xcb_AlBorVisible,TCheckBox,*
16,CoBLocation,TComboBox,2
16,cbl_xLocation,TCheckListBox,1
16,rg_iptal,TRadioGroup,0
16,rg_YurticDis,TRadioGroup,0
16,clb_FisTip,TCheckListBox,"0,1,2,3,4,5,6,7,8,9,10,11,12,13"
16,CB_Rap,TComboBox,0
16,cb_eXportType,TComboBox,1
16,CB_ParaCRapDov,TComboBox,2
16,cb_RapTitle,TCheckBox,*
16,cbSumCekDurum,TCheckBox,*
16,rg_RiskBilgi,TRadioGroup,0
16,xcb_Script,TCheckBox,*
16,CBX_Script,TComboBox,0
16,xcb_ParaC2,TCheckBox,*
16,E_CKod1,TEdit,F-001
16,E_CKod2,TEdit,F-011
17,CB_SipTip,TComboBox,0
17,CLB_Location,TCheckListBox,0
17,clb_SumFieldList,TCheckListBox,0
17,CB_ParaC,TComboBox,3
17,cbCevir,TCheckBox,*
17,cb_ParaC2,TComboBox,2
17,CB_StokSekli,TComboBox,0
17,RG_OzKodBag,TRadioGroup,0
17,CoBFiyat_Tip,TComboBox,1
17,CoBSatFiyat_Tip,TComboBox,1
17,CB_ParaC3,TComboBox,-1
17,rg_SipCreated,TRadioGroup,0
17,cb_OnayKademe,TComboBox,-1
17,rg_ConvertBirim,TRadioGroup,0
17,rg_NetKalan,TRadioGroup,0
17,rg_TutarHesTip,TRadioGroup,0
17,CB_MDPLocation,TComboBox,2
17,rg_SipPrintOp,TRadioGroup,0
17,rg_SipUrKonum,TRadioGroup,0
17,rg_YurticDis,TRadioGroup,0
17,clb_SevkDurum,TCheckListBox,"0,1,2,3"
17,RGX_RapKriter,TRadioGroup,0
17,CBX_Script,TComboBox,0
18,CB_SipTip,TComboBox,0
18,CLB_Location,TCheckListBox,0
18,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11,12,13,14"
18,CB_ParaC,TComboBox,3
18,cbCevir,TCheckBox,*
18,cb_ParaC2,TComboBox,2
18,CBKapa,TCheckBox,*
18,CB_StokSekli,TComboBox,0
18,RG_OzKodBag,TRadioGroup,0
18,CoBFiyat_Tip,TComboBox,1
18,CoBSatFiyat_Tip,TComboBox,1
18,CB_ParaC3,TComboBox,-1
18,rg_SipCreated,TRadioGroup,0
18,cb_OnayKademe,TComboBox,-1
18,rg_ConvertBirim,TRadioGroup,0
18,rg_NetKalan,TRadioGroup,0
18,rg_TutarHesTip,TRadioGroup,0
18,CB_MDPLocation,TComboBox,2
18,rg_SipPrintOp,TRadioGroup,0
18,xcb_BagliSiparisler,TCheckBox,*
18,rg_SipUrKonum,TRadioGroup,0
18,rg_YurticDis,TRadioGroup,0
18,clb_SevkDurum,TCheckListBox,"0,1,2,3"
18,RGX_RapKriter,TRadioGroup,0
18,xcb_Script,TCheckBox,*
18,CBX_Script,TComboBox,1
19,CB_SipTip,TComboBox,0
19,CLB_Location,TCheckListBox,0
19,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11"
19,CB_ParaC,TComboBox,3
19,cbCevir,TCheckBox,*
19,cb_ParaC2,TComboBox,2
19,CBKapa,TCheckBox,*
19,CB_StokSekli,TComboBox,0
19,RG_OzKodBag,TRadioGroup,0
19,CoBFiyat_Tip,TComboBox,1
19,CoBSatFiyat_Tip,TComboBox,1
19,CB_ParaC3,TComboBox,-1
19,rg_SipCreated,TRadioGroup,0
19,cb_OnayKademe,TComboBox,-1
19,rg_ConvertBirim,TRadioGroup,0
19,rg_NetKalan,TRadioGroup,0
19,rg_TutarHesTip,TRadioGroup,0
19,CB_MDPLocation,TComboBox,2
19,rg_SipPrintOp,TRadioGroup,0
19,rg_SipUrKonum,TRadioGroup,0
19,rg_YurticDis,TRadioGroup,0
19,clb_SevkDurum,TCheckListBox,"0,1,2,3"
19,RGX_RapKriter,TRadioGroup,0
19,xcb_Script,TCheckBox,*
19,CBX_Script,TComboBox,0
20,CB_SipTip,TComboBox,0
20,CLB_Location,TCheckListBox,0
20,clb_SumFieldList,TCheckListBox,"0,7,11,13,14"
20,CB_ParaC,TComboBox,3
20,cbCevir,TCheckBox,*
20,cb_ParaC2,TComboBox,2
20,E_CKod1,TEdit,A-011
20,E_CKod2,TEdit,A-011
20,CBKapa,TCheckBox,*
20,CB_StokSekli,TComboBox,0
20,RG_OzKodBag,TRadioGroup,0
20,CoBFiyat_Tip,TComboBox,1
20,CoBSatFiyat_Tip,TComboBox,1
20,CB_ParaC3,TComboBox,-1
20,rg_SipCreated,TRadioGroup,0
20,cb_OnayKademe,TComboBox,-1
20,rg_ConvertBirim,TRadioGroup,0
20,rg_NetKalan,TRadioGroup,0
20,rg_TutarHesTip,TRadioGroup,0
20,CB_MDPLocation,TComboBox,2
20,rg_SipPrintOp,TRadioGroup,0
20,xcb_BagliSiparisler,TCheckBox,*
20,rg_SipUrKonum,TRadioGroup,0
20,rg_YurticDis,TRadioGroup,0
20,clb_SevkDurum,TCheckListBox,"0,1,2,3"
20,RGX_RapKriter,TRadioGroup,0
20,xcb_Script,TCheckBox,*
20,CBX_Script,TComboBox,0
21,CB_SipTip,TComboBox,0
21,CLB_Location,TCheckListBox,0
21,clb_SumFieldList,TCheckListBox,"0,7,11,13,14"
21,CB_ParaC,TComboBox,3
21,cbCevir,TCheckBox,*
21,cb_ParaC2,TComboBox,2
21,E_CKod1,TEdit,A-573
21,E_CKod2,TEdit,A-573
21,CBKapa,TCheckBox,*
21,CB_StokSekli,TComboBox,0
21,RG_OzKodBag,TRadioGroup,0
21,CoBFiyat_Tip,TComboBox,0
21,CoBSatFiyat_Tip,TComboBox,0
21,CB_ParaC3,TComboBox,-1
21,rg_SipCreated,TRadioGroup,0
21,cb_OnayKademe,TComboBox,0
21,rg_ConvertBirim,TRadioGroup,0
21,rg_NetKalan,TRadioGroup,0
21,rg_TutarHesTip,TRadioGroup,0
21,CB_MDPLocation,TComboBox,0
21,rg_SipPrintOp,TRadioGroup,0
21,xcb_BagliSiparisler,TCheckBox,*
21,rg_SipUrKonum,TRadioGroup,0
21,rg_YurticDis,TRadioGroup,0
21,RGX_RapKriter,TRadioGroup,0
21,xcb_Script,TCheckBox,*
21,CBX_Script,TComboBox,0
87,CB_SipTip,TcxComboBox,0
87,CLB_Location,TCheckListBox,"0,1,2"
87,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11,12,14"
87,CB_ParaC,TcxComboBox,3
87,cbCevir,TcxCheckBox,*
87,cb_ParaC2,TcxComboBox,2
87,E_CKod1,TcxTextEdit,A-0001
87,E_CKod2,TcxTextEdit,GM002
87,dtp_SipTime_1,TDateTimePicker,0
87,dtp_SipTime_2,TDateTimePicker,0
87,dtp_SendTime_1,TDateTimePicker,0
87,dtp_SendTime_2,TDateTimePicker,0
87,cbStokMevcuduOlanlar,TcxCheckBox,
87,CBKapa,TcxCheckBox,*
87,xrg_sipKapa,TcxRadioGroup,0
87,cbBagSipVisible,TcxCheckBox,
87,cbPazKalanToplam,TcxCheckBox,
87,E_SKod1,TcxTextEdit,
87,E_SKod2,TcxTextEdit,
87,cbGrupKod,TcxCheckBox,
87,cbStokTip,TcxCheckBox,
87,cbBEDGrp,TcxCheckBox,
87,cbRKod,TcxCheckBox,
87,cbCinsKod,TcxCheckBox,
87,cbReyon,TcxCheckBox,
26,CB_SipTip,TComboBox,0
26,CLB_Location,TCheckListBox,0
26,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11"
26,CB_ParaC,TComboBox,3
26,cbCevir,TCheckBox,*
26,cb_ParaC2,TComboBox,2
26,CBKapa,TCheckBox,*
26,cbUreticiKodu,TCheckBox,*
26,CB_StokSekli,TComboBox,0
26,E_UreticiKodu,TEdit,114
26,RG_OzKodBag,TRadioGroup,0
26,CoBFiyat_Tip,TComboBox,1
26,CoBSatFiyat_Tip,TComboBox,1
26,CB_ParaC3,TComboBox,-1
26,rg_SipCreated,TRadioGroup,0
26,cb_OnayKademe,TComboBox,-1
26,rg_ConvertBirim,TRadioGroup,0
26,rg_NetKalan,TRadioGroup,0
26,rg_TutarHesTip,TRadioGroup,0
26,CB_MDPLocation,TComboBox,2
26,rg_SipPrintOp,TRadioGroup,0
26,rg_SipUrKonum,TRadioGroup,0
26,rg_YurticDis,TRadioGroup,0
26,clb_SevkDurum,TCheckListBox,"0,1,2,3"
26,RGX_RapKriter,TRadioGroup,0
26,xcb_Script,TCheckBox,*
26,CBX_Script,TComboBox,0
5,CB_ParaC3,TComboBox,-1
5,rg_SipUrKonum,TRadioGroup,0
56,cbOzKod16,TcxCheckBox,
56,cbOzKod17,TcxCheckBox,
56,cbOzKod18,TcxCheckBox,
56,cbOzKod19,TcxCheckBox,
56,cbOzKod20,TcxCheckBox,
56,E_OzKod11,TcxTextEdit,
56,E_OzKod12,TcxTextEdit,
56,E_OzKod13,TcxTextEdit,
56,E_OzKod14,TcxTextEdit,
56,E_OzKod15,TcxTextEdit,
56,E_OzKod16,TcxTextEdit,
56,E_OzKod17,TcxTextEdit,
56,E_OzKod18,TcxTextEdit,
56,E_OzKod19,TcxTextEdit,
56,E_OzKod20,TcxTextEdit,
56,xcb_Resim,TcxCheckBox,
56,xcb_ShowPicture,TcxCheckBox,
56,RG_STAktif,TcxRadioGroup,0
56,RG_OzKodBag,TcxRadioGroup,0
1,CoBFiyat_Tip,TComboBox,0
1,CoBSatFiyat_Tip,TComboBox,0
1,CB_ParaC3,TComboBox,-1
1,rg_SipUrKonum,TRadioGroup,0
22,CB_SipTip,TComboBox,0
22,CLB_Location,TCheckListBox,0
22,clb_SumFieldList,TCheckListBox,"0,7,11"
22,CB_ParaC,TComboBox,3
22,cbCevir,TCheckBox,*
22,cb_ParaC2,TComboBox,2
22,CBKapa,TCheckBox,*
22,CB_StokSekli,TComboBox,0
22,RG_OzKodBag,TRadioGroup,0
22,CoBFiyat_Tip,TComboBox,0
22,CoBSatFiyat_Tip,TComboBox,0
22,CB_ParaC3,TComboBox,-1
22,rg_SipCreated,TRadioGroup,0
22,cb_OnayKademe,TComboBox,0
22,rg_ConvertBirim,TRadioGroup,0
22,rg_NetKalan,TRadioGroup,0
22,rg_TutarHesTip,TRadioGroup,0
22,CB_MDPLocation,TComboBox,0
22,rg_SipPrintOp,TRadioGroup,0
22,rg_SipUrKonum,TRadioGroup,0
22,rg_YurticDis,TRadioGroup,0
22,RGX_RapKriter,TRadioGroup,0
22,xcb_Script,TCheckBox,*
22,CBX_Script,TComboBox,2
23,CB_SipTip,TComboBox,0
23,CLB_Location,TCheckListBox,"0,1"
23,clb_SumFieldList,TCheckListBox,"0,7,11,13,14"
23,CB_ParaC,TComboBox,3
23,cbCevir,TCheckBox,*
23,cb_ParaC2,TComboBox,2
23,CBKapa,TCheckBox,*
23,CB_StokSekli,TComboBox,0
23,RG_OzKodBag,TRadioGroup,0
23,CoBFiyat_Tip,TComboBox,0
23,CoBSatFiyat_Tip,TComboBox,0
23,CB_ParaC3,TComboBox,-1
23,rg_SipCreated,TRadioGroup,0
23,cb_OnayKademe,TComboBox,0
23,rg_ConvertBirim,TRadioGroup,0
23,rg_NetKalan,TRadioGroup,0
23,rg_TutarHesTip,TRadioGroup,0
23,CB_MDPLocation,TComboBox,0
23,rg_SipPrintOp,TRadioGroup,0
23,xcb_BagliSiparisler,TCheckBox,*
23,rg_SipUrKonum,TRadioGroup,0
23,rg_YurticDis,TRadioGroup,0
23,RGX_RapKriter,TRadioGroup,0
23,CBX_Script,TComboBox,5
23,xcb_Script,TCheckBox,*
24,CB_SipTip,TComboBox,0
24,CLB_Location,TCheckListBox,0
24,clb_SumFieldList,TCheckListBox,"0,7,11,13,14"
24,CB_ParaC,TComboBox,3
24,cbCevir,TCheckBox,*
24,cb_ParaC2,TComboBox,2
24,CBKapa,TCheckBox,*
24,CB_StokSekli,TComboBox,0
24,RG_OzKodBag,TRadioGroup,0
24,CoBFiyat_Tip,TComboBox,0
24,CoBSatFiyat_Tip,TComboBox,0
24,CB_ParaC3,TComboBox,-1
24,rg_SipCreated,TRadioGroup,0
24,cb_OnayKademe,TComboBox,0
24,rg_ConvertBirim,TRadioGroup,0
24,rg_NetKalan,TRadioGroup,0
24,rg_TutarHesTip,TRadioGroup,0
24,CB_MDPLocation,TComboBox,0
24,rg_SipPrintOp,TRadioGroup,0
24,xcb_BagliSiparisler,TCheckBox,*
24,rg_SipUrKonum,TRadioGroup,0
24,rg_YurticDis,TRadioGroup,0
24,RGX_RapKriter,TRadioGroup,0
24,xcb_Script,TCheckBox,*
24,CBX_Script,TComboBox,0
5,CoBFiyat_Tip,TComboBox,0
5,CoBSatFiyat_Tip,TComboBox,0
29,CB_SipTip,TComboBox,0
29,CLB_Location,TCheckListBox,0
29,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11"
29,CB_ParaC,TComboBox,3
29,cbCevir,TCheckBox,*
29,cb_ParaC2,TComboBox,2
29,CBKapa,TCheckBox,*
29,cbUreticiKodu,TCheckBox,*
29,CB_StokSekli,TComboBox,0
29,E_UreticiKodu,TEdit,114
29,RG_OzKodBag,TRadioGroup,0
29,CoBFiyat_Tip,TComboBox,1
29,CoBSatFiyat_Tip,TComboBox,1
29,CB_ParaC3,TComboBox,-1
29,rg_SipCreated,TRadioGroup,0
29,cb_OnayKademe,TComboBox,-1
29,rg_ConvertBirim,TRadioGroup,0
29,rg_NetKalan,TRadioGroup,0
29,rg_TutarHesTip,TRadioGroup,0
29,CB_MDPLocation,TComboBox,2
29,rg_SipPrintOp,TRadioGroup,0
29,rg_SipUrKonum,TRadioGroup,0
29,rg_YurticDis,TRadioGroup,0
29,clb_SevkDurum,TCheckListBox,"0,1,2,3"
29,RGX_RapKriter,TRadioGroup,0
29,xcb_Script,TCheckBox,*
29,CBX_Script,TComboBox,0
34,CB_SipTip,TComboBox,0
34,CLB_Location,TCheckListBox,0
34,clb_SumFieldList,TCheckListBox,"0,7,8,9,10,11"
34,CB_ParaC,TComboBox,3
34,cbCevir,TCheckBox,*
34,cb_ParaC2,TComboBox,2
34,CBKapa,TCheckBox,*
34,cbUreticiKodu,TCheckBox,*
34,CB_StokSekli,TComboBox,0
34,E_UreticiKodu,TEdit,114
34,RG_OzKodBag,TRadioGroup,0
34,CoBFiyat_Tip,TComboBox,1
34,CoBSatFiyat_Tip,TComboBox,1
34,CB_ParaC3,TComboBox,-1
34,rg_SipCreated,TRadioGroup,0
34,cb_OnayKademe,TComboBox,-1
34,rg_ConvertBirim,TRadioGroup,0
34,rg_NetKalan,TRadioGroup,0
34,rg_TutarHesTip,TRadioGroup,0
34,CB_MDPLocation,TComboBox,2
34,rg_SipPrintOp,TRadioGroup,0
34,rg_SipUrKonum,TRadioGroup,0
34,rg_YurticDis,TRadioGroup,0
34,clb_SevkDurum,TCheckListBox,"0,1,2,3"
34,RGX_RapKriter,TRadioGroup,0
34,xcb_Script,TCheckBox,*
34,CBX_Script,TComboBox,0
31,CB_SipTip,TComboBox,0
31,CLB_Location,TCheckListBox,0
31,clb_SumFieldList,TCheckListBox,"0,7,11,13,14"
31,CB_ParaC,TComboBox,3
31,cbCevir,TCheckBox,*
31,cb_ParaC2,TComboBox,2
31,CBKapa,TCheckBox,*
31,CB_StokSekli,TComboBox,0
31,RG_OzKodBag,TRadioGroup,0
31,CoBFiyat_Tip,TComboBox,0
31,CoBSatFiyat_Tip,TComboBox,0
31,CB_ParaC3,TComboBox,-1
31,rg_SipCreated,TRadioGroup,0
31,cb_OnayKademe,TComboBox,0
