Code,Name,Rate,ID
620,İstisnadan Vazgeçenlerin Hurda ve Atık Teslimi[KDVGUT-(I/C-2.1.3.3.3)],5/10,113
621,"Metal, Plastik, Lastik, Kauçuk, Kâğıt ve Cam Hurda ve Atıklardan Elde Edilen Hammadde Teslimi[KDVGUT-(I/C-2.1.3.3.4)]",9/10,114
622,"Pamuk, Tiftik, Yün ve Yapağı İle Ham Post ve Deri Teslimleri[KDVGUT-(I/C-2.1.3.3.5)]",9/10,115
623,Ağaç ve Orman Ürünleri Teslimi[KDVGUT-(I/C-2.1.3.3.6)],5/10,116
224,YÜK TAŞIMACILIĞI HİZMETİ[KDVGUT-(1/C-2.1.3.2.11)],2/10,117
624,YÜK TAŞIMACILIĞI HİZMETİ[KDVGUT-(1/C-2.1.3.2.11)],2/10,118
225,TİCARİ REKLAM HİZMETLERİ[KDVGUT-[1/C-2.1.3.2.15)],3/10,119
625,TİCARİ REKLAM HİZMETLERİ[KDVGUT-[1/C-2.1.3.2.15)],3/10,120
226,DİĞER REKLAMLAR [KDVGUT-(1/C-2.1.3.3.7)],2/10,121
626,DİĞER REKLAMLAR [KDVGUT-(1/C-2.1.3.3.7)],2/10,122
250,Diğerleri,2/10,123
250,Diğerleri,5/10,124
250,Diğerleri,7/10,125
250,Diğerleri,9/10,126
650,Diğerleri,2/10,127
650,Diğerleri,5/10,128
650,Diğerleri,7/10,129
650,Diğerleri,9/10,130
