Koli_KOD,Beden_No,Koli_ADET
0028,6,0.0
0028,7,8.0
0028,8,26.0
0028,9,48.0
0028,10,64.0
0028,11,54.0
0028,12,32.0
0028,13,18.0
0028,34,0.0
0029,1,0.0
0029,2,0.0
0029,3,0.0
0029,4,0.0
0029,5,0.0
0029,6,0.0
0029,7,1.0
0029,8,3.0
0029,9,3.0
0029,10,3.0
0029,11,2.0
0029,12,0.0
0029,13,0.0
0029,34,0.0
0030,1,0.0
0030,2,0.0
0030,3,0.0
0030,4,0.0
0030,5,0.0
0030,6,0.0
0030,7,2.0
0030,8,4.0
0030,9,12.0
0030,10,18.0
0030,11,14.0
0030,12,8.0
0030,13,2.0
0030,34,0.0
0031,1,0.0
0031,2,0.0
0031,3,0.0
0031,4,0.0
0031,5,0.0
0031,6,0.0
0031,7,1.0
0031,8,1.0
0031,9,2.0
0031,10,2.0
0031,11,1.0
0031,12,1.0
0031,13,0.0
0031,34,0.0
0032,1,0.0
0032,2,0.0
0032,3,0.0
0032,4,0.0
0032,5,0.0
0032,6,0.0
0032,7,0.0
0032,8,1.0
0032,9,2.0
0032,10,1.0
0032,11,2.0
0032,12,1.0
0032,13,1.0
0032,34,0.0
0033,1,0.0
0033,2,0.0
0033,3,0.0
0033,4,0.0
0033,5,0.0
0033,6,0.0
0033,7,2.0
0033,8,2.0
0033,9,2.0
0033,10,2.0
0033,11,2.0
0033,12,0.0
0033,13,0.0
0033,34,0.0
0034,1,0.0
0034,2,0.0
0034,3,0.0
0034,4,0.0
0034,5,0.0
0034,6,0.0
0034,7,0.0
0034,8,1.0
0034,9,2.0
0034,10,1.0
0034,11,2.0
0034,12,2.0
0034,13,2.0
0034,34,0.0
0035,1,0.0
0035,2,0.0
0035,3,0.0
0035,4,0.0
0035,5,0.0
0035,6,0.0
0035,7,0.0
0035,8,1.0
0035,9,2.0
0035,10,2.0
0035,11,1.0
0035,12,0.0
0035,13,0.0
0035,34,0.0
0036,1,0.0
0036,2,0.0
0036,3,0.0
0036,4,0.0
0036,5,0.0
0036,6,0.0
0036,7,0.0
0036,8,0.0
0036,9,1.0
0036,10,1.0
0036,11,2.0
0036,12,2.0
0036,13,2.0
0036,34,0.0
0037,1,0.0
0037,2,0.0
0037,3,0.0
0037,4,0.0
0037,5,0.0
0037,6,0.0
0037,7,0.0
0037,8,1.0
0037,9,2.0
0037,10,1.0
0037,11,1.0
0037,12,1.0
0037,13,0.0
0037,34,0.0
0038,1,0.0
0038,2,0.0
0038,3,0.0
0038,4,0.0
0038,5,0.0
0038,6,0.0
0038,7,1.0
0038,8,1.0
0038,9,2.0
0038,10,2.0
0038,11,2.0
0038,12,0.0
0038,13,0.0
0038,34,0.0
0039,1,0.0
0039,2,0.0
0039,3,0.0
0039,4,0.0
0039,5,0.0
0039,6,0.0
0039,7,1.0
0039,8,2.0
0039,9,4.0
0039,10,4.0
0039,11,3.0
0039,12,2.0
0039,13,0.0
0039,34,0.0
0040,1,0.0
0040,2,0.0
0040,3,0.0
0040,4,0.0
0040,5,0.0
0040,6,1.0
0040,7,1.0
0040,8,2.0
0040,9,1.0
0040,10,1.0
0040,11,0.0
0040,12,0.0
0040,13,0.0
0040,34,0.0
0041,1,0.0
0041,2,0.0
0041,3,0.0
0041,4,0.0
0041,5,0.0
0041,6,0.0
0041,7,3.0
0041,8,4.0
0041,9,5.0
0041,10,5.0
0041,11,4.0
0041,12,3.0
0041,13,0.0
0041,34,0.0
0042,1,0.0
0042,2,0.0
0042,3,0.0
0042,4,0.0
0042,5,0.0
0042,6,0.0
0042,7,0.0
0042,8,0.0
0042,9,2.0
0042,10,1.0
0042,11,2.0
0042,12,2.0
0042,13,1.0
0042,34,0.0
0043,1,0.0
0043,2,0.0
0043,3,0.0
0043,4,0.0
0043,5,0.0
0043,6,0.0
0043,7,1.0
0043,8,1.0
0043,9,1.0
0043,10,1.0
0043,11,2.0
0043,12,1.0
0043,13,0.0
0043,34,0.0
0044,1,0.0
0044,2,0.0
0044,3,0.0
0044,4,0.0
0044,5,0.0
0044,6,0.0
0044,7,1.0
0044,8,2.0
0044,9,1.0
0044,10,1.0
0044,11,2.0
0044,12,0.0
0044,13,0.0
0044,34,0.0
0045,1,0.0
0045,2,0.0
0045,3,0.0
0045,4,0.0
0045,5,0.0
0045,6,0.0
0045,7,1.0
0045,8,1.0
0045,9,2.0
0045,10,1.0
0045,11,1.0
0045,12,0.0
0045,13,0.0
0045,34,0.0
0046,1,0.0
0046,2,0.0
0046,3,0.0
0046,4,0.0
0046,5,0.0
0046,6,0.0
0046,7,0.0
0046,8,0.0
0046,9,0.0
0046,10,0.0
0046,11,1.0
0046,12,0.0
0046,13,0.0
0046,34,0.0
0047,1,0.0
0047,2,0.0
0047,3,0.0
0047,4,0.0
0047,5,0.0
0047,6,0.0
0047,7,2.0
0047,8,2.0
0047,9,2.0
0047,10,2.0
0047,11,1.0
0047,12,1.0
0047,13,0.0
0047,34,0.0
0048,1,0.0
0048,2,0.0
0048,3,0.0
0048,4,0.0
0048,5,0.0
0048,6,0.0
0048,7,0.0
0048,8,1.0
0048,9,2.0
0048,10,2.0
0048,11,2.0
0048,12,2.0
0048,13,1.0
0048,34,0.0
0049,1,0.0
0049,2,0.0
0049,3,0.0
0049,4,0.0
0049,5,0.0
0049,6,0.0
0049,7,1.0
0049,8,2.0
0049,9,1.0
0049,10,1.0
0049,11,1.0
0049,12,0.0
0049,13,0.0
0049,34,0.0
0050,1,0.0
0050,2,0.0
0050,3,0.0
0050,4,0.0
0050,5,0.0
0050,6,0.0
0050,7,1.0
0050,8,1.0
0050,9,2.0
0050,10,2.0
0050,11,2.0
0050,12,1.0
0050,13,1.0
0050,34,0.0
0051,1,0.0
0051,2,0.0
0051,3,0.0
0051,4,0.0
0051,5,0.0
0051,6,0.0
0051,7,1.0
0051,8,2.0
0051,9,2.0
0051,10,2.0
0051,11,1.0
0051,12,1.0
0051,13,1.0
0051,34,0.0
0052,1,0.0
0052,2,0.0
0052,3,0.0
0052,4,0.0
0052,5,0.0
0052,6,0.0
0052,7,1.0
0052,8,2.0
0052,9,2.0
0052,10,3.0
0052,11,2.0
0052,12,1.0
0052,13,1.0
0052,34,0.0
0053,1,0.0
0053,2,0.0
0053,3,0.0
0053,4,0.0
0053,5,0.0
0053,6,0.0
0053,7,1.0
0053,8,3.0
0053,9,3.0
0053,10,4.0
0053,11,3.0
0053,12,1.0
0053,13,0.0
0053,34,0.0
0054,1,0.0
0054,2,0.0
0054,3,0.0
0054,4,0.0
0054,5,0.0
0054,6,0.0
0054,7,10.0
0054,8,10.0
0054,9,10.0
0054,10,16.0
0054,11,10.0
0054,12,10.0
0054,13,0.0
0054,34,0.0
0055,1,0.0
0055,2,0.0
0055,3,0.0
0055,4,0.0
0055,5,0.0
0055,6,1.0
0055,7,1.0
0055,8,2.0
0055,9,2.0
0055,10,2.0
0055,11,1.0
0055,12,1.0
0055,13,0.0
0055,34,0.0
0056,1,0.0
0056,2,0.0
0056,3,0.0
0056,4,0.0
0056,5,0.0
0056,6,0.0
0056,7,6.0
0056,8,6.0
0056,9,6.0
0056,10,12.0
0056,11,12.0
0056,12,6.0
0056,13,0.0
0056,34,0.0
0057,1,0.0
0057,2,0.0
0057,3,0.0
0057,4,0.0
0057,5,0.0
0057,6,0.0
0057,7,0.0
0057,8,0.0
0057,9,2.0
0057,10,2.0
0057,11,2.0
0057,12,2.0
0057,13,2.0
0057,34,0.0
0058,1,0.0
0058,2,0.0
0058,3,0.0
0058,4,0.0
0058,5,0.0
0058,6,0.0
0058,7,4.0
0058,8,4.0
0058,9,4.0
0058,10,8.0
0058,11,4.0
0058,12,4.0
0058,13,0.0
0058,34,0.0
0059,1,0.0
0059,2,0.0
0059,3,0.0
0059,4,0.0
0059,5,0.0
0059,6,0.0
0059,7,0.0
0059,8,0.0
0059,9,1.0
0059,10,2.0
0059,11,2.0
0059,12,2.0
0059,13,1.0
0059,34,0.0
0060,1,0.0
0060,2,0.0
0060,3,0.0
0060,4,0.0
0060,5,0.0
0060,6,0.0
0060,7,6.0
0060,8,10.0
0060,9,10.0
0060,10,20.0
0060,11,16.0
0060,12,10.0
0060,13,0.0
0060,34,0.0
0061,1,0.0
0061,2,0.0
0061,3,0.0
0061,4,0.0
0061,5,0.0
0061,6,0.0
0061,7,0.0
0061,8,0.0
0061,9,1.0
0061,10,2.0
0061,11,2.0
0061,12,1.0
0061,13,0.0
0061,34,0.0
0062,1,0.0
0062,2,0.0
0062,3,0.0
0062,4,0.0
0062,5,0.0
0062,6,0.0
0062,7,0.0
0062,8,2.0
0062,9,3.0
0062,10,3.0
0062,11,3.0
0062,12,1.0
0062,13,0.0
0062,34,0.0
0063,1,0.0
0063,2,0.0
0063,3,0.0
0063,4,0.0
0063,5,0.0
0063,6,0.0
0063,7,0.0
0063,8,2.0
0063,9,2.0
0063,10,2.0
0063,11,2.0
0063,12,0.0
0063,13,0.0
0063,34,0.0
0064,1,0.0
0064,2,0.0
0064,3,0.0
0064,4,0.0
0064,5,0.0
0064,6,0.0
0064,7,0.0
0064,8,1.0
0064,9,3.0
0064,10,3.0
0064,11,2.0
0064,12,1.0
0064,13,0.0
0064,34,0.0
0065,1,0.0
0065,2,0.0
0065,3,0.0
0065,4,0.0
0065,5,0.0
0065,6,0.0
0065,7,0.0
0065,8,0.0
0065,9,2.0
0065,10,2.0
0065,11,2.0
0065,12,2.0
0065,13,0.0
0065,34,0.0
0066,1,0.0
0066,2,0.0
0066,3,0.0
0066,4,0.0
0066,5,0.0
0066,6,0.0
0066,7,1.0
0066,8,2.0
0066,9,3.0
0066,10,3.0
0066,11,2.0
0066,12,1.0
0066,13,1.0
0066,34,0.0
0067,1,0.0
0067,2,0.0
0067,3,0.0
0067,4,0.0
0067,5,0.0
0067,6,0.0
0067,7,0.0
0067,8,1.0
0067,9,1.0
0067,10,1.0
0067,11,1.0
0067,12,2.0
0067,13,0.0
0067,34,0.0
0068,1,0.0
0068,2,0.0
0068,3,0.0
0068,4,0.0
0068,5,0.0
0068,6,0.0
0068,7,0.0
0068,8,1.0
0068,9,2.0
0068,10,3.0
0068,11,2.0
0068,12,1.0
0068,13,1.0
0068,34,0.0
0069,1,0.0
0069,2,0.0
0069,3,0.0
0069,4,0.0
0069,5,0.0
0069,6,0.0
0069,7,0.0
0069,8,1.0
0069,9,1.0
0069,10,1.0
0069,11,2.0
0069,12,2.0
0069,13,1.0
0069,34,0.0
0070,1,0.0
0070,2,0.0
0070,3,0.0
0070,4,0.0
0070,5,0.0
0070,6,0.0
0070,7,0.0
0070,8,1.0
0070,9,2.0
0070,10,3.0
0070,11,3.0
0070,12,1.0
0070,13,0.0
0070,34,0.0
0071,1,0.0
0071,2,0.0
0071,3,0.0
0071,4,0.0
0071,5,0.0
0071,6,0.0
0071,7,0.0
0071,8,1.0
0071,9,1.0
0071,10,1.0
0071,11,2.0
0071,12,1.0
0071,13,0.0
0071,34,0.0
0072,1,0.0
0072,2,0.0
0072,3,0.0
0072,4,0.0
0072,5,0.0
0072,6,0.0
0072,7,0.0
0072,8,2.0
0072,9,4.0
0072,10,4.0
0072,11,2.0
0072,12,0.0
0072,13,0.0
0072,34,0.0
0073,1,0.0
0073,2,0.0
0073,3,0.0
0073,4,0.0
0073,5,0.0
0073,6,0.0
0073,7,0.0
0073,8,1.0
0073,9,1.0
0073,10,1.0
0073,11,1.0
0073,12,1.0
0073,13,1.0
0073,34,0.0
0074,1,0.0
0074,2,0.0
0074,3,0.0
0074,4,0.0
0074,5,0.0
0074,6,0.0
0074,7,0.0
0074,8,1.0
0074,9,3.0
0074,10,2.0
0074,11,1.0
0074,12,1.0
0074,13,0.0
0074,34,0.0
0075,1,0.0
0075,2,0.0
0075,3,0.0
0075,4,0.0
0075,5,0.0
0075,6,0.0
0075,7,1.0
0075,8,1.0
0075,9,2.0
0075,10,1.0
0075,11,2.0
0075,12,1.0
0075,13,0.0
0075,34,0.0
0076,1,0.0
0076,2,0.0
0076,3,0.0
0076,4,0.0
0076,5,0.0
0076,6,0.0
0076,7,1.0
0076,8,2.0
0076,9,3.0
0076,10,3.0
0076,11,2.0
0076,12,2.0
0076,13,1.0
0076,34,0.0
0077,1,0.0
0077,2,0.0
0077,3,0.0
0077,4,0.0
0077,5,0.0
0077,6,0.0
0077,7,1.0
0077,8,1.0
0077,9,2.0
0077,10,1.0
0077,11,1.0
0077,12,1.0
0077,13,1.0
0077,34,0.0
0078,1,0.0
0078,2,0.0
0078,3,0.0
0078,4,0.0
0078,5,0.0
0078,6,0.0
0078,7,1.0
0078,8,2.0
0078,9,2.0
0078,10,3.0
0078,11,2.0
0078,12,2.0
0078,13,1.0
0078,34,0.0
0079,1,0.0
0079,2,0.0
0079,3,0.0
0079,4,0.0
0079,5,0.0
0079,6,0.0
0079,7,0.0
0079,8,1.0
0079,9,2.0
0079,10,2.0
0079,11,1.0
0079,12,1.0
0079,13,1.0
0079,34,0.0
0080,1,0.0
0080,2,0.0
0080,3,0.0
0080,4,0.0
0080,5,0.0
0080,6,0.0
0080,7,0.0
0080,8,2.0
0080,9,2.0
0080,10,2.0
0080,11,2.0
0080,12,1.0
0080,13,0.0
0080,34,0.0
0081,1,0.0
0081,2,0.0
0081,3,0.0
0081,4,0.0
0081,5,0.0
0081,6,1.0
0081,7,2.0
0081,8,3.0
0081,9,2.0
0081,10,1.0
0081,11,0.0
0081,12,0.0
0081,13,0.0
0081,34,0.0
0082,1,0.0
0082,2,0.0
0082,3,0.0
0082,4,0.0
0082,5,0.0
0082,6,0.0
0082,7,0.0
0082,8,2.0
0082,9,3.0
0082,10,2.0
0082,11,2.0
0082,12,2.0
0082,13,1.0
0082,34,0.0
0083,1,0.0
0083,2,0.0
0083,3,0.0
0083,4,0.0
0083,5,0.0
0083,6,1.0
0083,7,2.0
0083,8,3.0
0083,9,2.0
0083,10,1.0
0083,11,1.0
0083,12,0.0
0083,13,0.0
0083,34,0.0
0084,1,0.0
0084,2,0.0
0084,3,0.0
0084,4,0.0
0084,5,0.0
0084,6,0.0
0084,7,0.0
0084,8,1.0
0084,9,2.0
0084,10,3.0
0084,11,2.0
0084,12,2.0
0084,13,1.0
0084,34,0.0
0085,1,0.0
0085,2,0.0
0085,3,0.0
0085,4,0.0
0085,5,0.0
0085,6,0.0
0085,7,2.0
0085,8,3.0
0085,9,2.0
0085,10,1.0
0085,11,0.0
0085,12,0.0
0085,13,0.0
0085,34,0.0
0086,1,0.0
0086,2,0.0
0086,3,0.0
0086,4,0.0
0086,5,0.0
0086,6,0.0
0086,7,1.0
0086,8,1.0
0086,9,2.0
0086,10,3.0
0086,11,2.0
0086,12,1.0
0086,13,0.0
0086,34,0.0
0087,1,0.0
0087,2,0.0
0087,3,0.0
0087,4,0.0
0087,5,0.0
0087,6,0.0
0087,7,2.0
0087,8,3.0
0087,9,2.0
0087,10,1.0
0087,11,1.0
0087,12,0.0
0087,13,0.0
0087,34,0.0
0088,1,0.0
0088,2,0.0
0088,3,0.0
0088,4,0.0
0088,5,0.0
0088,6,0.0
0088,7,0.0
0088,8,0.0
0088,9,2.0
0088,10,2.0
0088,11,2.0
0088,12,1.0
0088,13,1.0
0088,34,0.0
0089,1,0.0
0089,2,0.0
0089,3,0.0
0089,4,0.0
0089,5,0.0
0089,6,0.0
0089,7,2.0
0089,8,3.0
0089,9,3.0
0089,10,2.0
0089,11,1.0
0089,12,0.0
0089,13,0.0
0089,34,0.0
0090,1,0.0
0090,2,0.0
0090,3,0.0
0090,4,0.0
0090,5,0.0
0090,6,0.0
0090,7,0.0
0090,8,1.0
0090,9,3.0
0090,10,4.0
0090,11,2.0
0090,12,2.0
0090,13,0.0
0090,34,0.0
0091,1,0.0
0091,2,0.0
0091,3,0.0
0091,4,0.0
0091,5,0.0
0091,6,0.0
0091,7,2.0
0091,8,2.0
0091,9,3.0
0091,10,2.0
0091,11,1.0
0091,12,0.0
0091,13,0.0
0091,34,0.0
0092,1,0.0
0092,2,0.0
0092,3,0.0
0092,4,0.0
0092,5,0.0
0092,6,0.0
0092,7,0.0
0092,8,1.0
0092,9,4.0
0092,10,4.0
0092,11,3.0
0092,12,2.0
0092,13,1.0
0092,34,0.0
0093,1,0.0
0093,2,0.0
0093,3,0.0
0093,4,0.0
0093,5,0.0
0093,6,0.0
0093,7,2.0
0093,8,2.0
0093,9,2.0
0093,10,1.0
0093,11,1.0
0093,12,0.0
0093,13,0.0
0093,34,0.0
0094,1,0.0
0094,2,0.0
0094,3,0.0
0094,4,0.0
0094,5,0.0
0094,6,0.0
0094,7,0.0
0094,8,4.0
0094,9,5.0
0094,10,5.0
0094,11,5.0
0094,12,3.0
0094,13,0.0
0094,34,0.0
0095,1,0.0
0095,2,0.0
0095,3,0.0
0095,4,0.0
0095,5,0.0
0095,6,1.0
0095,7,2.0
0095,8,3.0
0095,9,3.0
0095,10,2.0
0095,11,1.0
0095,12,0.0
0095,13,0.0
0095,34,0.0
0096,1,0.0
0096,2,0.0
0096,3,0.0
0096,4,0.0
0096,5,0.0
0096,6,0.0
0096,7,0.0
0096,8,2.0
0096,9,4.0
0096,10,4.0
0096,11,2.0
0096,12,2.0
0096,13,1.0
0096,34,0.0
0097,1,0.0
0097,2,0.0
0097,3,0.0
0097,4,0.0
0097,5,0.0
0097,6,0.0
0097,7,1.0
0097,8,2.0
0097,9,2.0
0097,10,2.0
0097,11,2.0
0097,12,2.0
0097,13,1.0
0097,34,0.0
0098,1,0.0
0098,2,0.0
0098,3,0.0
0098,4,0.0
0098,5,0.0
0098,6,0.0
0098,7,1.0
0098,8,1.0
0098,9,1.0
0098,10,2.0
0098,11,2.0
0098,12,1.0
0098,13,0.0
0098,34,0.0
0099,1,0.0
0099,2,0.0
0099,3,0.0
0099,4,0.0
0099,5,0.0
0099,6,0.0
0099,7,0.0
0099,8,2.0
0099,9,2.0
0099,10,2.0
0099,11,2.0
0099,12,2.0
0099,13,0.0
0099,34,0.0
0100,1,0.0
0100,2,0.0
0100,3,0.0
0100,4,0.0
0100,5,0.0
0100,6,0.0
0100,7,0.0
0100,8,2.0
0100,9,4.0
0100,10,4.0
0100,11,3.0
0100,12,2.0
0100,13,0.0
0100,34,0.0
0101,1,0.0
0101,2,0.0
0101,3,0.0
0101,4,0.0
0101,5,0.0
0101,6,1.0
0101,7,1.0
0101,8,2.0
0101,9,2.0
0101,10,1.0
0101,11,1.0
0101,12,1.0
0101,13,0.0
0101,34,0.0
0102,1,0.0
0102,2,0.0
0102,3,0.0
0102,4,0.0
0102,5,0.0
0102,6,0.0
0102,7,0.0
0102,8,1.0
0102,9,1.0
0102,10,2.0
0102,11,2.0
0102,12,1.0
0102,13,1.0
0102,34,0.0
0103,1,0.0
0103,2,0.0
0103,3,0.0
0103,4,0.0
0103,5,0.0
0103,6,1.0
0103,7,1.0
0103,8,1.0
0103,9,1.0
0103,10,1.0
0103,11,1.0
0103,12,0.0
0103,13,0.0
0103,34,0.0
0104,1,0.0
0104,2,0.0
0104,3,0.0
0104,4,0.0
0104,5,0.0
0104,6,0.0
0104,7,1.0
0104,8,2.0
0104,9,3.0
0104,10,2.0
0104,11,2.0
0104,12,1.0
0104,13,1.0
0104,34,0.0
0105,1,0.0
0105,2,0.0
0105,3,0.0
0105,4,0.0
0105,5,0.0
0105,6,1.0
0105,7,1.0
0105,8,2.0
0105,9,3.0
0105,10,3.0
0105,11,2.0
0105,12,2.0
0105,13,0.0
0105,34,0.0
0106,1,0.0
0106,2,0.0
0106,3,0.0
0106,4,0.0
0106,5,0.0
0106,6,0.0
0106,7,0.0
0106,8,1.0
0106,9,2.0
0106,10,2.0
0106,11,3.0
0106,12,1.0
0106,13,1.0
0106,34,0.0
0107,1,0.0
0107,2,0.0
0107,3,0.0
0107,4,0.0
0107,5,0.0
0107,6,0.0
0107,7,0.0
0107,8,2.0
0107,9,3.0
0107,10,2.0
0107,11,3.0
0107,12,2.0
0107,13,0.0
0107,34,0.0
0108,1,0.0
0108,2,0.0
0108,3,0.0
0108,4,0.0
0108,5,0.0
0108,6,0.0
0108,7,0.0
0108,8,0.0
0108,9,1.0
0108,10,3.0
0108,11,2.0
0108,12,1.0
0108,13,1.0
0108,34,0.0
0109,1,0.0
0109,2,0.0
0109,3,0.0
0109,4,0.0
0109,5,0.0
0109,6,0.0
0109,7,1.0
0109,8,2.0
0109,9,3.0
0109,10,2.0
0109,11,2.0
0109,12,0.0
0109,13,0.0
0109,34,0.0
0110,1,0.0
0110,2,0.0
0110,3,0.0
0110,4,0.0
0110,5,0.0
0110,6,0.0
0110,7,1.0
0110,8,3.0
0110,9,10.0
0110,10,18.0
0110,11,18.0
0110,12,10.0
0110,13,5.0
0110,34,0.0
0111,1,0.0
0111,2,0.0
0111,3,0.0
0111,4,0.0
0111,5,0.0
0111,6,0.0
0111,7,0.0
0111,8,2.0
0111,9,3.0
0111,10,2.0
0111,11,2.0
0111,12,1.0
0111,13,0.0
0111,34,0.0
0112,1,0.0
0112,2,0.0
0112,3,0.0
