BelgeNo,FatHarinx,SipHarinx,SevkHarinx,SKOD,Tanim,Miktar,Birim,ParaCinsi,Fiyat,iskonto,iskontoTut,KDVORAN,MuhKod,KDVMuhKod,iskMuhKod,MM,KDVMM,iskMM,OtvMuhKod,OtvMM,LotNo,SeriNo,MuhKod2,MM2,TamirHarinx,_iskTutar,_KDVTutar,_OTVTutar,_Tutar,Fason,TevOran,TevMuhKod,TevMM,MalFiyat,OTVOran,iadeNeden,locked,OzKod1,OzKod2,OzKod3,TutarTmp,TevKod,Proje_D_Id,EF_DeliverytermsType,EF_PackagingTypeCode,EF_PackagingID,EF_PackagingQuantity,EF_TransportModeCode,EF_GTipNo,EF_DecCarriageValueAmount,EF_InsuranceValueAmount,EF_DecCustomsValueAmount
1052,1295,94,,009- 1080,,8.0,CIFT,US,52.0,0.0,0.0,0.0,,,,,,,,,000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,1296,93,,009- 1086,,16.0,CIFT,US,50.0,0.0,0.0,0.0,,,,,,,,,000093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,1297,92,,009- 1082,,16.0,CIFT,US,50.0,0.0,0.0,0.0,,,,,,,,,000092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,1298,91,,009- 1059,,16.0,CIFT,US,53.0,0.0,0.0,0.0,,,,,,,,,000091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,1299,90,,009- 1121,,8.0,CIFT,US,41.0,0.0,0.0,0.0,,,,,,,,,000090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,1300,89,,009- 1073,,24.0,CIFT,US,48.0,0.0,0.0,0.0,,,,,,,,,000089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,1301,521,,015- 40673-1,,8.0,CIFT,US,46.0,0.0,0.0,0.0,,,,,,,,,000521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,1302,520,,015- 40673,,8.0,CIFT,US,43.0,0.0,0.0,0.0,,,,,,,,,000520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,1303,519,,015- 71324,,16.0,CIFT,US,34.0,0.0,0.0,0.0,,,,,,,,,000519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,1304,518,,015- 71295,,8.0,CIFT,US,34.0,0.0,0.0,0.0,,,,,,,,,000518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,1305,517,,015- 71279,,8.0,CIFT,US,34.0,0.0,0.0,0.0,,,,,,,,,000517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,1306,516,,015- 71289,,8.0,CIFT,US,34.0,0.0,0.0,0.0,,,,,,,,,000516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,1313,502,,023-2243,,16.0,CIFT,US,36.0,0.0,0.0,0.0,,,,,,,,,000502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,1314,491,,021- 6193,,8.0,CIFT,US,48.0,0.0,0.0,0.0,,,,,,,,,000491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,1315,489,,021-7098,,10.0,CIFT,US,45.0,0.0,0.0,0.0,,,,,,,,,000489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1367,88,,005- 4120-2,,8.0,CIFT,US,43.0,0.0,0.0,0.0,,,,,,,,,000088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1368,87,,005- 3043-3,,8.0,CIFT,US,52.0,0.0,0.0,0.0,,,,,,,,,000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1369,86,,005- 5026,,8.0,CIFT,US,47.0,0.0,0.0,0.0,,,,,,,,,000086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1370,85,,005- 4094-2,,16.0,CIFT,US,51.0,0.0,0.0,0.0,,,,,,,,,000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1371,84,,005- 5045,,16.0,CIFT,US,42.0,0.0,0.0,0.0,,,,,,,,,000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1372,82,,005- 5005 (K),,8.0,CIFT,US,47.0,0.0,0.0,0.0,,,,,,,,,000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1373,81,,005- 5020,,8.0,CIFT,US,53.0,0.0,0.0,0.0,,,,,,,,,000081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1374,80,,005- 5020 (K),,8.0,CIFT,US,58.0,0.0,0.0,0.0,,,,,,,,,000080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1375,79,,005- 5008,,16.0,CIFT,US,51.0,0.0,0.0,0.0,,,,,,,,,000079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1376,78,,005- 5019,,16.0,CIFT,US,58.0,0.0,0.0,0.0,,,,,,,,,000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1377,77,,005- 5092,,16.0,CIFT,US,47.0,0.0,0.0,0.0,,,,,,,,,000077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1378,427,,005- 4120-2,JESKAZGAN,8.0,CIFT,US,43.0,0.0,0.0,0.0,,,,,,,,,000427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1379,425,,005- 5026,JESKAZGAN,8.0,CIFT,US,47.0,0.0,0.0,0.0,,,,,,,,,000425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,1380,417,,005- 5019,JESKAZGAN,8.0,CIFT,US,58.0,0.0,0.0,0.0,,,,,,,,,000417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,1395,74,,010- 6325,,16.0,CIFT,US,62.0,0.0,0.0,0.0,,,,,,,,,000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,1396,520,,015- 40673,,8.0,CIFT,US,43.0,0.0,0.0,0.0,,,,,,,,,000520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,1397,30,,007- 2102,,24.0,CIFT,US,51.0,0.0,2.0,,,,,,,,,,000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,1398,29,,007- 2062,,8.0,CIFT,US,53.0,0.0,2.0,,,,,,,,,,000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,1399,24,,007- 5099,,8.0,CIFT,US,55.0,0.0,2.0,0.0,,,,,,,,,000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,1417,492,,021-7277,,8.0,CIFT,US,45.0,0.0,0.0,0.0,,,,,,,,,000492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,1418,490,,021-7324,,10.0,CIFT,US,45.0,0.0,0.0,0.0,,,,,,,,,000490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,1419,488,,021-7077,,10.0,CIFT,US,45.0,0.0,0.0,0.0,,,,,,,,,000488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,1420,487,,021-7075,,8.0,CIFT,US,45.0,0.0,0.0,0.0,,,,,,,,,000487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,1421,512,,024-7058,,8.0,CIFT,US,36.0,0.0,0.0,0.0,,,,,,,,,000512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,1422,511,,024-7061,,8.0,CIFT,US,36.0,0.0,0.0,0.0,,,,,,,,,000511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,1423,506,,023-2244,,8.0,CIFT,US,36.0,0.0,0.0,0.0,,,,,,,,,000506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,1424,505,,023-2245,,8.0,CIFT,US,36.0,0.0,0.0,0.0,,,,,,,,,000505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,1425,504,,023-2295,,8.0,CIFT,US,36.0,0.0,0.0,0.0,,,,,,,,,000504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,1426,500,,023-2240,,16.0,CIFT,US,36.0,0.0,0.0,0.0,,,,,,,,,000500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1538,223,,006- 201-25,,24.0,CIFT,US,48.0,0.0,0.0,0.0,,,,,,,,,000223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1539,224,,006- 3074-25,,8.0,CIFT,US,48.0,0.0,0.0,0.0,,,,,,,,,000224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1541,227,,006- 3029-25,,8.0,CIFT,US,65.0,0.0,0.0,0.0,,,,,,,,,000227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1542,230,,006- 269-25,,8.0,CIFT,US,77.0,0.0,0.0,0.0,,,,,,,,,000230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1543,227,,006- 3029-25,,8.0,CIFT,US,65.0,0.0,0.0,0.0,,,,,,,,,000227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1544,234,,006- 6060-25,,8.0,CIFT,US,57.0,0.0,0.0,0.0,,,,,,,,,000234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1545,228,,006- 105-25,,8.0,CIFT,US,67.0,0.0,0.0,0.0,,,,,,,,,000228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1546,226,,006- 350-25,,8.0,CIFT,US,70.0,0.0,0.0,0.0,,,,,,,,,000226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1547,226,,006- 350-25,,8.0,CIFT,US,70.0,0.0,0.0,0.0,,,,,,,,,000226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1548,232,,006- 185-25,,8.0,CIFT,US,90.0,0.0,0.0,0.0,,,,,,,,,000232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1549,83,,005- 5005 ,,8.0,CIFT,US,42.0,0.0,0.0,0.0,,,,,,,,,000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1550,422,,005- 5005 ,JESKAZGAN,8.0,CIFT,US,42.0,0.0,0.0,0.0,,,,,,,,,000422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1551,82,,005- 5005 (K),,8.0,CIFT,US,47.0,0.0,0.0,0.0,,,,,,,,,000082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1552,421,,005- 5005 (K),JESKAZGAN,8.0,CIFT,US,47.0,0.0,0.0,0.0,,,,,,,,,000421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1553,87,,005- 3043-3,,8.0,CIFT,US,52.0,0.0,0.0,0.0,,,,,,,,,000087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1554,426,,005- 3043-3,JESKAZGAN,8.0,CIFT,US,52.0,0.0,0.0,0.0,,,,,,,,,000426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1555,262,,003- 2124,,16.0,CIFT,US,43.0,0.0,0.0,0.0,,,,,,,,,000262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1556,259,,003- 2152,,16.0,CIFT,US,43.0,0.0,0.0,0.0,,,,,,,,,000259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1557,353,,003- 2152,JESKAZGAN,8.0,CIFT,US,43.0,0.0,0.0,0.0,,,,,,,,,000353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1558,468,,001- 6535,JESKAZGAN,8.0,CIFT,US,58.0,0.0,2.0,0.0,,,,,,,,,000468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1559,329,,001- 6535,Kürk Astar,8.0,CIFT,US,58.0,0.0,2.0,0.0,,,,,,,,,000329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1560,329,,001- 6535,Kürk Astar,8.0,CIFT,US,58.0,0.0,2.0,0.0,,,,,,,,,000329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1561,468,,001- 6535,JESKAZGAN,8.0,CIFT,US,58.0,0.0,2.0,0.0,,,,,,,,,000468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1562,310,,001- 6460,Kürk Astar,8.0,CIFT,US,65.0,0.0,2.0,0.0,,,,,,,,,000310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1563,449,,001- 6460,JESKAZGAN,8.0,CIFT,US,65.0,0.0,2.0,0.0,,,,,,,,,000449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,1677,229,,006- 6004-25,,8.0,CIFT,US,61.0,0.0,0.0,0.0,,,,,,,,,000229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,1565,442,,001- 6451,JESKAZGAN,8.0,CIFT,US,62.0,0.0,2.0,0.0,,,,,,,,,000442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,1569,451,,001- 6469,JESKAZGAN,8.0,CIFT,US,58.0,0.0,2.0,0.0,,,,,,,,,000451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,10292,293,,001- 1181,Y. Kürk Astar,8.0,CIFT,US,102.0,0.0,2.0,0.0,,,,,,,,,000293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1575,514,,015- 7188,,8.0,CIFT,US,34.0,0.0,0.0,0.0,,,,,,,,,000514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1577,276,,016- 27717,,16.0,CIFT,US,54.0,0.0,0.0,0.0,,,,,,,,,000276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1578,274,,016- 27602,,8.0,CIFT,US,55.0,0.0,0.0,0.0,,,,,,,,,000274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1579,284,,016- 27669,,8.0,CIFT,US,72.0,0.0,0.0,0.0,,,,,,,,,000284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1580,283,,016- 27640,,8.0,CIFT,US,69.0,0.0,0.0,0.0,,,,,,,,,000283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1581,31,,007- 2001,,8.0,CIFT,US,63.0,0.0,2.0,,,,,,,,,,000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1582,26,,007- 9015,,8.0,CIFT,US,75.0,0.0,2.0,0.0,,,,,,,,,000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1583,28,,007- 9013,,8.0,CIFT,US,73.0,0.0,2.0,0.0,,,,,,,,,000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1584,110,,004- 5949,,8.0,CIFT,US,81.0,0.0,0.0,0.0,,,,,,,,,000110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1585,72,,008- 1023-1,,8.0,CIFT,US,67.0,0.0,0.0,0.0,,,,,,,,,000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1586,66,,008- 2016,,8.0,CIFT,US,92.0,0.0,0.0,0.0,,,,,,,,,000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1587,33,,013- 8070,,8.0,CIFT,US,47.0,0.0,0.0,0.0,,,,,,,,,000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1590,33,,013- 8070,,8.0,CIFT,US,47.0,0.0,0.0,0.0,,,,,,,,,000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1591,51,,013- 8090,,8.0,CIFT,US,50.0,0.0,0.0,0.0,,,,,,,,,000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1594,58,,013- 2120,,8.0,CIFT,US,39.0,0.0,0.0,0.0,,,,,,,,,000058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1595,40,,013- 8098,,8.0,CIFT,US,48.0,0.0,0.0,0.0,,,,,,,,,000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1597,45,,013- 7441,,8.0,CIFT,US,69.0,0.0,0.0,0.0,,,,,,,,,000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1599,29,,007- 2062,,8.0,CIFT,US,53.0,0.0,2.0,,,,,,,,,,000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1600,339,,001- 6623,Deri Astar,8.0,CIFT,US,50.0,0.0,2.0,0.0,,,,,,,,,000339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,1607,328,,001- 6533,Kürk Astar,8.0,CIFT,US,63.0,0.0,2.0,0.0,,,,,,,,,000328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,10322,516,,015- 71289,,8.0,CIFT,US,34.0,0.0,0.0,0.0,,,,,,,,,000516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,10323,346,,001- 6710,Kürk Astar,8.0,CIFT,US,64.0,0.0,2.0,0.0,,,,,,,,,000346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,10324,313,,001- 6470,Kürk Astar,8.0,CIFT,US,58.0,0.0,2.0,0.0,,,,,,,,,000313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,10325,291,,001- 1174,Y. Kürk Astar,8.0,CIFT,US,118.0,0.0,2.0,0.0,,,,,,,,,000291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1576,479,,001- 6626,JESKAZGAN,8.0,CIFT,US,49.0,0.0,2.0,0.0,,,,,,,,,000479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1588,359,,013- 8070,JESKAZGAN,8.0,CIFT,US,47.0,0.0,0.0,0.0,,,,,,,,,000359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1589,359,,013- 8070,JESKAZGAN,8.0,CIFT,US,47.0,0.0,0.0,0.0,,,,,,,,,000359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1592,377,,013- 8090,JESKAZGAN,8.0,CIFT,US,50.0,0.0,0.0,0.0,,,,,,,,,000377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1593,386,,013- 2120,JESKAZGAN,8.0,CIFT,US,39.0,0.0,0.0,0.0,,,,,,,,,000386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1596,366,,013- 8098,JESKAZGAN,8.0,CIFT,US,48.0,0.0,0.0,0.0,,,,,,,,,000366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1598,371,,013- 7441,JESKAZGAN,8.0,CIFT,US,69.0,0.0,0.0,0.0,,,,,,,,,000371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1601,478,,001- 6623,JESKAZGAN,8.0,CIFT,US,50.0,0.0,2.0,0.0,,,,,,,,,000478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1602,452,,001- 6470,JESKAZGAN,8.0,CIFT,US,58.0,0.0,2.0,0.0,,,,,,,,,000452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,1606,467,,001- 6533,JESKAZGAN,8.0,CIFT,US,63.0,0.0,2.0,0.0,,,,,,,,,000467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,10326,485,,001- 6710,JESKAZGAN,8.0,CIFT,US,64.0,0.0,2.0,0.0,,,,,,,,,000485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,10327,430,,001- 1174,JESKAZGAN,8.0,CIFT,US,118.0,0.0,2.0,0.0,,,,,,,,,000430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,1610,2305,,030 366,,8.0,CIFT,US,40.0,0.0,0.0,0.0,,,,,,,,,002299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,1611,2306,,030 366 (K.A),,8.0,CIFT,US,45.0,0.0,0.0,0.0,,,,,,,,,002300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,1612,2307,,030 303 ,,8.0,CIFT,US,35.0,0.0,0.0,0.0,,,,,,,,,002301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,1613,2301,,030 303 ,,8.0,CIFT,US,40.0,0.0,0.0,0.0,,,,,,,,,002301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,1614,2300,,030 366 (K.A),,8.0,CIFT,US,50.0,0.0,0.0,0.0,,,,,,,,,002300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,1615,2299,,030 366,,8.0,CIFT,US,45.0,0.0,0.0,0.0,,,,,,,,,002299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,1616,514,,015- 7188,,8.0,CIFT,US,34.0,0.0,0.0,0.0,,,,,,,,,000514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,1617,109,,004- 5813,,8.0,CIFT,US,67.0,0.0,0.0,0.0,,,,,,,,,000109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,1618,108,,004- 5848,,8.0,CIFT,US,62.0,0.0,0.0,0.0,,,,,,,,,000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,1620,516,,015- 71289,,8.0,CIFT,US,34.0,0.0,0.0,0.0,,,,,,,,,000516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,1621,313,,001- 6470,Kürk Astar,8.0,CIFT,US,58.0,0.0,2.0,0.0,,,,,,,,,000313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,1625,328,,001- 6533,Kürk Astar,8.0,CIFT,US,63.0,0.0,2.0,0.0,,,,,,,,,000328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,10328,346,,001- 6710,Kürk Astar,8.0,CIFT,US,64.0,0.0,2.0,0.0,,,,,,,,,000346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,1622,452,,001- 6470,JESKAZGAN,8.0,CIFT,US,58.0,0.0,2.0,0.0,,,,,,,,,000452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,1626,467,,001- 6533,JESKAZGAN,8.0,CIFT,US,63.0,0.0,2.0,0.0,,,,,,,,,000467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,10329,485,,001- 6710,JESKAZGAN,8.0,CIFT,US,64.0,0.0,2.0,0.0,,,,,,,,,000485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,1627,388,,004- 5232,JESKAZGAN,8.0,CIFT,US,62.0,0.0,0.0,0.0,,,,,,,,,000388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,1628,404,,004- 5848,JESKAZGAN,8.0,CIFT,US,62.0,0.0,0.0,0.0,,,,,,,,,000404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,1629,405,,004- 5813,JESKAZGAN,8.0,CIFT,US,67.0,0.0,0.0,0.0,,,,,,,,,000405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
