SipNo,SipHarinx,Konum,SKOD,Tanim,Miktar,Birim,ParaCinsi,Fiyat,iskonto,iskontoTut,KDVORAN,Durum,TerminTarihi,LotNo,OTVOran,SipharinxB,locked,SipPicture,Proje_D_Id,OzKod1,OzKod2,OzKod3,BagTeklifHarinx
21,75,F,010- 6332,,8.0,CIFT,US,53.0,0.00,0.0,0.00,*,,000075,,,,,,,,,
21,76,F,010- 6213,,16.0,CIFT,US,53.0,0.00,0.0,0.00,*,,000076,,,,,,,,,
21,77,F,005- 5092,,16.0,CIFT,US,47.0,0.00,0.0,0.00,*,,000077,,,,,,,,,
21,78,F,005- 5019,,16.0,CIFT,US,58.0,0.00,0.0,0.00,*,,000078,,,,,,,,,
21,79,F,005- 5008,,16.0,CIFT,US,51.0,0.00,0.0,0.00,*,,000079,,,,,,,,,
21,80,F,005- 5020 (K),,8.0,CIFT,US,58.0,0.00,0.0,0.00,*,,000080,,,,,,,,,
21,81,F,005- 5020,,8.0,CIFT,US,53.0,0.00,0.0,0.00,*,,000081,,,,,,,,,
21,82,F,005- 5005 (K),,16.0,CIFT,US,47.0,0.00,0.0,0.00,*,,000082,,,,,,,,,
21,83,F,005- 5005 ,,8.0,CIFT,US,42.0,0.00,0.0,0.00,*,,000083,,,,,,,,,
21,84,F,005- 5045,,16.0,CIFT,US,42.0,0.00,0.0,0.00,*,,000084,,,,,,,,,
21,85,F,005- 4094-2,,16.0,CIFT,US,51.0,0.00,0.0,0.00,*,,000085,,,,,,,,,
21,86,F,005- 5026,,8.0,CIFT,US,47.0,0.00,0.0,0.00,*,,000086,,,,,,,,,
21,87,F,005- 3043-3,,16.0,CIFT,US,52.0,0.00,0.0,0.00,*,,000087,,,,,,,,,
21,88,F,005- 4120-2,,8.0,CIFT,US,43.0,0.00,0.0,0.00,*,,000088,,,,,,,,,
21,89,F,009- 1073,,24.0,CIFT,US,48.0,0.00,0.0,0.00,*,,000089,,,,,,,,,
21,90,F,009- 1121,,24.0,CIFT,US,41.0,0.00,0.0,0.00,*,,000090,,,,,,,,,
21,91,F,009- 1059,,16.0,CIFT,US,53.0,0.00,0.0,0.00,*,,000091,,,,,,,,,
21,92,F,009- 1082,,16.0,CIFT,US,50.0,0.00,0.0,0.00,*,,000092,,,,,,,,,
21,93,F,009- 1086,,16.0,CIFT,US,50.0,0.00,0.0,0.00,*,,000093,,,,,,,,,
21,94,F,009- 1080,,8.0,CIFT,US,52.0,0.00,0.0,0.00,*,,000094,,,,,,,,,
21,95,F,009- 1058,,24.0,CIFT,US,46.0,0.00,0.0,0.00,*,,000095,,,,,,,,,
21,96,F,009-1110,,16.0,CIFT,US,53.0,0.00,0.0,0.00,*,,000096,,,,,,,,,
21,97,F,004- 5956,,16.0,CIFT,US,50.0,0.00,0.0,0.00,*,,000097,,,,,,,,,
21,98,F,004- 5740,,8.0,CIFT,US,50.0,0.00,0.0,0.00,*,,000098,,,,,,,,,
21,99,F,004- 5910,,8.0,CIFT,US,52.0,0.00,0.0,0.00,*,,000099,,,,,,,,,
21,100,F,004- 5812,,8.0,CIFT,US,50.0,0.00,0.0,0.00,*,,000100,,,,,,,,,
21,101,F,004- 5841,,8.0,CIFT,US,51.0,0.00,0.0,0.00,*,,000101,,,,,,,,,
21,102,F,004- 5868,,8.0,CIFT,US,66.0,0.00,0.0,0.00,*,,000102,,,,,,,,,
21,103,F,004- 5268,,8.0,CIFT,US,66.0,0.00,0.0,0.00,*,,000103,,,,,,,,,
21,104,F,004- 4540,,8.0,CIFT,US,65.0,0.00,0.0,0.00,*,,000104,,,,,,,,,
21,105,F,004- 5834-1,,8.0,CIFT,US,67.0,0.00,0.0,0.00,*,,000105,,,,,,,,,
21,106,F,004- 5880,,8.0,CIFT,US,67.0,0.00,0.0,0.00,*,,000106,,,,,,,,,
21,107,F,004- 6002,,16.0,CIFT,US,63.0,0.00,0.0,0.00,*,,000107,,,,,,,,,
21,108,F,004- 5848,,16.0,CIFT,US,62.0,0.00,0.0,0.00,*,,000108,,,,,,,,,
21,109,F,004- 5813,,16.0,CIFT,US,67.0,0.00,0.0,0.00,*,,000109,,,,,,,,,
21,110,F,004- 5949,,24.0,CIFT,US,81.0,0.00,0.0,0.00,*,,000110,,,,,,,,,
21,111,F,004- 5232,,16.0,CIFT,US,62.0,0.00,0.0,0.00,*,,000111,,,,,,,,,
21,112,F,004- 5849,,16.0,CIFT,US,62.0,0.00,0.0,0.00,*,,000112,,,,,,,,,
21,114,F,004- 5769,,16.0,CIFT,US,83.0,0.00,0.0,,*,,000114,,,,,,,,,
21,222,F,006- 152-25,,16.0,CIFT,US,57.0,0.00,0.0,0.00,*,,000222,,,,,,,,,
21,223,F,006- 201-25,,24.0,CIFT,US,48.0,0.00,0.0,0.00,*,,000223,,,,,,,,,
21,224,F,006- 3074-25,,16.0,CIFT,US,48.0,0.00,0.0,0.00,*,,000224,,,,,,,,,
21,225,F,006- 3102-25,,16.0,CIFT,US,69.0,0.00,0.0,0.00,*,,000225,,,,,,,,,
21,226,F,006- 350-25,,16.0,CIFT,US,70.0,0.00,0.0,0.00,*,,000226,,,,,,,,,
21,227,F,006- 3029-25,,16.0,CIFT,US,65.0,0.00,0.0,0.00,*,,000227,,,,,,,,,
21,228,F,006- 105-25,,8.0,CIFT,US,67.0,0.00,0.0,0.00,*,,000228,,,,,,,,,
21,229,F,006- 6004-25,,16.0,CIFT,US,61.0,0.00,0.0,0.00,*,,000229,,,,,,,,,
21,230,F,006- 269-25,,8.0,CIFT,US,77.0,0.00,0.0,0.00,*,,000230,,,,,,,,,
21,232,F,006- 185-25,,8.0,CIFT,US,90.0,0.00,0.0,0.00,*,,000232,,,,,,,,,
21,233,F,006- 210-25,,16.0,CIFT,US,70.0,0.00,0.0,0.00,*,,000233,,,,,,,,,
21,234,F,006- 6060-25,,8.0,CIFT,US,57.0,0.00,0.0,0.00,*,,000234,,,,,,,,,
21,235,F,006- 107-25,,8.0,CIFT,US,50.0,0.00,0.0,0.00,*,,000235,,,,,,,,,
21,236,F,002- 1595,,20.0,CIFT,US,65.0,0.00,0.0,0.00,*,,000236,,,,,,,,,
21,237,F,002- 3706,,20.0,CIFT,US,58.0,0.00,0.0,0.00,*,,000237,,,,,,,,,
21,238,F,002- 1372,,20.0,CIFT,US,58.0,0.00,0.0,0.00,*,,000238,,,,,,,,,
21,239,F,002- 3707,,20.0,CIFT,US,58.0,0.00,0.0,0.00,*,,000239,,,,,,,,,
21,240,F,002- 3123,,30.0,CIFT,US,56.0,0.00,0.0,0.00,*,,000240,,,,,,,,,
21,241,F,002- 3123 (SA),,10.0,CIFT,US,52.0,0.00,0.0,0.00,*,,000241,,,,,,,,,
21,242,F,002- 1376,,20.0,CIFT,US,58.0,0.00,0.0,0.00,*,,000242,,,,,,,,,
21,243,F,002- 1240,,20.0,CIFT,US,54.0,0.00,0.0,0.00,*,,000243,,,,,,,,,
21,244,F,002- 12204,,20.0,CIFT,US,58.0,0.00,0.0,0.00,*,,000244,,,,,,,,,
21,245,F,012- GM 10139,,16.0,CIFT,US,49.0,0.00,0.0,0.00,*,,000245,,,,,,,,,
21,246,F,012- GM 10073,,8.0,CIFT,US,55.0,0.00,0.0,0.00,*,,000246,,,,,,,,,
21,247,F,012- 10045,,16.0,CIFT,US,61.0,0.00,0.0,0.00,*,,000247,,,,,,,,,
21,248,F,012- GM 10010,,16.0,CIFT,US,57.0,0.00,0.0,0.00,*,,000248,,,,,,,,,
21,249,F,012- GM 10075,,16.0,CIFT,US,53.0,0.00,0.0,0.00,*,,000249,,,,,,,,,
21,250,F,012- GM 10019,,8.0,CIFT,US,64.0,0.00,0.0,0.00,*,,000250,,,,,,,,,
21,251,F,012- GM 10038,,16.0,CIFT,US,44.0,0.00,0.0,0.00,*,,000251,,,,,,,,,
21,252,F,012- GM 10001,,8.0,CIFT,US,43.0,0.00,0.0,0.00,*,,000252,,,,,,,,,
21,253,F,012- GM 10107,,16.0,CIFT,US,49.0,0.00,0.0,0.00,*,,000253,,,,,,,,,
21,254,F,003- 0001,,24.0,CIFT,US,39.0,0.00,0.0,0.00,*,,000254,,,,,,,,,
21,255,F,003- 2119,,24.0,CIFT,US,32.0,0.00,0.0,0.00,*,,000255,,,,,,,,,
21,256,F,003- 2150,,16.0,CIFT,US,39.0,0.00,0.0,0.00,*,,000256,,,,,,,,,
21,257,F,003- 2112,,16.0,CIFT,US,32.0,0.00,0.0,0.00,*,,000257,,,,,,,,,
21,258,F,003- 2154,,16.0,CIFT,US,41.0,0.00,0.0,0.00,*,,000258,,,,,,,,,
21,259,F,003- 2152,,16.0,CIFT,US,43.0,0.00,0.0,0.00,*,,000259,,,,,,,,,
21,260,F,003- 2151,,16.0,CIFT,US,44.0,0.00,0.0,0.00,*,,000260,,,,,,,,,
21,261,F,003- 1750,,8.0,CIFT,US,44.0,0.00,0.0,0.00,*,,000261,,,,,,,,,
21,262,F,003- 2124,,16.0,CIFT,US,43.0,0.00,0.0,0.00,*,,000262,,,,,,,,,
21,263,F,003- 2146,,16.0,CIFT,US,45.0,0.00,0.0,0.00,*,,000263,,,,,,,,,
21,264,F,016- 27665,,16.0,CIFT,US,107.0,0.00,0.0,0.00,*,,000264,,,,,,,,,
21,265,F,016- 27714,,16.0,CIFT,US,75.0,0.00,0.0,0.00,*,,000265,,,,,,,,,
21,266,F,016- 27624,,16.0,CIFT,US,72.0,0.00,0.0,0.00,*,,000266,,,,,,,,,
21,267,F,016- 27658,,16.0,CIFT,US,74.0,0.00,0.0,0.00,*,,000267,,,,,,,,,
21,268,F,016- 27618,,16.0,CIFT,US,70.0,0.00,0.0,0.00,*,,000268,,,,,,,,,
21,269,F,016- 27720,,16.0,CIFT,US,79.0,0.00,0.0,0.00,,,000269,,,,,,,,,
21,270,F,016- 27701,,16.0,CIFT,US,78.0,0.00,0.0,0.00,*,,000270,,,,,,,,,
21,271,F,016- 27715,,16.0,CIFT,US,74.0,0.00,0.0,0.00,*,,000271,,,,,,,,,
21,272,F,016- 27762,,16.0,CIFT,US,72.0,0.00,0.0,0.00,*,,000272,,,,,,,,,
21,273,F,016- 27637,,16.0,CIFT,US,66.0,0.00,0.0,0.00,*,,000273,,,,,,,,,
21,274,F,016- 27602,,16.0,CIFT,US,55.0,0.00,0.0,0.00,*,,000274,,,,,,,,,
21,275,F,016- 27750,,16.0,CIFT,US,54.0,0.00,0.0,0.00,*,,000275,,,,,,,,,
21,276,F,016- 27717,,16.0,CIFT,US,54.0,0.00,0.0,0.00,*,,000276,,,,,,,,,
21,277,F,016- 27728,,16.0,CIFT,US,54.0,0.00,0.0,0.00,*,,000277,,,,,,,,,
21,278,F,016- 27690,,16.0,CIFT,US,51.0,0.00,0.0,0.00,*,,000278,,,,,,,,,
21,279,F,016- 27745,,16.0,CIFT,US,77.0,0.00,0.0,0.00,*,,000279,,,,,,,,,
21,280,F,016- 27702,,16.0,CIFT,US,78.0,0.00,0.0,0.00,*,,000280,,,,,,,,,
21,281,F,016- 27726,,16.0,CIFT,US,76.0,0.00,0.0,0.00,*,,000281,,,,,,,,,
21,282,F,016- 27657,,16.0,CIFT,US,77.0,0.00,0.0,0.00,*,,000282,,,,,,,,,
21,283,F,016- 27640,,16.0,CIFT,US,69.0,0.00,0.0,0.00,*,,000283,,,,,,,,,
21,284,F,016- 27669,,16.0,CIFT,US,72.0,0.00,0.0,0.00,*,,000284,,,,,,,,,
21,285,F,016- 27613,,16.0,CIFT,US,115.0,0.00,0.0,0.00,*,,000285,,,,,,,,,
21,286,F,016- 27631,,16.0,CIFT,US,92.0,0.00,0.0,0.00,*,,000286,,,,,,,,,
21,287,F,016- 27598,,16.0,CIFT,US,98.0,0.00,0.0,0.00,*,,000287,,,,,,,,,
21,288,F,016- 27679,Kürk Astar,16.0,CIFT,US,128.0,0.00,0.0,0.00,*,,000288,,,,,,,,,
21,289,F,001- 1170,Kürk Astar,16.0,CIFT,US,82.0,0.00,2.0,0.00,*,,000289,,,,,,,,,
21,290,F,001- 1171,,8.0,CIFT,US,69.0,0.00,2.0,0.00,*,,000290,,,,,,,,,
21,291,F,001- 1174,Y. Kürk Astar,8.0,CIFT,US,118.0,0.00,2.0,0.00,*,,000291,,,,,,,,,
21,292,F,001- 1176,Y. Kürk Astar,8.0,CIFT,US,129.0,0.00,2.0,0.00,*,,000292,,,,,,,,,
21,293,F,001- 1181,Y. Kürk Astar,8.0,CIFT,US,102.0,0.00,2.0,0.00,*,,000293,,,,,,,,,
21,294,F,001-1182,Y. Kürk Astar,8.0,CIFT,US,117.0,0.00,2.0,0.00,*,,000294,,,,,,,,,
21,296,F,001- 1202,Y. Kürk Astar,16.0,CIFT,US,100.0,0.00,2.0,0.00,*,,000296,,,,,,,,,
21,297,F,001- 1207,Deri Astar,16.0,CIFT,US,54.0,0.00,2.0,0.00,*,,000297,,,,,,,,,
21,298,F,001- 1212,,8.0,CIFT,US,65.0,0.00,2.0,0.00,*,,000298,,,,,,,,,
21,299,F,001- 1216,Deri Astar,8.0,CIFT,US,85.0,0.00,2.0,0.00,*,,000299,,,,,,,,,
21,300,F,001- 6371,Deri Astar,8.0,CIFT,US,50.0,0.00,2.0,0.00,*,,000300,,,,,,,,,
21,301,F,001- 6434,Kürk Astar,16.0,CIFT,US,51.0,0.00,2.0,0.00,*,,000301,,,,,,,,,
21,302,F,001- 6449,Kürk Astar (İthal),24.0,CIFT,US,65.0,0.00,2.0,0.00,*,,000302,,,,,,,,,
21,303,F,001- 6451,Kürk Astar (İthal),16.0,CIFT,US,62.0,0.00,2.0,0.00,*,,000303,,,,,,,,,
21,304,F,001- 6452,Kürk Astar (İthal),8.0,CIFT,US,63.0,0.00,2.0,0.00,*,,000304,,,,,,,,,
21,305,F,001- 6454 (D),Deri Astar,8.0,CIFT,US,62.0,0.00,2.0,0.00,*,,000305,,,,,,,,,
21,306,F,001- 6454,Kürk Astar (İthal),16.0,CIFT,US,66.0,0.00,2.0,0.00,*,,000306,,,,,,,,,
21,307,F,001- 6458,Kürk Astar,16.0,CIFT,US,58.0,0.00,2.0,0.00,*,,000307,,,,,,,,,
21,308,F,001- 6459,Deri Astar,8.0,CIFT,US,58.0,0.00,2.0,0.00,*,,000308,,,,,,,,,
21,309,F,001- 6459 (K),Kürk Astar,8.0,CIFT,US,64.0,0.00,2.0,0.00,*,,000309,,,,,,,,,
21,310,F,001- 6460,Kürk Astar,16.0,CIFT,US,65.0,0.00,2.0,0.00,*,,000310,,,,,,,,,
21,311,F,001- 6464,Kürk Astar,16.0,CIFT,US,50.0,0.00,2.0,0.00,*,,000311,,,,,,,,,
21,312,F,001- 6469,Kürk Astar,16.0,CIFT,US,58.0,0.00,2.0,0.00,*,,000312,,,,,,,,,
21,313,F,001- 6470,Kürk Astar,16.0,CIFT,US,58.0,0.00,2.0,0.00,*,,000313,,,,,,,,,
21,314,F,001- 6475,Kürk Astar,16.0,CIFT,US,49.0,0.00,2.0,0.00,*,,000314,,,,,,,,,
21,315,F,001- 6476,Kürk Astar,16.0,CIFT,US,67.0,0.00,2.0,0.00,*,,000315,,,,,,,,,
21,316,F,001- 6499,,8.0,CIFT,US,64.0,0.00,2.0,0.00,*,,000316,,,,,,,,,
21,317,F,001- 6505,Kürk Astar,16.0,CIFT,US,63.0,0.00,2.0,0.00,*,,000317,,,,,,,,,
21,318,F,001- 6513,Kürk Astar,16.0,CIFT,US,55.0,0.00,2.0,0.00,*,,000318,,,,,,,,,
21,319,F,001- 6516,Deri Astar,8.0,CIFT,US,53.0,0.00,2.0,0.00,*,,000319,,,,,,,,,
21,320,F,001- 6516 (K),Kürk Astar,8.0,CIFT,US,58.0,0.00,2.0,0.00,*,,000320,,,,,,,,,
21,321,F,001- 6518,Kürk Astar,16.0,CIFT,US,60.0,0.00,2.0,0.00,*,,000321,,,,,,,,,
21,322,F,001- 6524,Deri Astar,8.0,CIFT,US,51.0,0.00,2.0,0.00,*,,000322,,,,,,,,,
21,323,F,001-6524 (K),Kürk Astar,8.0,CIFT,US,55.0,0.00,2.0,0.00,*,,000323,,,,,,,,,
21,324,F,001- 6525,Deri Astar,16.0,CIFT,US,52.0,0.00,2.0,0.00,*,,000324,,,,,,,,,
21,325,F,001- 6525 (K),Kürk Astar,8.0,CIFT,US,56.0,0.00,2.0,0.00,*,,000325,,,,,,,,,
21,326,F,001- 6530,Deri Astar,8.0,CIFT,US,59.0,0.00,2.0,0.00,*,,000326,,,,,,,,,
21,327,F,001- 6530 (K),Kürk Astar,8.0,CIFT,US,65.0,0.00,2.0,0.00,*,,000327,,,,,,,,,
21,328,F,001- 6533,Kürk Astar,16.0,CIFT,US,63.0,0.00,2.0,0.00,*,,000328,,,,,,,,,
21,329,F,001- 6535,Kürk Astar,24.0,CIFT,US,58.0,0.00,2.0,0.00,*,,000329,,,,,,,,,
21,330,F,001- 6538,Kürk Astar,16.0,CIFT,US,58.0,0.00,2.0,0.00,*,,000330,,,,,,,,,
21,331,F,001- 6554,,16.0,CIFT,US,57.0,0.00,2.0,0.00,*,,000331,,,,,,,,,
21,332,F,001- 6586,Kürk Astar,16.0,CIFT,US,58.0,0.00,2.0,0.00,*,,000332,,,,,,,,,
21,333,F,001- 6589,Kürk Astar,24.0,CIFT,US,57.0,0.00,2.0,0.00,*,,000333,,,,,,,,,
21,334,F,001- 6612,Deri Astar,16.0,CIFT,US,49.0,0.00,2.0,0.00,*,,000334,,,,,,,,,
21,335,F,001- 6612 (K),Kürk Astar,8.0,CIFT,US,53.0,0.00,2.0,0.00,*,,000335,,,,,,,,,
21,336,F,001- 6616,Kürk Astar,16.0,CIFT,US,58.0,0.00,2.0,0.00,*,,000336,,,,,,,,,
21,337,F,001- 6621,Deri Astar,8.0,CIFT,US,53.0,0.00,2.0,0.00,*,,000337,,,,,,,,,
21,338,F,001- 6621 (K),Kürk Astar,8.0,CIFT,US,57.0,0.00,2.0,0.00,*,,000338,,,,,,,,,
21,339,F,001- 6623,Deri Astar,8.0,CIFT,US,50.0,0.00,2.0,0.00,*,,000339,,,,,,,,,
21,340,F,001- 6626,Deri Astar,8.0,CIFT,US,49.0,0.00,2.0,0.00,*,,000340,,,,,,,,,
21,341,F,001- 6626 (K),Kürk Astar,16.0,CIFT,US,53.0,0.00,2.0,0.00,*,,000341,,,,,,,,,
21,342,F,001- 6627,Deri Astar,16.0,CIFT,US,58.0,0.00,2.0,0.00,*,,000342,,,,,,,,,
21,343,F,001- 6627 (K),Kürk Astar,8.0,CIFT,US,63.0,0.00,2.0,0.00,*,,000343,,,,,,,,,
21,344,F,001- 6705,Kürk Astar,16.0,CIFT,US,59.0,0.00,2.0,0.00,*,,000344,,,,,,,,,
21,345,F,001- 6706,Kürk Astar,16.0,CIFT,US,54.0,0.00,2.0,0.00,*,,000345,,,,,,,,,
21,346,F,001- 6710,Kürk Astar,24.0,CIFT,US,64.0,0.00,2.0,0.00,*,,000346,,,,,,,,,
21,347,F,001- 7925,Kürk Astar,16.0,CIFT,US,57.0,0.00,2.0,0.00,*,,000347,,,,,,,,,
21,513,F,002- 1293,Kürk Astar,10.0,CIFT,US,65.0,0.00,0.0,0.00,*,,000513,,,,,,,,,
21,514,F,015- 7188,,32.0,CIFT,US,34.0,0.00,0.0,0.00,,,000514,,,,,,,,,
21,515,F,015- 71323,,8.0,CIFT,US,34.0,0.00,0.0,0.00,*,,000515,,,,,,,,,
21,516,F,015- 71289,,24.0,CIFT,US,34.0,0.00,0.0,0.00,*,,000516,,,,,,,,,
21,517,F,015- 71279,,8.0,CIFT,US,34.0,0.00,0.0,0.00,*,,000517,,,,,,,,,
21,518,F,015- 71295,,8.0,CIFT,US,34.0,0.00,0.0,0.00,*,,000518,,,,,,,,,
21,519,F,015- 71324,,16.0,CIFT,US,34.0,0.00,0.0,0.00,*,,000519,,,,,,,,,
21,520,F,015- 40673,,16.0,CIFT,US,43.0,0.00,0.0,0.00,*,,000520,,,,,,,,,
21,521,F,015- 40673-1,,8.0,CIFT,US,46.0,0.00,0.0,0.00,*,,000521,,,,,,,,,
21,11861,,002- 1240,,40.0,CIFT,US,54.0,0.00,0.0,0.00,,,,,,,,,,,,
38,348,F,003- 0001,JESKAZGAN,24.0,CIFT,US,39.0,0.00,0.0,0.00,*,,000348,,,,,,,,,
38,349,F,003- 2119,JESKAZGAN,24.0,CIFT,US,32.0,0.00,0.0,0.00,*,,000349,,,,,,,,,
38,350,F,003- 2150,JESKAZGAN,16.0,CIFT,US,39.0,0.00,0.0,0.00,*,,000350,,,,,,,,,
38,351,F,003- 2112,JESKAZGAN,16.0,CIFT,US,32.0,0.00,0.0,0.00,,,000351,,,,,,,,,
38,352,F,003- 2154,JESKAZGAN,16.0,CIFT,US,41.0,0.00,0.0,0.00,*,,000352,,,,,,,,,
38,353,F,003- 2152,JESKAZGAN,16.0,CIFT,US,43.0,0.00,0.0,0.00,,,000353,,,,,,,,,
38,354,F,003- 2151,JESKAZGAN,16.0,CIFT,US,44.0,0.00,0.0,0.00,,,000354,,,,,,,,,
38,355,F,003- 1750,JESKAZGAN,8.0,CIFT,US,44.0,0.00,0.0,0.00,*,,000355,,,,,,,,,
38,356,F,003- 2124,JESKAZGAN,16.0,CIFT,US,43.0,0.00,0.0,0.00,*,,000356,,,,,,,,,
38,357,F,003- 2146,JESKAZGAN,16.0,CIFT,US,45.0,0.00,0.0,0.00,*,,000357,,,,,,,,,
38,358,F,013- 8084,JESKAZGAN,16.0,CIFT,US,46.0,0.00,0.0,0.00,*,,000358,,,,,,,,,
38,359,F,013- 8070,JESKAZGAN,24.0,CIFT,US,47.0,0.00,0.0,0.00,*,,000359,,,,,,,,,
38,360,F,013- 8069,JESKAZGAN,16.0,CIFT,US,44.0,0.00,0.0,0.00,*,,000360,,,,,,,,,
38,361,F,013- 8001,JESKAZGAN,16.0,CIFT,US,46.0,0.00,0.0,0.00,*,,000361,,,,,,,,,
38,363,F,013- 8071,JESKAZGAN,16.0,CIFT,US,46.0,0.00,0.0,0.00,*,,000363,,,,,,,,,
38,364,F,013- 8022,JESKAZGAN,16.0,CIFT,US,47.0,0.00,0.0,0.00,*,,000364,,,,,,,,,
38,365,F,013- 8068,JESKAZGAN,16.0,CIFT,US,44.0,0.00,0.0,0.00,*,,000365,,,,,,,,,
38,366,F,013- 8098,JESKAZGAN,24.0,CIFT,US,48.0,0.00,0.0,0.00,*,,000366,,,,,,,,,
38,368,F,013- 8012,JESKAZGAN,16.0,CIFT,US,48.0,0.00,0.0,0.00,*,,000368,,,,,,,,,
38,369,F,013- 8101,JESKAZGAN,16.0,CIFT,US,47.0,0.00,0.0,0.00,*,,000369,,,,,,,,,
38,370,F,013- 8103,JESKAZGAN,16.0,CIFT,US,47.0,0.00,0.0,0.00,*,,000370,,,,,,,,,
38,371,F,013- 7441,JESKAZGAN,16.0,CIFT,US,69.0,0.00,0.0,0.00,*,,000371,,,,,,,,,
