FisNo,Fisinx,cbpg,tanim,ParaCinsi,EvrakNo,Tutar,Banka,Sube,Vade,MuhKod,KurFarkiMuhKod,MM,KurFarkiMM,StpjOran,KDVOran,StpjMuhKod,KDVMuhKod,_FKDVTop,_FOTVTop,_FFatTop,locked,Tanim2,KurFarkiDvz,BABSCODE,ExtraField1,ExtraField2,ExtraField3,TevKod,TevOran,TevMuhKod
2040,2040,320.025,300$ ödeme yapıldı.  (Kapora),US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
2041,2041,320.025,250$ ödeme yapıldı.,US,,250.0,,,,,,,,,,,,,,,,,,,,,,,,
2042,2042,320.019,500$ ödeme yapıldı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
2043,2043,G004,Elektrikçi İbrahim 300$ ödeme yapıldı.,US,,300.0,,,,,,,,,10.00,,,,,,,,,,,,,,,
2044,2044,320.019,500$ ödeme alındı.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
2057,2057,TKNK- 001,1500$ nakit ödeme yapıldı.,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
2064,2064,320.022,2500$ ödeme yapıldı.,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
2068,2068,320.019,350$ ödeme yapıldı.,US,,350.0,,,,,,,,,,,,,,,,,,,,,,,,
2080,2080,320.022,3500$ ödeme yapıldı.,US,,3500.0,,,,,,,,,,,,,,,,,,,,,,,,
2083,2083,320.034,1800$ ödeme yapıldı.,US,,1800.0,,,,,,,,,,,,,,,,,,,,,,,,
3074,3074,120.002,Total Sipariş toplamı,US,,124438.0,,,,,,,,,,,,,,,,,,,,,,,,
3076,3076,120.002,Ön ödeme,US,,6500.0,,,,,,,,,,,,,,,,,,,,,,,,
3077,3077,120.002,2. ödeme ,US,,15592.0,,,,,,,,,,,,,,,,,,,,,,,,
3078,3078,120.002,3. ödeme ,US,,7700.0,,,,,,,,,,,,,,,,,,,,,,,,
3081,3133,320.022,3000$ ödeme yapıldı.,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
3082,3134,320.022,2200$ kapora ödendi.,US,,2200.0,,,,,,,,,,,,,,,,,,,,,,,,
3083,3135,120.001,79.360$ ödeme alındı.,US,,79360.0,,,,,,,,,,,,,,,,,,,,,,,,
3084,3136,120.001,79.360$ ödeme alındı.,US,,79360.0,,,,,,,,,,,,,,,,,,,,,,,,
3085,3137,120.006,6000$ ödeme alındı.,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
3086,3138,120.006,500$ ön ödeme ,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
3088,3140,120.002,10.000 ödeme alındı.,US,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
3089,3141,120.003,6000$ ödeme alındı.,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
3090,3142,120.003,7000$ ödeme alındı.,US,,7000.0,,,,,,,,,,,,,,,,,,,,,,,,
3091,3143,120.003,8000$ ödeme alındı.,US,,8000.0,,,,,,,,,,,,,,,,,,,,,,,,
3092,3144,120.002,10.274$ ödeme alındı.,US,,10274.0,,,,,,,,,,,,,,,,,,,,,,,,
3093,3145,120.002,15.939$ ödeme alındı.,US,,15939.0,,,,,,,,,,,,,,,,,,,,,,,,
3094,3146,120.001,Klişe - Marka masrafı,US,,250.0,,,,,,,,,,,,,,,,,,,,,,,,
3095,3147,120.006,2000$ ödeme alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
3096,3148,120.001,30.000$ ödeme alındı.,US,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,
3098,3150,120.006,1000$ fazla para iadesi,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
3099,3151,120.001,30.000$ ödeme alındı.,US,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,
3100,3152,120.001,20.000 TL karşılığı 588 $ ilaç ödemesi,US,,588.0,,,,,,,,,,,,,,,,,,,,,,,,
3101,3153,120.001,10.000 TL karşılığı 294$ ilaç ödemesi,US,,294.0,,,,,,,,,,,,,,,,,,,,,,,,
3102,3154,120.008,3200$ ödeme alındı.,US,,3200.0,,,,,,,,,,,,,,,,,,,,,,,,
3103,3155,120.001,8650 TL karşılığı 255$ marka tescil ücreti,US,,255.0,,,,,,,,,,,,,,,,,,,,,,,,
3104,3156,120.009,1000$ ödeme alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
3105,3157,120.009,1000$ ödeme alındı.,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
3106,3158,120.013,832$ ödeme alındı. - AZON Cargo,US,,832.0,,,,,,,,,,,,,,,,,,,,,,,,
4104,4156,120.018,Mağaza elden 1850€ ödeme alındı.,US,,1955.0,,,,,,,,,,,,,,,,"Kur: 1,0569",,,,,,,,
4105,4157,120.019,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4106,4158,120.020,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
4107,4159,120.013,Azon Kargo 892$ ödeme alındı.,US,,892.0,,,,,,,,,,,,,,,,,,,,,,,,
4108,4160,320.055,700$ ödeme yapıldı.,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
4110,4162,120.024,Mağaza Tahsilatı,US,,3560.0,,,,,,,,,,,,,,,,,,,,,,,,
4110,4163,120.024,İNDİRİM,US,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
4111,4164,120.008,Mağaza Tahsilat,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
4112,4165,120.025,Mağaza Tahsilat,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4113,4166,120.006,2000$ ödeme alındı.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
4114,4167,120.026,Mağaza Tahsilatı,US,,423.0,,,,,,,,,,,,,,,,,,,,,,,,
4115,4168,120.021,Spark Kargodan Tahsil Edildi.,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
4116,4169,120.027,Mağaza Tahsilatı,US,,936.0,,,,,,,,,,,,,,,,,,,,,,,,
4117,4170,120.026,Mağaza Tahsilatı,US,,784.0,,,,,,,,,,,,,,,,,,,,,,,,
4118,4171,120.012,Mağaza Tahsilat,US,,500.0,,,,,,,,,,,,,,,,Nigar tarafından tahsil edildi.,,,,,,,,
4119,4172,120.009,Corona ile ödeme tahsil edildi.,US,,864.0,,,,,,,,,,,,,,,,Emrah tarafından ödeme alındı.,,,,,,,,
4120,4173,120.030,Tahsilat Mağaza,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
4121,4174,120.001,I Phone 16 Pro Max karşılığı,US,,1640.0,,,,,,,,,,,,,,,,,,,,,,,,
4122,4175,120.001,Mağaza Tahsilatı,US,,15000.0,,,,,,,,,,,,,,,,,,,,,,,,
4123,4176,120.002,,US,,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
4124,4177,120.002,,US,,14233.0,,,,,,,,,,,,,,,,,,,,,,,,
4125,4178,120.002,,US,,13090.0,,,,,,,,,,,,,,,,,,,,,,,,
4126,4179,120.002,,US,,21110.0,,,,,,,,,,,,,,,,,,,,,,,,
4127,4180,120.003,,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
4128,4181,120.003,,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
4129,4182,120.005,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4130,4183,120.004,,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
4131,4184,120.004,,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
4132,4185,120.004,,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
4134,4187,120.004,Mağaza Tahsilatı,US,,1300.0,,,,,,,,,,,,,,,,,,,,,,,,
4135,4188,120.004,24-25 Kış Sipariş Toplamı,US,,13300.0,,,,,,,,,,,,,,,,,,,,,,,,
4136,4189,120.010,Kargodan Tahsilat,US,,2080.0,,,,,,,,,,,,,,,,,,,,,,,,
4137,4190,120.015,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4138,4191,120.033,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4139,4192,120.031,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
4140,4193,120.032,Zlot Corona Pay ile ödeme alındı.,US,,395.0,,,,,,,,,,,,,,,,,,,,,,,,
4141,4194,120.028,Aero Bişkek Tour Kargodan Alındı.,US,,1900.0,,,,,,,,,,,,,,,,,,,,,,,,
4142,4195,320.001,Kalan Bakiye (Önceki Staışlar Mutabık),US,,41.0,,,,,,,,,,,,,,,,,,,,,,,,
4143,4196,320.001,,US,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,
4144,4197,320.001,,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
4145,4198,320.001,,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
4146,4199,320.001,,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
4147,4200,320.066,0004 Fiş no.lu ödeme,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
4148,4201,120.035,Mağaza Tahsilatı,US,,1700.0,,,,,,,,,,,,,,,,,,,,,,,,
4149,4203,120.036,TASİLAT MAGAZA,US,,1884.0,,,,,,,,,,,,,,,,,,,,,,,,
4150,4204,320.020,Devreden Bakiye,US,,48.0,,,,,,,,,,,,,,,,,,,,,,,,
4151,4205,320.012,,US,,680.0,,,,,,,,,,,,,,,,,,,,,,,,
4152,4206,120.037,TAHSİLAT MAGAZA,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
4154,4208,320.042,,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
4155,4209,320.042,,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
4156,4210,320.024,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4157,4211,320.020,,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
4158,4212,320.052,,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
4159,4213,320.012,,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
4160,4214,320.044,,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
4161,4215,320.020,,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
4162,4216,320.056,,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
4163,4217,120.020,Mağaza Tahsilat,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
4164,4218,320.067,,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
4165,4219,320.036,Kalan Bakiye,US,,276.0,,,,,,,,,,,,,,,,,,,,,,,,
4166,4220,320.036,,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
4167,4221,320.039,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4168,4222,320.047,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4169,4223,320.024,,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
4170,4224,320.081,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4171,4225,TBN-001,Kalıp Parası ödendi.,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
4172,4226,TBN-001,Kalıp Parası,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
4173,4227,320.060,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4175,4229,320.005,,US,,1600.0,,,,,,,,,,,,,,,,,,,,,,,,
4177,4231,320.005,1643 Kalan Ödeme,US,,1643.0,,,,,,,,,,,,,,,,,,,,,,,,
4178,4232,320.005,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4179,4233,320.005,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4180,4234,320.013,,US,,900.0,,,,,,,,,,,,,,,,,,,,,,,,
4181,4235,320.043,,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
4182,4236,320.061,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4183,4237,320.026,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
4184,4238,320.026,Borç (Kutu-Koli düşmüş),US,,1091.0,,,,,,,,,,,,,,,,,,,,,,,,
4185,4239,320.004,,US,,555.0,,,,,,,,,,,,,,,,,,,,,,,,
4186,4240,320.004,,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
4187,4241,120.012,Mağaza Tahsilatı,US,,236.0,,,,,,,,,,,,,,,,,,,,,,,,
4188,4242,120.034,Mağaza Tahsilatı,US,,592.0,,,,,,,,,,,,,,,,,,,,,,,,
4189,4243,120.040,TAHSİLAT MAGAZA,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
4190,4244,120.042,TAHSİLAT MAGAGA,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
4191,4245,320.042,,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
4192,4246,120.045,TAHSİLAT MAGAZA,US,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
5191,5245,120.037,Korona Pay (Onur),US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
5192,5246,320.047,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
5193,5247,320.054,,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
5194,5248,320.059,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
5195,5249,320.052,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
5196,5250,320.065,,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
5197,5251,320.020,,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
5198,5252,320.068,,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
5199,5253,320.004,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
5200,5254,320.028,2 Takım Ürün - SAIDA - 1tk farklı,US,,712.0,,,,,,,,,,,,,,,,0138 TAMİRE GİDECEK,,,,,,,,
5201,5255,320.028,,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
5202,5256,320.066,,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
5203,5257,320.063,,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
5204,5258,320.039,,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
5205,5259,320.024,,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
5206,5260,320.056,,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
5207,5261,320.044,,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
5208,5262,320.033,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
5209,5263,320.033,Mağaza Tahislatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
5212,5266,YS-001,150.000 TL Çek (18.03.2025),US,,4462.0,,,,,,,,,,,,,,,,"Kur: 33,61",,,,,,,,
5213,5267,YS-001,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
5214,5268,YS-001,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
5215,5269,YS-001,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
5216,5270,YS-001,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
5217,5271,YS-001,Mağaza Tahsilatı ,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
5218,5272,YS-001,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
5219,5273,120.050,TAHSILAT MAGAZA 2000 EURO,US,,2052.0,,,,,,,,,,,,,,,,,,,,,,,,
5220,5274,120.051,TAHSİLAT MAGAZA 2000 EURO ,US,,2052.0,,,,,,,,,,,,,,,,,,,,,,,,
5224,5278,120.053,ALSU KARGO NAKİT ALINDI,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
5225,5279,320.030,932$ kutu koli düşüldü,US,,932.0,,,,,,,,,,,,,,,,,,,,,,,,
5226,5280,320.030,2 takım iş,US,,640.0,,,,,,,,,,,,,,,,,,,,,,,,
5227,5281,120.056,TAHSİLAT MAGAZA,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
5228,5282,120.050,TAHSİLAT MAGAZA 2000 EURO,US,,2056.0,,,,,,,,,,,,,,,,,,,,,,,,
5229,5283,120.013,Azon Kargo 500$ ödeme alındı.,US,,500.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
5230,5284,120.006,Galeria No: 226 ,US,,2000.0,,,,,,,,,,,,,,,,Onur TAÇ aldı.,,,,,,,,
5231,5285,120.014,Mağaza Tahislatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6231,6285,120.007,Medya Hotel Tahsilat-ELİZA,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6233,6287,320.043,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6234,6288,320.056,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6235,6289,320.052,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6236,6290,320.042,Mağaza Tahsilatı,US,,400.0,,,,,,,,,,,,,,,,,,,,,,,,
6237,6291,320.020,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6238,6292,320.005,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6240,6294,120.001,2112 Kalite -56$ discount,US,,56.0,,,,,,,,,,,,,,,,,,,,,,,,
6241,6295,120.048,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6242,6296,120.002,TAHSİLAT MAGAZA ,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6244,6298,120.002,Mağaza Tahsilatı,US,,5000.0,,,,,,,,,,,,,,,,,,,,,,,,
6245,6299,120.031,Zeri Gold dan alındı.,US,,3000.0,,,,,,,,,,,,,,,,Onur TAÇ.,,,,,,,,
6246,6300,120.159,Mağaza Tahsilatı,US,,2600.0,,,,,,,,,,,,,,,,,,,,,,,,
6247,6301,320.072,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
6248,6302,320.086,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6249,6303,320.065,Mağaza Tahsilatı,US,,3000.0,,,,,,,,,,,,,,,,,,,,,,,,
6250,6304,320.060,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6251,6305,320.066,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6252,6306,320.064,Mağaza Tahsilatı,US,,200.0,,,,,,,,,,,,,,,,,,,,,,,,
6253,6307,320.024,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6254,6308,320.030,Mağaza Tahsilatı,US,,4000.0,,,,,,,,,,,,,,,,,,,,,,,,
6255,6309,320.047,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6256,6310,320.046,Mağaza Tahsilatı,US,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,
6257,6311,320.054,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6258,6312,320.059,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6259,6313,320.039,Mağaza Tahsilatı,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6260,6314,320.074,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
6261,6315,320.028,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6262,6316,320.004,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6263,6317,320.110,Mağaza Tahsilatı,US,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,
6264,6318,320.067,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6265,6319,YS-001,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6266,6320,120.028,TAHSİLAT MAGAZA,US,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,
6267,6321,120.049,Sky Tour Kargodan alındı.,US,,8000.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6268,6322,120.058,Korona Pay ile alındı.,US,,1106.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6270,6324,120.037,310€ karşılığı 321$ ödeme alındı.,US,,321.0,,,,,,,,,,,,,,,,Korona Pay ile İra tarafından.,,,,,,,,
6271,6325,120.160,TAHSİLAT MAGAZA 500 EURO,US,,520.0,,,,,,,,,,,,,,,,,,,,,,,,
6272,6326,120.062,,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6273,6327,120.059,Mağaza Tahsilatı,US,,800.0,,,,,,,,,,,,,,,,,,,,,,,,
6274,6328,120.064,TAHSİLAT SAYARA MAGAZADA,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6275,6329,120.039,GRAND MEDYA ÖTELDEN ALINDI,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6276,6330,120.065,TAHSİLAT MAGAZA,US,,360.0,,,,,,,,,,,,,,,,,,,,,,,,
6277,6331,120.066,Mağaza Tahsilatı,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6278,6332,120.067,TAHSİLAT MAGAZA,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6279,6333,120.068,TAHSİLAT MAGAZA,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6280,6334,120.014,Mağaza Tahsilatı,US,,500.0,,,,,,,,,,,,,,,,,,,,,,,,
6281,6335,120.032,Korona Pay ile alındı. ,US,,440.0,,,,,,,,,,,,,,,,Onur Taç,,,,,,,,
6282,6336,120.018,TAHSİLAT MAGAZA 10500 EURO,US,,10917.0,,,,,,,,,,,,,,,,,,,,,,,,
6283,6337,120.043,Cem Shoes'tan alındı.,US,,500.0,,,,,,,,,,,,,,,,Onur TAÇ,,,,,,,,
6284,6338,320.014,Emrah sipariş,US,,304.0,,,,,,,,,,,,,,,,,,,,,,,,
6285,6339,320.014,Emrah sipariş,US,,320.0,,,,,,,,,,,,,,,,,,,,,,,,
6286,6340,320.014,290 ds deri karşılığı,US,,60.9,,,,,,,,,,,,,,,,,,,,,,,,
6287,6341,320.014,293 ds deri karşılığı,US,,70.51,,,,,,,,,,,,,,,,,,,,,,,,
6288,6342,120.010,Giden Mallar 001 firma,US,,2080.0,,,,,,,,,,,,,,,,,,,,,,,,
6289,6343,120.010,TAHSİLAT MAGAZA,US,,300.0,,,,,,,,,,,,,,,,,,,,,,,,
6290,6344,320.003,Gelen İşler karşılığı borç,US,,684.0,,,,,,,,,,,,,,,,,,,,,,,,
6291,6345,320.003,Mağaza Tahsilatı,US,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,
6292,6346,320.003,400£ karşılığı ,US,,420.0,,,,,,,,,,,,,,,,,,,,,,,,
6293,6347,320.003,Mağaza Tahsilatı,US,,700.0,,,,,,,,,,,,,,,,,,,,,,,,
