SKOD,RKOD,BedKod,Tip,Fiyat,ParaCinsi,FTarih,exCheck,insUN,insDT,UpdUN,UpdDT
001 6826,0,0,S02,60.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:39:54.700000
001 6827,0,0,S02,63.0,US,2024-11-11 12:54:55.883000,*,,,,
001 6828,0,0,S02,52.0,US,2024-11-11 00:00:00,*,,,,
001 6829,0,0,S02,63.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:54:13.613000
001 6830,0,0,S02,63.0,US,2024-11-11 12:50:03.153000,*,,,,
001 6832,0,0,S02,52.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:52:56.820000
001 6836,0,0,S02,57.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 11:28:48.147000
001 6839,0,0,S02,63.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:49:27.247000
001 6840,0,0,S02,57.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:11:23.657000
001 6841,0,0,S02,60.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:21:32.210000
001 6845,0,0,S02,61.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 11:55:13.013000
001 6846,0,0,S02,59.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 10:49:12.713000
001 6847,0,0,S02,61.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:19:20.873000
001 6852,0,0,S02,54.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:22:02.697000
001 6853,0,0,S02,53.0,US,2024-11-11 00:00:00,*,,,,
001 6854,0,0,S02,53.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:10:17.660000
001 6857,0,0,S02,51.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:29:41.327000
001 6858,0,0,S02,58.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:34:01.693000
001 6865,0,0,S02,61.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:23:50.140000
001 6866,0,0,S02,52.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:51:16.387000
001 6868,0,0,S02,52.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 14:01:36.923000
001 6869,0,0,S02,55.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:44:42.873000
001 6870,0,0,S02,61.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:59:48.167000
001 6872,0,0,S02,63.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 11:26:31.120000
001 6873,0,0,S02,58.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 11:24:43.383000
001 6875,0,0,S02,61.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 11:22:57.507000
001 6878,0,0,S02,45.0,US,2025-03-07 00:00:00,*,,,,
001 6884,0,0,S02,50.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:08:37.673000
001 6885,0,0,S02,57.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:54:45.213000
001 6888,0,0,S02,52.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:10:50.710000
001 6889,0,0,S02,59.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 13:58:15.707000
001 6890,0,0,S02,59.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:45:45.850000
001 6894,0,0,S02,50.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:24:28.687000
001 6896,0,0,S02,61.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 11:36:25.380000
001 6897,0,0,S02,62.0,US,2024-11-11 00:00:00,*,,,,
001 6899,0,0,S02,59.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 14:05:05.793000
001 6905,0,0,S02,59.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:26:23.660000
001 6910,0,0,S02,58.0,US,2024-11-11 12:34:47.020000,*,,,,
001 6913,0,0,S02,,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:19:59.360000
001 6914,0,0,S02,57.0,US,2024-11-11 00:00:00,*,,,,
001 6916,0,0,S02,61.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 12:43:54.230000
001 6917,0,0,S02,58.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 10:56:17.743000
001 6920,0,0,S02,58.0,US,2024-11-11 00:00:00,*,,,ONUR,2024-11-11 11:43:05.650000
001- 7925,0,0,S02,57.0,US,2024-08-06 00:00:00,*,,,,
001 O6812,0,0,S02,63.0,US,2024-11-11 11:49:43.010000,*,,,,
001-1182,0,0,S02,117.0,US,2024-08-02 00:00:00,*,,,,
001-6524 (K),0,0,S02,55.0,US,2024-08-03 00:00:00,*,,,,
002- 12204,0,0,S02,58.0,US,2024-08-02 00:00:00,*,,,,
002- 1240,0,0,S02,54.0,US,2024-08-02 00:00:00,*,,,,
002- 1293,0,0,S02,65.0,US,2024-08-02 00:00:00,*,,,,
002- 1372,0,0,S02,58.0,US,2024-08-02 00:00:00,*,,,,
002- 1376,0,0,S02,58.0,US,2024-08-02 00:00:00,*,,,,
002- 1595,0,0,S02,65.0,US,2024-08-02 00:00:00,*,,,,
002- 3123,0,0,S02,56.0,US,2024-08-02 00:00:00,*,,,,
002- 3123 (SA),0,0,S02,52.0,US,2024-08-02 00:00:00,*,,,ONUR,2024-08-02 10:42:07.853000
002- 3706,0,0,S02,58.0,US,2024-08-02 00:00:00,*,,,,
002- 3707,0,0,S02,58.0,US,2024-08-02 00:00:00,*,,,,
003- 0001,0,0,S02,39.0,US,2024-08-02 00:00:00,*,,,,
003- 1750,0,0,S02,44.0,US,2024-08-02 00:00:00,*,,,,
003- 2112,0,0,S02,32.0,US,2024-08-02 00:00:00,*,,,,
003 2119,0,0,S02,31.0,US,2024-11-20 00:00:00,*,,,ONUR,2024-11-20 14:56:31.183000
003- 2119,0,0,S02,32.0,US,2024-08-02 00:00:00,*,,,,
003- 2124,0,0,S02,43.0,US,2024-08-02 00:00:00,*,,,,
003- 2146,0,0,S02,45.0,US,2024-08-02 00:00:00,*,,,,
003 2147,0,0,S02,40.0,US,2024-11-20 00:00:00,*,,,ONUR,2024-11-20 14:35:30.813000
003 2148,0,0,S02,40.0,US,2024-11-20 00:00:00,*,,,ONUR,2024-11-20 14:49:51.527000
003- 2150,0,0,S02,39.0,US,2024-08-02 00:00:00,*,,,,
003- 2151,0,0,S02,44.0,US,2024-08-02 00:00:00,*,,,,
003- 2152,0,0,S02,43.0,US,2024-08-02 00:00:00,*,,,,
003- 2154,0,0,S02,41.0,US,2024-08-02 00:00:00,*,,,,
003 2730,0,0,S02,29.0,US,2024-10-31 00:00:00,*,,,,
003 2738,0,0,S02,29.0,US,2024-10-31 00:00:00,*,,,,
003 2750,0,0,S02,33.0,US,2024-10-31 00:00:00,*,,,,
003 2751,0,0,S02,33.0,US,2024-10-31 00:00:00,*,,,,
003 2752,0,0,S02,33.0,US,2024-10-31 00:00:00,*,,,,
003 2753,0,0,S02,33.0,US,2024-10-31 00:00:00,,,,,
003 2754,0,0,S02,32.0,US,2024-10-31 00:00:00,*,,,,
003 2755,0,0,S02,32.0,US,2024-10-31 00:00:00,*,,,,
003 2759,0,0,S02,29.0,US,2024-10-31 00:00:00,*,,,,
003 2766,0,0,S02,33.0,US,2024-10-31 00:00:00,*,,,,
003 2767,0,0,S02,35.0,US,2024-10-31 00:00:00,*,,,,
003 2768,0,0,S02,35.0,US,2024-10-31 00:00:00,*,,,,
003 2769,0,0,S02,35.0,US,2024-10-31 00:00:00,*,,,,
003 2770,0,0,S02,33.0,US,2024-10-31 00:00:00,*,,,,
003 2771,0,0,S02,29.0,US,2024-10-31 00:00:00,*,,,,
003 2780,0,0,S02,30.0,US,2024-11-20 00:00:00,*,,,,
003 2781,0,0,S02,35.0,US,2024-11-20 00:00:00,*,,,ONUR,2024-11-20 14:46:42.187000
003 2792,0,0,S02,20.0,US,2024-12-05 00:00:00,,,,,
003 2793,0,0,S02,21.0,US,2024-12-05 00:00:00,*,,,Suat,2025-01-10 18:57:41.857000
003 2794,0,0,S02,20.0,US,2024-12-05 09:30:24.943000,,,,,
003 2797,0,0,S02,20.0,US,2024-12-05 09:33:29.190000,*,,,İra,2024-12-05 09:34:11.043000
003 2798,0,0,S02,21.0,US,2024-12-05 00:00:00,*,,,İra,2024-12-05 09:49:45.090000
003 2801,0,0,S02,25.0,US,2024-12-09 00:00:00,*,,,ONUR,2024-12-09 18:47:04.110000
003 2802,0,0,S02,38.0,US,2024-12-09 00:00:00,*,,,ONUR,2024-12-09 18:43:32.817000
003 2803,0,0,S02,38.0,US,2024-12-09 18:44:47.910000,*,,,,
003 2810,0,0,S02,35.0,US,2024-12-09 00:00:00,*,,,ONUR,2024-12-09 18:49:41.140000
003 2814,0,0,S02,35.0,US,2024-12-17 00:00:00,*,,,ONUR,2024-12-17 14:23:22.030000
003 2817,0,0,S02,33.0,US,2024-12-17 00:00:00,*,,,ONUR,2024-12-17 14:25:10.997000
003 2818,0,0,S02,22.0,US,2024-12-17 00:00:00,*,,,ONUR,2024-12-17 14:17:59.350000
003 2819,0,0,S02,22.0,US,2024-12-17 00:00:00,*,,,ONUR,2024-12-17 14:18:23.440000
003 2842,0,0,FS0,27.0,US,2025-03-06 00:00:00,*,,,,
003 2842,0,0,S02,26.0,US,2025-03-06 00:00:00,,,,ONUR,2025-03-06 12:11:32.063000
003 2845,0,0,S02,23.0,US,2025-02-22 00:00:00,*,,,,
003 2847,0,0,S02,25.0,US,2025-02-22 00:00:00,*,,,,
003 2848,0,0,S02,23.0,US,2025-02-22 00:00:00,*,,,,
003 5000,0,0,S02,35.0,US,2025-05-30 16:09:14.993000,,,,,
003 5000,0,0,S04,49.0,US,2025-05-30 00:00:00,,,,Suat,2025-05-30 16:11:22.057000
003 5000,0,0,S05,42.0,US,2025-05-30 00:00:00,*,,,Suat,2025-05-30 16:12:09.680000
003 5004,0,0,S02,37.0,US,2025-05-30 00:00:00,*,,,Suat,2025-05-30 16:02:06.883000
003 5004,0,0,S04,47.0,US,2025-05-30 15:59:45.877000,,,,,
003 5004,0,0,S05,40.0,US,2025-05-30 15:59:45.877000,,,,,
003 5005,0,0,S02,35.0,US,2025-05-30 00:00:00,*,,,Suat,2025-05-30 15:01:08.477000
003 5005,0,0,S04,47.0,US,2025-05-30 14:59:53.617000,,,,,
003 5005,0,0,S05,40.0,US,2025-05-30 14:59:53.617000,,,,Suat,2025-05-30 15:01:08.473000
003 5006,0,0,S02,38.0,US,2025-05-30 00:00:00,*,,,Suat,2025-05-30 16:16:39.617000
003 5006,0,0,S04,52.0,US,2025-05-30 16:15:52.910000,,,,,
003 5006,0,0,S05,45.0,US,2025-05-30 16:15:52.910000,,,,Suat,2025-05-30 16:16:39.617000
003 5007,0,0,S02,,US,2025-05-30 00:00:00,,,,Suat,2025-05-30 14:54:29.020000
003 5007,0,0,S04,47.0,US,2025-05-30 00:00:00,,,,Suat,2025-05-30 14:54:29.017000
003 5007,0,0,S05,40.0,US,2025-05-30 00:00:00,*,,,Suat,2025-05-30 14:54:29.017000
003 5008,0,0,S02,35.0,US,2025-05-30 16:13:32.730000,,,,,
003 5008,0,0,S04,52.0,US,2025-05-30 00:00:00,,,,Suat,2025-05-30 16:14:29.310000
003 5008,0,0,S05,45.0,US,2025-05-30 00:00:00,*,,,Suat,2025-05-30 16:14:29.307000
003 5009,0,0,S02,37.0,US,2025-05-30 14:52:41.770000,,,,,
003 5009,0,0,S04,48.0,US,2025-05-30 00:00:00,,,,Suat,2025-05-30 14:53:22.353000
003 5009,0,0,S05,41.0,US,2025-05-30 00:00:00,*,,,Suat,2025-05-30 14:53:22.350000
003 5010,0,0,S02,37.0,US,2025-05-30 14:50:29.230000,,,,,
003 5010,0,0,S04,53.0,US,2025-05-30 14:50:29.230000,,,,,
003 5010,0,0,S05,46.0,US,2025-05-30 00:00:00,*,,,Suat,2025-05-30 14:52:22.233000
004- 4540,0,0,S02,65.0,US,2024-08-02 00:00:00,*,,,,
004- 5232,0,0,S02,62.0,US,2024-08-02 00:00:00,*,,,,
004- 5268,0,0,S02,66.0,US,2024-08-02 00:00:00,*,,,,
004- 5740,0,0,S02,50.0,US,2024-08-02 00:00:00,*,,,,
004- 5769,0,0,S02,83.0,US,2024-08-02 00:00:00,*,,,,
004- 5812,0,0,S02,50.0,US,2024-08-02 00:00:00,*,,,,
004- 5813,0,0,S02,67.0,US,2024-08-02 00:00:00,*,,,,
004- 5834-1,0,0,S02,67.0,US,2024-08-02 00:00:00,*,,,,
004- 5841,0,0,S02,51.0,US,2024-08-02 00:00:00,*,,,,
004- 5848,0,0,S02,62.0,US,2024-08-02 00:00:00,*,,,,
004- 5849,0,0,S02,62.0,US,2024-08-02 00:00:00,*,,,,
004- 5868,0,0,S02,66.0,US,2024-08-02 00:00:00,*,,,,
004- 5872,0,0,S02,51.0,US,2024-08-02 00:00:00,*,,,,
004- 5880,0,0,S02,67.0,US,2024-08-02 00:00:00,*,,,,
004- 5910,0,0,S02,52.0,US,2024-08-02 00:00:00,*,,,,
004- 5949,0,0,S02,81.0,US,2024-08-02 00:00:00,*,,,,
004- 5956,0,0,S02,50.0,US,2024-08-02 00:00:00,*,,,,
004- 5985,0,0,S02,50.0,US,2024-08-02 00:00:00,*,,,,
004- 6002,0,0,S02,63.0,US,2024-08-02 00:00:00,*,,,,
004 6195 A KLBK,0,0,S02,55.0,US,2024-12-24 00:00:00,*,,,ONUR,2024-12-24 10:14:25.477000
004 6195 ALTIN,0,0,S02,55.0,US,2024-12-24 00:00:00,*,,,ONUR,2024-12-24 10:14:41.497000
004 6195 GUMUS,0,0,S02,55.0,US,2024-12-24 10:12:21.003000,*,,,ONUR,2024-12-24 10:14:57.943000
004 6195 TSL KL,0,0,S02,56.0,US,2024-12-24 00:00:00,*,,,ONUR,2024-12-24 10:15:14.090000
004 LRS 001,0,0,S02,71.0,US,2025-02-25 00:00:00,*,,,Suat,2025-02-25 13:26:05.457000
004 LRS 002,0,0,S02,70.0,US,2025-02-25 00:00:00,*,,,Suat,2025-02-25 13:41:44.370000
004 LRS 003,0,0,S02,68.0,US,2025-02-25 00:00:00,*,,,Suat,2025-02-25 13:34:34.330000
004 LRS 004,0,0,S02,72.0,US,2025-02-25 12:24:47.227000,*,,,,
004 LRS 005,0,0,S02,70.0,US,2025-02-25 00:00:00,*,,,Suat,2025-02-25 12:40:30.160000
004 LRS 006,0,0,S02,92.0,US,2025-02-25 00:00:00,*,,,Suat,2025-02-25 12:56:12.547000
004 LRS 007,0,0,S02,58.0,US,2025-02-25 00:00:00,*,,,,
004 LRS 008,0,0,S02,60.0,US,2025-02-25 00:00:00,*,,,Suat,2025-02-25 13:08:09
004 LRS 009,0,0,S02,72.0,US,2025-02-25 00:00:00,*,,,Suat,2025-02-25 12:04:36.660000
004 LRS 010,0,0,S02,69.0,US,2025-02-25 00:00:00,,,,Suat,2025-02-27 13:11:44.473000
004 LRS 010,0,0,S04,76.0,US,2025-02-27 00:00:00,*,,,,
004 SC001,0,0,S02,52.0,US,2024-11-22 00:00:00,*,,,,
004 SC002,0,0,S02,48.0,US,2024-11-22 00:00:00,*,,,ONUR,2024-11-22 09:43:38.360000
004 SC003,0,0,S02,51.0,US,2024-11-22 00:00:00,*,,,,
004 SC004,0,0,S02,54.0,US,2024-11-22 10:07:02.793000,*,,,,
004 SC005,0,0,S02,54.0,US,2024-11-22 10:13:07.580000,*,,,,
004 SC006,0,0,S02,49.0,US,2024-11-22 10:29:08.180000,*,,,,
004 SC007,0,0,S02,52.0,US,2024-11-22 00:00:00,*,,,ONUR,2024-11-22 09:52:50.947000
004 SC008,0,0,S02,54.0,US,2024-11-22 00:00:00,*,,,ONUR,2024-11-22 10:52:30.370000
004 SC009,0,0,S02,53.0,US,2024-11-22 00:00:00,*,,,ONUR,2024-11-22 09:29:28.660000
004 SC010,0,0,S02,49.0,US,2024-11-22 00:00:00,*,,,ONUR,2024-11-22 10:28:00.283000
004 SC011,0,0,S02,51.0,US,2024-11-22 00:00:00,*,,,ONUR,2024-11-22 10:23:59.747000
004 SC012,0,0,S02,52.0,US,2024-11-22 00:00:00,*,,,ONUR,2024-11-22 10:16:13.037000
004 SC013,0,0,S02,51.0,US,2024-11-22 00:00:00,*,,,ONUR,2024-11-22 09:54:36.597000
004 SC014,0,0,S02,52.0,US,2024-11-22 00:00:00,*,,,ONUR,2024-11-22 09:31:04.933000
004 SC015,0,0,S02,54.0,US,2024-11-22 00:00:00,*,,,ONUR,2024-11-22 09:36:17.910000
004 SC016,0,0,S02,54.0,US,2024-11-22 00:00:00,*,,,ONUR,2024-11-22 10:04:03.427000
