FisNo,Bolum,FisTip,FisTar,BelgeNo,Kasa,Location,CariKod,OzKod1,OzKod2,MuhKod,MuhFisNo,iptal,MM,insUN,insDT,updUN,updDT,locked,CreaterApp,OzKod3,OzKod4,OzKod5,LastUpdate,LastCalculate,MakbuzSerino,MakbuzNo,NeedCalculate,NoBaBs
12,K,GO,2024-07-20 11:25:06,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:25:51.543000,ONUR,2024-07-29 11:25:51.543000,,,,,,2024-07-29 11:25:51.553000,2024-07-29 11:25:51.647000,,,0,
13,K,GO,2024-07-20 11:26:14,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:26:59.563000,ONUR,2024-07-29 11:26:59.563000,,,,,,2024-07-29 11:26:59.573000,2024-07-29 11:26:59.613000,,,0,
14,K,GO,2024-07-20 11:27:19,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:28:02.260000,ONUR,2024-07-29 11:28:02.260000,,,,,,2024-07-29 11:28:02.270000,2024-07-29 11:28:02.370000,,,0,
15,K,GO,2024-07-25 11:29:10,,K001,L001,,,,,0,,,ONUR,2024-07-29 11:29:54.883000,ONUR,2024-07-29 11:29:54.883000,,,,,,2024-07-29 11:29:54.890000,2024-07-29 11:29:55.003000,,,0,
1010,K,NO,2024-07-29 11:12:18,,K001,L001,,,,,0,,,ONUR,2024-07-30 11:12:42.833000,ONUR,2024-07-30 11:12:42.833000,,,,,,2024-07-30 11:12:42.840000,2024-07-30 11:12:42.923000,,,0,
1012,K,GO,2024-07-30 17:06:46,,K001,L001,,,,,0,,,ONUR,2024-07-30 17:08:06.333000,ONUR,2024-07-30 17:08:06.340000,,,,,,2025-03-16 14:50:57.097000,2025-03-16 14:51:05.110000,,,0,
1014,K,NO,2024-07-31 09:38:06,,K001,L001,,,,,0,,,ONUR,2024-07-31 09:38:36.980000,LAROSI,2024-08-05 15:09:31.197000,,,,,,2024-08-05 15:09:31.210000,2024-08-05 15:09:31.273000,,,0,
1016,K,NO,2024-07-30 09:46:47,,K001,L001,,,,,0,,,ONUR,2024-07-31 09:47:23.240000,ONUR,2024-07-31 09:47:23.243000,,,,,,2025-03-16 14:50:57.097000,2025-03-16 14:51:05.113000,,,0,
2012,K,NO,2024-07-31 17:50:48,,K001,L001,,,,,0,,,ONUR,2024-07-31 17:51:32.347000,ONUR,2024-07-31 17:51:32.350000,,,,,,2024-07-31 17:51:32.360000,2024-07-31 17:51:32.500000,,,0,
2017,K,NO,2024-08-02 15:12:25,,K001,L001,,,,,0,,,LAROSI,2024-08-05 15:13:01.930000,LAROSI,2024-08-05 15:13:01.933000,,,,,,2024-08-05 15:13:01.947000,2024-08-05 15:13:02.080000,,,0,
2020,K,NO,2024-08-02 15:18:43,,K001,L001,,,,,0,,,LAROSI,2024-08-05 15:19:23.650000,LAROSI,2024-08-05 15:19:23.653000,,,,,,2024-08-05 15:19:23.667000,2024-08-05 15:19:23.817000,,,0,
2023,K,NT,2024-07-17 15:31:28,,K001,L001,,,,,0,,,LAROSI,2024-08-05 15:32:34.517000,LAROSI,2024-08-09 12:26:26.540000,,,,,,2024-08-09 12:26:26.550000,2024-08-09 12:26:26.607000,,,0,
2024,K,NO,2024-07-19 15:33:06,,K001,L001,,,,,0,,,LAROSI,2024-08-05 15:35:35.050000,LAROSI,2024-08-05 15:35:35.053000,,,,,,2024-08-05 15:35:35.063000,2024-08-05 15:35:35.090000,,,0,
2025,K,NO,2024-08-02 15:36:00,,K001,L001,,,,,0,,,LAROSI,2024-08-05 15:37:08.593000,LAROSI,2024-08-05 15:37:08.597000,,,,,,2024-08-05 15:37:08.610000,2024-08-05 15:37:08.763000,,,0,
2026,K,NT,2024-07-19 15:38:18,,K001,L001,,,,,0,,,LAROSI,2024-08-05 15:39:24.327000,LAROSI,2024-08-05 15:39:24.330000,,,,,,2024-08-05 15:39:24.340000,2024-08-05 15:39:24.490000,,,0,
2027,K,NO,2024-07-19 15:39:40,,K001,L001,,,,,0,,,LAROSI,2024-08-05 15:40:30.447000,LAROSI,2024-08-05 15:40:30.450000,,,,,,2024-08-05 15:40:30.463000,2024-08-05 15:40:30.613000,,,0,
2028,K,NO,2024-08-02 15:40:42,,K001,L001,,,,,0,,,LAROSI,2024-08-05 15:41:20.460000,LAROSI,2024-08-05 15:41:20.463000,,,,,,2024-08-05 15:41:20.477000,2024-08-05 15:41:20.630000,,,0,
2032,K,NO,2024-08-09 12:09:29,,K001,L001,,,,,0,,,LAROSI,2024-08-09 12:10:37.177000,LAROSI,2024-08-09 12:10:37.177000,,,,,,2024-08-09 12:10:37.183000,2024-08-09 12:10:37.270000,,,0,
2034,K,NO,2024-08-09 12:26:46,,K001,L001,,,,,0,,,LAROSI,2024-08-09 12:27:28.407000,LAROSI,2024-08-09 12:27:28.407000,,,,,,2024-08-09 12:27:28.413000,2024-08-09 12:27:28.510000,,,0,
2037,K,NO,2024-08-09 14:14:33,,K001,L001,,,,,0,,,LAROSI,2024-08-09 14:15:22.470000,LAROSI,2024-08-09 14:15:22.470000,,,,,,2024-08-09 14:15:22.480000,2024-08-09 14:15:22.563000,,,0,
2038,K,NO,2024-08-09 14:15:40,,K001,L001,,,,,0,,,LAROSI,2024-08-09 14:16:20.467000,LAROSI,2024-08-09 14:16:20.467000,,,,,,2024-08-09 14:16:20.473000,2024-08-09 14:16:20.557000,,,0,
2040,K,NO,2024-08-02 14:21:12,,K001,L001,,,,,0,,,LAROSI,2024-08-09 14:25:33.697000,LAROSI,2024-08-09 14:25:33.697000,,,,,,2024-08-09 14:25:33.703000,2024-08-09 14:25:33.803000,,,0,
2041,K,NO,2024-08-09 14:25:35,,K001,L001,,,,,0,,,LAROSI,2024-08-09 14:26:12.617000,LAROSI,2024-08-09 14:26:12.617000,,,,,,2024-08-09 14:26:12.623000,2024-08-09 14:26:12.707000,,,0,
2042,K,NO,2024-08-09 14:27:46,,K001,L001,,,,,0,,,LAROSI,2024-08-09 14:28:46.117000,LAROSI,2024-08-09 14:28:46.117000,,,,,,2024-08-09 14:28:46.120000,2024-08-09 14:28:46.217000,,,0,
2043,K,GO,2024-08-09 14:32:31,,K001,L001,,,,,0,,,LAROSI,2024-08-09 14:33:38.727000,LAROSI,2024-08-09 14:33:38.727000,,,,,,2024-08-09 14:33:38.737000,2024-08-09 14:33:38.823000,,,0,
2044,K,NO,2024-08-09 14:36:36,,K001,L001,,,,,0,,,LAROSI,2024-08-09 14:44:07.813000,LAROSI,2024-08-09 14:44:07.813000,,,,,,2024-08-09 14:44:07.820000,2024-08-09 14:44:07.920000,,,0,
2057,K,NO,2024-08-16 10:38:56,,K001,L001,,,,,0,,,ONUR,2024-08-17 10:39:41.430000,ONUR,2024-08-17 10:39:41.430000,,,,,,2025-03-16 14:49:43.060000,2025-03-16 14:49:44.643000,,,0,
2064,K,NO,2024-08-16 13:43:09,,K001,L001,,,,,0,,,ONUR,2024-08-17 13:43:42.440000,ONUR,2024-08-17 13:43:42.440000,,,,,,2025-03-16 14:49:43.060000,2025-03-16 14:49:44.650000,,,0,
2068,K,NO,2024-08-16 13:47:29,,K001,L001,,,,,0,,,ONUR,2024-08-17 13:47:51.587000,ONUR,2024-08-17 13:47:51.587000,,,,,,2025-03-16 14:49:43.060000,2025-03-16 14:49:44.653000,,,0,
2080,K,NO,2024-08-23 11:03:49,,K001,L001,,,,,0,,,ONUR,2024-08-24 11:04:21.400000,ONUR,2024-08-24 11:04:21.400000,,,,,,2025-03-16 14:49:21.667000,2025-03-16 14:49:24.430000,,,0,
2083,K,NO,2024-08-23 11:06:52,,K001,L001,,,,,0,,,ONUR,2024-08-24 11:07:22.953000,ONUR,2024-08-24 11:07:22.953000,,,,,,2025-03-16 14:49:21.667000,2025-03-16 14:49:24.440000,,,0,
3074,K,NO,2024-07-26 19:58:10,,K001,L001,,,,,0,,,ONUR,2024-08-26 19:58:51.733000,ONUR,2024-12-17 20:46:13.500000,,,,,,2024-12-17 20:46:13.510000,2024-12-17 20:46:13.567000,,,0,
3076,K,NT,2024-08-02 20:01:40,,K001,L001,,,,,0,,,ONUR,2024-08-26 20:02:08.393000,ONUR,2024-08-26 20:02:08.393000,,,,,,2024-08-26 20:02:08.400000,2024-08-26 20:02:08.503000,,,0,
3077,K,NT,2024-08-09 20:03:00,,K001,L001,,,,,0,,,ONUR,2024-08-26 20:03:29.470000,ONUR,2024-08-26 20:03:29.470000,,,,,,2024-08-26 20:03:29.477000,2024-08-26 20:03:29.580000,,,0,
3078,K,NT,2024-08-24 20:03:57,,K001,L001,,,,,0,,,ONUR,2024-08-26 20:04:17.290000,ONUR,2024-08-26 20:04:17.290000,,,,,,2024-08-26 20:04:17.297000,2024-08-26 20:04:17.393000,,,0,
3081,K,NO,2024-08-30 16:36:57,,K001,L001,,,,,0,,,ONUR,2024-09-03 16:37:35.247000,ONUR,2024-09-03 16:37:35.250000,,,,,,2024-09-03 16:37:35.257000,2024-09-03 16:37:35.343000,,,0,
3082,K,NO,2024-06-11 16:38:04,,K001,L001,,,,,0,,,ONUR,2024-09-03 16:38:52.903000,ONUR,2024-09-03 16:38:52.903000,,,,,,2024-09-03 16:38:52.913000,2024-09-03 16:38:53.013000,,,0,
3083,K,NT,2024-08-20 11:36:52,,K001,L001,,,,,0,,,ONUR,2024-09-04 11:39:18.820000,ONUR,2024-09-04 11:39:18.820000,,,,,,2024-09-04 11:39:18.833000,2024-09-04 11:39:18.940000,,,0,
3084,K,NT,2024-07-26 11:39:39,,K001,L001,,,,,0,,,ONUR,2024-09-04 11:40:21.200000,ONUR,2024-09-04 11:40:21.203000,,,,,,2024-09-04 11:40:21.210000,2024-09-04 11:40:21.303000,,,0,
3085,K,NT,2024-08-22 13:25:42,,K001,L001,,,,,0,,,ONUR,2024-09-16 13:26:20.823000,ONUR,2024-09-16 13:29:30.550000,,,,,,2024-09-16 13:29:30.560000,2024-09-16 13:29:30.647000,,,0,
3086,K,NT,2024-08-07 13:29:48,,K001,L001,,,,,0,,,ONUR,2024-09-16 13:30:28.107000,ONUR,2024-09-16 13:30:28.107000,,,,,,2024-09-16 13:30:28.117000,2024-09-16 13:30:28.207000,,,0,
3088,K,NT,2024-08-30 16:00:47,,K001,L001,,,,,0,,,ONUR,2024-09-17 16:01:24.623000,ONUR,2024-09-17 16:01:24.623000,,,,,,2024-09-17 16:01:24.630000,2024-09-17 16:01:24.717000,,,0,
3089,K,NT,2024-09-04 16:01:38,,K001,L001,,,,,0,,,ONUR,2024-09-17 16:02:17.627000,ONUR,2024-09-17 16:02:50.003000,,,,,,2024-09-17 16:02:50.003000,2024-09-17 16:02:50.080000,,,0,
3090,K,NT,2024-07-27 16:03:09,,K001,L001,,,,,0,,,ONUR,2024-09-17 16:04:32.640000,ONUR,2024-09-17 16:04:32.640000,,,,,,2024-09-17 16:04:32.647000,2024-09-17 16:04:32.743000,,,0,
3091,K,NT,2024-08-05 16:04:51,,K001,L001,,,,,0,,,ONUR,2024-09-17 16:05:15.103000,ONUR,2024-09-17 16:05:15.103000,,,,,,2024-09-17 16:05:15.110000,2024-09-17 16:05:15.197000,,,0,
3092,K,NT,2024-09-04 16:06:03,,K001,L001,,,,,0,,,ONUR,2024-09-17 16:06:25.847000,ONUR,2024-09-17 16:06:25.847000,,,,,,2024-09-17 16:06:25.853000,2024-09-17 16:06:25.940000,,,0,
3093,K,NT,2024-09-12 16:06:43,,K001,L001,,,,,0,,,ONUR,2024-09-17 16:07:17.017000,ONUR,2024-09-17 16:07:17.017000,,,,,,2025-02-21 08:22:04.263000,2025-02-21 08:22:12.323000,,,0,
3094,K,NO,2024-09-20 12:51:45,,K001,L001,,,,,0,,,ONUR,2024-09-23 12:52:27.377000,ONUR,2024-09-23 18:15:42.007000,,,,,,2025-03-16 14:48:29.627000,2025-03-16 14:48:33.957000,,,0,
3095,K,NT,2024-09-18 10:10:40,,K001,L001,,,,,0,,,ONUR,2024-09-25 10:11:04.020000,ONUR,2024-09-25 10:11:04.020000,,,,,,2024-09-25 10:11:04.030000,2024-09-25 10:11:04.117000,,,0,
3096,K,NT,2024-09-27 18:40:44,,K001,L001,,,,,0,,,ONUR,2024-09-27 18:41:16.163000,ONUR,2024-09-27 18:41:16.167000,,,,,,2024-09-27 18:41:16.187000,2024-09-27 18:41:16.337000,,,0,
3098,K,NO,2024-10-10 16:53:55,,K001,L001,,,,,0,,,ONUR,2024-10-18 16:55:03.617000,ONUR,2024-10-18 16:55:14.633000,,,,,,2024-10-18 16:55:14.643000,2024-10-18 16:55:14.703000,,,0,
3099,K,NT,2024-10-22 19:36:06,,K001,L001,,,,,0,,,ONUR,2024-10-22 19:37:18.900000,ONUR,2024-10-22 19:37:31.367000,,,,,,2024-10-22 19:37:31.377000,2024-10-22 19:37:31.430000,,,0,
3100,K,NO,2024-10-29 19:28:21,,K001,L001,,,,,0,,,ONUR,2024-10-31 19:29:49.187000,ONUR,2024-10-31 19:29:49.190000,,,,,,2024-10-31 19:29:49.210000,2024-10-31 19:29:49.307000,,,0,
3101,K,NO,2024-10-31 19:30:03,,K001,L001,,,,,0,,,ONUR,2024-10-31 19:30:42.223000,ONUR,2024-10-31 19:30:42.227000,,,,,,2025-02-21 08:26:26.477000,2025-02-21 08:26:33.967000,,,0,
3102,K,NT,2024-10-16 19:33:07,,K001,L001,,,,,0,,,ONUR,2024-10-31 19:33:36.780000,ONUR,2024-10-31 19:33:57.350000,,,,,,2024-10-31 19:33:57.360000,2024-10-31 19:33:57.427000,,,0,
3103,K,NO,2024-11-01 18:07:10,,K001,L001,,,,,0,,,ONUR,2024-11-01 18:08:07.813000,ONUR,2024-11-01 18:08:07.813000,,,,,,2024-11-01 18:08:07.823000,2024-11-01 18:08:07.910000,,,0,
3104,K,NT,2024-11-15 20:40:24,,K001,L001,,,,,0,,,ONUR,2024-11-18 20:40:48.697000,ONUR,2024-11-18 20:40:48.700000,,,,,,2024-11-18 20:40:48.730000,2024-11-18 20:40:48.827000,,,0,
3105,K,NT,2024-11-08 20:42:12,,K001,L001,,,,,0,,,ONUR,2024-11-18 20:42:38.380000,ONUR,2024-11-18 20:42:38.383000,,,,,,2025-03-16 14:46:55.030000,2025-03-16 14:47:03.047000,,,0,
3106,K,NT,2024-11-19 18:16:29,,K001,L001,,,,,0,,,ONUR,2024-11-19 18:17:12.343000,ONUR,2024-11-19 18:17:12.347000,,,,,,2024-11-19 18:17:12.360000,2024-11-19 18:17:12.453000,,,0,
4104,K,NT,2024-11-30 11:02:22,,K001,L001,,,,,0,,,İra,2024-11-30 11:03:24.523000,İra,2024-11-30 11:03:24.530000,,,,,,2024-11-30 11:03:24.607000,2024-11-30 11:03:25.133000,,,0,
4105,K,NT,2024-12-02 13:34:29,,K001,L001,,,,,0,,,İra,2024-12-02 13:34:57.090000,ONUR,2024-12-17 21:28:52.330000,,,,,,2024-12-17 21:28:52.330000,2025-02-26 16:11:33.907000,,,0,
4106,K,NT,2024-12-03 13:43:39,,K001,L001,,,,,0,,,ONUR,2024-12-03 13:43:55.180000,ONUR,2024-12-17 21:29:29.517000,,,,,,2024-12-17 21:29:29.520000,2025-02-05 17:44:42.580000,,,0,
4107,K,NT,2024-12-06 15:37:24,,K001,L001,,,,,0,,,ONUR,2024-12-06 15:38:06.140000,ONUR,2024-12-06 15:38:06.140000,,,,,,2024-12-06 15:38:06.160000,2024-12-06 15:38:06.260000,,,0,
4108,K,NO,2024-12-06 15:41:01,,K001,L001,,,,,0,,,ONUR,2024-12-06 15:42:01.740000,ONUR,2024-12-06 15:42:01.740000,,,,,,2024-12-06 15:42:01.750000,2024-12-06 15:42:01.850000,,,0,
4110,K,NT,2024-12-10 14:31:17,,K001,L001,,,,,0,,,İra,2024-12-10 14:32:04.163000,ONUR,2024-12-17 21:32:55.903000,,,,,,2024-12-17 21:32:55.903000,2025-05-28 12:23:51.973000,,,0,
4111,K,NT,2024-12-10 14:53:15,,K001,L001,,,,,0,,,İra,2024-12-10 14:53:32.020000,ONUR,2024-12-14 09:16:47.010000,,,,,,2024-12-14 09:16:47.023000,2025-02-24 11:57:27.320000,,,0,
4112,K,NT,2024-12-10 15:16:10,,K001,L001,,,,,0,,,İra,2024-12-10 15:16:51.150000,ONUR,2024-12-14 09:17:42.073000,,,,,,2024-12-14 09:17:42.077000,2025-02-27 14:28:22.480000,,,0,
4113,K,NT,2024-12-06 17:12:01,,K001,L001,,,,,0,,,ONUR,2024-12-10 17:12:24.170000,ONUR,2024-12-10 17:12:24.170000,,,,,,2024-12-10 17:12:24.177000,2024-12-10 17:12:24.280000,,,0,
4114,K,NT,2024-12-11 14:45:00,,K001,L001,,,,,0,,,İra,2024-12-11 14:45:28.680000,ONUR,2024-12-14 09:21:49.580000,,,,,,2024-12-14 09:21:49.580000,2025-03-07 16:09:38.243000,,,0,
4115,K,NT,2024-12-11 14:55:40,,K001,L001,,,,,0,,,ONUR,2024-12-11 14:56:33.417000,ONUR,2024-12-14 09:18:48.510000,,,,,,2024-12-14 09:18:48.513000,2024-12-14 09:18:48.570000,,,0,
4116,K,NT,2024-12-12 13:37:30,,K001,L001,,,,,0,,,ONUR,2024-12-12 13:37:57.510000,ONUR,2024-12-14 09:21:01.230000,,,,,,2025-02-21 08:28:41.807000,2025-05-29 08:48:58.567000,,,0,
4117,K,NT,2024-12-13 18:39:37,,K001,L001,,,,,0,,,İra,2024-12-13 18:39:50.887000,ONUR,2024-12-14 09:22:04.143000,,,,,,2025-03-16 14:46:21.970000,2025-03-16 14:46:22.640000,,,0,
4118,K,NT,2024-12-12 09:19:20,,K001,L001,,,,,0,,,ONUR,2024-12-14 09:20:25.530000,ONUR,2024-12-14 09:20:25.530000,,,,,,2025-02-21 08:28:41.807000,2025-02-21 08:28:45.373000,,,0,
4119,K,NT,2024-12-13 09:22:42,,K001,L001,,,,,0,,,ONUR,2024-12-14 09:23:35.937000,ONUR,2024-12-14 09:23:42.430000,,,,,,2025-03-16 14:46:21.970000,2025-03-16 14:46:22.643000,,,0,
4120,K,NT,2024-12-16 16:18:13,,K001,L001,,,,,0,,,İra,2024-12-16 16:18:25.107000,ONUR,2024-12-16 17:23:20.650000,,,,,,2024-12-16 17:23:20.660000,2025-02-19 12:59:44.857000,,,0,
4121,K,NT,2024-12-16 20:15:27,,K001,L001,,,,,0,,,ONUR,2024-12-16 20:16:08.890000,ONUR,2024-12-16 20:16:08.890000,,,,,,2024-12-16 20:16:08.900000,2024-12-16 20:16:08.987000,,,0,
4122,K,NT,2024-12-16 20:56:12,,K001,L001,,,,,0,,,ONUR,2024-12-16 20:56:32.140000,ONUR,2024-12-16 20:56:32.140000,,,,,,2024-12-16 20:56:32.150000,2024-12-16 20:56:32.243000,,,0,
4123,K,NT,2024-10-02 20:41:47,,K001,L001,,,,,0,,,ONUR,2024-12-17 20:43:00.480000,ONUR,2024-12-17 20:43:00.480000,,,,,,2024-12-17 20:43:00.503000,2024-12-17 20:43:00.617000,,,0,
4124,K,NT,2024-10-09 20:43:17,,K001,L001,,,,,0,,,ONUR,2024-12-17 20:43:39.627000,ONUR,2024-12-17 20:43:39.630000,,,,,,2024-12-17 20:43:39.637000,2024-12-17 20:43:39.737000,,,0,
4125,K,NT,2024-10-19 20:43:56,,K001,L001,,,,,0,,,ONUR,2024-12-17 20:44:09.270000,ONUR,2024-12-17 20:44:09.270000,,,,,,2024-12-17 20:44:09.277000,2024-12-17 20:44:09.373000,,,0,
4126,K,NT,2024-11-06 20:44:44,,K001,L001,,,,,0,,,ONUR,2024-12-17 20:45:06.060000,ONUR,2024-12-20 17:33:59.707000,,,,,,2024-12-20 17:33:59.707000,2024-12-20 17:33:59.770000,,,0,
4127,K,NT,2024-10-01 20:47:45,,K001,L001,,,,,0,,,ONUR,2024-12-17 20:48:01.667000,ONUR,2024-12-17 20:48:01.667000,,,,,,2024-12-17 20:48:01.673000,2024-12-17 20:48:01.763000,,,0,
4128,K,NT,2024-10-07 20:48:20,,K001,L001,,,,,0,,,ONUR,2024-12-17 20:48:41.663000,ONUR,2024-12-17 20:48:41.663000,,,,,,2024-12-17 20:48:41.670000,2024-12-17 20:48:41.757000,,,0,
4129,K,NT,2024-11-02 20:51:00,,K001,L001,,,,,0,,,ONUR,2024-12-17 20:51:24.813000,ONUR,2024-12-17 20:51:24.813000,,,,,,2024-12-17 20:51:24.820000,2024-12-17 20:51:24.920000,,,0,
4130,K,NT,2024-07-27 20:53:25,,K001,L001,,,,,0,,,ONUR,2024-12-17 20:53:53.107000,ONUR,2024-12-17 20:54:17.410000,,,,,,2024-12-17 20:54:17.410000,2024-12-17 20:54:17.470000,,,0,
4131,K,NT,2024-08-09 20:55:24,,K001,L001,,,,,0,,,ONUR,2024-12-17 20:55:46.953000,ONUR,2024-12-17 20:55:46.953000,,,,,,2024-12-17 20:55:46.960000,2024-12-17 20:55:47.047000,,,0,
4132,K,NT,2024-10-09 20:56:29,,K001,L001,,,,,0,,,ONUR,2024-12-17 20:56:59.280000,ONUR,2024-12-17 20:56:59.280000,,,,,,2024-12-17 20:56:59.290000,2024-12-17 20:56:59.373000,,,0,
4134,K,NT,2024-12-04 21:03:42,,K001,L001,,,,,0,,,ONUR,2024-12-17 21:04:06.377000,ONUR,2024-12-17 21:04:06.377000,,,,,,2024-12-17 21:04:06.383000,2024-12-17 21:04:06.473000,,,0,
4135,K,NO,2024-07-05 21:05:10,,K001,L001,,,,,0,,,ONUR,2024-12-17 21:06:24.923000,ONUR,2024-12-17 21:06:24.923000,,,,,,2024-12-17 21:06:24.930000,2024-12-17 21:06:25.020000,,,0,
4136,K,NT,2024-11-08 21:09:26,,K001,L001,,,,,0,,,ONUR,2024-12-17 21:10:03.250000,ONUR,2024-12-17 21:10:03.250000,,,,,,2025-03-16 14:46:55.030000,2025-03-16 14:47:03.050000,,,0,
4137,K,NT,2024-12-06 21:11:39,,K001,L001,,,,,0,,,ONUR,2024-12-17 21:12:16.953000,ONUR,2024-12-17 21:12:16.953000,,,,,,2024-12-17 21:12:16.960000,2024-12-17 21:12:17.060000,,,0,
4138,K,NT,2024-12-18 10:27:12,,K001,L001,,,,,0,,,ONUR,2024-12-19 10:27:44.283000,ONUR,2024-12-19 10:27:44.287000,,,,,,2024-12-19 10:27:44.393000,2024-12-19 10:27:44.860000,,,0,
4139,K,NT,2024-12-19 20:05:32,,K001,L001,,,,,0,,,İra,2024-12-19 20:07:13.210000,ONUR,2024-12-19 20:09:05.483000,,,,,,2025-02-21 08:30:17.470000,2025-05-20 10:56:46.820000,,,0,
4140,K,NT,2024-12-20 16:53:30,,K001,L001,,,,,0,,,ONUR,2024-12-20 16:54:11.610000,ONUR,2024-12-20 16:59:45.503000,,,,,,2025-03-16 14:45:53.780000,2025-03-16 14:46:02.383000,,,0,
4141,K,NT,2024-12-20 16:58:28,,K001,L001,,,,,0,,,ONUR,2024-12-20 16:59:07.293000,ONUR,2024-12-20 16:59:07.297000,,,,,,2025-03-16 14:45:53.780000,2025-03-16 14:46:02.390000,,,0,
4142,K,NT,2024-10-25 18:54:25,,K001,L001,,,,,0,,,ONUR,2024-12-20 18:55:03.110000,ONUR,2024-12-20 19:09:20.773000,,,,,,2025-03-16 14:47:14.560000,2025-03-16 14:47:23.373000,,,0,
4143,K,NO,2024-11-01 18:57:07,,K001,L001,,,,,0,,,ONUR,2024-12-20 18:58:27.633000,ONUR,2024-12-20 18:58:27.633000,,,,,,2024-12-20 18:58:27.643000,2024-12-20 18:58:27.740000,,,0,
4144,K,NO,2024-11-29 18:58:59,,K001,L001,,,,,0,,,ONUR,2024-12-20 18:59:15.097000,ONUR,2024-12-20 18:59:15.097000,,,,,,2024-12-20 18:59:15.103000,2024-12-20 18:59:15.190000,,,0,
4145,K,NO,2024-12-13 19:00:27,,K001,L001,,,,,0,,,ONUR,2024-12-20 19:00:52.173000,ONUR,2024-12-20 19:00:52.173000,,,,,,2025-03-16 14:46:21.970000,2025-03-16 14:46:22.647000,,,0,
4146,K,NO,2024-12-20 19:01:12,,K001,L001,,,,,0,,,ONUR,2024-12-20 19:01:25.217000,ONUR,2024-12-20 19:01:25.217000,,,,,,2025-03-16 14:45:53.780000,2025-03-16 14:46:02.393000,,,0,
4147,K,NO,2024-12-20 19:20:20,,K001,L001,,,,,0,,,ONUR,2024-12-20 19:22:08.730000,ONUR,2024-12-20 19:22:08.730000,,,,,,2025-03-16 14:45:53.780000,2025-03-16 14:46:02.403000,,,0,
4148,K,NT,2024-12-24 12:03:09,,K001,L001,,,,,0,,,İra,2024-12-24 12:03:38.433000,ONUR,2024-12-24 15:20:36.617000,,,,,,2024-12-24 15:20:36.620000,2025-03-06 12:26:24.190000,,,0,
4149,K,NT,2024-12-24 12:28:04,,K001,L001,,,,,0,,,İra,2024-12-24 12:29:23.433000,İra,2024-12-24 12:29:23.437000,,,,,,2024-12-24 12:29:23.503000,2025-02-27 17:19:57.740000,,,0,
