Bolum,FisTur,FisTip,HareketNo,EvrakNo,EvrakNo2,DeleteUN,DeleteDT,EvrakNo3,FisTar
BHK,,,0,06,1259,BEKIR,2025-04-23 15:54:36.997000,13926,2017-03-30 18:52:42.067000
BHK,,,0,06,1259,BEKIR,2025-04-23 15:54:28.413000,25102,2018-02-27 16:53:27.743000
BHK,,,0,06,1031,BEKIR,2025-04-23 15:58:52.767000,13912,2018-08-27 14:25:43.997000
BHK,,,0,06,1259,BEKIR,2025-04-23 15:53:39.307000,013912,2018-08-27 14:27:11.537000
Si,N,S,39411,,,OGUZHAN,2024-11-01 12:05:40.200000,,2018-08-29 16:57:52
Si,N,S,39412,,,OGUZHAN,2024-11-01 12:05:48.167000,,2018-08-29 18:09:34
Si,N,S,39413,,,OGUZHAN,2024-11-01 12:06:19.953000,,2018-08-29 19:10:08
Si,N,S,39435,,,ONL,2024-11-01 21:32:08.790000,,2018-09-01 01:18:09
Si,N,S,39490,,,ONL,2024-11-01 21:36:04.643000,,2018-09-08 16:55:49
Si,N,S,39491,,,ONL,2024-11-01 21:36:14.710000,,2018-09-09 00:03:39
Si,N,S,40517,,,ONL,2024-11-01 21:36:47.883000,,2019-01-14 18:09:07
Si,N,S,40668,,,ONL,2024-11-01 21:36:55.333000,,2019-02-07 13:55:10
Si,N,S,40670,,,ONL,2024-11-01 21:37:00.327000,,2019-02-09 00:26:17
Si,N,S,40671,,,ONL,2024-11-01 21:37:05.317000,,2019-02-09 17:13:57
Si,N,S,40694,,,ONL,2024-11-01 21:37:11.117000,,2019-02-12 23:05:16
Si,N,S,40772,,,ONL,2024-11-01 21:37:16.947000,,2019-02-19 19:27:06
Si,N,S,40871,,,ONL,2024-11-01 21:37:23.237000,,2019-02-27 22:00:35
Si,N,S,41009,,,ONL,2024-11-01 21:37:32.823000,,2019-03-15 17:24:26
Si,N,S,41010,,,OGUZHAN,2024-11-02 13:31:35.387000,,2019-03-15 17:42:54
BHK,,,0,02,601,BEKIR,2025-04-15 17:45:50.797000,6295693,2019-03-24 16:25:34.403000
BHK,,,0,02,601,BEKIR,2025-04-15 17:45:56.160000,6295686,2019-03-24 16:28:13.463000
BHK,,,0,06,1084,BEKIR,2025-04-23 15:59:28.540000,0111111,2019-03-28 13:28:09.167000
Si,N,S,41156,,,ONL,2024-11-01 21:50:43.553000,,2019-03-30 16:37:09
Si,N,S,41157,,,ONL,2024-11-01 21:50:22.633000,,2019-03-30 16:43:15
BHK,,,0,01,464,BEKIR,2025-04-23 16:02:53.700000,197213024909,2019-04-22 17:21:09.937000
Si,N,S,41627,,,OGUZHAN,2024-11-02 13:31:42.467000,,2019-06-22 17:41:49
Si,N,S,41773,,,OGUZHAN,2024-11-02 13:31:54.703000,,2019-07-30 20:58:03
BK,,,0,99,,BEKIR,2025-04-23 16:20:28.257000,,2019-08-20 13:54:26.537000
BSK,,,0,99,BANKA KASASI,BEKIR,2025-04-23 16:20:17.133000,,2019-08-24 15:01:02.943000
BHK,,,0,99,BANKA KASASI,BEKIR,2025-04-23 16:20:08.563000,0111,2019-08-24 15:05:16.627000
BHK,,,0,99,BANKA KASASI,BEKIR,2025-04-23 16:20:11.720000,0222,2019-08-24 15:05:31.620000
Si,N,S,41900,,,OGUZHAN,2024-11-02 14:33:11.343000,,2019-08-28 16:06:19
Si,N,S,41926,,,OGUZHAN,2024-11-02 16:50:50.660000,,2019-09-09 20:00:17
BK,,,0,100,,BEKIR,2025-04-23 16:19:49.730000,,2019-09-24 16:38:14.027000
BSK,,,0,100,100001,BEKIR,2025-04-23 16:19:26.980000,,2019-09-24 16:39:02.767000
BHK,,,0,100,100001,BEKIR,2025-04-23 16:19:18.647000,10000101,2019-09-24 16:40:24.693000
BHK,,,0,100,100001,BEKIR,2025-04-23 16:19:21.240000,10000102,2019-09-24 16:41:56.160000
Si,N,S,42075,,,ÖMER,2024-11-02 16:51:40.403000,,2019-10-04 09:23:03
CK,,,0,335.001.062,,laleli,2024-01-02 16:58:28.223000,,2019-11-11 19:30:37
BHK,,,0,06,1084,BEKIR,2025-04-23 15:41:18.223000,ŞİRKET K KARTI,2019-11-21 10:10:35.740000
BK,,,0,124,,BEKIR,2025-04-23 16:01:56.737000,,2019-12-24 11:24:55.330000
BSK,,,0,124,0001,BEKIR,2025-04-23 16:01:02.443000,,2019-12-24 11:25:29.230000
BHK,,,0,124,0001,BEKIR,2025-04-23 16:00:54.290000,TR000000000,2019-12-24 11:26:17.990000
Si,N,ST,42750,,,BAHMET,2024-11-12 18:40:54.473000,,2020-03-01 16:21:13
Si,N,ST,42751,,,BAHMET,2024-11-12 18:43:13.600000,,2020-03-01 16:25:21
Si,N,ST,42806,,,BAHMET,2024-11-12 18:50:21.247000,,2020-03-11 19:47:02
Si,N,ST,42808,,,BAHMET,2024-11-12 18:51:11.117000,,2020-03-12 23:45:20
Si,N,S,42824,,,ÖMER,2024-11-02 16:51:47.977000,,2020-03-14 16:23:15
Si,N,ST,42838,,,BAHMET,2024-11-12 18:50:50.260000,,2020-04-12 21:46:45
Si,N,S,42839,,,ÖMER,2024-11-02 16:53:52.620000,,2020-04-12 23:34:26
Si,N,ST,42840,,,BAHMET,2024-11-12 18:44:34.747000,,2020-04-13 16:20:00
Si,N,ST,42841,,,BAHMET,2024-11-12 18:44:23.670000,,2020-04-19 21:05:01
Si,N,ST,42842,,,BAHMET,2024-11-12 18:50:05.227000,,2020-04-19 23:02:21
Si,N,ST,42843,,,BAHMET,2024-11-12 18:50:10.497000,,2020-04-20 10:56:58
Si,N,ST,42844,,,BAHMET,2024-11-12 18:50:32.727000,,2020-04-20 12:29:31
Si,N,ST,42845,,,BAHMET,2024-11-12 18:50:27.427000,,2020-04-20 13:06:39
Si,N,ST,42850,,,BAHMET,2024-11-12 18:51:03.470000,,2020-04-20 17:33:29
Si,N,ST,42858,,,BAHMET,2024-11-12 18:49:38.447000,,2020-04-22 12:17:24
Si,N,ST,42860,,,BAHMET,2024-11-12 18:49:22.527000,,2020-04-26 16:50:11
Si,N,ST,42863,,,BAHMET,2024-11-12 18:49:32.743000,,2020-04-27 13:13:11
Si,N,ST,42865,,,BAHMET,2024-11-12 18:49:47.413000,,2020-04-27 17:27:39
Si,N,ST,42883,,,BAHMET,2024-11-12 18:49:52.750000,,2020-04-30 11:50:50
Si,N,ST,42884,,,BAHMET,2024-11-12 18:49:10.330000,,2020-04-30 20:28:44
Si,N,ST,42885,,,BAHMET,2024-11-12 18:49:16.300000,,2020-04-30 21:49:16
Si,N,ST,42888,,,BAHMET,2024-11-12 18:49:27.737000,,2020-05-04 11:05:51
CK,,,0,N0051,,BERRIN,2023-05-10 17:55:37.960000,,2020-06-04 00:00:00
Si,N,ST,42983,,,BAHMET,2024-11-12 18:48:58.613000,,2020-06-17 22:06:05
Si,N,S,43037,,,ÖMER,2024-11-02 16:54:01.330000,,2020-07-10 23:10:26
Si,N,ST,43039,,,BAHMET,2024-11-12 18:48:40.207000,,2020-07-14 14:15:20
Si,N,ST,43040,,,BAHMET,2024-11-12 18:50:38.047000,,2020-07-16 00:14:48
Si,N,ST,43042,,,BAHMET,2024-11-12 18:48:33.907000,,2020-07-16 16:25:44
Si,N,ST,43043,,,BAHMET,2024-11-12 18:49:04.190000,,2020-07-16 23:20:39
Si,N,ST,43045,,,BAHMET,2024-11-12 18:48:28.077000,,2020-07-17 19:50:27
Si,N,S,43048,,,ONL,2024-11-01 21:50:37.847000,,2020-07-18 15:27:43
Si,N,S,43049,,,ONL,2024-11-01 21:38:36.387000,,2020-07-18 16:55:20
Si,N,ST,43050,,,BAHMET,2024-11-12 18:48:46.400000,,2020-07-19 16:12:17
Si,N,ST,43051,GİDENLER,,BAHMET,2024-11-12 18:49:59.900000,,2020-07-19 20:41:23
Si,N,ST,43052,,,BAHMET,2024-11-12 18:48:52.917000,,2020-07-20 01:36:25
Si,N,ST,43055,,,BAHMET,2024-11-12 18:48:04.867000,,2020-07-20 17:32:47
Si,N,ST,43056,,,BAHMET,2024-11-12 18:47:47.537000,,2020-07-20 21:32:51
Si,N,ST,43059,,,BAHMET,2024-11-12 18:47:59.240000,,2020-07-21 18:32:16
Si,N,ST,43060,,,BAHMET,2024-11-12 18:47:41.050000,,2020-07-21 19:52:23
Si,N,ST,43061,,,BAHMET,2024-11-12 18:47:35.193000,,2020-07-21 20:54:47
Si,N,ST,43064,,,BAHMET,2024-11-12 18:47:21.367000,,2020-07-22 17:25:33
Si,N,ST,43065,,,BAHMET,2024-11-12 18:48:10.930000,,2020-07-22 23:04:05
Si,N,ST,43067,,,BAHMET,2024-11-12 18:46:48.093000,,2020-07-23 19:46:00
BHK,,,0,12,488,BEKIR,2025-04-23 15:42:37.460000,58068208-5005,2020-07-24 17:34:52.530000
Si,N,ST,43072,,,BAHMET,2024-11-12 18:46:36.770000,,2020-07-27 19:14:05
Si,N,S,43102,,,ÖMER,2024-11-02 16:54:11.430000,,2020-08-11 17:39:42
Si,N,ST,43199,,,BAHMET,2024-11-12 18:47:52.730000,,2020-08-28 21:12:17
Si,N,S,43216,03.09.2020,,ÖMER,2024-11-02 16:55:21.950000,,2020-08-31 23:45:27
Si,N,S,43241,,,ÖMER,2024-11-02 16:55:57.330000,,2020-09-04 21:32:33
Si,N,S,43297,,,ÖMER,2024-11-02 16:56:35.380000,,2020-09-11 19:10:55
Si,N,S,43337,,,ÖMER,2024-11-02 16:57:23.083000,,2020-09-27 19:52:04
Si,N,S,43338,,,ÖMER,2024-11-02 16:58:28.030000,,2020-09-28 00:18:50
Si,N,S,43387,,,ÖMER,2024-11-02 16:58:46.823000,,2020-10-04 19:46:27
Si,N,ST,43420,,,BAHMET,2024-11-12 18:50:44.080000,,2020-10-07 23:02:46
Si,N,AT,43421,,,BAHMET,2024-10-01 20:29:26.607000,,2020-10-07 23:33:54
Si,N,S,43425,,,ÖMER,2024-11-02 16:58:59.643000,,2020-10-08 16:30:34
Si,N,S,43426,,,ÖMER,2024-11-02 16:59:11.020000,,2020-10-08 16:31:30
Si,N,ST,43433,,,BAHMET,2024-11-12 18:46:42.437000,,2020-10-09 20:55:45
Si,N,S,43434,,,ÖMER,2024-11-02 16:59:23.943000,,2020-10-10 01:40:04
Si,N,S,43435,,,ÖMER,2024-11-02 16:59:32.700000,,2020-10-10 01:44:04
Si,N,S,43444,,,ÖMER,2024-11-02 16:59:41.063000,,2020-10-10 17:20:21
Si,N,ST,43487,,,BAHMET,2024-11-12 18:46:10.280000,,2020-10-23 19:36:08
Si,N,ST,43488,,,BAHMET,2024-11-12 18:46:03.680000,,2020-10-23 22:45:33
Si,N,ST,43496,,,BAHMET,2024-11-12 18:47:15.300000,,2020-10-25 22:44:24
Si,N,ST,43513,,,BAHMET,2024-11-12 18:45:52.047000,,2020-10-28 21:10:43
Si,N,ST,43561,,,BAHMET,2024-11-12 18:46:16.343000,,2020-11-11 16:07:34
CK,,,0,N1819,,BEKIR,2023-10-11 16:11:11.860000,,2020-11-30 00:00:00
Si,N,ST,43668,,,BAHMET,2024-11-12 18:46:31.610000,,2020-12-07 18:28:52
Si,N,ST,43672,,,BAHMET,2024-11-12 18:47:27.763000,,2020-12-08 18:39:01
Si,N,ST,43688,,,BAHMET,2024-11-12 18:45:31.653000,,2020-12-16 19:49:40
Si,N,ST,43696,,,BAHMET,2024-11-12 18:45:18.297000,,2020-12-23 16:58:13
Si,N,ST,43726,,,BAHMET,2024-11-12 18:45:26.547000,,2021-01-07 18:05:55
Si,N,ST,43739,,,BAHMET,2024-11-12 18:45:44.540000,,2021-01-11 16:51:16
Si,N,ST,43740,,,BAHMET,2024-11-12 18:45:13.267000,,2021-01-12 13:58:47
Si,N,S,43820,,,ÖMER,2024-11-02 16:59:53.963000,,2021-02-04 15:28:49
Si,N,S,43854,ALAA,,ÖMER,2024-11-02 17:00:01.043000,,2021-02-16 11:26:14
SK,,,0,969 C A450,,DOGANCAN,2025-05-29 18:01:28.083000,,2021-02-19 00:00:00
Si,N,ST,43917,,,BAHMET,2024-11-12 18:44:12.867000,,2021-03-01 16:55:47
Si,N,ST,43996,,,BAHMET,2024-11-12 18:44:04.470000,,2021-03-20 17:58:23
MK,,,0,KS0030000000032,,FAMILYMOOL,2023-02-05 10:52:49.987000,,2021-03-24 00:00:00
Si,N,ST,44010,,,BAHMET,2024-11-12 18:45:06.393000,,2021-03-31 11:16:31
Si,N,ST,44017,,,BAHMET,2024-11-12 18:43:53.520000,,2021-04-08 15:55:14
Si,N,ST,44018,,,BAHMET,2024-11-12 18:43:45.577000,,2021-04-08 18:30:21
Si,N,S,44028,WALAA,,ÖMER,2024-11-02 17:00:10.500000,,2021-04-12 14:25:30
CK,,,0,N2227,,BEKIR,2023-08-26 13:15:21.357000,,2021-04-22 00:00:00
Si,N,ST,44104,,,BAHMET,2024-11-12 18:44:59.080000,,2021-04-27 14:38:56
Si,N,ST,44242,,,BAHMET,2024-11-12 18:45:58.407000,,2021-06-21 17:15:22
Si,N,ST,44285,,,BAHMET,2024-11-12 18:43:01,,2021-07-06 18:38:40
Si,N,ST,44291,,,BAHMET,2024-11-12 18:44:53.580000,,2021-07-07 21:02:48
Si,N,ST,44335,,,BAHMET,2024-11-12 18:42:38.780000,,2021-07-28 00:05:18
Si,N,S,44491,,,ONL,2024-11-01 21:51:23.943000,,2021-08-29 22:05:14
Si,N,S,44494,,,ÖMER,2024-11-02 17:00:17.230000,,2021-09-04 16:05:32
Si,N,S,44495,,,ÖMER,2024-11-02 17:00:23.413000,,2021-09-04 16:09:25
Si,N,S,44496,,,ÖMER,2024-11-02 17:00:31.370000,,2021-09-04 21:19:40
Si,N,A,44499,,,BARIŞ,2023-02-02 15:00:10.627000,,2021-09-06 22:21:00
Si,N,ST,44603,,,BAHMET,2024-11-12 18:42:24.547000,,2021-10-06 20:05:57
Si,N,ST,44609,,,BAHMET,2024-11-12 18:42:47.150000,,2021-10-10 14:03:39
Si,N,ST,44616,,,BAHMET,2024-11-12 18:42:31.050000,,2021-10-11 15:58:35
Si,N,ST,44661,,,BAHMET,2024-11-12 18:42:13.040000,,2021-10-26 18:31:48
Si,N,ST,44759,,,BAHMET,2024-11-12 18:43:39.963000,,2021-12-08 19:58:01
Si,N,ST,44805,,,BAHMET,2024-11-12 18:42:18.210000,,2022-01-17 17:43:11
BK,,,0,111,,BEKIR,2025-04-23 18:29:12.627000,,2022-02-11 18:15:43.417000
BSK,,,0,111,1111,BEKIR,2025-04-23 18:28:58.923000,,2022-02-11 18:27:55.640000
BHK,,,0,111,1111,BEKIR,2025-04-23 18:28:52.793000,11111,2022-02-11 18:28:13.090000
BHK,,,0,111,1111,BEKIR,2025-04-23 18:28:46.417000,22222,2022-02-11 18:30:07.553000
BHK,,,0,14,6666,BEKIR,2025-04-23 16:39:28.230000,666,2022-02-11 19:09:38.657000
Si,N,S,44857,,,ÖMER,2024-11-02 17:00:43.797000,,2022-02-20 21:41:56
Si,N,S,44905,,,ÖMER,2024-11-02 17:00:49.973000,,2022-03-16 21:44:52
BK,,,0,31,,BEKIR,2025-04-23 18:38:48.060000,,2022-04-02 14:08:04.033000
BSK,,,0,31,311,BEKIR,2025-04-23 18:38:04.800000,,2022-04-02 14:09:24.363000
BHK,,,0,31,311,BEKIR,2025-04-23 18:37:55.247000,3111,2022-04-02 14:10:26.183000
BHK,,,0,31,311,BEKIR,2025-04-23 18:37:58.350000,3222 ,2022-04-02 14:18:02.847000
Si,N,S,44943,,,ÖMER,2024-11-02 17:00:56.920000,,2022-04-07 22:04:46
Si,N,ST,45094,,,BAHMET,2024-11-12 18:41:58.100000,,2022-05-30 20:53:03
Si,N,ST,45116,,,BAHMET,2024-11-12 18:42:06.490000,,2022-06-08 13:22:55
Si,N,ST,45135,,,BAHMET,2024-11-12 18:43:30.730000,,2022-06-13 12:44:28
Si,N,ST,45139,,,BAHMET,2024-11-12 18:41:08.570000,,2022-06-13 15:31:09
Si,N,ST,45305,,,BAHMET,2024-11-12 18:41:37.437000,,2022-08-19 20:12:23
Si,N,S,45421,,,ÖMER,2024-11-02 17:01:05.437000,,2022-09-15 22:15:19
Si,N,S,45485,,,ONL,2024-11-01 21:49:38.607000,,2022-09-26 11:00:27
Si,N,S,45498,,,ÖMER,2024-11-02 17:01:11.367000,,2022-09-28 19:01:56
BHK,,,0,12,488,BEKIR,2025-04-23 15:42:44.803000,123,2022-10-28 16:16:31.010000
Si,N,ST,45726,,,BAHMET,2024-11-12 18:41:45.893000,,2022-11-10 12:59:19
Si,N,S,45759,,,ÖMER,2024-11-02 17:01:17.820000,,2022-11-17 15:37:56
Si,N,ST,45814,,,BAHMET,2024-11-12 18:41:22.850000,,2022-11-29 23:11:17
Si,N,ST,45815,,,BAHMET,2024-11-12 18:41:17.457000,,2022-11-29 23:31:16
Si,N,ST,45821,,,BAHMET,2024-11-12 18:44:42.183000,,2022-11-30 22:08:54
Si,N,ST,45822,,,BAHMET,2024-11-12 18:41:51.397000,,2022-11-30 22:40:54
Si,N,ST,45866,,,BAHMET,2024-11-12 18:45:39.043000,,2022-12-14 15:41:34
BF,0,0,16587,,,BEKIR,2025-04-15 17:57:31.407000,,2022-12-31 00:00:00
BF,0,0,16588,,,BEKIR,2025-04-15 17:54:17.447000,,2022-12-31 00:00:00
BF,0,0,16603,,,BERRIN,2025-04-23 18:50:40.053000,,2022-12-31 00:00:00
BF,0,0,16614,,,BERRIN,2025-04-23 16:48:55.613000,,2022-12-31 00:00:00
BF,0,1,16615,,,BEKIR,2025-04-23 18:37:27.710000,,2022-12-31 00:00:00
CF,C,DA,685687,,,BEKIR,2023-02-02 17:44:54.687000,,2022-12-31 00:00:00
CF,C,DA,685750,,,BEKIR,2023-02-02 17:53:38.030000,,2022-12-31 00:00:00
CF,C,DB,685686,,,BEKIR,2023-02-02 17:45:09.467000,,2022-12-31 00:00:00
CF,C,DB,685749,,,BEKIR,2023-02-02 17:53:45.540000,,2022-12-31 00:00:00
CF,C,BD,687197,OK,,BEKIR,2023-03-13 11:59:11.380000,,2022-12-31 11:54:53
CF,C,BD,687022,,,laleli,2023-03-08 13:32:15.067000,,2022-12-31 13:31:31
CF,K,NT,685707,,,BERRIN,2023-02-01 16:04:18.580000,,2022-12-31 16:03:07
CF,K,DB,685710,,,BEKIR,2023-02-01 17:34:46.260000,,2022-12-31 17:33:37
CF,C,DB,685753,,,BEKIR,2023-03-03 12:22:03.693000,,2022-12-31 17:49:38
CF,C,AD,685952,OK,,BEKIR,2023-02-07 22:25:59.510000,,2022-12-31 22:19:44
SF,,1,19159,,,devir,2023-02-01 12:08:43.750000,,2022-12-31 23:59:59
SF,,1,19169,,,devir,2023-02-01 13:00:48.180000,,2022-12-31 23:59:59
SF,,1,19171,,,devir,2023-02-01 13:00:38.613000,,2022-12-31 23:59:59
SF,,2,19160,,,devir,2023-02-01 12:08:53.540000,,2022-12-31 23:59:59
SF,,2,19170,,,devir,2023-02-01 13:01:09.320000,,2022-12-31 23:59:59
SF,,2,19172,,,devir,2023-02-01 13:00:59.440000,,2022-12-31 23:59:59
PSF,2,,1352103,,KADİR BEY BİLGİSNDE SİLİNDİ,BERRIN,2025-02-15 18:45:57.863000,,2023-01-04 18:50:04
CF,K,NO,685129,,,laleli,2023-02-11 13:21:12.513000,,2023-01-16 12:55:51
BF,8,1,17566,,,BERRIN,2025-04-23 16:48:12.327000,,2023-01-17 00:00:00
F,i,dsa,768943,,,MUHAMMED,2023-10-20 20:10:28.127000,,2023-01-23 10:50:55
F,i,dsa,769710,,,MUHAMMED,2024-06-12 20:58:51.377000,,2023-01-26 17:23:11
BF,8,1,17567,,,BERRIN,2025-04-23 16:48:02.037000,,2023-01-31 00:00:00
BF,8,1,17568,,,BERRIN,2025-04-23 16:48:28.830000,,2023-02-01 00:00:00
SF,,1,19111,,,devir,2023-02-01 10:23:19.110000,,2023-02-01 02:39:28.383000
SF,,1,19112,,,devir,2023-02-01 12:47:13.710000,,2023-02-01 02:39:28.383000
SF,,1,19113,,,devir,2023-02-01 13:18:17.933000,,2023-02-01 02:39:28.383000
SF,,2,19114,,,devir,2023-02-01 11:00:02.610000,,2023-02-01 02:39:28.383000
SF,,2,19115,,,devir,2023-02-01 12:47:28.380000,,2023-02-01 02:39:28.383000
SF,,1,19116,,,devir,2023-02-01 10:59:14.267000,,2023-02-01 02:40:29.327000
SF,,1,19117,,,devir,2023-02-01 11:02:00.487000,,2023-02-01 02:40:29.327000
SF,,1,19118,,,devir,2023-02-01 11:15:02.830000,,2023-02-01 02:40:29.327000
SF,,1,19119,,,devir,2023-02-01 11:25:12.267000,,2023-02-01 02:40:29.327000
SF,,1,19120,,,devir,2023-02-01 11:29:31.700000,,2023-02-01 02:40:29.327000
SF,,1,19121,,,devir,2023-02-01 11:35:06.443000,,2023-02-01 02:40:29.327000
SF,,1,19122,,,devir,2023-02-01 11:46:55.260000,,2023-02-01 02:40:29.327000
SF,,1,19123,,,devir,2023-02-01 11:51:20.277000,,2023-02-01 02:40:29.327000
SF,,1,19124,,,devir,2023-02-01 11:58:50.210000,,2023-02-01 02:40:29.327000
SF,,1,19125,,,devir,2023-02-01 12:11:19.677000,,2023-02-01 02:40:29.327000
SF,,1,19126,,,devir,2023-02-01 12:16:33.910000,,2023-02-01 02:40:29.327000
SF,,1,19127,,,devir,2023-02-01 12:23:00.907000,,2023-02-01 02:40:29.327000
SF,,1,19128,,,devir,2023-02-01 12:42:52.340000,,2023-02-01 02:40:29.327000
SF,,2,19129,,,devir,2023-02-01 11:15:31.683000,,2023-02-01 02:40:29.327000
SF,,2,19130,,,devir,2023-02-01 11:25:21.350000,,2023-02-01 02:40:29.327000
SF,,2,19131,,,devir,2023-02-01 11:29:40.823000,,2023-02-01 02:40:29.327000
SF,,2,19132,,,devir,2023-02-01 11:35:28.007000,,2023-02-01 02:40:29.327000
SF,,2,19133,,,devir,2023-02-01 12:16:46.343000,,2023-02-01 02:40:29.327000
SF,,2,19134,,,devir,2023-02-01 12:22:48.037000,,2023-02-01 02:40:29.327000
CF,K,NO,685745,,,AKKALAMALL,2023-02-02 17:50:00.463000,,2023-02-01 17:17:14
F,i,dsa,770804,,,ERSEN,2023-02-01 17:55:05.877000,,2023-02-01 17:54:49.027000
F,i,dsa,770805,,,ERSEN,2023-02-01 17:56:11.737000,,2023-02-01 17:55:52.090000
F,f,fsa,770848,16,,MUHAMMED,2023-02-01 20:36:55.567000,,2023-02-01 19:01:33
F,f,fal,770889,YOK,,ERSEN,2023-02-01 21:24:52.903000,,2023-02-01 20:00:05
F,i,dal,770894,,,ERSEN,2023-02-01 21:30:00.220000,,2023-02-01 20:08:46
F,i,dsa,770893,,,ERSEN,2023-02-01 21:30:20.797000,,2023-02-01 20:08:46
F,i,dsa,770901,,,ERSEN,2023-02-01 20:27:27.777000,,2023-02-01 20:14:14
F,i,dsa,770904,,,MUHAMMED,2023-02-01 20:34:44.200000,,2023-02-01 20:14:14
SF,,1,19153,,,devir,2023-02-01 11:53:34.060000,,2023-02-01 23:59:59
SF,,2,19154,,,devir,2023-02-01 11:53:51.253000,,2023-02-01 23:59:59
BF,10,0,16635,,,BERRIN,2023-02-02 18:33:13.053000,,2023-02-02 00:00:00
BF,10,0,16636,,,BERRIN,2023-02-02 18:37:58.447000,,2023-02-02 00:00:00
F,i,fal,771035,5,,BARIŞ,2023-02-02 15:04:24.133000,,2023-02-02 15:03:16
CF,K,GO,685754,,,AKKALAMALL,2023-02-02 18:06:04.900000,,2023-02-02 17:50:43
CF,K,NO,685755,,,AKKALAMALL,2023-02-02 18:05:19.613000,,2023-02-02 17:51:08
CF,K,NO,685757,,,AKKALAMALL,2023-02-02 18:05:05.030000,,2023-02-02 17:53:50
F,i,dsa,771178,,,ERSEN,2023-02-02 19:15:46.117000,,2023-02-02 19:10:58.293000
F,i,dsa,771205,,,ERSEN,2023-02-02 21:36:07.333000,,2023-02-02 21:32:52
Si,N,ST,45945,,,BAHMET,2024-11-12 18:44:48.183000,,2023-02-03 17:12:54
SK,,,0,662 G L1040,,BARIŞ,2023-02-04 11:16:53.087000,,2023-02-04 00:00:00
HBB,0,,72627,72627,,RAYMOOL,2023-02-04 14:34:04.077000,,2023-02-04 14:30:37
S_BF,,0,72627,,,RAYMOOL,2023-02-04 14:34:04.037000,,2023-02-04 14:30:37
F,i,dsa,771522,,,BARIŞ,2023-02-04 17:47:54.063000,,2023-02-04 17:45:21.790000
MK,,,0,KS0040000001080,,FAMILYMOOL,2023-02-05 10:53:39.080000,,2023-02-05 10:46:29.297000
HBB,0,,72659,72659,,TAMASA,2023-02-05 14:25:23.370000,,2023-02-05 14:13:15
S_BF,,0,72659,,,TAMASA,2023-02-05 14:25:23.347000,,2023-02-05 14:13:15
PSF,0,,1362880,,KG,AKKALAMALL,2023-02-05 16:36:16.243000,,2023-02-05 14:37:21
SF,,2,19200,STOKDUZELTME019,,ERSEN,2023-02-05 15:19:42.853000,,2023-02-05 15:07:04
SF,,1,19201,ZANYFA MASHAP17,,ERSEN,2023-02-05 15:19:33.993000,,2023-02-05 15:07:55
F,f,fai,771624,5005,,ERSEN,2023-03-14 17:03:05.837000,,2023-02-05 19:13:30
F,f,fai,771636,5016,,BARIŞ,2023-02-08 13:42:11.767000,,2023-02-05 20:26:52
BF,10,0,16697,,,BERRIN,2023-02-06 18:56:22.617000,,2023-02-06 00:00:00
F,f,fal,771667,C2C AKTAR 00018,,ERSEN,2023-02-06 17:24:05.020000,,2023-02-06 12:09:42
BF,10,0,16711,,,BERRIN,2023-02-07 18:20:02.063000,,2023-02-07 00:00:00
