ID,USTID,SATIRTIP,TANIMKODU,TANIMADI,ACCCODE1,ACCCODE2,RAPORLAMA,TERSBAKIYE,HESAPTUTARI,ISLEMTURU,HESAPKAREKTERI,FORMULTANIM,SIRANO,AP,TUTAR,USTGRUP,SEVIYE
169,1,2,01.8.07,     07. Sayım ve Tesellüm Noksanları,197,,0,0,0,0,0,,60.0000000000,A,,01.8,3
170,1,2,01.8.08,     08. Diğer Çeşitli Dönen Varlıklar,198,,0,0,0,0,0,,61.0000000000,A,,01.8,3
171,1,2,01.8.09,     09. Diğer Dönen Varlıklar Karşılığı (-),199,,0,0,0,0,0,,62.0000000000,A,,01.8,3
172,1,1,02,II- DURAN VARLIKLAR,,,0,0,0,0,0,,63.0000000000,A,,,1
173,1,1,02.1,  A TİCARİ ALACAKLAR,,,0,0,0,0,0,,64.0000000000,A,,02,2
174,1,2,02.1.01,     01. Alıcılar,220,,0,0,0,0,0,,65.0000000000,A,,02.1,3
175,1,2,02.1.02,     02. Alacak Senetleri,221,,0,0,0,0,0,,66.0000000000,A,,02.1,3
176,1,2,02.1.03,     03. Alacak Senetleri Reeskontu (-),222,,0,0,0,0,0,,67.0000000000,A,,02.1,3
177,1,2,02.1.04,     04. Verilen Depozito ve Teminatlar,226,,0,0,0,0,0,,68.0000000000,A,,02.1,3
178,1,2,02.1.05,     05. Şüpheli Alacaklar Karşılığı (-),229,,0,0,0,0,0,,69.0000000000,A,,02.1,3
179,1,1,02.2,  B DİĞER ALACAKLAR,,,0,0,0,0,0,,70.0000000000,A,,02,2
180,1,2,02.2.01,     01. Ortaklardan Alacaklar,231,,0,0,0,0,0,,71.0000000000,A,,02.2,3
181,1,2,02.2.02,     02. İştiraklerden Alacaklar,232,,0,0,0,0,0,,72.0000000000,A,,02.2,3
182,1,2,02.2.03,     03. Bağlı Ortaklıklardan Alacaklar,233,,0,0,0,0,0,,73.0000000000,A,,02.2,3
183,1,2,02.2.04,     04. Personelden Alacaklar,235,,0,0,0,0,0,,74.0000000000,A,,02.2,3
184,1,2,02.2.05,     05. Diğer Çeşitli Alacaklar,236,,0,0,0,0,0,,75.0000000000,A,,02.2,3
185,1,2,02.2.06,     06. Diğer Alacak Senetleri Reeskontu (-),237,,0,0,0,0,0,,76.0000000000,A,,02.2,3
186,1,2,02.2.07,     07. Şüpheli Diğer Alacaklar Karşılığı (-),239,,0,0,0,0,0,,77.0000000000,A,,02.2,3
187,1,1,02.3,  C MALİ DURAN VARLIKLAR,,,0,0,0,0,0,,78.0000000000,A,,02,2
188,1,2,02.3.01,     01. Bağlı Menkul Kıymetler,240,,0,0,0,0,0,,79.0000000000,A,,02.3,3
189,1,2,02.3.02,     02. Bağlı Menkul Kıymetler Değer Düşüklüğü Karşılığı (-),241,,0,0,0,0,0,,80.0000000000,A,,02.3,3
190,1,2,02.3.03,     03. İştirakler,242,,0,0,0,0,0,,81.0000000000,A,,02.3,3
191,1,2,02.3.04,     04. İştiraklere Sermaye Taahhütleri (-),243,,0,0,0,0,0,,82.0000000000,A,,02.3,3
192,1,2,02.3.05,     05. İştirakler Sermaye Payları Değer Düşüklüğü Karşılığı (-),244,,0,0,0,0,0,,83.0000000000,A,,02.3,3
193,1,2,02.3.06,     06. Bağlı Ortaklıklar,245,,0,0,0,0,0,,84.0000000000,A,,02.3,3
194,1,2,02.3.07,     07. Bağlı Ortaklıklara Sermaye Taahhütleri (-),246,,0,0,0,0,0,,85.0000000000,A,,02.3,3
195,1,2,02.3.08,     08. Bağlı Ortaklıklar Sermaye Payları Değer Düşüklüğü Karşılığı (-),247,,0,0,0,0,0,,86.0000000000,A,,02.3,3
196,1,2,02.3.09,     09. Diğer Mali Duran Varlıklar,248,,0,0,0,0,0,,87.0000000000,A,,02.3,3
197,1,2,02.3.10,     10. Diğer Mali Duran Varlıklar Değer Düşüklüğü Karşılığı (-),249,,0,0,0,0,0,,88.0000000000,A,,02.3,3
198,1,1,02.4,  D MADDİ DURAN VARLIKLAR,,,0,0,0,0,0,,89.0000000000,A,,02,2
199,1,2,02.4.01,     01. Arazi ve Arsalar,250,,0,0,0,0,0,,90.0000000000,A,,02.4,3
200,1,2,02.4.02,     02. Yer Altı ve Yer Üstü Düzenleri,251,,0,0,0,0,0,,91.0000000000,A,,02.4,3
201,1,2,02.4.03,     03. Binalar,252,,0,0,0,0,0,,92.0000000000,A,,02.4,3
202,1,2,02.4.04,"     04. Tesis, Makine ve Cihazlar",253,,0,0,0,0,0,,93.0000000000,A,,02.4,3
203,1,2,02.4.05,     05. Taşıtlar,254,,0,0,0,0,0,,94.0000000000,A,,02.4,3
204,1,2,02.4.06,     06. Demirbaşlar,255,,0,0,0,0,0,,95.0000000000,A,,02.4,3
205,1,2,02.4.07,     07. Diğer Maddi Duran Varlıklar,256,,0,0,0,0,0,,96.0000000000,A,,02.4,3
206,1,2,02.4.08,     08. Birikmiş Amortismanlar (-),257,,0,0,0,0,0,,97.0000000000,A,,02.4,3
207,1,2,02.4.09,     09. Yapılmakta Olan Yatırımlar,258,,0,0,0,0,0,,98.0000000000,A,,02.4,3
208,1,2,02.4.10,     10. Verilen Avanslar,259,,0,0,0,0,0,,99.0000000000,A,,02.4,3
209,1,1,02.5,  E MADDİ OLMAYAN DURAN VARLIKLAR,,,0,0,0,0,0,,100.0000000000,A,,02,2
210,1,2,02.5.01,     01. Haklar,260,,0,0,0,0,0,,101.0000000000,A,,02.5,3
211,1,2,02.5.02,     02. Şerefiye,261,,0,0,0,0,0,,102.0000000000,A,,02.5,3
212,1,2,02.5.03,     03. Kuruluş ve Örgütlenme Giderleri,262,,0,0,0,0,0,,103.0000000000,A,,02.5,3
213,1,2,02.5.04,     04. Araştırma ve Geliştirme Giderleri,263,,0,0,0,0,0,,104.0000000000,A,,02.5,3
214,1,2,02.5.05,     05. Özel Maliyetler,264,,0,0,0,0,0,,105.0000000000,A,,02.5,3
215,1,2,02.5.06,     06. Diğer Maddi Olmayan Duran Varlıklar,267,,0,0,0,0,0,,106.0000000000,A,,02.5,3
216,1,2,02.5.07,     07. Birikmiş Amortismanlar (-),268,,0,0,0,0,0,,107.0000000000,A,,02.5,3
217,1,2,02.5.08,     08. Verilen Avanslar,269,,0,0,0,0,0,,108.0000000000,A,,02.5,3
218,1,1,02.6,  F ÖZEL TÜKENMEYE TABİ VARLIKLAR,,,0,0,0,0,0,,109.0000000000,A,,02,2
219,1,2,02.6.01,     01. Arama Giderleri,271,,0,0,0,0,0,,110.0000000000,A,,02.6,3
220,1,2,02.6.02,     02. Hazırlık ve Geliştirme Giderleri,272,,0,0,0,0,0,,111.0000000000,A,,02.6,3
