inx,SatNo,Odinx,Puan,ParaCinsi,Taksit,GBT,SKT,MKod,Active,PERKOD,Tarih,SendCode,STATUS
18,607978,34238,0.8,TL,*,2016-12-06 13:22:48,2099-01-01 00:00:00,M102066,*,,2016-12-06 13:23:16.600000,eb3cb0ec-3189-443b-994b-0729955a9eb4,0
19,607978,34237,0.8,TL,*,2016-12-06 13:23:16,2099-01-01 00:00:00,M102066,*,,2016-12-06 13:23:16.600000,085641c5-de75-493a-b0ab-681a92df64cf,0
20,607982,34242,0.4,TL,*,2016-12-06 13:37:26,2099-01-01 00:00:00,M102066,*,,2016-12-06 13:37:26.857000,fc5e083a-7e79-4131-a53e-c03c2b2e1f36,0
21,647760,35854,1.2,TL,*,2016-12-12 12:18:38,2099-01-01 00:00:00,M0845,*,,2016-12-12 12:22:28.493000,80d45f30-91bc-4354-b64e-25463751f5c3,0
22,647760,35855,0.8,TL,*,2016-12-12 12:22:28,2099-01-01 00:00:00,M0845,*,,2016-12-12 12:22:28.493000,46517a43-768e-4030-b9d3-a49161b0a81e,0
23,680143,37420,1.2,TL,*,2017-04-22 14:28:14,2099-01-01 00:00:00,M0535,*,,2017-12-23 12:04:05.943000,c5951d86-9a5b-4d20-9ede-a678c8db4c6e,0
24,664940,36890,1.2,TL,*,2017-05-16 11:33:32,2099-01-01 00:00:00,M102066,*,,2017-06-30 16:23:23.667000,ccfbf7b1-aa14-411c-b533-bb954fd22895,0
25,664940,36891,0.4,TL,*,2017-05-16 11:33:32,2099-01-01 00:00:00,M102066,*,,2017-06-30 16:23:23.667000,71282945-6298-4c2b-95df-242f93fd9b37,0
26,680143,37421,1.2,TL,*,2017-05-26 11:44:22,2099-01-01 00:00:00,M0535,*,,2017-12-23 12:04:05.943000,9522126a-374c-4c1a-a773-fc87caf29744,0
27,680143,37422,1.2,TL,*,2017-06-24 13:25:29,2099-01-01 00:00:00,M0535,*,,2017-12-23 12:04:05.943000,e99cb2ae-04e5-40a9-83fc-26f4fd67cdd1,0
28,664940,36892,1.2,TL,*,2017-06-30 16:23:23,2099-01-01 00:00:00,M102066,*,,2017-06-30 16:23:23.667000,79137cfe-fbd6-46e4-854c-c882655940db,0
29,683383,37533,0.8,TL,*,2017-06-30 16:23:42,2099-01-01 00:00:00,M102066,*,,2017-12-19 13:11:44.410000,25d0c4d3-c3c3-470f-ab76-69f7da1d4199,0
30,705147,38380,1.2,TL,*,2017-07-15 11:00:29,2099-01-01 00:00:00,M0535,*,,2017-11-25 11:43:52.473000,e379101f-422f-492c-8b4d-64dc3afb98f9,0
31,714018,758311,10.0,TL, ,2017-08-03 18:20:20,2099-01-01 00:00:00,M102066,*,D01,2017-08-03 18:21:09.940000,319db4a2-74be-4d28-95c2-970ac8cdbbb6,0
32,714020,758313,10.0,TL, ,2017-08-03 18:24:26,2099-01-01 00:00:00,M102066,*,D01,2017-08-03 18:25:01.630000,75d8698a-8738-4b63-8410-ddfd727fcd1e,0
33,669344,37067,1.0,TL,*,2017-08-21 11:55:34,2099-01-01 00:00:00,M102066,*,,2017-12-19 13:11:55.787000,1f1d2fa5-3580-4a05-93fb-f5c33cec3cff,0
34,669344,37068,1.0,TL,*,2017-08-21 11:55:38,2099-01-01 00:00:00,M102066,*,,2017-12-19 13:11:55.787000,2c2d9514-2d7d-4e96-9794-5534b36acc32,0
35,705147,38381,1.2,TL,*,2017-08-26 16:28:42,2099-01-01 00:00:00,M0535,*,,2017-11-25 11:43:52.473000,4fbd04c9-a7a0-41ee-b48b-a4cff07a3652,0
36,705147,38383,1.2,TL,*,2017-09-23 11:49:02,2099-01-01 00:00:00,M0535,*,,2017-11-25 11:43:52.473000,d2c185cc-0f43-4729-9035-df4317b8e10d,0
37,714024,38631,2.0,TL,*,2017-10-16 14:57:23,2099-01-01 00:00:00,M102066,*,,2017-10-16 14:57:32.907000,c89e3217-2c2d-4ea0-a6d3-65bb6e5da922,0
38,714024,38632,2.0,TL,*,2017-10-16 14:57:32,2099-01-01 00:00:00,M102066,*,,2017-10-16 14:57:32.907000,7756307b-4cb2-4226-86d6-75aba85819a8,0
39,680143,37423,1.2,TL,*,2017-10-21 11:33:20,2099-01-01 00:00:00,M0535,*,,2017-12-23 12:04:05.943000,787c1aed-9a2b-490e-8572-d1062455e6a0,0
40,745439,791738,8.0,TL, ,2017-11-21 22:27:00,2099-01-01 00:00:00,KS0020000001764,*,V123,2017-11-21 22:28:07.660000,f60755bd-6290-43c0-a9c0-412f8b82b971,0
41,745439,791739,4.0,TL, ,2017-11-21 22:27:26,2099-01-01 00:00:00,KS0020000001764,*,V123,2017-11-21 22:28:07.660000,c54f408c-83cb-4efc-9018-b4229a3e91f5,0
42,705147,38382,1.2,TL,*,2017-11-25 11:43:52,2099-01-01 00:00:00,M0535,*,,2017-11-25 11:43:52.473000,fc280962-4e12-414a-a2c1-b290e44a1cf3,0
43,705221,38396,2.6,TL,*,2017-12-19 13:11:31,2099-01-01 00:00:00,M102066,*,,2017-12-19 13:11:31.580000,78f59c21-cff1-41a3-a92c-d311b6bcebf4,0
44,683383,37534,1.2,TL,*,2017-12-19 13:11:44,2099-01-01 00:00:00,M102066,*,,2017-12-19 13:11:44.410000,057cb52a-3677-4b70-b7c2-ebf578eba672,0
45,669344,37069,0.2,TL,*,2017-12-19 13:11:55,2099-01-01 00:00:00,M102066,*,,2017-12-19 13:11:55.787000,c40d2bd7-ca4f-44cd-ac6f-7dd0b14a1d98,0
46,756339,803438,8.8,TL, ,2018-01-03 17:27:57,2099-01-01 00:00:00,KS0020000001783,*,V123,2018-01-03 17:28:26.393000,9ffe7feb-512e-4bd1-8490-1f3e302e2811,0
47,756400,803501,2.4,TL, ,2018-01-03 22:14:01,2099-01-01 00:00:00,KS0020000001784,*,V123,2018-01-03 22:14:27.880000,588526dd-0137-492f-a04b-ea81512d5ca2,0
48,756401,803502,1.2,TL, ,2018-01-03 22:16:13,2099-01-01 00:00:00,KS0020000001784,*,V123,2018-01-03 22:16:36.053000,f69cfd0e-b67b-41a9-bd8e-9c3158d58b8d,0
49,761563,809010,2.8,US, ,2018-02-01 19:25:43,2099-01-01 00:00:00,KS0020000001799,*,V123,2018-02-01 19:27:01.630000,2d1c6048-b436-44d7-8533-c11328be4477,0
50,764609,812259,6.44,TL, ,2018-02-14 21:28:07,2099-01-01 00:00:00,KS0020000001806,*,V123,2018-02-14 21:29:08.833000,5e7ba461-b29b-4fd7-9067-36ebfe64645d,0
51,766912,814736,6.45,TL, ,2018-02-23 17:40:46,2099-01-01 00:00:00,KS0020000001787,*,V05,2018-02-23 17:41:20.667000,b8d7d0cc-67ec-41b9-ae15-83ceabedd6cc,0
52,767704,815594,8.72,US, ,2018-02-26 18:01:12,2099-01-01 00:00:00,KS0020000001821,*,V05,2018-02-26 18:01:37.590000,68a7e5bb-7939-4e8c-a2a8-86ad94abd39b,0
53,767878,815784,14.8,US, ,2018-02-27 13:23:51,2099-01-01 00:00:00,KS0020000001822,*,V05,2018-02-27 13:24:25.130000,07ccf289-0289-4e4d-ba91-7b56109fa933,0
54,768159,816082,15.2,US, ,2018-02-28 13:54:07,2099-01-01 00:00:00,KS0020000001825,*,V05,2018-02-28 13:55:10.903000,19f74cbf-ccbf-4e97-a57d-66f3eeebf066,0
55,768572,816520,8.8,US, ,2018-03-01 19:27:52,2099-01-01 00:00:00,KS0070000000016,*,H001,2018-03-01 19:28:16.857000,2a58c142-bce2-486a-b149-4e22c47f26c0,0
56,768602,816552,17.88,US, ,2018-03-01 20:49:47,2099-01-01 00:00:00,KS0020000001830,*,V123,2018-03-01 20:50:49.057000,76705def-1cbf-4c17-8f99-2312cb7f102a,0
57,768672,816628,7.52,US, ,2018-03-02 10:07:43,2099-01-01 00:00:00,KS0020000001831,*,V05,2018-03-02 10:08:14.643000,59f9b6d9-afa9-4402-bf20-8914ccd50e56,0
58,768819,816779,3.84,US, ,2018-03-02 17:29:46,2099-01-01 00:00:00,KS0020000001833,*,V123,2018-03-02 17:35:10.347000,8ffd8d3e-290c-4273-b040-3ac89a674ef1,0
59,768819,816780,33.2,TL, ,2018-03-02 17:33:16,2099-01-01 00:00:00,KS0020000001833,*,V123,2018-03-02 17:35:10.347000,cdf6b681-9fb9-4530-baf1-31323b004ba0,0
60,768988,816957,10.76,TL, ,2018-03-03 00:32:35,2099-01-01 00:00:00,KS0020000001835, ,V123,2018-03-03 00:45:34.427000,fdedd0e6-3830-4ee9-b54d-3db0d7245e2b,0
61,768988,816961,10.76,TL, ,2018-03-03 00:32:59,2099-01-01 00:00:00,KS0020000001835,*,V123,2018-03-03 00:45:34.427000,ceea3c66-3514-490d-a621-67e5971f2026,0
62,768995,816966,4.08,TL, ,2018-03-03 01:14:59,2099-01-01 00:00:00,KS0020000001783,*,V05,2018-03-03 01:15:59.880000,9e5415a7-d9ce-4914-990d-c190c82dee1b,0
63,769137,817118,68.56,TL, ,2018-03-03 16:31:28,2099-01-01 00:00:00,KS0020000001839,*,V05,2018-03-03 16:32:05.287000,b1509ebe-dc9e-463e-988d-5cd501552bee,0
64,769161,817143,13.6,TL, ,2018-03-03 17:24:23,2099-01-01 00:00:00,KS0020000001840,*,V123,2018-03-03 17:25:08.760000,380862bf-c7c5-4797-b167-1e84c4bd2d25,0
65,769164,817146,1.2,US, ,2018-03-03 17:30:45,2099-01-01 00:00:00,KS0020000001832,*,V05,2018-03-03 17:31:12.730000,d0b3db9e-25f3-43ae-a263-a8b45fcd2607,0
66,769166,817148,4.6,TL, ,2018-03-03 17:34:15,2099-01-01 00:00:00,KS0020000001841,*,V123,2018-03-03 17:47:01.643000,6e301032-afc2-4d65-bab6-ca969a1b5498,0
67,769292,817286,-4.0,TL, ,2018-03-04 02:06:16,2099-01-01 00:00:00,KS0020000001783,*,V123,2018-03-04 02:12:46.033000,48ced00f-d305-40dc-8951-3f98c08a3757,0
68,769330,817325,0.72,US, ,2018-03-04 12:24:05,2099-01-01 00:00:00,KS0020000001832,*,V05,2018-03-04 12:25:45.473000,f7433838-2e97-482f-b338-4c3f764abbc2,0
69,769330,817326,11.8,TL, ,2018-03-04 12:24:14,2099-01-01 00:00:00,KS0020000001832,*,V05,2018-03-04 12:25:45.473000,b3eeb122-d51e-48a8-ac19-7fbc955d692e,0
70,769513,817513,6.64,US, ,2018-03-04 23:03:22,2099-01-01 00:00:00,KS0020000001843,*,V05,2018-03-04 23:03:58.077000,8aef0ac6-22b2-4a91-86f3-621be65d6920,0
71,769691,817700,4.08,TL, ,2018-03-05 21:03:59,2099-01-01 00:00:00,KS0020000001845,*,V05,2018-03-05 21:04:39.177000,383835e2-e57a-431d-908c-6ac95489a117,0
72,769906,817924,6.0,TL, ,2018-03-06 20:26:43,2099-01-01 00:00:00,KS0020000001848,*,V05,2018-03-06 20:27:04.860000,da8f4daa-5bbc-4d9d-86d3-64f83069fdec,0
73,770167,818215,3.2,TL, ,2018-03-07 19:43:16,2099-01-01 00:00:00,KS0020000001783,*,V05,2018-03-07 19:44:13.440000,6295802a-1d2c-4bd9-b65d-bfb8377203ad,0
74,770399,818461,12.84,US, ,2018-03-08 16:26:22,2099-01-01 00:00:00,KS0020000001849,*,V05,2018-03-08 16:27:00.693000,296e10ad-8547-45a4-934f-66f11f2f56c5,0
75,770399,818462,0.4,TL, ,2018-03-08 16:26:33,2099-01-01 00:00:00,KS0020000001849,*,V05,2018-03-08 16:27:00.693000,e81a7c75-78dc-4224-9661-f05e807a300c,0
76,770802,818895,3.0,TL, ,2018-03-09 20:28:17,2099-01-01 00:00:00,KS0020000001814,*,V05,2018-03-09 20:28:43.670000,eb5a9083-033d-49b9-9c54-62ef31f1e21c,0
77,771584,819730,1.28,US, ,2018-03-11 21:21:42,2099-01-01 00:00:00,KS0020000001853,*,V37,2018-03-11 21:22:18.660000,2aaa4603-0f53-44a6-9498-f4a0ed1e9eea,0
78,771584,819731,0.8,TL, ,2018-03-11 21:21:46,2099-01-01 00:00:00,KS0020000001853,*,V37,2018-03-11 21:22:18.660000,24b94e02-2caf-4318-984d-7720d14b8d4e,0
79,772675,820902,8.96,TL, ,2018-03-15 19:33:26,2099-01-01 00:00:00,KS0020000001854,*,V123,2018-03-15 19:40:56.770000,0c333661-f082-494e-89a0-41ac550a5413,0
80,772696,820925,3.4,TL, ,2018-03-15 20:18:36,2099-01-01 00:00:00,KS0020000001855,*,V05,2018-03-15 20:19:09.880000,e80aba6c-fbe6-47ca-bbf2-0224e54a8567,0
81,772698,820927,2.4,TL, ,2018-03-15 20:22:19,2099-01-01 00:00:00,KS0020000001855,*,V05,2018-03-15 20:23:06.647000,75cb1433-3b27-4998-bcce-a774542122cf,0
82,772582,820810,0.4,TL, ,2018-03-15 16:24:38,2099-01-01 00:00:00,KS0020000001858,*,V37,2018-03-16 16:52:43.473000,a7792742-e74f-4358-8626-8096f4cc3b46,0
83,772582,821128,3.4,TL, ,2018-03-16 16:44:01,2099-01-01 00:00:00,KS0020000001858,*,V37,2018-03-16 16:52:43.473000,596a263c-9afb-4d88-9b73-39a679fe101e,0
84,773074,821333,3.0,TL, ,2018-03-17 10:46:21,2099-01-01 00:00:00,KS0020000001871,*,V14,2018-03-17 10:46:41.780000,fa2c490a-cd4b-4ff5-b5a9-dd79917570c2,0
85,773275,821556,2.2,TL, ,2018-03-17 18:37:09,2099-01-01 00:00:00,KS0020000001873,*,V05,2018-03-17 18:37:49.937000,274ea518-988f-4205-a78a-c143bfa3d9de,0
86,773276,821557,2.0,TL, ,2018-03-17 18:40:20,2099-01-01 00:00:00,KS0020000001873,*,V05,2018-03-17 18:40:47.370000,6ae3d915-43ac-4d5d-926b-d29e631a7c3c,0
87,776081,824551,1.32,US, ,2018-03-27 10:34:06,2099-01-01 00:00:00,KS0020000001865,*,V05,2018-03-27 10:34:18.297000,952d78b0-5a18-4cf7-907d-b23f43e043f2,0
88,776810,825326,13.4,TL, ,2018-03-29 17:53:51,2099-01-01 00:00:00,KS0020000001890,*,V05,2018-03-29 17:55:11.197000,bad991a5-ba3f-425b-9bf4-9739784b3a78,0
89,777149,825684,3.8,TL, ,2018-03-30 18:42:35,2099-01-01 00:00:00,KS0020000001897,*,V05,2018-03-30 18:43:52.537000,dc16a106-254d-4fec-bd34-edfea7e3a65b,0
90,777177,825714,0.6,TL, ,2018-03-30 19:34:30,2099-01-01 00:00:00,KS0020000001902,*,V05,2018-03-30 19:35:22.230000,7f44b7f6-0cf1-4070-9d27-cd495f25ccf4,0
91,777349,825896,7.6,TL, ,2018-03-31 12:53:16,2099-01-01 00:00:00,KS0070000000030,*,H001,2018-03-31 12:53:35.370000,c20bac96-55be-4c79-8c5b-75fe81c96c66,0
92,777683,826248,0.92,US, ,2018-04-01 11:10:12,2099-01-01 00:00:00,KS0020000001946,*,V14,2018-04-01 11:10:27.170000,ad0e2233-9c9b-42ec-a3fd-ae371e6eae33,0
93,777884,826466,16.8,TL, ,2018-04-01 18:55:53,2099-01-01 00:00:00,KS0020000001922,*,V14,2018-04-01 18:56:50.123000,addba7bf-82a9-46d0-9647-e4dbb511ba7c,0
94,778396,827007,4.2,TL, ,2018-04-03 18:44:28,2099-01-01 00:00:00,KS0020000001999,*,V05,2018-04-03 18:44:41.997000,7eaaf602-2bdc-4129-b441-52fccf4f0eec,0
95,778474,827091,1.4,US, ,2018-04-03 21:38:18,2099-01-01 00:00:00,KS0070000000035,*,H001,2018-04-03 21:38:27.497000,4b3bb106-cd51-425a-bfea-918cf31f74dd,0
96,778477,827094,1.0,US, ,2018-04-03 21:41:04,2099-01-01 00:00:00,KS0070000000035,*,H001,2018-04-03 21:41:21.580000,280accfc-6429-4c42-89fc-60f5f29a20b7,0
97,778494,827111,0.92,US, ,2018-04-03 22:08:54,2099-01-01 00:00:00,KS0070000000035,*,H001,2018-04-03 22:09:19.103000,3e50cf32-49d4-48fd-939d-82acdf9ab7fe,0
98,778592,827220,4.52,US, ,2018-04-04 12:34:40,2099-01-01 00:00:00,KS0070000000037,*,H001,2018-04-04 12:35:17.873000,1fa07d22-f497-40e2-b349-629efbdc5f7e,0
99,778609,827237,3.84,US, ,2018-04-04 13:27:01,2099-01-01 00:00:00,KS0070000000038,*,H001,2018-04-04 13:27:07.987000,0410e669-fbcd-4380-8338-e08340618ec7,0
100,778623,827252,5.36,US, ,2018-04-04 14:00:53,2099-01-01 00:00:00,KS0070000000039,*,H001,2018-04-04 14:01:01.870000,4b1f5d6a-f4c2-48df-be08-4be4bb604011,0
101,778669,827299,4.8,US, ,2018-04-04 16:05:20,2099-01-01 00:00:00,KS0020000002033,*,V05,2018-04-04 16:05:31.950000,74b9e451-2f68-404e-bda4-3c537377b246,0
102,778792,827429,3.72,US, ,2018-04-04 21:21:25,2099-01-01 00:00:00,KS0070000000037,*,H001,2018-04-04 21:21:33.953000,0706f6af-a407-40d5-b74b-00737f1b7e04,0
103,778834,827473,0.8,US, ,2018-04-04 22:57:01,2099-01-01 00:00:00,KS0020000002006,*,V05,2018-04-04 22:57:38.670000,cb45190c-ed48-4042-9906-a68d8f2d79ce,0
104,778834,827474,2.4,TL, ,2018-04-04 22:57:17,2099-01-01 00:00:00,KS0020000002006,*,V05,2018-04-04 22:57:38.670000,425b8234-bd7c-4f94-bcc4-3b65bf5a930c,0
105,778862,827510,0.8,US, ,2018-04-05 10:21:03,2099-01-01 00:00:00,KS0020000002068,*,V05,2018-04-05 10:21:20.407000,f86b3586-eef4-44d7-9bee-5f386dcf187f,0
106,778958,827612,2.4,US, ,2018-04-05 14:41:09,2099-01-01 00:00:00,KS0070000000041,*,H001,2018-04-05 14:41:18.237000,26caf7a2-9e76-4018-aaa3-522cd3415521,0
107,778961,827615,14.0,TL, ,2018-04-05 14:54:51,2099-01-01 00:00:00,KS0070000000042,*,H001,2018-04-05 14:54:58.727000,e0d89b02-69df-41c1-832f-852463bd1fc8,0
108,779230,827898,1.52,US, ,2018-04-06 11:59:15,2099-01-01 00:00:00,KS0070000000044,*,H001,2018-04-06 11:59:49.990000,07fb82a6-e245-4a7a-9f3b-5d16b9159689,0
109,779329,828003,0.6,US, ,2018-04-06 16:47:34,2099-01-01 00:00:00,KS0020000002078, ,V45,2018-04-06 16:52:34.687000,e1bc9e5c-2fa0-4fdc-9158-c8e4df5eed33,0
110,779333,828007,1.08,US, ,2018-04-06 16:48:39,2099-01-01 00:00:00,KS0020000002078, ,V45,2018-04-06 16:51:51.893000,9bce07bc-779c-454b-a07e-24bb50439fd6,0
111,779333,828008,4.36,TL, ,2018-04-06 16:49:01,2099-01-01 00:00:00,KS0020000002078,*,V123,2018-04-06 16:51:51.893000,ec4c6faf-38f2-4cb6-a472-5ef5dcfe3996,0
112,779329,828009,2.44,TL, ,2018-04-06 16:47:40,2099-01-01 00:00:00,KS0020000002078,*,V123,2018-04-06 16:52:34.687000,93ef76f9-7990-4f42-ac79-ad4c57cca124,0
113,779356,828032,4.6,US, ,2018-04-06 17:43:26,2099-01-01 00:00:00,KS0070000000049,*,H001,2018-04-06 17:44:46.087000,aa1799ed-2c64-4902-81b5-1d682c219e31,0
114,779380,828056,4.8,TL, ,2018-04-06 18:22:29,2099-01-01 00:00:00,KS0020000002136,*,H06,2018-04-06 18:23:36.473000,ce9abcbc-08ca-414c-8bd1-5c4c51d45ff2,0
115,779961,828675,7.0,US, ,2018-04-08 12:15:05,2099-01-01 00:00:00,KS0070000000048,*,H001,2018-04-08 12:15:33.427000,9beee34b-0890-4445-bcf4-4f2c2669f576,0
116,780090,828814,2.6,TL, ,2018-04-08 17:09:09,2099-01-01 00:00:00,KS0020000002183,*,V05,2018-04-08 17:10:25.640000,2ce77b38-97ac-41ce-b5b8-fcd7cae2a23e,0
117,780093,828817,5.4,TL, ,2018-04-08 17:14:35,2099-01-01 00:00:00,KS0020000001783,*,V05,2018-04-08 17:16:17.160000,74ba106c-74c9-426a-8a52-372c7572b536,0
118,780097,828821,5.36,US, ,2018-04-08 17:27:42,2099-01-01 00:00:00,KS0020000002181,*,H06,2018-04-08 17:28:25.220000,90d7f1ce-2442-4bd7-bb64-19bade8a7b4c,0
119,780125,828851,1.4,EU, ,2018-04-08 18:19:19,2099-01-01 00:00:00,KS0020000002187,*,H06,2018-04-08 18:20:00.333000,befafc1f-8282-4ad9-8c1d-784db0cf05af,0
120,780125,828852,0.16,TL, ,2018-04-08 18:19:30,2099-01-01 00:00:00,KS0020000002187,*,H06,2018-04-08 18:20:00.333000,223f1fe6-5dc0-402b-837b-6e171f4d59a8,0
121,780153,828882,4.8,TL, ,2018-04-08 19:05:42,2099-01-01 00:00:00,KS0020000001895,*,V05,2018-04-08 19:06:07.500000,4afed23b-3b94-4648-a9c8-5e744c636a32,0
122,780204,828933,25.8,TL, ,2018-04-08 21:05:39,2099-01-01 00:00:00,KS0020000001814,*,V05,2018-04-08 21:06:19.560000,c8796ebd-f0a5-47df-862c-069c6156acef,0
123,780270,829003,5.12,TL, ,2018-04-09 10:56:19,2099-01-01 00:00:00,KS0020000002202,*,V05,2018-04-09 10:56:32.587000,861efbf2-ef55-4e49-b4e7-ed7b3d5254d8,0
124,780274,829007,2.2,US, ,2018-04-09 11:27:30,2099-01-01 00:00:00,KS0020000002207,*,V05,2018-04-09 11:27:48.060000,f586af3a-94f7-4d0b-8127-77ef086fbd5f,0
125,780315,829049,4.4,TL, ,2018-04-09 14:04:53,2099-01-01 00:00:00,KS0020000001863,*,V45,2018-04-09 14:05:06.207000,cde49095-1406-4f94-9c0a-df18f3d0a5e9,0
126,780320,829054,3.6,TL, ,2018-04-09 14:33:26,2099-01-01 00:00:00,KS0020000002047,*,V45,2018-04-09 14:33:40.837000,27870837-086d-496a-b716-703b32786559,0
127,780963,829746,2.0,US, ,2018-04-11 12:32:53,2099-01-01 00:00:00,KS0020000002219,*,V45,2018-04-11 12:33:10.257000,ff06cc88-f796-4632-b3ae-5e2c33bdaef3,0
128,781739,830577,1.32,TL, ,2018-04-13 13:05:12,2099-01-01 00:00:00,KS0020000001847,*,V05,2018-04-13 13:05:59.843000,ed3037b9-160f-4f87-85d8-4bdcc071f8b4,0
129,781747,830586,0.36,US, ,2018-04-13 13:54:31,2099-01-01 00:00:00,KS0020000002249,*,V05,2018-04-13 13:56:59.173000,1ba67817-cbd6-497a-9b72-02b6c17ab877,0
130,781747,830587,1.8,US, ,2018-04-13 13:56:07,2099-01-01 00:00:00,KS0020000002249,*,V05,2018-04-13 13:56:59.173000,7b626b05-6189-4f8d-bada-278a0b6e06ec,0
131,781747,830588,6.0,TL, ,2018-04-13 13:56:39,2099-01-01 00:00:00,KS0020000002249,*,V05,2018-04-13 13:56:59.173000,21fd8d61-39f5-4b23-a56e-26a12a7d23ea,0
132,781854,830698,7.52,TL, ,2018-04-13 17:44:57,2099-01-01 00:00:00,KS0070000000095,*,H001,2018-04-13 17:45:19.583000,041ee53c-b151-441d-8117-d259a43afb4d,0
133,781854,830699,0.8,TL, ,2018-04-13 17:45:09,2099-01-01 00:00:00,KS0070000000095,*,H001,2018-04-13 17:45:19.583000,c12fda5a-7ef5-4d5e-9f26-231028f1db10,0
134,781983,830835,0.8,US, ,2018-04-13 22:45:23,2099-01-01 00:00:00,KS0070000000106,*,H001,2018-04-13 22:46:01.700000,a2bdbb82-de32-4bc4-8c8b-22dc4c6931d6,0
135,781983,830836,4.0,TL, ,2018-04-13 22:45:38,2099-01-01 00:00:00,KS0070000000106,*,H001,2018-04-13 22:46:01.700000,50746f47-b3e2-4d9d-8504-b1c517a53398,0
136,782109,830968,4.0,US, ,2018-04-14 13:18:57,2099-01-01 00:00:00,KS0070000000093,*,H001,2018-04-14 13:19:26.050000,5843d372-a498-49ba-9316-5976f57725d7,0
137,782141,831003,1.2,US, ,2018-04-14 14:21:15,2099-01-01 00:00:00,KS0070000000056,*,H001,2018-04-14 14:21:31.010000,c1777b47-e841-419d-908a-19f9227a6148,0
138,782467,831349,1.0,US, ,2018-04-15 12:50:01,2099-01-01 00:00:00,KS0070000000109,*,H001,2018-04-15 12:50:09.430000,7c2ff94a-9a40-45e8-8d0d-5eb9ae1e5841,0
139,782547,831433,1.0,US, ,2018-04-15 16:28:51,2099-01-01 00:00:00,KS0020000002338,*,H06,2018-04-15 16:29:01.953000,200271bc-f58c-4684-9552-6fa69aa8df63,0
