ModulName,ModulParent,ModulLevel,ModulCaption,kgid,insUN,insDT,insApp,updUN,updDT,updApp
miGVirman,miFinans,1,Genel Virman,52,,,,,,
miKurFarkDegerleme,miFinans,1,Kur Farkı Değerleme İşlemleri,53,,,,,,
mi_KurFarkiFis,miKurFarkDegerleme,2,Toplu Kur Farkı Fişi Oluşturma,54,,,,,,
miCSKurFarkiDegerleme,miKurFarkDegerleme,2,Çek-Senet Kur Farkı Değerleme,55,,,,,,
miMMuhasebe,,0,Genel Muhasebe,56,,,,,,
miMAnaKayit,miMMuhasebe,1,Ana Kayıtlar,57,,,,,,
miMHesapPlan,miMAnaKayit,2,Hesap Planı,58,,,,,,
miStokMuhBag,miMAnaKayit,2,Stok Özel Grup Muhasebe Bağlantıları,59,,,,,,
miProcessMuhKod,miMAnaKayit,2,İşlem Tiplerine Özel Muhasebe Kod Tanımlamaları,60,,,,,,
miGelGidYKMuhKod,miMAnaKayit,2,Gider-Gelir Hesapları Yansıma ve Kapama Hızlı Muhasebe Kodu Atama,61,,,,,,
miMMuhFis,miMMuhasebe,1,Muhasebe Fişleri,62,,,,,,
miMislemler,miMMuhasebe,1,İşlemler,63,,,,,,
miEnt,miMislemler,2,Entegrasyon,64,,,,,,
miMuhKodAta,miMislemler,2,İşlemlere Hızlı Muhasebe Kodu Ata,65,,,,,,
miMNumaralandirma,miMislemler,2,Numaralandırma İşlemleri,66,,,,,,
miMSetMaddeNo,miMNumaralandirma,3,Yevmiye Madde Numaralandırma,67,,,,,,
miMSetFisNo,miMNumaralandirma,3,Fiş Numaralandırma,68,,,,,,
mimOtoFis,miMislemler,2,Otomatik Fiş Oluşturma,69,,,,,,
miMGidKapat,mimOtoFis,3,Gider Hesaplarının Yansıtılması ve  Kapatılması,70,,,,,,
miMGelKapat,mimOtoFis,3,Gelir Hesaplarınn Kapatılması,71,,,,,,
miMEnvKapat,mimOtoFis,3,Yıl Sonu Envanter İşlemleri,72,,,,,,
miMKapaFis,mimOtoFis,3,Kapanış Fişi Oluştur,73,,,,,,
miKDVTahakkuk,miMislemler,2,KDV Tahakkuk Fişi Oluştur...,74,,,,,,
miMRaporlar,miMMuhasebe,1,Raporlar,75,,,,,,
miMizan,miMRaporlar,2,Mizan,76,,,,,,
miMFisList,miMRaporlar,2,Özet Fiş Listesi,77,,,,,,
miMAFisList,miMRaporlar,2,Ayrıntılı Fiş Listesi,78,,,,,,
miMMuavin,miMRaporlar,2,Muavin Defter,79,,,,,,
miMDefKebir,miMRaporlar,2,Defteri Kebir,80,,,,,,
miMYevmiye,miMRaporlar,2,Yevmiye Defteri,81,,,,,,
miMuhBABS,miMRaporlar,2,BA - BS Formları (Muhasebe),82,,,,,,
miMMaliTablo,miMMuhasebe,1,Mali Tablolar,83,,,,,,
miMBilanco,miMMaliTablo,2,Bilanço,84,,,,,,
miMKarZarar,miMMaliTablo,2,Gelir Tablosu,85,,,,,,
miMSatisMaliyet,miMMaliTablo,2,Satışların Maliyeti Tablosu,86,,,,,,
miMFonAkim,miMMaliTablo,2,Fon Akım Tablosu,87,,,,,,
miMNakitAkis,miMMaliTablo,2,Nakit Akış Tablosu,88,,,,,,
miMKarDagitim,miMMaliTablo,2,Kar Dağıtım Tablosu,89,,,,,,
mieBeyan,miMMuhasebe,1,e-Beyannameler,90,,,,,,
miKDVeBeyan,mieBeyan,2,KDV1 e-Beyanname,91,,,,,,
miKDV2eBeyan,mieBeyan,2,KDV2 e-Beyanname,92,,,,,,
miHR_25,miirsaliyeYon_HR,2,TRANSFERKONTROLU,93,,,,,,
miEDefterMain,miMMuhasebe,1,E-Defter,94,,,,,,
miEdefterCreate,miEDefterMain,2,E-Defter Taslak Oluşturma,95,,,,,,
miMagaza,,0,Mağaza,96,,,,,,
miPos,miMagaza,1,Perakende Satış İşlemleri,97,,,,,,
miMusteri,miMagaza,1,Müşteriler,98,,,,,,
miPerYonetim,miMagaza,1,Perakende Satış Yönetimi,99,,,,,,
miSatTakip,miMagaza,1,Mağaza Satış Kasa Takip,100,,,,,,
miPerKZYon,miMagaza,1,Perakende Satış Kar Zarar Yönetimi ...,101,,,,,,
miBankaKrediTak,miMagaza,1,Banka Kredi Takip,102,,,,,,
miMusteriYon,miMagaza,1,Müşteri Yönetimi,103,,,,,,
miPSatisRapor,miMagaza,1,Satış Raporları,104,,,,,,
Rapor_9,miPSatisRapor,2,Lokasyona Göre Genel Satış Raporu (Satış Miktarına Göre) (r9),105,,,,,,
Rapor_298,miPSatisRapor,2,Metrekare Bazında Lokasyona Göre Satış Raporu (298),106,,,,,,
Rapor_308,miPSatisRapor,2,Personel Sayısı Bazında Lokasyona Göre Satış Raporu (308),107,,,,,,
Rapor_299,miPSatisRapor,2,Lokasyon Bazında Belirlenen Ciro Hedeflerin Gerçekleşme Raporu (299),108,,,,,,
Rapor_300,miPSatisRapor,2,Lokasyon Bazında Belirlenen Miktar Hedeflerin Gerçekleşme Raporu (300),109,,,,,,
Rapor_1,miPSatisRapor,2,En Çok Satan Ürün Raporu (Satış Miktarına Göre) (r1),110,,,,,,
Rapor_2,miPSatisRapor,2,Üreticiye Göre En Çok Satan Ürün Raporu (Satış Miktarına Göre) (r2),111,,,,,,
Rapor_7,miPSatisRapor,2,Lokasyona Göre En Çok Satan Ürün Raporu (Satış Tutarına Göre) (r7),112,,,,,,
Rapor_16,miPSatisRapor,2,Lokasyonlara Göre Aylık Satış Raporu (Satış Miktarına Göre) (r16),113,,,,,,
Rapor_18,miPSatisRapor,2,Lokasyonlara Göre Aylık Satış Raporu (Satış Tutarına Göre) (r18),114,,,,,,
Rapor_26,miPSatisRapor,2,Haftalık Satış Analizi (Satış Miktarına Göre) (r26),115,,,,,,
Rapor_27,miPSatisRapor,2,Aylık Satış Analizi (Satış Miktarına Göre) (r27),116,,,,,,
Rapor_29,miPSatisRapor,2,Yıllık Satış Analizi (Satış Miktarına Göre) (r29),117,,,,,,
Rapor_31,miPSatisRapor,2,Haftalık Satış Analizi (Satış Tutarına Göre) (r31),118,,,,,,
Rapor_32,miPSatisRapor,2,Aylık Satış Analizi (Satış Tutarına Göre) (r32),119,,,,,,
Rapor_34,miPSatisRapor,2,Yıllık Satış Analizi (Satış Tutarına Göre) (r34),120,,,,,,
Rapor_119,miPSatisRapor,2,Üretici Bazlı Mağaza Performans Takip (r119),121,,,,,,
Rapor_120,miPSatisRapor,2,Üretici Bazlı Merkez Alış Mağaza Satış Performans Takip (r120),122,,,,,,
Rapor_38,miPSatisRapor,2,Satmayan Ürün Raporu (r38),123,,,,,,
Rapor_39,miPSatisRapor,2,Lokasyona Göre Satmayan Ürün Raporu (r39),124,,,,,,
Rapor_169,miPSatisRapor,2,Merkez-Şube Stok Durum Raporu (Özet) (r169),125,,,,,,
Rapor_701,miPSatisRapor,2,Lokasyon Bazında Stok Satış Oranı (r701),126,,,,,,
Rapor_702,miPSatisRapor,2,Lokasyon Stok Grubu Bazında Satış Oranı Raporu (r702),127,,,,,,
Rapor_703,miPSatisRapor,2,Stok Grubuna Göre Satış Performansı  (r703),128,,,,,,
Rapor_704,miPSatisRapor,2,RPT Değerlendirme Raporu (r704),129,,,,,,
Rapor_705,miPSatisRapor,2,Satış İndirim Değerlendirme Raporu (705),130,,,,,,
Rapor_706,miPSatisRapor,2,Sipariş ve İrsaliye Miktar Analizi  (r706),131,,,,,,
Rapor_707,miPSatisRapor,2,Stok Grubuna Göre Satış Performansı-2  (r707),132,,,,,,
Rapor_708,miPSatisRapor,2,Gönderilen-Alınan Dahili İrsaliye Analizi (r708),133,,,,,,
Rapor_709,miPSatisRapor,2,Gerçekleşen Ciro-Hedefler Karşılaştırma Raporu (r709),134,,,,,,
Rapor_710,miPSatisRapor,2,Lokasyonlara Göre Aylık Satış Raporu ( 1 Aylık Satış Miktarına Göre / Grafik) (r710),135,,,,,,
Rapor_711,miPSatisRapor,2,Gerçekleşen Tahmini Ciro Raporu (r711),136,,,,,,
Rapor_712,miPSatisRapor,2,Mağaza Satış - Net Kar Raporu (r712),137,,,,,,
Rapor_713,miPSatisRapor,2,Mağaza Gider Detaylı Net Kar Raporu (r713),138,,,,,,
Rapor_714,miPSatisRapor,2,Müşteri Puan Raporu (r714),139,,,,,,
Rapor_725,miPSatisRapor,2,Resimli ve Renk-Beden Raporu (r725),140,,,,,,
Rapor_726,miPSatisRapor,2,Ödeme Tipine Göre Tutar Dağılım Raporu (r726),141,,,,,,
Rapor_727,miPSatisRapor,2,Resimli ve Renk-Beden Raporu Merkez Alış Mağaza Satış (r727),142,,,,,,
miLojistic,,0,Lojistik,143,,,,,,
miSatTeklif,miLojistic,1,Pazarlama Teklifleri,144,,,,,,
miSiparisYon3,miLojistic,1,Pazarlama Teklif Yönetimi ...,145,,,,,,
miSatSiparis,miLojistic,1,Pazarlama Siparişleri ...,146,,,,,,
miSiparisYon1,miLojistic,1,Pazarlama Analiz ve Sipariş Yönetimi ...,147,,,,,,
miAlTeklif,miLojistic,1,Satınalma Teklifleri,148,,,,,,
miSiparisYon4,miLojistic,1,Satınalma Teklif Yönetimi ...,149,,,,,,
miAlSiparis,miLojistic,1,Satınalma Siparişleri ...,150,,,,,,
miSiparisYon2,miLojistic,1,Satınalma Analiz ve Sipariş Yönetimi ...,151,,,,,,
miSevk,miLojistic,1,Sevkiyat,152,,,,,,
miSevkFis,miSevk,2,Sevkiyat Fişi ...,153,,,,,,
miSevkFisB,miSevk,2,Beklemedeki Sevk Fişleri ...,154,,,,,,
miSevkFisG,miSevk,2,Geri Gönderilen Sevk Fişleri ...,155,,,,,,
miSevkFisT,miSevk,2,Tamamlanmış Sevk Fişleri ...,156,,,,,,
miSevkYon,miSevk,2,Sevkiyat Yönetimi ...,157,,,,,,
miSipOdePlanFilter,miLojistic,1,Sipariş Ödeme Planı Analizi...,158,,,,,,
miUretim,,0,Üretim,159,,,,,,
miHazirRaporlar,,0,Hazır Raporlar,160,,,,,,
Help1,,0,Araçlar,161,,,,,,
ools1,Help1,1,Ek Modüller,162,,,,,,
TSMevcut,miStok,0,Stok Mevcutları,163,,,,,,
TSDlocation,TSMevcut,1,Lokasyon Detay,164,,,,,,
TSGenel,miCari,3,Genel Durum,165,,,,,,
TSDetay,miCari,3,Hesap Detayları,166,,,,,,
TSAylik,miCari,3,Aylık Durum,167,,,,,,
TSSiparis,miCari,3,Siparişleri,168,,,,,,
TS_RiskRaporu,miCari,3,Risk Raporu,169,,,,,,
TS_FiyatListe,miCari,3,Fiyat Listesi,170,,,,,,
TS_OpenBorc,miCari,3,Kapanmamış Borçlar,171,,,,,,
miAlHizmetSip,miFinansTanim,2,Alınan Hizmet Siparişi,172,,,,,,
miUIMalHes,miPlanlama,1,İleri Maliyet Hesaplama...,173,,,,,,
miUMalPlnFinans,miPlanlama,1,Üretim Senaryo Çalışmaları...,174,,,,,,
TSRenk,miSParam,1,Renk Tanımları,175,,,,,,
TSBeden,miSParam,1,Beden Tanımları,176,,,,,,
TSReyon,miSParam,2,Reyon Tanımları,177,,,,,,
TSSKGrup,miSParam,2,Stok Grubu Tanımları,178,,,,,,
TSSKTip,miSParam,2,Stok Tip Tanımları,179,,,,,,
TSKFiyTip,miSParam,2,Fiyat Tanımları,180,,,,,,
TSKSekil,miSParam,2,Stok Şekil Tanımları,181,,,,,,
TCinsiyet,miSParam,2,Cinsiyet Tanımları,182,,,,,,
TSBirim,miSParam,2,Birim Tanımları,183,,,,,,
TSBirimGrp,miSParam,2,Birim Grubu Tanımları,184,,,,,,
TSUretici,miSParam,2,Üretici Tanımları,185,,,,,,
TSAlternatifKod,miSParam,2,Alternatif Kod Grubu,186,,,,,,
TGtip,miSParam,2,GTip Tanımları,187,,,,,,
miMainMenu,,0,,188,,,,,,
miSystem,,0,Sistem,189,,,,,,
miLocation,miSystem,1,Lokasyon Seçimi ...,190,,,,,,
miChangePassword,miSystem,1,Şifre Değiştir...,191,,,,,,
miScreenLock,miSystem,1,Ekranı Kilitle...,192,,,,,,
miSParam,miSystem,1,Stok Parametreleri ...,193,,,,,,
miGDovGir,miSystem,1,Günlük Döviz Girişleri ...,194,,,,,,
miChangeCatalog,miSystem,1,Katalog değiştir...,195,,,,,,
miUserChange,miSystem,1,Kullanıcı değiştir...,196,,,,,,
mieXit,miSystem,1,Programdan Çıkış,197,,,,,,
miEnvanter,,0,Envanter,198,,,,,,
miStokMenu,miEnvanter,1,Stok,199,,,,,,
miStok,miStokMenu,2,Stok Kartı Tanımları ...,200,,,,,,
miStokHar,miStokMenu,2,Stok İşlemleri ...,201,,,,,,
miStokYonetim,miStokMenu,2,Stok Yönetimi ...,202,,,,,,
miStokislemYon,miStokMenu,2,Stok İşlemleri Yönetimi ...,203,,,,,,
miStokGCYon,miStokMenu,2,Stok Giriş Çıkış Yönetimi,204,,,,,,
miEn_Filter,miStokMenu,2,Envanter Yönetimi...,205,,,,,,
miStokKZYon,miStokMenu,2,Kar Zarar Yönetimi...,206,,,,,,
miFifoLifo,miStokMenu,2,Stok Değerleme Raporları...,207,,,,,,
miFiyatYonet,miStokMenu,2,Fiyat Yönetimi ...,208,,,,,,
miStokSay,miStokMenu,2,Stok Sayım Yönetimi ...,209,,,,,,
miSKLokMikAnaliz,miStokMenu,2,Lokasyon Miktar Yetkisi Analizi...,210,,,,,,
miBarkodYonet,miEnvanter,1,Barkod Yonetimi,211,,,,,,
miBarkodCreate,miBarkodYonet,2,Stok Kartlarına Barkod Oluştur ...,212,,,,,,
miSpeedBarCode,miBarkodYonet,2,Stok Kartlarında Hızlı Barkod işlemleri ...,213,,,,,,
miSpeedBarcode2,miBarkodYonet,2,Hızlı Barkod Basım Ekranı,214,,,,,,
miFinans,,0,Finans,215,,,,,,
miCariMenu,miFinans,1,Cari,216,,,,,,
miCari,miCariMenu,2,Cari Kart Tanımları ...,217,,,,,,
miCariFis,miCariMenu,2,Cari İşlemleri ...,218,,,,,,
miCariYonet,miCariMenu,2,Cari Yönetim ...,219,,,,,,
miCariYon,miCariMenu,2,Cari İşlem Yönetimi ...,220,,,,,,
miCariRiskYon,miCariMenu,2,Cari Risk Limit Raporu,221,,,,,,
miKapaYonet,miCariMenu,2,Borç Alacak Kapama Yönetimi,222,,,,,,
miBorcYonet,miCariMenu,2,Borçlanma Yönetimi,223,,,,,,
miCariYasYonet,miCariMenu,2,Cari Yaşlandırma Yönetimi,224,,,,,,
MiTedarikiPuanlama,miCariMenu,2,Tedarikiçi Puanlama,225,,,,,,
miKasaMenu,miFinans,1,Kasa,226,,,,,,
miKasa,miKasaMenu,2,Kasa Tanımları ...,227,,,,,,
miKasaFis,miKasaMenu,2,Kasa İşlemleri ...,228,,,,,,
miKasaYon,miKasaMenu,2,Kasa İşlem Yönetimi ...,229,,,,,,
miKasaYonet,miKasaMenu,2,Kasa Yönetimi ...,230,,,,,,
miSpeedKasa,miKasaMenu,2,Hızlı Kasa İşlemleri,231,,,,,,
miKasaUyari,miKasaMenu,2,Kasalar Arası Transfer Kontrol Modülü...,232,,,,,,
mibanka,miFinans,1,Banka,233,,,,,,
miBankaKart,mibanka,2,Banka Kartları ...,234,,,,,,
miBankais,mibanka,2,Banka işlemleri ...,235,,,,,,
miSpeedHavale,mibanka,2,Hızlı İşlem Girişi,236,,,,,,
miBankaYon,mibanka,2,Banka Yönetimi ...,237,,,,,,
miBankaListesi,mibanka,2,Banka Listesi...,238,,,,,,
miBankTakip,mibanka,2,Takip,239,,,,,,
miBankaTakip,miBankTakip,3,Banka Bazında Takip ...,240,,,,,,
miSubeTakip,miBankTakip,3,Şube Bazında Takip ...,241,,,,,,
miHesapTakip,miBankTakip,3,Hesap Bazında Takip ...,242,,,,,,
miKredi,mibanka,2,Kredi,243,,,,,,
miKrediTanim,miKredi,3,Kredi Tanim...,244,,,,,,
miKrediOdeme,miKredi,3,Kredi Ödeme Takip...,245,,,,,,
miBankaKrediYon,miKredi,3,Kredi Yönetimi...,246,,,,,,
miirsaliyemenu,miFinans,1,İrsaliye,247,,,,,,
miirs_A,miirsaliyemenu,2,Alış İrsaliye,248,,,,,,
miirs_A_Fat,miirs_A,3,Alış İrsaliye ...,249,,,,,,
miirs_A_Kon,miirs_A,3,Alış Konsinye İrsaliye ...,250,,,,,,
miirs_A_Dah,miirs_A,3,Alış Dahili İrsaliye ...,251,,,,,,
miirs_A_Pro,miirs_A,3,Alış Promosyon İrsaliye ...,252,,,,,,
miirs_S,miirsaliyemenu,2,Satış İrsaliye,253,,,,,,
miirs_S_Fat,miirs_S,3,Satış İrsaliye ...,254,,,,,,
miirs_S_Kon,miirs_S,3,Satış Konsinye İrsaliye ...,255,,,,,,
miirs_S_Dah,miirs_S,3,Satış Dahili İrsaliye ...,256,,,,,,
miirs_S_Pro,miirs_S,3,Satış Promosyon İrsaliye ...,257,,,,,,
miirsaliyeYon,miirsaliyemenu,2,İrsaliye Yönetimi ...,258,,,,,,
miDahFiyDeg,miirsaliyemenu,2,Dahili İrsaliye Fiyat Değerleme,259,,,,,,
miFaturaMenu,miFinans,1,Fatura,260,,,,,,
miFat_A,miFaturaMenu,2,Alış Fatura,261,,,,,,
miFat_A_Fat,miFat_A,3,Alış Fatura ...,262,,,,,,
miFat_A_Kon,miFat_A,3,Alış Konsinye Fatura ...,263,,,,,,
miFat_A_Hiz,miFat_A,3,Alış Hizmet Fatura ...,264,,,,,,
miFat_A_Pro,miFat_A,3,Alış Promosyon Fatura ...,265,,,,,,
miFFA,miFat_A,3,Alış Fiyat Farkı Faturası,266,,,,,,
miFat_A_KFF,miFat_A,3,Kur Farkı Faturası,267,,,,,,
miFat_S,miFaturaMenu,2,Satış Fatura,268,,,,,,
miFat_S_Fat,miFat_S,3,Satış Fatura ...,269,,,,,,
miResim,ools1,2,Resim Penceresi,270,,,,,,
miMail,ools1,2,Çevrimiçi Mail,271,,,,,,
miSMS,ools1,2,SMS,272,,,,,,
miKGAjanda,ools1,2,KG Ajanda...,273,,,,,,
miKGMessenger,ools1,2,KG Messenger...,274,,,,,,
miRaporOs,ools1,2,Rapor Oluşturma Sihirbazı,275,,,,,,
miKGCells,ools1,2,KGCells...,276,,,,,,
miTeamViewer,ools1,2,Korgün Destek Uygulaması...,277,,,,,,
miKorgunOnlineOdeme,ools1,2,Korgün Online Ödeme...,278,,,,,,
miOdeme,ools1,2,,279,,,,,,
Birdahagster1,Help1,1,Bir Daha Göster,280,,,,,,
tmntmzl,Birdahagster1,2,Tümünü Temizle,281,,,,,,
kasaSifre,Birdahagster1,2,Kasa Şifresini Temizle,282,,,,,,
miAsortiTanim,Help1,1,Asorti Tanımlama...,283,,,,,,
miSipOzDur,Help1,1,Sipariş Özel Durumları,284,,,,,,
miScrSvr,Help1,1,Ekran Kilidi Zamanlaması...,285,,,,,,
miCRMHatirlat,Help1,1,CRM Hatırlatma Açık,286,,,,,,
miOtoMail,Help1,1,Otomatik Mail Kontrolü Açık,287,,,,,,
miMDITabbed,Help1,1,Form Sayfalama,288,,,,,,
miMenuOtom,Help1,1,Menü Otomatik Açılsın,289,,,,,,
BBBBB1,Help1,1,Menüde Bul...,290,,,,,,
miParamsRefresh,Help1,1,Parametreleri yenile,291,,,,,,
De2,Help1,1,Yerleştir,292,,,,,,
De1,Help1,1,Düzenle,293,,,,,,
ArkaResDegis,Help1,1,Arka Resim...,294,,,,,,
miTema,Help1,1,Tema Değiştir,295,,,,,,
miLondonLiquidSky,miTema,2,Tema 1,296,,,,,,
miMcSkin,miTema,2,Tema 2,297,,,,,,
miStardust,miTema,2,Tema 3,298,,,,,,
miValentine,miTema,2,Tema 4,299,,,,,,
miXMas2008Blue,miTema,2,Tema 5,300,,,,,,
miSharpPlus,miTema,2,Tema 6,301,,,,,,
NativeStyle1,miTema,2,NativeStyle,302,,,,,,
EmptySkinName1,miTema,2,EmptySkinName,303,,,,,,
miKgWeb,Help1,1,Korgun Web Haberler ...,304,,,,,,
miMutabakatList,Help1,1,Mutabakat Sonuç Listesi...,305,,,,,,
miCustomerFeedback,Help1,1,Müşteri Geri Bildirim Sistemi...,306,,,,,,
miConnectingPeople,Help1,1,Bağlı Kullanıcılar...,307,,,,,,
About2,Help1,1,Hakkında...,308,,,,,,
TSFiyatlar,miStok,0,Fiyatlar,309,,,,,,
TSExstre,miStok,0,Ekstre,310,,,,,,
TSAF,TSFiyatlar,1,Alış Fiyatları,311,,,,,,
TSAI,TSFiyatlar,1,Alış iskontosu,312,,,,,,
TSSF,TSFiyatlar,1,Satış Fiyatları,313,,,,,,
TSSI,TSFiyatlar,1,Satış iskontosu,314,,,,,,
TSBarCode,miStok,0,Barkod Tanımları,315,,,,,,
SBSendAltoA,miirs_A_Dah,4,Sevk Et,316,,,,,,
SBSendAltoS,miirs_S_Dah,4,Sevk Et,317,,,,,,
miirs_A_Fat_i,miirs_A,3,Alış İade İrsaliye ...,318,,,,,,
miirs_A_Kon_i,miirs_A,3,Alış İade Konsinye İrsaliye ...,319,,,,,,
miirs_A_Dah_i,miirs_A,3,Alış İade Dahili İrsaliye ...,320,,,,,,
miirs_A_Pro_i,miirs_A,3,Alış İade Promosyon İrsaliye ...,321,,,,,,
miirs_S_Fat_i,miirs_S,3,Satış İade İrsaliye ...,322,,,,,,
miirs_S_Kon_i,miirs_S,3,Satış İade Konsinye İrsaliye ...,323,,,,,,
miirs_S_Dah_i,miirs_S,3,Satış İade Dahili İrsaliye ...,324,,,,,,
miirs_S_Pro_i,miirs_S,3,Satış İade Promosyon İrsaliye ...,325,,,,,,
miFat_A_Fat_i,miFat_A,3,Alış İade Fatura ...,326,,,,,,
miFat_A_Kon_i,miFat_A,3,Alış İade Konsinye Fatura ...,327,,,,,,
miFat_A_Dah_i,miFat_A,3,Alış İade Dahili Fatura ...,328,,,,,,
miFat_A_Hiz_i,miFat_A,3,Alış İade Hizmet Fatura ...,329,,,,,,
miFat_A_Pro_i,miFat_A,3,Alış İade Promosyon Fatura ...,330,,,,,,
miFat_S_Fat_i,miFat_S,3,Satış İade Fatura ...,331,,,,,,
miFat_S_Kon_i,miFat_S,3,Satış İade Konsinye Fatura ...,332,,,,,,
miFat_S_Dah_i,miFat_S,3,Satış İade Dahili Fatura ...,333,,,,,,
miFat_S_Hiz_i,miFat_S,3,Satış İade Hizmet Fatura ...,334,,,,,,
miFat_S_Pro_i,miFat_S,3,Satış İade Promosyon Fatura ...,335,,,,,,
miUrTakip1_G,miUrTakip1,1,Emir Geriçekme,336,,,,,,
miUrTakip2_G,miUrTakip2,1,Emir Geriçekme,337,,,,,,
miUrTakip3_G,miUrTakip3,1,Emir Geriçekme,338,,,,,,
miUrTakip1_i,miUrTakip1,1,Emir ilerletme,339,,,,,,
miUrTakip2_i,miUrTakip2,1,Emir ilerletme,340,,,,,,
miUrTakip3_i,miUrTakip3,1,Emir ilerletme,341,,,,,,
