SipNo,SipHarinx,Konum,SKOD,Tanim,Miktar,Birim,ParaCinsi,Fiyat,iskonto,iskontoTut,KDVORAN,Durum,TerminTarihi,LotNo,OTVOran,SipharinxB,locked,SipPicture,Proje_D_Id,OzKod1,OzKod2,OzKod3,BagTeklifHarinx,kgid,insUN,insDT,insApp,updUN,updDT,updApp
89,1143,SF,LNRCNKLCZ3020,,1.0000000000,Çift,TL,216.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1143,,,,,,
89,1144,SF,LNRCNKHC15,,1.0000000000,Çift,TL,262.4930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1144,,,,,,
89,1145,SF,RCNCNT365,,1.0000000000,Çift,TL,286.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1145,,,,,,
89,1146,SF,RCN152,,1.0000000000,Çift,TL,220.4930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1146,,,,,,
89,1147,SF,LNRCNDPF140,,1.0000000000,Çift,TL,293.9900000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1147,,,,,,
89,1148,SF,LNRCNGLS304,,1.0000000000,Çift,TL,251.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1148,,,,,,
89,1149,SF,LNRCN958,,1.0000000000,Çift,TL,181.9930000000,,0E-10,8.0000000000,*,,,,,,,,,,,,1149,,,,,,
109,1498,F,RCNJLX20,,504.0000000000,Çift,TL,220.0000000000,0E-10,0E-10,8.0000000000,*,,,,,,,,,,,,1498,,,,,,
109,1499,F,LNRCNKM255,,496.0000000000,Çift,TL,220.0000000000,0E-10,0E-10,8.0000000000,*,,,,,,,,,,,,1499,,,,,,
176,2529,,LNRCNKLCZ100,,5.0000000000,Çift,TL,0E-10,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2529,,,,,,
177,2530,,LNRCNKCS050,,24.0000000000,Çift,TL,220.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2530,,,,,,
177,2531,,LNRCNKCS1441,,24.0000000000,Çift,TL,230.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2531,,,,,,
177,2532,,LNRCNKRNS380,,24.0000000000,Çift,TL,198.8000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2532,,,,,,
177,2533,,LNRCNKB640,,24.0000000000,Çift,TL,243.6000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2533,,,,,,
177,2536,,LNRCNKLCZ535,,24.0000000000,Çift,TL,300.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2536,,,,,,
177,2537,,LNRCNKZZ605,,24.0000000000,Çift,TL,257.6000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2537,,,,,,
180,2599,,LNRCNKM340,,8.0000000000,Çift,TL,0E-10,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2599,,,,,,
180,2600,,LNRCN197,,13.0000000000,Çift,TL,0E-10,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2600,,,,,,
181,2601,,RCNWLG072,,5.0000000000,Çift,TL,220.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2601,,,,,,
181,2602,,LNRCNKM255,,10.0000000000,Çift,TL,240.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2602,,,,,,
181,2603,,LNRCNDPF142,,5.0000000000,Çift,TL,300.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2603,,,,,,
181,2604,,LNRCNLTM04,,10.0000000000,Çift,TL,260.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2604,,,,,,
181,2605,,LNRCNLTM1013,,5.0000000000,Çift,TL,308.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2605,,,,,,
181,2610,,LNRCNKKSP144,,10.0000000000,Çift,TL,355.6000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2610,,,,,,
181,2611,,LNRCNDPF152,,5.0000000000,Çift,TL,320.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2611,,,,,,
181,2612,,LNRCNDPF151,,10.0000000000,Çift,TL,320.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2612,,,,,,
181,2613,,LNRCNDPF153,,10.0000000000,Çift,TL,320.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2613,,,,,,
181,2615,,LNRCNKM189,,15.0000000000,Çift,TL,243.6000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2615,,,,,,
181,2616,,LNRCNLTM1973,,10.0000000000,Çift,TL,274.4000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2616,,,,,,
181,2618,,LNRCNNT243,,5.0000000000,Çift,TL,240.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2618,,,,,,
181,2620,,LNRCNBSA553,,5.0000000000,Çift,TL,180.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2620,,,,,,
181,2622,,LNRCNKD801,,10.0000000000,Çift,TL,180.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2622,,,,,,
181,2623,,LNRCNKD901,,15.0000000000,Çift,TL,180.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2623,,,,,,
181,2626,,LNRCNKST101,,20.0000000000,Çift,TL,140.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2626,,,,,,
181,2629,,LNRCNKLCZ100,,10.0000000000,Çift,TL,220.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2629,,,,,,
181,2630,,LNRCNKLCZ110,,10.0000000000,Çift,TL,220.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2630,,,,,,
181,2631,,LNRCNKLCZ130,,10.0000000000,Çift,TL,220.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2631,,,,,,
181,2632,,LNRCNKLCZ190,,5.0000000000,Çift,TL,220.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2632,,,,,,
181,2633,,LNRCNKRNS355,,10.0000000000,Çift,TL,200.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2633,,,,,,
181,2634,,LNRCNKRM050,,10.0000000000,Çift,TL,200.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2634,,,,,,
181,2635,,LNRCNKLCZ103,,5.0000000000,Çift,TL,280.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2635,,,,,,
181,2637,,LNRCNKLCZ1800,,5.0000000000,Çift,TL,300.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2637,,,,,,
181,2638,,LNRCNKCD5000,,5.0000000000,Çift,TL,215.6000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2638,,,,,,
181,2640,,LNRCNKRNS518,,20.0000000000,Çift,TL,210.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2640,,,,,,
181,2641,,LNRCNKRNS918,,20.0000000000,Çift,TL,210.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2641,,,,,,
181,2643,,LNRCNKBL801,,10.0000000000,Çift,TL,180.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2643,,,,,,
181,2644,,LNRCNKVT369,,5.0000000000,Çift,TL,232.4000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2644,,,,,,
181,2645,,LNRCNKVT801,,5.0000000000,Çift,TL,210.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2645,,,,,,
181,2647,,LNRCNKVT390,,10.0000000000,Çift,TL,250.0000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2647,,,,,,
181,2648,,LNRCNKRNS380,,15.0000000000,Çift,TL,198.8000000000,0E-10,0E-10,8.0000000000,,,,,,,,,,,,,2648,,,,,,
288,4044,,LNRCNKLCZ230,,1.0000000000,ADET,TL,784.0000000000,0E-10,0E-10,8.0000000000,,2023-09-18 13:52:49.283000,,,,,,,,,,,4044,,,,,,
289,4045,,LNRCNKM299,,1.0000000000,ADET,TL,496.8000000000,0E-10,0E-10,8.0000000000,,2023-09-18 14:14:46.697000,,,,,,,,,,,4045,,,,,,
289,4046,,LNRCNKCS892Y,,1.0000000000,ADET,TL,516.0000000000,0E-10,0E-10,8.0000000000,,2023-09-18 14:14:47.377000,,,,,,,,,,,4046,,,,,,
509,8892,SF,LNRCNXSPX6,,3.0000000000,Çift,EU,13.6363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,8892,,,,,,
509,8893,SF,LNRCNTWG720,,1.0000000000,Çift,EU,11.8181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,8893,,,,,,
509,8894,SF,LNRCNKM299,,2.0000000000,Çift,EU,12.7272720000,,0E-10,10.0000000000,*,,,,,,,,,,,,8894,,,,,,
509,8895,SF,LNRCNKVT3000,,1.0000000000,Çift,EU,17.8500000000,,0E-10,10.0000000000,*,,,,,,,,,,,,8895,,,,,,
509,8896,SF,LNRCNKCS815Y,,1.0000000000,Çift,EU,15.4545450000,,0E-10,10.0000000000,*,,,,,,,,,,,,8896,,,,,,
509,8897,SF,LNRCN383,,1.0000000000,Çift,EU,14.0636360000,,0E-10,10.0000000000,*,,,,,,,,,,,,8897,,,,,,
509,8898,SF,LNRCNKM360,,8.0000000000,Çift,EU,13.6363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,8898,,,,,,
509,8899,SF,RCN716,,1.0000000000,Çift,EU,13.1363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,8899,,,,,,
509,8900,SF,LNRCNKETL502,,1.0000000000,Çift,EU,15.9181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,8900,,,,,,
509,8901,SF,LNRCNKETL634,,1.0000000000,Çift,EU,16.3045450000,,0E-10,10.0000000000,*,,,,,,,,,,,,8901,,,,,,
510,8902,SF,RCN716,,6.0000000000,Çift,EU,13.1363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,8902,,,,,,
510,8903,SF,LNRCNKM360,,36.0000000000,Çift,EU,13.6363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,8903,,,,,,
510,8904,SF,LNRCNKCS815Y,,6.0000000000,Çift,EU,15.4545450000,,0E-10,10.0000000000,*,,,,,,,,,,,,8904,,,,,,
510,8905,SF,LNRCNKKSP01,,2.0000000000,Çift,EU,15.6090900000,,0E-10,10.0000000000,*,,,,,,,,,,,,8905,,,,,,
510,8906,SF,LNRCNXSPX5,,3.0000000000,Çift,EU,12.7272720000,,0E-10,10.0000000000,*,,,,,,,,,,,,8906,,,,,,
510,8907,SF,LNRCNKM299,,12.0000000000,Çift,EU,12.7272720000,,0E-10,10.0000000000,*,,,,,,,,,,,,8907,,,,,,
510,8908,SF,LNRCNTWG720,,8.0000000000,Çift,EU,11.8181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,8908,,,,,,
510,8909,SF,LNRCNKLCZ217,,1.0000000000,Çift,EU,20.0136360000,,0E-10,10.0000000000,*,,,,,,,,,,,,8909,,,,,,
510,8910,SF,LNRCN383,,12.0000000000,Çift,EU,14.0636360000,,0E-10,10.0000000000,*,,,,,,,,,,,,8910,,,,,,
510,8911,SF,LNRCNKPSJ333,,5.0000000000,Çift,EU,14.1409090000,,0E-10,10.0000000000,*,,,,,,,,,,,,8911,,,,,,
510,8912,SF,LNRCNT63,,1.0000000000,Çift,EU,20.4000000000,,0E-10,10.0000000000,*,,,,,,,,,,,,8912,,,,,,
510,8913,SF,LNRCNXSPX6,,1.0000000000,Çift,EU,13.6363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,8913,,,,,,
510,8914,SF,LNRCNTWG285,,2.0000000000,Çift,EU,11.3636360000,,0E-10,10.0000000000,*,,,,,,,,,,,,8914,,,,,,
510,8915,SF,LNRCNKVT3000,,1.0000000000,Çift,EU,17.8500000000,,0E-10,10.0000000000,*,,,,,,,,,,,,8915,,,,,,
510,8916,SF,LNRCNKVT8511,,1.0000000000,Çift,EU,17.4636360000,,0E-10,10.0000000000,*,,,,,,,,,,,,8916,,,,,,
512,8933,SF,LNRCN383,,8.0000000000,Çift,EU,14.0636360000,,0E-10,10.0000000000,*,,,,,,,,,,,,8933,,,,,,
512,8934,SF,LNRCNKM299,,8.0000000000,Çift,EU,12.7272720000,,0E-10,10.0000000000,*,,,,,,,,,,,,8934,,,,,,
512,8935,SF,LNRCNKLCZ270,,4.0000000000,Çift,EU,19.3954540000,,0E-10,10.0000000000,*,,,,,,,,,,,,8935,,,,,,
512,8936,SF,LNRCNKKSP01,,2.0000000000,Çift,EU,15.6090900000,,0E-10,10.0000000000,*,,,,,,,,,,,,8936,,,,,,
512,8937,SF,LNRCNKETL507,,1.0000000000,Çift,EU,14.7590900000,,0E-10,10.0000000000,*,,,,,,,,,,,,8937,,,,,,
512,8938,SF,LNRCNKM360,,39.0000000000,Çift,EU,13.6363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,8938,,,,,,
512,8939,SF,LNRCNKZZ1402,,1.0000000000,Çift,EU,15.9181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,8939,,,,,,
512,8940,SF,LNRCNKPSJ333,,3.0000000000,Çift,EU,14.1409090000,,0E-10,10.0000000000,*,,,,,,,,,,,,8940,,,,,,
512,8941,SF,LNRCNXSPX6,,1.0000000000,Çift,EU,13.6363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,8941,,,,,,
512,8942,SF,LNRCNKCS892Y,,1.0000000000,Çift,EU,13.7545450000,,0E-10,10.0000000000,*,,,,,,,,,,,,8942,,,,,,
512,8943,SF,LNRCNKCS815Y,,5.0000000000,Çift,EU,15.4545450000,,0E-10,10.0000000000,*,,,,,,,,,,,,8943,,,,,,
512,8944,SF,LNRCNKVT5001,,2.0000000000,Çift,EU,16.4590900000,,0E-10,10.0000000000,*,,,,,,,,,,,,8944,,,,,,
512,8945,SF,LNRCNTWG720,,4.0000000000,Çift,EU,11.8181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,8945,,,,,,
512,8946,SF,LNRCNKZZ1403,,2.0000000000,Çift,EU,14.3727270000,,0E-10,10.0000000000,*,,,,,,,,,,,,8946,,,,,,
512,8947,SF,LNRCNT63,,1.0000000000,Çift,EU,20.4000000000,,0E-10,10.0000000000,*,,,,,,,,,,,,8947,,,,,,
512,8948,SF,LNRCNKZZ1410,,1.0000000000,Çift,EU,15.3772720000,,0E-10,10.0000000000,*,,,,,,,,,,,,8948,,,,,,
512,8949,SF,LNRCNKLCZ217,,1.0000000000,Çift,EU,20.0136360000,,0E-10,10.0000000000,*,,,,,,,,,,,,8949,,,,,,
512,8950,SF,LNRCNKLCZ690,,1.0000000000,Çift,EU,20.0136360000,,0E-10,10.0000000000,*,,,,,,,,,,,,8950,,,,,,
512,8951,SF,LNRCN369,,1.0000000000,Çift,EU,11.3636360000,,0E-10,10.0000000000,*,,,,,,,,,,,,8951,,,,,,
512,8952,SF,LNRCNKB470,,1.0000000000,Çift,EU,15.6090900000,,0E-10,10.0000000000,*,,,,,,,,,,,,8952,,,,,,
512,8953,SF,LNRCNKZZ1401,,2.0000000000,Çift,EU,16.3045450000,,0E-10,10.0000000000,*,,,,,,,,,,,,8953,,,,,,
512,8954,SF,LNRCNT2935,,1.0000000000,Çift,EU,13.4454540000,,0E-10,10.0000000000,*,,,,,,,,,,,,8954,,,,,,
515,8971,,LNRCNKRNS355,,8.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8971,,,,,,
515,8972,,LNRCNKRNS355,,8.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8972,,,,,,
515,8973,,LNRCNKRNS355,,8.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8973,,,,,,
515,8974,,LNRCNKRNS355,,24.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8974,,,,,,
515,8975,,LNRCNKRNS355,,24.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8975,,,,,,
515,8976,,LNRCNKRNS355,,8.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8976,,,,,,
515,8977,,LNRCNKRNS355,,8.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8977,,,,,,
515,8978,,LNRCNKRNS3801,,8.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8978,,,,,,
515,8979,,LNRCNKRNS3801,,8.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8979,,,,,,
515,8980,,LNRCNKRNS3801,,16.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8980,,,,,,
515,8981,,LNRCNKRNS3801,,24.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8981,,,,,,
515,8982,,LNRCNKRNS3801,,40.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8982,,,,,,
515,8983,,LNRCNKRNS3801,,32.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8983,,,,,,
515,8984,,LNRCNKRNS3801,,8.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8984,,,,,,
515,8985,,LNRCNKRNS3801,,40.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8985,,,,,,
515,8986,,LNRCNKRNS3801,,40.0000000000,Çift,TL,0E-10,0E-10,0E-10,10.0000000000,,,,,,,,,,,,,8986,,,,,,
530,9177,SF,LNRCNTWG720,,3.0000000000,Çift,EU,11.8181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,9177,,,,,,
530,9178,SF,LNRCNKM299,,2.0000000000,Çift,EU,12.7272720000,,0E-10,10.0000000000,*,,,,,,,,,,,,9178,,,,,,
530,9179,SF,LNRCNKM360,,11.0000000000,Çift,EU,13.6363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,9179,,,,,,
530,9180,SF,LNRCNKZZ1403,,1.0000000000,Çift,EU,14.3727270000,,0E-10,10.0000000000,*,,,,,,,,,,,,9180,,,,,,
530,9181,SF,RCN716,,1.0000000000,Çift,EU,13.1363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,9181,,,,,,
530,9182,SF,LNRCNXSPX5,,1.0000000000,Çift,EU,12.7272720000,,0E-10,10.0000000000,*,,,,,,,,,,,,9182,,,,,,
530,9183,SF,LNRCNKVT3000,,1.0000000000,Çift,EU,17.8500000000,,0E-10,10.0000000000,*,,,,,,,,,,,,9183,,,,,,
531,9184,SF,LNRCNKM360,,37.0000000000,Çift,EU,13.6363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,9184,,,,,,
531,9185,SF,LNRCNKCS815Y,,6.0000000000,Çift,EU,15.4545450000,,0E-10,10.0000000000,*,,,,,,,,,,,,9185,,,,,,
531,9186,SF,LNRCNTWG720,,3.0000000000,Çift,EU,11.8181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,9186,,,,,,
531,9187,SF,LNRCN383,,7.0000000000,Çift,EU,14.0636360000,,0E-10,10.0000000000,*,,,,,,,,,,,,9187,,,,,,
531,9188,SF,LNRCNKETL505,,1.0000000000,Çift,EU,15.9181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,9188,,,,,,
531,9189,SF,LNRCNKETL502,,1.0000000000,Çift,EU,15.9181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,9189,,,,,,
531,9190,SF,LNRCNKM299,,6.0000000000,Çift,EU,13.0000000000,,0E-10,10.0000000000,*,,,,,,,,,,,,9190,,,,,,
531,9191,SF,LNRCNKPSJ333,,4.0000000000,Çift,EU,14.1409090000,,0E-10,10.0000000000,*,,,,,,,,,,,,9191,,,,,,
531,9192,SF,LNRCNXSPX6,,1.0000000000,Çift,EU,14.0000000000,,0E-10,10.0000000000,*,,,,,,,,,,,,9192,,,,,,
531,9193,SF,LNRCNKETL507,,1.0000000000,Çift,EU,14.7590900000,,0E-10,10.0000000000,*,,,,,,,,,,,,9193,,,,,,
531,9194,SF,LNRCNKZZ1401,,3.0000000000,Çift,EU,16.0000000000,,0E-10,10.0000000000,*,,,,,,,,,,,,9194,,,,,,
531,9195,SF,LNRCNKZZ1402,,1.0000000000,Çift,EU,15.9181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,9195,,,,,,
531,9196,SF,RCN716,,1.0000000000,Çift,EU,13.1363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,9196,,,,,,
554,9354,SF,LNRCN383,,11.0000000000,Çift,EU,14.0636360000,,0E-10,10.0000000000,*,,,,,,,,,,,,9354,,,,,,
554,9355,SF,LNRCNKKSP01,,1.0000000000,Çift,EU,15.6090900000,,0E-10,10.0000000000,*,,,,,,,,,,,,9355,,,,,,
554,9356,SF,LNRCNKM299,,3.0000000000,Çift,EU,12.7272720000,,0E-10,10.0000000000,*,,,,,,,,,,,,9356,,,,,,
554,9357,SF,LNRCNKM360,,24.0000000000,Çift,EU,13.6363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,9357,,,,,,
554,9358,SF,LNRCNKPSJ333,,4.0000000000,Çift,EU,14.1409090000,,0E-10,10.0000000000,*,,,,,,,,,,,,9358,,,,,,
554,9359,SF,LNRCNKCS815Y,,1.0000000000,Çift,EU,15.4545450000,,0E-10,10.0000000000,*,,,,,,,,,,,,9359,,,,,,
554,9360,SF,LNRCNTWG720,,4.0000000000,Çift,EU,11.8181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,9360,,,,,,
554,9361,SF,LNRCNKZZ1401,,1.0000000000,Çift,EU,16.3045450000,,0E-10,10.0000000000,*,,,,,,,,,,,,9361,,,,,,
554,9362,SF,LNRCNKVT5001,,2.0000000000,Çift,EU,16.4590900000,,0E-10,10.0000000000,*,,,,,,,,,,,,9362,,,,,,
554,9363,SF,LNRCNT63,,2.0000000000,Çift,EU,20.4000000000,,0E-10,10.0000000000,*,,,,,,,,,,,,9363,,,,,,
554,9364,SF,LNRCNKLCZ690,,1.0000000000,Çift,EU,20.0136360000,,0E-10,10.0000000000,*,,,,,,,,,,,,9364,,,,,,
554,9365,SF,LNRCNXSPX5,,1.0000000000,Çift,EU,12.7272720000,,0E-10,10.0000000000,*,,,,,,,,,,,,9365,,,,,,
554,9366,SF,RCN716,,1.0000000000,Çift,EU,13.1363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,9366,,,,,,
555,9367,SF,LNRCNKM360,,5.0000000000,Çift,EU,13.6363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,9367,,,,,,
555,9368,SF,LNRCN383,,2.0000000000,Çift,EU,14.0636360000,,0E-10,10.0000000000,*,,,,,,,,,,,,9368,,,,,,
555,9369,SF,LNRCNXSPX5,,1.0000000000,Çift,EU,12.7272720000,,0E-10,10.0000000000,*,,,,,,,,,,,,9369,,,,,,
555,9370,SF,RCN716,,1.0000000000,Çift,EU,13.1363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,9370,,,,,,
555,9371,SF,LNRCNKCS815Y,,1.0000000000,Çift,EU,15.4545450000,,0E-10,10.0000000000,*,,,,,,,,,,,,9371,,,,,,
555,9372,SF,LNRCNTWG720,,2.0000000000,Çift,EU,11.8181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,9372,,,,,,
555,9373,SF,LNRCNKLCZ217,,1.0000000000,Çift,EU,20.0136360000,,0E-10,10.0000000000,*,,,,,,,,,,,,9373,,,,,,
556,9374,SF,LNRCN383,,7.0000000000,Çift,EU,14.0636360000,,0E-10,10.0000000000,*,,,,,,,,,,,,9374,,,,,,
556,9375,SF,LNRCNTWG720,,3.0000000000,Çift,EU,11.8181810000,,0E-10,10.0000000000,*,,,,,,,,,,,,9375,,,,,,
556,9376,SF,LNRCNKM360,,15.0000000000,Çift,EU,13.6363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,9376,,,,,,
556,9377,SF,LNRCNKETL501,,2.0000000000,Çift,EU,18.2363630000,,0E-10,10.0000000000,*,,,,,,,,,,,,9377,,,,,,
556,9378,SF,LNRCNKM299,,3.0000000000,Çift,EU,12.7272720000,,0E-10,10.0000000000,*,,,,,,,,,,,,9378,,,,,,
556,9379,SF,LNRCNKB475,,1.0000000000,Çift,EU,15.6090900000,,0E-10,10.0000000000,*,,,,,,,,,,,,9379,,,,,,
556,9380,SF,LNRCNKZZ1401,,1.0000000000,Çift,EU,16.3045450000,,0E-10,10.0000000000,*,,,,,,,,,,,,9380,,,,,,
556,9381,SF,RCNGLS2262,,1.0000000000,Çift,EU,14.4500000000,,0E-10,10.0000000000,*,,,,,,,,,,,,9381,,,,,,
556,9382,SF,LNRCNKLCZ270,,1.0000000000,Çift,EU,19.3954540000,,0E-10,10.0000000000,*,,,,,,,,,,,,9382,,,,,,
