FisTip,FisNo,Location,HucreNo,BelgeNo,kgid,insUN,insDT,insApp,updUN,updDT,updApp
0,1092,LN001,10026,,4957,,,,,,
0,1094,LN001,10028,,4975,,,,,,
0,1095,LN001,10029,,5012,,,,,,
0,1096,LN001,10030,,5022,,,,,,
0,1098,LN001,10031,,5031,,,,,,
0,1099,LN001,10032,,5032,,,,,,
0,1100,LN001,10033,,5105,,,,,,
0,1101,LN001,10034,,5136,,,,,,
0,1102,LN001,10035,,5167,,,,,,
0,1105,Ln001,10036,,5169,,,,,,
0,1106,Ln001,10037,,5197,,,,,,
0,1108,LN001,10038,,5286,Yasar,2024-10-09 10:59:22.013000,KGWMSREST,,,
0,1110,Ln001,10039,,5420,DeryaYD,2024-10-10 12:01:58.787000,KGWMSREST,,,
0,1111,LN001,10040,,5503,DeryaYD,2024-10-11 11:55:53.573000,KGWMSREST,,,
0,1113,LN001,10041,,5592,Yasar,2024-10-12 12:00:51.597000,KGWMSREST,,,
0,1115,LN001,10043,,5741,DeryaYD,2024-10-14 14:01:47.320000,KGWMSREST,,,
0,1117,LN001,10042,,5791,DeryaYD,2024-10-15 11:29:58.333000,KGWMSREST,,,
2,1078993,LN001,26,,5659,2derya,2024-10-14 11:39:02.087000,KGWMSREST,,,
2,1080516,LN001,32,,5890,2derya,2024-10-16 09:59:50.793000,KGWMSREST,,,
2,1080550,LN001,29,,5887,2derya,2024-10-16 09:57:57.340000,KGWMSREST,,,
2,1080907,LN001,24,,5875,2derya,2024-10-16 09:28:13.300000,KGWMSREST,,,
2,1080942,LN001,5,,5884,2derya,2024-10-16 09:55:10.507000,KGWMSREST,,,
2,1081032,LN001,13,,5927,2derya,2024-10-16 11:52:54.630000,KGWMSREST,,,
2,1081085,LN001,27,,5879,2derya,2024-10-16 09:38:21.473000,KGWMSREST,,,
2,1081098,LN001,22,,5873,2derya,2024-10-16 09:27:52.763000,KGWMSREST,,,
2,1081102,LN001,1,,5930,2derya,2024-10-16 12:07:25.183000,KGWMSREST,,,
2,1081130,LN001,30,,5921,kadir,2024-10-16 11:18:36.913000,KGWMSREST,,,
2,1081142,LN001,3,,5914,2derya,2024-10-16 11:00:29.357000,KGWMSREST,,,
2,1081152,LN001,7,,5928,2derya,2024-10-16 11:54:47.283000,KGWMSREST,,,
2,1081159,LN001,6,,5931,2derya,2024-10-16 12:11:09.700000,KGWMSREST,,,
2,1081172,LN001,9,,5915,kadir,2024-10-16 11:07:32.870000,KGWMSREST,,,
2,1081177,LN001,15,,5910,2derya,2024-10-16 10:57:23.057000,KGWMSREST,,,
2,1081185,LN001,17,,5905,2derya,2024-10-16 10:50:15.123000,KGWMSREST,,,
2,1081220,LN001,25,,5919,kadir,2024-10-16 11:15:46.640000,KGWMSREST,,,
2,1081248,LN001,31,,5923,kadir,2024-10-16 11:29:44.557000,KGWMSREST,,,
2,1081266,LN001,2,,5932,2derya,2024-10-16 12:18:39.573000,KGWMSREST,,,
