AreaCode,CityCode,AreaDescriptionTr,AreaDescriptionEN,LinkedArea,kgid,insUN,insDT,insApp,updUN,updDT,updApp
3363,50,GÜMÜŞKENT,GUMUSKENT,690,95,,,,,,
3364,50,KARACAŞAR,KARACASAR,690,96,,,,,,
3365,50,OVAÖREN,OVAOREN,690,97,,,,,,
3366,50,TUZKÖY,TUZKOY,690,98,,,,,,
3367,50,KARABURNA,KARABURNA,691,99,,,,,,
3368,50,KIZILAĞIL,KIZILAGIL,691,100,,,,,,
3369,50,KALECİK,KALECIK,694,101,,,,,,
3370,50,KANLICA,KANLICA,694,102,,,,,,
3371,50,KARAHASANLI,KARAHASANLI,694,103,,,,,,
3372,50,KARASENİR,KARASENIR,694,104,,,,,,
3373,50,AKSALUR,AKSALUR,696,105,,,,,,
3374,50,BAŞDERE,BASDERE,696,106,,,,,,
3375,50,MUSTAFAPAŞA,MUSTAFAPASA,696,107,,,,,,
3376,51,AKTAŞ,AKTAS,701,108,,,,,,
3377,51,ALAY,ALAY,701,109,,,,,,
3378,51,BAĞLAMA,BAGLAMA,701,110,,,,,,
3379,51,ÇAVDARLI,CAVDARLI,701,111,,,,,,
3380,51,ÇAYIRLI,CAYIRLI,701,112,,,,,,
3381,51,DEĞİRMENLİ,DEGIRMENLI,701,113,,,,,,
3382,51,DİKİLİTAŞ,DIKILITAS,701,114,,,,,,
3383,51,DÜNDARLI,DUNDARLI,701,115,,,,,,
3384,51,EDİKLİ,EDIKLI,701,116,,,,,,
3385,51,ELMALI,ELMALI,701,117,,,,,,
3386,51,FERTEK,FERTEK,701,118,,,,,,
3387,51,GÜMÜŞLER,GUMUSLER,701,119,,,,,,
3388,51,HACIABDULLAH,HACIABDULLAH,701,120,,,,,,
3467,52,FATİH,FATIH,717,121,,,,,,
3468,52,HANYANI,HANYANI,717,122,,,,,,
3469,52,İNKUR,INKUR,717,123,,,,,,
3470,52,PELİTLİYATAK,PELITLIYATAK,717,124,,,,,,
3471,52,TEKKİRAZ,TEKKIRAZ,717,125,,,,,,
3472,52,YENİKENT,YENIKENT,717,126,,,,,,
3473,52,YEŞİLKENT,YESILKENT,717,127,,,,,,
3474,53,ÇAYKENT,CAYKENT,726,128,,,,,,
3475,53,KENDİRLİ,KENDIRLI,726,129,,,,,,
3476,53,MURADİYE,MURADIYE,726,130,,,,,,
3477,53,TUNCA,TUNCA,727,131,,,,,,
3478,53,BÜYÜKKÖY,BUYUKKOY,728,132,,,,,,
3479,53,MADENLİ,MADENLI,728,133,,,,,,
3480,53,GÜNEYCE,GUNEYCE,738,134,,,,,,
3481,53,YOLBAŞI,YOLBASI,730,135,,,,,,
3482,54,GÖLKENT,GOLKENT,753,136,,,,,,
3483,54,SİNANOĞLU,SINANOGLU,753,137,,,,,,
3484,54,ALTINDERE,ALTINDERE,742,138,,,,,,
3485,54,DOKURCUN,DOKURCUN,742,139,,,,,,
3486,54,GÜCÜCEK,GUCUCEK,742,140,,,,,,
3487,54,KUZULUK,KUZULUK,742,141,,,,,,
3488,54,ÇAMLICA,CAMLICA,746,142,,,,,,
3489,54,YEŞİLYURT,YESILYURT,746,143,,,,,,
3490,54,DARIÇAYIRI,DARICAYIRI,747,144,,,,,,
3491,54,KURUDERE,KURUDERE,747,145,,,,,,
3492,54,LİMANDERE,LIMANDERE,747,146,,,,,,
3493,54,YUVALIDERE,YUVALIDERE,747,147,,,,,,
3494,54,ORTAKÖY,ORTAKOY,749,148,,,,,,
3495,54,KIRKPINAR,KIRKPINAR,751,149,,,,,,
3496,54,KURTKÖY,KURTKOY,751,150,,,,,,
3497,55,ALTINKUM,ALTINKUM,4076,151,,,,,,
3498,55,ATAKENT,ATAKENT,4076,152,,,,,,
3499,55,ÇATALÇAM,CATALCAM,4076,153,,,,,,
3500,55,KURUPELİT,KURUPELIT,4076,154,,,,,,
3501,55,TAFLAN,TAFLAN,4076,155,,,,,,
3502,55,YEŞİLKENT,YESILKENT,4076,156,,,,,,
3503,55,İKİZPINAR,IKIZPINAR,758,157,,,,,,
3504,55,ÇETİNKAYA,CETINKAYA,758,158,,,,,,
3505,55,DOĞANCA,DOGANCA,758,159,,,,,,
3506,55,KOLAY,KOLAY,758,160,,,,,,
3507,55,AĞCAGÜNEY,AGCAGUNEY,759,161,,,,,,
3508,55,ÇINARLIK,CINARLIK,759,162,,,,,,
3509,55,DİKBIYIK,DIKBIYIK,759,163,,,,,,
3510,55,HÜRRİYET,HURRIYET,759,164,,,,,,
3511,55,BEKDİĞİN,BEKDIGIN,760,165,,,,,,
3512,55,ILICA,ILICA,760,166,,,,,,
3513,55,DEREKÖY,DEREKOY,766,167,,,,,,
3514,55,YÖRÜKLER,YORUKLER,766,168,,,,,,
3515,55,AŞAĞIÇİNİK,ASAGICINIK,770,169,,,,,,
3516,55,BÜYÜKLÜ,BUYUKLU,770,170,,,,,,
3517,55,AMBARTEPE,AMBARTEPE,763,171,,,,,,
3518,55,BAZLAMAÇ,BAZLAMAC,763,172,,,,,,
3519,55,EVCİ,EVCI,763,173,,,,,,
3520,55,GÖLYAZI,GOLYAZI,763,174,,,,,,
3521,55,HÜSEYİNMESCİT,HUSEYINMESCIT,763,175,,,,,,
3522,55,KOCAMAN,KOCAMAN,763,176,,,,,,
3523,55,KOZLUK,KOZLUK,763,177,,,,,,
3524,55,SAKARLI,SAKARLI,763,178,,,,,,
3525,55,SÖĞÜTLÜ,SOGUTLU,763,179,,,,,,
3526,55,GÖL,GOL,764,180,,,,,,
3527,55,NARLISARAY,NARLISARAY,764,181,,,,,,
3528,56,GÖKÇEBAĞ,GOKCEBAG,771,182,,,,,,
3529,56,ATABAĞI,ATABAGI,773,183,,,,,,
3530,56,ZİYARET,ZIYARET,773,184,,,,,,
3531,56,GÖZPINAR,GOZPINAR,774,185,,,,,,
3532,56,KAYABAĞLAR,KAYABAGLAR,774,186,,,,,,
3533,57,YENİKENT,YENIKENT,783,187,,,,,,
3534,57,GÜZELKENT,GUZELKENT,784,188,,,,,,
3535,58,GÜMÜŞDERE,GUMUSDERE,787,189,,,,,,
3536,58,KURTPALA,KURTPALA,787,190,,,,,,
3537,58,YAKUPOĞLAN,YAKUPOGLAN,787,191,,,,,,
3538,58,YILDIZ,YILDIZ,787,192,,,,,,
3539,58,DELİİLYAS,DELIILYAS,802,193,,,,,,
3540,58,KALE,KALE,802,194,,,,,,
3541,58,ÇEPNİ,CEPNI,789,195,,,,,,
3542,58,EĞERCİ,EGERCI,789,196,,,,,,
3543,58,SIZIR,SIZIR,789,197,,,,,,
3544,58,SUÇATI,SUCATI,790,198,,,,,,
3627,60,BÜŞÜRÜM,BUSURUM,821,199,,,,,,
3628,60,CİMİTEKKE,CIMITEKKE,821,200,,,,,,
3629,60,ÇEVRECİK,CEVRECIK,821,201,,,,,,
3630,60,DEMİRCİLİ,DEMIRCILI,821,202,,,,,,
3631,60,HASANŞEYH,HASANSEYH,821,203,,,,,,
3632,60,KIZILCAÖREN,KIZILCAOREN,821,204,,,,,,
3633,60,KUZBAĞI,KUZBAGI,821,205,,,,,,
3634,60,NEBİŞEYH,NEBISEYH,821,206,,,,,,
3635,60,SOĞUKPINAR,SOGUKPINAR,821,207,,,,,,
3636,60,YOLÜSTÜ,YOLUSTU,821,208,,,,,,
3637,60,DUTLUCA,DUTLUCA,827,209,,,,,,
3638,60,ÇAYLI,CAYLI,822,210,,,,,,
3639,60,KAT,KAT,822,211,,,,,,
3640,60,ŞENYURT,SENYURT,822,212,,,,,,
3641,60,ULUTEPE,ULUTEPE,822,213,,,,,,
3642,60,YAZITEPE,YAZITEPE,822,214,,,,,,
3643,60,YENİSU,YENISU,822,215,,,,,,
3644,60,ÇIKRIK,CIKRIK,825,216,,,,,,
3645,60,KUŞÇU,KUSCU,825,217,,,,,,
3646,60,EVRENKÖY,EVRENKOY,823,218,,,,,,
3647,60,GÜZELBEYLİ,GUZELBEYLI,823,219,,,,,,
3648,60,YALINYAZI,YALINYAZI,823,220,,,,,,
3649,60,YILDIZTEPE,YILDIZTEPE,823,221,,,,,,
3650,61,AKOLUK,AKOLUK,828,222,,,,,,
3651,61,AKYAZI,AKYAZI,828,223,,,,,,
3652,61,ÇAĞLAYAN,CAGLAYAN,828,224,,,,,,
3653,61,ÇUKURÇAYIR,CUKURCAYIR,828,225,,,,,,
3654,61,GÜRBULAK,GURBULAK,828,226,,,,,,
3655,61,PELİTLİ,PELITLI,828,227,,,,,,
3656,61,YALINCAK,YALINCAK,828,228,,,,,,
3657,61,YEŞİLOVA,YESILOVA,828,229,,,,,,
3658,61,ADACIK,ADACIK,829,230,,,,,,
3659,61,AKÇAKALE,AKCAKALE,829,231,,,,,,
3660,61,AKÇAKÖY,AKCAKOY,829,232,,,,,,
3661,61,AKPINAR,AKPINAR,829,233,,,,,,
3662,61,DARICA,DARICA,829,234,,,,,,
3663,61,DERECİK,DERECIK,829,235,,,,,,
3664,61,DOĞANKÖY,DOGANKOY,829,236,,,,,,
3665,61,DÖRTYOL,DORTYOL,829,237,,,,,,
3666,61,IŞIKLAR,ISIKLAR,829,238,,,,,,
3667,61,KAVAKLI,KAVAKLI,829,239,,,,,,
3668,61,MERSİN,MERSIN,829,240,,,,,,
3669,61,SÖĞÜTLÜ,SOGUTLU,829,241,,,,,,
3670,61,ŞİNİK,SINIK,829,242,,,,,,
3671,61,YILDIZLI,YILDIZLI,829,243,,,,,,
3672,61,ÇANKAYA,CANKAYA,830,244,,,,,,
3673,61,ERENLER,ERENLER,830,245,,,,,,
3674,61,YEŞİLYURT,YESILYURT,830,246,,,,,,
3675,61,ATAYURT,ATAYURT,841,247,,,,,,
3676,61,FINDIKLI,FINDIKLI,841,248,,,,,,
3677,61,YEŞİLYALI,YESILYALI,841,249,,,,,,
3678,61,TÜRKELLİ,TURKELLI,839,250,,,,,,
3679,61,YEŞİLKÖY,YESILKOY,839,251,,,,,,
3680,61,ATAKÖY,ATAKOY,842,252,,,,,,
3681,61,KARAÇAM,KARACAM,842,253,,,,,,
3682,61,TAŞKIRAN,TASKIRAN,842,254,,,,,,
3683,61,UZUNGÖL,UZUNGOL,842,255,,,,,,
3684,61,AYKUT,AYKUT,847,256,,,,,,
3685,61,ÇALKÖY,CALKOY,847,257,,,,,,
3686,61,ÇAYIRBAĞI,CAYIRBAGI,847,258,,,,,,
3687,61,BALABAN,BALABAN,832,259,,,,,,
3688,61,GÜLDEREN,GULDEREN,832,260,,,,,,
3689,61,BEŞKÖY,BESKOY,848,261,,,,,,
3690,61,ESİROĞLU,ESIROGLU,838,262,,,,,,
3691,61,ŞAHİNKAYA,SAHINKAYA,838,263,,,,,,
3692,61,BALLICA,BALLICA,840,264,,,,,,
3693,61,BÖLÜMLÜ,BOLUMLU,840,265,,,,,,
3694,61,CUMAPAZARI,CUMAPAZARI,840,266,,,,,,
3695,61,ESKİPAZAR,ESKIPAZAR,840,267,,,,,,
3696,61,GÜRPINAR,GURPINAR,840,268,,,,,,
3697,61,UĞURLU,UGURLU,840,269,,,,,,
3698,61,ÇAMBURNU,CAMBURNU,836,270,,,,,,
3699,61,ORMANSEVEN,ORMANSEVEN,836,271,,,,,,
3700,61,OYLUM,OYLUM,836,272,,,,,,
3701,61,YENİAY,YENIAY,836,273,,,,,,
3702,61,GEYİKLİ,GEYIKLI,837,274,,,,,,
3703,61,İSKENDERLİ,ISKENDERLI,834,275,,,,,,
3704,61,YALIKÖY,YALIKOY,831,276,,,,,,
3705,61,KAŞÜSTÜ,KASUSTU,833,277,,,,,,
3706,61,OYMALITEPE,OYMALITEPE,833,278,,,,,,
3707,61,ÖZDİL,OZDIL,833,279,,,,,,
3708,62,AKPAZAR,AKPAZAR,852,280,,,,,,
3709,62,DARIKENT,DARIKENT,852,281,,,,,,
3794,67,ÖZBAĞI,OZBAGI,907,282,,,,,,
3795,67,EĞERCİ,EGERCI,907,283,,,,,,
3796,67,BAKACAKKADI,BAKACAKKADI,908,284,,,,,,
3797,67,HACIMUSA,HACIMUSA,908,285,,,,,,
3803,67,ÖĞBERLER,OGBERLER,4080,286,,,,,,
3804,68,SAĞLIK,SAGLIK,917,287,,,,,,
3805,68,SARAYHAN,SARAYHAN,917,288,,,,,,
3806,68,DOĞANTARLA,DOGANTARLA,917,289,,,,,,
3807,68,SEVİNÇLİ,SEVINCLI,917,290,,,,,,
3808,68,ACIPINAR,ACIPINAR,917,291,,,,,,
3809,68,AKÇAKENT,AKCAKENT,917,292,,,,,,
3810,68,HAMİDİYE,HAMIDIYE,917,293,,,,,,
3811,68,SULTANHANI,SULTANHANI,917,294,,,,,,
3812,68,ALTINKAYA,ALTINKAYA,917,295,,,,,,
3813,68,TAŞPINAR,TASPINAR,917,296,,,,,,
3814,68,ARATOL,ARATOL,917,297,,,,,,
3815,68,HELVADERE,HELVADERE,917,298,,,,,,
3816,68,TOPAKKAYA,TOPAKKAYA,917,299,,,,,,
3817,68,ARMUTLU,ARMUTLU,917,300,,,,,,
3818,68,ULUKIŞLA,ULUKISLA,917,301,,,,,,
3819,68,BAĞLIKAYA,BAGLIKAYA,917,302,,,,,,
3820,68,YENİKENT,YENIKENT,917,303,,,,,,
3821,68,İNCESU,INCESU,917,304,,,,,,
3822,68,YEŞİLOVA,YESILOVA,917,305,,,,,,
3823,68,KARKIN,KARKIN,917,306,,,,,,
3824,68,YEŞİLTEPE,YESILTEPE,917,307,,,,,,
3825,68,KUTLU,KUTLU,917,308,,,,,,
3826,68,YUVA,YUVA,917,309,,,,,,
3827,68,CAMİLİ,CAMILI,918,310,,,,,,
3828,68,EŞMEKAYA,ESMEKAYA,923,311,,,,,,
3829,68,SARATLI,SARATLI,922,312,,,,,,
3830,68,DEMİRCİ,DEMIRCI,922,313,,,,,,
3831,68,GÜLPINAR,GULPINAR,922,314,,,,,,
3832,68,SOFULAR,SOFULAR,922,315,,,,,,
3833,68,BEKARLAR,BEKARLAR,922,316,,,,,,
3834,68,SELİME,SELIME,919,317,,,,,,
3835,68,IHLARA,IHLARA,919,318,,,,,,
3836,68,ILISU,ILISU,919,319,,,,,,
3837,68,BOZKIR,BOZKIR,920,320,,,,,,
3838,68,OZANCIK,OZANCIK,920,321,,,,,,
3839,68,ÇİFTEVİ,CIFTEVI,920,322,,,,,,
3840,68,DEVEDAMI,DEVEDAMI,920,323,,,,,,
3841,68,SARIKARAMAN,SARIKARAMAN,920,324,,,,,,
3842,68,HARMANDALI,HARMANDALI,920,325,,,,,,
3843,68,BALCI,BALCI,920,326,,,,,,
3844,68,BOĞAZKÖY,BOGAZKOY,921,327,,,,,,
3845,69,AKŞAR,AKSAR,924,328,,,,,,
3846,69,ARPALI,ARPALI,924,329,,,,,,
3847,69,ÇAYIRYOLU,CAYIRYOLU,924,330,,,,,,
3848,69,KONURSU,KONURSU,924,331,,,,,,
3849,69,BEŞPINAR,BESPINAR,926,332,,,,,,
3850,69,GÖKÇEDERE,GOKCEDERE,926,333,,,,,,
3851,70,AKÇAŞEHİR,AKCASEHIR,927,334,,,,,,
3852,70,KİSECİK,KISECIK,927,335,,,,,,
3853,70,SUDURAĞI,SUDURAGI,927,336,,,,,,
3854,70,TAŞKALE,TASKALE,927,337,,,,,,
3855,70,YEŞİLDERE,YESILDERE,927,338,,,,,,
3856,70,YOLLARBAŞI,YOLLARBASI,927,339,,,,,,
3857,70,GÜNEYYURT,GUNEYYURT,929,340,,,,,,
3858,70,KAZANCI,KAZANCI,929,341,,,,,,
3859,70,GÖKTEPE,GOKTEPE,932,342,,,,,,
3860,71,AHILI,AHILI,933,343,,,,,,
3861,71,AŞAĞIMAHMUTLAR,ASAGIMAHMUTLAR,71,344,,,,,,
3862,71,ÇULLU,CULLU,933,345,,,,,,
3863,71,HACILAR,HACILAR,933,346,,,,,,
3864,71,HASANDEDE,HASANDEDE,933,347,,,,,,
3865,71,KARAAHMETLİ,KARAAHMETLI,938,348,,,,,,
3866,71,KOÇUBABA,KOCUBABA,939,349,,,,,,
3867,71,KULAKSIZ,KULAKSIZ,939,350,,,,,,
3868,71,BÜYÜKAFŞAR,BUYUKAFSAR,935,351,,,,,,
3869,71,BÜYÜKYAĞLI,BUYUKYAGLI,935,352,,,,,,
3870,71,ÇERİKLİ,CERIKLI,935,353,,,,,,
3871,71,CERİTMÜMİNLİ,CERITMUMINLI,936,354,,,,,,
3872,71,KONUR,KONUR,936,355,,,,,,
3873,71,KÖPRÜ,KOPRU,936,356,,,,,,
3874,71,GÜZELYURT,GUZELYURT,937,357,,,,,,
3875,71,HAMZALI,HAMZALI,937,358,,,,,,
3876,71,IRMAK,IRMAK,942,359,,,,,,
3877,71,KILIÇLAR,KILICLAR,942,360,,,,,,
3963,46,SÖĞÜTLÜ,SOGUTLU,647,361,,,,,,
3964,46,BOZHÜYÜK,BOZHUYUK,648,362,,,,,,
3965,46,BÜYÜKKIZILCIK,BUYUKKIZILCIK,648,363,,,,,,
3966,46,ÇARDAK,CARDAK,648,364,,,,,,
3967,46,DEĞİRMENDERE,DEGIRMENDERE,648,365,,,,,,
3968,46,ERİCEK,ERICEK,648,366,,,,,,
3969,46,KANLIKAVAK,KANLIKAVAK,648,367,,,,,,
3970,46,TAŞOLUK,TASOLUK,648,368,,,,,,
3971,46,BARIŞ,BARIS,652,369,,,,,,
3972,46,KULLARTATLARI,KULLARTATLARI,652,370,,,,,,
3973,46,YEŞİLKENT,YESILKENT,652,371,,,,,,
3974,46,BÜYÜKNACAR,BUYUKNACAR,649,372,,,,,,
3975,46,EVRİ,EVRI,649,373,,,,,,
3976,46,NARLI,NARLI,649,374,,,,,,
3977,46,YUMAKLICERİT,YUMAKLICERIT,649,375,,,,,,
3978,46,BEYOĞLU,BEYOGLU,650,376,,,,,,
3979,46,KILILI,KILILI,650,377,,,,,,
3980,46,ŞEKEROBA,SEKEROBA,650,378,,,,,,
3981,46,YEŞİLYÖRE,YESILYORE,650,379,,,,,,
3982,63,KARAKÖPRÜ,KARAKOPRU,857,380,,,,,,
3983,63,KISAS,KISAS,857,381,,,,,,
3984,63,UĞURLU,UGURLU,857,382,,,,,,
3985,63,KONUKLU,KONUKLU,857,383,,,,,,
3986,63,PEKMEZLİ,PEKMEZLI,858,384,,,,,,
3987,63,AYRAN,AYRAN,859,385,,,,,,
3988,63,MEZRA,MEZRA,859,386,,,,,,
3989,63,YASLICA,YASLICA,860,387,,,,,,
3990,63,YAYLAK,YAYLAK,860,388,,,,,,
3991,63,YUKARIGÖKLÜ,YUKARIGOKLU,862,389,,,,,,
3992,63,ARGIL,ARGIL,862,390,,,,,,
3993,63,KAPIKAYA,KAPIKAYA,864,391,,,,,,
3994,63,GÜRAKAR,GURAKAR,864,392,,,,,,
3995,63,ONBİRNİSAN,ONBIRNISAN,865,393,,,,,,
3996,63,EYÜPNEBİ,EYUPNEBI,866,394,,,,,,
3997,27,BAŞPINAR,BASPINAR,363,395,,,,,,
3998,6,ALTINDAĞ,ALTINDAG,0,396,,,,,,
4014,6,KEÇİÖREN,KECIOREN,0,397,,,,,,
4017,6,MAMAK,MAMAK,0,398,,,,,,
4018,6,GAZİOSMANPAŞA,GAZIOSMANPASA,73,399,,,,,,
4019,3,SİNANPAŞA,SINANPASA,0,400,,,,,,
4020,3,KARACAÖREN/ŞUHUT,KARACAOREN/SUHUT,29,401,,,,,,
4021,7,KEPEZ,KEPEZ,4021,402,,,,,,
4022,7,KONYAALTI,KONYAALTI,4022,403,,,,,,
4024,9,DİDİM,DIDIM,0,404,,,,,,
4025,9,AK-YENİKÖY,AK-YENIKOY,4024,405,,,,,,
4026,9,AKBÜK,AKBUK,4024,406,,,,,,
4027,9,ATÇA,ATCA,129,407,,,,,,
4029,16,KURŞUNLU/İNEGÖL,KURSUNLU/INEGOL,211,408,,,,,,
4030,18,ELDİVAN,ELDIVAN,0,409,,,,,,
4031,21,BAĞLAR,BAGLAR,283,410,,,,,,
4032,21,SUR,SUR,283,411,,,,,,
4033,21,YENİŞEHİR,YENISEHIR,283,412,,,,,,
4035,25,KAZIMKARABEKİR,KAZIMKARABEKIR,328,413,,,,,,
4038,25,KARAÇOBAN,KARACOBAN,0,414,,,,,,
4039,25,KOPAL,KOPAL,4038,415,,,,,,
4040,26,ODUNPAZARI,ODUNPAZARI,349,416,,,,,,
4041,26,TEPEBAŞI,TEPEBASI,349,417,,,,,,
4042,27,ŞAHİNBEY,SAHINBEY,0,418,,,,,,
4043,27,BURÇ,BURC,4042,419,,,,,,
4044,27,BÜYÜKŞAHİNBEY,BUYUKSAHINBEY,4042,420,,,,,,
4045,27,CEVİZLİ,CEVIZLI,4042,421,,,,,,
4046,35,BALÇOVA,BALCOVA,0,422,,,,,,
4047,38,MELİKGAZİ,MELIKGAZI,0,423,,,,,,
4048,38,AĞIRNAS,AGIRNAS,4047,424,,,,,,
4049,38,GESİ,GESI,4047,425,,,,,,
4050,38,GÜRPINAR,GURPINAR,4047,426,,,,,,
4051,38,HİSARCIK,HISARCIK,4047,427,,,,,,
4052,38,KIRANARDI,KIRANARDI,4047,428,,,,,,
4054,38,TURAN,TURAN,4047,429,,,,,,
4055,41,KÖRFEZ,KORFEZ,0,430,,,,,,
4057,41,KİRAZLIYALI,KIRAZLIYALI,4055,431,,,,,,
4058,42,MERAM,MERAM,0,432,,,,,,
4059,42,ÇARIKLAR,CARIKLAR,4058,433,,,,,,
4060,42,HATUNSARAY,HATUNSARAY,4058,434,,,,,,
4061,42,İNLİCE,INLICE,4058,435,,,,,,
4062,42,KARADİĞİN,KARADIGIN,4058,436,,,,,,
4063,42,KAŞINHANI,KASINHANI,4058,437,,,,,,
4064,42,KAVAK,KAVAK,4058,438,,,,,,
4065,42,KIZILÖREN,KIZILOREN,4058,439,,,,,,
4066,42,SAĞLIK,SAGLIK,4058,440,,,,,,
