SevkNo,SevkHarinx,SipLocation,SipHarinx,fatno,fatharinx,skod,miktar,Birim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
733,14194,LN001,8915,7593,63321,LNRCNKVT3000,1.0000000000,Çift,14194,,,,,,
733,14195,LN001,8916,7593,63320,LNRCNKVT8511,1.0000000000,Çift,14195,,,,,,
736,14228,LN001,8933,7621,63526,LNRCN383,8.0000000000,Çift,14228,,,,,,
736,14229,LN001,8934,7621,63525,LNRCNKM299,8.0000000000,Çift,14229,,,,,,
736,14230,LN001,8935,7621,63524,LNRCNKLCZ270,4.0000000000,Çift,14230,,,,,,
736,14231,LN001,8936,7621,63523,LNRCNKKSP01,2.0000000000,Çift,14231,,,,,,
736,14232,LN001,8937,7621,63522,LNRCNKETL507,1.0000000000,Çift,14232,,,,,,
736,14233,LN001,8938,7621,63521,LNRCNKM360,39.0000000000,Çift,14233,,,,,,
736,14234,LN001,8939,7621,63520,LNRCNKZZ1402,1.0000000000,Çift,14234,,,,,,
736,14235,LN001,8940,7621,63519,LNRCNKPSJ333,3.0000000000,Çift,14235,,,,,,
736,14236,LN001,8941,7621,63518,LNRCNXSPX6,1.0000000000,Çift,14236,,,,,,
736,14237,LN001,8942,7621,63517,LNRCNKCS892Y,1.0000000000,Çift,14237,,,,,,
736,14238,LN001,8943,7621,63516,LNRCNKCS815Y,5.0000000000,Çift,14238,,,,,,
736,14239,LN001,8944,7621,63515,LNRCNKVT5001,2.0000000000,Çift,14239,,,,,,
736,14240,LN001,8945,7621,63514,LNRCNTWG720,4.0000000000,Çift,14240,,,,,,
736,14241,LN001,8946,7621,63513,LNRCNKZZ1403,2.0000000000,Çift,14241,,,,,,
736,14242,LN001,8947,7621,63512,LNRCNT63,1.0000000000,Çift,14242,,,,,,
736,14243,LN001,8948,7621,63511,LNRCNKZZ1410,1.0000000000,Çift,14243,,,,,,
736,14244,LN001,8949,7621,63510,LNRCNKLCZ217,1.0000000000,Çift,14244,,,,,,
736,14245,LN001,8950,7621,63509,LNRCNKLCZ690,1.0000000000,Çift,14245,,,,,,
736,14246,LN001,8951,7621,63508,LNRCN369,1.0000000000,Çift,14246,,,,,,
736,14247,LN001,8952,7621,63507,LNRCNKB470,1.0000000000,Çift,14247,,,,,,
736,14248,LN001,8953,7621,63506,LNRCNKZZ1401,2.0000000000,Çift,14248,,,,,,
736,14249,LN001,8954,7621,63505,LNRCNT2935,1.0000000000,Çift,14249,,,,,,
737,14250,LN001,9177,7657,63713,LNRCNTWG720,3.0000000000,Çift,14250,,,,,,
737,14251,LN001,9178,7657,63712,LNRCNKM299,2.0000000000,Çift,14251,,,,,,
737,14252,LN001,9179,7657,63711,LNRCNKM360,11.0000000000,Çift,14252,,,,,,
737,14253,LN001,9180,7657,63710,LNRCNKZZ1403,1.0000000000,Çift,14253,,,,,,
737,14254,LN001,9181,7657,63709,RCN716,1.0000000000,Çift,14254,,,,,,
737,14255,LN001,9182,7657,63708,LNRCNXSPX5,1.0000000000,Çift,14255,,,,,,
737,14256,LN001,9183,7657,63707,LNRCNKVT3000,1.0000000000,Çift,14256,,,,,,
739,14270,LN001,9184,7671,63793,LNRCNKM360,37.0000000000,Çift,14270,,,,,,
739,14271,LN001,9185,7671,63792,LNRCNKCS815Y,6.0000000000,Çift,14271,,,,,,
739,14272,LN001,9186,7671,63791,LNRCNTWG720,3.0000000000,Çift,14272,,,,,,
739,14273,LN001,9187,7671,63790,LNRCN383,7.0000000000,Çift,14273,,,,,,
739,14274,LN001,9188,7671,63789,LNRCNKETL505,1.0000000000,Çift,14274,,,,,,
739,14275,LN001,9189,7671,63788,LNRCNKETL502,1.0000000000,Çift,14275,,,,,,
739,14276,LN001,9190,7671,63787,LNRCNKM299,6.0000000000,Çift,14276,,,,,,
739,14277,LN001,9191,7671,63786,LNRCNKPSJ333,4.0000000000,Çift,14277,,,,,,
739,14278,LN001,9192,7671,63785,LNRCNXSPX6,1.0000000000,Çift,14278,,,,,,
739,14279,LN001,9193,7671,63784,LNRCNKETL507,1.0000000000,Çift,14279,,,,,,
739,14280,LN001,9194,7671,63783,LNRCNKZZ1401,3.0000000000,Çift,14280,,,,,,
739,14281,LN001,9195,7671,63782,LNRCNKZZ1402,1.0000000000,Çift,14281,,,,,,
739,14282,LN001,9196,7671,63781,RCN716,1.0000000000,Çift,14282,,,,,,
740,14283,LN001,9374,7694,63892,LNRCN383,7.0000000000,Çift,14283,,,,,,
740,14284,LN001,9375,7694,63891,LNRCNTWG720,3.0000000000,Çift,14284,,,,,,
740,14285,LN001,9376,7694,63890,LNRCNKM360,15.0000000000,Çift,14285,,,,,,
740,14286,LN001,9377,7694,63889,LNRCNKETL501,2.0000000000,Çift,14286,,,,,,
740,14287,LN001,9378,7694,63888,LNRCNKM299,3.0000000000,Çift,14287,,,,,,
740,14288,LN001,9379,7694,63887,LNRCNKB475,1.0000000000,Çift,14288,,,,,,
740,14289,LN001,9380,7694,63886,LNRCNKZZ1401,1.0000000000,Çift,14289,,,,,,
740,14290,LN001,9381,7694,63885,RCNGLS2262,1.0000000000,Çift,14290,,,,,,
740,14291,LN001,9382,7694,63884,LNRCNKLCZ270,1.0000000000,Çift,14291,,,,,,
740,14292,LN001,9383,7694,63883,LNRCNKETL634,1.0000000000,Çift,14292,,,,,,
740,14293,LN001,9384,7694,63882,LNRCNKVT3000,1.0000000000,Çift,14293,,,,,,
740,14294,LN001,9385,7694,63881,LNRCNKCS815Y,2.0000000000,Çift,14294,,,,,,
740,14295,LN001,9386,7694,63880,LNRCNKPSJ333,1.0000000000,Çift,14295,,,,,,
741,14296,LN001,9367,7693,63879,LNRCNKM360,5.0000000000,Çift,14296,,,,,,
741,14297,LN001,9368,7693,63878,LNRCN383,2.0000000000,Çift,14297,,,,,,
741,14298,LN001,9369,7693,63877,LNRCNXSPX5,1.0000000000,Çift,14298,,,,,,
741,14299,LN001,9370,7693,63876,RCN716,1.0000000000,Çift,14299,,,,,,
741,14300,LN001,9371,7693,63875,LNRCNKCS815Y,1.0000000000,Çift,14300,,,,,,
741,14301,LN001,9372,7693,63874,LNRCNTWG720,2.0000000000,Çift,14301,,,,,,
741,14302,LN001,9373,7693,63873,LNRCNKLCZ217,1.0000000000,Çift,14302,,,,,,
742,14303,LN001,9354,7692,63872,LNRCN383,11.0000000000,Çift,14303,,,,,,
742,14304,LN001,9355,7692,63871,LNRCNKKSP01,1.0000000000,Çift,14304,,,,,,
742,14305,LN001,9356,7692,63870,LNRCNKM299,3.0000000000,Çift,14305,,,,,,
742,14306,LN001,9357,7692,63869,LNRCNKM360,24.0000000000,Çift,14306,,,,,,
742,14307,LN001,9358,7692,63868,LNRCNKPSJ333,4.0000000000,Çift,14307,,,,,,
742,14308,LN001,9359,7692,63867,LNRCNKCS815Y,1.0000000000,Çift,14308,,,,,,
742,14309,LN001,9360,7692,63866,LNRCNTWG720,4.0000000000,Çift,14309,,,,,,
742,14310,LN001,9361,7692,63865,LNRCNKZZ1401,1.0000000000,Çift,14310,,,,,,
742,14311,LN001,9362,7692,63864,LNRCNKVT5001,2.0000000000,Çift,14311,,,,,,
742,14312,LN001,9363,7692,63863,LNRCNT63,2.0000000000,Çift,14312,,,,,,
742,14313,LN001,9364,7692,63862,LNRCNKLCZ690,1.0000000000,Çift,14313,,,,,,
742,14314,LN001,9365,7692,63861,LNRCNXSPX5,1.0000000000,Çift,14314,,,,,,
742,14315,LN001,9366,7692,63860,RCN716,1.0000000000,Çift,14315,,,,,,
743,14316,LN001,9388,7697,63904,LNRCNTWG720,8.0000000000,Çift,14316,,,,,,
743,14317,LN001,9389,7697,63903,LNRCN383,8.0000000000,Çift,14317,,,,,,
743,14318,LN001,9390,7697,63902,LNRCNKM360,25.0000000000,Çift,14318,,,,,,
743,14319,LN001,9391,7697,63901,LNRCNKZZ1401,1.0000000000,Çift,14319,,,,,,
743,14320,LN001,9392,7697,63900,LNRCNKPSJ333,3.0000000000,Çift,14320,,,,,,
743,14321,LN001,9393,7697,63899,LNRCNTWG285,2.0000000000,Çift,14321,,,,,,
743,14322,LN001,9394,7697,63898,RCN716,1.0000000000,Çift,14322,,,,,,
743,14323,LN001,9395,7697,63897,LNRCNKCS815Y,2.0000000000,Çift,14323,,,,,,
746,14326,LN001,9425,7749,64030,LNRCNKM360,4.0000000000,Çift,14326,,,,,,
746,14327,LN001,9426,7749,64029,LNRCNKKSP01,1.0000000000,Çift,14327,,,,,,
746,14328,LN001,9427,7749,64028,LNRCNKCS815Y,2.0000000000,Çift,14328,,,,,,
746,14329,LN001,9428,7749,64027,LNRCNKM299,2.0000000000,Çift,14329,,,,,,
746,14330,LN001,9429,7749,64026,LNRCN383,3.0000000000,Çift,14330,,,,,,
746,14331,LN001,9430,7749,64025,LNRCNTWG720,1.0000000000,Çift,14331,,,,,,
747,14332,LN001,9431,7750,64042,LNRCNKCS815Y,4.0000000000,Çift,14332,,,,,,
747,14333,LN001,9432,7750,64041,LNRCNKM360,14.0000000000,Çift,14333,,,,,,
747,14334,LN001,9433,7750,64040,LNRCNTWG720,5.0000000000,Çift,14334,,,,,,
747,14335,LN001,9434,7750,64039,LNRCNKKSP01,1.0000000000,Çift,14335,,,,,,
747,14336,LN001,9435,7750,64038,RCN716,2.0000000000,Çift,14336,,,,,,
747,14337,LN001,9436,7750,64037,LNRCN383,1.0000000000,Çift,14337,,,,,,
747,14338,LN001,9437,7750,64036,LNRCNKLCZ270,1.0000000000,Çift,14338,,,,,,
747,14339,LN001,9438,7750,64035,LNRCNKLCZ217,1.0000000000,Çift,14339,,,,,,
747,14340,LN001,9439,7750,64034,LNRCNKM299,2.0000000000,Çift,14340,,,,,,
747,14341,LN001,9440,7750,64033,LNRCNKETL505,1.0000000000,Çift,14341,,,,,,
747,14342,LN001,9441,7750,64032,LNRCNKETL501,1.0000000000,Çift,14342,,,,,,
747,14343,LN001,9442,7750,64031,LNRCNKPSJ333,1.0000000000,Çift,14343,,,,,,
750,14386,LN001,9463,7757,64071,LNRCNKLCZ805,1.0000000000,Çift,14386,,,,,,
750,14387,LN001,9464,7757,64070,LNRCNSBC501,1.0000000000,Çift,14387,,,,,,
750,14388,LN001,9465,7757,64069,LNRCNKB470,1.0000000000,Çift,14388,,,,,,
750,14389,LN001,9466,0,0,LNRCNAVS815,,Çift,14389,,,,,,
750,14390,LN001,9467,7757,64068,LNRCNKLCZ690,1.0000000000,Çift,14390,,,,,,
750,14391,LN001,9468,7757,64067,RCNCNT365,1.0000000000,Çift,14391,,,,,,
750,14392,LN001,9469,7757,64066,LNRCNDC114,1.0000000000,Çift,14392,,,,,,
750,14393,LN001,9470,7757,64065,LNRCNKB480,1.0000000000,Çift,14393,,,,,,
750,14394,LN001,9471,0,0,RCNCNT940,,Çift,14394,,,,,,
750,14395,LN001,9472,0,0,LNRCNKETL509,,Çift,14395,,,,,,
750,14396,LN001,9473,7757,64064,LNRCNNT243,1.0000000000,Çift,14396,,,,,,
750,14397,LN001,9474,7757,64063,LNRCNKETL634,1.0000000000,Çift,14397,,,,,,
750,14398,LN001,9475,0,0,LNRCNKETL505,,Çift,14398,,,,,,
750,14399,LN001,9476,7757,64062,LNRCN536,1.0000000000,Çift,14399,,,,,,
750,14400,LN001,9477,7757,64061,LNRCNACT68,1.0000000000,Çift,14400,,,,,,
750,14401,LN001,9478,7757,64060,RCNJLX20,1.0000000000,Çift,14401,,,,,,
750,14402,LN001,9479,7757,64059,LNRCNKETL506,1.0000000000,Çift,14402,,,,,,
750,14403,LN001,9480,7757,64058,LNRCND1650,1.0000000000,Çift,14403,,,,,,
750,14404,LN001,9481,7757,64057,LNRCNKB475,1.0000000000,Çift,14404,,,,,,
750,14405,LN001,9482,7757,64056,LNRCNALM123,1.0000000000,Çift,14405,,,,,,
750,14406,LN001,9483,7757,64055,LNRCNR108,1.0000000000,Çift,14406,,,,,,
752,14408,LN001,9596,7822,64360,LNRCNKM360,35.0000000000,Çift,14408,,,,,,
752,14409,LN001,9597,7822,64359,LNRCNKETL502,1.0000000000,Çift,14409,,,,,,
752,14410,LN001,9598,7822,64358,LNRCNKZZ1401,4.0000000000,Çift,14410,,,,,,
752,14411,LN001,9599,7822,64357,LNRCNKZZ1404,1.0000000000,Çift,14411,,,,,,
752,14412,LN001,9600,7822,64356,LNRCNKM299,7.0000000000,Çift,14412,,,,,,
752,14413,LN001,9601,7822,64355,LNRCNKCS815Y,5.0000000000,Çift,14413,,,,,,
752,14414,LN001,9602,7822,64354,LNRCNKLCZ711,1.0000000000,Çift,14414,,,,,,
752,14415,LN001,9603,7822,64353,LNRCN383,14.0000000000,Çift,14415,,,,,,
752,14416,LN001,9604,7822,64352,LNRCNKPSJ333,2.0000000000,Çift,14416,,,,,,
752,14417,LN001,9605,7822,64351,LNRCNKLCZ270,1.0000000000,Çift,14417,,,,,,
752,14418,LN001,9606,7822,64350,LNRCNKVT8511,1.0000000000,Çift,14418,,,,,,
752,14419,LN001,9607,7822,64349,LNRCNTWG720,2.0000000000,Çift,14419,,,,,,
753,14420,LN001,9633,7845,64426,LNRCNKVT5001,2.0000000000,Çift,14420,,,,,,
753,14421,LN001,9634,7845,64425,LNRCNKCS815Y,3.0000000000,Çift,14421,,,,,,
753,14422,LN001,9635,7845,64424,LNRCNKM360,12.0000000000,Çift,14422,,,,,,
753,14423,LN001,9636,7845,64423,LNRCNXSPX6,1.0000000000,Çift,14423,,,,,,
753,14424,LN001,9637,7845,64422,LNRCN383,6.0000000000,Çift,14424,,,,,,
753,14425,LN001,9638,7845,64421,LNRCNKLCZ711,1.0000000000,Çift,14425,,,,,,
753,14426,LN001,9639,7845,64420,LNRCNT836,1.0000000000,Çift,14426,,,,,,
753,14427,LN001,9640,7845,64419,LNRCNKM299,2.0000000000,Çift,14427,,,,,,
754,14428,LN001,9641,7846,64436,LNRCNKM360,14.0000000000,Çift,14428,,,,,,
754,14429,LN001,9642,7846,64435,LNRCNKM299,4.0000000000,Çift,14429,,,,,,
754,14430,LN001,9643,7846,64434,LNRCNKCS815Y,3.0000000000,Çift,14430,,,,,,
754,14431,LN001,9644,7846,64433,LNRCNTWG720,4.0000000000,Çift,14431,,,,,,
754,14432,LN001,9645,7846,64432,LNRCN383,7.0000000000,Çift,14432,,,,,,
754,14433,LN001,9646,7846,64431,LNRCNKETL507,1.0000000000,Çift,14433,,,,,,
754,14434,LN001,9647,7846,64430,LNRCNKB475,1.0000000000,Çift,14434,,,,,,
754,14435,LN001,9648,7846,64429,LNRCNXSPX5,1.0000000000,Çift,14435,,,,,,
754,14436,LN001,9649,7846,64428,LNRCNKZZ1401,2.0000000000,Çift,14436,,,,,,
754,14437,LN001,9650,7846,64427,RCN716,1.0000000000,Çift,14437,,,,,,
755,14438,LN001,9700,7890,64632,LNRCNKM360,3.0000000000,Çift,14438,,,,,,
755,14439,LN001,9701,7890,64631,LNRCN383,9.0000000000,Çift,14439,,,,,,
755,14440,LN001,9702,7890,64630,LNRCNKM299,2.0000000000,Çift,14440,,,,,,
756,14441,LN001,9703,7892,64651,LNRCNXSPX5,2.0000000000,Çift,14441,,,,,,
756,14442,LN001,9704,7892,64650,LNRCNTWG720,2.0000000000,Çift,14442,,,,,,
756,14443,LN001,9705,7892,64649,LNRCNKM299,6.0000000000,Çift,14443,,,,,,
756,14444,LN001,9706,7892,64648,LNRCN383,15.0000000000,Çift,14444,,,,,,
756,14445,LN001,9707,7892,64647,LNRCNKM360,20.0000000000,Çift,14445,,,,,,
756,14446,LN001,9708,7892,64646,LNRCNKZZ1404,1.0000000000,Çift,14446,,,,,,
756,14447,LN001,9709,7892,64645,LNRCNKPSJ333,4.0000000000,Çift,14447,,,,,,
756,14448,LN001,9710,7892,64644,LNRCNKLCZ230,1.0000000000,Çift,14448,,,,,,
756,14449,LN001,9711,7892,64643,RCN716,4.0000000000,Çift,14449,,,,,,
756,14450,LN001,9712,7892,64642,LNRCNKCS815Y,4.0000000000,Çift,14450,,,,,,
756,14451,LN001,9713,7892,64641,LNRCNKLCZ217,1.0000000000,Çift,14451,,,,,,
756,14452,LN001,9714,7892,64640,LNRCNXSPX6,2.0000000000,Çift,14452,,,,,,
756,14453,LN001,9715,7892,64639,LNRCNKKSP01,1.0000000000,Çift,14453,,,,,,
756,14454,LN001,9716,7892,64638,LNRCNKB475,1.0000000000,Çift,14454,,,,,,
756,14455,LN001,9717,7892,64637,LNRCNKZZ1401,1.0000000000,Çift,14455,,,,,,
756,14456,LN001,9718,7892,64636,LNRCNKLCZ690,1.0000000000,Çift,14456,,,,,,
756,14457,LN001,9719,7892,64635,RCNGLS2262,1.0000000000,Çift,14457,,,,,,
756,14458,LN001,9720,7892,64634,ZKRCN746,1.0000000000,Çift,14458,,,,,,
757,14459,LN001,9778,7926,64788,LNRCNKM299,2.0000000000,Çift,14459,,,,,,
757,14460,LN001,9779,7926,64787,LNRCN383,8.0000000000,Çift,14460,,,,,,
757,14461,LN001,9780,7926,64786,RCN716,2.0000000000,Çift,14461,,,,,,
757,14462,LN001,9781,7926,64785,LNRCNT420,1.0000000000,Çift,14462,,,,,,
757,14463,LN001,9782,7926,64784,LNRCNKM360,1.0000000000,Çift,14463,,,,,,
757,14464,LN001,9783,7926,64783,RCNGLS2262,1.0000000000,Çift,14464,,,,,,
757,14465,LN001,9784,7926,64782,RCNGLSSANTO,1.0000000000,Çift,14465,,,,,,
757,14466,LN001,9785,7926,64781,LNRCNKPSJ333,1.0000000000,Çift,14466,,,,,,
757,14467,LN001,9786,7926,64780,LNRCNDPF152,1.0000000000,Çift,14467,,,,,,
757,14468,LN001,9787,7926,64779,LNRCNDPF140,1.0000000000,Çift,14468,,,,,,
758,14469,LN001,9788,7927,64797,LNRCN383,8.0000000000,Çift,14469,,,,,,
758,14470,LN001,9789,7927,64796,LNRCNKM360,2.0000000000,Çift,14470,,,,,,
758,14471,LN001,9790,7927,64795,LNRCNKM299,5.0000000000,Çift,14471,,,,,,
758,14472,LN001,9791,7927,64794,LNRCNTWG720,2.0000000000,Çift,14472,,,,,,
758,14473,LN001,9792,7927,64793,LNRCNALM123,1.0000000000,Çift,14473,,,,,,
758,14474,LN001,9793,7927,64792,LNRCNKCS815Y,2.0000000000,Çift,14474,,,,,,
758,14475,LN001,9794,7927,64791,RCN716,1.0000000000,Çift,14475,,,,,,
758,14476,LN001,9795,7927,64790,ZKRCN746,1.0000000000,Çift,14476,,,,,,
758,14477,LN001,9796,7927,64789,LNRCNKVT5001,1.0000000000,Çift,14477,,,,,,
759,14478,LN001,9797,7928,64811,LNRCN383,12.0000000000,Çift,14478,,,,,,
759,14479,LN001,9798,7928,64810,LNRCNKM299,4.0000000000,Çift,14479,,,,,,
759,14480,LN001,9799,7928,64809,LNRCNT63,1.0000000000,Çift,14480,,,,,,
759,14481,LN001,9800,7928,64808,LNRCNKZZ1401,2.0000000000,Çift,14481,,,,,,
759,14482,LN001,9801,7928,64807,LNRCNKM360,3.0000000000,Çift,14482,,,,,,
759,14483,LN001,9802,7928,64806,LNRCNKPSJ333,1.0000000000,Çift,14483,,,,,,
759,14484,LN001,9803,7928,64805,LNRCNACT93,1.0000000000,Çift,14484,,,,,,
759,14485,LN001,9804,7928,64804,LNRCNKZZ1404,1.0000000000,Çift,14485,,,,,,
759,14486,LN001,9805,7928,64803,LNRCNKZZ1403,1.0000000000,Çift,14486,,,,,,
759,14487,LN001,9806,7928,64802,LNRCNDPF140,1.0000000000,Çift,14487,,,,,,
759,14488,LN001,9807,7928,64801,LNRCNKETL505,1.0000000000,Çift,14488,,,,,,
759,14489,LN001,9808,7928,64800,LNRCNKZZ1402,1.0000000000,Çift,14489,,,,,,
759,14490,LN001,9809,7928,64799,RCNGLS2262,1.0000000000,Çift,14490,,,,,,
759,14491,LN001,9810,7928,64798,LNRCN369,1.0000000000,Çift,14491,,,,,,
760,14492,LN001,9812,8001,65091,LNRCNKLCZ270,2.0000000000,Çift,14492,,,,,,
760,14493,LN001,9813,8001,65090,LNRCN383,11.0000000000,Çift,14493,,,,,,
760,14494,LN001,9814,8001,65089,RCN716,1.0000000000,Çift,14494,,,,,,
760,14495,LN001,9815,8001,65088,LNRCNACT93,2.0000000000,Çift,14495,,,,,,
760,14496,LN001,9816,8001,65087,RCNGLS2262,1.0000000000,Çift,14496,,,,,,
761,14497,LN001,9817,8002,65099,LNRCNDPF152,1.0000000000,Çift,14497,,,,,,
761,14498,LN001,9818,8002,65098,LNRCNKM360,3.0000000000,Çift,14498,,,,,,
761,14499,LN001,9819,8002,65097,LNRCN383,10.0000000000,Çift,14499,,,,,,
761,14500,LN001,9820,8002,65096,LNRCNACT94,1.0000000000,Çift,14500,,,,,,
761,14501,LN001,9821,8002,65095,LNRCNACT93,1.0000000000,Çift,14501,,,,,,
761,14502,LN001,9822,8002,65094,LNRCNKM299,1.0000000000,Çift,14502,,,,,,
761,14503,LN001,9823,8002,65093,LNRCNKPSJ333,1.0000000000,Çift,14503,,,,,,
761,14504,LN001,9824,8002,65092,LNRCNKLCZ217,1.0000000000,Çift,14504,,,,,,
762,14505,LN001,9825,8003,65103,LNRCNTWG720,1.0000000000,Çift,14505,,,,,,
762,14506,LN001,9826,8003,65102,LNRCNKM299,1.0000000000,Çift,14506,,,,,,
762,14507,LN001,9827,8003,65101,LNRCN383,1.0000000000,Çift,14507,,,,,,
762,14508,LN001,9828,8003,65100,LNRCNKM360,2.0000000000,Çift,14508,,,,,,
763,14509,LN001,9852,8030,65283,LNRCN383,8.0000000000,Çift,14509,,,,,,
763,14510,LN001,9853,8030,65282,LNRCNKM299,7.0000000000,Çift,14510,,,,,,
763,14511,LN001,9854,8030,65281,LNRCNKM360,24.0000000000,Çift,14511,,,,,,
763,14512,LN001,9855,8030,65280,LNRCNT836,2.0000000000,Çift,14512,,,,,,
763,14513,LN001,9856,8030,65279,LNRCNKCS815Y,3.0000000000,Çift,14513,,,,,,
763,14514,LN001,9857,8030,65278,LNRCNT1963,1.0000000000,Çift,14514,,,,,,
763,14515,LN001,9858,8030,65277,LNRCNT1310,1.0000000000,Çift,14515,,,,,,
763,14516,LN001,9859,8030,65276,LNRCNKPSJ333,2.0000000000,Çift,14516,,,,,,
763,14517,LN001,9860,8030,65275,LNRCNKVT5001,1.0000000000,Çift,14517,,,,,,
764,14518,LN001,9888,8089,65562,LNRCN383,4.0000000000,Çift,14518,,,,,,
764,14519,LN001,9889,8089,65561,LNRCNKM360,9.0000000000,Çift,14519,,,,,,
764,14520,LN001,9890,8089,65560,LNRCNALM123,1.0000000000,Çift,14520,,,,,,
764,14521,LN001,9891,8089,65559,LNRCNKM299,3.0000000000,Çift,14521,,,,,,
764,14522,LN001,9892,8089,65558,LNRCNKCS815Y,2.0000000000,Çift,14522,,,,,,
764,14523,LN001,9893,8089,65557,LNRCNT1975,1.0000000000,Çift,14523,,,,,,
764,14524,LN001,9894,8089,65556,RCN716,1.0000000000,Çift,14524,,,,,,
764,14525,LN001,9895,8089,65555,LNRCNKZZ1401,1.0000000000,Çift,14525,,,,,,
764,14526,LN001,9896,8089,65554,LNRCNKLCZ270,1.0000000000,Çift,14526,,,,,,
764,14527,LN001,9897,8089,65553,LNRCNACT93,1.0000000000,Çift,14527,,,,,,
765,14528,LN001,9898,8088,65552,LNRCNKM299,2.0000000000,Çift,14528,,,,,,
765,14529,LN001,9899,8088,65551,LNRCNCNT157,1.0000000000,Çift,14529,,,,,,
