Modul,FisTip,FisNo,FisHarinx,SKod,RKod,Asorti,Miktar,kgid,insUN,insDT,insApp,updUN,updDT,updApp
S,0,30851,68968,LNRCNDPF140,4,z40,1.000000,123,,,,,,
S,0,31908,70213,LNRCNDPF152,4,z40,1.000000,124,,,,,,
S,0,32628,72426,RCNJLX20,11,m47,1.000000,125,,,,,,
S,0,32966,73003,LNRCNACT10,18,z40,1.000000,126,,,,,,
S,0,33002,73071,LNRCNES22,159,m44,1.000000,127,,,,,,
S,0,33090,73262,LNRCNACT56,18,m44,1.000000,128,,,,,,
S,0,33137,73433,LNRCNACT93,4,m47,1.000000,129,,,,,,
S,0,33488,75027,LNRCNACT93,8,m44,1.000000,130,,,,,,
S,0,33729,75985,RCNWLG072,109,U42,1.000000,131,,,,,,
S,0,36185,81322,LNRCNACT10,18,z40,1.000000,132,,,,,,
S,0,36461,82378,LNRCNACT95,11,m44,1.000000,133,,,,,,
S,0,38638,87297,LNRCNACT56,78,m40,1.000000,134,,,,,,
S,0,38639,87298,LNRCNACT56,11,m44,1.000000,135,,,,,,
S,0,38665,87327,LNRCNKVT8503,351,z403,1.000000,136,,,,,,
S,0,38666,87328,LNRCNKVT8503,47,z405,1.000000,137,,,,,,
S,0,38691,87355,LNRCNKVT8504,47,z405,1.000000,138,,,,,,
S,0,38692,87356,LNRCNKVT8511,535,z405,1.000000,139,,,,,,
S,0,38704,87369,LNRCNACT34,78,U40,1.000000,140,,,,,,
S,0,38708,87373,LNRCNACT34,11,U44,1.000000,141,,,,,,
S,0,39071,87944,RCNJLX20,1,m44,1.000000,142,,,,,,
S,0,39423,88823,LNRCNKM213,46,z405,1.000000,163,,,,,,
S,0,39427,88856,LNRCNKM360,66,z405,1.000000,184,,,,,,
S,0,40779,90027,LNRCNSBC722,18,m44,1.000000,194,,,,,,
S,0,40826,90223,LNRCNACT93,4,m46,1.000000,198,,,,,,
S,0,40965,90865,LNRCNKM299,66,z40,1.000000,208,,,,,,
S,0,41099,91623,LNRCNKM360,46,z405,1.000000,215,,,,,,
S,0,41506,93385,LNRCNKFM1907,1,z40,1.000000,216,,,,,,
S,0,42124,94807,LNRCNKVT5001,219,Z008,1.000000,231,,,,,,
S,0,42134,94832,LNRCNKVT3000,224,Z008,1.000000,246,,,,,,
S,0,42234,94971,RCNJLX20,11,m44,1.000000,251,,,,,,
S,0,44355,97953,LNRCNDPF140,9,Z008,1.000000,266,Rumeysa,2024-10-16 11:03:21.083000,KGShop,,,
S,0,44356,97954,LNRCNDPF151,11,z36,1.000000,272,Rumeysa,2024-10-16 11:07:31.753000,KGShop,,,
S,0,44357,97955,LNRCNDPF151,412,Z008,1.000000,286,Rumeysa,2024-10-16 11:17:41.877000,KGShop,,,
S,0,44358,97956,LNRCNDPF152,9,z38,1.000000,300,Rumeysa,2024-10-16 11:31:31.100000,KGShop,,,
S,0,44360,97958,LNRCNDPF159,11,Z008,1.000000,320,Rumeysa,2024-10-16 11:44:44.013000,KGShop,,,
