FisNo,Fisinx,FisTur,FisTip,Tarih,EvrakNo,Banka,Sube,Hesap,cmb,cmbkod,cmbkod1,cmbkod2,Location,OzKod1,OzKod2,MuhKodBanka,Muhkodcmb,Tutar,ParaCinsi,cbpg,cbpgMuhKod,Tanim,VadeOran,Masraf,GiderKod,KDVOran,KdvMuhKod,Tarih1,Tarih2,MuhKod,FisTur_Tanim,FisTip_Tanim,Proje_D_Id
5,19,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.349,ANBER ROK AYAKK,ANBER ROK AYAKK,,,,,,12500.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,20,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.689,ISIKLAR AYAKKAB,,,,,,,4500.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,21,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.712,EYLÜL ORTOPEDİ ,EYLÜL ORTOPEDİ ,,,,,,4000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,22,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.426,TRENDY AYAKKABI,BLACK TRENDY ve,,,,,,3900.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,23,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.711,ŞEBNEM AYAKKABI,,,,,,,3500.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
5,24,2,1,2019-03-29 00:00:00,,01,464,71014406,C,320.677,CESS AYAKKABI,,,,,,,2000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-03-29 00:00:00,2019-03-29 00:00:00,,EFT İşlemi,Gönderilen,
7,38,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.680,SAVCILI AYAKKAB,SAVCILI AYAKKAB,,,,,,7000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,39,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.215,ZAFER TÜRKOĞLU ,ZAFER TÜRKOĞLU ,,,,,,7000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,40,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.526,ÖZ ÜÇ KARDEŞLER,ÖZ-ÜÇ KARDEŞ AY,,,,,,7000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,41,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.711,ŞEBNEM AYAKKABI,,,,,,,5000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,42,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.426,TRENDY AYAKKABI,BLACK TRENDY ve,,,,,,2300.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,43,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.723,DRT MAKINE META,DRT MAKINE META,,,,,,5000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,44,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.677,CESS AYAKKABI,,,,,,,10000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,45,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.332,YAGMUR AYAKKABI,YAGMUR AYAKKABI,,,,,,20000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,46,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.714,FORGATTO SHOES,FORGATTO SHOES ,,,,,,15000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,47,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.407,SAHRA KUNDURA S,SAHRA KUNDURA S,,,,,,15000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,48,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.404,NATURLAND AYAK ,Naturland Ayak ,,,,,,20000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,49,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.369,BAKAN KUNDURA -,BAKAN KUNDURA -,,,,,,10000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,50,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.657,SEÇ KUNDURA MEH,SEÇ KUNDURA MEH,,,,,,7000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
7,51,2,1,2019-04-05 00:00:00,,01,464,71014406,C,320.215,ZAFER TÜRKOĞLU ,ZAFER TÜRKOĞLU ,,,,,,7000.0,TL,,,YAPI KREDİ HES.EFT,0.00,0.0,,0.0,,2019-04-05 00:00:00,2019-04-05 00:00:00,,EFT İşlemi,Gönderilen,
9,52,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.657,SEÇ KUNDURA MEH,SEÇ KUNDURA MEH,,,,,,10000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,53,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.706,VETAŞ PLASTİK V,,,,,,,15000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,54,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.519,ALPİN SHOES,MEHMET FATİH AL,,,,,,3300.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,55,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.677,CESS AYAKKABI,,,,,,,10000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,56,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.407,SAHRA KUNDURA S,SAHRA KUNDURA S,,,,,,15000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,57,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.332,YAGMUR AYAKKABI,YAGMUR AYAKKABI,,,,,,20000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,58,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.404,NATURLAND AYAK ,Naturland Ayak ,,,,,,15000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,59,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.714,FORGATTO SHOES,FORGATTO SHOES ,,,,,,35000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,60,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.522,GÜNDOĞDU DERİ M,GÜNDOĞDU DERİ M,,,,,,5000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,61,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.369,BAKAN KUNDURA -,BAKAN KUNDURA -,,,,,,10000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,62,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.526,ÖZ ÜÇ KARDEŞLER,ÖZ-ÜÇ KARDEŞ AY,,,,,,15000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,63,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.680,SAVCILI AYAKKAB,SAVCILI AYAKKAB,,,,,,7000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,64,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.349,ANBER ROK AYAKK,ANBER ROK AYAKK,,,,,,11200.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,65,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.572,BOEING SHOES,NECMI KUNDURA G,,,,,,5000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,66,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.215,ZAFER TÜRKOĞLU ,ZAFER TÜRKOĞLU ,,,,,,7400.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,67,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.712,EYLÜL ORTOPEDİ ,EYLÜL ORTOPEDİ ,,,,,,4500.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,68,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.689,ISIKLAR AYAKKAB,,,,,,,4000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,69,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.426,TRENDY AYAKKABI,BLACK TRENDY ve,,,,,,4000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
9,70,2,1,2019-04-12 00:00:00,,01,464,71014406,C,320.711,ŞEBNEM AYAKKABI,,,,,,,4000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-12 00:00:00,2019-04-12 00:00:00,,EFT İşlemi,Gönderilen,
10,71,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.332,YAGMUR AYAKKABI,YAGMUR AYAKKABI,,,,,,20000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,72,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.404,NATURLAND AYAK ,Naturland Ayak ,,,,,,20000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,73,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.657,SEÇ KUNDURA MEH,SEÇ KUNDURA MEH,,,,,,15000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,74,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.714,FORGATTO SHOES,FORGATTO SHOES ,,,,,,20000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,75,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.680,SAVCILI AYAKKAB,SAVCILI AYAKKAB,,,,,,10000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,76,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.369,BAKAN KUNDURA -,BAKAN KUNDURA -,,,,,,10000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,77,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.526,ÖZ ÜÇ KARDEŞLER,ÖZ-ÜÇ KARDEŞ AY,,,,,,8000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,78,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.215,ZAFER TÜRKOĞLU ,ZAFER TÜRKOĞLU ,,,,,,8000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,79,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.677,CESS AYAKKABI,,,,,,,10000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,80,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.522,GÜNDOĞDU DERİ M,GÜNDOĞDU DERİ M,,,,,,5000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,81,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.407,SAHRA KUNDURA S,SAHRA KUNDURA S,,,,,,15000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,9.25,05.030,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,82,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.426,TRENDY AYAKKABI,BLACK TRENDY ve,,,,,,3000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,83,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.716,ARSLAN AYAKKABI,ARSLAN AYAKKABI,,,,,,4700.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,84,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.712,EYLÜL ORTOPEDİ ,EYLÜL ORTOPEDİ ,,,,,,4900.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
10,85,2,1,2019-05-03 00:00:00,,01,464,71014406,C,320.294,SAYILIR AYAKKAB,CEN - SAY,,,,,,15000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-04-26 00:00:00,2019-04-26 00:00:00,,EFT İşlemi,Gönderilen,
11,86,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.332,YAGMUR AYAKKABI,YAGMUR AYAKKABI,,,,,,15000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,87,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.404,NATURLAND AYAK ,Naturland Ayak ,,,,,,15000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,88,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.714,FORGATTO SHOES,FORGATTO SHOES ,,,,,,20000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,89,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.407,SAHRA KUNDURA S,SAHRA KUNDURA S,,,,,,15000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,90,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.677,CESS AYAKKABI,,,,,,,10000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,91,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.680,SAVCILI AYAKKAB,SAVCILI AYAKKAB,,,,,,10000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,92,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.294,SAYILIR AYAKKAB,CEN - SAY,,,,,,5000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,93,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.572,BOEING SHOES,NECMI KUNDURA G,,,,,,5000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,94,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.369,BAKAN KUNDURA -,BAKAN KUNDURA -,,,,,,5000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,95,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.526,ÖZ ÜÇ KARDEŞLER,ÖZ-ÜÇ KARDEŞ AY,,,,,,5000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,96,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.426,TRENDY AYAKKABI,BLACK TRENDY ve,,,,,,7500.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,97,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.215,ZAFER TÜRKOĞLU ,ZAFER TÜRKOĞLU ,,,,,,5800.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,98,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.657,SEÇ KUNDURA MEH,SEÇ KUNDURA MEH,,,,,,7000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
11,99,2,1,2019-05-10 00:00:00,,01,464,71014406,C,320.712,EYLÜL ORTOPEDİ ,EYLÜL ORTOPEDİ ,,,,,,8000.0,TL,,,YAPI KREDİ BANKASINDAN EFT,0.00,0.0,,0.0,,2019-05-10 00:00:00,2019-05-10 00:00:00,,EFT İşlemi,Gönderilen,
15,135,2,1,2019-05-31 00:00:00,,01,464,71014406,C,320.677,CESS AYAKKABI,,,,,,,3000.0,TL,,,YAPI KREDİ HES.GÖNDERİLEN,0.00,0.0,,0.0,,2019-05-31 00:00:00,2019-05-31 00:00:00,,EFT İşlemi,Gönderilen,
15,136,2,1,2019-05-31 00:00:00,,01,464,71014406,C,320.730,GOES AYAKKABI,GİDER AYAKKABI ,,,,,,12744.0,TL,,,YAPI KREDİ HES.GÖNDERİLEN,0.00,0.0,,0.0,,2019-05-31 00:00:00,2019-05-31 00:00:00,,EFT İşlemi,Gönderilen,
15,137,2,1,2019-05-31 00:00:00,,01,464,71014406,C,320.349,ANBER ROK AYAKK,ANBER ROK AYAKK,,,,,,5000.0,TL,,,YAPI KREDİ HES.GÖNDERİLEN,0.00,0.0,,0.0,,2019-05-31 00:00:00,2019-05-31 00:00:00,,EFT İşlemi,Gönderilen,
15,138,2,1,2019-05-31 00:00:00,,01,464,71014406,C,320.627 ,ETKİLİ MALİ MÜŞ,,,,,,,2065.0,TL,,,YAPI KREDİ HES.GÖNDERİLEN,0.00,0.0,,0.0,,2019-05-31 00:00:00,2019-05-31 00:00:00,,EFT İşlemi,Gönderilen,
15,139,2,1,2019-05-31 00:00:00,,01,464,71014406,C,320.707,ALF BEBE İMALAT,,,,,,,3000.0,TL,,,YAPI KREDİ HES.GÖNDERİLEN,0.00,0.0,,0.0,,2019-05-31 00:00:00,2019-05-31 00:00:00,,EFT İşlemi,Gönderilen,
15,140,2,1,2019-05-31 00:00:00,,01,464,71014406,C,320.404,NATURLAND AYAK ,Naturland Ayak ,,,,,,13000.0,TL,,,YAPI KREDİ HES.GÖNDERİLEN,0.00,0.0,,0.0,,2019-05-31 00:00:00,2019-05-31 00:00:00,,EFT İşlemi,Gönderilen,
15,141,2,1,2019-05-31 00:00:00,,01,464,71014406,C,320.716,ARSLAN AYAKKABI,ARSLAN AYAKKABI,,,,,,14097.0,TL,,,YAPI KREDİ HES.GÖNDERİLEN,0.00,0.0,,0.0,,2019-05-31 00:00:00,2019-05-31 00:00:00,,EFT İşlemi,Gönderilen,
15,142,2,1,2019-05-31 00:00:00,,01,464,71014406,C,320.680,SAVCILI AYAKKAB,SAVCILI AYAKKAB,,,,,,10000.0,TL,,,YAPI KREDİ HES.GÖNDERİLEN,0.00,0.0,,0.0,,2019-05-31 00:00:00,2019-05-31 00:00:00,,EFT İşlemi,Gönderilen,
