SipNo,SipHarinx,Konum,SKOD,Tanim,Miktar,Birim,ParaCinsi,Fiyat,iskonto,iskontoTut,KDVORAN,Durum,TerminTarihi,LotNo,OTVOran,locked,SipharinxB,SipPicture,Proje_D_Id,OzKod1,OzKod2,OzKod3,BagTeklifHarinx
38469,86329,,863 Z KK113,,16.000000,CIFT,US,27.600000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86330,,722 M KK455,,10.000000,CIFT,US,34.500000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86331,,855 M KK226,,8.000000,CIFT,US,21.160000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86332,,855 M KK227,,16.000000,CIFT,US,21.160000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86333,,855 M KK225,,8.000000,CIFT,US,22.080000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86334,,855 M KK650,,16.000000,CIFT,US,23.920000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86335,,855 M KK802,,8.000000,CIFT,US,23.920000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86336,,776 M KK107,,10.000000,CIFT,US,20.610000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86337,,776 M KK100,,10.000000,CIFT,US,20.610000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86338,,776 M KK402,,10.000000,CIFT,US,19.140000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86339,,783 M KK58LZR,,20.000000,CIFT,US,16.930000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86340,,783 M KK58,,20.000000,CIFT,US,16.930000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86341,,278 M KK1405-5,,20.000000,CIFT,US,30.910000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86342,,722 M KK680,,20.000000,CIFT,US,33.810000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86343,,822 G KK79,,10.000000,CIFT,US,23.920000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86344,,726 M KK2498,,10.000000,CIFT,US,31.280000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86345,,726 M KK2698,,20.000000,CIFT,US,31.280000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86346,,662 M KK1002,,20.000000,CIFT,US,28.340000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86347,,018 M KKR25B2,,10.000000,CIFT,US,27.600000,0.00,0.000000,0.00,,,,,,,,,,,,
38469,86348,,095 M KK4051-1,,19.000000,CIFT,US,23.550000,0.00,0.000000,0.00,,,,,,,,,,,,
39141,88230,,006 P KKE998,,1.000000,CIFT,US,18.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88868,,064 Z A202,,4.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88869,,095 M A4051-1,,6.000000,CIFT,US,24.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88870,,111 M A1942,,5.000000,CIFT,US,22.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88871,,252 M A6326,,7.000000,CIFT,US,36.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88872,,252 M A6332,,6.000000,CIFT,US,36.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88873,,278 M A8078LZR,,9.000000,CIFT,US,42.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88874,,278 M A8075LZR,,9.000000,CIFT,US,42.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88875,,403 M A02,,6.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88876,,403 M A08,,6.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88877,,403 M A358,,12.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88878,,407 Z KK303,,4.000000,CIFT,US,31.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88879,,408 Z A2212,,3.000000,CIFT,US,29.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88880,,628 M A1005,,4.000000,CIFT,US,22.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88881,,701 M KK135-3,,1.000000,CIFT,US,33.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88882,,701 M A478-2,,3.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88883,,723 M A709,,6.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88884,,783 M A44DUZ,,3.000000,CIFT,US,20.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88885,,855 M A653,,4.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88886,,856 M A1798,,2.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88887,,863 Z A235,,4.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88888,,863 Z A245,,4.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88889,,863 Z A115,,2.000000,CIFT,US,27.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39411,88890,,867 M A076DUZ,,7.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88891,,064 Z A202,,8.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88892,,095 M A4051-1,,7.000000,CIFT,US,24.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88893,,111 M A1942,,5.000000,CIFT,US,22.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88894,,252 M A6326,,7.000000,CIFT,US,36.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88895,,252 M A6332,,7.000000,CIFT,US,36.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88896,,278 M A8078LZR,,9.000000,CIFT,US,42.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88897,,278 M A8075LZR,,9.000000,CIFT,US,42.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88898,,403 M A02,,7.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88899,,403 M A08,,6.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88900,,403 M A358,,13.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88901,,407 Z KK303,,4.000000,CIFT,US,31.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88902,,408 Z A2212,,4.000000,CIFT,US,29.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88903,,628 M A1005,,5.000000,CIFT,US,22.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88905,,701 M A478-2,,5.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88906,,723 M A709,,7.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88907,,783 M A44DUZ,,5.000000,CIFT,US,20.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88908,,855 M A653,,5.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88909,,856 M A1798,,5.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88910,,863 Z A235,,4.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88911,,863 Z A245,,5.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88912,,863 Z A115,,4.000000,CIFT,US,27.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39412,88913,,867 M A076DUZ,,7.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88915,,856 M A013,,20.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88916,,722 M A365,,30.000000,CIFT,US,34.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88917,,701 M A478-2,,20.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88918,,530 M A71431,,10.000000,CIFT,US,37.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88919,,530 M A71379,,20.000000,CIFT,US,37.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88920,,723 M A241,,20.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88921,,855 M A650,,32.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88922,,723 M A7020A,,20.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88923,,723 M A7020,,20.000000,CIFT,US,28.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88924,,723 M A6080-1,,30.000000,CIFT,US,30.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88925,,723 M A5032,,20.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88926,,723 M A2014,,20.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88927,,723 M A1988-1,,20.000000,CIFT,US,29.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88928,,723 M A1964-1,,30.000000,CIFT,US,30.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88929,,723 M A709,,20.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88930,,723 M A711,,10.000000,CIFT,US,25.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88931,,723 M A4260,,20.000000,CIFT,US,29.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88932,,662 M A1001,,40.000000,CIFT,US,28.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88933,,856 M A210,,10.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88934,,856 M A1833,,10.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88935,,662 M A1002,,30.000000,CIFT,US,28.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88936,,856 M A1798,,40.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88937,,856 M A1796,,20.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88938,,722 M A453,,30.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88939,,722 M A680,,30.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88940,,722 M A688,,20.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88941,,856 M A014,,20.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88943,,856 M A1832,,20.000000,CIFT,US,32.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88944,,722 M A352,,20.000000,CIFT,US,34.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39413,88946,,530 M A71401,,20.000000,CIFT,US,37.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,88993,,717 M A627-002,,10.000000,CIFT,US,34.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,88994,,095 M A4050-1,,10.000000,CIFT,US,24.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,88995,,252 M A226,,10.000000,CIFT,US,33.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,88996,,252 M A6322,,10.000000,CIFT,US,33.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,88997,,252 M A6326,,10.000000,CIFT,US,33.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,88998,,701 M A08-3,,10.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,88999,,701 M A015-2,,10.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,89000,,628 M A01,,20.000000,CIFT,US,20.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,89001,,662 M A1001Y,,20.000000,CIFT,US,24.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,89002,,822 M A90,,10.000000,CIFT,US,30.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,89003,,726 M A2540,,10.000000,CIFT,US,28.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,89004,,726 M A2541,,10.000000,CIFT,US,28.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39435,89005,,095 M A4051-1,,20.000000,CIFT,US,24.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39490,89124,,095 M A2008-1-1,,20.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39490,89125,,726 M A2541,,20.000000,CIFT,US,31.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39490,89126,,111 M A1940,,10.000000,CIFT,US,24.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39490,89127,,572 M A2118,,10.000000,CIFT,US,16.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39490,89128,,662 M A1000Y,,10.000000,CIFT,US,28.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39490,89129,,662 M A1001,,20.000000,CIFT,US,28.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39490,89130,,662 M A1001Y,,20.000000,CIFT,US,28.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39490,89131,,662 M A1002,,20.000000,CIFT,US,28.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39490,89132,,662 M A8264,,10.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39490,89133,,252 M A113,,20.000000,CIFT,US,36.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39490,89134,,858 M A401,,10.000000,CIFT,US,17.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39491,89135,,064 SZ A1556,,1.000000,CIFT,US,80.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39491,89136,,671 KM A304,,1.000000,CIFT,US,35.500000,0.00,0.000000,0.00,,,,,,,,,,,,
39491,89137,,757 KZ A5111,,1.000000,CIFT,US,54.900000,0.00,0.000000,0.00,,,,,,,,,,,,
39491,89138,,061 Z KK6222,,1.000000,CIFT,US,26.100000,0.00,0.000000,0.00,,,,,,,,,,,,
39491,89139,,877 F KK999,,1.000000,CIFT,US,8.100000,0.00,0.000000,0.00,,,,,,,,,,,,
39491,89140,,769 KF A115,,1.000000,CIFT,US,30.000000,0.00,0.000000,0.00,,,,,,,,,,,,
39491,89141,,694 YZ A84623,,1.000000,CIFT,US,72.900000,0.00,0.000000,0.00,,,,,,,,,,,,
39491,89142,,407 SZ A448,,1.000000,CIFT,US,31.500000,0.00,0.000000,0.00,,,,,,,,,,,,
40015,90493,F,723 M A1740,,40.000000,CIFT,TL,110.000000,0.00,0.000000,8.00,*,,,,,,,,,,,
40015,90494,F,723 M A1730,,20.000000,CIFT,TL,110.000000,0.00,0.000000,8.00,*,,,,,,,,,,,
40015,90495,F,723 M A241,,10.000000,CIFT,TL,110.000000,0.00,0.000000,8.00,*,,,,,,,,,,,
40015,90496,,723 M A2014,,10.000000,CIFT,TL,110.000000,0.00,0.000000,8.00,*,,,,,,,,,,,
40015,90608,F,723 M A1740,,10.000000,CIFT,TL,110.000000,0.00,0.000000,8.00,*,,,,,,,,,,,
40517,91745,,662 M A1001,,16.000000,CIFT,US,30.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40517,91746,,846 M A054,,8.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40517,91747,,846 M A053,,8.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40517,91748,,723 M A1740,,16.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40517,91749,,723 M A905,,16.000000,CIFT,US,26.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40517,91750,,856 M A2272,,8.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40517,91751,,722 M A262,,16.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40517,91752,,722 M A263,,16.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40517,91753,,723 M A1740,,1.000000,CIFT,US,0.000000,0.00,0.000000,,,,,,,,,,,,,
40668,92053,,628 M A01,,24.000000,CIFT,US,19.000000,0.00,0.000000,,,,,,,,,,,,,
40668,92054,,858 M A400,,30.000000,CIFT,US,13.000000,0.00,0.000000,,,,,,,,,,,,,
40668,92055,,858 M A411,,20.000000,CIFT,US,13.000000,0.00,0.000000,,,,,,,,,,,,,
40668,92056,,662 M AK-1,,60.000000,CIFT,US,21.000000,0.00,0.000000,,,,,,,,,,,,,
40668,92057,,783 M A22,,20.000000,CIFT,US,15.500000,0.00,0.000000,0.00,,,,,,,,,,,,
40668,92058,,783 M A58LZR,,20.000000,CIFT,US,15.500000,0.00,0.000000,0.00,,,,,,,,,,,,
40670,92061,,867 M A94,,60.000000,CIFT,US,23.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40670,92062,,858 M A411,,30.000000,CIFT,US,11.500000,0.00,0.000000,0.00,,,,,,,,,,,,
40670,92063,,858 M A410,,20.000000,CIFT,US,11.500000,0.00,0.000000,0.00,,,,,,,,,,,,
40670,92064,,726 M A2715,,40.000000,CIFT,US,26.500000,0.00,0.000000,0.00,,,,,,,,,,,,
40670,92065,,726 M A2716,,20.000000,CIFT,US,26.500000,0.00,0.000000,0.00,,,,,,,,,,,,
40670,92066,,726 M A2330,,10.000000,CIFT,US,26.500000,0.00,0.000000,0.00,,,,,,,,,,,,
40670,92067,,662 M A1002,,30.000000,CIFT,US,21.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40670,92068,,724 M A208,,20.000000,CIFT,US,18.500000,0.00,0.000000,0.00,,,,,,,,,,,,
40670,92069,,783 M A35,,20.000000,CIFT,US,13.500000,0.00,0.000000,0.00,,,,,,,,,,,,
40671,92070,,029 Z A91103,,10.000000,CIFT,US,42.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40671,92071,,864 Z A132,,12.000000,CIFT,US,20.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40671,92072,,864 Z A133,,9.000000,CIFT,US,20.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40671,92073,,064 Z A970,,6.000000,CIFT,US,29.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92120,,018 M AG-1-1852,,1.000000,CIFT,US,20.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92121,,029 Z A91216,,1.000000,CIFT,US,35.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92122,,252 M A6320,,4.000000,CIFT,US,33.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92123,,403 M A02,,2.000000,CIFT,US,40.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92124,,493 M A3122,,4.000000,CIFT,US,30.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92125,,662 MB A04,,1.000000,CIFT,US,23.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92126,,662 M A04,,5.000000,CIFT,US,23.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92127,,701 M A322-4,,6.000000,CIFT,US,28.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92128,,726 M A2541,,5.000000,CIFT,US,30.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92129,,733 Z AZENNE-1,,2.000000,CIFT,US,12.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92130,,763 Z A03,,1.000000,CIFT,US,15.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92131,,822 M A22,,8.000000,CIFT,US,24.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92132,,850 M A4404,,1.000000,CIFT,US,40.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92133,,850 M A3248,,9.000000,CIFT,US,40.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92134,,863 Z A113,,1.000000,CIFT,US,30.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92135,,893 M A0207,,3.000000,CIFT,US,36.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92136,,893 M A8802-1,,4.000000,CIFT,US,36.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40694,92137,,896 F A6104,,1.000000,CIFT,US,23.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92314,,858 M A410,,10.000000,CIFT,US,13.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92315,,572 M A2228,,12.000000,CIFT,US,16.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92316,,865 M A1782,,10.000000,CIFT,US,15.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92317,,865 M A1627,,10.000000,CIFT,US,15.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92318,,865 M A1742,,10.000000,CIFT,US,14.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92319,,865 M A2476,,10.000000,CIFT,US,14.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92320,,865 M A1797,,10.000000,CIFT,US,14.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92321,,865 M A1732,,10.000000,CIFT,US,16.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92322,,572 M A2231,,10.000000,CIFT,US,17.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92323,,858 M A411,,10.000000,CIFT,US,13.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92324,,572 M A2219,,20.000000,CIFT,US,16.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40772,92330,,865 M A1720,,10.000000,CIFT,US,14.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40871,92554,,018 M AR25B2,,21.000000,CIFT,US,29.000000,0.00,0.000000,8.00,,,,,,,,,,,,
40871,92555,,111 M A1940,,4.000000,CIFT,US,24.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40871,92556,,628 M ADAXTER,,18.000000,CIFT,US,18.000000,0.00,0.000000,8.00,,,,,,,,,,,,
40871,92557,,662 M AK-1DUZ,,8.000000,CIFT,US,23.000000,0.00,0.000000,8.00,,,,,,,,,,,,
40871,92558,,701 M A135-3,,5.000000,CIFT,US,31.000000,0.00,0.000000,8.00,,,,,,,,,,,,
40871,92559,,723 M A709,,16.000000,CIFT,US,32.000000,0.00,0.000000,8.00,,,,,,,,,,,,
40871,92560,,723 M A711,,7.000000,CIFT,US,32.000000,0.00,0.000000,8.00,,,,,,,,,,,,
40871,92561,,723 M A1988-1,,6.000000,CIFT,US,35.000000,0.00,0.000000,8.00,,,,,,,,,,,,
40871,92562,,723 M A6080-1,,21.000000,CIFT,US,35.000000,0.00,0.000000,8.00,,,,,,,,,,,,
40871,92563,,723 M A8120,,10.000000,CIFT,US,32.000000,0.00,0.000000,8.00,,,,,,,,,,,,
40871,92564,,856 M A1798,,24.000000,CIFT,US,37.000000,0.00,0.000000,0.00,,,,,,,,,,,,
40871,92565,,858 G ADAXTER,,1.000000,CIFT,US,17.000000,0.00,0.000000,8.00,,,,,,,,,,,,
