FisNo,FisTar,Location,CM,CMKod,BelgeNo,Durum,OzKod1,OzKod2,OzKod3,OzKod4,OzKod5,Onay1,OnayTar1,insUN,insDT,updUN,updDT
1692,2014-08-11 13:45:39.967000,KM01,M,,,,,,,,,,,ZBURNU,2014-08-11 13:45:39.967000,ZBURNU,2014-08-11 13:45:39.967000
1703,2014-08-15 20:39:55.390000,KS002,M,KS0020000001211,,,,,,,,,,HALIL,2014-08-15 20:39:55.400000,HALIL,2014-08-15 20:39:55.407000
1704,2014-08-16 12:37:19.480000,KM01,M,,,,,,,,,,,ZBURNU,2014-08-16 12:37:19.480000,ZBURNU,2014-08-16 12:37:19.480000
1731,2014-08-25 19:22:55.680000,KM01,M,,,,,,,,,,,ZBURNU,2014-08-25 19:22:55.680000,ZBURNU,2014-08-25 19:22:55.680000
1743,2014-08-29 20:47:02.913000,KS002,M,KS0020000001223,,,,,,,,,,FEYZA,2014-08-29 20:47:02.930000,FEYZA,2014-08-29 20:47:02.937000
1762,2014-09-09 19:42:03.173000,KS002,M,KS0020000001227,,,,,,,,,,HALIL,2014-09-09 19:42:03.177000,HALIL,2014-09-09 19:42:03.177000
1768,2014-09-11 23:12:36.380000,KS003,M,,,,,,,,,,,ERBIL,2014-09-11 23:12:36.380000,ERBIL,2014-09-11 23:12:36.380000
1770,2014-09-11 23:47:03.760000,KS003,M,,,,,,,,,,,ERBIL,2014-09-11 23:47:03.760000,ERBIL,2014-09-11 23:47:03.760000
1771,2014-09-11 23:49:50.447000,KS003,M,,,,,,,,,,,ERBIL,2014-09-11 23:49:50.447000,ERBIL,2014-09-11 23:49:50.447000
1781,2014-09-13 22:43:33.830000,KS002,M,KS0020000001233,,,,,,,,,,FEYZA,2014-09-13 22:43:33.830000,FEYZA,2014-09-13 22:43:33.830000
1816,2014-09-21 17:14:04.347000,KM01,M,,,,,,,,,,,ZBURNU,2014-09-21 17:14:04.347000,ZBURNU,2014-09-21 17:14:04.347000
1842,2014-10-01 23:31:53.403000,KS002,M,KS0020000001256,,,,,,,,,,FEYZA,2014-10-01 23:31:53.403000,FEYZA,2014-10-01 23:31:53.403000
1872,2014-10-11 09:52:40.400000,KS002,M,KS0020000001262,,,,,,,,,,FEYZA,2014-10-11 09:52:40.400000,FEYZA,2014-10-11 09:52:40.400000
1890,2014-10-14 18:44:41.493000,KS006,M,,,,,,,,,,,laleli,2014-10-14 18:44:41.493000,laleli,2014-10-14 18:44:41.493000
1959,2014-10-29 16:01:56.153000,KS002,M,KS0020000001294,,,,,,,,,,HALIL,2014-10-29 16:01:56.153000,HALIL,2014-10-29 16:01:56.153000
1963,2014-10-31 12:27:05.060000,KS002,M,KS0020000001297,,,,,,,,,,HALIL,2014-10-31 12:27:05.060000,HALIL,2014-10-31 12:27:05.060000
1991,2014-11-12 12:39:01.270000,KS002,M,KS0020000001314,,,,,,,,,,FEYZA,2014-11-12 12:39:01.273000,FEYZA,2014-11-12 12:39:01.280000
2004,2014-11-16 22:10:45.373000,KS002,M,KS0020000001321,,,,,,,,,,HALIL,2014-11-16 22:10:45.373000,HALIL,2014-11-16 22:10:45.373000
2016,2014-11-18 19:59:10.443000,KS002,M,KS0020000001325,,,,,,,,,,HALIL,2014-11-18 19:59:10.443000,HALIL,2014-11-18 19:59:10.443000
2018,2014-11-18 23:38:55.663000,KS002,M,KS0020000001324,,,,,,,,,,HALIL,2014-11-18 23:38:55.663000,HALIL,2014-11-18 23:38:55.663000
2027,2014-11-20 12:06:50.777000,KS002,M,KS0020000001332,,,,,,,,,,FEYZA,2014-11-20 12:06:50.777000,FEYZA,2014-11-20 12:06:50.780000
2044,2014-11-23 14:46:26.783000,KS002,M,KS0020000001344,,,,,,,,,,HALIL,2014-11-23 14:46:26.783000,HALIL,2014-11-23 14:46:26.787000
2050,2014-11-24 20:20:42.203000,KS002,M,KS0020000001347,,,,,,,,,,HALIL,2014-11-24 20:20:42.203000,HALIL,2014-11-24 20:20:42.203000
2077,2014-12-01 15:38:44.150000,KS002,M,KS0020000001295,,,,,,,,,,FEYZA,2014-12-01 15:38:44.150000,FEYZA,2014-12-01 15:38:44.150000
2122,2014-12-11 16:13:26.177000,KS002,M,KS0020000001289,,,,,,,,,,FEYZA,2014-12-11 16:13:26.183000,FEYZA,2014-12-11 16:13:26.190000
2127,2014-12-14 17:19:28.100000,KS002,M,KS0020000001313,,,,,,,,,,FEYZA,2014-12-14 17:19:28.100000,FEYZA,2014-12-14 17:19:28.100000
2154,2014-12-22 18:47:06.040000,KS007,M,KS0070000000005,,,,,,,,,,hamidiye,2014-12-22 18:47:06.040000,hamidiye,2014-12-22 18:47:06.040000
2157,2014-12-22 18:52:10.263000,KS007,M,,,,,,,,,,,hamidiye,2014-12-22 18:52:10.263000,hamidiye,2014-12-22 18:52:10.263000
2159,2014-12-22 22:42:10.023000,KS006,M,,,,,,,,,,,laleli,2014-12-22 22:42:10.023000,laleli,2014-12-22 22:42:10.023000
2163,2014-12-25 12:08:21.270000,KS002,M,KS0020000001388,,,,,,,,,,HALIL,2014-12-25 12:08:21.270000,HALIL,2014-12-25 12:08:21.270000
2169,2014-12-27 19:48:12.537000,KS002,M,KS0020000001393,,,,,,,,,,FEYZA,2014-12-27 19:48:12.537000,FEYZA,2014-12-27 19:48:12.537000
2178,2014-12-31 12:44:30.853000,KS002,M,KS0020000001396,,,,,,,,,,FEYZA,2014-12-31 12:44:30.853000,FEYZA,2014-12-31 12:44:30.853000
2187,2015-01-02 19:18:55.297000,KS002,M,,,,,,,,,,,HALIL,2015-01-02 19:18:55.297000,HALIL,2015-01-02 19:18:55.297000
2200,2015-01-03 16:02:40.230000,KS002,M,KS0020000001400,,,,,,,,,,FEYZA,2015-01-03 16:02:40.230000,FEYZA,2015-01-03 16:02:40.230000
2203,2015-01-05 12:18:40.433000,KS002,M,KS0020000001402,,,,,,,,,,FEYZA,2015-01-05 12:18:40.433000,FEYZA,2015-01-05 12:18:40.433000
2214,2015-01-09 21:33:09.077000,KS007,M,,,,,,,,,,,hamidiye,2015-01-09 21:33:09.077000,hamidiye,2015-01-09 21:33:09.077000
2227,2015-01-27 10:04:13.117000,KS002,M,KS0020000001410,,,,,,,,,,HALIL,2015-01-27 10:04:13.117000,HALIL,2015-01-27 10:04:13.117000
2228,2015-01-29 16:48:26.233000,KS002,M,KS0020000001412,,,,,,,,,,HALIL,2015-01-29 16:48:26.233000,HALIL,2015-01-29 16:48:26.233000
2233,2015-02-02 13:00:02.533000,KS002,M,KS0020000001345,,,,,,,,,,HALIL,2015-02-02 13:00:02.533000,HALIL,2015-02-02 13:00:02.533000
2234,2015-02-07 13:11:42.020000,KS002,M,,,,,,,,,,,HALIL,2015-02-07 13:11:42.020000,HALIL,2015-02-07 13:11:42.020000
2241,2015-02-08 15:23:59.970000,KS002,M,KS0020000001413,,,,,,,,,,HALIL,2015-02-08 15:23:59.970000,HALIL,2015-02-08 15:23:59.970000
2248,2015-02-14 15:09:52.620000,KS002,M,,,,,,,,,,,HALIL,2015-02-14 15:09:52.620000,HALIL,2015-02-14 15:09:52.620000
2250,2015-02-14 19:21:07.043000,KS002,M,,,,,,,,,,,HALIL,2015-02-14 19:21:07.043000,HALIL,2015-02-14 19:21:07.043000
2263,2015-02-18 20:39:05.870000,KS002,M,KS0020000001416,,,,,,,,,,HALIL,2015-02-18 20:39:05.870000,HALIL,2015-02-18 20:39:05.870000
2267,2015-02-19 19:51:49.583000,KM01,M,,,,,,,,,,,ZBURNU,2015-02-19 19:51:49.583000,ZBURNU,2015-02-19 19:51:49.583000
2272,2015-02-22 13:04:09.647000,KS002,M,KS0020000001421,,,,,,,,,,HALIL,2015-02-22 13:04:09.647000,HALIL,2015-02-22 13:04:09.647000
2287,2015-03-14 14:52:01.747000,KS002,M,,,,,,,,,,,HALIL,2015-03-14 14:52:01.757000,HALIL,2015-03-14 14:52:01.763000
2295,2015-03-16 17:20:46.233000,KS002,M,,,,,,,,,,,HALIL,2015-03-16 17:20:46.233000,HALIL,2015-03-16 17:20:46.233000
2298,2015-03-17 11:12:40.863000,KM01,M,,,,,,,,,,,ZBURNU,2015-03-17 11:12:40.863000,ZBURNU,2015-03-17 11:12:40.863000
2302,2015-03-21 13:31:39.253000,KS002,M,,,,,,,,,,,HALIL,2015-03-21 13:31:39.253000,HALIL,2015-03-21 13:31:39.253000
2316,2015-03-29 22:27:12.637000,KS002,M,KS0020000001426,,,,,,,,,,HALIL,2015-03-29 22:27:12.637000,HALIL,2015-03-29 22:27:12.637000
2326,2015-04-04 14:28:35.687000,KS002,M,,,,,,,,,,,FUNDA,2015-04-04 14:28:35.687000,FUNDA,2015-04-04 14:28:35.687000
2329,2015-04-07 18:19:55.060000,KS002,M,KS0020000001427,,,,,,,,,,FUNDA,2015-04-07 18:19:55.060000,FUNDA,2015-04-07 18:19:55.060000
2336,2015-04-13 19:47:36.163000,KS002,M,KS0020000001430,,,,,,,,,,FUNDA,2015-04-13 19:47:36.163000,FUNDA,2015-04-13 19:47:36.163000
2338,2015-04-13 22:13:25.210000,KS002,M,,,,,,,,,,,HALIL,2015-04-13 22:13:25.210000,HALIL,2015-04-13 22:13:25.210000
2342,2015-04-14 09:25:48.860000,KS002,M,,,,,,,,,,,FUNDA,2015-04-14 09:25:48.860000,FUNDA,2015-04-14 09:25:48.860000
2343,2015-04-14 10:51:48.580000,KS002,M,KS0020000001432,,,,,,,,,,FUNDA,2015-04-14 10:51:48.580000,FUNDA,2015-04-14 10:51:48.580000
2345,2015-04-14 14:24:03.947000,KS002,M,,,,,,,,,,,FUNDA,2015-04-14 14:24:03.947000,FUNDA,2015-04-14 14:24:03.947000
2352,2015-04-18 15:30:56.267000,KS002,M,,,,,,,,,,,FUNDA,2015-04-18 15:30:56.267000,FUNDA,2015-04-18 15:30:56.267000
2353,2015-04-18 15:32:03.970000,KS002,M,,,,,,,,,,,FUNDA,2015-04-18 15:32:03.970000,FUNDA,2015-04-18 15:32:03.970000
2354,2015-04-18 15:46:49.983000,KS002,M,,,,,,,,,,,FUNDA,2015-04-18 15:46:49.983000,FUNDA,2015-04-18 15:46:49.983000
2355,2015-04-18 15:50:18.430000,KS002,M,,,,,,,,,,,FUNDA,2015-04-18 15:50:18.430000,FUNDA,2015-04-18 15:50:18.430000
2356,2015-04-18 16:09:42.587000,KS002,M,,,,,,,,,,,FUNDA,2015-04-18 16:09:42.587000,FUNDA,2015-04-18 16:09:42.590000
2357,2015-04-18 16:12:43.957000,KS002,M,,,,,,,,,,,FUNDA,2015-04-18 16:12:43.957000,FUNDA,2015-04-18 16:12:43.957000
2358,2015-04-18 18:26:36.777000,KS002,M,,,,,,,,,,,FUNDA,2015-04-18 18:26:36.777000,FUNDA,2015-04-18 18:26:36.777000
2361,2015-04-27 16:50:28.873000,KM01,M,,,,,,,,,,,ZBURNU,2015-04-27 16:50:28.873000,ZBURNU,2015-04-27 16:50:28.873000
2362,2015-04-27 17:45:11.533000,KM01,M,,,,,,,,,,,ZBURNU,2015-04-27 17:45:11.533000,ZBURNU,2015-04-27 17:45:11.533000
2365,2015-04-29 09:17:47.730000,KS007,M,,,,,,,,,,,hamidiye,2015-04-29 09:17:47.730000,hamidiye,2015-04-29 09:17:47.730000
2366,2015-04-30 17:45:36.823000,KS002,M,,,,,,,,,,,FUNDA,2015-04-30 17:45:36.823000,FUNDA,2015-04-30 17:45:36.823000
2370,2015-05-04 18:30:35.627000,KS002,M,,,,,,,,,,,FUNDA,2015-05-04 18:30:35.627000,FUNDA,2015-05-04 18:30:35.627000
2374,2015-05-06 19:50:24.480000,KM01,M,,,,,,,,,,,ZBURNU,2015-05-06 19:50:24.483000,ZBURNU,2015-05-06 19:50:24.483000
2385,2015-05-10 14:56:49.477000,KS002,M,KS0020000001435,,,,,,,,,,HALIL,2015-05-10 14:56:49.477000,HALIL,2015-05-10 14:56:49.477000
2388,2015-05-12 19:49:29.570000,KS002,M,KS0020000001436,,,,,,,,,,FUNDA,2015-05-12 19:49:29.570000,FUNDA,2015-05-12 19:49:29.570000
2391,2015-05-13 19:52:32.860000,KS002,M,,,,,,,,,,,FUNDA,2015-05-13 19:52:32.860000,FUNDA,2015-05-13 19:52:32.860000
2393,2015-05-14 21:02:11.390000,KS002,M,KS0020000001438,,,,,,,,,,FUNDA,2015-05-14 21:02:11.390000,FUNDA,2015-05-14 21:02:11.390000
2396,2015-05-16 22:41:17.110000,KS002,M,,,,,,,,,,,FUNDA,2015-05-16 22:41:17.110000,FUNDA,2015-05-16 22:41:17.110000
2399,2015-05-17 13:19:36.960000,KS002,M,KS0020000001440,,,,,,,,,,HALIL,2015-05-17 13:19:36.960000,HALIL,2015-05-17 13:19:36.960000
2405,2015-05-19 13:19:19.677000,KS002,M,,,,,,,,,,,FUNDA,2015-05-19 13:19:19.677000,FUNDA,2015-05-19 13:19:19.677000
2406,2015-05-19 13:20:03.227000,KS002,M,,,,,,,,,,,FUNDA,2015-05-19 13:20:03.227000,FUNDA,2015-05-19 13:20:03.227000
2407,2015-05-19 13:22:23.833000,KS002,M,,,,,,,,,,,FUNDA,2015-05-19 13:22:23.833000,FUNDA,2015-05-19 13:22:23.833000
2408,2015-05-19 13:36:02.703000,KS002,M,,,,,,,,,,,FUNDA,2015-05-19 13:36:02.703000,FUNDA,2015-05-19 13:36:02.703000
2409,2015-05-19 13:38:39.053000,KS002,M,,,,,,,,,,,FUNDA,2015-05-19 13:38:39.053000,FUNDA,2015-05-19 13:38:39.053000
2410,2015-05-19 13:54:38.687000,KS002,M,,,,,,,,,,,FUNDA,2015-05-19 13:54:38.687000,FUNDA,2015-05-19 13:54:38.687000
2413,2015-05-21 23:51:53.490000,KS002,M,,,,,,,,,,,FUNDA,2015-05-21 23:51:53.490000,FUNDA,2015-05-21 23:51:53.490000
2416,2015-05-23 16:31:55.050000,KS002,M,,,,,,,,,,,FUNDA,2015-05-23 16:31:55.050000,FUNDA,2015-05-23 16:31:55.050000
2417,2015-05-24 10:01:37.170000,KS002,M,KS0020000001439,,,,,,,,,,HALIL,2015-05-24 10:01:37.170000,HALIL,2015-05-24 10:01:37.170000
2420,2015-05-25 19:10:26.823000,KS002,M,KS0020000001443,,,,,,,,,,HALIL,2015-05-25 19:10:26.823000,HALIL,2015-05-25 19:10:26.823000
2429,2015-05-30 15:59:12.313000,KS002,M,,,,,,,,,,,FUNDA,2015-05-30 15:59:12.313000,FUNDA,2015-05-30 15:59:12.313000
2432,2015-06-01 19:28:48.103000,KS002,M,,,,,,,,,,,FUNDA,2015-06-01 19:28:48.103000,FUNDA,2015-06-01 19:28:48.103000
2434,2015-06-02 20:39:59,KS002,M,,,,,,,,,,,FUNDA,2015-06-02 20:39:59,FUNDA,2015-06-02 20:39:59
2453,2015-06-18 17:51:28.643000,KS002,M,,,,,,,,,,,HALIL,2015-06-18 17:51:28.643000,HALIL,2015-06-18 17:51:28.643000
2458,2015-06-19 00:36:19.470000,KS002,M,,,,,,,,,,,HALIL,2015-06-19 00:36:19.470000,HALIL,2015-06-19 00:36:19.473000
