FisNo,Bolum,FisTip,FisTar,BelgeNo,Kasa,Location,CariKod,OzKod1,OzKod2,MuhKod,MuhFisNo,iptal,MM,insUN,insDT,updUN,updDT,locked,CreaterApp,OzKod3,OzKod4,OzKod5,LastUpdate,LastCalculate,MakbuzSerino,MakbuzNo,NoBaBs,NeedCalculate
684690,K,KT,2023-01-02 15:58:01,GİDER,H01,KS007,,,,,0,,,KLAS,2023-01-02 15:58:54.417000,KLAS,2023-01-02 16:12:29.273000,,,,,,2023-01-02 16:12:29.310000,2023-01-02 16:12:29.820000,,,,0
684691,K,KT,2023-01-02 15:29:26,GIDER,Z01,KM01,,,,,0,,,ZBURNU,2023-01-02 16:05:58.647000,ZBURNU,2023-01-02 16:05:58.647000,,,,,,2023-01-02 16:05:58.803000,2023-01-02 16:05:59.360000,,,,0
684692,K,KT,2023-01-02 16:30:54,GIDER,D01,KM03,,,,,0,,,SEMRA,2023-01-02 16:32:04.530000,SEMRA,2023-01-02 16:32:04.530000,,,,,,2023-01-02 16:32:04.610000,2023-01-02 16:32:05.203000,,,,0
684693,K,KT,2023-01-02 16:57:36,,A01,KS013,,,,,0,,,AYTOLGUN,2023-01-02 16:59:25.400000,AYTOLGUN,2023-01-02 16:59:25.400000,,,,,,2023-01-02 16:59:25.490000,2023-01-02 16:59:26.180000,,,,0
684695,K,NT,2023-01-02 17:15:04,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-02 17:16:24.870000,BERRIN,2023-01-05 12:34:42.120000,,,,,,2023-01-05 12:34:42.153000,2023-01-05 12:34:42.487000,,,,0
684696,K,BY,2023-01-02 17:29:01,,KS01,KS001,,,,,0,,,BERRIN,2023-01-02 17:29:23.110000,BERRIN,2023-01-02 17:31:01.707000,,,,,,2023-01-02 17:31:01.717000,2023-01-02 17:31:02.030000,,,,0
684697,K,KT,2023-01-02 17:43:49,NAKIT,V01,KS002,,,,,0,,,LIN,2023-01-02 17:45:11.543000,AIDAANA,2023-01-02 23:48:43.007000,,,,,,2023-01-02 23:48:44.020000,2023-01-02 23:48:44.600000,,,,0
684698,K,NO,2023-01-02 17:51:19,EMANET,KS01,KS001,,,,,0,,,BERRIN,2023-01-02 17:52:59.337000,BERRIN,2023-01-02 18:33:08.983000,,,,,,2023-01-02 18:33:08.993000,2023-01-02 18:33:09.307000,,,,0
684699,K,NO,2023-01-02 17:53:13,FIRMA ,KS01,KS001,,,,,0,,,BERRIN,2023-01-02 17:53:25.010000,BERRIN,2023-01-02 17:53:25.013000,,,,,,2023-01-02 17:53:25.043000,2023-01-02 17:53:25.363000,,,,0
684700,C,AD,2023-01-02 17:53:27,FIRMA ,,KS001,,,,,0,,,BERRIN,2023-01-02 17:53:41.280000,BERRIN,2023-01-02 17:53:41.280000,,,,,,2023-01-02 17:53:42.647000,2023-01-02 17:53:44.237000,,,,0
684701,K,NO,2023-01-02 17:53:05,,L01,KS006,,,,,0,,,laleli,2023-01-02 18:04:54.207000,laleli,2023-01-13 18:13:47.950000,,,,,,2023-01-13 18:13:47.950000,2023-01-13 18:13:48.933000,,,,0
684702,K,GO,2023-01-02 18:08:28,TRGIDER,KS01,KS001,,,,,0,,,BERRIN,2023-01-02 18:09:05.057000,BERRIN,2023-01-03 14:23:28,,,,,,2023-01-03 14:23:28.023000,2023-01-03 14:23:30.843000,,,,0
684703,K,NO,2023-01-02 18:09:09,HK,KS01,KS001,,,,,0,,,BERRIN,2023-01-02 18:09:20.700000,BERRIN,2023-01-02 18:09:20.700000,,,,,,2023-01-02 18:09:20.830000,2023-01-02 18:09:21.310000,,,,0
684704,K,NO,2023-01-02 18:28:44,,KS01,KS001,,,,,0,,,BERRIN,2023-01-02 18:30:22.073000,BERRIN,2023-01-02 18:30:22.073000,,,,,,2023-01-02 18:30:22.103000,2023-01-02 18:30:22.523000,,,,0
684705,K,NO,2023-01-02 18:34:24,PERS,KS01,KS001,,,,,0,,,BERRIN,2023-01-02 18:34:41.130000,BERRIN,2023-01-03 10:49:14.673000,,,,,,2023-01-03 10:49:14.783000,2023-01-03 10:49:15.340000,,,,0
684706,K,KT,2023-01-02 18:37:27,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-02 18:37:48.817000,BERRIN,2023-01-02 18:46:23.883000,,,,,,2023-01-02 18:46:23.893000,2023-01-02 18:46:24.157000,,,,0
684707,K,NO,2023-01-02 18:51:19,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-02 18:51:45.757000,AKKALAMALL,2023-01-02 18:51:45.757000,,,,,,2023-01-02 18:51:45.803000,2023-01-02 18:51:46.320000,,,,0
684708,K,GO,2023-01-02 18:51:57,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-02 18:52:25.487000,AKKALAMALL,2023-01-02 18:52:25.487000,,,,,,2023-01-02 18:52:25.530000,2023-01-02 18:52:25.943000,,,,0
684709,K,KT,2023-01-02 18:52:11,GRANDPARK GIDERLERI,G01,KS012,,,,,0,,,NAZERKE,2023-01-02 18:58:18.313000,NAZERKE,2023-01-02 18:58:18.313000,,,,,,2023-01-02 18:58:18.430000,2023-01-02 18:58:19.037000,,,,0
684710,K,NO,2023-01-02 19:37:18,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-02 19:37:41.140000,AKKALAMALL,2023-01-02 19:37:41.140000,,,,,,2023-01-02 19:37:41.183000,2023-01-02 19:37:41.587000,,,,0
684711,K,BY,2023-01-02 10:41:20,,KS01,KS001,,,,,0,,,BERRIN,2023-01-03 10:46:03.217000,BERRIN,2023-01-03 10:46:03.217000,,,,,,2023-01-03 10:46:03.303000,2023-01-03 10:46:03.717000,,,,0
684712,K,NO,2023-01-02 10:46:58,OK,KS01,KS001,,,,,0,,,BERRIN,2023-01-03 10:47:48.253000,BERRIN,2023-01-03 10:47:48.253000,,,,,,2023-01-03 10:47:48.283000,2023-01-03 10:47:48.867000,,,,0
684713,K,GG,2023-01-03 10:58:23,,H01,KS007,,,,,0,,,BERRIN,2023-01-03 11:01:37.783000,BERRIN,2023-01-03 11:01:37.783000,,,,,,2023-01-03 11:01:38.123000,2023-01-03 11:01:38.937000,,,,0
684714,K,NT,2023-01-03 12:33:04,,Z01,KM01,,,,,0,,,BERRIN,2023-01-03 12:34:21.757000,BERRIN,2023-01-03 12:34:21.757000,,,,,,2023-01-03 12:34:22.767000,2023-01-03 12:34:25.133000,,,,0
684715,K,KT,2023-01-03 10:32:12,GIDER,V01,KS002,,,,,0,,,LIN,2023-01-03 13:59:43.427000,AIDAANA,2023-01-04 00:45:40.153000,,,,,,2023-01-04 00:45:40.183000,2023-01-04 00:45:40.637000,,,,0
684716,K,KT,2023-01-03 13:59:30,NAKIT ,V01,KS002,,,,,0,,,LIN,2023-01-03 14:01:41.090000,AIDAANA,2023-01-03 23:51:57.510000,,,,,,2023-01-03 23:51:57.540000,2023-01-03 23:51:58.050000,,,,0
684717,K,KT,2023-01-03 14:09:24,NAKİT,H01,KS007,,,,,0,,,KLAS,2023-01-03 14:10:24.187000,KLAS,2023-01-03 23:48:05.677000,,,,,,2023-01-03 23:48:05.710000,2023-01-03 23:48:06.440000,,,,0
684718,K,NT,2023-01-01 14:28:09,,T02,KS010,,,,,0,,,TAMASA,2023-01-03 14:29:34.340000,TAMASA,2023-01-03 14:29:34.340000,,,,,,2023-01-03 14:29:34.383000,2023-01-03 14:29:35.093000,,,,0
684719,K,NO,2023-01-01 14:30:55,,T02,KS010,,,,,0,,,TAMASA,2023-01-03 14:41:04.463000,TAMASA,2023-01-03 14:42:23.760000,,,,,,2023-01-03 14:42:23.760000,2023-01-03 14:42:24.430000,,,,0
684720,K,BY,2023-01-03 17:17:24,,KS01,KS001,,,,,0,,,BERRIN,2023-01-03 17:17:39.590000,BERRIN,2023-01-04 12:01:45.283000,,,,,,2023-01-04 12:01:45.310000,2023-01-04 12:01:45.563000,,,,0
684721,K,NO,2023-01-03 17:35:32,,L01,KS006,,,,,0,,,laleli,2023-01-03 17:35:46.717000,laleli,2023-01-03 17:41:42.083000,,,,,,2023-01-03 17:41:42.100000,2023-01-03 17:41:42.633000,,,,0
684722,K,NO,2023-01-03 17:35:51,EMANET,KS01,KS001,,,,,0,,,BERRIN,2023-01-03 17:36:09.770000,BERRIN,2023-01-03 17:36:09.770000,,,,,,2023-01-03 17:36:09.810000,2023-01-03 17:36:10.150000,,,,0
684723,K,GO,2023-01-03 17:37:47,TRGIDER,KS01,KS001,,,,,0,,,BERRIN,2023-01-03 17:38:06.100000,BERRIN,2023-01-04 12:13:44.640000,,,,,,2023-01-04 12:13:44.657000,2023-01-04 12:13:45.557000,,,,0
684724,K,NO,2023-01-03 17:38:45,HK,KS01,KS001,,,,,0,,,BERRIN,2023-01-03 17:39:25.150000,BERRIN,2023-01-04 12:11:09.027000,,,,,,2023-01-04 12:11:09.040000,2023-01-04 12:11:09.303000,,,,0
684725,K,NO,2023-01-03 17:40:55,SEDATTR,KS01,KS001,,,,,0,,,BERRIN,2023-01-03 17:41:22.263000,BERRIN,2023-01-03 17:41:22.263000,,,,,,2023-01-03 17:41:22.293000,2023-01-03 17:41:22.613000,,,,0
684726,K,NT,2023-01-03 17:46:23,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-03 17:47:06.790000,BERRIN,2023-01-05 13:18:04.147000,,,,,,2023-01-05 13:18:04.167000,2023-01-05 13:18:04.510000,,,,0
684727,K,KT,2023-01-03 17:47:38,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-03 17:48:00.410000,BERRIN,2023-01-05 13:18:21.837000,,,,,,2023-01-05 13:18:21.863000,2023-01-05 13:18:22.217000,,,,0
684728,K,NT,2023-01-03 17:49:41,DOVIZ,KS01,KS001,,,,,0,,,BERRIN,2023-01-03 17:50:40.470000,BERRIN,2023-01-03 17:50:43.443000,,,,,,2023-01-03 17:50:43.457000,2023-01-03 17:50:43.750000,,,,0
684729,K,NO,2023-01-03 17:50:48,DOVIZ,KS01,KS001,,,,,0,,,BERRIN,2023-01-03 17:51:01.130000,BERRIN,2023-01-03 17:51:01.130000,,,,,,2023-01-03 17:51:01.160000,2023-01-03 17:51:01.567000,,,,0
684730,K,KT,2023-01-03 17:55:11,GIDER,Z01,KM01,,,,,0,,,ZBURNU,2023-01-03 17:56:02.447000,ZBURNU,2023-01-03 17:56:02.447000,,,,,,2023-01-03 17:56:02.537000,2023-01-03 17:56:03.230000,,,,0
684731,K,KT,2023-01-03 18:15:27,GIDER,D01,KM03,,,,,0,,,SEMRA,2023-01-03 18:16:21.840000,SEMRA,2023-01-03 18:16:21.840000,,,,,,2023-01-03 18:16:21.957000,2023-01-03 18:16:22.827000,,,,0
684732,K,NO,2023-01-03 18:38:19,PERS,KS01,KS001,,,,,0,,,BERRIN,2023-01-03 18:38:41.083000,BERRIN,2023-01-03 18:38:41.087000,,,,,,2023-01-03 18:38:41.167000,2023-01-03 18:38:42.083000,,,,0
684733,K,NO,2023-01-03 18:59:20,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-03 18:59:42.847000,AKKALAMALL,2023-01-03 18:59:42.850000,,,,,,2023-01-03 18:59:42.903000,2023-01-03 18:59:43.483000,,,,0
684734,K,GO,2023-01-03 19:00:27,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-03 19:01:13.107000,AKKALAMALL,2023-01-03 19:01:13.110000,,,,,,2023-01-03 19:01:13.170000,2023-01-03 19:01:13.783000,,,,0
684735,K,KT,2023-01-03 22:47:12,GIDER,R01,KS005,,,,,0,,,RAYMOOL,2023-01-03 22:48:56.680000,RAYMOOL,2023-01-03 22:48:56.680000,,,,,,2023-01-03 22:48:57.340000,2023-01-03 22:48:58.400000,,,,0
684736,K,GO,2023-01-03 11:53:32,IRAKGD,KS01,KS001,,,,,0,,,BERRIN,2023-01-04 11:53:49.990000,BERRIN,2023-01-04 16:01:35.387000,,,,,,2023-01-04 16:01:35.383000,2023-01-04 16:01:35.630000,,,,0
684737,C,AD,2023-01-03 12:16:26,PAYU,,KS001,,,,,0,,,BERRIN,2023-01-04 12:17:08.630000,BERRIN,2023-01-04 12:17:08.630000,,,,,,2023-01-04 12:17:08.663000,2023-01-04 12:17:08.983000,,,,0
684738,C,BD,2023-01-03 12:17:18,PAYU,,KS001,,,,,0,,,BERRIN,2023-01-04 12:17:54.807000,BERRIN,2023-01-04 12:17:54.807000,,,,,,2023-01-04 12:17:54.840000,2023-01-04 12:17:55.267000,,,,0
684739,K,KT,2023-01-04 13:18:45,NAKIT,V01,KS002,,,,,0,,,AIDAANA,2023-01-04 13:19:32.717000,AIDAANA,2023-01-05 00:24:41.037000,,,,,,2023-01-05 00:24:41.067000,2023-01-05 00:24:41.660000,,,,0
684740,K,KT,2023-01-04 14:20:58,GIDER,V01,KS002,,,,,0,,,AIDAANA,2023-01-04 14:22:42.813000,AIDAANA,2023-01-05 00:34:45.137000,,,,,,2023-01-05 00:34:45.150000,2023-01-05 00:34:45.667000,,,,0
684741,K,KT,2023-01-04 15:48:49,NAKİT,H01,KS007,,,,,0,,,KLAS,2023-01-04 15:49:56.610000,KLAS,2023-01-04 22:22:03,,,,,,2023-01-04 22:22:03.017000,2023-01-04 22:22:03.680000,,,,0
684742,K,KT,2023-01-04 16:18:48,GIDER,E01,KS003,,,,,0,,,ERBIL,2023-01-04 16:20:13.397000,ERBIL,2023-01-04 16:20:13.400000,,,,,,2023-01-04 16:20:13.457000,2023-01-04 16:20:13.900000,,,,0
684743,K,KT,2023-01-04 17:16:32,GIDER,D01,KM03,,,,,0,,,SEMRA,2023-01-04 17:17:51.493000,SEMRA,2023-01-04 17:17:51.493000,,,,,,2023-01-04 17:17:51.650000,2023-01-04 17:17:53.540000,,,,0
684744,K,BY,2023-01-04 17:37:35,,KS01,KS001,,,,,0,,,BERRIN,2023-01-04 17:37:46.917000,BERRIN,2023-01-05 12:17:44.123000,,,,,,2023-01-05 12:17:44.160000,2023-01-05 12:17:44.653000,,,,0
684745,K,NT,2023-01-04 17:45:44,DOVIZ,KS01,KS001,,,,,0,,,BERRIN,2023-01-04 17:46:04.883000,BERRIN,2023-01-05 13:13:27.290000,,,,,,2023-01-05 13:13:27.300000,2023-01-05 13:13:27.703000,,,,0
684746,K,NO,2023-01-04 17:46:10,DOVIZ,KS01,KS001,,,,,0,,,BERRIN,2023-01-04 17:46:20.937000,BERRIN,2023-01-05 13:14:24.353000,,,,,,2023-01-05 13:14:24.433000,2023-01-05 13:14:24.780000,,,,0
684747,K,NO,2023-01-04 17:47:07,,L01,KS006,,,,,0,,,laleli,2023-01-04 17:47:41.890000,laleli,2023-01-04 17:47:41.890000,,,,,,2023-01-04 17:47:41.957000,2023-01-04 17:47:42.487000,,,,0
684748,K,GO,2023-01-04 17:47:48,TRGIDER,KS01,KS001,,,,,0,,,BERRIN,2023-01-04 17:48:19.010000,BERRIN,2023-01-05 13:22:35.480000,,,,,,2023-01-05 13:22:35.500000,2023-01-05 13:22:36.147000,,,,0
684749,K,NO,2023-01-04 17:48:30,PERS,KS01,KS001,,,,,0,,,BERRIN,2023-01-04 17:48:45.470000,BERRIN,2023-01-04 17:48:45.470000,,,,,,2023-01-04 17:48:46.433000,2023-01-04 17:48:47.153000,,,,0
684750,K,GO,2023-01-04 17:55:17,IRAKGD,KS01,KS001,,,,,0,,,BERRIN,2023-01-04 17:55:41.807000,BERRIN,2023-01-05 12:38:53.077000,,,,,,2023-01-05 12:38:53.160000,2023-01-05 12:38:53.670000,,,,0
684751,K,KT,2023-01-04 17:55:55,GİDER,F01,KS004,,,,,0,,,FAMILYMOOL,2023-01-04 17:57:39.840000,FAMILYMOOL,2023-01-04 17:57:39.840000,,,,,,2023-01-04 17:57:39.890000,2023-01-04 17:57:40.467000,,,,0
684752,K,NO,2023-01-04 18:57:22,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-04 18:57:51.460000,AKKALAMALL,2023-01-04 18:57:51.460000,,,,,,2023-01-04 18:57:51.523000,2023-01-04 18:57:52.090000,,,,0
684753,K,GO,2023-01-04 18:58:13,,K01,Z003,,,,,0,,,AKKALAMALL,2023-01-04 18:58:37.473000,AKKALAMALL,2023-01-04 18:58:37.473000,,,,,,2023-01-04 18:58:38.560000,2023-01-04 18:58:40.377000,,,,0
684754,K,KT,2023-01-04 19:01:32,,A01,KS013,,,,,0,,,AYTOLGUN,2023-01-04 19:03:28.970000,AYTOLGUN,2023-01-04 19:03:28.970000,,,,,,2023-01-04 19:03:29.147000,2023-01-04 19:03:29.993000,,,,0
684755,K,KT,2023-01-04 19:19:37,GRANDPARK GIDERLERI,G01,KS012,,,,,0,,,NAZERKE,2023-01-04 19:21:52.230000,NAZERKE,2023-01-04 19:21:52.230000,,,,,,2023-01-04 19:21:52.720000,2023-01-04 19:21:54.873000,,,,0
684756,K,KT,2023-01-04 19:32:16,GIDER,Z01,KM01,,,,,0,,,ZBURNU,2023-01-04 19:32:40.577000,ZBURNU,2023-01-04 19:32:40.577000,,,,,,2023-01-04 19:32:40.637000,2023-01-04 19:32:41.133000,,,,0
684757,K,KT,2023-01-04 20:13:26,GIDER,E01,KS003,,,,,0,,,ERBIL,2023-01-04 20:34:28.010000,ERBIL,2023-01-04 20:34:28.010000,,,,,,2023-01-04 20:34:28.127000,2023-01-04 20:34:28.810000,,,,0
684758,K,KT,2023-01-04 22:24:25,GIDER,E01,KS003,,,,,0,,,ERBIL,2023-01-04 22:25:10.297000,ERBIL,2023-01-04 22:25:10.297000,,,,,,2023-01-04 22:25:10.347000,2023-01-04 22:25:10.787000,,,,0
684760,K,KT,2023-01-05 10:41:34,GIDER,V01,KS002,,,,,0,,,LIN,2023-01-05 11:28:20.033000,AIDAANA,2023-01-06 00:42:39.787000,,,,,,2023-01-06 00:42:39.820000,2023-01-06 00:42:40.263000,,,,0
684761,K,KT,2023-01-05 12:44:29,NAKİT,F01,KS004,,,,,0,,,FAMILYMOOL,2023-01-05 12:45:38.990000,FAMILYMOOL,2023-01-05 12:45:38.990000,,,,,,2023-01-05 12:45:39.040000,2023-01-05 12:45:39.680000,,,,0
684762,K,KT,2023-01-05 12:43:53,GIDER,E01,KS003,,,,,0,,,ERBIL,2023-01-05 12:46:04.567000,ERBIL,2023-01-05 12:46:04.570000,,,,,,2023-01-05 12:46:04.690000,2023-01-05 12:46:05.397000,,,,0
684763,K,NO,2023-01-04 12:59:12,OK,KS01,KS001,,,,,0,,,BERRIN,2023-01-05 12:59:29.083000,BERRIN,2023-01-05 12:59:29.083000,,,,,,2023-01-05 12:59:29.253000,2023-01-05 12:59:29.633000,,,,0
684764,C,AD,2023-01-03 13:10:41,TOPTANKK,,KS001,,,,,0,,,BERRIN,2023-01-05 13:12:30.613000,BERRIN,2023-01-05 13:12:41.800000,,,,,,2023-01-05 13:12:41.800000,2023-01-05 13:12:42.083000,,,,0
684765,K,NT,2023-01-04 13:18:33,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-05 13:19:19.097000,BERRIN,2023-01-05 13:19:19.097000,,,,,,2023-01-05 13:19:19.203000,2023-01-05 13:19:19.753000,,,,0
684766,K,KT,2023-01-05 13:19:32,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-05 13:19:47.527000,BERRIN,2023-01-05 13:19:47.527000,,,,,,2023-01-05 13:19:47.620000,2023-01-05 13:19:48.110000,,,,0
684767,K,KT,2023-01-05 14:00:37,NAKIT ,V01,KS002,,,,,0,,,LIN,2023-01-05 14:01:36.500000,AIDAANA,2023-01-06 00:35:42.223000,,,,,,2023-01-06 00:35:42.233000,2023-01-06 00:35:42.780000,,,,0
684768,K,KT,2023-01-05 14:04:31,NAKIT,R01,KS005,,,,,0,,,RAYMOOL,2023-01-05 14:06:43.753000,RAYMOOL,2023-01-05 14:06:43.753000,,,,,,2023-01-05 14:06:43.850000,2023-01-05 14:06:44.830000,,,,0
684769,K,KT,2023-01-05 15:32:29,NAKİT,H01,KS007,,,,,0,,,KLAS,2023-01-05 15:33:13.923000,KLAS,2023-01-05 22:27:30.427000,,,,,,2023-01-05 22:27:30.453000,2023-01-05 22:27:31.190000,,,,0
684770,K,KT,2023-01-05 17:20:41,GIDER,D01,KM03,,,,,0,,,SEMRA,2023-01-05 17:21:27,SEMRA,2023-01-05 17:21:27,,,,,,2023-01-05 17:21:27.107000,2023-01-05 17:21:27.757000,,,,0
684771,K,KT,2023-01-05 17:19:14,GİDER,F01,KS004,,,,,0,,,FAMILYMOOL,2023-01-05 17:30:03.817000,FAMILYMOOL,2023-01-05 17:30:03.817000,,,,,,2023-01-05 17:30:03.900000,2023-01-05 17:30:04.880000,,,,0
684772,K,BY,2023-01-05 17:38:50,,KS01,KS001,,,,,0,,,BERRIN,2023-01-05 17:39:10.217000,BERRIN,2023-01-06 12:31:26.517000,,,,,,2023-01-06 12:31:26.537000,2023-01-06 12:31:26.943000,,,,0
684773,K,NT,2023-01-05 17:59:23,DOVIZ,KS01,KS001,,,,,0,,,BERRIN,2023-01-05 17:59:51.170000,BERRIN,2023-01-05 17:59:51.170000,,,,,,2023-01-05 17:59:51.227000,2023-01-05 17:59:51.677000,,,,0
684774,K,NO,2023-01-05 17:59:55,DOVIZ,KS01,KS001,,,,,0,,,BERRIN,2023-01-05 18:00:05.303000,BERRIN,2023-01-05 18:00:05.303000,,,,,,2023-01-05 18:00:05.347000,2023-01-05 18:00:05.843000,,,,0
684775,K,NT,2023-01-05 18:00:43,FR,KS01,KS001,,,,,0,,,BERRIN,2023-01-05 18:01:08.220000,BERRIN,2023-01-05 18:01:08.220000,,,,,,2023-01-05 18:01:08.280000,2023-01-05 18:01:08.770000,,,,0
684776,K,NT,2023-01-05 18:03:38,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-05 18:04:16.007000,BERRIN,2023-01-05 18:06:08.073000,,,,,,2023-01-05 18:06:08.097000,2023-01-05 18:06:08.450000,,,,0
684777,K,KT,2023-01-05 18:06:37,TOPTAN,T01,KS001,,,,,0,,,BERRIN,2023-01-05 18:06:50.270000,BERRIN,2023-01-05 18:06:50.270000,,,,,,2023-01-05 18:06:50.350000,2023-01-05 18:06:50.760000,,,,0
