MGidTip,SendServerName,SendCatalog,SendLocation,Title,SendGidTip,SendOpt
02.024,Fserver,KOSEM2017,KMS01,Z.BURNU İŞYERİ SİGORTA GD.,,*
02.025,Fserver,KOSEM2017,KMS01,Z.BURNU İKRAM,,*
03,Fserver,KOSEM2017,KMS01,DRMAN,,*
03.001,Fserver,KOSEM2017,KMS01,DR.ELEKTRİK,,*
03.002,Fserver,KOSEM2017,KMS01,DR.ISKI,,*
03.003,Fserver,KOSEM2017,KMS01,DR.TELEFON,,*
03.004,Fserver,KOSEM2017,KMS01,DR.INTERNET,,*
03.005,Fserver,KOSEM2017,KMS01,DR.MUTFAK,,*
03.006,Fserver,KOSEM2017,KMS01,DR.REKLAM,,*
03.007,Fserver,KOSEM2017,KMS01,DR.BAKIM,,*
03.008,Fserver,KOSEM2017,KMS01,DR.YOL,,*
03.009,Fserver,KOSEM2017,KMS01,DR.KIRA,,*
03.010,Fserver,KOSEM2017,KMS01,DR.YOVMIYE,,*
03.011,Fserver,KOSEM2017,KMS01,DR.TAMIR,,*
03.012,Fserver,KOSEM2017,KMS01,DR.HAMMALIYE,,*
03.013,Fserver,KOSEM2017,KMS01,DR.KASA NOKSAN,,*
03.014,Fserver,KOSEM2017,KMS01,DR.OTOPARK,,*
03.015,Fserver,KOSEM2017,KMS01,DR.KOMISYON,,*
03.017,Fserver,KOSEM2017,KMS01,DR.KARGO,,*
03.018,Fserver,KOSEM2017,KMS01,DR.ECZANE,,*
03.019,Fserver,KOSEM2017,KMS01,DR.TRAFIK CEZASI,,*
03.020,Fserver,KOSEM2017,KMS01,DR.KIRTASİYE,,*
03.021,Fserver,KOSEM2017,KMS01,DRAM SSK ÖDEMESİ,,*
03.022,Fserver,KOSEM2017,KMS01,DRAMAN İŞYERİ SİGORTA GD.,,*
04.001,Fserver,KOSEM2017,KMS01,JEEP BENZIN,,*
04.002,Fserver,KOSEM2017,KMS01,AHMET KÖKSAL EV FATURALARI,,*
04.003,Fserver,KOSEM2017,KMS01,MİNIBUS BENZİN,,*
04.004,Fserver,KOSEM2017,KMS01,JEEP BAKIM MASR.,,*
04.005,Fserver,KOSEM2017,KMS01,JEEP TRAFİK CEZA,,*
04.006,Fserver,KOSEM2017,KMS01,MİNİBUS BAKIM,,*
04.007,Fserver,KOSEM2017,KMS01,MİNİBÜS TRAFİK CEZA,,*
04.008,Fserver,KOSEM2017,KMS01,AHMET KÖKSAL HALKALI FATURALARI,,*
04.009,Fserver,KOSEM2017,KMS01,KREDİ ÖDEMESİ,,*
04.010,Fserver,KOSEM2017,KMS01,JEEP VERGI,,*
04.011,Fserver,KOSEM2017,KMS01,MINUBUS VERGI,,*
05.001,Fserver,KOSEM2017,KMS01,TOPTAN KIRA,,*
05.002,Fserver,KOSEM2017,KMS01,TOPTAN KASA NOKSAN,,*
05.003,Fserver,KOSEM2017,KMS01,TOPTAN KOMISYON,,*
05.004,Fserver,KOSEM2017,KMS01,TOPTAN ELEKTRIK,,*
05.005,Fserver,KOSEM2017,KMS01,TOPTAN BAKIM,,*
05.006,Fserver,KOSEM2017,KMS01,TOPTAN ISKI,,*
05.007,Fserver,KOSEM2017,KMS01,TOPTAN KARGO,,*
05.008,Fserver,KOSEM2017,KMS01,TOPTAN KIRTASİYE,,*
05.009,Fserver,KOSEM2017,KMS01,TOPTAN HAMMALİYE,,*
05.010,Fserver,KOSEM2017,KMS01,TOPTAN ÇUVAL KOLİ,,*
05.011,Fserver,KOSEM2017,KMS01,TOPTAN YOL VE OTOPARK,,*
05.012,Fserver,KOSEM2017,KMS01,TOPTAN KLİŞE VE ETİKET MASRAFI,,*
05.013,Fserver,KOSEM2017,KMS01,TOPTAN İKRAM,,*
05.014,Fserver,KOSEM2017,KMS01,BARKOD ALIMI,,*
05.015,Fserver,KOSEM2017,KMS01,TOPTAN FUAR GİDERİ,,*
05.016,Fserver,KOSEM2017,KMS01,HAVALE MASRAFI,,*
05.017,Fserver,KOSEM2017,KMS01,MAĞAZA GİDERLERİ,,*
05.018,Fserver,KOSEM2017,KMS01,TOPTAN EK PERSONEL GİDERİ,,*
05.019,Fserver,KOSEM2017,KMS01,İHRACAT GİDERİ,,*
05.020,Fserver,KOSEM2017,KMS01,TOPTAN REKLAM GİDERİ,,*
05.021,Fserver,KOSEM2017,KMS01,TOPTAN ARAÇ TAMİR,,*
05.022,Fserver,KOSEM2017,KMS01,TOPTAN TELEFON GİDERİ,,*
05.023,Fserver,KOSEM2017,KMS01,TOPTAN PERSONEL GİDERİ,,*
05.024,Fserver,KOSEM2017,KMS01,TOPTAN SSK ÖDEMESİ,,*
05.025,Fserver,KOSEM2017,KMS01,TOPTAN TRAFİK CEZASI,,*
05.026,Fserver,KOSEM2017,KMS01,MOTORLU TAŞITLAR VERGİSİ,,*
05.027,Fserver,KOSEM2017,KMS01,BANKA DEVRE FAİZİ,,*
05.028,Fserver,KOSEM2017,KMS01,ARAÇ KASKO-TRAFİK SİGORTASI GD.,,*
05.029,Fserver,KOSEM2017,KMS01,TOPTAN SAYIM GİDERLERİ,,*
05.030,Fserver,KOSEM2017,KMS01,BANKA MASRAFLARI,,*
05.031,Fserver,KOSEM2017,KMS01,TOPTAN NOTER VE RUHSAT VS.GD.,,*
06,Fserver,KOSEM2017,KMS01,ERBIL,,*
06.001,Fserver,KOSEM2017,KMS01,ERBİL YEMEK,,*
06.002,Fserver,KOSEM2017,KMS01,ERBİL HAVALE MASRAFI,,*
06.003,Fserver,KOSEM2017,KMS01,ERBİL YOL MASRAFI,,*
06.004,Fserver,KOSEM2017,KMS01,ERBİL KONTUR GİDERİ,,*
06.005,Fserver,KOSEM2017,KMS01,ERBİL REKLAM GİDERİ,,*
06.006,Fserver,KOSEM2017,KMS01,ERBİL KARGO ÜCRETİ,,*
06.007,Fserver,KOSEM2017,KMS01,ERBİL İNTERNET GİDERİ,,*
06.008,Fserver,KOSEM2017,KMS01,ERBİL BAKIM GİDERİ,,*
06.009,Fserver,KOSEM2017,KMS01,ERBİL KİRA BEDELİ,,*
06.010,Fserver,KOSEM2017,KMS01,ERBİL ELEKTRİK GD.,,*
06.011,Fserver,KOSEM2017,KMS01,ERBİL KIRTASİYE GİDERİ,,*
06.012,Fserver,KOSEM2017,KMS01,ERBİL PERSONEL GİDERİ,,*
06.013,Fserver,KOSEM2017,KMS01,ERBİL YÖVMİYE,,*
06.014,Fserver,KOSEM2017,KMS01,ERBİL VERGİ GİDERLERİ,,*
06.015,Fserver,KOSEM2017,KMS01,ERBİL KUR FARKI GD.,,*
06.016,Fserver,KOSEM2017,KMS01,ERBİL KASA NOKSANI,,*
06.017,Fserver,KOSEM2017,KMS01,ERBİL NAKLİYE GD.,,*
06.018,Fserver,KOSEM2017,KMS01,ERBİL İHRACAT GİDERİ,,*
06.019,Fserver,KOSEM2017,KMS01,ERBİL MUHASEBE GD.,,*
06.020,Fserver,KOSEM2017,KMS01,ERBİL EV KİRA GD.,,*
06.021,Fserver,KOSEM2017,KMS01,ERBİL SU GİDERİ,,*
06.022,Fserver,KOSEM2017,KMS01,ERBİL AVUKATLIK GD.,,*
07.014,Fserver,KOSEM2017,KMS01,ERBİL KASA NOKSANI,,*
08.001,Fserver,KOSEM2017,KMS01,BALKON TOPTAN KİRA,,*
08.002,Fserver,KOSEM2017,KMS01,BALKON TOPTAN İKRAM,,*
10.002,Fserver,KOSEM2017,KMS01,HAWLERMOL KARGO,,*
10.003,Fserver,KOSEM2017,KMS01,HAWLERMOL YOL,,*
11,Fserver,KOSEM2017,KMS01,RAYMOOL,,*
11.001,Fserver,KOSEM2017,KMS01,RAYMOOL BAKIM GİDERİ,,*
11.002,Fserver,KOSEM2017,KMS01,RAYMOOL KARGO VE NAKLİYE GİDERİ,,*
11.003,Fserver,KOSEM2017,KMS01,RAYMOOL ELEKTRİK GİDERİ,,*
11.004,Fserver,KOSEM2017,KMS01,RAYMOOL REKLAM GİDERİ,,*
11.005,Fserver,KOSEM2017,KMS01,RAYMOOL İNTERNET,,*
11.006,Fserver,KOSEM2017,KMS01,RAYMOOL KİRA,,*
11.007,Fserver,KOSEM2017,KMS01,RAYMOOL PERSONEL GİDERİ,,*
11.008,Fserver,KOSEM2017,KMS01,RAYMOOL YEMEK,,*
11.009,Fserver,KOSEM2017,KMS01,RAYMOOL KIRTASİYE,,*
11.010,Fserver,KOSEM2017,KMS01,RAYMOOL YOL,,*
11.011,Fserver,KOSEM2017,KMS01,RAYMOOL MAZOT-BENZİN,,*
11.012,Fserver,KOSEM2017,KMS01,RAYMOOL KUR FARKI,,*
12,Fserver,KOSEM2017,KMS01,TABLOMOOL,,*
12.001,Fserver,KOSEM2017,KMS01,TABLOMOOL BAKIM,,*
12.002,Fserver,KOSEM2017,KMS01,TABLAMOL İNTERNET,,*
12.003,Fserver,KOSEM2017,KMS01,TABLAMOOL NAKLİYE,,*
12.004,Fserver,KOSEM2017,KMS01,TABLAMOL YEMEK,,*
12.005,Fserver,KOSEM2017,KMS01,TABLAMOL MAAŞ,,*
13,Fserver,KOSEM2017,KMS01,FAMILYMOOL,,*
13.001,Fserver,KOSEM2017,KMS01,FAMILY YEMEK,,*
13.002,Fserver,KOSEM2017,KMS01,FAMILY REKLAM,,*
13.003,Fserver,KOSEM2017,KMS01,FAMILY İNTERNET,,*
13.004,Fserver,KOSEM2017,KMS01,FAMILY NAKLİYE,,*
13.005,Fserver,KOSEM2017,KMS01,FAMILY PERSONEL GİD.,,*
13.006,Fserver,KOSEM2017,KMS01,FAMILY KIRTASİYE GİD.,,*
13.007,Fserver,KOSEM2017,KMS01,FAMILY KARGO GD.,,*
13.008,Fserver,KOSEM2017,KMS01,FAMILY KONTUR GD.,,*
13.009,Fserver,KOSEM2017,KMS01,FAMILY BAKIM GD.,,*
13.010,Fserver,KOSEM2017,KMS01,FAMILY KİRA,,*
13.011,Fserver,KOSEM2017,KMS01,FAMILY ELEKTRİK GD.,,*
13.012,Fserver,KOSEM2017,KMS01,FAMILYMOOL HAVALE MS.,,*
13.013,Fserver,KOSEM2017,KMS01,FAMILYMOOL ULAŞIM GİDERİ,,*
13.014,Fserver,KOSEM2017,KMS01,FAMILY KUR FARK GD.,,*
14.001,Fserver,KOSEM2017,KMS01,LALELİ MUTFAK GD.,,*
14.002,Fserver,KOSEM2017,KMS01,LALELİ TELEFON GD.,,*
14.003,Fserver,KOSEM2017,KMS01,LALELİ KIRTASİYE GD.,,*
14.004,Fserver,KOSEM2017,KMS01,LALELİ BAKIM GD.,,*
14.005,Fserver,KOSEM2017,KMS01,LALELİ KİRA GD.,,*
14.006,Fserver,KOSEM2017,KMS01,LALELİ YOL-BENZİN GD.,,*
14.007,Fserver,KOSEM2017,KMS01,LALELİ ELEKTRİK GD.,,*
14.008,Fserver,KOSEM2017,KMS01,LALELİ İSKİ GD.,,*
14.009,Fserver,KOSEM2017,KMS01,LALELİ PERSONEL GD.,,*
14.010,Fserver,KOSEM2017,KMS01,LALELİ KARGO GD.,,*
14.011,Fserver,KOSEM2017,KMS01,LALELİ NAKLİYE GD.,,*
14.013,Fserver,KOSEM2017,KMS01,LALELİ KOMİSYON,,*
14.014,Fserver,KOSEM2017,KMS01,LALELİ DEPOZİTO,,*
14.015,Fserver,KOSEM2017,KMS01,LALELİ REKLAM GD.,,*
14.016,Fserver,KOSEM2017,KMS01,LALELİ TEMİZLİK GD.,,*
14.017,Fserver,KOSEM2017,KMS01,LALELİ AİDAT,,*
14.018,Fserver,KOSEM2017,KMS01,LALELİ İKRAM,,*
14.020,Fserver,KOSEM2017,KMS01,LALELİ TAMİR,,*
14.021,Fserver,KOSEM2017,KMS01,LALELİ SSK GİDERİ,,*
14.022,Fserver,KOSEM2017,KMS01,LALELİ İŞYERİ SİGORTA GD.,,*
14.023,Fserver,KOSEM2017,KMS01,LALELİ KASA NOKSANI,,*
14.024,Fserver,KOSEM2017,KMS01,LALELİ ÇUVAL-KOLİ-BANT,,*
14.025,Fserver,KOSEM2017,KMS01,LALELİ KURULUŞ VE RUHSAT GD.,,*
14.026,Fserver,KOSEM2017,KMS01,LALELİ MAĞAZA ÜRÜN İADE GD.,,*
15.001,Fserver,KOSEM2017,KMS01,HAMİDİYE KİRA GİD.,,*
15.002,Fserver,KOSEM2017,KMS01,HAMİDİYE DEPOZİT GD.,,*
15.003,Fserver,KOSEM2017,KMS01,HAMİDİYE BİLGİSAYAR GD.,,*
15.004,Fserver,KOSEM2017,KMS01,HAMİDİYE İKRAM,,*
15.005,Fserver,KOSEM2017,KMS01,HAMİDİYE MUTFAK GD.,,*
15.006,Fserver,KOSEM2017,KMS01,HAMİDİYE KIRTASİYE,,*
15.007,Fserver,KOSEM2017,KMS01,HAMİDİYE ÇUVAL-BANT,,*
15.008,Fserver,KOSEM2017,KMS01,HAMİDİYE TADİLAT-BAKIM GD.,,*
15.009,Fserver,KOSEM2017,KMS01,HAMİDİYE BAKIM,,*
15.010,Fserver,KOSEM2017,KMS01,HAMİDİYE REKLAM GD.,,*
15.012,Fserver,KOSEM2017,KMS01,HAMİDİYE KASA NOKSANI,,*
15.013,Fserver,KOSEM2017,KMS01,HAMİDİYE TELEFON,,*
15.014,Fserver,KOSEM2017,KMS01,HAMİDİYE ELEKTRİK GD.,,*
15.015,Fserver,KOSEM2017,KMS01,HAMİDİYE KOMİSYON,,*
15.016,Fserver,KOSEM2017,KMS01,HAMİDİYE RUHSAT VE NOTER GD.,,*
15.017,Fserver,KOSEM2017,KMS01,HAMİDİYE YOL GD.,,*
15.018,Fserver,KOSEM2017,KMS01,HAMİDİYE KARGO,,*
15.019,Fserver,KOSEM2017,KMS01,HAMİDIYE SEHYAT,,*
15.020,Fserver,KOSEM2017,KMS01,HAMİDİYE İŞYERİ SİGORTA GD.,,*
AKBIL,Fserver,KOSEM2017,KMS01,AKBIL UCRETİ,,*
BAG-KUR,Fserver,KOSEM2017,KMS01,BAĞKUR ÖDEMELERI,,*
EKISYERI,Fserver,KOSEM2017,KMS01,EKİŞYERİ GİDERLERİ,,*
GECIKME ZAMLARI,Fserver,KOSEM2017,KMS01,GECİKME ZAMMI ÖDEMELERİ,,*
PERS.BANKA,Fserver,KOSEM2017,KMS01,PERSONEL BANKAYA YATAN MAAS,,*
SSK,Fserver,KOSEM2017,KMS01,SSK ÖDEMLERI,,*
VERGI,Fserver,KOSEM2017,KMS01,VERGI ÖDEMELERI,,*
