ISOCODE,Tanim,DBName
BOB,Boliviano,LINDONSENTOS
BRL,Brazilian Real,LINDONSENTOS
BSD,Bahamian Dollar,LINDONSENTOS
BTN,Ngultrum,LINDONSENTOS
BWP,Pula,LINDONSENTOS
BYR,Belarussian Ruble,LINDONSENTOS
BZD,Belize Dollar,LINDONSENTOS
CAD,Canadian Dollar,LINDONSENTOS
CDF,Franc Congolais,LINDONSENTOS
CHF,Swiss Franc,LINDONSENTOS
CLP,Chilean Peso,LINDONSENTOS
CNY,Yuan Renminbi,LINDONSENTOS
COP,Colombian Peso,LINDONSENTOS
CRC,Costa Rican Colon,LINDONSENTOS
CUP,Cuban Peso,LINDONSENTOS
CVE,Cape Verde Escudo,LINDONSENTOS
CYP,Cyprus Pound,LINDONSENTOS
CZK,Czech Koruna,LINDONSENTOS
DJF,Djibouti Franc,LINDONSENTOS
DKK,Danish Krone,LINDONSENTOS
DOP,Dominican Peso,LINDONSENTOS
DZD,Algerian Dinar,LINDONSENTOS
EEK,Kroon,LINDONSENTOS
EGP,Egyptian Pound,LINDONSENTOS
ERN,Nakfa,LINDONSENTOS
ETB,Ethopian Birr,LINDONSENTOS
EUR,Euro,LINDONSENTOS
FJD,Fiji Dollar,LINDONSENTOS
FKP,Falkland Islands Pound,LINDONSENTOS
GBP,Pound Sterling,LINDONSENTOS
GEL,Lari,LINDONSENTOS
GHC,Cedi,LINDONSENTOS
GIP,Gibraltar Pound,LINDONSENTOS
GMD,Dalasi,LINDONSENTOS
GNF,Guinea Franc,LINDONSENTOS
GTQ,Quetzal,LINDONSENTOS
GYD,Guyana Dollar,LINDONSENTOS
HKD,Honk Kong Dollar,LINDONSENTOS
HNL,Lempira,LINDONSENTOS
HRK,Kuna,LINDONSENTOS
HTG,Gourde,LINDONSENTOS
HUF,Forint,LINDONSENTOS
IDR,Rupiah,LINDONSENTOS
ILS,New Israeli Sheqel,LINDONSENTOS
INR,Indian Rupee,LINDONSENTOS
IQD,Iraqi Dinar,LINDONSENTOS
IRR,Iranian Rial,LINDONSENTOS
ISK,Iceland Krona,LINDONSENTOS
JMD,Jamaican Dollar,LINDONSENTOS
JOD,Jordanian Dinar,LINDONSENTOS
JPY,Yen,LINDONSENTOS
KES,Kenyan Shilling,LINDONSENTOS
KGS,Som,LINDONSENTOS
KHR,Riel,LINDONSENTOS
KMF,Comoro Franc,LINDONSENTOS
KPW,North Korean Won,LINDONSENTOS
KRW,Won,LINDONSENTOS
KWD,Kuwaiti Dinar,LINDONSENTOS
KYD,Cayman Islands Dollar,LINDONSENTOS
KZT,Tenge,LINDONSENTOS
LAK,Kip,LINDONSENTOS
LBP,Lebanese Pound,LINDONSENTOS
LKR,Sri Lanka Rupee,LINDONSENTOS
LRD,Liberian Dollar,LINDONSENTOS
LSL,Loti,LINDONSENTOS
LTL,Lithuanian Litas,LINDONSENTOS
LVL,Latvian Lats,LINDONSENTOS
LYD,Libyan Dinar,LINDONSENTOS
MAD,Morrocan Dirham,LINDONSENTOS
MDL,Moldovan Leu,LINDONSENTOS
MGF,Malagasy Franc,LINDONSENTOS
MKD,Denar,LINDONSENTOS
MMK,Kyat,LINDONSENTOS
MNT,Tugrik,LINDONSENTOS
MOP,Pataca,LINDONSENTOS
MRO,Ouguiya,LINDONSENTOS
MTL,Maltese Lira,LINDONSENTOS
MUR,Mauritius Rupee,LINDONSENTOS
MVR,Rufiyaa,LINDONSENTOS
MWK,Kwacha,LINDONSENTOS
MXN,Mexican Peso,LINDONSENTOS
MYR,Malaysian Ringgit,LINDONSENTOS
MZM,Metical,LINDONSENTOS
NAD,Namibia Dollar,LINDONSENTOS
NGN,Naira,LINDONSENTOS
NIO,Cordoba Oro,LINDONSENTOS
NOK,Norwegian Krone,LINDONSENTOS
NPR,Nepalese Rupee,LINDONSENTOS
NZD,New Zealand Dollar,LINDONSENTOS
OMR,Rial Omani,LINDONSENTOS
PAB,Balboa,LINDONSENTOS
PEN,Nuevo Sol,LINDONSENTOS
PGK,Kina,LINDONSENTOS
PHP,Philippine Peso,LINDONSENTOS
PKR,Pakistan Rupee,LINDONSENTOS
PLN,Zloty,LINDONSENTOS
PYG,Guarani,LINDONSENTOS
QAR,Qatari Rial,LINDONSENTOS
ROL,Leu,LINDONSENTOS
RUB,Russian Ruble,LINDONSENTOS
RWF,Rwanda Franc,LINDONSENTOS
SAR,Saudi Riyal,LINDONSENTOS
SBD,Solomon Islands Dollar,LINDONSENTOS
SCR,Seychelles Rupee,LINDONSENTOS
SDD,Sudanese Dinar,LINDONSENTOS
SEK,Swedish Krona,LINDONSENTOS
SGD,Singapore Dollar,LINDONSENTOS
SHP,St. Helena Pound,LINDONSENTOS
SIT,Tolar,LINDONSENTOS
SKK,Slovak Koruna,LINDONSENTOS
SLL,Leone,LINDONSENTOS
SOS,Somali Shilling,LINDONSENTOS
SRG,Suriname Guilder,LINDONSENTOS
STD,Dobra,LINDONSENTOS
SVC,El Salvador Colon,LINDONSENTOS
SYP,Syrian Pound,LINDONSENTOS
SZL,Lilangeni,LINDONSENTOS
THB,Baht,LINDONSENTOS
TJS,Somoni,LINDONSENTOS
TMM,Manat,LINDONSENTOS
TND,Tunisian Dinar,LINDONSENTOS
TOP,Pa'anga,LINDONSENTOS
TRL,Türk Lirası,LINDONSENTOS
TTD,Trinidad and Tobago Dollar,LINDONSENTOS
TWD,New Taiwan Dollar,LINDONSENTOS
TZS,Tanzanian Shilling,LINDONSENTOS
UAH,Hryvnia,LINDONSENTOS
UGX,Uganda Shilling,LINDONSENTOS
USD,Amerikan Doları,LINDONSENTOS
UYU,Peso Uruguayo,LINDONSENTOS
UZS,Uzbekistan Sum,LINDONSENTOS
VEB,Bolivar,LINDONSENTOS
VND,Dong,LINDONSENTOS
VUV,Vatu,LINDONSENTOS
WST,Tala,LINDONSENTOS
XAF,CFA Franc,LINDONSENTOS
XAG,Silver,LINDONSENTOS
XAU,Gold,LINDONSENTOS
XCD,East Carribean Dollar,LINDONSENTOS
XDR,SDR,LINDONSENTOS
XOF,CFA Franc,LINDONSENTOS
XPD,Palladium,LINDONSENTOS
XPF,CFP Franc,LINDONSENTOS
XPT,Platinum,LINDONSENTOS
YER,Yemeni Rial,LINDONSENTOS
YUM,New Dinar,LINDONSENTOS
ZAR,Rand,LINDONSENTOS
ZMK,Kwacha,LINDONSENTOS
ZWD,Zimbabwe Dollar,LINDONSENTOS
