Modul,FisTip,FisNo,FisHarinx,SKod,RKod,Asorti,Miktar
F,fal,134,225,037 8644,450,0063,1.0
F,fal,135,226,272 2301,339,0089,1.0
F,fal,135,227,272 2301,340,0079,5.0
F,fal,135,227,272 2301,341,0079,5.0
F,fal,135,228,272 2301,338,0005,5.0
F,fal,135,228,272 2301,339,0005,5.0
F,fal,143,237,013 1268,30,0001,6.0
F,fal,143,237,013 1268,33,0001,6.0
F,fal,143,238,013 1272,127,0001,1.0
F,fal,143,238,013 1272,128,0001,1.0
F,fal,143,239,013 1268,30,0001,2.0
F,fal,143,239,013 1268,33,0001,1.0
F,fal,144,240,055 1657,35,0001,6.0
F,fal,144,240,055 1657,37,0001,6.0
F,fal,144,240,055 1657,40,0001,6.0
F,fal,144,241,055 1657,35,0001,4.0
F,fal,144,241,055 1657,37,0001,4.0
F,fal,144,241,055 1657,40,0001,3.0
F,fal,145,242,251 935,38,0001,6.0
F,fal,145,242,251 935,39,0001,6.0
F,fal,145,242,251 935,129,0001,6.0
F,fal,145,243,251 936,38,0001,3.0
F,fal,145,244,251 935,39,0001,2.0
F,fal,145,244,251 935,129,0001,4.0
F,fal,146,245,128 513,1,0001,6.0
F,fal,146,246,128 513,1,0001,4.0
F,fal,146,246,128 513,41,0001,3.0
F,fal,146,247,128 506 ,40,0001,2.0
F,fal,146,247,128 506 ,41,0001,3.0
F,fal,147,248,037 8599,55,0001,6.0
F,fal,147,248,037 8599,56,0001,6.0
F,fal,147,249,037 8680,142,0001,1.0
F,fal,147,249,037 8680,143,0001,2.0
F,fal,147,250,037 8599,56,0001,1.0
F,fal,147,250,037 8599,274,0001,1.0
F,fal,148,251,303 78117,136,0001,3.0
F,fal,148,251,303 78117,139,0001,1.0
F,fal,148,252,303 78110,137,0001,1.0
F,fal,148,253,303 77827,135,0001,2.0
F,fal,148,253,303 77827,136,0001,2.0
F,fal,148,254,303 63043,133,0001,2.0
F,fal,148,255,303 63041,130,0001,1.0
F,fal,149,256,309 3047,430,0031,1.0
F,fal,149,256,309 3047,433,0031,1.0
F,fal,149,257,309 3164,475,0005,1.0
F,fal,149,258,309 3047,471,0005,1.0
F,fal,149,259,309 3164,49,0081,1.0
F,fal,149,259,309 3164,472,0081,1.0
F,fal,150,260,407 2658,615,0001,1.0
F,fal,151,261,009 179,232,0005,1.0
F,fal,151,262,009 1036,41,0045,1.0
F,fal,151,262,009 1036,45,0045,1.0
F,fal,151,262,009 1036,242,0045,1.0
F,fal,152,263,013 5682,452,0061,1.0
F,fal,153,264,128 513,49,0059,1.0
F,fal,153,265,128 507,41,0087,1.0
F,fal,153,265,128 507,481,0087,1.0
F,fal,153,266,128 506 ,140,0093,1.0
F,fal,153,267,128 507,286,0001,1.0
F,fal,153,267,128 507,481,0001,1.0
F,fal,153,268,128 513,52,0001,1.0
F,fal,154,269,037 6824,216,0021,1.0
F,fal,156,271,369 8603,40,0045,2.0
F,fal,156,271,369 8603,41,0045,2.0
F,fal,156,271,369 8603,283,0045,2.0
F,fal,156,272,369 8610,279,0045,2.0
F,fal,156,272,369 8610,281,0045,2.0
F,fal,156,273,369 8603-1,40,0045,2.0
F,fal,156,273,369 8603-1,41,0045,2.0
F,fal,156,273,369 8603-1,278,0045,2.0
F,fal,156,274,369 2409,40,0045,2.0
F,fal,156,274,369 2409,41,0045,2.0
F,fal,157,275,293 201,60,0063,1.0
F,fal,157,275,293 201,435,0063,1.0
F,fal,160,298,418 T 10129 LEO,9,0007,1.0
F,fal,160,299,418 T 10160 CM,15,0011,1.0
F,fal,160,299,418 T 10160 CM,95,0011,1.0
F,fal,160,300,418 T 10316,24,0019,1.0
F,fal,160,301,418 T 10319,22,0007,2.0
F,fal,160,302,418 T 10319,22,0011,1.0
F,fal,160,302,418 T 10319,23,0011,1.0
F,fal,160,303,418 T 10319,22,0017,1.0
F,fal,160,303,418 T 10319,23,0017,1.0
F,fal,160,304,418 T 10319,22,0007,1.0
F,fal,160,304,418 T 10319,23,0007,1.0
F,fal,160,305,418 T 10305,20,0007,1.0
F,fal,160,306,418 T 10305,20,0015,1.0
F,fal,160,306,418 T 10305,21,0007,1.0
F,fal,160,307,418 T 10305,20,0013,1.0
F,fal,160,307,418 T 10305,21,0015,1.0
F,fal,160,308,418 T 10305,20,0007,1.0
F,fal,160,308,418 T 10305,21,0007,1.0
F,fal,160,309,418 T 10305,20,0011,1.0
F,fal,160,309,418 T 10305,21,0011,1.0
F,fal,160,310,418 T 10179 ,3,0007,1.0
F,fal,160,311,418 T 10155,18,0009,1.0
F,fal,160,311,418 T 10155,19,0009,1.0
F,fal,160,312,418 T 10141,17,0007,1.0
F,fal,160,313,418 T 10141,14,0007,1.0
F,fal,160,314,418 T 10141,13,0007,1.0
F,fal,160,314,418 T 10141,15,0007,1.0
F,fal,160,314,418 T 10141,16,0007,2.0
F,fal,160,315,418 T 10132,11,0007,1.0
F,fal,160,316,418 T 10129,10,0009,1.0
F,fal,160,317,418 T 10109,3,0007,1.0
F,fal,160,317,418 T 10109,8,0007,1.0
F,fal,162,350,009 179,1,0185,1.0
F,fal,162,350,009 179,6,0007,1.0
F,fal,162,350,009 179,1248,0004,1.0
F,fal,162,350,009 179,1438,1,1.0
F,fal,162,350,009 179,1439,0001,1.0
F,fal,162,350,009 179,1440,0001,1.0
F,fal,165,353,009 179,235,0001,1.0
F,fal,165,354,009 201,233,0045,1.0
F,fal,165,354,009 201,235,0049,1.0
F,fal,165,355,009 1052,242,0065,1.0
F,fal,165,356,009 179,229,0085,1.0
F,fal,165,357,009 201,235,0001,1.0
F,fal,165,358,009 201,229,0007,1.0
F,fal,165,359,009 201,229,0007,1.0
F,fal,165,359,009 201,233,0137,1.0
F,fal,165,359,009 201,240,0137,1.0
F,fal,166,360,037 5854,296,0045,2.0
F,fal,166,361,037 029,721,0001,4.0
F,fal,167,362,393 7635,564,0063,1.0
F,fal,167,363,393 7632,499,0001,1.0
F,fal,167,363,393 7632,500,0001,2.0
F,fal,167,364,393 7632,499,0001,1.0
F,fal,168,365,097 2701,41,0001,1.0
F,fal,169,366,407 2603,644,0001,1.0
F,fal,170,367,055 1700,317,0045,2.0
F,fal,170,367,055 1700,320,0045,2.0
F,fal,172,376,009 201,235,0001,1.0
F,fal,172,376,009 201,508,0001,1.0
F,fal,172,377,009 1036,45,0001,1.0
F,fal,172,377,009 1036,239,0001,1.0
F,fal,174,381,185 2662,1201,0001,1.0
F,fal,174,381,185 2662,1202,0001,1.0
F,fal,175,382,418 S 10182 CM,16,0027,2.0
F,fal,175,383,418 S 10195 CM,116,0027,2.0
F,fal,175,383,418 S 10195 CM,117,0027,2.0
F,fal,175,384,418 S 10195 CM,117,0027,3.0
F,fal,175,385,418 S 10195 CM,117,0027,15.0
F,fal,175,386,418 S 10343 CM ,12,0037,1.0
F,fal,175,386,418 S 10343 CM ,16,0043,1.0
F,fal,175,387,418 S 10343 CM ,16,0027,2.0
F,fal,175,388,418 S 10343 CM ,16,0027,3.0
F,fal,175,389,418 T 10160 CM,16,0041,1.0
F,fal,175,390,418 T 10187 CM,95,0039,1.0
F,fal,175,391,418 T 10317 ,8,0027,1.0
F,fal,175,392,418 T 10344,225,0027,8.0
F,fal,175,393,418 T 10344,213,0027,4.0
F,fal,175,393,418 T 10344,225,0027,1.0
F,fal,175,394,418 T 10339,262,0027,2.0
F,fal,175,395,418 T 10187,103,0027,1.0
F,fal,175,396,418 T 10301,3,0027,1.0
F,fal,175,396,418 T 10301,106,0027,1.0
F,fal,175,397,418 T 10354,8,0027,1.0
F,fal,175,397,418 T 10354,112,0027,3.0
F,fal,175,398,418 T 10356,16,0027,2.0
F,fal,175,399,418 T 10356,16,0027,2.0
F,fal,175,400,418 T 10394 ,3,0035,87.0
F,fal,175,401,418 T 10160 CM,16,0027,20.0
F,fal,175,402,418 T 10263,103,0027,20.0
F,fal,175,403,418 T 10160 CM,15,0027,15.0
F,fal,175,403,418 T 10160 CM,95,0027,15.0
F,fal,175,404,418 T 10263,3,0027,15.0
F,fal,175,405,418 T 10394 ,3,0027,15.0
F,fal,175,406,418 T 10263,103,0027,7.0
F,fal,175,407,418 T 10394 ,64,0027,15.0
F,fal,175,408,418 T 10263,3,0027,6.0
F,fal,175,409,418 T 10160 CM,16,0027,5.0
F,fal,175,410,418 T 10160 CM,16,0027,4.0
F,fal,175,411,418 T 10187,3,0027,2.0
F,fal,175,412,418 T 10263,197,0027,2.0
F,fal,175,413,418 T 10160 CM,16,0015,1.0
F,fal,175,414,418 T 10366,190,0031,1.0
F,fal,175,415,418 T 10365,21,0029,1.0
F,fal,175,416,418 T 10365,21,0027,3.0
F,fal,175,416,418 T 10365,172,0027,2.0
F,fal,175,416,418 T 10365,177,0027,2.0
F,fal,175,417,418 T 10365,21,0007,1.0
F,fal,188,464,002 H 1509 ,216,0049,1.0
F,fal,188,464,002 H 1509 ,794,0049,1.0
F,fal,188,465,002 H 1485,1089,0149,1.0
F,fal,189,466,393 1219,311,0001,1.0
F,fal,189,467,393 1219,588,0001,1.0
F,fal,192,470,272 2301,341,0149,1.0
F,fal,192,471,272 2301,339,0149,1.0
F,fal,193,472,009 201,233,0061,1.0
F,fal,193,473,009 1052,229,0001,1.0
F,fal,193,474,009 201,229,0085,1.0
F,fal,193,474,009 201,233,0085,1.0
F,fal,193,475,009 201,229,0009,1.0
F,fal,193,476,009 201,229,0009,1.0
F,fal,194,477,037 029,720,0001,4.0
F,fal,195,478,128 514,42,0001,4.0
F,fal,195,479,128 514,41,0001,4.0
F,fal,196,480,086 8611,36,0001,6.0
F,fal,196,480,086 8611,58,0001,6.0
F,fal,196,480,086 8611,59,0001,6.0
F,fal,197,481,293 040,60,0001,8.0
F,fal,197,481,293 040,210,0001,8.0
F,fal,200,491,009 179,229,0021,1.0
F,fal,200,492,009 201,233,0009,1.0
F,fal,200,492,009 201,240,0009,1.0
F,fal,200,493,009 1052,229,0009,1.0
F,fal,200,496,009 1052,470,0075,1.0
F,fal,200,497,009 822,239,0001,4.0
F,fal,205,504,443 1060,26,0045,2.0
F,fal,205,504,443 1060,342,0045,2.0
F,fal,205,504,443 1060,343,0045,2.0
F,fal,206,505,055 1700,303,0045,2.0
F,fal,206,506,055 1718,34,0045,2.0
F,fal,206,507,055 1725,34,0045,2.0
F,fal,206,507,055 1725,43,0045,2.0
F,fal,206,508,055 1709,34,0045,2.0
F,fal,206,508,055 1709,40,0045,2.0
F,fal,207,509,097 500,645,0019,1.0
F,fal,207,509,097 500,646,0019,1.0
F,fal,207,509,097 500,647,0019,1.0
F,fal,207,510,097 2706,506,0001,1.0
F,fal,208,511,013 1268,30,0149,1.0
F,fal,209,512,411 273,1203,0001,1.0
F,fal,210,513,393 7635,564,0001,1.0
F,fal,210,514,393 7645,594,0001,1.0
F,fal,211,515,185 1990,1201,0063,1.0
F,fal,212,516,037 5851,293,0045,2.0
F,fal,217,521,007 20 2300,386,0109,1.0
F,fal,217,522,007 19 2259,44,0045,2.0
F,fal,217,522,007 19 2259,310,0045,2.0
F,fal,217,523,007 19 2257,395,0001,1.0
F,fal,217,525,007 19 2257,393,0001,1.0
F,fal,230,609,009 1036,41,0001,3.0
F,fal,230,609,009 1036,45,0001,3.0
F,fal,230,610,009 201,238,0009,3.0
F,fal,230,611,009 1061,238,0031,1.0
F,fal,230,612,009 201,238,0009,1.0
F,fal,231,613,185 1990,1318,0063,1.0
F,fal,232,614,009 1056,229,0007,1.0
F,fal,232,614,009 1056,233,0031,1.0
F,fal,232,615,009 1052,229,0009,1.0
F,fal,232,615,009 1052,233,0009,1.0
F,fal,232,616,009 201,228,0009,1.0
F,fal,232,616,009 201,233,0009,1.0
F,fal,232,617,009 1052,229,0009,1.0
F,fal,232,617,009 1052,233,0009,1.0
F,fal,232,618,009 1056,241,0001,1.0
F,fal,232,619,009 201,228,0009,1.0
F,fal,232,620,009 1052,233,0009,1.0
F,fal,232,621,009 821,42,0083,1.0
F,fal,232,622,009 821,42,0095,1.0
F,fal,232,623,009 1036,242,0001,3.0
F,fal,232,624,009 201,229,0009,3.0
F,fal,232,624,009 201,231,0009,3.0
F,fal,232,625,009 179,228,0001,1.0
F,fal,233,626,128 513,52,0032,1.0
F,fal,234,627,303 77315,465,0071,1.0
F,fal,234,628,303 17145,461,0061,1.0
F,fal,235,629,185 1990,1381,0063,1.0
F,fal,236,630,393 385 ,43,0001,1.0
F,fal,236,631,393 385 ,342,0001,1.0
F,fal,236,632,393 394,452,0001,1.0
F,fal,238,634,007 20 2301,494,0109,1.0
F,fal,238,635,007 20 2651,161,0109,1.0
F,fal,238,635,007 20 2651,162,0109,1.0
F,fal,238,636,007 20 2651,161,0001,1.0
F,fal,238,637,007 20 2651,161,0045,1.0
F,fal,238,637,007 20 2651,162,0045,1.0
F,fal,238,638,007 20 2651,162,0045,1.0
F,fal,238,639,007 20 2651,162,0001,1.0
F,fal,238,644,007 20 2651,162,0001,2.0
F,fal,246,666,007 20 2651,157,0001,2.0
F,fal,248,668,002 T 8773,1122,0001,1.0
F,fal,248,668,002 T 8773,1123,0151,1.0
F,fal,248,668,002 T 8773,1124,0151,1.0
F,fal,248,669,002 H 945,484,0007,1.0
F,fal,248,707,002 H 2449,1092,0149,1.0
F,fal,248,708,002 H 2480,1090,0149,1.0
F,fal,248,709,002 H 2575,1276,0035,1.0
F,fal,248,710,002 H 2576,1276,0045,1.0
F,fal,248,711,002 H 2580,935,0177,1.0
F,fal,248,712,002 H 2195,332,0031,3.0
F,fal,248,713,002 H 2076,331,0031,1.0
F,fal,248,713,002 H 2076,332,0031,2.0
F,fal,248,713,002 H 2076,333,0031,1.0
F,fal,248,714,002 H 1142,324,0001,3.0
F,fal,248,714,002 H 1142,325,0001,3.0
F,fal,248,715,002 H 2581,736,0001,3.0
F,fal,248,715,002 H 2581,737,0009,3.0
F,fal,248,715,002 H 2581,738,0009,3.0
F,fal,248,716,002 H 2475,731,0001,1.0
F,fal,248,716,002 H 2475,733,0009,3.0
F,fal,248,717,002 H 2538,728,0009,3.0
F,fal,248,718,002 H 1999,345,0001,3.0
F,fal,248,718,002 H 1999,726,0009,3.0
F,fal,249,670,408 2033,480,0001,1.0
F,fal,249,671,408 2008,692,0001,4.0
F,fal,251,675,418 T 10204,410,0051,1.0
F,fal,251,675,418 T 10204,411,0051,1.0
F,fal,251,675,418 T 10204,412,0051,1.0
F,fal,251,676,418 T 10353 CM ,12,0051,1.0
F,fal,251,676,418 T 10353 CM ,16,0051,1.0
F,fal,251,677,418 T 10160 CM,12,0051,1.0
F,fal,251,677,418 T 10160 CM,16,0051,1.0
F,fal,251,677,418 T 10160 CM,185,0051,1.0
F,fal,251,678,418 T 10346,64,0051,1.0
F,fal,251,679,418 T 10365,175,0051,1.0
F,fal,252,680,309 4092,49,0035,1.0
F,fal,252,680,309 4092,210,0035,1.0
F,fal,253,681,009 41,483,0001,1.0
F,fal,253,682,009 1056,233,0009,3.0
F,fal,253,683,009 1052,1244,0021,1.0
F,fal,253,684,009 1052,233,0009,1.0
F,fal,253,685,009 201,238,0007,1.0
F,fal,255,693,418 T 10374,284,0079,1.0
F,fal,255,694,418 T 10164 A,3,0079,1.0
F,fal,255,695,418 T 10316 S,351,0077,1.0
F,fal,255,696,418 T 10344,476,0031,1.0
F,fal,258,704,055 1718,321,0045,2.0
F,fal,260,719,007 20 2651,161,0049,1.0
F,fal,260,720,007 20 2650,157,0001,1.0
F,fal,260,721,007 20 2651,161,0001,1.0
F,fal,260,722,007 20 2651,157,0001,1.0
F,fal,261,723,251 935,38,0001,1.0
F,fal,261,724,251 930,1482,0001,1.0
F,fal,262,725,393 396,141,0001,1.0
F,fal,262,726,393 7895,1248,0063,1.0
F,fal,263,727,303 63032,1070,0149,1.0
F,fal,263,728,303 63043,133,0149,1.0
F,fal,263,729,303 63038,1066,0149,1.0
F,fal,263,730,303 79605,1054,0149,1.0
F,fal,263,731,303 79605,1055,0149,1.0
F,fal,263,732,303 63044,1053,0149,1.0
F,fal,264,733,248 1113,299,0001,1.0
F,fal,265,734,185 2630,1235,0038,1.0
F,fal,266,735,009 1036,239,0001,3.0
F,fal,266,736,009 1052,240,0009,1.0
F,fal,266,737,009 201,235,0009,1.0
F,fal,266,738,009 1052,240,0009,1.0
F,fal,266,739,009 201,228,0009,1.0
F,fal,266,740,009 201,240,0009,1.0
F,fal,266,741,009 1052,240,0009,1.0
F,fal,266,742,009 201,240,0007,1.0
F,fal,266,743,009 1036,45,0001,1.0
F,fal,268,747,251 930,1484,0001,1.0
F,fal,269,748,210 17-Z-01,493,0042,1.0
F,fal,269,749,210 03-Z-02,283,0149,1.0
F,fal,270,750,009 1061,240,0135,1.0
F,fal,270,751,009 201,240,0009,1.0
F,fal,271,752,309 4162,1098,0134,3.0
F,fal,272,753,007 20 857,230,0001,1.0
F,fal,273,754,002 H 1778,1088,0149,1.0
F,fal,273,755,002 H 2753,946,0001,1.0
F,fal,273,756,002 H 2510,853,0007,1.0
F,fal,273,757,002 H 2733 ,370,0007,1.0
F,fal,273,758,002 H 2575,1277,0035,1.0
F,fal,273,759,002 H 1289,1383,0179,1.0
F,fal,273,760,002 H 2471,826,0177,1.0
F,fal,273,761,002 H 1289,440,0149,1.0
F,fal,273,761,002 H 1289,1419,0179,1.0
F,fal,273,761,002 H 1289,1455,0179,1.0
F,fal,273,761,002 H 1289,1456,0183,1.0
F,fal,273,762,002 H 1509 ,216,0046,1.0
F,fal,273,762,002 H 1509 ,1488,0049,1.0
F,fal,273,763,002 93 170,327,0031,3.0
F,fal,273,763,002 93 170,329,0001,3.0
F,fal,273,764,002 H 2475,216,0009,3.0
F,fal,273,765,002 H 2744,727,0009,3.0
F,fal,273,766,002 H 2684,722,0001,3.0
F,fal,273,767,002 93 170,328,0007,2.0
F,fal,273,768,002 H 2475,731,0001,2.0
F,fal,273,769,002 H 2143,729,0001,2.0
F,fal,273,769,002 H 2143,730,0001,2.0
F,fal,280,782,009 179,1,0001,1.0
F,fal,282,784,009 1052,234,0021,1.0
F,fal,282,785,009 1056,234,0021,1.0
F,fal,282,786,009 179,234,0021,1.0
F,fal,282,786,009 179,235,0021,1.0
F,fal,282,790,009 1056,234,0009,3.0
F,fal,282,791,009 1052,234,0007,1.0
F,fal,284,792,414 101,1467,0036,1.0
F,fal,285,793,303 63037,1068,0149,1.0
F,fal,285,794,303 77000,1442,0001,1.0
F,fal,286,795,097 2753,210,0045,2.0
F,fal,286,795,097 2753,216,0045,2.0
F,fal,286,795,097 2753,323,0045,2.0
F,fal,286,796,097 2704,510,0001,1.0
F,fal,286,797,097 2704,509,0001,1.0
F,fal,286,798,097 2704,510,0001,1.0
F,fal,286,799,097 2704,511,0001,1.0
F,fal,286,800,097 2706,506,0001,1.0
F,fal,287,801,408 2041,45,0049,1.0
F,fal,288,802,169 47,1298,0093,1.0
F,fal,288,803,169 41,1291,0031,1.0
F,fal,288,804,169 66,1298,0031,1.0
F,fal,289,805,185 1990,1201,0001,1.0
F,fal,289,805,185 1990,1275,0001,1.0
F,fal,290,806,002 93 170,328,0007,1.0
F,fal,290,807,002 H 2076,330,0031,5.0
F,fal,290,807,002 H 2076,331,0031,4.0
F,fal,290,807,002 H 2076,332,0031,3.0
F,fal,290,807,002 H 2076,333,0031,4.0
F,fal,290,808,002 H 2143,729,0001,1.0
F,fal,290,808,002 H 2143,730,0001,1.0
F,fal,290,809,002 H 2562,724,0001,2.0
F,fal,290,809,002 H 2562,725,0001,2.0
F,fal,290,810,002 H 1289,1384,0149,1.0
F,fal,290,811,002 H 2509,1211,0040,1.0
F,fal,290,812,002 H 2733 ,1172,0001,1.0
F,fal,292,814,T-20201,1047,0001,50.0
F,fal,300,824,243 306 ,163,0001,1.0
F,fal,300,825,243 904,322,0001,1.0
F,fal,300,826,243 106,1552,0063,1.0
F,fal,301,827,185 2630,1235,0001,1.0
F,fal,301,828,185 2070,1390,0049,1.0
F,fal,302,829,007 19 2261,228,0001,1.0
F,fal,302,830,007 20 856,141,0001,1.0
F,fal,303,831,169 45,1291,0001,1.0
F,fal,303,832,169 45,1289,0031,1.0
F,fal,303,832,169 45,1291,0031,1.0
F,fal,304,833,303 63040,1079,0149,1.0
F,fal,304,834,303 17642,1077,0149,1.0
F,fal,304,835,303 79906,1064,0149,1.0
F,fal,305,836,403 267,599,0001,1.0
F,fal,306,837,379 1603,1566,0093,1.0
F,fal,314,850,002 H 1289,1385,0149,1.0
F,fal,314,851,002 H 2546,883,0040,1.0
F,fal,314,852,002 H 1450,1204,0040,1.0
F,fal,314,853,002 H 2691,1138,0040,1.0
F,fal,314,854,002 H 2509,1478,0040,1.0
F,fal,314,855,002 H 2076,331,0103,1.0
F,fal,315,856,128 506 ,140,0001,1.0
F,fal,315,857,128 505,41,0139,1.0
F,fal,316,858,097 2504 ,507,0001,1.0
F,fal,317,859,248 1117,278,0001,1.0
F,fal,317,860,248 1113,41,0057,1.0
F,fal,317,861,248 6025,299,0034,1.0
F,fal,317,862,248 6025,41,0034,1.0
F,fal,317,863,248 6029,41,0001,1.0
F,fal,317,863,248 6029,299,0001,1.0
F,fal,317,864,248 6013,525,0001,1.0
F,fal,318,865,407 2619,1464,0033,1.0
F,fal,318,866,407 3178,1485,0033,1.0
F,fal,318,866,407 3178,1486,0033,1.0
F,fal,318,867,407 2619,1464,0001,1.0
F,fal,318,868,407 2619,1465,0001,1.0
F,fal,318,869,407 3178,1485,0001,1.0
F,fal,318,870,407 2619,1464,0001,1.0
F,fal,318,870,407 2619,1465,0001,1.0
F,fal,319,871,169 66,1298,0001,1.0
F,fal,319,872,169 74,514,0093,1.0
F,fal,320,873,009 41,273,0091,1.0
F,fal,320,874,009 201,235,0001,1.0
F,fal,321,875,007 20 2651,382,0049,1.0
F,fal,321,876,007 19 2255,141,0001,1.0
F,fal,321,877,007 20 2651,162,0001,1.0
F,fal,321,878,007 20 856,316,0001,1.0
F,fal,321,879,007 20 856,316,0001,1.0
F,fal,321,880,007 20 856,316,0001,1.0
F,fal,321,881,007 19 2257,47,0001,1.0
F,fal,321,882,007 19 2257,394,0001,1.0
F,fal,321,883,007 20 2651,160,0001,1.0
F,fal,321,884,007 20 2651,159,0001,1.0
F,fal,321,885,007 20 2251,57,0001,1.0
