BarCode,SKod,RKod,Asorti,Activ,OzKod1,OzKod2,OzKod3
8690000151,393 7632,499,0001,*,,,
8690000152,128 513,52,0001,*,,,
8690000153,007 19 2257,395,0001,*,,,
8690000154,007 20 2264,303,0001,*,,,
8690000155,007 20 856,141,0001,*,,,
8690000156,007 20 857,230,0001,*,,,
8690000157,007 20 2650,157,0001,*,,,
8690000158,007 19 2261,228,0001,*,,,
8690000159,007 19 2255,141,0001,*,,,
8690000160,007 19 2257,393,0001,*,,,
8690000161,046 TR 05,499,0001,*,,,
8690000162,097 2706,506,0001,*,,,
8690000163,009 1036,45,0001,*,,,
8690000164,009 1036,239,0001,*,,,
8690000165,009 201,508,0001,*,,,
8690000166,009 201,235,0001,*,,,
8690000167,128 513,48,0113,*,,,
8690000168,097 2704,510,0001,*,,,
8690000169,046 TR 10,216,0001,*,,,
8690000170,009 201,514,0001,*,,,
8690000171,009 201,233,0001,*,,,
8690000172,393 7635,564,0063,*,,,
8690000173,007 20 2650,161,0115,*,,,
8690000174,007 20 2651,160,0115,*,,,
8690000175,007 20 2651,159,0115,*,,,
8690000176,007 20 2651,162,0115,*,,,
8690000177,007 20 2650,638,0115,*,,,
8690000178,407 2603,644,0001,*,,,
8690000179,007 20 2651,161,0117,*,,,
8690000180,097 500,645,0019,*,,,
8690000181,097 500,646,0019,*,,,
8690000182,097 500,647,0019,*,,,
8690000183,418 T 10317 ,112,0119,*,,,
8690000184,418 T 10317 ,3,0121,*,,,
8690000185,309 3047,431,0103,*,,,
8690000186,309 3047,432,0123,*,,,
8690000187,002 H 1190,665,0103,*,,,
8690000188,007 20 2159,305,0001,*,,,
8690000189,002 H 1039,626,0103,*,,,
8690000190,002 H 1039,627,0103,*,,,
8690000191,309 3164,473,0103,*,,,
8690000192,309 3164,475,0103,*,,,
8690000193,002 H 1254,670,0103,*,,,
8690000194,002 H 2556 ,356,0049,*,,,
8690000195,002 H 2556 ,375,0045,*,,,
8690000196,009 201,229,0001,*,,,
8690000197,002 H 2630,268,0103,*,,,
8690000198,002 H 2557,403,0103,*,,,
8690000199,002 H 2576,373,0045,*,,,
8690000200,002 H 2595,370,0049,*,,,
8690000201,037 8599,54,0001,*,,,
8690000203,097 2504 ,507,0001,*,,,
8690000204,002 H 1509 ,673,0049,*,,,
8690000205,046 TR 30,216,0001,*,,,
8690000206,002 H 2575,436,0045,*,,,
8690000207,007 20 2651,161,0125,*,,,
8690000208,007 20 2264,44,0027,*,,,
8690000209,418 T 10141,707,0005,*,,,
8690000210,418 T 10141,708,0001,*,,,
8690000211,418 T 10141,8,0027,*,,,
8690000212,418 T 10141,112,0027,*,,,
8690000213,418 T 10164,106,0001,*,,,
8690000214,418 T 10307,64,0127,*,,,
8690000215,418 T 10316,24,0127,*,,,
8690000216,418 T 10316 S,351,0001,*,,,
8690000217,418 T 10316 CM ,15,0001,*,,,
8690000218,418 T 10335 LEO,710,0001,*,,,
8690000219,418 S 10116,713,0005,*,,,
8690000220,418 S 10116,714,0001,*,,,
8690000221,418 S 10116,266,0001,*,,,
8690000222,418 S 10350,715,0001,*,,,
8690000223,418 S 10351,112,0005,*,,,
8690000224,418 S 10352 ,468,0001,*,,,
8690000225,418 S 10352 ,469,0005,*,,,
8690000226,418 S 10357,16,0001,*,,,
8690000227,418 S 10357,8,0127,*,,,
8690000228,037 029,720,0001,*,,,
8690000229,037 029,721,0001,*,,,
8690000230,009 822,239,0001,*,,,
8690000231,128 507,41,0001,*,,,
8690000232,128 507,42,0001,*,,,
8690000233,009 179,228,0001,*,,,
8690000234,009 179,231,0001,*,,,
8690000235,128 514,41,0001,*,,,
8690000236,128 514,42,0001,*,,,
8690000237,055 1613,35,0001,*,,,
8690000238,393 7632,500,0001,*,,,
8690000239,002 H 2684,722,0001,*,,,
8690000240,002 H 2562,724,0001,*,,,
8690000241,002 H 2562,725,0001,*,,,
8690000242,002 H 1999,345,0001,*,,,
8690000243,002 H 1999,726,0001,*,,,
8690000244,002 H 2744,727,0001,*,,,
8690000245,002 H 2538,728,0001,*,,,
8690000246,002 H 2143,729,0001,*,,,
8690000247,002 H 2143,730,0001,*,,,
8690000248,002 H 2475,731,0001,*,,,
8690000249,002 H 2475,733,0001,*,,,
8690000250,002 H 2475,216,0001,*,,,
8690000251,002 H 2581,736,0001,*,,,
8690000252,002 H 2581,738,0001,*,,,
8690000253,002 H 2581,737,0001,*,,,
8690000254,009 201,238,0001,*,,,
8690000255,009 201,231,0001,*,,,
8690000256,009 1056,234,0001,*,,,
8690000257,009 1056,233,0001,*,,,
8690000258,009 1036,242,0001,*,,,
8690000259,009 1061,238,0031,*,,,
8690000260,009 1061,235,0007,*,,,
8690000261,009 1061,233,0007,*,,,
8690000262,009 1056,233,0031,*,,,
8690000263,009 1056,229,0007,*,,,
8690000264,009 201,229,0007,*,,,
8690000265,393 385 ,342,0001,*,,,
8690000266,393 385 ,43,0001,*,,,
8690000267,007 20 2651,161,0129,*,,,
8690000268,002 H 1142,326,0005,*,,,
8690000269,002 93 170,327,0031,*,,,
8690000270,002 H 2076,330,0031,*,,,
8690000271,002 H 2076,333,0031,*,,,
8690000272,002 H 2076,331,0031,*,,,
8690000273,002 H 2076,332,0031,*,,,
8690000274,002 93 170,328,0007,*,,,
8690000275,002 H 2195,332,0031,*,,,
8690000276,272 2301,338,0005,*,,,
8690000277,272 2301,340,0005,*,,,
8690000278,272 2301,341,0005,*,,,
8690000279,272 2301,340,0079,*,,,
8690000280,272 2301,341,0079,*,,,
8690000281,002 H 1999,726,0009,*,,,
8690000282,002 H 2744,727,0009,*,,,
8690000283,002 H 2538,728,0009,*,,,
8690000284,002 H 2475,733,0009,*,,,
8690000285,002 H 2475,216,0009,*,,,
8690000286,002 H 2581,736,0009,*,,,
8690000287,002 H 2581,737,0009,*,,,
8690000288,002 H 2581,738,0009,*,,,
8690000289,009 201,229,0009,*,,,
8690000290,009 201,231,0009,*,,,
8690000291,009 201,238,0009,*,,,
8690000292,009 1056,233,0009,*,,,
8690000293,009 1056,234,0009,*,,,
8690000294,418 S 10116,770,0131,*,,,
8690000295,418 S 10116,71,0031,*,,,
8690000296,009 1056,233,0133,*,,,
8690000297,009 1061,234,0007,*,,,
8690000298,009 1061,240,0135,*,,,
8690000299,009 201,240,0137,*,,,
8690000300,009 201,233,0137,*,,,
8690000301,418 T 10155,770,0007,*,,,
8690000302,418 T 10160,3,0007,*,,,
8690000303,418 T 10160,8,0007,*,,,
8690000304,418 T 10365,21,0007,*,,,
8690000305,418 T 10365,8,0007,*,,,
8690000306,418 T 10263,3,0007,*,,,
8690000307,418 T 10263 CM,195,0007,*,,,
8690000308,418 T 10375,193,0007,*,,,
8690000309,418 T 10375,284,0007,*,,,
8690000310,418 T 10263,106,0007,*,,,
8690000311,007 20 2651,760,0109,*,,,
8690000312,009 1052,229,0001,*,,,
8690000313,002 H 1509 ,216,0049,*,,,
8690000314,002 H 1509 ,794,0049,*,,,
8690000315,450 2001,798,0001,*,,,
8690000316,128 505,41,0139,*,,,
8690000317,002 H 2492,986,0141,*,,,
8690000318,002 H 2205,988,0143,*,,,
8690000319,002 H 2205,988,0145,*,,,
8690000320,002 H 2205,994,0145,*,,,
8690000321,309 3047,433,0147,*,,,
8690000322,002 H 945,995,0147,*,,,
8690000323,002 H 1284,996,0145,*,,,
8690000324,007 20 856,316,0001,*,,,
8690000325,007 20 862,314,0001,*,,,
8690000326,007 20 2351,555,0001,*,,,
8690000327,007 19 2261,311,0001,*,,,
8690000328,007 20 862,315,0001,*,,,
8690000329,046 TR 04,569,0001,*,,,
8690000330,403 0267,599,0001,*,,,
8690000331,393 7645,594,0001,*,,,
8690000332,393 1219,311,0001,*,,,
8690000333,393 7635,564,0001,*,,,
8690000334,097 2704,511,0001,*,,,
8690000335,097 2704,509,0001,*,,,
8690000336,403 267,599,0001,*,,,
8690000337,007 20 2355,45,0001,*,,,
8690000338,007 20 2353,557,0001,*,,,
8690000339,393 1219,588,0001,*,,,
8690000340,407 2658,615,0001,*,,,
8690000341,046 TR 30,145,0001,*,,,
8690000342,007 19 2257,394,0001,*,,,
8690000343,393 7641,592,0001,*,,,
8690000344,007 19 2257,47,0001,*,,,
8690000345,393 394,452,0001,*,,,
8690000346,303 78210,1048,0149,*,,,
8690000347,303 77619,1050,0149,*,,,
8690000348,303 77619,1051,0149,*,,,
8690000349,303 63044,1053,0149,*,,,
8690000350,303 79605,1055,0149,*,,,
8690000351,303 79605,1054,0149,*,,,
8690000352,303 77616,1057,0149,*,,,
8690000353,303 77620,1059,0149,*,,,
8690000354,303 79919,1062,0149,*,,,
8690000355,303 79919,1063,0149,*,,,
8690000356,303 79906,1064,0149,*,,,
8690000357,303 63038,1066,0149,*,,,
8690000358,303 63037,1068,0149,*,,,
8690000359,303 63043,133,0149,*,,,
8690000360,303 63032,1070,0149,*,,,
8690000361,303 77615,1073,0149,*,,,
8690000362,303 17642,1077,0149,*,,,
8690000363,303 63040,1079,0149,*,,,
8690000364,303 82052,1081,0149,*,,,
8690000365,303 61060,1083,0149,*,,,
8690000366,303 77814,1085,0149,*,,,
8690000367,002 H 1778,1088,0149,*,,,
8690000368,002 H 1485,1089,0149,*,,,
8690000369,002 H 2480,1090,0149,*,,,
8690000370,002 H 2449,1092,0149,*,,,
8690000371,272 2301,339,0149,*,,,
8690000372,272 2301,341,0149,*,,,
8690000373,013 1268,30,0149,*,,,
8690000374,243 306 ,163,0001,*,,,
8690000375,418 T 10316 S,144,0001,*,,,
8690000376,418 T 10316,24,0001,*,,,
8690000377,418 T 10316 CM ,709,0001,*,,,
8690000378,418 T 10316 CM ,12,0001,*,,,
8690000379,418 T 10340,1094,0001,*,,,
8690000380,418 T 10340,1093,0001,*,,,
8690000381,418 T 10339,211,0001,*,,,
8690000382,418 T 10339,212,0001,*,,,
8690000383,418 T 10347,354,0001,*,,,
8690000384,002 H 2733 ,370,0007,*,,,
8690000386,002 H 945,484,0007,*,,,
8690000387,408 2033,480,0001,*,,,
8690000388,002 H 2510,853,0007,*,,,
8690000389,002 H 2753,946,0001,*,,,
8690000390,002 T 8773,1122,0001,*,,,
8690000391,002 T 8773,1123,0151,*,,,
8690000392,002 T 8773,1124,0151,*,,,
8690000393,037 5026,565,0001,*,,,
8690000394,243 202 ,1019,0001,*,,,
8690000395,418 S 10327,1013,0001,*,,,
8690000396,418 S 10390,435,0001,*,,,
8690000397,418 S 10350,716,0001,*,,,
8690000398,418 T 10243 ,3,0001,*,,,
8690000399,097 2754,1195,0001,*,,,
8690000400,293 201,435,0001,*,,,
8690000401,393 7522,264,0001,*,,,
8690000402,408 2008,692,0001,*,,,
8690000403,009 201,229,0085,*,,,
8690000404,009 201,233,0085,*,,,
8690000405,007 20 2651,159,0001,*,,,
8690000406,210 806,493,0001,*,,,
8690000407,185 2662,1201,0001,*,,,
8690000408,185 2662,1202,0001,*,,,
8690000409,411 273,1203,0001,*,,,
8690000410,248 6013,525,0001,*,,,
8690000411,393 7659,1234,0001,*,,,
8690000412,243 1106,28,0001,*,,,
8690000413,243 1106,245,0001,*,,,
8690000414,210 900,493,0001,*,,,
8690000415,210 900,795,0001,*,,,
8690000416,210 37,796,0001,*,,,
8690000417,210 17-Z-01,493,0001,*,,,
8690000418,002 H 2076,331,0103,*,,,
8690000419,185 2630,1235,0001,*,,,
8690000420,009 602,1236,0153,*,,,
8690000421,009 602,1237,0155,*,,,
8690000422,009 602,1238,0157,*,,,
8690000423,009 602,1239,0155,*,,,
8690000424,009 602,1240,0153,*,,,
8690000425,009 602,1240,0157,*,,,
8690000426,009 602,1241,0153,*,,,
8690000427,009 179,1238,0153,*,,,
8690000428,009 179,1242,0159,*,,,
8690000429,009 179,1243,0153,*,,,
8690000430,418 S 10357 CM,16,0001,*,,,
8690000431,009 179,235,0001,*,,,
8690000432,009 179,235,0021,*,,,
8690000433,009 179,229,0021,*,,,
8690000434,009 179,234,0021,*,,,
8690000435,009 1056,234,0021,*,,,
8690000436,009 1052,234,0021,*,,,
8690000437,009 1052,1244,0021,*,,,
8690000438,009 1052,233,0009,*,,,
8690000439,007 20 2651,161,0141,*,,,
8690000440,002 H 2575,268,0143,*,,,
8690000441,002 H 2576,928,0143,*,,,
8690000442,002 H 2576,1245,0143,*,,,
8690000443,002 H 2525,865,0161,*,,,
8690000444,002 H 2557,1247,0161,*,,,
8690000445,009 1052,229,0009,*,,,
8690000446,009 201,240,0009,*,,,
8690000447,009 201,228,0009,*,,,
8690000448,007 20 2400,305,0163,*,,,
8690000449,007 20 2400,141,0163,*,,,
8690000450,009 1052,240,0009,*,,,
8690000451,009 179,228,0009,*,,,
8690000452,393 7891,715,0001,*,,,
8690000453,009 201,233,0009,*,,,
8690000454,009 201,235,0009,*,,,
8690000455,007 20 203,1262,0001,*,,,
8690000456,007 20 2651,760,0001,*,,,
8690000457,418 0012,1263,0165,*,,,
8690000458,418 0012,210,0167,*,,,
8690000459,418 0013,1264,0169,*,,,
8690000460,418 6018,1265,0001,*,,,
8690000461,002 H 2379,1266,0001,*,,,
8690000462,185 1990,1201,0001,*,,,
8690000463,185 1990,1275,0001,*,,,
8690000464,002 H 2576,1276,0045,*,,,
8690000465,002 H 2575,1277,0035,*,,,
8690000466,002 H 2575,1276,0035,*,,,
8690000467,309 4092,49,0035,*,,,
8690000468,309 4092,210,0035,*,,,
8690000469,007 20 2264,44,0085,*,,,
8690000470,002 H 1299,1314,0171,*,,,
8690000471,002 H 1292,1325,0171,*,,,
8690000472,002 H 2680,1130,0173,*,,,
8690000473,002 H 2680,635,0173,*,,,
8690000474,002 H 2596,958,0173,*,,,
8690000475,002 H 2443,1327,0173,*,,,
8690000476,002 H 1217,1328,0173,*,,,
8690000477,002 H 1100,1333,0173,*,,,
8690000478,002 H 1243,1336,0173,*,,,
8690000479,002 H 1243,1337,0173,*,,,
8690000480,002 H 1243,1339,0173,*,,,
8690000481,002 H 1484 ,1341,0173,*,,,
8690000482,379 0315,41,0175,*,,,
8690000483,379 0315,283,0175,*,,,
8690000484,303 78127,1342,0173,*,,,
8690000485,303 61060,1084,0173,*,,,
8690000486,303 61060,635,0173,*,,,
8690000487,303 78127,1343,0173,*,,,
8690000488,418 T 10277,1344,0173,*,,,
8690000489,007 20 2251,551,0001,*,,,
8690000490,007 20 2251,57,0001,*,,,
8690000491,393 7895,1248,0063,*,,,
8690000492,393 396,141,0001,*,,,
8690000493,393 8520,52,0001,*,,,
8690000494,185 1990,1201,0063,*,,,
8690000495,185 1990,1202,0063,*,,,
8690000496,185 1990,1318,0063,*,,,
8690000497,185 1990,1381,0063,*,,,
8690000498,002 H 2580,935,0177,*,,,
8690000499,002 H 2471,826,0177,*,,,
8690000500,002 H 1289,1383,0179,*,,,
8690000501,002 H 1289,1384,0149,*,,,
8690000502,002 H 1289,1385,0149,*,,,
8690000503,418 T 10164,458,0009,*,,,
8690000504,418 T 10164,458,0181,*,,,
8690000505,418 T 10263,106,0181,*,,,
8690000506,169 47,1298,0093,*,,,
8690000507,169 45,1291,0001,*,,,
8690000508,169 45,1290,0001,*,,,
8690000509,418 T 10369 CM ,117,0001,*,,,
8690000510,418 T 10344,219,0001,*,,,
8690000511,303 78110,138,0001,*,,,
8690000512,251 935,38,0001,*,,,
8690000513,248 1113,299,0001,*,,,
8690000514,009 1056,241,0001,*,,,
8690000515,248 1117,278,0001,*,,,
8690000516,418 T 10344,214,0001,*,,,
8690000517,418 T 10369 CM ,194,0001,*,,,
8690000518,303 78110,1409,0035,*,,,
8690000519,303 78110,1409,0001,*,,,
8690000520,002 H 2796,1420,0149,*,,,
8690000521,002 H 2796,1419,0179,*,,,
8690000522,002 H 2796,1256,0045,*,,,
8690000523,002 H 2796,1421,0183,*,,,
8690000524,009 179,1,0185,*,,,
8690000525,009 179,1438,1,*,,,
8690000526,009 179,1248,0004,*,,,
8690000527,009 179,6,0007,*,,,
8690000528,009 179,1440,0001,*,,,
8690000529,009 179,1439,0001,*,,,
8690000530,009 179,1,0001,*,,,
8690000531,037 3435,1441,0001,*,,,
8690000532,303 77000,1442,0001,*,,,
8690000533,303 77710,1443,0001,*,,,
8690000534,303 77831,1444,0001,*,,,
8690000535,210 804,1445,0001,*,,,
8690000536,002 H 1289,440,0149,*,,,
8690000537,002 H 1289,1419,0179,*,,,
8690000538,002 H 1289,1455,0179,*,,,
8690000539,002 H 1289,1456,0183,*,,,
8690000540,002 H 943,1119,0006,*,,,
8690000541,002 H 436,1460,0008,*,,,
8690000542,418 S 10182 CM,2,0010,*,,,
8690000543,418 S 10182 CM,2,0012,*,,,
8690000544,418 S 10182,400,0012,*,,,
8690000545,418 S 10195 CM,117,0014,*,,,
8690000546,418 S 10195,181,0016,*,,,
8690000547,418 S 10262 CM,117,0018,*,,,
8690000548,418 S 10262,8,0018,*,,,
8690000549,418 S 10325 CM ,117,0020,*,,,
8690000550,418 S 10325,400,0020,*,,,
8690000551,418 S 10330 CM ,117,0022,*,,,
8690000552,418 S 10330,400,0022,*,,,
8690000553,418 S 10379,400,0024,*,,,
8690000554,418 S 10379,400,0018,*,,,
8690000555,418 M 10160 CM,117,0026,*,,,
8690000556,418 M 10160,400,0028,*,,,
8690000557,418 T 10263,400,0028,*,,,
8690000558,418 T 10263 CM,117,0028,*,,,
8690000559,418 T 10301,3,0020,*,,,
8690000560,418 T 10301,106,0028,*,,,
8690000561,418 T 10301,181,0020,*,,,
8690000562,418 T 10301 CM,117,0028,*,,,
8690000563,418 T 10306 CM,2,0026,*,,,
8690000564,418 T 10306,8,0026,*,,,
8690000565,418 T 10318,1461,0028,*,,,
8690000566,418 T 10318,3,0030,*,,,
8690000567,418 T 10318 CM,117,0028,*,,,
8690000568,418 T 10346,106,0026,*,,,
8690000569,418 T 10346,64,0028,*,,,
8690000570,418 T 10346 CM ,117,0026,*,,,
8690000571,418 M 10366 CM ,117,0026,*,,,
8690000572,418 M 10366,400,0026,*,,,
8690000573,418 T 10369 CM ,117,0028,*,,,
8690000574,418 T 10369 ,400,0026,*,,,
8690000575,418 T 10369 ,284,0028,*,,,
8690000576,418 S 10380,400,0012,*,,,
8690000577,418 S 10380,117,0012,*,,,
8690000578,418 S 10380,181,0016,*,,,
8690000579,007 19 2261,312,0001,*,,,
8690000580,009 201,240,0007,*,,,
8690000581,009 201,238,0007,*,,,
8690000582,009 1052,234,0007,*,,,
8690000583,128 513,52,0032,*,,,
8690000584,248 6025,41,0034,*,,,
8690000585,248 6025,299,0034,*,,,
8690000586,248 1113,41,0034,*,,,
8690000587,248 1113,41,0057,*,,,
8690000588,407 2619,1465,0001,*,,,
8690000589,407 2619,1464,0001,*,,,
8690000590,414 101,1467,0036,*,,,
8690000591,369 8610,279,0038,*,,,
8690000592,369 8610,281,0038,*,,,
8690000593,097 2504 ,671,0001,*,,,
8690000594,418 T 10366,156,0001,*,,,
8690000595,418 T 10374,284,0001,*,,,
8690000596,097 2752,0,0001,*,,,
8690000597,097 2752,1471,0001,*,,,
8690000598,407 3231 ,1474,0001,*,,,
8690000599,210 56,283,0059,*,,,
8690000600,243 1106,27,0038,*,,,
8690000601,169 45,1289,0001,*,,,
8690000602,169 66,1298,0031,*,,,
8690000603,169 45,1289,0031,*,,,
8690000604,169 45,1291,0031,*,,,
8690000605,169 41,1291,0031,*,,,
8690000606,002 H 2509,1211,0040,*,,,
8690000607,002 H 2509,1478,0040,*,,,
8690000608,002 H 2691,1138,0040,*,,,
8690000609,002 H 1289,440,0040,*,,,
8690000610,210 17-Z-01,493,0042,*,,,
8690000611,002 H 1289,1088,0183,*,,,
8690000612,002 H 1450,1204,0040,*,,,
8690000613,002 H 1450,1088,0183,*,,,
8690000614,185 2630,1235,0038,*,,,
8690000615,002 H 2546,884,0040,*,,,
8690000616,002 H 2546,883,0040,*,,,
8690000617,007 20 2264,304,0001,*,,,
8690000618,303 79608 ,1479,0040,*,,,
8690000619,009 1056,242,0001,*,,,
8690000620,393 7891,1480,0001,*,,,
8690000621,251 930,1482,0001,*,,,
8690000622,251 930,1484,0001,*,,,
8690000623,243 1106,29,0001,*,,,
8690000624,407 3178,1485,0001,*,,,
8690000625,248 6029,299,0001,*,,,
8690000626,248 6029,41,0001,*,,,
8690000627,303 79608 ,210,0040,*,,,
8690000628,002 H 1509 ,1488,0049,*,,,
8690000629,002 H 1509 ,1488,0044,*,,,
8690000630,002 H 1509 ,216,0046,*,,,
8690000631,418 T 10306,181,0079,*,,,
8690000632,418 S 10195 CM,117,0079,*,,,
8690000633,418 T 10243 ,3,0079,*,,,
8690000634,418 T 10243 CM,95,0079,*,,,
8690000635,418 T 10355 CM,117,0079,*,,,
8690000636,418 S 10233,64,0031,*,,,
8690000637,418 S 10233,3,0031,*,,,
8690000638,418 T 10318,3,0007,*,,,
8690000639,418 T 10318,106,0007,*,,,
8690000640,418 T 10318,106,0048,*,,,
8690000641,418 T 10318,3,0048,*,,,
8690000642,418 T 10160 CM,117,0007,*,,,
8690000643,418 T 10160 CM,116,0007,*,,,
8690000644,418 T 10160 CM,116,0050,*,,,
8690000645,418 T 10346,181,0007,*,,,
8690000646,418 T 10346,357,0007,*,,,
8690000647,418 T 10307,106,0050,*,,,
8690000648,418 T 10191 CM ,15,0048,*,,,
8690000649,418 T 10191 CM ,16,0048,*,,,
