Bolum,FisTur,FisTip,HareketNo,EvrakNo,EvrakNo2,DeleteUN,DeleteDT,EvrakNo3,FisTar
BF,1,0,2333,,,TUTKU,2023-04-17 17:41:36.657000,,2022-12-12 00:00:00
BF,1,0,2335,,,TUTKU,2023-04-17 17:42:28.783000,,2022-12-19 00:00:00
BF,1,0,2383,,,TUTKU,2023-05-12 19:56:33.157000,,2023-04-18 00:00:00
BF,1,0,2415,,,TUTKU,2023-05-12 17:51:45.387000,,2023-05-12 00:00:00
BF,1,0,2468,,,TUTKU,2023-05-16 10:36:33.680000,,2023-05-16 00:00:00
BF,1,0,2469,,,TUTKU,2023-05-16 10:38:17.977000,,2023-05-13 00:00:00
BF,1,0,2481,,,TUTKU,2024-01-10 11:22:06.913000,,2023-05-15 00:00:00
BF,1,0,2693,,,TUTKU,2023-09-18 13:50:51.180000,,2023-06-16 00:00:00
BF,1,0,2694,,,TUTKU,2023-09-18 13:51:23.633000,,2023-06-14 00:00:00
BF,1,0,2827,,,TUTKU,2023-10-20 12:00:39.293000,,2023-10-20 00:00:00
BF,1,0,2851,,,TUTKU,2023-11-10 10:14:03.930000,,2023-10-27 00:00:00
BF,1,0,2894,,,TUTKU,2023-12-22 15:24:59.870000,,2023-12-22 00:00:00
BF,1,0,2895,,,TUTKU,2023-12-22 15:24:51.177000,,2023-12-22 00:00:00
BF,1,0,2896,,,TUTKU,2023-12-22 15:24:45.943000,,2023-12-22 00:00:00
BF,1,0,3024,,,TUTKU,2024-01-09 16:16:00.383000,,2023-11-28 00:00:00
BF,1,0,3112,,,TUTKU,2024-01-10 12:09:48.387000,,2023-08-03 00:00:00
BF,1,0,3219,,,TUTKU,2024-01-12 10:48:41.800000,,2023-12-20 00:00:00
BF,1,0,3383,,,TUTKU,2024-02-16 17:44:59.540000,,2024-02-16 00:00:00
BF,1,0,3425,,,TUTKU,2024-03-29 13:23:07.770000,,2024-03-29 00:00:00
BF,1,0,3452,,,TUTKU,2024-04-18 10:52:37.367000,,2024-04-04 00:00:00
BF,1,0,3600,,,TUTKU,2024-08-05 19:22:04.960000,,2024-07-17 00:00:00
BF,1,0,3806,,,TUTKU,2025-02-10 09:41:35.763000,,2025-01-31 00:00:00
BF,1,1,62,,,TUTKU,2021-02-05 16:43:14.937000,,2021-02-02 00:00:00
BF,1,1,107,,,TUTKU,2021-03-01 10:40:03.593000,,2021-02-19 00:00:00
BF,1,1,138,,,TUTKU,2021-03-12 11:53:33.287000,,2021-03-12 00:00:00
BF,1,1,200,,,TUTKU,2021-04-12 11:33:52.140000,,2021-04-09 00:00:00
BF,1,1,205,,,TUTKU,2021-04-16 09:55:38.013000,,2021-04-09 00:00:00
BF,1,1,467,,,TUTKU,2022-02-03 13:41:42.477000,,2021-08-25 00:00:00
BF,1,1,478,,,TUTKU,2021-09-06 15:38:27.367000,,2021-09-03 00:00:00
BF,1,1,490,,,TUTKU,2021-09-08 13:41:04.560000,,2021-08-31 00:00:00
BF,1,1,630,,,TUTKU,2021-11-23 13:14:26.727000,,2021-11-05 00:00:00
BF,1,1,722,,,TUTKU,2021-12-24 12:09:27.200000,,2021-12-18 00:00:00
BF,1,1,733,,,TUTKU,2021-12-24 18:01:20.030000,,2021-11-10 00:00:00
BF,1,1,740,,,TUTKU,2021-12-30 15:09:03.683000,,2021-12-30 00:00:00
BF,1,1,782,,,TUTKU,2022-01-07 16:29:51.033000,,2022-01-07 00:00:00
BF,1,1,816,,,TUTKU,2022-01-27 17:35:30.480000,,2022-01-07 00:00:00
BF,1,1,817,,,TUTKU,2022-01-27 17:54:15.390000,,2022-01-26 00:00:00
BF,1,1,958,,,TUTKU,2022-03-14 12:27:14.570000,,2022-02-04 00:00:00
BF,1,1,1090,,,TUTKU,2022-06-16 17:35:39.800000,,2022-04-14 00:00:00
BF,1,1,1096,,,TUTKU,2022-11-08 14:09:29.250000,,2022-04-14 00:00:00
BF,1,1,1097,,,TUTKU,2022-04-20 10:53:17.863000,,2022-03-24 00:00:00
BF,1,1,1252,,,TUTKU,2023-03-30 09:24:36,,2022-05-27 00:00:00
BF,1,1,1283,,,TUTKU,2022-06-18 10:17:29.140000,,2022-04-22 00:00:00
BF,1,1,1284,,,TUTKU,2022-06-15 13:52:51.380000,,2022-04-25 00:00:00
BF,1,1,1573,,,TUTKU,2022-08-23 17:39:02.837000,,2022-08-19 00:00:00
BF,1,1,1742,,,TUTKU,2022-10-14 11:22:50.740000,,2022-10-07 00:00:00
BF,1,1,1884,,,TUTKU,2022-11-29 10:28:19.877000,,2022-11-25 00:00:00
BF,1,1,1912,,,TUTKU,2022-12-07 13:50:26.980000,,2022-11-22 00:00:00
BF,1,1,1913,,,TUTKU,2023-02-23 17:04:36.927000,,2022-11-23 00:00:00
BF,1,1,1914,,,TUTKU,2023-02-23 16:59:55.347000,,2022-11-22 00:00:00
BF,1,1,1915,,,TUTKU,2023-02-23 17:04:43.927000,,2022-11-23 00:00:00
BF,1,1,1916,,,TUTKU,2023-02-23 16:59:49.997000,,2022-11-21 00:00:00
BF,1,1,1917,,,TUTKU,2023-02-23 17:00:01.297000,,2022-11-21 00:00:00
BF,1,1,1935,,,TUTKU,2022-12-09 18:09:01.827000,,2022-12-09 00:00:00
BF,1,1,2064,,,TUTKU,2023-04-11 10:09:08.510000,,2023-01-24 00:00:00
BF,1,1,2390,,,TUTKU,2023-05-12 18:23:07.430000,,2023-04-19 00:00:00
BF,1,1,2521,,,TUTKU,2023-06-16 16:50:14.930000,,2023-06-16 00:00:00
BF,1,1,2563,,,TUTKU,2023-07-06 17:25:07.200000,,2023-06-26 00:00:00
BF,1,1,2572,,,TUTKU,2023-07-07 17:08:13.807000,,2023-07-07 00:00:00
BF,1,1,2591,,,TUTKU,2023-08-02 12:00:25.333000,,2023-07-31 00:00:00
BF,1,1,2845,,,TUTKU,2023-11-06 12:59:27.303000,,2023-11-03 00:00:00
BF,1,1,2853,,,TUTKU,2023-11-10 10:41:36.080000,,2023-09-01 00:00:00
BF,1,1,2925,,,TUTKU,2024-01-08 17:30:49.863000,,2023-09-01 00:00:00
BF,1,1,2964,,,TUTKU,2024-01-09 12:47:11.900000,,2023-10-05 00:00:00
BF,1,1,3014,,,TUTKU,2024-01-09 15:52:03.080000,,2023-11-24 00:00:00
BF,1,1,3334,,,TUTKU,2024-01-31 17:13:17.843000,,2023-08-03 00:00:00
BF,1,1,3339,,,TUTKU,2024-04-29 15:51:35.803000,,2023-09-04 00:00:00
BF,1,1,3348,,,TUTKU,2024-01-31 17:56:51.457000,,2023-11-03 00:00:00
BF,1,1,3474,,,TUTKU,2024-05-03 11:00:38.480000,,2024-05-02 00:00:00
BF,1,1,3477,,,TUTKU,2024-05-02 15:36:53.050000,,2024-03-29 00:00:00
BF,1,1,3478,,,TUTKU,2024-05-02 15:36:57.977000,,2024-04-01 00:00:00
BF,1,1,3523,,,TUTKU,2024-06-06 15:50:12.450000,,2024-05-30 00:00:00
BF,1,1,3586,,,TUTKU,2024-07-09 16:48:32.097000,,2023-03-24 00:00:00
BF,1,1,3621,,,TUTKU,2025-01-10 11:33:57.013000,,2024-08-21 00:00:00
BF,1,1,3686,,,TUTKU,2024-11-08 11:18:26.750000,,2024-11-04 00:00:00
BF,1,1,3989,,,TUTKU,2025-05-26 14:30:13.690000,,2025-05-21 00:00:00
BF,11,1,2598,,,TUTKU,2023-09-18 16:41:27.520000,,2023-08-04 00:00:00
BF,2,1,3309,,,TUTKU,2024-01-26 16:57:27.763000,,2024-01-26 00:00:00
BF,2,1,3629,,,TUTKU,2024-09-19 15:56:38.393000,,2024-08-29 00:00:00
BF,2,1,3630,,,TUTKU,2024-08-30 10:26:22.270000,,2024-08-29 00:00:00
BF,4,0,59,,,TUTKU,2021-02-05 16:46:02.423000,,2021-01-29 00:00:00
BF,4,0,3078,,,TUTKU,2024-01-10 10:38:09.227000,,2023-10-24 00:00:00
BF,4,1,117,,,TUTKU,2021-03-01 12:13:24.310000,,2021-02-26 00:00:00
BF,4,1,118,,,TUTKU,2021-03-22 16:34:38.317000,,2021-02-26 00:00:00
BF,4,1,190,,,TUTKU,2021-04-12 12:15:26.597000,,2021-04-05 00:00:00
BF,4,1,211,,,TUTKU,2021-04-12 12:09:36.513000,,2021-04-07 00:00:00
BF,4,1,1323,,,TUTKU,2022-06-18 10:01:28.117000,,2022-04-22 00:00:00
BF,4,1,1332,,,TUTKU,2022-06-18 11:45:50.577000,,2022-04-07 00:00:00
BF,4,1,1800,,,TUTKU,2023-04-17 16:25:16.393000,,2022-10-27 00:00:00
BF,4,1,1801,,,TUTKU,2023-04-17 16:26:01.390000,,2022-10-27 00:00:00
BF,4,1,1857,,,TUTKU,2022-11-18 16:30:56.693000,,2022-11-18 00:00:00
BF,4,1,1858,,,TUTKU,2022-11-18 16:30:48.560000,,2022-11-18 00:00:00
BF,4,1,2240,,,TUTKU,2023-04-12 16:21:19.057000,,2023-02-01 00:00:00
BF,4,1,2446,,,TUTKU,2023-05-12 19:39:48.373000,,2023-05-04 00:00:00
BF,4,1,2559,,,TUTKU,2023-07-06 15:09:02.313000,,2023-05-24 00:00:00
BF,4,1,2764,,,TUTKU,2023-10-09 17:02:43.700000,,2023-09-01 00:00:00
BF,4,1,3569,,,TUTKU,2024-06-26 14:39:12.673000,,2024-04-22 00:00:00
BF,7,0,9,,,TUTKU,2021-01-25 12:11:57.157000,,2021-01-22 00:00:00
BF,7,0,10,,,TUTKU,2021-01-25 12:12:12.797000,,2021-01-22 00:00:00
BF,7,0,13,,,TUTKU,2021-01-25 12:12:06.540000,,2021-01-22 00:00:00
BF,7,0,15,,,TUTKU,2021-01-25 12:15:19.960000,,2021-01-25 00:00:00
BF,7,0,16,,,TUTKU,2021-01-25 12:17:28.620000,,2021-01-25 00:00:00
BF,7,0,18,,,TUTKU,2021-01-25 12:18:22.603000,,2021-01-25 00:00:00
BF,7,0,158,,,TUTKU,2021-03-22 16:21:02.083000,,2021-03-22 00:00:00
BF,7,0,414,,,TUTKU,2021-07-13 18:11:05.433000,,2021-07-13 00:00:00
BF,7,0,3558,,,TUTKU,2024-06-26 15:06:17.870000,,2024-05-31 00:00:00
BF,7,1,17,,,TUTKU,2021-01-25 12:17:56.480000,,2021-01-25 00:00:00
BF,7,1,85,,,TUTKU,2021-02-16 13:11:58.653000,,2021-02-05 00:00:00
BF,7,1,223,,,TUTKU,2021-05-21 17:04:16.670000,,2021-04-20 00:00:00
BF,7,1,355,,,TUTKU,2021-07-09 15:18:57.330000,,2021-06-29 00:00:00
BF,7,1,356,,,TUTKU,2021-07-09 15:18:45.930000,,2021-06-30 00:00:00
BF,7,1,2311,,,TUTKU,2023-04-17 16:01:54.840000,,2023-04-17 00:00:00
BF,8,0,170,,,TUTKU,2021-03-29 10:29:19.367000,,2021-03-26 00:00:00
BF,8,0,276,,,TUTKU,2021-05-21 17:06:03.960000,,2021-04-08 00:00:00
BF,8,0,413,,,TUTKU,2021-07-13 18:17:56.740000,,2021-07-13 00:00:00
BF,8,0,462,,,TUTKU,2021-08-28 10:09:17.240000,,2021-08-02 00:00:00
BF,8,0,589,,,TUTKU,2021-10-19 11:32:17.557000,,2021-09-23 00:00:00
BF,8,0,706,,,TUTKU,2021-12-11 12:39:23.903000,,2021-11-04 00:00:00
BF,8,0,829,,,TUTKU,2022-02-17 11:30:43.250000,,2022-01-14 00:00:00
BF,8,0,834,,,TUTKU,2022-02-17 11:30:03.690000,,2022-01-27 00:00:00
BF,8,0,889,,,TUTKU,2022-02-17 11:30:35.300000,,2022-01-17 00:00:00
BF,8,0,890,,,TUTKU,2022-02-17 11:30:21.600000,,2022-01-19 00:00:00
BF,8,0,891,,,TUTKU,2022-02-17 11:30:27.467000,,2022-01-20 00:00:00
BF,8,0,892,,,TUTKU,2022-02-17 12:05:47.053000,,2022-01-24 00:00:00
BF,8,0,999,,,TUTKU,2022-03-21 09:56:21.880000,,2021-12-31 00:00:00
BF,8,0,1004,,,TUTKU,2022-03-21 10:22:50.627000,,2022-01-08 00:00:00
BF,8,0,1013,,,TUTKU,2022-03-21 10:19:15.827000,,2022-01-20 00:00:00
BF,8,0,1014,,,TUTKU,2022-03-21 10:19:09.107000,,2022-01-24 00:00:00
BF,8,0,1102,,,TUTKU,2022-04-20 14:28:51.143000,,2022-03-25 00:00:00
BF,8,0,1329,,,TUTKU,2022-06-18 11:45:45.630000,,2022-03-31 00:00:00
BF,8,0,1392,,,TUTKU,2022-08-23 10:15:43.857000,,2022-05-28 00:00:00
BF,8,0,1393,,,TUTKU,2022-08-23 10:17:42.023000,,2022-05-30 00:00:00
BF,8,0,1394,,,TUTKU,2022-08-23 11:19:16.383000,,2022-06-03 00:00:00
BF,8,0,1426,,,TUTKU,2022-06-24 18:01:55.490000,,2022-06-22 00:00:00
BF,8,0,1427,,,TUTKU,2022-06-24 18:02:39.410000,,2022-06-22 00:00:00
BF,8,0,1518,,,TUTKU,2022-08-23 14:56:56.897000,,2022-07-12 00:00:00
BF,8,0,1551,,,TUTKU,2022-09-09 17:36:08.327000,,2022-08-30 00:00:00
BF,8,0,1607,,,TUTKU,2023-01-23 09:50:03.133000,,2022-06-17 00:00:00
BF,8,0,1738,,,TUTKU,2022-10-11 11:52:54.243000,,2022-10-10 00:00:00
BF,8,0,1751,,,TUTKU,2022-10-11 10:14:40.957000,,2022-09-21 00:00:00
BF,8,0,1754,,,TUTKU,2022-10-11 10:27:39.113000,,2022-09-30 00:00:00
BF,8,0,2266,,,TUTKU,2023-05-10 11:02:25.257000,,2023-03-29 00:00:00
BF,8,0,2554,,,TUTKU,2023-07-24 14:17:19.197000,,2023-06-15 00:00:00
BF,8,1,93,,,TUTKU,2021-03-01 12:04:58.267000,,2021-02-12 00:00:00
BF,8,1,116,,,TUTKU,2021-03-01 12:03:39.723000,,2021-02-26 00:00:00
BF,8,1,144,,,TUTKU,2021-03-12 14:39:18.733000,,2021-02-25 00:00:00
BF,8,1,327,,,TUTKU,2021-07-01 15:51:15.200000,,2021-02-25 00:00:00
BF,8,1,391,,,TUTKU,2021-07-29 12:55:13.013000,,2021-03-31 00:00:00
BF,8,1,466,,,TUTKU,2021-09-08 13:31:57.963000,,2021-08-27 00:00:00
BF,8,1,593,,,TUTKU,2021-10-19 11:31:54.553000,,2021-09-02 00:00:00
BF,8,1,621,,,TUTKU,2021-12-11 12:39:39.723000,,2021-10-29 00:00:00
BF,8,1,847,,,TUTKU,2022-01-29 09:57:02.767000,,2022-01-28 00:00:00
BF,8,1,984,,,TUTKU,2022-03-19 10:15:25.450000,,2022-02-17 00:00:00
BF,8,1,1138,,,TUTKU,2022-04-20 15:06:14.510000,,2022-04-20 00:00:00
BF,8,1,1269,,,TUTKU,2022-08-23 16:19:40.647000,,2022-06-03 00:00:00
BF,8,1,1272,,,TUTKU,2022-06-18 10:31:53.800000,,2022-06-01 00:00:00
BF,8,1,1289,,,TUTKU,2022-06-15 15:54:32.963000,,2022-06-03 00:00:00
BF,8,1,2037,,,TUTKU,2023-01-24 14:14:27.947000,,2022-12-23 00:00:00
BF,8,1,2153,,,TUTKU,2023-04-17 13:35:14.633000,,2023-03-01 00:00:00
BF,8,1,2278,,,TUTKU,2023-04-17 14:50:46.363000,,2023-04-17 00:00:00
BF,8,1,2633,,,TUTKU,2023-08-25 13:53:05.890000,,2023-08-25 00:00:00
BF,8,1,2783,,,TUTKU,2024-01-09 10:50:08.193000,,2023-09-29 00:00:00
BF,8,1,3332,,,TUTKU,2024-01-31 17:00:00.180000,,2023-06-05 00:00:00
BF,8,1,3358,,,TUTKU,2024-02-01 12:06:20.247000,,2023-07-18 00:00:00
BF,8,1,3696,,,TUTKU,2025-01-15 11:21:37.913000,,2024-11-15 00:00:00
BF,8,1,3807,,,TUTKU,2025-02-10 09:41:32.033000,,2025-01-31 00:00:00
BHK,,,0,G001,399,TUTKU,2021-07-09 14:17:28.743000,9070951,2021-07-09 14:16:11.913000
BHK,,,0,K001,33,TUTKU,2021-01-12 14:26:59.733000,93739429 ,2021-01-12 14:24:30.447000
BHK,,,0,V001,796,TUTKU,2021-01-12 14:45:24.037000,001500158007311,2021-01-12 14:43:27.387000
BHK,,,0,V001,796,TUTKU,2021-01-12 14:39:48.647000,001580073118898,2021-01-05 14:31:47.050000
BHK,,,0,V001,796,TUTKU,2021-01-05 14:30:18.270000,001580480188494,2021-01-05 14:29:54.553000
BHK,,,0,V001,796,TUTKU,2021-01-12 14:38:42.167000,001580480188494,2021-01-05 14:35:32.610000
BHK,,,0,V001,796,TUTKU,2021-01-12 14:45:27.420000,001580480188494,2021-01-12 14:40:23.757000
BSK,,,0,Y001,53,TUTKU,2021-01-25 11:08:28.340000,,2021-01-25 11:07:26.960000
CF,C,AD,4,,,TUTKU,2021-01-08 08:41:19.670000,,2021-01-01 09:39:21
CF,C,AD,52,,,TUTKU,2021-01-11 16:57:51.680000,,2021-01-01 17:57:20
CF,C,AD,210,,,TUTKU,2021-01-29 11:07:11.200000,,2021-01-06 12:02:52
CF,C,AD,212,,,TUTKU,2021-01-29 11:07:02.260000,,2021-01-06 12:02:52
CF,C,AD,579,,,TUTKU,2021-04-27 15:45:53.203000,,2021-02-22 14:07:58
CF,C,AD,585,,,TUTKU,2021-04-14 13:30:02.940000,,2021-02-11 10:43:40
CF,C,AD,829,,,TUTKU,2021-03-29 11:32:08.937000,,2021-03-15 10:12:02
CF,C,AD,1247,,,TUTKU,2021-05-07 12:23:56.533000,,2021-04-27 14:35:04
CF,C,AD,1461,,,TUTKU,2021-05-24 10:06:29.400000,,2021-05-24 10:03:37
CF,C,AD,1478,,,TUTKU,2021-05-25 17:05:17.077000,,2021-05-25 17:04:19
CF,C,AD,1518,,,TUTKU,2021-09-23 18:21:03.643000,,2021-05-28 08:43:57
CF,C,AD,1547,,,TUTKU,2021-05-31 15:34:34.253000,,2021-05-19 15:33:03
CF,C,AD,1635,,,TUTKU,2021-06-05 13:00:33.223000,,2021-05-22 12:57:35
CF,C,AD,1644,,,TUTKU,2021-06-08 12:35:05.107000,,2021-03-30 12:23:23
CF,C,AD,2182,,,TUTKU,2021-08-16 10:13:42.370000,,2021-08-16 10:12:32
CF,C,AD,2495,,,TUTKU,2021-09-17 13:58:48.147000,,2021-08-27 15:03:39
CF,C,AD,2633,,,TUTKU,2021-10-26 10:17:30.077000,,2021-09-10 19:53:13
CF,C,AD,2751,,,TUTKU,2021-10-14 12:06:30.827000,,2021-06-12 16:04:44
CF,C,AD,2862,014004,,MELIS,2021-10-18 13:16:40.510000,,2021-10-18 12:59:31
CF,C,AD,2867,014005,,MELIS,2021-10-18 15:57:10.277000,,2021-10-18 15:53:44
CF,C,AD,2880,014006,,MELIS,2021-10-19 14:46:20.927000,,2021-10-19 14:39:58
CF,C,AD,3049,,,ORHAN,2021-10-27 18:23:45.800000,,2021-02-10 18:16:00
CF,C,AD,3050,,,ORHAN,2021-10-27 18:23:58.653000,,2021-03-09 18:17:09
CF,C,AD,3169,,,TUTKU,2021-11-05 13:04:03.920000,,2021-08-02 13:01:40
CF,C,AD,3206,014012,,MELIS,2021-11-06 13:41:31.820000,,2021-11-06 13:31:47
CF,C,AD,4360,,,TUTKU,2021-11-22 15:10:15.603000,,2021-09-22 15:09:08
CF,C,AD,4525,,,TUTKU,2021-12-06 12:51:43.553000,,2021-11-30 12:46:02
CF,C,AD,4770,,,TUTKU,2022-01-03 15:05:30.990000,,2021-07-27 15:04:26
CF,C,AD,4777,,,TUTKU,2022-01-03 15:33:24.990000,,2021-08-09 15:10:26
CF,C,AD,4796,,,TUTKU,2022-01-03 15:41:15.090000,,2021-06-04 15:40:47
CF,C,AD,4798,,,TUTKU,2022-01-03 16:12:44.217000,,2021-06-01 15:49:08
CF,C,AD,4799,,,TUTKU,2022-01-03 15:51:31.123000,,2021-06-01 15:49:08
CF,C,AD,4802,,,TUTKU,2022-01-03 16:04:09.653000,,2021-06-02 16:03:12
CF,C,AD,4963,,,KAMILA,2022-01-21 12:44:50.487000,,2021-12-31 13:07:34
CF,C,AD,5301,,,TUTKU,2022-02-24 11:43:26.640000,,2021-12-22 15:04:40
CF,C,AD,5302,,,TUTKU,2022-02-24 11:43:21.990000,,2021-12-23 15:04:40
CF,C,AD,5529,,,TUTKU,2022-03-19 12:58:09.677000,,2022-03-11 13:03:22
CF,C,AD,5622,014039,,TUTKU,2022-03-18 09:17:22.373000,,2022-03-17 16:07:52
CF,C,AD,5736,,,TUTKU,2022-04-20 10:53:55.200000,,2022-03-24 10:39:42
CF,C,AD,6093,,,TUTKU,2022-04-14 15:47:05.883000,,2022-01-21 15:35:55
CF,C,AD,6099,,,TUTKU,2022-04-14 16:25:03.033000,,2022-03-31 16:23:21
CF,C,AD,6352,,,TUTKU,2022-04-29 16:47:31.673000,,2021-12-31 16:46:54
CF,C,AD,6495,,,TUTKU,2023-01-05 11:51:12.347000,,2022-05-19 09:39:24
CF,C,AD,6497,,,TUTKU,2023-01-05 11:53:10.497000,,2022-03-28 11:07:35
CF,C,AD,6654,013054,,TUTKU,2022-06-03 17:21:26.107000,,2022-06-03 16:45:56
CF,C,AD,8135,,,TUTKU,2022-10-11 15:59:38.547000,,2022-10-10 14:33:18
CF,C,AD,8136,,,TUTKU,2022-10-11 16:00:04.870000,,2022-10-11 14:58:34
CF,C,AD,8189,,,TUTKU,2022-10-14 10:33:15.430000,,2022-09-27 10:32:20
CF,C,AD,8277,,,TUTKU,2022-11-08 13:30:39.337000,,2022-10-18 13:26:34
CF,C,AD,8288,,,TUTKU,2022-10-18 17:22:10.357000,,2022-10-05 17:21:11
CF,C,AD,8663,,,TUTKU,2022-11-10 16:26:58.763000,,2022-08-30 13:56:52
CF,C,AD,8815,,,TUTKU,2022-11-23 14:24:46.230000,,2022-11-23 14:19:08
CF,C,AD,9147,,,TUTKU,2022-12-23 10:52:31.880000,,2022-11-30 10:44:30
CF,C,AD,9150,,,TUTKU,2022-12-23 10:52:11.923000,,2022-12-13 10:44:30
CF,C,AD,9566,,,TUTKU,2024-01-11 17:31:19.873000,,2023-02-09 17:51:00
CF,C,AD,10051,,,TUTKU,2023-04-17 09:43:18.560000,,2023-03-24 14:10:58
CF,C,AD,10585,,,TUTKU,2023-05-17 17:46:46.350000,,2023-04-12 10:37:47
CF,C,AD,10701,,,TUTKU,2023-05-25 16:03:49.467000,,2023-05-03 10:17:16
CF,C,AD,11464,,,TUTKU,2023-06-14 10:26:02.960000,,2023-06-14 10:24:17
CF,C,AD,11783,,,TUTKU,2023-07-11 17:59:14.857000,,2022-12-27 15:46:05
CF,C,AD,12129,,,TUTKU,2023-08-04 15:53:23.327000,,2022-12-31 15:52:51
CF,C,AD,12130,,,TUTKU,2023-08-04 15:53:54.607000,,2023-01-31 15:53:27
CF,C,AD,13195,,,TUTKU,2023-10-26 14:30:27.520000,,2023-10-12 10:00:37
CF,C,AD,15329,,,TUTKU,2024-04-23 16:52:20.580000,,2024-04-23 16:49:20
CF,C,AD,15910,,,TUTKU,2024-06-13 14:17:58.590000,,2024-06-07 14:16:38
CF,C,AD,16534,,,TUTKU,2024-08-23 12:23:23.987000,,2024-08-19 11:42:24
CF,C,AD,17301,5,,TUTKU,2024-10-21 17:15:20.283000,,2024-05-22 17:14:20
CF,C,AD,17890,10,,TUTKU,2024-12-11 16:15:49.750000,,2024-10-07 15:55:37
CF,C,AD,17905,10,,TUTKU,2024-12-18 17:18:17.160000,,2024-12-12 17:08:15
CF,C,AD,18413,,,TUTKU,2025-02-07 17:34:56.280000,,2025-02-07 14:15:02
CF,C,AD,18718,10,,TUTKU,2025-03-07 12:46:19.890000,,2024-07-26 12:14:49
CF,C,AD,18991,10,,TUTKU,2025-03-28 13:50:03.280000,,2025-03-21 12:14:49
CF,C,AD,19134,10,,TUTKU,2025-04-14 10:30:14.760000,,2025-01-01 10:29:41
CF,C,BD,505,,,TUTKU,2021-02-26 08:37:35.837000,,2021-02-25 13:14:56
CF,C,BD,770,,,TUTKU,2021-04-26 15:00:43.387000,,2021-02-26 13:35:29
CF,C,BD,1248,,,TUTKU,2021-05-07 12:48:52.827000,,2021-04-27 14:37:53
CF,C,BD,1260,,,TUTKU,2021-04-28 12:50:00.040000,,2021-04-27 12:48:56
