Modul,UnqID,FisNo
BAK,7a84c1e8-4150-4b0d-b343-06a796135095,2768
BAK,1f6c90da-2335-423d-81f3-06aa6fcb34a0,3274
BAK,de7661af-1ef0-43ea-8cad-06b2fa715498,120
BAK,8c79d132-6d1f-432f-a035-06b616c236a8,3727
BAK,d50fd4cb-2097-41a2-8fc2-06ed5220e321,1142
BAK,1c02481e-9828-4f31-98f1-07045cb8f84f,3231
BAK,f53f8a83-bfad-4a9f-a826-0708bec864f8,23
BAK,16594c59-ec57-4e40-bb25-071e44bc1276,257
BAK,f514c858-76be-4b6b-83ca-0723c38e40ec,1521
BAK,827cd796-2afd-4828-8911-0726336a450d,3043
BAK,b80a4e80-fd86-4a24-8e9b-075a6768050d,1407
BAK,9d4a70ff-2ad9-4743-b0cc-07634c00bd7e,2529
BAK,0bfcb83a-3ada-4be7-b1c8-076387962d25,2020
BAK,29f8b164-886e-45a0-8bc9-076c5cd83950,2655
BAK,ca51e7a1-6f58-4fac-b898-077a3e6c2637,3627
BAK,7b28346d-0428-487a-8769-07887bf2392c,3227
BAK,b92c4115-af90-4c81-ae04-07ad92b85ce9,1129
BAK,7f3bad4d-2ab8-4ef2-9141-07cef9f46a21,1095
BAK,94d51500-32b5-458d-9c35-07e7a30cbd56,771
BAK,6b383028-7ab7-4cf5-9d00-07ea52f7a1cf,2836
BAK,a51fbf5e-01eb-4738-bf1a-07f2fbc976b9,1699
BAK,771a483d-56ba-4d2c-a693-07f665d4371b,1484
BAK,3aeccec4-a9d5-41d0-a2d4-07f779af1534,410
BAK,2eeafeb6-ae33-4cdb-883e-07fe25683638,76
BAK,40c4a88b-ad4a-4184-9c97-08295faa3c58,3693
BAK,9a02714e-8a27-497c-90e6-0836be4a2e41,2638
BAK,6a9abcc0-64c0-4584-ad4a-0848c3ba7605,3852
BAK,30c1fea8-95e0-42bd-b093-08501385ee98,3124
BAK,cc076b79-9fec-4b1e-bece-0861620912ee,952
BAK,6fe14b0f-3947-4e81-9e44-08619ac359c2,1162
BAK,7b0f22da-57d9-45e7-be1b-08620d10ebed,2558
BAK,c7b2cb95-516d-4bbd-b8d0-08653c1bd181,2931
BAK,27ea33e5-7914-4b81-912a-0878ab13f08f,2872
BAK,b388b631-6de5-4874-a09c-08834ead5765,3009
BAK,c8d2fc22-be2c-4e0d-8416-088fd80c88c8,308
BAK,397c3f1d-9c24-4fca-a92c-08cf3ebe192e,1770
BAK,c4abbd37-ffc3-4d61-87a8-08ebab0112b4,263
BAK,706f8d35-7158-475f-8be3-08efe640a683,3378
BAK,98c6d9df-57d4-4ed4-9458-08f091b50820,1583
BAK,78379ecb-506d-4d8c-bf09-08f15c627fe4,1358
BAK,a5141daa-4624-44f8-9745-08f8b9092765,3472
BAK,465319c6-426d-4f95-a24b-0919eccb2d71,2176
BAK,283e9c17-c1df-4a04-ac73-091f637cc133,2562
BAK,eb898584-1c97-4bbf-968b-091fc1165c1d,3071
BAK,75c5144e-dfc8-482d-8f16-092520c9ecbf,3287
BAK,31914345-547e-4659-8e4a-0928381a30a9,3714
BAK,fbb94efa-a591-4de7-8964-096691646ec7,905
BAK,5fa4e89b-473a-4f9c-b790-0977258f9009,3106
BAK,a7c1c12d-58ed-4b70-9faf-0980844a9b3d,599
BAK,b0b68c25-96b4-40d9-8722-0985de0c30f5,2431
BAK,b349bc66-2c08-4e07-b912-0986491f90c2,3858
BAK,28f40292-8f15-4ff0-91d4-0992defeb730,1243
BAK,0385b316-bb4c-42ab-aede-09a819becf36,1156
BAK,e7549fe1-97ac-402a-911a-09b5faadbdc9,2801
BAK,34a1bc7e-1dcf-416d-89d1-09c64931be0f,3046
BAK,5198bcb3-556e-43ce-bc44-09d6bb94d864,3577
BAK,23f238a1-93e1-4ece-a3ee-09db727cb127,3223
BAK,34d0f947-ee66-41fd-ba1b-09df87c52efc,550
BAK,691cf133-8198-4669-af5f-09e0a57feafb,893
BAK,13387149-d773-478a-97a3-09ea00ddcece,1081
BAK,791fd1e6-e23c-423b-bed0-09ed1d9e7725,3581
BAK,9328fc22-1618-40cb-aed6-09fe8fd40c63,772
BAK,df918c65-fc46-43d3-8849-0a00e1571369,2973
BAK,edfdd91e-b8c0-4678-860c-0a0fbde1a799,3272
BAK,b18f9dd6-d0c8-4c71-8311-0a12f3d1a5ad,1968
BAK,9ec536b4-b863-4d95-bacb-0a27784384eb,1282
BAK,559d162f-1755-4e44-9b54-0a35fb0db91b,2386
BAK,01b878b3-01f9-4d55-9194-0a3bd8d75154,1253
BAK,3a03ba9d-224c-4306-bb47-0a3f569254f9,3479
BAK,810c26ec-f977-427c-bdbd-0a8639cd72a5,3423
BAK,f5c164e5-b96e-4900-8830-0a8866878633,3230
BAK,42ca3ec0-33af-4dca-a397-0aaefd4f98a2,3240
BAK,b12286ed-f82a-476f-b912-0ac26dda8330,1194
BAK,469226da-ee69-49fb-b503-0ac35e266150,1747
BAK,27c95155-b0c1-40be-a784-0ae129cccbd7,2707
BAK,92e8c108-c455-444f-836f-0ae3c9d2a0da,143
BAK,94d776e1-9957-42bd-8dbf-0aeca3a7cb21,580
BAK,39ca67a6-6fe6-4ea4-bd52-0aff8b9acf37,1460
BAK,e6199d8c-4af3-41cb-9b74-0b03c3965b10,2320
BAK,3bdb79a2-7810-4936-84ed-0b10b1b88ac0,2793
BAK,2093b929-47ee-4ea6-8b73-0b266f38371c,2884
BAK,e8166879-a5b3-44f0-972a-0b3c57278617,1362
BAK,45282a6b-22eb-411c-8fa5-0b521f035675,1535
BAK,6a8acfc4-0b3f-4fb0-893d-0b7af5e68e24,1839
BAK,4b2c93dd-beeb-447a-9910-0b88d074f73b,244
BAK,f3f030d5-3ad5-4ab2-a0c6-0bcabe9af94a,3489
BAK,9d4c4881-536f-480c-bc54-0bcdd30fea86,239
BAK,f0dfe052-c479-4d33-9a6f-0bd69b85f1be,1919
BAK,54273565-0317-4fc5-8e3d-0bdb62567e60,145
BAK,c0098d91-50a0-42ab-9ed7-0bea5d0efe5a,3358
BAK,ce3a888f-2e3d-46e7-814d-0c013ee00308,72
BAK,0d123eb3-dfb7-4f12-931c-0c13bde7e8e0,2775
BAK,0ccbd2d5-b728-4ef9-a522-0c20a87a5098,3770
BAK,fbb27947-7470-4c20-a61d-0c4add8d7332,3921
BAK,9caf6447-bf35-4164-a4de-0c4d15cb470c,1159
BAK,1414bf78-0706-4fbc-b0aa-0c517ef30f20,2046
BAK,47d12175-9908-4ed6-ac02-0c756e709ffc,583
BAK,57ea407d-72a9-40a4-a71f-0c8b1da72085,3529
BAK,924a6e94-d84c-4ab9-a39b-0c8cf7bf063d,569
BAK,e48d5b58-6091-4408-bd4f-0ca90da7d0b6,1745
BAK,1cab27d1-7d6a-4796-920c-0ca9bbd4ac2f,3870
BAK,cc2ac5a4-d876-43a4-bceb-0cbceac8a541,2265
BAK,52aec2de-9b3b-4f7e-b4ad-0cbe22806289,3826
BAK,a51ad38d-8bb6-4bb0-992d-0cc9514e7f3a,1109
BAK,b4f08310-fe2a-4a26-b75d-0cd1f3125893,1056
BAK,9cbc930c-d3fb-4852-a722-0cdef451f947,661
BAK,08d64aa2-23e1-4457-89cf-0ceae1cb2ab4,553
BAK,6a946672-6101-4648-a9e3-0cf79a9735a5,3396
BAK,6008da71-3c06-4e97-befd-0d05f3c0c4a7,3556
BAK,3a85b046-f2c5-4e19-a95a-0d28e53e7cf6,3183
BAK,993f0a8f-94b4-4837-9d3e-0d52912f0e9d,3456
BAK,fda97e40-a587-4e2f-b88c-0d5b602080d2,2910
BAK,15d0a58a-4722-41d2-8142-0d7c4671d367,3751
BAK,07f08c72-bd1c-4565-912f-0d8ed62a0059,1762
BAK,c9d696ec-b0e0-4474-89ba-0d9e29bb6d7a,1653
BAK,fc5dd5ea-62ff-4866-9d10-0dbec84f0dcb,2200
BAK,4ddabe5a-a173-402d-95e7-0dd330e38b9a,902
BAK,735c4a8c-cfff-4bff-b71e-0ddba66c8bcc,2345
BAK,8cd653d7-1bed-4aeb-88c5-0de4cdb4def1,1853
BAK,85008d41-356d-410e-9267-0de5bcdc0f51,2575
BAK,c6ce2f6d-91a2-4fe6-be1e-0ded632b86b1,3351
BAK,f5b92cbd-a5aa-4466-96a0-0df9bf408610,37
BAK,27478673-1410-4618-a360-0e215fa9622d,3345
BAK,90701fc2-080e-4f8d-9ec3-0e2263dbecc9,3357
BAK,2f867367-d85c-4ad4-9484-0e2f15e71f41,3682
BAK,bf12d4a5-0f42-4fcf-ac8f-0e44fe1253a2,940
BAK,eeff9559-d9bd-466d-bf68-0e4f228db057,3077
BAK,cd013972-810d-40d7-bd48-0e52f2aefaca,1886
BAK,e527875a-170c-4832-a6fc-0e6d29de8383,3048
BAK,2f6caa84-dec7-425d-8623-0e83ab7245ce,1563
BAK,d3c45846-7cc5-4827-96c2-0ea0ce086d6e,1611
BAK,b5539416-f65b-406e-8dd0-0eb3e0f254bf,336
BAK,629af0a1-c6cf-4388-809d-0eb9b8bc50be,1708
BAK,f9b0d0d4-3fae-4ee5-be5d-0ec1a1e6d944,531
BAK,de08aa73-1f2d-44ef-bdff-0eec1c40d7c0,1116
BAK,6229a5ff-d426-423c-be29-0f04ad81fc8c,3032
BAK,fb8f9a9b-bd8c-4f65-a47d-0f055d91fb6f,944
BAK,dbe9e69d-29f8-46ae-9c58-0f0a4a7eac17,2044
BAK,928b294c-d0aa-43ca-8cc6-0f10b6b8d6d1,554
BAK,519ca6a0-d5e8-4297-bd80-0f13ea279d54,3353
BAK,ccb9d215-6317-41fc-9533-0f23d9555535,2697
BAK,203f7362-d079-416f-8f50-0f9262f794d8,681
BAK,eac382a7-b625-4a2a-9b93-0fa531e340be,1351
BAK,441f5ca7-27ac-49ad-b716-0fafd9939cea,1892
BAK,2ada1679-8ee4-47dd-9e92-0faff050e4ee,3550
BAK,ccb54e38-7233-419e-bc45-0fc2b4d7b1d3,372
BAK,5b61c9c7-c53b-4aff-af57-0fc753ec3957,996
BAK,f4bf90fe-432b-4cf9-b047-0fcd313f2fd1,3029
BAK,66d89475-68e5-46a8-91b2-0fe316f9824e,1038
BAK,878d3cad-9297-4abb-9533-0fe5fdb914d5,3294
BAK,05db76fc-c947-4354-b68a-102e95a08f8f,1669
BAK,c45ed639-230a-4827-8e66-10384c10ab38,908
BAK,d4732353-dc3c-4ac0-ac1e-1042616b4aeb,2995
BAK,beecf2fd-e93d-4315-be2e-10445b566691,2246
BAK,94918e1d-0ce1-4c64-86c7-104bde01ada6,2495
BAK,f6a96890-070d-4dee-bd66-104eebfc3148,3266
BAK,21fd9b37-2d53-41be-afda-10521203c35d,2713
BAK,2ef84fa9-d995-4d19-8508-105822ddc1ba,3894
BAK,6f792c47-2def-4671-9099-1099bb09712b,2202
BAK,deb30b71-a8f6-4d7f-b585-109f7a8fe356,1063
BAK,806efcde-2aa6-4d37-b315-10b0cc8e9ddf,2123
BAK,420cbf5f-7a2e-441e-aa3f-10b9eb0b89cd,1011
BAK,a1da8564-8e4a-4c0c-8a28-10bc5e76eb61,32
BAK,09d3899e-ae1b-4794-bf1a-10cd68924ed1,1876
BAK,d1f447d9-ba80-47a2-8069-10d0a363a2c7,1631
BAK,f9f9c942-9843-451f-92c5-10e9f1741806,1055
BAK,1c1b0d02-a710-4ce8-9268-110792ac775f,1165
BAK,1baa27ae-581d-46fe-995e-110c27a9e9ec,2510
BAK,b0c1f80d-abd3-4976-8e49-11225638f9ef,2185
BAK,44d2a674-f05a-4279-b2e2-1125d648f881,503
BAK,613341af-a1b1-48d4-9c29-112b4f2a94c8,2426
BAK,ba783426-5fe0-442e-8c13-112e70ca779f,1692
BAK,2ee08c07-f73c-43a6-a902-11330958cec2,1049
BAK,b43c328a-6521-4d14-b6ff-114585aa0983,3984
BAK,84160619-1b16-4d0c-94a6-1165e93b236a,3527
BAK,959d0f21-c037-4be3-8fdd-1167bbac35c3,1310
BAK,24f74b90-8cde-4724-b874-1176cd6322cb,2737
BAK,585194ad-ef0f-4812-8c06-11933f129f36,95
BAK,58063b8b-e13b-459c-aadd-119abeea3351,35
BAK,9badcc2a-4db0-4c13-af4a-11a1068fed3d,1324
BAK,7ba7591f-f188-4e70-b357-11ab9a8f3384,3895
BAK,2862cc6e-4fc2-4826-883e-11af7b1e548d,2912
BAK,fea96567-6533-49ed-9c2c-11c3db210382,2149
BAK,e89092aa-a4bd-4406-8ce5-11cd06073979,2438
BAK,cc0dbf35-b76a-49a2-aff5-11d52bacc791,1656
BAK,805c62cf-fd0f-459c-affd-11eac4d2d9ac,1288
BAK,4c5b3e89-14c0-473b-8189-11eefaa0c6b6,3041
BAK,734ded76-15b6-49d7-8a12-11ff3af1bb9b,3504
BAK,56fba1ae-6480-4f1c-b724-1228a832825d,1710
BAK,bbd139a8-fdc2-44bb-8f83-1229eb4904ce,1131
BAK,ac34b861-0175-476c-b73a-1247aec55c39,3788
BAK,21633b7f-e291-4a53-a1cd-124e129b9017,2698
BAK,ca22360b-ffb1-4f26-86dc-124e99d970ce,1446
BAK,0d013893-b8dc-4b4e-b622-125be8c9d7af,1764
BAK,26ae2436-604e-4bc6-b8d3-1264adafe06f,2856
BAK,129b85fd-f971-4876-bcfb-1269c99d1fe0,2863
BAK,5f1e23df-211c-4c48-9289-1270fd0ca7ac,3847
BAK,9b1c23bf-7db7-47d6-829b-12790c3063a4,2881
BAK,0c28a93c-092f-4ba4-a3a8-128b5faaac6d,3140
BAK,d8aeb316-a421-49d2-8d09-12903cd91c8b,2353
BAK,07e8e481-b4ed-4036-ab3a-129c15019922,3059
BAK,ce15496e-ec27-4fef-b10a-129e75a9db43,3906
BAK,47310244-ec75-435c-821f-12b429728690,3720
BAK,c1c5f58c-9521-4eac-91ec-12c594fd9c8e,3637
BAK,f67f297e-ffe0-4020-a833-12c85093bfff,828
BAK,471913c2-96f5-4a99-9e39-12d916ff7bb9,1133
BAK,f3ce292b-bffd-4ee6-a3d2-12f973e6252d,3075
BAK,621b6a09-46f0-4b7b-9a9d-130987c063fc,1532
BAK,5b5d63c9-0017-4cac-9427-1311c4475def,1092
BAK,f1130567-3033-463c-9af1-132089c64ed8,3911
BAK,7f812515-4a09-4e27-b6ce-132a6d17bc99,596
BAK,36874b60-8780-41a1-b82e-134441497621,2876
BAK,e28303fc-d94e-469a-a465-1345e4502719,3356
BAK,1554c689-d177-4ac4-9630-13488037da9f,3474
BAK,53595582-af11-4590-a673-1371b451bfa3,640
BAK,413bcfb9-5fc2-408e-8506-138974789042,1276
BAK,7c674ebd-ee2e-45e1-bead-1393959ee564,2841
BAK,7d061c4b-eacc-457e-9ec4-139932a7fba5,1345
BAK,ff4b5e8c-cb9f-4c58-8259-13a75cf8fdfb,1050
BAK,40e8c845-7735-4491-bc61-13b2ce5f8430,296
BAK,6b861c4a-47cb-49df-9f45-13b90617acf0,3219
BAK,bd3a88dc-5a11-45f9-9084-13c42ebc20cb,1546
BAK,69ba0deb-15f1-4450-9b42-13da2449bace,3035
BAK,123ad466-dc30-443a-9232-13daa0066ced,3190
BAK,49a23485-197f-41fc-96dd-13f50c4eab52,576
BAK,2bb283b7-e838-4b03-bcad-13fdef47bcab,899
BAK,c5c41d2b-300e-468a-9e8b-14004337cc8f,3179
BAK,40b97e53-659c-4843-ac63-1408dace7571,1936
BAK,14988b82-024d-421b-9e39-143f12512ac8,2315
BAK,6c98426c-6e58-4298-b17c-14490f4c3dda,3737
BAK,2e069d54-75f8-4692-849c-14530d04f431,2999
BAK,67865083-1069-4f8b-bfa1-14574737ec75,925
BAK,9204040e-27b8-4343-b32d-14662fbb41eb,530
BAK,5e9185a2-a05e-40e8-ac2c-1483eb6840d8,2052
BAK,3585a142-91fd-4fff-b2d4-149156a79647,501
BAK,3ab1e023-5d28-4462-8a78-149529455caf,2421
BAK,40259b3e-1439-4562-a7ba-14a0283d5db4,344
BAK,f449b3c9-c938-453b-bf6b-14bd71a60d6e,819
BAK,285660e8-4fa4-4e17-87e4-14dbb0cdb6d8,1928
BAK,040dd2c4-e770-45e0-88b8-14e252d080a3,3653
BAK,2ea29c06-4ae1-4034-93b5-14e6ce30fab6,272
BAK,21170568-3d6e-401a-b2d1-15168f46b77b,3964
BAK,d7809f80-0302-436e-b210-15248fe10e1a,2827
BAK,ace03df2-db35-439e-9ef1-15348ed688b9,160
BAK,06a3e10a-52fd-4d13-97a9-1537d3efc0e1,1557
BAK,16e570cf-af2b-43d5-9950-1543ea61eb6a,1006
BAK,b657f074-9c86-4746-a98d-1589bf3bf462,3042
BAK,cdf6e5b1-36c5-44ba-9805-15931d5f9ec3,813
BAK,a26ff6bc-1d47-4027-abb0-1593265b8b1c,2060
BAK,4b9a829e-0aa9-4a4f-8a96-15a43985b5b6,3204
BAK,3b6f1568-d1c4-428f-b21e-15a8d89384e2,1278
BAK,a3b477c8-0486-4215-8524-15c984e46d3d,3349
BAK,a48db717-e0c5-4e48-80c8-15cf4b367040,3084
BAK,5a4bc5ec-d65e-4626-8dab-15e833b52341,396
BAK,1aaae1b4-1889-4f50-9848-15eb2eda3f1c,977
BAK,2aea0388-4743-43c6-8c4d-1613fd3c17e9,2317
BAK,9cc7418f-77ee-49b6-bafa-163b917e0100,1144
BAK,5679d362-7149-423a-90da-165c87d16180,1789
BAK,b1fc2baa-eacb-4a85-acdc-1661b6175326,801
BAK,f3bca12d-82e5-4bb7-bd33-16687898802b,1166
BAK,4e8c9bae-619e-4519-89f6-166f0bd2eb26,375
BAK,20ed5695-23eb-40dc-b389-168f7b390f7a,2153
BAK,f7a58862-c1b4-4f00-b08a-16aa9fbe0a76,131
BAK,73622abd-8fb4-4ddf-9667-16c577fd71c7,3741
BAK,9debbb41-e0b2-4923-b886-16dec375daa7,827
BAK,a0b73b61-2f07-4d36-ada3-16f7086026ec,3019
BAK,bea88396-f42f-4659-a9a3-170278d80518,2002
BAK,ae3d8616-0531-49c9-8fe4-1706a3d7de83,3933
BAK,666fe8cb-abe0-49ef-a391-170b2056a27d,2892
BAK,ec355dd6-2c54-4952-820f-17120d3f18d6,713
BAK,e551b92c-0609-4738-9f31-171315e8a5ea,2612
BAK,72493ebe-803b-4b33-b81b-17375164cc6c,2578
BAK,1382a174-7f47-47d7-b836-17634dfdcb2d,1112
BAK,dad6b126-2886-4043-b065-17644314ca5a,425
BAK,07eab95b-069d-4c62-a772-1768103e82b6,3237
BAK,dcc792d6-0778-441c-8f0c-178af3041090,1439
BAK,48722d88-7251-4941-8514-17a5b17029e3,3024
BAK,1e4e3b31-ed92-4b0c-8cb5-17b85f8141e2,1621
BAK,55123434-5e5e-4533-8bf8-17dd485cb5ec,757
BAK,e2c2a135-e18c-48fe-b599-17fb7b44ab4f,3461
BAK,bd1d68de-6de3-4873-8fa3-181330272b76,385
BAK,f1b9b3f9-ead0-4291-ad05-1827cb98ca23,708
BAK,d897441f-3ba6-4c9d-abb9-1829fced1c02,3263
BAK,d77d0dc3-5b6b-4ee3-8b2a-183074db1dc1,1684
BAK,b9899411-ace8-4fec-b995-1854dae072d8,2683
BAK,fecfa97b-d81d-4e41-be92-185f1bd0cbf7,2982
BAK,06b16b97-0c16-4fdf-8df2-187202d97907,1250
BAK,546a6a22-543b-4100-9e9b-187372ce0f17,3845
BAK,1b6f949d-e930-4bd9-b6a6-1891d38838f4,606
BAK,03e16698-d5d1-473c-9900-18952360fe26,982
BAK,0d399f85-c358-4218-9961-18a9ee667ae4,2058
BAK,e888bdbd-b177-4ebb-9273-18eb1bb12440,3958
BAK,e16edbd3-9b5a-4e6a-9c3a-18f3c342701f,2325
BAK,64f6bfd1-9769-4cac-b794-18fb9b896378,2381
BAK,8324a3ab-45c6-48d8-a49f-1901b31979fe,1846
BAK,4881e185-fedb-4654-848c-191662b3c966,721
BAK,6f7fd16f-976d-419f-af08-19205ed11247,159
BAK,d5a4ba67-9fc3-4c01-84fe-19383fc6e5c3,725
BAK,0a18fa31-6f26-4534-8fae-194102bef56b,1739
BAK,810e138b-7e3a-4426-bba0-194769697582,2332
BAK,434ec659-c429-4ebc-8446-1958d29795e4,2721
BAK,fc92e287-328f-4af5-8563-19633228c7cd,3366
BAK,bcd3f642-b214-4d85-bba2-197c39f85bbe,355
BAK,86032266-254b-42e0-a0f0-198101da6bf7,2642
BAK,cea018f8-6ff1-43a1-bb6f-1984508de8ab,1067
BAK,7dcbf07d-324d-490b-ae8b-199b7a359e81,3118
BAK,0a38b130-d772-4ab7-8574-199f4c5804fe,2657
BAK,f74d81eb-4c55-4f98-9f70-19a4c4e1eab7,3125
BAK,9eb96efb-4307-4bf7-9476-19a6892de1e1,82
BAK,c93cb7ac-5916-4c03-9557-19a8951d94f9,820
BAK,9f259a59-41cf-464b-b4a4-19b7820d566c,2705
BAK,64b8fbc7-a28e-48ce-8995-19c1e6356fcc,3592
BAK,a96519f0-0814-4e2a-9afd-19cc8aade934,405
BAK,6705d6d5-691d-4710-bd1d-19cf23171003,1763
BAK,6d33f7da-d907-4897-8095-19e39ede0fc9,2868
BAK,aa43b611-63d3-4c03-b3ca-19e783e4b5df,2248
BAK,b4ff4e31-988b-436d-8342-19f4ed5fed95,2543
BAK,554f9ee1-b7c8-4a80-9fc8-19f7b6407b17,608
BAK,b4de68ae-7cf8-4ca0-bb0f-19f9ffcee9d0,387
BAK,7c32a099-4d96-44df-bd4a-19fa6dd382a2,1788
BAK,28c5f7a5-5ae9-4866-a485-1a0d319cbe6f,2776
BAK,f6508b0d-4b2f-4b88-9713-1a12dd91f730,3405
