SatNo,Odinx,OdTip,ParaCinsi,Tutar,OdTar,MuhKod,MM,KaporaMuhKod,KaporaMM,Kapora,HCKod,kgid,insUN,insDT,insApp,updUN,updDT,updApp,mkgid
897435,85,N,TL,0.0100000000,2024-04-13 11:57:34,,,,,,,85,,,,,,,897435
900221,88,N,TL,0.0100000000,2024-04-16 15:50:07,,,,,,,88,,,,,,,900221
900405,87,N,TL,0.0100000000,2024-04-16 18:10:27,,,,,,,87,,,,,,,900405
904021,97,N,TL,425.1000000000,2024-04-19 16:10:23,,,,,,,97,,,,,,,904021
904507,91,N,TL,0.0100000000,2024-04-20 13:15:47,,,,,,,91,,,,,,,904507
905819,94,N,TL,309.4000000000,2024-04-20 17:48:00,,,,,*,,94,,,,,,,905819
905830,95,N,TL,321.1000000000,2024-04-20 20:09:00,,,,,*,,95,,,,,,,905830
905842,96,N,TL,425.1000000000,2024-04-20 23:33:00,,,,,*,,96,,,,,,,905842
909822,92,N,TL,0.0100000000,2024-04-24 12:25:09,,,,,,,92,,,,,,,909822
909938,93,N,TL,327.6000000000,2024-04-23 13:00:00,,,,,*,,93,,,,,,,909938
911835,99,N,TL,0.0100000000,2024-04-26 11:18:51,,,,,,,99,,,,,,,911835
912071,98,N,TL,0.0100000000,2024-04-26 11:23:34,,,,,,,98,,,,,,,912071
913791,100,N,TL,0.0100000000,2024-04-26 18:34:29,,,,,,,100,,,,,,,913791
914015,101,N,TL,0.0200000000,2024-04-27 11:26:44,,,,,,,101,,,,,,,914015
915677,110,N,TL,304.2000000000,2024-04-29 18:37:44,,,,,,,110,,,,,,,915677
917171,102,N,TL,0.0100000000,2024-04-30 16:49:00,,,,,,,102,,,,,,,917171
917472,104,N,TL,0.0100000000,2024-05-01 13:53:51,,,,,,,104,,,,,,,917472
918887,105,N,TL,0.0100000000,2024-05-02 11:16:41,,,,,,,105,,,,,,,918887
919197,107,N,TL,0.0100000000,2024-05-02 18:46:43,,,,,,,107,,,,,,,919197
923231,106,N,TL,0.0100000000,2024-05-02 18:20:32,,,,,,,106,,,,,,,923231
923276,108,N,TL,0.0100000000,2024-05-02 19:02:00,,,,,,,108,,,,,,,923276
923410,111,N,TL,0.0200000000,2024-05-03 12:04:04,,,,,,,111,,,,,,,923410
926069,112,N,TL,0.0100000000,2024-05-06 19:01:14,,,,,,,112,,,,,,,926069
927352,113,N,TL,0.0100000000,2024-05-07 15:36:57,,,,,,,113,,,,,,,927352
940293,114,N,TL,344.5000000000,2024-05-14 21:21:00,,,,,*,,114,,,,,,,940293
943205,115,N,TL,373.1000000000,2024-05-17 22:05:00,,,,,*,,115,,,,,,,943205
943205,116,N,TL,512.2000000000,2024-05-17 22:05:00,,,,,*,,116,,,,,,,943205
944254,117,N,TL,399.7500000000,2024-05-18 10:39:00,,,,,*,,117,,,,,,,944254
944296,118,N,TL,344.5000000000,2024-05-19 09:42:00,,,,,*,,118,,,,,,,944296
944296,122,N,TL,429.0000000000,2024-05-19 09:42:00,,,,,*,,122,,,,,,,944296
944308,123,N,TL,399.7500000000,2024-05-19 13:45:00,,,,,*,,123,,,,,,,944308
944317,119,N,TL,583.0500000000,2024-05-19 17:46:00,,,,,*,,119,,,,,,,944317
944945,121,N,TL,0.0100000000,2024-05-21 15:02:17,,,,,,,121,,,,,,,944945
945105,120,N,TL,0.0100000000,2024-05-21 15:06:00,,,,,,,120,,,,,,,945105
949727,125,N,TL,0.0100000000,2024-05-28 17:26:07,,,,,,,125,,,,,,,949727
950658,124,N,TL,0.0100000000,2024-05-28 13:47:53,,,,,,,124,,,,,,,950658
952531,126,N,TL,0.0100000000,2024-05-29 18:13:13,,,,,,,126,,,,,,,952531
953293,128,N,TL,733.3400000000,2024-05-30 05:48:28,,,,,*,,128,,,,,,,953293
953912,127,N,TL,0.0100000000,2024-05-30 18:55:16,,,,,,,127,,,,,,,953912
956037,129,N,TL,594.8800000000,2024-06-01 10:57:28,,,,,*,,129,,,,,,,956037
956420,131,N,TL,0.0100000000,2024-06-03 17:13:34,,,,,,,131,,,,,,,956420
957705,130,N,TL,0.0100000000,2024-06-03 15:14:57,,,,,,,130,,,,,,,957705
958653,133,N,TL,0.0100000000,2024-06-04 10:02:52,,,,,,,133,,,,,,,958653
958697,132,N,TL,510.3000000000,2024-06-03 20:51:00,,,,,*,,132,,,,,,,958697
959095,134,N,TL,305.1000000000,2024-06-04 12:36:00,,,,,*,,134,,,,,,,959095
967087,135,N,TL,383.4000000000,2024-06-07 09:36:00,,,,,*,,135,,,,,,,967087
977219,137,N,TL,0.0100000000,2024-06-19 13:00:50,,,,,,,137,,,,,,,977219
977618,136,N,TL,0.0100000000,2024-06-20 15:18:57,,,,,,,136,,,,,,,977618
1008814,138,N,TL,423.9000000000,2024-07-16 15:20:00,,,,,*,,138,,,,,,,1008814
1017169,139,N,TL,0.0100000000,2024-08-01 09:54:18,,,,,,,139,,,,,,,1017169
1051760,140,N,TL,0.0100000000,2024-09-16 11:55:57,,,,,,,140,,,,,,,1051760
1052054,141,N,TL,0.0100000000,2024-09-16 13:37:59,,,,,,,141,,,,,,,1052054
