UserName,AccessTip,DBName
MARDINEMIRGAN,9,TANCA
MARDINMARDIAN,9,TANCA
MARKANTALYA,9,TANCA
MBUZ,9,TANCA
MDOGRU,9,TANCA
MEHMET,9,TANCA
MELIHSURGU,9,TANCA
MEMDUH,9,TANCA
MERKEZ,9,TANCA
MERT,9,TANCA
MERTERMYDN,9,TANCA
METIMOVA,9,TANCA
METRO,9,TANCA
METROGARDEN,9,TANCA
METROMALL,9,TANCA
METROPOL,9,TANCA
MEYDAN,9,TANCA
MHALAC,9,TANCA
MIDTOWN,9,TANCA
MKAHRAMAN,9,TANCA
MNGERZURUM,9,TANCA
MRKZDEPO,9,TANCA
MRTAL,9,TANCA
MYETIMOVA,9,TANCA
MZEREN,9,TANCA
NATA,9,TANCA
NATACADIR,9,TANCA
NATI,9,TANCA
NAZILLI,9,TANCA
NEVSEHIR,9,TANCA
NIHAL,9,TANCA
NINOVA,9,TANCA
NOVADA,9,TANCA
NURETTIN,9,TANCA
OKMEYDANI,9,TANCA
OLIVIUM,9,TANCA
ONLINE,9,TANCA
OOUT,9,TANCA
OPTIMUM,9,TANCA
ORA,9,TANCA
ORDU,9,TANCA
ORDUNOVADA,9,TANCA
OSM,9,TANCA
OSMANIYE328,9,TANCA
OSMOUTLET,9,TANCA
OSMTOPTAN,9,TANCA
OZAN,9,TANCA
OZDILEK,9,TANCA
PALM01,9,TANCA
PALM02,9,TANCA
PALM03,9,TANCA
PALM04,9,TANCA
PALM05,9,TANCA
PALM06,9,TANCA
PALM07,9,TANCA
PALM08,9,TANCA
PALM09,9,TANCA
PALM10,9,TANCA
PALM11,9,TANCA
PALM12,9,TANCA
PALM13,9,TANCA
PALM14,9,TANCA
PALM15,9,TANCA
PALM16,9,TANCA
PALM17,9,TANCA
PALM18,9,TANCA
PALM19,9,TANCA
PALM20,9,TANCA
PALM21,9,TANCA
PALM22,9,TANCA
PALM23,9,TANCA
PALM24,9,TANCA
PALM25,9,TANCA
PELICAN,9,TANCA
PENDORYA,9,TANCA
PENDORYAGARAJ,9,TANCA
PIAZZAMALTEPE,9,TANCA
PIAZZASAMSUN,9,TANCA
PLATFORMMERTER,9,TANCA
RDONUS,9,TANCA
RONESANS,9,TANCA
RSEVEN,9,TANCA
RSM,9,TANCA
SA2,9,TANCA
sahin,9,TANCA
SAKARYAAGORA,9,TANCA
SAMSUN,9,TANCA
SANKO,9,TANCA
SAPPHIRE,9,TANCA
SASKIN,9,TANCA
SAYIM,9,TANCA
SAYIM1,9,TANCA
SBAHADIR,9,TANCA
SBULUT,9,TANCA
SDTRN,9,TANCA
SEDA,9,TANCA
SENAY,9,TANCA
SENAYC,9,TANCA
SERDAR,9,TANCA
SERDIVAN,9,TANCA
SETMAN,9,TANCA
SEVDA,9,TANCA
SGUNES,9,TANCA
SIRINEVLER,9,TANCA
SIVASPRIME,9,TANCA
SKOSE,9,TANCA
SOKE,9,TANCA
SOZAY,9,TANCA
STOKBAK,9,TANCA
STOKBAK2,9,TANCA
STOKBAK3,9,TANCA
STOKBAK4,9,TANCA
TACISER,9,TANCA
tanca,9,TANCA
TANCAKIDSAKASYA,9,TANCA
TANCAKIDSMALLOF,9,TANCA
TANCAKIDSSANKO,9,TANCA
TANCAKIDSVADI,9,TANCA
TANCAKIDSZAFER,9,TANCA
TARIK,9,TANCA
TAURUSANKARA,9,TANCA
tedarikci,9,TANCA
TEKIRDAG,9,TANCA
TERRACITY,9,TANCA
TEST,9,TANCA
testk,9,TANCA
TNC,9,TANCA
TNCADANAREAL,9,TANCA
TNCAGORA,9,TANCA
TNCAQUAFLORYA,9,TANCA
TNCCANPARK,9,TANCA
TNCIZMIROPT,9,TANCA
TNCKVKK,9,TANCA
TNCMALTEPE,9,TANCA
TNCMARAS,9,TANCA
TNCMEYDAN,9,TANCA
TNCNATI,9,TANCA
TNCOZDILEK,9,TANCA
TNCSAMSUNPIAZZA,9,TANCA
TNCVIA,9,TANCA
TNCVIALAND,9,TANCA
TOKATNOVADA,9,TANCA
TOPTANANADEPO,9,TANCA
TOPTANDEPO,9,TANCA
TOPTANLALELI,9,TANCA
TOPTANLALELI2,9,TANCA
TORIUM,9,TANCA
TPARLAKAY,9,TANCA
TPOPTIMUM,9,TANCA
TRABZON,9,TANCA
TRACEV,9,TANCA
TTANCA,9,TANCA
TTHAVALIMANI,9,TANCA
TUGBA,9,TANCA
TUZLAMARIN,9,TANCA
UGUCLU,9,TANCA
UMRANIYE,9,TANCA
UMRANIYEMEYDAN,9,TANCA
UMRDEPO,9,TANCA
UMUR,9,TANCA
umut,9,TANCA
URFA,9,TANCA
URFACD,9,TANCA
URFAPIAZZA,9,TANCA
URFAPIAZZAGRJ,9,TANCA
USAK,9,TANCA
UULGEN,9,TANCA
VADIISTANBUL,9,TANCA
VAKKO,9,TANCA
VALMENTIANKAMAL,9,TANCA
VALMENTICIFTLIK,9,TANCA
VALMENTIMALLOF,9,TANCA
VAN,9,TANCA
VENEZIA,9,TANCA
VIALAND,9,TANCA
VIAPORT,9,TANCA
VIASEL,9,TANCA
VLMNTMARMARAPRK,9,TANCA
VLMNTOSMANBEY,9,TANCA
VYESIL,9,TANCA
WESTPARKKIDS,9,TANCA
x,9,TANCA
YDUNDAR,9,TANCA
YENIELAZIG,9,TANCA
YILMAZ1907,9,TANCA
YONETIM,9,TANCA
YSAHINSU,9,TANCA
ZAFER,9,TANCA
ZFRPLZ,9,TANCA
ZONGULDAK,9,TANCA
