Korgun_UserGrupID,UserName,P_KulGrupID,DBName
1689,RSM,14,TANCA
1691,0886,5,TANCA
1692,SAMSUN,1,TANCA
1694,SAPPHIRE,1,TANCA
1695,SASKIN,1,TANCA
1697,0408,5,TANCA
1698,TNCMALTEPE,1,TANCA
1699,TNCMEYDAN,1,TANCA
1700,TNCNATI,1,TANCA
1702,TNCVIALAND,1,TANCA
1703,TNCVIA,1,TANCA
1704,TOKATNOVADA,1,TANCA
1709,UMRANIYE,1,TANCA
1710,UMRANIYEMEYDAN,1,TANCA
1713,USAK,1,TANCA
1721,BURAK,2,TANCA
1733,TNCLUXURY,1,TANCA
1750,EUGE,5,TANCA
1752,1913,5,TANCA
1763,CARMENT,3,TANCA
1767,ABOZKURT,9,TANCA
1771,CDRYENIBOSNA,1,TANCA
1772,CGRMRK8,12,TANCA
1778,CADIRSAMSUN,1,TANCA
1782,enver,3,TANCA
1793,BOLU,1,TANCA
1794,LEVENT,6,TANCA
1800,SOKE,1,TANCA
1807,k,3,TANCA
1810,CADIRSOKE,1,TANCA
1817,TNCKVKK,3,TANCA
1834,KADIKOY,1,TANCA
1836,SGUNES,3,TANCA
1840,CGRMRK9,12,TANCA
1858,CEYLANGARAJ,1,TANCA
1875,BARKOD,14,TANCA
1881,TPARLAKAY,5,TANCA
1911,CGRMRK10,12,TANCA
1912,CGRMRK11,12,TANCA
1919,TNCSAMSUNPIAZZA,1,TANCA
1921,KALTINEL,5,TANCA
1939,3792,2,TANCA
1949,MC,1,TANCA
1950,MC,2,TANCA
1951,MC,6,TANCA
1954,UULGEN,3,TANCA
1956,DTANCA,3,TANCA
1960,MYETIMOVA,1,TANCA
1968,DERYAAKGUL,9,TANCA
1990,BOZBEK,1,TANCA
1992,EARIK,1,TANCA
1994,METIMOVA,1,TANCA
1996,CDEMIR,1,TANCA
1998,AEROL,1,TANCA
2001,TULEZ,1,TANCA
2002,TULEZ,2,TANCA
2027,BARKOD1,14,TANCA
2029,ITHAL,14,TANCA
2031,YONETIM,3,TANCA
2038,e,3,TANCA
2040,MALKABUL1,14,TANCA
2042,TOPTANDEPO,14,TANCA
2050,OSARAC,3,TANCA
2057,FGUNDUZ,3,TANCA
2069,YAVUZC,3,TANCA
2088,REYHAN,2,TANCA
2089,REYHAN,6,TANCA
2090,REYHAN,10,TANCA
2110,HLTGZGN,3,TANCA
2120,CYUCEPUR,1,TANCA
2121,MBOZKURT,1,TANCA
2148,KTANPA,1,TANCA
2150,4257,10,TANCA
2158,SIBELDONER,3,TANCA
2167,BARKOD2,14,TANCA
2176,CERDIM,9,TANCA
2192,SKARTAL,3,TANCA
2201,CGRMRK12,3,TANCA
2207,SAYIM1,3,TANCA
2208,365,1,TANCA
2218,3590,10,TANCA
2240,7795,1,TANCA
2273,ADAOPTGARAJ,1,TANCA
2274,ANTAKYAPRMGRJ,1,TANCA
2275,BAHAR,3,TANCA
2276,BERK,9,TANCA
2277,BOLUCADIR,1,TANCA
2279,CADIR212,1,TANCA
2280,CADIRANKARAOPT,1,TANCA
2281,CADIRASMERKEZ,1,TANCA
2284,CGRMRK6,12,TANCA
2285,CGRMRK7,12,TANCA
2286,CIGDEM,5,TANCA
2287,CIGSE,9,TANCA
2288,DERYA,9,TANCA
2289,devir,3,TANCA
2291,EMIR,9,TANCA
2297,FORUMGARAJ,1,TANCA
2299,ISKPRMGARAJ,1,TANCA
2302,KIPA,1,TANCA
2304,KOCA,1,TANCA
2306,NATACADIR,1,TANCA
2309,PENDORYAGARAJ,1,TANCA
2310,SEDA,10,TANCA
2312,URFAPIAZZAGRJ,1,TANCA
2317,FCAKMAK,5,TANCA
2318,3872,9,TANCA
2334,KAMPANYA,3,TANCA
2337,SA2,3,TANCA
2348,7902,10,TANCA
2360,MEHMETAYDEMIR,5,TANCA
2365,GULSAH,3,TANCA
2366,korgunenver,3,TANCA
2367,4010,2,TANCA
2376,7965,10,TANCA
2377,7966,4,TANCA
2400,7311,2,TANCA
2402,8014,10,TANCA
2404,KASTAMONUBAYII,1,TANCA
2407,MURATCETINKAYA,5,TANCA
2415,TOPTANANADEPO,14,TANCA
2422,5382,6,TANCA
2423,CADIRAXIS,1,TANCA
2424,CADIRNOVADA,1,TANCA
2426,CADIRWESTPARK,1,TANCA
2427,CORUMGARAJ,1,TANCA
2435,7925,2,TANCA
2436,8097,3,TANCA
2450,8149,10,TANCA
2476,3390,1,TANCA
2477,3390,2,TANCA
2478,3390,6,TANCA
2479,3390,10,TANCA
2480,8156,10,TANCA
2484,GOZOPTGARAJ,1,TANCA
2485,2048,14,TANCA
2491,1,3,TANCA
2498,CGRMRK14,12,TANCA
2540,korgun,3,TANCA
2546,depo20,14,TANCA
2549,EKASANCR,3,TANCA
2553,NCRKT143,3,TANCA
2554,NSengul,2,TANCA
2555,NSengul,3,TANCA
2556,NSengul,6,TANCA
2557,NSengul,9,TANCA
2558,NSengul,10,TANCA
2559,8143,10,TANCA
2569,TTHAVALIMANI,1,TANCA
2572,8218,3,TANCA
2574,8174,3,TANCA
2584,CGRMRK15,3,TANCA
2597,09999,3,TANCA
2599,DBAKIRWINSTOWN,1,TANCA
2601,KgLima,3,TANCA
2605,ACITY,1,TANCA
2606,ACITYFIRSAT,1,TANCA
2607,ADACENTER,1,TANCA
2608,ADANA,1,TANCA
2609,ADANACADIR,1,TANCA
2610,ADANAREALSEL,1,TANCA
2611,ADAOPT,1,TANCA
2612,AFYON,1,TANCA
2613,AFYONPARK,1,TANCA
2614,AKASYA,1,TANCA
2615,AKASYALUXURY,1,TANCA
2616,AKASYAOUTLET,1,TANCA
2617,AKBATI,1,TANCA
2618,ALANYA,1,TANCA
2619,ANATOLIUM,1,TANCA
2620,ANKARA,1,TANCA
2621,ANKARACEPA,1,TANCA
2622,ANKARAGIMART,1,TANCA
2623,ANKARAKENT,1,TANCA
2624,ANKARAONETOWER,1,TANCA
2625,ANKARAPODIUM,1,TANCA
2626,ANTAKYA,1,TANCA
2627,ANTAKYAPLDM,1,TANCA
2628,ANTALYA,1,TANCA
2629,ANTALYADEEPO,1,TANCA
2630,ANTALYAMALLOF,1,TANCA
2631,ANTALYAMIGROS,1,TANCA
2632,ANTARES,1,TANCA
2633,AREAL,1,TANCA
2634,ATASHRPALLADIUM,1,TANCA
2635,AXIS,1,TANCA
2636,BATMAN,1,TANCA
2637,BATMANPETROLCTY,1,TANCA
2638,BAYRAMPASAAXIS,1,TANCA
2639,BAYRAMPASAAXIS,3,TANCA
2640,BEYAZIT,1,TANCA
2641,BEYAZITTOPTAN,1,TANCA
2642,BEYAZITTOPTAN2,1,TANCA
2643,BODRUM,1,TANCA
2644,BURSA,1,TANCA
2645,BURSAKENT,1,TANCA
2646,BURSAOZDILEK,1,TANCA
2647,BURSASURYAPI,1,TANCA
2648,BUYAKA,1,TANCA
2649,CADIR,1,TANCA
2651,CANPARK,1,TANCA
2652,CNKBURDA,1,TANCA
2653,CORLUTREND,1,TANCA
2654,CORUMAHL,1,TANCA
2655,DBAKIRCEYLAN,1,TANCA
2656,DBAKIRWINSTON,1,TANCA
2657,DENIZLI,1,TANCA
2658,DYRBKR,1,TANCA
2659,DYRBKRFORUM,1,TANCA
2660,EDIRNE,1,TANCA
2661,EDIRNEERASTA,1,TANCA
2662,ELAZIG,1,TANCA
2663,ERZINCANPARK,1,TANCA
2664,ERZURUM,1,TANCA
2665,ESENYURTOUT,1,TANCA
2666,FETHIYEERASTA,1,TANCA
2667,FORUMTRABZON,1,TANCA
2668,FRMIST,1,TANCA
2669,GALATAPORT,1,TANCA
2670,GAZIANTEP,1,TANCA
2671,GAZIANTEPPRIME,1,TANCA
2672,GEBZE,1,TANCA
2673,GIMART1,1,TANCA
2674,GORDION,1,TANCA
2675,HATAY,1,TANCA
2676,HILLTOWN,1,TANCA
2677,HISTORIA,1,TANCA
2678,INEGOL,1,TANCA
2679,ISKENDERUN,1,TANCA
2680,ISKENDERUNFORB,1,TANCA
2681,IZMIR,1,TANCA
2682,IZMIRAGORA,1,TANCA
2683,IZMIRMAVIBAHCE,1,TANCA
2684,IZMIROPT,1,TANCA
2685,IZMIRWEST,1,TANCA
2687,KAYSERI,1,TANCA
2688,KAYSERIFORUM,1,TANCA
2689,KILYOS,1,TANCA
2690,KMARAS,1,TANCA
2691,KNKENT,1,TANCA
2692,KNREAL,1,TANCA
2693,KOCAELI,1,TANCA
2694,KOCAELI41,1,TANCA
2695,KOCAELISYMBOL,1,TANCA
2696,KONYA,1,TANCA
2697,KORUPARK,1,TANCA
2698,KYAKAHILLTOWN,1,TANCA
2699,LALELI1,1,TANCA
2700,LALELI2,1,TANCA
2701,LALELI3,1,TANCA
2702,LALELI4,1,TANCA
2703,MALATYA,1,TANCA
2704,MALLISTANBUL,1,TANCA
2705,MALTEPE,1,TANCA
2706,MARDIN,1,TANCA
2707,MARDINMARDIAN,1,TANCA
2708,MARKANTALYA,1,TANCA
2710,MIDTOWN,1,TANCA
2711,MNGERZURUM,1,TANCA
2712,NATA,1,TANCA
2713,NATI,1,TANCA
2714,NINOVA,1,TANCA
2715,NOVADA,1,TANCA
2716,OLIVIUM,1,TANCA
2717,OPTIMUM,1,TANCA
2718,ORDUNOVADA,1,TANCA
2719,OSMANIYE328,1,TANCA
2720,OSMOUTLET,1,TANCA
2721,OSMTOPTAN,1,TANCA
2722,OZDILEK,1,TANCA
2723,PIAZZAMALTEPE,1,TANCA
2724,PIAZZASAMSUN,1,TANCA
2725,SAKARYAAGORA,1,TANCA
2726,SANKO,1,TANCA
2727,SERDIVAN,1,TANCA
2728,SIRINEVLER,1,TANCA
2729,SIVASPRIME,1,TANCA
2730,TAURUSANKARA,1,TANCA
2731,TEKIRDAG,1,TANCA
2732,TERRACITY,1,TANCA
2733,TNCADANAREAL,1,TANCA
2734,TNCAGORA,1,TANCA
2735,TNCAQUAFLORYA,1,TANCA
2736,TOPTANLALELI,3,TANCA
2737,TOPTANLALELI2,1,TANCA
2738,TORIUM,1,TANCA
2739,TPOPTIMUM,1,TANCA
2740,TRABZON,1,TANCA
2741,TRACEV,1,TANCA
2742,TUZLAMARIN,1,TANCA
2743,URFA,1,TANCA
2744,URFAPIAZZA,1,TANCA
2745,VADIISTANBUL,1,TANCA
2746,VAN,1,TANCA
2747,VENEZIA,1,TANCA
2748,VIALAND,1,TANCA
2749,VIAPORT,1,TANCA
2750,WESTPARKKIDS,1,TANCA
2751,YENIELAZIG,1,TANCA
2752,ZFRPLZ,1,TANCA
2753,MSA-KT58-001,1,TANCA
2754,MSA-KT10-001,1,TANCA
2755,MSA-KT92-001,1,TANCA
2756,MSA-KT67-001,1,TANCA
2757,MSA-KT39-001,1,TANCA
2759,MSA-KT143-001,1,TANCA
2760,MSA-CK15-001,1,TANCA
2761,MSA-KT178-001,1,TANCA
2763,MSA-KT173-001,1,TANCA
2765,MSA-KT182-001,1,TANCA
2766,MSA-KT81-001,1,TANCA
2769,MSA-KT27-001,1,TANCA
2770,MSA-CK54-001,1,TANCA
2771,MSA-KT98-001,1,TANCA
2772,MZEREN,3,TANCA
2774,8339,3,TANCA
2776,8356,3,TANCA
2779,9998,3,TANCA
2781,09998,3,TANCA
2784,8340,3,TANCA
2786,ANTALYAMIGROS2,3,TANCA
2787,CADIRTUZLA,1,TANCA
2790,09997,3,TANCA
2794,otoef,3,TANCA
2796,7756,10,TANCA
2824,ENNTEPE,1,TANCA
2826,5297,3,TANCA
2828,0004,3,TANCA
2831,5909,3,TANCA
2832,CADIRAVCILAR,1,TANCA
2835,CAGLA,6,TANCA
2850,08482,3,TANCA
2853,cagrimrkz,3,TANCA
2906,ikproje,7,TANCA
2922,6462,3,TANCA
2929,ECALISKAN,1,TANCA
2931,TUGAY,3,TANCA
2932,1977,3,TANCA
2933,1977,15,TANCA
2961,4507,12,TANCA
2969,sahin,3,TANCA
2972,SBAHADIR,5,TANCA
2975,rstm,3,TANCA
2977,sertan,14,TANCA
2979,1945,3,TANCA
2980,1903,3,TANCA
2990,CDRMALTEPE,1,TANCA
2992,BCICEK,5,TANCA
2996,ERZINCANCADDE,1,TANCA
2999,METROPOL,1,TANCA
3001,METROMALL,3,TANCA
3009,IZMIT,1,TANCA
3013,8305,9,TANCA
3014,KMARASGARAJ,1,TANCA
3015,ERSINCNR,3,TANCA
3016,KGBANKA,1,TANCA
3017,KGBANKA,2,TANCA
3018,KGBANKA,3,TANCA
3019,KGBANKA,4,TANCA
3020,KGBANKA,5,TANCA
3021,KGBANKA,6,TANCA
3022,KGBANKA,7,TANCA
3023,KGBANKA,9,TANCA
3024,KGBANKA,10,TANCA
3025,KGBANKA,12,TANCA
3026,KGBANKA,13,TANCA
3027,KGBANKA,14,TANCA
3028,KGBANKA,15,TANCA
3031,5274,9,TANCA
3032,8524,3,TANCA
3036,sguner,3,TANCA
3037,5731,9,TANCA
3043,8556,3,TANCA
3049,VALMENTICIFTLIK,1,TANCA
3054,MHALAC,3,TANCA
3055,7819,7,TANCA
3059,MALTEPEPARKCDR,1,TANCA
3069,V3401,1,TANCA
3072,V3402,1,TANCA
3073,3941,9,TANCA
3075,tedarikci,1,TANCA
3082,7109,9,TANCA
3083,ozerrdp,14,TANCA
3084,aydınrdp,14,TANCA
3085,asiyeterm,14,TANCA
3086,aydinrdp,14,TANCA
3087,yunusrdp,14,TANCA
3088,mvurur,14,TANCA
3089,AHMETTOR,3,TANCA
3090,STOKLU,4,TANCA
3091,gurbet,14,TANCA
3092,frmistgaraj,1,TANCA
3093,MURATYILDIZ,3,TANCA
3094,sinanozer,14,TANCA
3099,SAHINYESIL,12,TANCA
3103,YALCIN,3,TANCA
3104,AYDIN,1,TANCA
3107,IZMIRVALMENTI,1,TANCA
3108,turgut,14,TANCA
3111,VLMNTOSMANBEY,1,TANCA
3113,eukaya,4,TANCA
3114,mbas,4,TANCA
3115,MGOKTAS,1,TANCA
3121,8011,14,TANCA
3123,aydinterm,14,TANCA
3125,4234,5,TANCA
3127,SEVILAY,12,TANCA
3128,VEDAT,1,TANCA
3129,VEDAT,2,TANCA
3130,VEDAT,3,TANCA
3131,VEDAT,4,TANCA
3132,VEDAT,5,TANCA
3133,VEDAT,6,TANCA
3134,VEDAT,7,TANCA
3135,VEDAT,9,TANCA
3136,VEDAT,10,TANCA
3137,VEDAT,12,TANCA
3138,VEDAT,13,TANCA
3139,VEDAT,14,TANCA
3140,VEDAT,15,TANCA
3141,BOYAHANEDEPO,14,TANCA
3142,IREMKAYA,9,TANCA
3144,VALMENTIANKAMAL,1,TANCA
3147,ealbayrak,14,TANCA
3151,FTHYLDZ,3,TANCA
3153,barkod3,14,TANCA
3154,6864,3,TANCA
3155,6864,9,TANCA
3156,8839,3,TANCA
3158,8777,2,TANCA
3159,ABASAK,5,TANCA
3160,2021,3,TANCA
3161,2956,9,TANCA
3162,3372,2,TANCA
3163,3455,12,TANCA
3164,AKINALTUG,3,TANCA
3165,ANIL,2,TANCA
3166,HAYIK,5,TANCA
3167,HPALA,13,TANCA
3168,3528,2,TANCA
3169,3739,3,TANCA
3170,0688,5,TANCA
3171,1226,9,TANCA
3172,1196,5,TANCA
3173,1244,5,TANCA
3174,08201,3,TANCA
3175,2133,5,TANCA
3176,07997,3,TANCA
3177,2238,9,TANCA
3178,3769,9,TANCA
3179,4052,2,TANCA
3180,4365,10,TANCA
3181,4366,5,TANCA
3182,4440,6,TANCA
3183,4624,9,TANCA
3184,4693,2,TANCA
3185,4722,6,TANCA
3186,4779,5,TANCA
3187,5334,9,TANCA
3188,4188,3,TANCA
3189,4251,5,TANCA
3190,5352,2,TANCA
3191,5372,2,TANCA
3192,5420,3,TANCA
3193,5420,6,TANCA
3194,5485,9,TANCA
3195,5552,9,TANCA
3196,6067,3,TANCA
3197,6098,2,TANCA
3198,6103,9,TANCA
3199,6163,3,TANCA
3200,6235,10,TANCA
3201,6497,9,TANCA
3202,4870,2,TANCA
3203,7315,10,TANCA
3204,7621,10,TANCA
3205,7640,2,TANCA
3206,7653,1,TANCA
3207,6503,2,TANCA
3208,6513,9,TANCA
3209,6523,2,TANCA
3210,6538,2,TANCA
3211,6539,2,TANCA
3212,6642,2,TANCA
3213,6651,9,TANCA
3214,6768,2,TANCA
3215,6818,9,TANCA
3216,6854,2,TANCA
3217,6855,9,TANCA
3218,6863,9,TANCA
3219,6880,6,TANCA
3220,6963,10,TANCA
3221,7680,1,TANCA
3222,7766,10,TANCA
3223,7770,2,TANCA
3224,7779,9,TANCA
3225,7796,9,TANCA
3226,7842,3,TANCA
3227,7863,10,TANCA
3228,7864,10,TANCA
3229,7911,9,TANCA
3230,YASEMIN,3,TANCA
3231,UGUCLU,5,TANCA
3233,savasterm2,14,TANCA
3234,MERALKAPTAN,6,TANCA
3236,8608,14,TANCA
3238,8572,3,TANCA
3239,CEMILUCAN,5,TANCA
3240,iarikan,3,TANCA
3241,iarikan,13,TANCA
3243,AIZMIR,3,TANCA
3245,8848,6,TANCA
3246,7614,9,TANCA
3247,VALMENTIMALLOF,1,TANCA
3248,ERKANBAYRAKTAR,5,TANCA
3249,FURKAN,3,TANCA
3251,ONURUGUR,3,TANCA
3252,egurarslan,12,TANCA
3253,nazif,14,TANCA
3255,8833,9,TANCA
3260,8871,3,TANCA
3261,CDRMALATYA,1,TANCA
3262,7960,13,TANCA
3263,KARGO5,3,TANCA
3264,KARGO5,14,TANCA
3265,VLMNTMARMARAPRK,1,TANCA
3267,MELIHSURGU,5,TANCA
3270,ERZMNGGARAJ,1,TANCA
3271,ERZURUMGARAJ,1,TANCA
