inx,FormName,CompName,Langid,Original,Translated,Hint,DBName
32,f_alarmer,PopupMenu1,0,&Çalistir,&Çalistir,,TANCA
33,f_alarmer,PopupMenu1,0,&Çikis,&Çikis,,TANCA
34,f_alarmer,PopupMenu3,0,&Ekle...,&Ekle...,,TANCA
35,f_alarmer,PopupMenu3,0,&Düzelt...,&Düzelt...,,TANCA
36,f_alarmer,PopupMenu3,0,&Sil,&Sil,,TANCA
37,f_alarmer,PopupMenu3,0,Kullanici Ayarlari...,Kullanici Ayarlari...,,TANCA
38,Uyari,Uyari,0,Uyari,Uyari,,TANCA
39,Uyari,gb_Tekil,0,Bir kez Uyari,Bir kez Uyari,,TANCA
40,Uyari,Label5,0,&Uyari zamani :,&Uyari zamani :,,TANCA
41,Uyari,gb_Peryodik,0,Peryodik Uyari,Peryodik Uyari,,TANCA
42,Uyari,Label1,0,&Her                                          bir,&Her                                          bir,,TANCA
43,Uyari,Label2,0,&Baslangiç,&Baslangiç,,TANCA
44,Uyari,ComboB_DevirTip,0,saniyede,saniyede,,TANCA
45,Uyari,ComboB_DevirTip,0,dakikada,dakikada,,TANCA
46,Uyari,ComboB_DevirTip,0,saatte,saatte,,TANCA
47,Uyari,ComboB_DevirTip,0,günde,günde,,TANCA
48,Uyari,ComboB_DevirTip,0,haftada,haftada,,TANCA
49,Uyari,ComboB_DevirTip,0,ayda,ayda,,TANCA
50,Uyari,ComboB_DevirTip,0,yilda,yilda,,TANCA
51,Uyari,cb_bitis,0,Bitis,Bitis,,TANCA
52,Uyari,BitBtn1,0,&Tamam,&Tamam,,TANCA
53,Uyari,BitBtn2,0,&Vazgeç,&Vazgeç,,TANCA
54,Uyari,GroupBox1,0,Alarm,Alarm,,TANCA
55,mail_list,mail_list,0,Mail listesi,Mail listesi,,TANCA
56,mail_list,ComboBox1,0,Yönetici,Yönetici,,TANCA
57,mail_list,ComboBox1,0,Tümü,Tümü,,TANCA
58,mail_list,ComboBox2,0,Isme göre,Isme göre,,TANCA
59,mail_list,ComboBox2,0,Adrese göre,Adrese göre,,TANCA
60,mail_list,PopupMenu1,0,Tümünü Seç,Tümünü Seç,,TANCA
61,Form13,Form13,0,Sistem Raporu Seçimi,Sistem Raporu Seçimi,,TANCA
62,Form13,GroupBox1,0,Filtreleme ve Arama,Filtreleme ve Arama,,TANCA
63,Form13,rg_alan,0,Filtrelenecek Alan,Filtrelenecek Alan,,TANCA
64,Form13,rg_alan,0,Bölüm,Bölüm,,TANCA
65,Form13,rg_alan,0,Kullanici,Kullanici,,TANCA
66,Form13,GroupBox2,0,Kategori Filtrele,Kategori Filtrele,,TANCA
67,Form13,GroupBox3,0,Tanimi Ara,Tanimi Ara,,TANCA
68,f_log,f_log,0,Program Loglari,Program Loglari,,TANCA
69,f_log,Label1,0,Yetkilendirme Not:,Yetkilendirme Not:,,TANCA
70,f_log,GroupBox1,0,Versiyon Kisitlama,Versiyon Kisitlama,,TANCA
71,f_log,turn_trial,0,Dönüstür,Dönüstür,,TANCA
72,f_log,GroupBox2,0,Baglanti,Baglanti,,TANCA
73,Uyari,Label10,0,Rapor Kategorisi,Rapor Kategorisi,,TANCA
74,Uyari,Label11,0,&Rapor tipi :,&Rapor tipi :,,TANCA
75,Uyari,Rapor_Aciklama,0,test,test,,TANCA
76,Uyari,ComboB_RaporTip,0,Kritik Stok Kontrolü,Kritik Stok Kontrolü,,TANCA
77,Uyari,ComboB_RaporTip,0,Optimum Stok Kontrolü,Optimum Stok Kontrolü,,TANCA
78,Uyari,ComboB_RaporTip,0,test,test,,TANCA
79,Form11,Form11,0,Adres defteri,Adres defteri ,,TANCA
80,Form11,Label1,0,Ara:,Ara:,,TANCA
81,Form11,Label2,0,Mail adresi,Mail adresi,,TANCA
82,Form11,Label3,0,Grup,Grup,,TANCA
83,Form11,Label4,0,Adi-Unvani,Adi-Unvani,,TANCA
84,Form11,BitBtn2,0,Iptal,Iptal,,TANCA
85,Form11,BitBtn1,0,Kaydet,Kaydet,,TANCA
86,f_alarmer,File1,0,&Kullanıcı Ayarları...,&Kullanıcı Ayarları...,,TANCA
87,f_alarmer,btn_duzelt,1,&Düzelt,Edit,,TANCA
88,f_alarmer,btn_duzelt,2,&Düzelt,,,TANCA
89,f_alarmer,btn_duzelt,3,&Düzelt,?????,,TANCA
90,f_alarmer,btn_duzelt,4,&Düzelt,??????,,TANCA
91,f_alarmer,btn_duzelt,5,&Düzelt,Düz?lt,,TANCA
92,f_alarmer,btn_ekle,1,&Ekle,Add ,,TANCA
93,f_alarmer,btn_ekle,2,&Ekle,,,TANCA
94,f_alarmer,btn_ekle,3,&Ekle,???,,TANCA
95,f_alarmer,btn_ekle,4,&Ekle,????? ??,,TANCA
96,f_alarmer,btn_ekle,5,&Ekle,Alav? et,,TANCA
97,f_alarmer,btn_sil,1,&Sil,Delete,,TANCA
98,f_alarmer,btn_sil,2,&Sil,,,TANCA
99,f_alarmer,btn_sil,3,&Sil,????,,TANCA
100,f_alarmer,btn_sil,4,&Sil,??? ??,,TANCA
101,f_alarmer,btn_sil,5,&Sil,Sil,,TANCA
102,f_alarmer,File1,1,&Sil,Delete,,TANCA
103,f_alarmer,File1,2,&Sil,,,TANCA
104,f_alarmer,File1,3,&Sil,????,,TANCA
105,f_alarmer,File1,4,&Sil,??? ??,,TANCA
106,f_alarmer,File1,5,&Sil,Sil,,TANCA
107,f_alarmer,PopupMenu3,1,&Sil,Delete,,TANCA
108,f_alarmer,PopupMenu3,2,&Sil,,,TANCA
109,f_alarmer,PopupMenu3,3,&Sil,????,,TANCA
110,f_alarmer,PopupMenu3,4,&Sil,??? ??,,TANCA
111,f_alarmer,PopupMenu3,5,&Sil,Sil,,TANCA
112,f_alarmer,ComboBox1,1,Hepsi,All,,TANCA
113,f_alarmer,ComboBox1,2,Hepsi,,,TANCA
114,f_alarmer,ComboBox1,3,Hepsi,????,,TANCA
115,f_alarmer,ComboBox1,4,Hepsi,???,,TANCA
116,f_alarmer,ComboBox1,5,Hepsi,Hamısı,,TANCA
117,f_alarmer,f_alarmer,1,KGCarmenta,KGCarmenta,,TANCA
118,f_alarmer,f_alarmer,2,KGCarmenta,KGCarmenta,,TANCA
119,f_alarmer,f_alarmer,3,KGCarmenta,KGCarmenta,,TANCA
120,f_alarmer,f_alarmer,4,KGCarmenta,KGCarmenta,,TANCA
121,f_alarmer,f_alarmer,5,KGCarmenta,KGCarmenta,,TANCA
122,f_alarmer,File1,1,&Kullanıcı Ayarları...,User Settings,,TANCA
123,f_alarmer,File1,2,&Kullanıcı Ayarları...,,,TANCA
124,f_alarmer,File1,3,&Kullanıcı Ayarları...,??????? ????????,,TANCA
125,f_alarmer,File1,4,&Kullanıcı Ayarları...,??????? ?????,,TANCA
126,f_alarmer,File1,5,&Kullanıcı Ayarları...,Kullanıcı Nizamları,,TANCA
127,f_alarmer,File1,1,&Düzelt...,Edit,,TANCA
128,f_alarmer,File1,2,&Düzelt...,,,TANCA
129,f_alarmer,File1,3,&Düzelt...,?????,,TANCA
130,f_alarmer,File1,4,&Düzelt...,??????,,TANCA
131,f_alarmer,File1,5,&Düzelt...,Düz?lt,,TANCA
132,f_alarmer,PopupMenu3,1,&Düzelt...,Edit,,TANCA
133,f_alarmer,PopupMenu3,2,&Düzelt...,,,TANCA
134,f_alarmer,PopupMenu3,3,&Düzelt...,?????,,TANCA
135,f_alarmer,PopupMenu3,4,&Düzelt...,??????,,TANCA
136,f_alarmer,PopupMenu3,5,&Düzelt...,Düz?lt,,TANCA
137,f_alarmer,File1,1,&Ekle...,Add ,,TANCA
138,f_alarmer,File1,2,&Ekle...,,,TANCA
139,f_alarmer,File1,3,&Ekle...,???,,TANCA
140,f_alarmer,File1,4,&Ekle...,????? ??,,TANCA
141,f_alarmer,File1,5,&Ekle...,Alav? et,,TANCA
142,f_alarmer,PopupMenu3,1,&Ekle...,Add ,,TANCA
143,f_alarmer,PopupMenu3,2,&Ekle...,,,TANCA
144,f_alarmer,PopupMenu3,3,&Ekle...,???,,TANCA
145,f_alarmer,PopupMenu3,4,&Ekle...,????? ??,,TANCA
146,f_alarmer,PopupMenu3,5,&Ekle...,Alav? et,,TANCA
147,f_alarmer,MainMenu1,1,&Düzenle,Edit,,TANCA
148,f_alarmer,MainMenu1,2,&Düzenle,,,TANCA
149,f_alarmer,MainMenu1,3,&Düzenle,?????,,TANCA
150,f_alarmer,MainMenu1,4,&Düzenle,??????,,TANCA
151,f_alarmer,MainMenu1,5,&Düzenle,Düz?lt,,TANCA
152,f_alarmer,ChatUsers,1,Kullanici seçiniz...,Select the User,,TANCA
153,f_alarmer,ChatUsers,2,Kullanici seçiniz...,,,TANCA
154,f_alarmer,ChatUsers,3,Kullanici seçiniz...,???? ????????,,TANCA
155,f_alarmer,ChatUsers,4,Kullanici seçiniz...,?????? ?????,,TANCA
156,f_alarmer,ChatUsers,5,Kullanici seçiniz...,Kullanici seçin,,TANCA
157,f_alarmer,File1,1,Kullanici Ayarlari...,User Settings,,TANCA
158,f_alarmer,File1,2,Kullanici Ayarlari...,,,TANCA
159,f_alarmer,File1,3,Kullanici Ayarlari...,??????? ????????,,TANCA
160,f_alarmer,File1,4,Kullanici Ayarlari...,??????? ?????,,TANCA
161,f_alarmer,File1,5,Kullanici Ayarlari...,Kullanıcı Nizamları,,TANCA
162,f_alarmer,PopupMenu3,1,Kullanici Ayarlari...,User Settings,,TANCA
163,f_alarmer,PopupMenu3,2,Kullanici Ayarlari...,,,TANCA
164,f_alarmer,PopupMenu3,3,Kullanici Ayarlari...,??????? ????????,,TANCA
165,f_alarmer,PopupMenu3,4,Kullanici Ayarlari...,??????? ?????,,TANCA
166,f_alarmer,PopupMenu3,5,Kullanici Ayarlari...,Kullanıcı Nizamları,,TANCA
167,f_alarmer,guncelle,1,guncelle,Updating,,TANCA
168,f_alarmer,guncelle,2,guncelle,,,TANCA
169,f_alarmer,guncelle,3,guncelle,?????,,TANCA
170,f_alarmer,guncelle,4,guncelle,?? ??? ?????,,TANCA
171,f_alarmer,guncelle,5,guncelle,guncelle,,TANCA
172,f_alarmer,Label1,1,Label1,Label,,TANCA
173,f_alarmer,Label1,2,Label1,,,TANCA
174,f_alarmer,Label1,3,Label1,????,,TANCA
175,f_alarmer,Label1,4,Label1,?????,,TANCA
176,f_alarmer,Label1,5,Label1,Label,,TANCA
177,f_alarmer,Label2,1,Internet,Internet,,TANCA
178,f_alarmer,Label2,2,Internet,,,TANCA
179,f_alarmer,Label2,3,Internet,????????,,TANCA
180,f_alarmer,Label2,4,Internet,???????,,TANCA
181,f_alarmer,Label2,5,Internet,Internet,,TANCA
182,f_alarmer,MainMenu1,1,&Program,Program,,TANCA
183,f_alarmer,MainMenu1,2,&Program,,,TANCA
184,f_alarmer,MainMenu1,3,&Program,??????,,TANCA
185,f_alarmer,MainMenu1,4,&Program,??????,,TANCA
186,f_alarmer,MainMenu1,5,&Program,Proqram,,TANCA
187,f_alarmer,MainMenu1,1,&Yardim,Help,,TANCA
188,f_alarmer,MainMenu1,2,&Yardim,,,TANCA
189,f_alarmer,MainMenu1,3,&Yardim,??????,,TANCA
190,f_alarmer,MainMenu1,4,&Yardim,??????,,TANCA
191,f_alarmer,MainMenu1,5,&Yardim,Köm?k,,TANCA
192,f_alarmer,Program1,1,&Çalistir,Run,,TANCA
193,f_alarmer,Program1,2,&Çalistir,,,TANCA
194,f_alarmer,Program1,3,&Çalistir,??????,,TANCA
195,f_alarmer,Program1,4,&Çalistir,???? ??,,TANCA
196,f_alarmer,Program1,5,&Çalistir,İşl?t,,TANCA
197,f_alarmer,PopupMenu1,1,&Çalistir,Run,,TANCA
198,f_alarmer,PopupMenu1,2,&Çalistir,,,TANCA
199,f_alarmer,PopupMenu1,3,&Çalistir,??????,,TANCA
200,f_alarmer,PopupMenu1,4,&Çalistir,???? ??,,TANCA
201,f_alarmer,PopupMenu1,5,&Çalistir,İşl?t,,TANCA
202,f_alarmer,PopupMenu1,1,&Çikis,Exit,,TANCA
203,f_alarmer,PopupMenu1,2,&Çikis,,,TANCA
204,f_alarmer,PopupMenu1,3,&Çikis,????,,TANCA
205,f_alarmer,PopupMenu1,4,&Çikis,????,,TANCA
206,f_alarmer,PopupMenu1,5,&Çikis,Çıxış,,TANCA
207,f_alarmer,Program1,1,&Durdur,Stop,,TANCA
208,f_alarmer,Program1,2,&Durdur,,,TANCA
209,f_alarmer,Program1,3,&Durdur,????,,TANCA
210,f_alarmer,Program1,4,&Durdur,????? ??,,TANCA
211,f_alarmer,Program1,5,&Durdur,Dayandır,,TANCA
212,f_alarmer,PopupMenu1,1,&Durdur,Stop,,TANCA
213,f_alarmer,PopupMenu1,2,&Durdur,,,TANCA
214,f_alarmer,PopupMenu1,3,&Durdur,????,,TANCA
215,f_alarmer,PopupMenu1,4,&Durdur,????? ??,,TANCA
216,f_alarmer,PopupMenu1,5,&Durdur,Dayandır,,TANCA
217,f_alarmer,PopupMenu1,1,Ayarlar...,Settings,,TANCA
218,f_alarmer,PopupMenu1,2,Ayarlar...,,,TANCA
219,f_alarmer,PopupMenu1,3,Ayarlar...,???????,,TANCA
220,f_alarmer,PopupMenu1,4,Ayarlar...,???????,,TANCA
221,f_alarmer,PopupMenu1,5,Ayarlar...,Ayarlar,,TANCA
222,f_alarmer,Yardm1,1,&Hakkinda...,About,,TANCA
223,f_alarmer,Yardm1,2,&Hakkinda...,,,TANCA
224,f_alarmer,Yardm1,3,&Hakkinda...,????????,,TANCA
225,f_alarmer,Yardm1,4,&Hakkinda...,???? ??,,TANCA
226,f_alarmer,Yardm1,5,&Hakkinda...,Haqqında,,TANCA
227,f_alarmer,Program1,1,Çikis,Exit,,TANCA
228,f_alarmer,Program1,2,Çikis,,,TANCA
229,f_alarmer,Program1,3,Çikis,????,,TANCA
230,f_alarmer,Program1,4,Çikis,????,,TANCA
231,f_alarmer,Program1,5,Çikis,Çıxış,,TANCA
232,f_alarmer,L_gor,1,Uyarilacak :,will be notified,,TANCA
233,f_alarmer,L_gor,2,Uyarilacak :,,,TANCA
234,f_alarmer,L_gor,3,Uyarilacak :,???? ?????,,TANCA
235,f_alarmer,L_gor,4,Uyarilacak :,????? ???? ????? ??,,TANCA
236,f_alarmer,L_gor,5,Uyarilacak :,X?b?rdar edil?c?k,,TANCA
237,Uyari,gb_Peryodik,1,Peryodik Uyari,Periodic Alert,,TANCA
238,Uyari,gb_Peryodik,2,Peryodik Uyari,,,TANCA
239,Uyari,gb_Peryodik,3,Peryodik Uyari,??????? ??????,,TANCA
240,Uyari,gb_Peryodik,4,Peryodik Uyari,????? ???? ??,,TANCA
241,Uyari,gb_Peryodik,5,Peryodik Uyari,Periodik Uyari,,TANCA
242,Uyari,gb_Tekil,1,Bir kez Uyari,Once Alert,,TANCA
243,Uyari,gb_Tekil,2,Bir kez Uyari,,,TANCA
244,Uyari,gb_Tekil,3,Bir kez Uyari,??????? ???,,TANCA
245,Uyari,gb_Tekil,4,Bir kez Uyari,??  ?????,,TANCA
246,Uyari,gb_Tekil,5,Bir kez Uyari,Bir d?f? Uyari,,TANCA
247,f_alarmer,yetkilendir,1,yetkilendir,Authorize,,TANCA
248,f_alarmer,yetkilendir,2,yetkilendir,,,TANCA
249,f_alarmer,yetkilendir,3,yetkilendir,?????,,TANCA
250,f_alarmer,yetkilendir,4,yetkilendir,?????? ????,,TANCA
251,f_alarmer,yetkilendir,5,yetkilendir,yetkilendir,,TANCA
252,f_log,f_log,1,Program Loglari,Logs of the Program,,TANCA
253,f_log,f_log,2,Program Loglari,,,TANCA
254,f_log,f_log,3,Program Loglari,????? ????????,,TANCA
255,f_log,f_log,4,Program Loglari,??????? ?? ??????,,TANCA
256,f_log,f_log,5,Program Loglari,Program Loglari,,TANCA
257,f_log,GroupBox1,1,Versiyon Kisitlama,Version Restriction,,TANCA
258,f_log,GroupBox1,2,Versiyon Kisitlama,,,TANCA
259,f_log,GroupBox1,3,Versiyon Kisitlama,?????? ?????,,TANCA
260,f_log,GroupBox1,4,Versiyon Kisitlama,??????? ????,,TANCA
261,f_log,GroupBox1,5,Versiyon Kisitlama,versiyon m?hdudlaşdırmaq,,TANCA
262,f_log,GroupBox2,1,Baglanti,Connection,,TANCA
263,f_log,GroupBox2,2,Baglanti,,,TANCA
264,f_log,GroupBox2,3,Baglanti,??????,,TANCA
265,f_log,GroupBox2,4,Baglanti,??????,,TANCA
266,f_log,GroupBox2,5,Baglanti,Baglanti,,TANCA
267,f_log,Label1,1,Yetkilendirme Not:,Note,,TANCA
268,f_log,Label1,2,Yetkilendirme Not:,,,TANCA
269,f_log,Label1,3,Yetkilendirme Not:,????,,TANCA
270,f_log,Label1,4,Yetkilendirme Not:,???????,,TANCA
271,f_log,Label1,5,Yetkilendirme Not:,Not:,,TANCA
272,f_log,turn_trial,1,Dönüstür,Convert,,TANCA
273,f_log,turn_trial,2,Dönüstür,,,TANCA
274,f_log,turn_trial,3,Dönüstür,????,,TANCA
275,f_log,turn_trial,4,Dönüstür,????? ??,,TANCA
276,f_log,turn_trial,5,Dönüstür,Çevir,,TANCA
277,Form11,BitBtn1,1,Kaydet,Save,,TANCA
278,Form11,BitBtn1,2,Kaydet,,,TANCA
279,Form11,BitBtn1,3,Kaydet,???,,TANCA
280,Form11,BitBtn1,4,Kaydet,????? ??,,TANCA
281,Form11,BitBtn1,5,Kaydet,Qeyd et,,TANCA
282,Form11,BitBtn2,1,Iptal,Cancel,,TANCA
283,Form11,BitBtn2,2,Iptal,,,TANCA
284,Form11,BitBtn2,3,Iptal,?????,,TANCA
285,Form11,BitBtn2,4,Iptal,??? ????,,TANCA
286,Form11,BitBtn2,5,Iptal,L?ğv Et,,TANCA
287,Form11,Form11,1,Adres defteri,Address book,,TANCA
288,Form11,Form11,2,Adres defteri,,,TANCA
289,Form11,Form11,3,Adres defteri,??????? ??????,,TANCA
290,Form11,Form11,4,Adres defteri,?????? ????,,TANCA
291,Form11,Form11,5,Adres defteri,adres d?ft?ri,,TANCA
292,Form11,Label1,1,Ara:,Search,,TANCA
293,Form11,Label1,2,Ara:,,,TANCA
294,Form11,Label1,3,Ara:,???,,TANCA
295,Form11,Label1,4,Ara:,????? ??,,TANCA
296,Form11,Label1,5,Ara:,Axtar,,TANCA
297,Form11,Label2,1,Mail adresi,Mail address,,TANCA
298,Form11,Label2,2,Mail adresi,,,TANCA
299,Form11,Label2,3,Mail adresi,????? ?????? ??????????,,TANCA
300,Form11,Label2,4,Mail adresi,???? ?????,,TANCA
301,Form11,Label2,5,Mail adresi,Email adresi,,TANCA
302,Form11,Label3,1,Grup,Group,,TANCA
303,Form11,Label3,2,Grup,,,TANCA
304,Form11,Label3,3,Grup,??????,,TANCA
305,Form11,Label3,4,Grup,????,,TANCA
306,Form11,Label3,5,Grup,Qrup,,TANCA
307,Form11,Label4,1,Adi-Unvani,Name -Title,,TANCA
308,Form11,Label4,2,Adi-Unvani,,,TANCA
309,Form11,Label4,3,Adi-Unvani,????? - ?????,,TANCA
310,Form11,Label4,4,Adi-Unvani,??? - ?????,,TANCA
311,Form11,Label4,5,Adi-Unvani,Adi-Unvani,,TANCA
312,Form13,Form13,1,Sistem Raporu Seçimi,Selection of System Report,,TANCA
313,Form13,Form13,2,Sistem Raporu Seçimi,,,TANCA
314,Form13,Form13,3,Sistem Raporu Seçimi,?????? ????? ??????,,TANCA
315,Form13,Form13,4,Sistem Raporu Seçimi,?????? ????? ?????,,TANCA
316,Form13,Form13,5,Sistem Raporu Seçimi,Sistem Hesabatı Seçimi,,TANCA
317,Form13,GroupBox1,1,Filtreleme ve Arama,Filtering and Searching,,TANCA
318,Form13,GroupBox1,2,Filtreleme ve Arama,,,TANCA
319,Form13,GroupBox1,3,Filtreleme ve Arama,??????? ? ?????,,TANCA
320,Form13,GroupBox1,4,Filtreleme ve Arama,????? ???? ? ????? ????,,TANCA
321,Form13,GroupBox1,5,Filtreleme ve Arama,Filtrl?m? v? Axtarış,,TANCA
322,Form13,GroupBox2,1,Kategori Filtrele,Filter the Category,,TANCA
323,Form13,GroupBox2,2,Kategori Filtrele,,,TANCA
324,Form13,GroupBox2,3,Kategori Filtrele,???? ???????,,TANCA
325,Form13,GroupBox2,4,Kategori Filtrele,????? ???? ???? ????,,TANCA
326,Form13,GroupBox2,5,Kategori Filtrele,Kateqoriya Filtrl?m?,,TANCA
327,Form13,GroupBox3,1,Tanimi Ara,Search the Definition,,TANCA
328,Form13,GroupBox3,2,Tanimi Ara,,,TANCA
329,Form13,GroupBox3,3,Tanimi Ara,??? ???????,,TANCA
330,Form13,GroupBox3,4,Tanimi Ara,?????? ?????,,TANCA
331,Form13,GroupBox3,5,Tanimi Ara,T?rifi Axtar,,TANCA
332,Uyari,Uyari,1,Uyari,Alert,,TANCA
333,Uyari,Uyari,2,Uyari,,,TANCA
334,Uyari,Uyari,3,Uyari,???????,,TANCA
335,Uyari,Uyari,4,Uyari,?????,,TANCA
336,Uyari,Uyari,5,Uyari,Uyari,,TANCA
337,Form13,rg_alan,1,Bölüm,Section,,TANCA
338,Form13,rg_alan,2,Bölüm,,,TANCA
339,Form13,rg_alan,3,Bölüm,?????,,TANCA
340,Form13,rg_alan,4,Bölüm,???,,TANCA
341,Form13,rg_alan,5,Bölüm,Bölüm,,TANCA
342,Form13,rg_alan,1,Filtrelenecek Alan,Filtered Field,,TANCA
343,Form13,rg_alan,2,Filtrelenecek Alan,,,TANCA
344,Form13,rg_alan,3,Filtrelenecek Alan,??????? ???,,TANCA
345,Form13,rg_alan,4,Filtrelenecek Alan,???? ????? ???,,TANCA
346,Form13,rg_alan,5,Filtrelenecek Alan,Filtrelenecek Alan,,TANCA
347,Form13,rg_alan,1,Kullanici,User,,TANCA
348,Form13,rg_alan,2,Kullanici,,,TANCA
349,Form13,rg_alan,3,Kullanici,?????,,TANCA
350,Form13,rg_alan,4,Kullanici,?????,,TANCA
351,Form13,rg_alan,5,Kullanici,Kullanici,,TANCA
352,mail_list,ComboBox1,1,Tümü,All,,TANCA
353,mail_list,ComboBox1,2,Tümü,,,TANCA
354,mail_list,ComboBox1,3,Tümü,????,,TANCA
355,mail_list,ComboBox1,4,Tümü,???,,TANCA
356,mail_list,ComboBox1,5,Tümü,Hamısı,,TANCA
357,mail_list,ComboBox1,1,Yönetici,Manager,,TANCA
358,mail_list,ComboBox1,2,Yönetici,,,TANCA
359,mail_list,ComboBox1,3,Yönetici,????,,TANCA
360,mail_list,ComboBox1,4,Yönetici,????,,TANCA
361,mail_list,ComboBox1,5,Yönetici,Mudur,,TANCA
362,mail_list,ComboBox2,1,Adrese göre,According to Address,,TANCA
363,mail_list,ComboBox2,2,Adrese göre,,,TANCA
364,mail_list,ComboBox2,3,Adrese göre,???? ??????,,TANCA
365,mail_list,ComboBox2,4,Adrese göre,?? ???? ?? ????,,TANCA
366,mail_list,ComboBox2,5,Adrese göre,,,TANCA
367,mail_list,ComboBox2,1,Isme göre,According to Name,,TANCA
368,mail_list,ComboBox2,2,Isme göre,,,TANCA
369,mail_list,ComboBox2,3,Isme göre,???? ????,,TANCA
370,mail_list,ComboBox2,4,Isme göre,?? ???? ?? ???,,TANCA
371,mail_list,ComboBox2,5,Isme göre,Ada göre,,TANCA
372,mail_list,mail_list,1,Mail listesi,Mailing List,,TANCA
373,mail_list,mail_list,2,Mail listesi,,,TANCA
374,mail_list,mail_list,3,Mail listesi,??????? ????????,,TANCA
375,mail_list,mail_list,4,Mail listesi,???? ????,,TANCA
376,mail_list,mail_list,5,Mail listesi,Mail listesi,,TANCA
377,mail_list,PopupMenu1,1,Tümünü Seç,Select All,,TANCA
378,mail_list,PopupMenu1,2,Tümünü Seç,,,TANCA
379,mail_list,PopupMenu1,3,Tümünü Seç,????? ????,,TANCA
380,mail_list,PopupMenu1,4,Tümünü Seç,?????? ???,,TANCA
381,mail_list,PopupMenu1,5,Tümünü Seç,hamısını  Seç,,TANCA
382,Uyari,BitBtn1,1,&Tamam,OK,,TANCA
383,Uyari,BitBtn1,2,&Tamam,,,TANCA
384,Uyari,BitBtn1,3,&Tamam,?????,,TANCA
385,Uyari,BitBtn1,4,&Tamam,OK,,TANCA
386,Uyari,BitBtn1,5,&Tamam,Tamam,,TANCA
387,Uyari,BitBtn2,1,&Vazgeç,Cancel,,TANCA
388,Uyari,BitBtn2,2,&Vazgeç,,,TANCA
389,Uyari,BitBtn2,3,&Vazgeç,?????,,TANCA
390,Uyari,BitBtn2,4,&Vazgeç,??? ??,,TANCA
391,Uyari,BitBtn2,5,&Vazgeç,Lağv et,,TANCA
392,Uyari,Rapor_Aciklama,1,test,test,,TANCA
393,Uyari,Rapor_Aciklama,2,test,Test,,TANCA
394,Uyari,Rapor_Aciklama,3,test,Test,,TANCA
395,Uyari,Rapor_Aciklama,4,test,Test,,TANCA
396,Uyari,Rapor_Aciklama,5,test,Test,,TANCA
397,Uyari,ComboB_RaporTip,1,test,test,,TANCA
398,Uyari,ComboB_RaporTip,2,test,Test,,TANCA
399,Uyari,ComboB_RaporTip,3,test,Test,,TANCA
400,Uyari,ComboB_RaporTip,4,test,Test,,TANCA
401,Uyari,ComboB_RaporTip,5,test,Test,,TANCA
402,Uyari,Label1,1,&Her                                          bir,Each one,,TANCA
403,Uyari,Label1,2,&Her                                          bir,,,TANCA
