Kod,Tanim,Prim,DBName
KUSAK DETAY,Kuşak Detay,,TANCA
KUSAK VE LAZER DETAYLI,Kuşak Ve Lazer Detaylı,,TANCA
LASTIK AKSESUAR,Lastik Aksesuar,,TANCA
LAZER BASKI,Lazer Baskı,,TANCA
LAZER BASKI DETAY,Lazer Baskı Detay,,TANCA
LAZER BASKI DETAYLI,Lazer Baskı Detaylı,,TANCA
LAZER BASKI DETAYLI/PUSKULLU,Lazer Baskı Detaylı Püsküllü,,TANCA
LAZER BASKI VE KUSAK DETAYLI,Lazer Baskı Ve Kuşak Detaylı,,TANCA
LAZER BASKILI KUSAK DETAYLI,Lazer Baskılı Kuşak Detaylı,,TANCA
LAZER BASKILI TOKA DETAYLI,Lazer Baskılı Toka Detaylı,,TANCA
LAZER DELIKLI,Lazer Delikli,,TANCA
LAZER DELIKLI SIMLI,Lazer Delikli Simli,,TANCA
"LAZER DELIKLI,TOKALI",Lazer Deliki Tokalı,,TANCA
LAZER DESEN,Lazer Desen,,TANCA
LEOPAR DESENLI,Leopar Desenli,,TANCA
LEOPAR DETAYLI,Leopar Detaylı,,TANCA
"LEOPAR,SEFFAF",Leopar Şeffaf,,TANCA
MASKARET,Maskaret,,TANCA
METAL BAGET TASLI,Metal Baget Taşlı,,TANCA
"METAL OKCE,RUGAN ",Metal Ökçe Rugan,,TANCA
METAL TOKA DETAY,Metal Toka Detay,,TANCA
METALIK CICEK DETAYLI,Metalik Çiçek Detaylı,,TANCA
METALIK NAKIS DETAYLI,Metalik Nakış Detaylı,,TANCA
NAKISLI,Nakışlı,,TANCA
NUBUK BASKILI  DERI DETAYLI,Nubuk Baskılı Deri Detaylı,,TANCA
NUBUK DERI,Nubuk Deri,,TANCA
NUBUK DIKIS DETAYLI,Nubuk Dikiş Deyalı,,TANCA
ON ARKA ACIK,Ön Arka Açık,,TANCA
ONDEN FERMUARLI,Önden Fermuarlı,,TANCA
ONU ACIK,Önü Açık,,TANCA
"ONU ACIK, ARKASI ACIK",Önü Açık Arkası Açık,,TANCA
"ONU ACIK,SUET",Önü Açık Süet,,TANCA
ONU KAPALI,Önü Kapalı Süet,,TANCA
ORGU DETAYLI,Örgü Detaylı,,TANCA
ORGU TOKA DETAYLI,Örgü Toka Detaylı,,TANCA
ORGULU PUSKUL DETAYLI SUET,Örgü Püskül Detaylı Süet,,TANCA
ORME LIKRALI,Örme Ligralı,,TANCA
PARCALI YUZ,Parçalı Yüz,,TANCA
PARMAK ARASI,Parmak Arası,,TANCA
"PARMAK ARASI,BASKI DETAY",Parmak Arası  Baskı Detay,,TANCA
"PAYET,NAKIS DETAYLI",Payet Nakış Detaylı,,TANCA
PIM AKSESUAR,Pim Aksesuar,,TANCA
PIM DETAYLI,Pim Detaylı,,TANCA
PITON,Piton,,TANCA
PUANTIYE DETAY,Puantiye Detay,,TANCA
PUL DETAYLI,Pul Detaylı,,TANCA
PUSKUL,Püskül,,TANCA
PUSKUL AKSESUAR,Püskül Aksesuar,,TANCA
PUSKUL AKSESUAR DETAYLI SARACLI,Püskül Aksesuar Detaylı Saraçlı,,TANCA
PUSKUL VE FIYONK,Püskül Ve Fiyonk,,TANCA
RENK DETAYLI,Renk Detaylı,,TANCA
RETLEKTOR DETAYLI,Reklektör Detaylı,,TANCA
RUGAN STILETTO,Rugan Stiletto,,TANCA
RUGAN SUET DETAYLI,Rugan Süet Detaylı,,TANCA
SAC ORGU DETAYLI,Saraç Örgü Detaylı,,TANCA
SADE,Sade,,TANCA
SARAC DETAYLI,Saraç Detaylı,,TANCA
SARACLI AKSESUAR DETAYLI,Saraçlı Aksesuar Detaylı,,TANCA
SARACLI DETAYLI TOKALI,Saraçlı  Detaylı Tokalı,,TANCA
SARACLI LAZER BASKILI,Saraçlı Lazer Baskılı,,TANCA
SARACLI ORGULU AKSESUARLI,Saraçlı Örgülü Aksesuarlı,,TANCA
SARACLI TOKA DETAYLI,Saraçlı Toka Detaylı,,TANCA
SATEN BAGCIKLI,Saten Bağcıklı,,TANCA
SEFFAF,Şeffaf,,TANCA
SEFFAF BANT,Şeffaf Bant,,TANCA
SEFFAF OKCE/SEFFAF YUZEY TAŞ DETAYLI,Şeffaf Ökçe Şeffaf Yüzey Taş Detaylı,,TANCA
SEFFAF TOPUK TEKSTIL DETAYLI,Şeffaf Topuk Tekstil Detaylı,,TANCA
SEFFAF YUZEY/FIYONK DETAYLI,Şeffaf Yüzey Fyonk Detaylı,,TANCA
SEFFAF YUZEY/KURDELA DETAYLI,Şeffaf Yüzey Kurdela Detaylı,,TANCA
SEFFAF/TAS DETAYLI,Şeffaf Taş Detaylı,,TANCA
SERİT DETAYLI,Şerit Detaylı,,TANCA
SIM METALIK DETAY,Sim Metalik Detay,,TANCA
SİVRİ BURUN,SİVRİ BURUN,,TANCA
SLOGAN DETAY,Slogan Detay,,TANCA
STRASS TAS DETAY,Strass Taş Detay,,TANCA
STRAZ TASLI,Straz Taşlı,,TANCA
STRAZ TASLI TUYLU,Straz Taşlı Tüylü,,TANCA
STREC ANIMAL PRINT,Streç Animal Print,,TANCA
STREC DETAYLI,Streç Detaylı,,TANCA
SU GECIRMEZ,SU GECIRMEZ,,TANCA
SUET,Süet,,TANCA
SUET DETAYLI,Süet Detaylı,,TANCA
SUET VE DERI DETAYLI,Süet ve Deri Detaylı,,TANCA
SWAROVSKI TAS,Swarovski Taş,,TANCA
TAS DETAYLI,Taş Detaylı,,TANCA
TAS TOKALI,Taş Tokalı,,TANCA
TEK BANT CIFT TOKALI,Tek Bant Çift Tokalı,,TANCA
TEK BANT CIRTLI,Tek Bant Cırtlı,,TANCA
TEK BANT TASLI,Tek Bant Taşlı,,TANCA
TEK BANT TOKALI,Tek Bant Tokalı,,TANCA
TEK BANT ve AKSESUAR DETAY,Tek Bant ve Aksesuar Detay,,TANCA
"TEK BANT,ANIMAL PRINT",Tek Bant Animal Print,,TANCA
TEK BANTLI,Tek Pantlı,,TANCA
TEK BANTLI DIKISLI,Tek Bantlı Dikişli,,TANCA
TEK BANTLI PIMLI,Tek Bantlı Pimli,,TANCA
TEK BANTLI TAS DETAYLI,Tek Bantlı Taş Detaylı,,TANCA
TEK BANTLI TAS VE ZİNCİR DETAYLI,Tek Bantlı Taş Ve Zincir Detaylı,,TANCA
TEK BANTLI TASLI FIYONK,Tek Bantlı Taşlı Fiyonk,,TANCA
TEK BANTLI TASLI OKCE,Tek Bantlı Taşlı Ökçe,,TANCA
"TEKBANT,KARE AKSESUAR",Tek Bant Kare Aksesuar,,TANCA
TEKSTIL DETAYLI,Tekstil Detaylı,,TANCA
TEKSTIL MALZEME,Teksitil Malzeme,,TANCA
TOKA AKSESUAR,Toka Aksesuar,,TANCA
TOKA DETAYLI,Toka Detaylı,,TANCA
TOKA DETAYLI ZIMBALI SUET,Toka Detaylı Zımbalı Süet,,TANCA
TOKA PUSKUL DETAY,Toka Püskül Detay,,TANCA
"TOKA,LAZER BASKI VE SARAC DETAY",Toka Lazer Baskı Ve Saraç Detaylı,,TANCA
TOKALI,Tokalı,,TANCA
TRIKO,Triko,,TANCA
TROKLU,Troklu,,TANCA
TUL DETAY,Tül Detay,,TANCA
TUY DETAYLI,Tüy Detaylı,,TANCA
TUY TOKALI,Tüy Tokalı,,TANCA
UC BANT TOKALI,Üç Bant Tokalı,,TANCA
UC BANTLI,Üç Bantlı,,TANCA
UC BANTLI SARACLI,Uc Baskılı Saraçlı,,TANCA
"UC BANTLI,BASKI DETAY",Uc Bantlı Baskı Detay,,TANCA
"UC BANTLI,ROSE,GOLD,LAME DETAY",Uc Bantlı Rose Gold Lame Detay,,TANCA
WATERPROOF,WATERPROOF,,TANCA
YAZI DETAYLI,Yazı Deyalı,,TANCA
YILAN ,Yılan,,TANCA
YILAN DESENLI,Yılan Desenli,,TANCA
"YILAN DESNLI,TUYLU",Yılan Desenli Tüylü,,TANCA
YILAN VE HOLAGRAMLI,Yılan Ve Hologramlı,,TANCA
YILAN VE ZIMBA DETAYLI,Yılan Ve Zımba Detaylı,,TANCA
YILDIZ DETAYLI,Yıldız Detaylı,,TANCA
"ZIMBA ,DELIK DETAYLI",Zımba Delik Detaylı,,TANCA
ZIMBA BASKI SUET DETAYLI,Zımba Baskı Süet Detaylı,,TANCA
ZIMBA BASKI TOKA DETAYLI,Zımba Baskı Toka Detaylı,,TANCA
ZIMBA BASKILI /KAPALI,Zımba Baskı Kapalı,,TANCA
ZIMBA DELIKLI,Zımba Delikli,,TANCA
"ZIMBA DELIKLI,FIYONKLU",Zımba Delikli Fiyonklu,,TANCA
"ZIMBA DELIKLI,HOLOGRAM DETAY",Zımba Delikli Hologram Detay,,TANCA
ZIMBA DETAYLI,Zimba Detaylı,,TANCA
ZIMBA VE SARAC DETAYLI,Zımba Ve Saraç Detaylı,,TANCA
ZINCIR DETAYLI,Zincir Detaylı,,TANCA
