Modul,Dizayn,Alan,Genislik,DBName
S,<Default>,CariOzKod1,15,TANCA
S,<Default>,CariOzKod2,15,TANCA
S,<Default>,CariOzKod3,15,TANCA
S,<Default>,CariOzKod4,15,TANCA
S,<Default>,CariOzKod5,15,TANCA
S,<Default>,CariSehir,30,TANCA
S,<Default>,CariUnvan,60,TANCA
S,<Default>,Cinsiyet,15,TANCA
S,<Default>,CNT,20,TANCA
S,<Default>,EANCode,12,TANCA
S,<Default>,Fiyat,25,TANCA
S,<Default>,Fiyat2,25,TANCA
S,<Default>,Fiyat3,25,TANCA
S,<Default>,Fiyat4,25,TANCA
S,<Default>,Kur,4,TANCA
S,<Default>,Kur2,4,TANCA
S,<Default>,Kur3,4,TANCA
S,<Default>,Kur4,4,TANCA
S,<Default>,Location,5,TANCA
S,<Default>,LocTnm,50,TANCA
S,<Default>,LotBarcode,50,TANCA
S,<Default>,LotNo,50,TANCA
S,<Default>,Marka,15,TANCA
S,<Default>,MikBarCode,50,TANCA
S,<Default>,OzelKod1,15,TANCA
S,<Default>,OzelKod10,15,TANCA
S,<Default>,OzelKod2,15,TANCA
S,<Default>,OzelKod3,15,TANCA
S,<Default>,OzelKod4,15,TANCA
S,<Default>,OzelKod5,15,TANCA
S,<Default>,OzelKod6,15,TANCA
S,<Default>,OzelKod7,15,TANCA
S,<Default>,OzelKod8,15,TANCA
S,<Default>,OzelKod9,15,TANCA
S,<Default>,ProcId,15,TANCA
S,<Default>,Renk,50,TANCA
S,<Default>,RenkOzKod1,50,TANCA
S,<Default>,RenkOzKod2,50,TANCA
S,<Default>,RenkOzKod3,50,TANCA
S,<Default>,Reyon,15,TANCA
S,<Default>,SatirAck,30,TANCA
S,<Default>,SCins,2,TANCA
S,<Default>,SCinsT,50,TANCA
S,<Default>,SGrup,20,TANCA
S,<Default>,SGrupT,50,TANCA
S,<Default>,SipOzKod1,15,TANCA
S,<Default>,SipOzKod2,15,TANCA
S,<Default>,SipOzKod3,15,TANCA
S,<Default>,SipOzKod4,15,TANCA
S,<Default>,SipOzKod5,15,TANCA
S,<Default>,SipPicture,50,TANCA
S,<Default>,SMBrCd,50,TANCA
S,<Default>,SMBrCd2,50,TANCA
S,<Default>,SResim,100,TANCA
S,<Default>,STip,20,TANCA
S,<Default>,STipT,50,TANCA
S,<Default>,Stok_Tanim,50,TANCA
S,<Default>,StokGrupKod,20,TANCA
S,<Default>,StokGrupTan,50,TANCA
S,<Default>,StokKodu,15,TANCA
S,<Default>,StokTip,20,TANCA
S,<Default>,StokTipTanim,50,TANCA
S,<Default>,Uretici,15,TANCA
SF,<Default>,ABarcode,25,TANCA
SF,<Default>,Aciklama,30,TANCA
SF,<Default>,AlterBC,50,TANCA
SF,<Default>,AlterCode,50,TANCA
SF,<Default>,AlterTanim,100,TANCA
SF,<Default>,AOzKod1,50,TANCA
SF,<Default>,AOzKod2,50,TANCA
SF,<Default>,AOzKod3,50,TANCA
SF,<Default>,AOzKod4,50,TANCA
SF,<Default>,AOzKod5,50,TANCA
SF,<Default>,Asorti,5,TANCA
SF,<Default>,Asorti_ici,100,TANCA
SF,<Default>,Asorti_Top,5,TANCA
SF,<Default>,AsTanim,100,TANCA
SF,<Default>,AsTanim2,100,TANCA
SF,<Default>,Barcode,25,TANCA
SF,<Default>,BarOzKod1,149,TANCA
SF,<Default>,BarOzKod2,149,TANCA
SF,<Default>,BarOzKod3,149,TANCA
SF,<Default>,BCProcId,50,TANCA
SF,<Default>,beden,8,TANCA
SF,<Default>,Bedenler,100,TANCA
SF,<Default>,BedenTanim,50,TANCA
SF,<Default>,BedOzKod1,10,TANCA
SF,<Default>,BedOzKod2,10,TANCA
SF,<Default>,BedOzKod3,10,TANCA
SF,<Default>,BelgeNo,15,TANCA
SF,<Default>,Birim,10,TANCA
SF,<Default>,Cariisim,60,TANCA
SF,<Default>,CariKod,15,TANCA
SF,<Default>,CariSehir,30,TANCA
SF,<Default>,Cariunvan,60,TANCA
SF,<Default>,CNT,20,TANCA
SF,<Default>,DeAcBc,25,TANCA
SF,<Default>,EANCode,12,TANCA
SF,<Default>,Fiyat,25,TANCA
SF,<Default>,Fiyat2,25,TANCA
SF,<Default>,Fiyat3,25,TANCA
SF,<Default>,Fiyat4,25,TANCA
SF,<Default>,Kur,4,TANCA
SF,<Default>,Kur2,25,TANCA
SF,<Default>,Kur3,25,TANCA
SF,<Default>,Kur4,25,TANCA
SF,<Default>,Marka,15,TANCA
SF,<Default>,MikBarCode,50,TANCA
SF,<Default>,Miktar,20,TANCA
SF,<Default>,OzelKod1,15,TANCA
SF,<Default>,OzelKod10,150,TANCA
SF,<Default>,Ozelkod11,150,TANCA
SF,<Default>,Ozelkod12,150,TANCA
SF,<Default>,Ozelkod13,150,TANCA
SF,<Default>,Ozelkod14,150,TANCA
SF,<Default>,Ozelkod15,150,TANCA
SF,<Default>,Ozelkod16,150,TANCA
SF,<Default>,Ozelkod17,150,TANCA
SF,<Default>,Ozelkod18,150,TANCA
SF,<Default>,Ozelkod19,150,TANCA
SF,<Default>,OzelKod2,15,TANCA
SF,<Default>,Ozelkod20,150,TANCA
SF,<Default>,OzelKod3,15,TANCA
SF,<Default>,OzelKod4,15,TANCA
SF,<Default>,OzelKod5,15,TANCA
SF,<Default>,OzelKod6,150,TANCA
SF,<Default>,OzelKod7,150,TANCA
SF,<Default>,OzelKod8,150,TANCA
SF,<Default>,OzelKod9,150,TANCA
SF,<Default>,ProcId,15,TANCA
SF,<Default>,Renk,50,TANCA
SF,<Default>,RenkOzKod1,50,TANCA
SF,<Default>,RenkOzKod2,50,TANCA
SF,<Default>,RenkOzKod3,50,TANCA
SF,<Default>,Resim,100,TANCA
SF,<Default>,Reyon,15,TANCA
SF,<Default>,SCins,2,TANCA
SF,<Default>,SCinsT,50,TANCA
SF,<Default>,SGrup,3,TANCA
SF,<Default>,SGrupT,50,TANCA
SF,<Default>,StkTipT,50,TANCA
SF,<Default>,Stok_Tanim,50,TANCA
SF,<Default>,StokKodu,15,TANCA
SF,<Default>,StokTip,15,TANCA
SF,<Default>,Uretici,15,TANCA
