AreaCode,CityCode,AreaDescriptionTr,AreaDescriptionEN,LinkedArea,DBName
5319,34,HÜSEYİNAĞA,HUSEYINAGA,440,TANCA
4985,3,ZAFER,ZAFER,22,TANCA
4986,3,İSTİKLAL,ISTIKLAL,22,TANCA
4987,3,ESENTEPE,ESENTEPE,22,TANCA
4988,3,KANLICA,KANLICA,22,TANCA
4989,3,MAREŞAL FEVZİ ÇAKMAK,MARESAL FEVZI CAKMAK,22,TANCA
4990,3,ALİ İHSAN PAŞA,ALI IHSAN PASA,22,TANCA
4991,3,GAZİ,GAZI,22,TANCA
4992,3,KOCATEPE,KOCATEPE,22,TANCA
4993,3,NAZMİ SAATÇİ,NAZMI SAATCI,22,TANCA
4994,3,FATİH,FATIH,22,TANCA
4995,3,EŞREFPAŞA,ESREFPASA,22,TANCA
4996,3,SAHİPATA,SAHIPATA,22,TANCA
4997,3,HOCA AHMET YESEVİ,HOCA AHMET YESEVI,22,TANCA
4998,3,VEYSEL KARANİ,VEYSEL KARANI,22,TANCA
4999,3,YENİCE,YENICE,22,TANCA
5000,3,BEYAZIT,BEYAZIT,22,TANCA
5002,3,KARŞIYAKA,KARSIYAKA,22,TANCA
5003,3,YEŞİLYURT,YESILYURT,22,TANCA
5004,3,SELÇUKLU,SELCUKLU,22,TANCA
5005,3,OSMANGAZİ,OSMANGAZI,22,TANCA
5006,3,ORHANGAZİ,ORHANGAZI,22,TANCA
5007,3,ERTUĞRUL GAZİ,ERTUGRUL GAZI,22,TANCA
5008,3,BATTALGAZİ,BATTALGAZI,22,TANCA
5009,3,ALİ ÇETİNKAYA,ALI CETINKAYA,22,TANCA
5010,3,CUMHURİYET,CUMHURIYET,22,TANCA
5011,3,DUMLUPINAR,DUMLUPINAR,22,TANCA
5012,3,DERVİŞPAŞA,DERVISPASA,22,TANCA
5013,3,KARAMAN,KARAMAN,22,TANCA
5014,3,MARULCU,MARULCU,22,TANCA
5015,3,SÜMER,SUMER,22,TANCA
5016,3,DAİRECEP,DAIRECEP,22,TANCA
5017,3,OLUCAK,OLUCAK,22,TANCA
5018,3,ÇAVUŞBAŞ,CAVUSBAS,22,TANCA
5019,3,HAMİDİYE,HAMIDIYE,22,TANCA
5020,3,HASAN KARAAĞAÇ,HASAN KARAAGAC,22,TANCA
5021,3,YUNUS EMRE,YUNUS EMRE,22,TANCA
5022,3,HACI ABDURRAHMAN,HACI ABDURRAHMAN,22,TANCA
5183,7,GÖÇERLER,GOCERLER,4021,TANCA
5184,7,ÇAMLIBEL,CAMLIBEL,4021,TANCA
5186,7,KUZEYYAKA,KUZEYYAKA,4021,TANCA
5187,7,ÜNSAL,UNSAL,4021,TANCA
5188,7,YENİSANAYİ,YENISANAYI,4022,TANCA
5189,7,ERENKÖY,ERENKOY,4021,TANCA
5190,7,KANAL,KANAL,4021,TANCA
5191,7,BEŞKONAKLAR,BESKONAKLAR,4021,TANCA
5192,7,ALTINOVA,ALTINOVA,4021,TANCA
5193,7,SİNAN,SINAN,4021,TANCA
5194,7,AHATLI,AHATLI,4021,TANCA
5195,7,YENİDOĞAN,YENIDOGAN,4021,TANCA
5196,7,FABRİKALAR,FABRIKALAR,4021,TANCA
5197,7,ÖZGÜRLÜK,OZGURLUK,4021,TANCA
5198,7,ULUS,ULUS,4021,TANCA
5199,7,ZAFER,ZAFER,4021,TANCA
5200,7,YÜKSELİŞ,YUKSELIS,4021,TANCA
5201,7,ATATÜRK,ATATURK,4021,TANCA
5202,7,DUTLUBAHÇE,DUTLUBAHCE,4021,TANCA
5203,7,KONUKSEVER,KONUKSEVER,4021,TANCA
5204,7,GÜLVEREN,GULVEREN,4021,TANCA
5205,7,KÜLTÜR,KULTUR,4021,TANCA
5206,7,ÇAKIRLAR,CAKIRLAR,4022,TANCA
5207,7,KARATEPE,KARATEPE,4022,TANCA
5208,7,GÖKÇAM,GOKCAM,4022,TANCA
5209,7,GENÇLİK,GENCLIK,5222,TANCA
5210,7,ÇAYBAŞI,CAYBASI,5222,TANCA
5211,7,ZERDALİLİK,ZERDALILIK,5222,TANCA
5212,7,DEMİRCİKARA,DEMIRCIKARA,5222,TANCA
5213,7,MEYDANKAVAGI,MEYDANKAVAGI,5222,TANCA
5214,7,TARIM,TARIM,5222,TANCA
5215,7,YEŞİLOVA,YESILOVA,5222,TANCA
5216,7,GÜZELOLUK,GUZELOLUK,5222,TANCA
5217,7,ERMENEK,ERMENEK,5222,TANCA
5218,7,TUZCULAR,TUZCULAR,5222,TANCA
5219,7,BARBAROS,BARBAROS,5222,TANCA
5220,7,KILIÇASLAN,KILICASLAN,5222,TANCA
5221,7,HAŞİMİŞCAN,HASIMISCAN,5222,TANCA
5222,7,MURATPAŞA,MURATPASA,5222,TANCA
5223,7,YÜKSEKALAN,YUKSEKALAN,5222,TANCA
5224,33,KIZKALESİ,KIZKALESI,429,TANCA
5225,67,SALTUKOVA,SALTUKOVA,906,TANCA
5226,35,MALTEPE/KARŞIYAKA,MALTEPE/KARSIYAKA,1913,TANCA
5227,35,MALTEPE/NARLIDERE,MALTEPE/NARLIDERE,469,TANCA
5228,4,CUMAÇAY,CUMACAY,42,TANCA
5229,4,TEZEREN,TEZEREN,42,TANCA
5230,4,YAKINCA,YAKINCA,42,TANCA
5231,59,ÇERKEZKÖY,CERKEZKOY,0,TANCA
5232,51,ULUKIŞLA,ULUKISLA,0,TANCA
5233,27,KARKAMIŞ,KARKAMIS,0,TANCA
5235,34,ATAŞEHIR,ATASEHIR,457,TANCA
5236,34,BARBAROS/KADIKÖY,BARBAROS/KADIKOY,457,TANCA
5241,48,AKKAYA KÖYÜ,AKKAYA KOYU,664,TANCA
5247,48,SARIGERME,SARIGERME,675,TANCA
5249,48,YENİKÖY,YENIKOY,666,TANCA
5250,34,GÜRSEL,GURSEL,449,TANCA
5251,34,TALATPAŞA/KAĞITHANE,TALATPASA/KAGITHANE,449,TANCA
5253,34,PERPA,PERPA,449,TANCA
5254,34,DOĞUBANK İŞ HANI,DOGUBANK IS HANI,446,TANCA
5255,34,TİCARET ODASI,TICARET ODASI,446,TANCA
5256,34,NÖBETHANE,NOBETHANE,446,TANCA
5257,34,TCDD GAR,TCDD GAR,446,TANCA
5258,34,MISIR ÇARŞISI,MISIR CARSISI,446,TANCA
4861,42,AĞAÇ İŞLERİ,AGAC ISLERI,1918,TANCA
4862,42,1 ORGANİZE SANAYİ,1 ORGANIZE SANAYI,1918,TANCA
4863,42,ANADOLU SANAYİ,ANADOLU SANAYI,1918,TANCA
4864,42,ZAFER SANAYİ,ZAFER SANAYI,1918,TANCA
4865,42,TOPKAPI SANAYİ,TOPKAPI SANAYI,1918,TANCA
4866,42,BAKIRCILAR SANAYİ,BAKIRCILAR SANAYI,1918,TANCA
4867,42,KIBRIS SANAYİ,KIBRIS SANAYI,1918,TANCA
4868,42,ENSAN SANAYİ,ENSAN SANAYI,1918,TANCA
4869,42,HOCA CİHAN,HOCA CIHAN,1918,TANCA
4870,42,MEDRESE,MEDRESE,1918,TANCA
4871,42,100.YIL,100.YIL,1918,TANCA
4872,42,ERENKÖY,ERENKOY,1918,TANCA
4873,42,ESENLER,ESENLER,1918,TANCA
4874,42,ÖZALAN,OZALAN,1918,TANCA
4875,42,MİMAR SİNAN,MIMAR SINAN,1918,TANCA
4876,42,AKINCILAR,AKINCILAR,1918,TANCA
4877,42,AKŞEMSETTİN,AKSEMSETTIN,1918,TANCA
4878,42,MEHMET AKİF,MEHMET AKIF,1918,TANCA
4879,42,KECECİLER,KECECILER,1910,TANCA
4880,42,SEDİRLER,SEDIRLER,1910,TANCA
4882,42,K.SİNAN,K.SINAN,1910,TANCA
4883,42,FERİTPAŞA,FERITPASA,1918,TANCA
4884,42,NİŞANTAŞI,NISANTASI,1918,TANCA
4885,42,KILIÇARSLAN,KILICARSLAN,1918,TANCA
4886,42,ESKİ OTOGAR,ESKI OTOGAR,1918,TANCA
4888,42,K.İHSANİYE,K.IHSANIYE,1918,TANCA
4889,42,BEDİR,BEDIR,1918,TANCA
4890,42,FATİH IŞIKLAR,FATIH ISIKLAR,1918,TANCA
4891,42,IŞIKLAR,ISIKLAR,1918,TANCA
4892,42,AYDINLIKEVLER,AYDINLIKEVLER,1918,TANCA
4893,42,SAKARYA,SAKARYA,1918,TANCA
4894,42,KARAKAYIŞ,KARAKAYIS,1910,TANCA
5023,3,HACI CAFER,HACI CAFER,22,TANCA
5024,3,HACI EYÜP,HACI EYUP,22,TANCA
5025,3,HACI MAHMUT,HACI MAHMUT,22,TANCA
5026,3,HACI MUSTAFA,HACI MUSTAFA,22,TANCA
5027,3,HACI NASUH,HACI NASUH,22,TANCA
5028,3,HACI YAHYA,HACI YAHYA,22,TANCA
5029,3,HACI NUH,HACI NUH,22,TANCA
5030,3,HATTAT KARAHİSAR,HATTAT KARAHISAR,22,TANCA
5031,3,HİSARALTI,HISARALTI,22,TANCA
5032,3,EFECİK,EFECIK,22,TANCA
5033,3,ÇAVUŞOĞLU,CAVUSOGLU,22,TANCA
5034,3,AKSARAYLI,AKSARAYLI,22,TANCA
5035,3,FAKIPAŞA,FAKIPASA,22,TANCA
5036,3,BEDRİK,BEDRIK,22,TANCA
5037,3,BADEMLİ,BADEMLI,22,TANCA
5038,3,UMURBEY,UMURBEY,22,TANCA
5039,3,AKMESCİT,AKMESCIT,22,TANCA
5040,3,BURMALI,BURMALI,22,TANCA
5041,3,CAMİKEBİR,CAMIKEBIR,22,TANCA
5042,3,BARBAROS,BARBAROS,22,TANCA
5043,3,KARAKATİP,KARAKATIP,22,TANCA
5044,3,KASIMPAŞA,KASIMPASA,22,TANCA
5045,3,KAYADİBİ,KAYADIBI,22,TANCA
5046,3,KARAMANOĞLU,KARAMANOGLU,22,TANCA
5047,3,KALE,KALE,22,TANCA
5048,3,METLİ,METLI,22,TANCA
5049,3,MECİDİYE,MECIDIYE,22,TANCA
5050,3,MEVLANA,MEVLANA,22,TANCA
5051,3,YARENLER,YARENLER,22,TANCA
5052,3,YUKARI PAZAR,YUKARI PAZAR,22,TANCA
5053,3,YENİ CAMİ,YENI CAMI,22,TANCA
5054,3,TAŞPINAR,TASPINAR,22,TANCA
5059,25,YENİŞEHİR,YENISEHIR,328,TANCA
5060,25,DADAŞKENT,DADASKENT,328,TANCA
5062,25,YAKUTİYE,YAKUTIYE,328,TANCA
5063,25,YILDIZKENT,YILDIZKENT,328,TANCA
5065,25,KANDİLLİ,KANDILLI,331,TANCA
5083,7,BAYINDIR,BAYINDIR,4022,TANCA
5084,7,GÜVENLİK,GUVENLIK,4022,TANCA
5085,7,SOĞUKSU,SOGUKSU,4022,TANCA
5086,7,YILDIZ,YILDIZ,4022,TANCA
5087,7,MEMUREVLERİ,MEMUREVLERI,4022,TANCA
5088,7,ALTINDAĞ,ALTINDAG,4022,TANCA
5089,7,ULUC,ULUC,4022,TANCA
5090,7,GÜRSU,GURSU,4022,TANCA
5091,7,ÖĞRETMENEVİ,OGRETMENEVI,4022,TANCA
5092,7,ALTINKUM,ALTINKUM,4022,TANCA
5093,7,KUŞKAVAGI,KUSKAVAGI,4022,TANCA
5094,7,HURMA,HURMA,4022,TANCA
5095,7,LİMAN,LIMAN,4022,TANCA
5096,7,SARISU,SARISU,4022,TANCA
5097,7,SİTELER,SITELER,4022,TANCA
5098,7,DENİZ,DENIZ,4022,TANCA
5099,7,TAHILPAZARI,TAHILPAZARI,5222,TANCA
5100,7,BALBEY,BALBEY,5222,TANCA
5101,7,SELÇUK,SELCUK,5222,TANCA
5102,7,KIZILSARAY,KIZILSARAY,5222,TANCA
5103,7,KIŞLA,KISLA,5222,TANCA
5104,7,ÜCGEN,UCGEN,5222,TANCA
5105,7,DURALİLER,DURALILER,4021,TANCA
5106,7,MOLLAYUSUF,MOLLAYUSUF,4021,TANCA
5107,7,DÜDENBAŞI,DUDENBASI,4021,TANCA
5108,7,YEŞİLDERE,YESILDERE,4021,TANCA
5109,7,GÖKSU,GOKSU,4021,TANCA
5110,7,ETİLER,ETILER,4021,TANCA
5111,7,GEBİZLİ,GEBIZLI,5222,TANCA
5112,7,ORGANİZE SANAYİ,ORGANIZE SANAYI,2114,TANCA
5113,7,DUACI,DUACI,2114,TANCA
4762,38,İSTASYON,ISTASYON,1922,TANCA
4763,38,ESENYURT,ESENYURT,4047,TANCA
4764,38,NURİHAS,NURIHAS,4047,TANCA
4765,38,HAVAİKMAL,HAVAIKMAL,4047,TANCA
4766,38,YENİDOĞAN,YENIDOGAN,533,TANCA
4767,38,BAHÇELİEVLER,BAHCELIEVLER,533,TANCA
4768,38,ANAYURT,ANAYURT,533,TANCA
4769,38,MEVLANA/TALAS,MEVLANA/TALAS,533,TANCA
4770,38,YILDIRIM BEYAZIT,YILDIRIM BEYAZIT,4047,TANCA
4771,38,İLDEM,ILDEM,4047,TANCA
4772,38,BEYAZŞEHİR,BEYAZSEHIR,4047,TANCA
4773,38,YAVUZLAR,YAVUZLAR,1922,TANCA
4774,38,YUNUSEMRE,YUNUSEMRE,1922,TANCA
4775,38,GAZİOSMAN PAŞA,GAZIOSMAN PASA,1922,TANCA
4776,38,YENİ SANAYİ,YENI SANAYI,1922,TANCA
4777,38,ESKİ SANAYİ,ESKI SANAYI,1922,TANCA
4778,38,HACI SAKİ,HACI SAKI,1922,TANCA
4779,38,KÜÇÜK MUSTAFA,KUCUK MUSTAFA,4047,TANCA
4780,38,ÇORAKÇILAR,CORAKCILAR,4047,TANCA
4781,38,AYDINLIKEVLER,AYDINLIKEVLER,4047,TANCA
4782,38,HÜRRİYET,HURRIYET,4047,TANCA
4783,38,YENİKÖY,YENIKOY,4047,TANCA
4784,38,KAZIMKARABEKİR,KAZIMKARABEKIR,4047,TANCA
4785,38,OSMAN KAVUNCU,OSMAN KAVUNCU,4047,TANCA
4787,38,KEYKUBAT,KEYKUBAT,4047,TANCA
4788,38,ŞEKER,SEKER,1922,TANCA
4789,38,BELSİN,BELSIN,4047,TANCA
4790,38,KOCATEPE,KOCATEPE,4047,TANCA
4791,38,SAKARYA,SAKARYA,4047,TANCA
4792,38,TINAZTEPE,TINAZTEPE,4047,TANCA
4793,38,ANAFARTALAR,ANAFARTALAR,4047,TANCA
4895,42,MUSALLA BAĞLARI,MUSALLA BAGLARI,1918,TANCA
4896,42,BEŞ YOL,BES YOL,1910,TANCA
4897,42,ŞEYH SADRETTİN,SEYH SADRETTIN,4058,TANCA
4898,42,MAMURİYE,MAMURIYE,4058,TANCA
4899,42,ÖGRETMEN EVLERİ,OGRETMEN EVLERI,4058,TANCA
4900,42,PİREBİ,PIREBI,4058,TANCA
4901,42,KÜRKÇÜ,KURKCU,4058,TANCA
4902,42,ÇİFTE MERDİVEN,CIFTE MERDIVEN,1910,TANCA
4903,33,CAMİŞERİF,CAMISERIF,422,TANCA
4904,33,CANKAYA,CANKAYA,422,TANCA
4905,33,MESUDİYE,MESUDIYE,422,TANCA
4906,33,İHSANİYE,IHSANIYE,422,TANCA
4907,33,MAHMUDİYE,MAHMUDIYE,422,TANCA
4909,33,BARIŞ,BARIS,422,TANCA
4910,33,NUSRATİYE,NUSRATIYE,422,TANCA
4911,33,ÜÇOCAK,UCOCAK,422,TANCA
4912,33,ÇAY,CAY,422,TANCA
4913,33,ÇİLEK,CILEK,422,TANCA
4914,33,ÖZGÜRLÜK,OZGURLUK,422,TANCA
4915,33,KARADUVAR,KARADUVAR,422,TANCA
4916,33,HAMİDİYE,HAMIDIYE,422,TANCA
4917,33,KÜLTÜR,KULTUR,422,TANCA
4918,33,PİRİREİS,PIRIREIS,423,TANCA
4919,33,GÜVENEVLER,GUVENEVLER,423,TANCA
4920,33,BAHÇELİEVLER,BAHCELIEVLER,423,TANCA
4923,33,İNÖNÜ,INONU,423,TANCA
4924,33,DUMLUPINAR,DUMLUPINAR,423,TANCA
4925,33,AYDINLIKEVLER,AYDINLIKEVLER,423,TANCA
4926,33,50.YIL,50.YIL,423,TANCA
4927,33,MENTEŞ,MENTES,423,TANCA
4928,33,AKKENT,AKKENT,423,TANCA
4929,33,FUATMOREL,FUATMOREL,423,TANCA
4930,33,KOCAVİLAYET,KOCAVILAYET,423,TANCA
4931,33,EGRİCAM,EGRICAM,423,TANCA
4932,33,BARBAROS,BARBAROS,429,TANCA
4933,33,ALSANCAK,ALSANCAK,424,TANCA
4934,33,DEMİRTAŞ,DEMIRTAS,424,TANCA
4936,33,TURGUTTÜRKALP,TURGUTTURKALP,424,TANCA
4937,33,TURUNÇLU,TURUNCLU,424,TANCA
4938,33,OSMANİYE,OSMANIYE,424,TANCA
4939,33,PORTAKAL,PORTAKAL,424,TANCA
4940,33,YUSUFKILIÇ,YUSUFKILIC,424,TANCA
4941,33,ZEKİAYAN,ZEKIAYAN,424,TANCA
4942,33,CUKUROVA,CUKUROVA,424,TANCA
4943,33,AKBELEN,AKBELEN,424,TANCA
4944,33,TOZKOPARAN,TOZKOPARAN,424,TANCA
4945,33,SAĞLIK,SAGLIK,425,TANCA
4946,33,ÇAVUŞLU,CAVUSLU,424,TANCA
4947,33,MİTHATTOROĞLU,MITHATTOROGLU,424,TANCA
4948,33,KURDALI,KURDALI,424,TANCA
4949,33,SELÇUKLAR,SELCUKLAR,432,TANCA
4950,33,ÇAGDAŞKENT,CAGDASKENT,424,TANCA
4951,33,HALKENT,HALKENT,424,TANCA
4952,33,GÜNEYKENT,GUNEYKENT,424,TANCA
4954,33,KORUKENT,KORUKENT,424,TANCA
4955,33,MUSTAFAKEMAL,MUSTAFAKEMAL,424,TANCA
4957,33,BEKİRDE,BEKIRDE,422,TANCA
4962,33,ASLANKÖY,ASLANKOY,429,TANCA
4964,33,SOGUCAK,SOGUCAK,429,TANCA
4965,33,BEKİRALANI,BEKIRALANI,424,TANCA
4967,33,KARGIPINARI,KARGIPINARI,429,TANCA
4974,33,TAŞUCU,TASUCU,432,TANCA
4975,33,SUSANOĞLU,SUSANOGLU,432,TANCA
4976,33,ATAYURT,ATAYURT,432,TANCA
4978,33,KOCAHASANLI,KOCAHASANLI,429,TANCA
4979,33,TIRTAR,TIRTAR,429,TANCA
4982,33,ÇEŞMELİ,CESMELI,429,TANCA
4983,3,GÜVENEVLER,GUVENEVLER,22,TANCA
4984,3,ÖRNEKEVLER,ORNEKEVLER,22,TANCA
4659,35,AYDOĞDU,AYDOGDU,1900,TANCA
4660,35,MURATHAN,MURATHAN,1900,TANCA
4661,35,ÇAĞDAŞ,CAGDAS,1900,TANCA
4662,35,KARANFİL,KARANFIL,1900,TANCA
4663,35,GAZİLER,GAZILER,1900,TANCA
4664,35,BAHÇEKAPI,BAHCEKAPI,1900,TANCA
4665,35,VALİ RAHMİ BEY,VALI RAHMI BEY,1900,TANCA
4666,35,MENDERES,MENDERES,1900,TANCA
4667,35,DUMLUPINAR,DUMLUPINAR,1900,TANCA
4668,35,ADATEPE,ADATEPE,1900,TANCA
4669,35,KURUÇEŞME,KURUCESME,1900,TANCA
4670,35,YILDIZ,YILDIZ,1900,TANCA
4671,35,ÇAMLIKULE,CAMLIKULE,1900,TANCA
4672,35,GÖKSU,GOKSU,1900,TANCA
4673,35,YEŞİLBAĞLAR,YESILBAGLAR,1900,TANCA
4674,35,FIRAT,FIRAT,1900,TANCA
4675,35,YENİGÜN/BUCA,YENIGUN/BUCA,1900,TANCA
4676,35,MUSTAFA KEMAL,MUSTAFA KEMAL,1900,TANCA
4677,35,KÜÇÜKYAMANLAR,KUCUKYAMANLAR,1913,TANCA
4678,35,POSTACILAR,POSTACILAR,1913,TANCA
4679,35,ÖRNEKKÖY,ORNEKKOY,1913,TANCA
4680,35,YAMANLAR,YAMANLAR,1913,TANCA
4681,35,GÜMÜŞPALA,GUMUSPALA,1913,TANCA
4682,35,ORG.NAFİZ GÜRMAN,ORG.NAFIZ GURMAN,1913,TANCA
4683,35,EMEK,EMEK,1913,TANCA
4684,35,SOĞUKKUYU,SOGUKKUYU,1913,TANCA
4685,35,İMBATLI,IMBATLI,1913,TANCA
4686,35,CUMHURİYET,CUMHURIYET,1913,TANCA
4687,35,YAMAÇ,YAMAC,1913,TANCA
4688,35,EVKA 2,EVKA 2,4091,TANCA
4690,35,TERSANE,TERSANE,1913,TANCA
4691,35,ALAYBEY,ALAYBEY,1913,TANCA
4692,35,TUNA,TUNA,1913,TANCA
4693,35,BAHARİYE,BAHARIYE,1913,TANCA
4694,35,AKSOY,AKSOY,1913,TANCA
4695,35,DONANMACI,DONANMACI,1913,TANCA
4696,35,BOSTANLI,BOSTANLI,1913,TANCA
4795,42,HAVZAN,HAVZAN,4058,TANCA
4796,42,KURTULUŞ,KURTULUS,4058,TANCA
4797,42,MERAM DERE,MERAM DERE,4058,TANCA
4798,42,MELİHŞAH,MELIHSAH,4058,TANCA
4799,42,SARAÇOGLU,SARACOGLU,1910,TANCA
4800,42,HASANKOY,HASANKOY,4058,TANCA
4801,42,K.KUMKÖPRÜ,K.KUMKOPRU,1910,TANCA
4802,42,BATI HADİMİ,BATI HADIMI,4058,TANCA
4803,42,GÜLBAHÇE,GULBAHCE,4058,TANCA
4804,42,DURUNDAY,DURUNDAY,4058,TANCA
4805,42,LALEBAHÇE,LALEBAHCE,4058,TANCA
