Banka,Sube,BTanim,STanim,kgid,insUN,insDT,insApp,updUN,updDT,updApp
0010,00011,TC ZIRAAT BANKASI ,POLATLI-ANKARA,40,,,,,,
0010,00012,TC ZIRAAT BANKASI ,KIZILCAHAMAM-ANKARA,41,,,,,,
0010,00013,TC ZIRAAT BANKASI ,ADANA,42,,,,,,
0010,00014,TC ZIRAAT BANKASI ,OSMANIYE,43,,,,,,
0010,00015,TC ZIRAAT BANKASI ,CEYHAN-ADANA,44,,,,,,
0010,00016,TC ZIRAAT BANKASI ,DORTYOL-ANTAKYA,45,,,,,,
0010,00017,TC ZIRAAT BANKASI ,KARAISALI-ADANA,46,,,,,,
0010,00018,TC ZIRAAT BANKASI ,KOZAN-ADANA,47,,,,,,
0010,00019,TC ZIRAAT BANKASI ,ADAPAZARI,48,,,,,,
0010,00020,TC ZIRAAT BANKASI ,HENDEK-ADAPAZARI,49,,,,,,
0010,00021,TC ZIRAAT BANKASI ,AFYON,50,,,,,,
0010,00022,TC ZIRAAT BANKASI ,BOLVADIN-AFYON,51,,,,,,
0010,00023,TC ZIRAAT BANKASI ,DINAR-AFYON,52,,,,,,
0010,00024,TC ZIRAAT BANKASI ,SANDIKLI-AFYON,53,,,,,,
0010,00025,TC ZIRAAT BANKASI ,EMIRDAG-AFYON,54,,,,,,
0010,00026,TC ZIRAAT BANKASI ,AKSARAY SB.,55,,,,,,
0010,00027,TC ZIRAAT BANKASI ,GULSEHIR-NEVSEHIR,56,,,,,,
0010,00028,TC ZIRAAT BANKASI ,NEVSEHIR,57,,,,,,
0010,00029,TC ZIRAAT BANKASI ,SRF.KOCHISAR-ANKARA,58,,,,,,
0010,00030,TC ZIRAAT BANKASI ,AMASYA,59,,,,,,
0010,00031,TC ZIRAAT BANKASI ,GUMUSHACIKOY-AMASYA,60,,,,,,
0010,00032,TC ZIRAAT BANKASI ,MERZIFON-AMASYA,61,,,,,,
0010,00033,TC ZIRAAT BANKASI ,AYDIN,62,,,,,,
0010,00034,TC ZIRAAT BANKASI ,CINE-AYDIN,63,,,,,,
0010,00035,TC ZIRAAT BANKASI ,SOKE-AYDIN,64,,,,,,
0010,00036,TC ZIRAAT BANKASI ,ANTALYA,65,,,,,,
0010,00037,TC ZIRAAT BANKASI ,AKSEKI-ANTALYA,66,,,,,,
0010,00038,TC ZIRAAT BANKASI ,ELMALI-ANTALYA,67,,,,,,
0010,00039,TC ZIRAAT BANKASI ,ALANYA-ANTALYA,68,,,,,,
0010,00040,TC ZIRAAT BANKASI ,FINIKE-ANTALYA,69,,,,,,
0010,00041,TC ZIRAAT BANKASI ,KORKUTELI-ANTALYA,70,,,,,,
0010,00042,TC ZIRAAT BANKASI ,GAZIANTEP,71,,,,,,
0010,00043,TC ZIRAAT BANKASI ,KİLİS,72,,,,,,
0010,00044,TC ZIRAAT BANKASI ,NIZIP-GAZIANTEP,73,,,,,,
0010,00045,TC ZIRAAT BANKASI ,BALIKESIR,74,,,,,,
0010,00046,TC ZIRAAT BANKASI ,BALYA-BALIKESIR,75,,,,,,
0010,00047,TC ZIRAAT BANKASI ,SINDIRGI-BALIKESIR,76,,,,,,
0010,00048,TC ZIRAAT BANKASI ,BANDIRMA-BALIKESIR,77,,,,,,
0010,00049,TC ZIRAAT BANKASI ,GONEN-BALIKESIR,78,,,,,,
0010,00050,TC ZIRAAT BANKASI ,BOLU,79,,,,,,
0010,00051,TC ZIRAAT BANKASI ,EREGLI-ZONGULDAK,80,,,,,,
0010,00052,TC ZIRAAT BANKASI ,BARTIN,81,,,,,,
0010,00053,TC ZIRAAT BANKASI ,DEVREK-ZONGULDAK,82,,,,,,
0010,00054,TC ZIRAAT BANKASI ,DÜZCE,83,,,,,,
0010,00055,TC ZIRAAT BANKASI ,GEREDE-BOLU,84,,,,,,
0010,00056,TC ZIRAAT BANKASI ,GOYNUK-BOLU,85,,,,,,
0010,00057,TC ZIRAAT BANKASI ,MUDURNU-BOLU,86,,,,,,
0010,00058,TC ZIRAAT BANKASI ,BURDUR,87,,,,,,
0010,00059,TC ZIRAAT BANKASI ,TEFENNI-BURDUR,88,,,,,,
0010,00060,TC ZIRAAT BANKASI ,BURSA,89,,,,,,
0010,00061,TC ZIRAAT BANKASI ,ORHANELI-BURSA,90,,,,,,
0010,00062,TC ZIRAAT BANKASI ,KARACABEY-BURSA,91,,,,,,
0010,00063,TC ZIRAAT BANKASI ,GEMLIK-BURSA,92,,,,,,
0010,00064,TC ZIRAAT BANKASI ,M.KEMALPASA-BURSA,93,,,,,,
0010,00065,TC ZIRAAT BANKASI ,MUDANYA-BURSA,94,,,,,,
0010,00066,TC ZIRAAT BANKASI ,YENISEHIR-BURSA,95,,,,,,
0010,00067,TC ZIRAAT BANKASI ,INEGOL-BURSA,96,,,,,,
0010,00068,TC ZIRAAT BANKASI ,BERGAMA-IZMIR,97,,,,,,
0010,00069,TC ZIRAAT BANKASI ,CANKIRI,98,,,,,,
0010,00070,TC ZIRAAT BANKASI ,CERKES-CANKIRI,99,,,,,,
0010,00071,TC ZIRAAT BANKASI ,ILGAZ-CANKIRI,100,,,,,,
0010,00072,TC ZIRAAT BANKASI ,CANAKKALE,101,,,,,,
0010,00073,TC ZIRAAT BANKASI ,EZINE SB.,102,,,,,,
0010,00074,TC ZIRAAT BANKASI ,BIGA SB.,103,,,,,,
0010,00075,TC ZIRAAT BANKASI ,LAPSEKI SB.,104,,,,,,
0010,00076,TC ZIRAAT BANKASI ,GELIBOLU-CANAKKALE,105,,,,,,
0010,00077,TC ZIRAAT BANKASI ,BAYRAMIC-CANAKKALE,106,,,,,,
0010,00078,TC ZIRAAT BANKASI ,CORUM,107,,,,,,
0010,00079,TC ZIRAAT BANKASI ,ISKILIP-CORUM,108,,,,,,
0010,00080,TC ZIRAAT BANKASI ,ALACA-CORUM,109,,,,,,
0010,00081,TC ZIRAAT BANKASI ,SUNGURLU-CORUM,110,,,,,,
0010,00082,TC ZIRAAT BANKASI ,OSMANCIK-CORUM,111,,,,,,
0010,00083,TC ZIRAAT BANKASI ,MECITOZU-CORUM,112,,,,,,
0010,00084,TC ZIRAAT BANKASI ,DENIZLI,113,,,,,,
0010,00085,TC ZIRAAT BANKASI ,BULDAN-DENIZLI,114,,,,,,
0010,00086,TC ZIRAAT BANKASI ,CAL-DENIZLI,115,,,,,,
0010,00087,TC ZIRAAT BANKASI ,SARAYKOY-DENIZLI,116,,,,,,
0010,00088,TC ZIRAAT BANKASI ,TAVAS SB.,117,,,,,,
0010,00089,TC ZIRAAT BANKASI ,ACIPAYAM-DENIZLI,118,,,,,,
0010,00090,TC ZIRAAT BANKASI ,CIVRIL-DENIZLI,119,,,,,,
0010,00091,TC ZIRAAT BANKASI ,DIYARBAKIR,120,,,,,,
0010,00092,TC ZIRAAT BANKASI ,MARDIN SB.,121,,,,,,
0010,00093,TC ZIRAAT BANKASI ,BITLIS,122,,,,,,
0010,00094,TC ZIRAAT BANKASI ,SIIRT,123,,,,,,
0010,00095,TC ZIRAAT BANKASI ,MUS,124,,,,,,
0010,00096,TC ZIRAAT BANKASI ,VAN ŞUBESİ,125,,,,,,
0010,00097,TC ZIRAAT BANKASI ,EDIRNE,126,,,,,,
0010,00098,TC ZIRAAT BANKASI ,BABAESKI-KIRKLARELI,127,,,,,,
0010,00099,TC ZIRAAT BANKASI ,CORLU-TEKIRDAG,128,,,,,,
0010,00100,TC ZIRAAT BANKASI ,HAYRABOLU-TEKIRDAG,129,,,,,,
0010,00101,TC ZIRAAT BANKASI ,MALKARA-TEKIRDAG,130,,,,,,
0010,00102,TC ZIRAAT BANKASI ,SARKOY-TEKIRDAG,131,,,,,,
0010,00103,TC ZIRAAT BANKASI ,LULEBURGAZ SB.,132,,,,,,
0010,00104,TC ZIRAAT BANKASI ,KIRKLARELI,133,,,,,,
0010,00105,TC ZIRAAT BANKASI ,KESAN-EDIRNE,134,,,,,,
0010,00106,TC ZIRAAT BANKASI ,TEKIRDAG SB.,135,,,,,,
0010,00107,TC ZIRAAT BANKASI ,UZUNKOPRU-EDIRNE,136,,,,,,
0010,00108,TC ZIRAAT BANKASI ,VIZE-KIRKLARELI,137,,,,,,
0010,00109,TC ZIRAAT BANKASI ,EDREMIT SB.,138,,,,,,
0010,00110,TC ZIRAAT BANKASI ,AYVALIK SB.,139,,,,,,
0010,00111,TC ZIRAAT BANKASI ,BURHANIYE SB.,140,,,,,,
0010,00112,TC ZIRAAT BANKASI ,ERZURUM MERKEZ SB.,141,,,,,,
0010,00113,TC ZIRAAT BANKASI ,PASINLER SB.,142,,,,,,
0010,00114,TC ZIRAAT BANKASI ,TERCAN SB.,143,,,,,,
0010,00115,TC ZIRAAT BANKASI ,AGRI,144,,,,,,
0010,00116,TC ZIRAAT BANKASI ,ERZINCAN,145,,,,,,
0010,00117,TC ZIRAAT BANKASI ,ESKISEHIR,146,,,,,,
0010,00118,TC ZIRAAT BANKASI ,BILECIK,147,,,,,,
0010,00119,TC ZIRAAT BANKASI ,SIVRIHISAR SB.,148,,,,,,
0010,00120,TC ZIRAAT BANKASI ,MIHALICCIK-ESKISEHIR,149,,,,,,
0010,00121,TC ZIRAAT BANKASI ,SOGUT-BILECIK,150,,,,,,
0010,00122,TC ZIRAAT BANKASI ,BOZOYUK-BILECIK,151,,,,,,
0010,00123,TC ZIRAAT BANKASI ,GIRESUN,152,,,,,,
0010,00124,TC ZIRAAT BANKASI ,TIREBOLU-GIRESUN,153,,,,,,
0010,00125,TC ZIRAAT BANKASI ,GORELE-GIRESUN,154,,,,,,
0010,00126,TC ZIRAAT BANKASI ,S.KARAHISAR-GIRESUN,155,,,,,,
0010,00127,TC ZIRAAT BANKASI ,ALUCRA-GIRESUN,156,,,,,,
0010,00128,TC ZIRAAT BANKASI ,INEBOLU-KASTAMONU,157,,,,,,
0010,00129,TC ZIRAAT BANKASI ,ISTANBUL SUBESI,158,,,,,,
0010,00130,TC ZIRAAT BANKASI ,CATALCA-ISTANBUL,159,,,,,,
0010,00131,TC ZIRAAT BANKASI ,ZONGULDAK,160,,,,,,
0010,00132,TC ZIRAAT BANKASI ,ISPARTA,161,,,,,,
0010,00133,TC ZIRAAT BANKASI ,EGIRDIR-ISPARTA,162,,,,,,
0010,00134,TC ZIRAAT BANKASI ,ULUBORLU-ISPARTA,163,,,,,,
0010,00135,TC ZIRAAT BANKASI ,S.KARAAGAC-ISPARTA,164,,,,,,
0010,00136,TC ZIRAAT BANKASI ,YALVAC-ISPARTA,165,,,,,,
0010,00137,TC ZIRAAT BANKASI ,IZMIR SUBESI,166,,,,,,
0010,00138,TC ZIRAAT BANKASI ,URLA-IZMIR,167,,,,,,
0010,00139,TC ZIRAAT BANKASI ,BAYINDIR SB.,168,,,,,,
0010,00140,TC ZIRAAT BANKASI ,TIRE-IZMIR,169,,,,,,
0010,00141,TC ZIRAAT BANKASI ,CESME-IZMIR,170,,,,,,
0010,00142,TC ZIRAAT BANKASI ,SEFERIHISAR-IZMIR,171,,,,,,
0010,00143,TC ZIRAAT BANKASI ,KARABURUN-IZMIR,172,,,,,,
0010,00144,TC ZIRAAT BANKASI ,KUSADASI-AYDIN,173,,,,,,
0010,00145,TC ZIRAAT BANKASI ,KEMALPASA-IZMIR,174,,,,,,
0010,00146,TC ZIRAAT BANKASI ,MENEMEN-IZMIR,175,,,,,,
0010,00147,TC ZIRAAT BANKASI ,KARS,176,,,,,,
0010,00148,TC ZIRAAT BANKASI ,ARTVIN,177,,,,,,
0010,00149,TC ZIRAAT BANKASI ,ARDAHAN,178,,,,,,
0010,00150,TC ZIRAAT BANKASI ,IGDIR,179,,,,,,
0010,00151,TC ZIRAAT BANKASI ,KASTAMONU,180,,,,,,
0010,00152,TC ZIRAAT BANKASI ,ARAC SB.,181,,,,,,
0010,00153,TC ZIRAAT BANKASI ,SAFRAN BÜROSU,182,,,,,,
0010,00154,TC ZIRAAT BANKASI ,TASKOPRU-KASTAMONU,183,,,,,,
0010,00155,TC ZIRAAT BANKASI ,DADAY-KASTAMONU,184,,,,,,
0010,00156,TC ZIRAAT BANKASI ,BOYABAT-SINOP,185,,,,,,
0010,00157,TC ZIRAAT BANKASI ,TOSYA-KASTAMONU,186,,,,,,
0010,00158,TC ZIRAAT BANKASI ,CIDE-KASTAMONU,187,,,,,,
0010,00159,TC ZIRAAT BANKASI ,KAYSERI,188,,,,,,
0010,00160,TC ZIRAAT BANKASI ,BUNYAN-KAYSERI,189,,,,,,
0010,00161,TC ZIRAAT BANKASI ,PINARBASI-KAYSERI,190,,,,,,
0010,00162,TC ZIRAAT BANKASI ,DEVELI-KAYSERI,191,,,,,,
0010,00163,TC ZIRAAT BANKASI ,KOCAELI SUBESI,192,,,,,,
0010,00164,TC ZIRAAT BANKASI ,GEBZE-KOCAELI,193,,,,,,
0010,00165,TC ZIRAAT BANKASI ,GEYVE SB.,194,,,,,,
0010,00166,TC ZIRAAT BANKASI ,KANDIRA-KOCAELI,195,,,,,,
0010,00167,TC ZIRAAT BANKASI ,KARAMURSEL-KOCAELI,196,,,,,,
0010,00168,TC ZIRAAT BANKASI ,KONYA,197,,,,,,
0010,00169,TC ZIRAAT BANKASI ,EREGLI-KONYA,198,,,,,,
0010,00170,TC ZIRAAT BANKASI ,AKSEHIR-KONYA,199,,,,,,
0010,00171,TC ZIRAAT BANKASI ,ILGIN-KONYA,200,,,,,,
0010,00172,TC ZIRAAT BANKASI ,BEYSEHIR-KONYA,201,,,,,,
0010,00173,TC ZIRAAT BANKASI ,BOZKIR-KONYA,202,,,,,,
0010,00174,TC ZIRAAT BANKASI ,KADINHANI-KONYA,203,,,,,,
0010,00175,TC ZIRAAT BANKASI ,SEYDISEHIR-KONYA,204,,,,,,
0010,00176,TC ZIRAAT BANKASI ,ERMENEK-KARAMAN,205,,,,,,
0010,00177,TC ZIRAAT BANKASI ,KARAMAN,206,,,,,,
0010,00178,TC ZIRAAT BANKASI ,CIHANBEYLI-KONYA,207,,,,,,
0010,00179,TC ZIRAAT BANKASI ,KUTAHYA,208,,,,,,
0010,00180,TC ZIRAAT BANKASI ,SIMAV-KUTAHYA,209,,,,,,
0010,00181,TC ZIRAAT BANKASI ,TAVSANLI-KUTAHYA,210,,,,,,
0010,00182,TC ZIRAAT BANKASI ,GEDIZ SB.,211,,,,,,
0010,00183,TC ZIRAAT BANKASI ,MALATYA,212,,,,,,
0010,00184,TC ZIRAAT BANKASI ,ADIYAMAN,213,,,,,,
0010,00185,TC ZIRAAT BANKASI ,KEMALIYE-ERZINCAN,214,,,,,,
0010,00186,TC ZIRAAT BANKASI ,ELAZIG,215,,,,,,
0010,00187,TC ZIRAAT BANKASI ,HADIM-KONYA,216,,,,,,
0010,00188,TC ZIRAAT BANKASI ,MANISA SB.,217,,,,,,
0010,00189,TC ZIRAAT BANKASI ,AKHISAR-MANISA,218,,,,,,
0010,00190,TC ZIRAAT BANKASI ,ALASEHIR-MANISA,219,,,,,,
0010,00191,TC ZIRAAT BANKASI ,DEMIRCI-MANISA,220,,,,,,
0010,00192,TC ZIRAAT BANKASI ,SALIHLI-MANISA,221,,,,,,
0010,00193,TC ZIRAAT BANKASI ,SOMA-MANISA,222,,,,,,
0010,00194,TC ZIRAAT BANKASI ,KIRKAGAC-MANISA,223,,,,,,
0010,00195,TC ZIRAAT BANKASI ,TURGUTLU-MANISA,224,,,,,,
0010,00196,TC ZIRAAT BANKASI ,KULA-MANISA,225,,,,,,
0010,00197,TC ZIRAAT BANKASI ,GORDES-MANISA,226,,,,,,
0010,00198,TC ZIRAAT BANKASI ,KAHRAMAN  MARAS,227,,,,,,
0010,00199,TC ZIRAAT BANKASI ,ELBISTAN-K.MARAS,228,,,,,,
0010,00200,TC ZIRAAT BANKASI ,MIDYAT-MARDIN,229,,,,,,
0010,00201,TC ZIRAAT BANKASI ,MUGLA SB.,230,,,,,,
0010,00202,TC ZIRAAT BANKASI ,BODRUM-MUGLA,231,,,,,,
0010,00203,TC ZIRAAT BANKASI ,FETHIYE-MUGLA,232,,,,,,
0010,00204,TC ZIRAAT BANKASI ,MARMARIS-MUGLA,233,,,,,,
0010,00205,TC ZIRAAT BANKASI ,MILAS-MUGLA,234,,,,,,
0010,00206,TC ZIRAAT BANKASI ,KOYCEGIZ-MUGLA,235,,,,,,
0010,00207,TC ZIRAAT BANKASI ,MERSIN SB.,236,,,,,,
0010,00208,TC ZIRAAT BANKASI ,ANAMUR-MERSIN,237,,,,,,
0010,00209,TC ZIRAAT BANKASI ,SILIFKE-MERSIN,238,,,,,,
0010,00210,TC ZIRAAT BANKASI ,GULNAR-MERSIN,239,,,,,,
0010,00211,TC ZIRAAT BANKASI ,MUT-MERSIN,240,,,,,,
0010,00212,TC ZIRAAT BANKASI ,NAZILLI-AYDIN,241,,,,,,
0010,00213,TC ZIRAAT BANKASI ,BOZDOGAN-AYDIN,242,,,,,,
0010,00214,TC ZIRAAT BANKASI ,NIGDE,243,,,,,,
0010,00215,TC ZIRAAT BANKASI ,URGUP-NEVSEHIR,244,,,,,,
0010,00216,TC ZIRAAT BANKASI ,BOR SB.NIGDE,245,,,,,,
0010,00217,TC ZIRAAT BANKASI ,ORDU,246,,,,,,
0010,00218,TC ZIRAAT BANKASI ,FATSA-ORDU,247,,,,,,
0010,00219,TC ZIRAAT BANKASI ,UNYE-ORDU,248,,,,,,
0010,00220,TC ZIRAAT BANKASI ,MESUDIYE-ORDU,249,,,,,,
0010,00221,TC ZIRAAT BANKASI ,ODEMIS-IZMIR,250,,,,,,
0010,00222,TC ZIRAAT BANKASI ,SAMSUN ŞUBESİ,251,,,,,,
0010,00223,TC ZIRAAT BANKASI ,BAFRA-SAMSUN,252,,,,,,
0010,00224,TC ZIRAAT BANKASI ,GERZE-SINOP,253,,,,,,
0010,00225,TC ZIRAAT BANKASI ,CARSAMBA-SAMSUN,254,,,,,,
0010,00226,TC ZIRAAT BANKASI ,SINOP,255,,,,,,
0010,00227,TC ZIRAAT BANKASI ,HAVZA-SAMSUN,256,,,,,,
0010,00228,TC ZIRAAT BANKASI ,VEZIRKOPRU-SAMSUN,257,,,,,,
0010,00229,TC ZIRAAT BANKASI ,AYANCIK-SINOP,258,,,,,,
0010,00230,TC ZIRAAT BANKASI ,SIVAS,259,,,,,,
0010,00231,TC ZIRAAT BANKASI ,SARKISLA-SIVAS,260,,,,,,
0010,00232,TC ZIRAAT BANKASI ,DIVRIGI-SIVAS,261,,,,,,
0010,00233,TC ZIRAAT BANKASI ,SUSEHRI-SIVAS,262,,,,,,
0010,00234,TC ZIRAAT BANKASI ,KANGAL-SIVAS,263,,,,,,
0010,00235,TC ZIRAAT BANKASI ,ZARA-SIVAS,264,,,,,,
0010,00236,TC ZIRAAT BANKASI ,GURUN-SIVAS,265,,,,,,
0010,00237,TC ZIRAAT BANKASI ,YILDIZELI-SIVAS,266,,,,,,
0010,00238,TC ZIRAAT BANKASI ,TARSUS-MERSIN,267,,,,,,
0010,00239,TC ZIRAAT BANKASI ,TOKAT,268,,,,,,
0010,00240,TC ZIRAAT BANKASI ,ERBAA-TOKAT,269,,,,,,
0010,00241,TC ZIRAAT BANKASI ,ZILE-TOKAT,270,,,,,,
0010,00242,TC ZIRAAT BANKASI ,NIKSAR-TOKAT,271,,,,,,
0010,00243,TC ZIRAAT BANKASI ,TRABZON,272,,,,,,
0010,00244,TC ZIRAAT BANKASI ,AKCABAT SB.TRABZON,273,,,,,,
0010,00245,TC ZIRAAT BANKASI ,BAYBURT,274,,,,,,
0010,00246,TC ZIRAAT BANKASI ,GUMUSHANE,275,,,,,,
0010,00247,TC ZIRAAT BANKASI ,OF-TRABZON,276,,,,,,
0010,00248,TC ZIRAAT BANKASI ,RIZE,277,,,,,,
0010,00249,TC ZIRAAT BANKASI ,SURMENE-TRABZON,278,,,,,,
0010,00250,TC ZIRAAT BANKASI ,KELKIT-GUMUSHANE,279,,,,,,
0010,00251,TC ZIRAAT BANKASI ,PAZAR-RIZE,280,,,,,,
0010,00252,TC ZIRAAT BANKASI ,VAKFIKEBIR-TRABZON,281,,,,,,
0010,00253,TC ZIRAAT BANKASI ,SANLIURFA,282,,,,,,
0010,00254,TC ZIRAAT BANKASI ,BIRECIK-URFA,283,,,,,,
0010,00255,TC ZIRAAT BANKASI ,SURUC-URFA,284,,,,,,
0010,00256,TC ZIRAAT BANKASI ,USAK,285,,,,,,
0010,00257,TC ZIRAAT BANKASI ,YOZGAT,286,,,,,,
0010,00258,TC ZIRAAT BANKASI ,AKDAGMADENI-YOZGAT,287,,,,,,
0010,00259,TC ZIRAAT BANKASI ,AVANOS SB.NEVSEHIR,288,,,,,,
0010,00260,TC ZIRAAT BANKASI ,BOGAZLIYAN-YOZGAT,289,,,,,,
0010,00261,TC ZIRAAT BANKASI ,KIRSEHIR,290,,,,,,
0010,00262,TC ZIRAAT BANKASI ,SEYITGAZI SB.ESKISEHIR,291,,,,,,
0010,00263,TC ZIRAAT BANKASI ,ALACAM-SAMSUN,292,,,,,,
0010,00265,TC ZIRAAT BANKASI ,CUMRA SB.KONYA,293,,,,,,
0010,00266,TC ZIRAAT BANKASI ,SIVEREK-URFA,294,,,,,,
0010,00267,TC ZIRAAT BANKASI ,HAFIK-SIVAS,295,,,,,,
0010,00268,TC ZIRAAT BANKASI ,ISPIR-ERZURUM,296,,,,,,
0010,00269,TC ZIRAAT BANKASI ,IZNIK-BURSA,297,,,,,,
0010,00270,TC ZIRAAT BANKASI ,MACKA-TRABZON,298,,,,,,
0010,00271,TC ZIRAAT BANKASI ,AHLAT-BITLIS,299,,,,,,
0010,00272,TC ZIRAAT BANKASI ,TASOVA-AMASYA,300,,,,,,
0010,00273,TC ZIRAAT BANKASI ,KAMAN-KIRSEHIR,301,,,,,,
0010,00274,TC ZIRAAT BANKASI ,BESNI-ADIYAMAN,302,,,,,,
0010,00275,TC ZIRAAT BANKASI ,REFAHIYE-ERZINCAN,303,,,,,,
0010,00276,TC ZIRAAT BANKASI ,LADIK-SAMSUN,304,,,,,,
0010,00277,TC ZIRAAT BANKASI ,DEVREKANI-KASTAMONU,305,,,,,,
0010,00278,TC ZIRAAT BANKASI ,CERMIK-DIYARBAKIR,306,,,,,,
0010,00279,TC ZIRAAT BANKASI ,KIGI-BINGOL,307,,,,,,
0010,00280,TC ZIRAAT BANKASI ,ISLAHIYE-GAZIANTEP,308,,,,,,
0010,00281,TC ZIRAAT BANKASI ,KURSUNLU-CANKIRI,309,,,,,,
0010,00282,TC ZIRAAT BANKASI ,EMET-KUTAHYA,310,,,,,,
0010,00283,TC ZIRAAT BANKASI ,KAS-ANTALYA,311,,,,,,
0010,00284,TC ZIRAAT BANKASI ,PAZARCIK-K.MARAS,312,,,,,,
0010,00285,TC ZIRAAT BANKASI ,VIRANSEHIR-URFA,313,,,,,,
0010,00286,TC ZIRAAT BANKASI ,TORUL-GUMUSHANE,314,,,,,,
0010,00287,TC ZIRAAT BANKASI ,KARACASU-AYDIN,315,,,,,,
0010,00288,TC ZIRAAT BANKASI ,CIZRE-SIRNAK,316,,,,,,
0010,00289,TC ZIRAAT BANKASI ,HACIBEKTAS-NEVSEHIR,317,,,,,,
0010,00290,TC ZIRAAT BANKASI ,MUCUR-KIRSEHIR,318,,,,,,
0010,00291,TC ZIRAAT BANKASI ,ULUS BARTIN,319,,,,,,
0010,00292,TC ZIRAAT BANKASI ,BESIRI-BATMAN,320,,,,,,
0010,00293,TC ZIRAAT BANKASI ,ERCIS-VAN,321,,,,,,
0010,00294,TC ZIRAAT BANKASI ,ARPACAY-KARS,322,,,,,,
0010,00295,TC ZIRAAT BANKASI ,HEKIMHAN-MALATYA,323,,,,,,
0010,00296,TC ZIRAAT BANKASI ,TURHAL-TOKAT,324,,,,,,
0010,00297,TC ZIRAAT BANKASI ,KARASU-ADAPAZARI,325,,,,,,
0010,00298,TC ZIRAAT BANKASI ,TUNCELI,326,,,,,,
0010,00299,TC ZIRAAT BANKASI ,HAKKARI,327,,,,,,
0010,00301,TC ZIRAAT BANKASI ,AKYAZI-ADAPAZARI,328,,,,,,
