Modul,MOption,CheckValue,Tanim,Typex,Valuex,EditTypeX,PWinCaption,PTable,PRField,PRFields,PRFieldsValues,Katalog,PassChar,kgid,insUN,insDT,insApp,updUN,updDT,updApp
BankaFis,GarantiUser,,Garanti Bankasının Size Vermiş Olduğu Kullanıcı Kodunu Giriniz,Edit,,txt,,,,,,,,494,,,,,,
BankaFis,GelGidNeed,Hayir,Banka Gelir/Gider işlemlerinde satırda gelir/gider kodu seçilmesi zorunlu olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,496,,,,,,
BankaFis,HarOzKod1,Özel Kod 1,Banka Fişi Özel Kod 1 in adı,Edit,,txt,,,,,,,,521,,,,,,
BankaFis,HarOzKod2,Özel Kod 2,Banka Fişi Özel Kod 2 nin adı,Edit,,txt,,,,,,,,526,,,,,,
BankaFis,HarOzKod3,Özel Kod 3,Banka Fişi Özel Kod 3 ün adı,Edit,,txt,,,,,,,,531,,,,,,
BankaFis,HarOzKod4,Özel Kod 4,Banka Fişi Özel Kod 4 ün adı,Edit,,txt,,,,,,,,535,,,,,,
BankaFis,HarOzKod5,Özel Kod 5,Banka Fişi Özel Kod 5 in adı,Edit,,txt,,,,,,,,539,,,,,,
BankaFis,HesTipCont,Evet,Banka işlemlerinde hesap kodu çağırılırken Hesap Tip-İşlem Kontrolü olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,556,,,,,,
BankaFis,HizliMuhButton,Evet,Hızlı banka işlemlerinde -Muhasebeleştir- butonu gözüksün mü?,ComboBox,Evet&Hayir,,,,,,,,,559,,,,,,
BankaFis,MuhMasraf,Hayir,Banka işlemleri muhasebeleştirilirken masraf tutarları banka muhasebe kodundan düşürülsün mü?,ComboBox,Evet&Hayir,,,,,,,,,831,,,,,,
BankaFis,NoMuhKodSave,Hayir,Fiş kaydı sırasında muhasebe kodu kontrolü sağlansın mı?,ComboBox,Evet&Hayir,,,,,,,,,868,,,,,,
BankaFis,NoOzKod1,Hayir,Banka işleminin Özel Kod 1 in girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,879,,,,,,
BankaFis,NoOzKod2,Hayir,Banka işleminin Özel Kod 2 in girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,885,,,,,,
BankaFis,NoOzKod3,Hayir,Banka işleminin Özel Kod 3 ün girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,891,,,,,,
BankaFis,NoOzKod4,Hayir,Banka işleminin Özel Kod 4 ün girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,897,,,,,,
BankaFis,NoOzKod5,Hayir,Banka işleminin Özel Kod 5 in girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,903,,,,,,
BankaFis,SaveMuh,Hayir,Banka işlemlerinde kaydetme işleminden sonra muhasebeleşme otomatik başlasın mı?,ComboBox,Evet&Hayir,,,,,,,,,1175,,,,,,
Cari,Adres2Degistir,Hayir,Cari karttaki Adres Tanımı değiştirilebilsin mi ?,ComboBox,Evet&Hayir,,,,,,,,,23,,,,,,
Cari,AdrOzKod1,Özel Kod 1,Cari Ek Adres Özel Kod 1 in adı,Edit,,txt,,,,,,,,25,,,,,,
Cari,AdrOzKod10,Özel Kod 10,Cari Ek Adres Özel Kod 10 in adı,Edit,,txt,,,,,,,,26,,,,,,
Cari,AdrOzKod2,Özel Kod 2,Cari Ek Adres Özel Kod 2 nin adı,Edit,,txt,,,,,,,,27,,,,,,
Cari,AdrOzKod3,Özel Kod 3,Cari Ek Adres Özel Kod 3 ün adı,Edit,,txt,,,,,,,,28,,,,,,
Cari,AdrOzKod4,Özel Kod 4,Cari Ek Adres Özel Kod 4 ün adı,Edit,,txt,,,,,,,,29,,,,,,
Cari,AdrOzKod5,Özel Kod 5,Cari Ek Adres Özel Kod 5 in adı,Edit,,txt,,,,,,,,30,,,,,,
Cari,AdrOzKod6,Özel Kod 6,Cari Ek Adres Özel Kod 6 in adı,Edit,,txt,,,,,,,,31,,,,,,
Cari,AdrOzKod7,Özel Kod 7,Cari Ek Adres Özel Kod 7 in adı,Edit,,txt,,,,,,,,32,,,,,,
Cari,AdrOzKod8,Özel Kod 8,Cari Ek Adres Özel Kod 8 in adı,Edit,,txt,,,,,,,,33,,,,,,
Cari,AdrOzKod9,Özel Kod 9,Cari Ek Adres Özel Kod 9 in adı,Edit,,txt,,,,,,,,34,,,,,,
Cari,AsortiToplam,Hayir,Stoklu Cari ekstrede asorti toplamları görünsün mü ?,ComboBox,Evet&Hayir,,,,,,,,,56,,,,,,
Cari,CAcKurSetif,Hayir,Cari kartlarda aktif kur seçilmeye zorlansın mı?,ComboBox,Evet&Hayir,,,,,,,,,162,,,,,,
Cari,CAcKurUse,Evet,Cari kartlarda aktif kur kullanılsın mı?,ComboBox,Evet&Hayir,,,,,,,,,163,,,,,,
Cari,Cari_BAKurTar,Aktif İşlem,Borç alacak kapama işleminde dikkate alınacak kur hangi işlemin?,ComboBox,Aktif İşlem&Kapatan İşlem&Günün Kuru,,,,,,,,,170,,,,,,
Cari,CariKartPasifAktif,Hayir,Pasif durumdaki cariler listede görüntülensin mi?,ComboBox,Evet&Hayir,,,,,,,,,176,,,,,,
Cari,CariListBakiyeVi,Hayir,"Cari liste ekranlarında ""Bakiye"" alanı görünsün mü?",ComboBox,Evet&Hayir,,,,,,,,,177,,,,,,
Cari,CEkstreBasTar,01/09/2023,Cari ekstre başlangıç tarihi(gg/aa/yyyy formatında giriniz),Edit,,txt,,,,,,,,193,,,,,,
Cari,CEkstreBasTarGun ,Hayir,Cari ekstre başlangıç tarihi o günün tarihine göre çalışsın mı?,ComboBox,Evet&Hayir,,,,,,,,,194,,,,,,
Cari,CekTahGoster,Hayir,"Cari Kart ve Cari Yönetimde ""Sadece tahsil edilen Çekleri göster"" çeki görünsün mü? ?",ComboBox,Evet&Hayir,,,,,,,,,195,,,,,,
Cari,DefUlke,Türkiye,Cari kart için geçerli Yurtiçi Ülke ?,Edit,,txt,,,,,,,,261,,,,,,
Cari,EksLokVis,Evet,Cari ekstrede tüm lokasyonlar seçili iken lokasyon bilgisi görünsün mü?,ComboBox,Evet&Hayir,,,,,,,,,434,,,,,,
Cari,HEkstrGrup,Hayir,Cari ekstrede farklı döviz cinsleri gruplansın mı ?,ComboBox,Evet&Hayir,,,,,,,,,552,,,,,,
Cari,HesDetAlternativeScreen,Hayir,Cari Kart içindeki Hesap Detayları ekranında alternatif gösterim kullanılsın mı ?,ComboBox,Evet&Hayir,,,,,,,,,555,,,,,,
Cari,NoFiyAlert,Hayir,Cari kartlar kaydedilirken muhasebe kodu boş ise uyarı versin mi?,ComboBox,Evet&Hayir,,,,,,,,,860,,,,,,
Cari,NotSameVKN,Hayir,Aynı vergi numaralı cari kart açılması engellensin mi?,ComboBox,Evet&Hayir,,,,,,,,,918,,,,,,
Cari,OpenCrmCard,Hayir,Yeni bir cari Kart açıldığında cari kart bağlantılı crm kartı da açılsın mı ?,ComboBox,Evet&Hayir,,,,,,,,,936,,,,,,
Cari,OzKod1,Özel Kod 1,Cari Özel Kod 1 in adı,Edit,,txt,,,,,,,,955,,,,,,
Cari,OzKod10,Özel Kod 10,Cari Özel Kod 10 in adı,Edit,,txt,,,,,,,,963,,,,,,
Cari,OzKod2,Özel Kod 2,Cari Özel Kod 2 nin adı,Edit,,txt,,,,,,,,989,,,,,,
Cari,OzKod3,Özel Kod 3,Cari Özel Kod 3 ün adı,Edit,,txt,,,,,,,,1009,,,,,,
Cari,OzKod4,Özel Kod 4,Cari Özel Kod 4 ün adı,Edit,,txt,,,,,,,,1028,,,,,,
Cari,OzKod5,Özel Kod 5,Cari Özel Kod 5 in adı,Edit,,txt,,,,,,,,1047,,,,,,
Cari,OzKod6,Özel Kod 6,Cari Özel Kod 6 in adı,Edit,,txt,,,,,,,,1057,,,,,,
Cari,OzKod7,Özel Kod 7,Cari Özel Kod 7 in adı,Edit,,txt,,,,,,,,1064,,,,,,
Cari,OzKod8,Özel Kod 8,Cari Özel Kod 8 in adı,Edit,,txt,,,,,,,,1071,,,,,,
Cari,OzKod9,Özel Kod 9,Cari Özel Kod 9 in adı,Edit,,txt,,,,,,,,1078,,,,,,
Cari,ProjeDetayValid,Hayir,Cari kartta proje detayı verisi girmek zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,1112,,,,,,
Cari,SenetTahGoster,Hayir,"Cari Kart ve Cari Yönetimde ""Sadece tahsil edilen Senetleri göster"" çeki görünsün mü? ?",ComboBox,Evet&Hayir,,,,,,,,,1191,,,,,,
Cari,StkEkstreSipNoVisible,Hayir,Stoklu Cari Ekstre de bağlı sipariş numarası var ise  gruplama da dikkate alınsın mı ?,ComboBox,Evet&Hayir,,,,,,,,,1271,,,,,,
Cari,TurmobPass,6210,Turmob için Parolanız,Edit,,txt,,,,,,,,1333,,,,,,
Cari,TurmobUserName,cc_6210533310,Turmob için Kullanıcı Adınız,Edit,,txt,,,,,,,,1334,,,,,,
Cari_Gizli,ZorunluMaster,*,,Edit,,txt,,,,,,,,1464,,,,,,
CariFis,AutoBelLoc,Evet,Cari fişlerinde belge numarası artımı lokasyon bazında olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,62,,,,,,
CariFis,AutoFatNo,Evet,Cari fişlerinde belge numarası otomatik artsın mı?,ComboBox,Evet&Hayir,,,,,,,,,68,,,,,,
CariFis,AutoTip,EnBuyukNo,Cari fişlerinde belge numarası arttırılırken hangi kayıt üzerinden işlem yapılsın?,ComboBox,EnBuyukNo&SonNo,,,,,,,,,78,,,,,,
CariFis,BAClosedV,Hayir,Cari işlemlerde borç alacak kapatma tuşu görünsün mü?,ComboBox,Evet&Hayir,,,,,,,,,89,,,,,,
CariFis,BAClosedVAS,Hayir,Cari işlemlerde kaydetme işleminden sonra borç alacak kapatma ekranı otomatik çıksın mı?,ComboBox,Evet&Hayir,,,,,,,,,95,,,,,,
CariFis,CaAcKuSetif,Hayir,Cari işlemlerde cari kartın aktif kuru kontrol edilsin ve uyarılsın mı?,ComboBox,Evet&Hayir,,,,,,,,,157,,,,,,
CariFis,CaCariCheckit,Evet,Cari işlemler fiş satırlarında cari girilme zorunluluğu olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,158,,,,,,
CariFis,CaKurCheckit,Hayir,Cari işlemlerde girilen kurlar gösterilsin ve onaylatılsın mı?,ComboBox,Evet&Hayir,,,,,,,,,165,,,,,,
CariFis,CariSilPsw,,Cari fişin silinmesi için gerekli olan şifre?,Edit,,txt,,,,,,,*,183,,,,,,
CariFis,CheckFTut,Hayir,Cari işlemlerde kaydetme işleminden önce fiş tutarı girilmek zorunda mı?,ComboBox,Evet&Hayir,,,,,,,,,201,,,,,,
CariFis,DekVadeOto,Hayir,Cari dekont işlemlerinde cari karta ait vade satıra otomatik yansısın mı?,ComboBox,Evet&Hayir,,,,,,,,,263,,,,,,
CariFis,ESMM_Entegrator,Yok,E-SMM için hangi özel entegratör ile anlaşmalısınız?,ComboBox,Yok&FIT,,,,,,,,,442,,,,,,
CariFis,ESMMPdfGidenDir,C:\Korgun\ESMMPdGidenDir\,Gönderilen E-SMM pdf dosyalarının saklanacağı dizin,Edit,,txt,,,,,,,,444,,,,,,
CariFis,ESMMtempDir,C:\Users\Win7\AppData\Local\TempeSMM\temp\,E-SMM için geçici dizin,Edit,,txt,,,,,,,,445,,,,,,
CariFis,ESMMUse,Hayir,E-SMM Kullanımı aktif mi?,ComboBox,Evet&Hayir,,,,,,,,,446,,,,,,
CariFis,FrkPCKaydetme,Evet,Cari fişlerinde carinin paracinsinden farklı paracinsinde hareket girebilsin mi?,ComboBox,Evet&Hayir,,,,,,,,,487,,,,,,
CariFis,HarOzKod1,Özel Kod 1,Cari Fişi Özel Kod 1 in adı,Edit,,txt,,,,,,,,522,,,,,,
CariFis,HarOzKod2,Özel Kod 2,Cari Fişi Özel Kod 2 nin adı,Edit,,txt,,,,,,,,527,,,,,,
CariFis,HarOzKod3,Özel Kod 3,Cari Fişi Özel Kod 3 ün adı,Edit,,txt,,,,,,,,532,,,,,,
CariFis,HarOzKod4,Özel Kod 4,Cari Fişi Özel Kod 4 ün adı,Edit,,txt,,,,,,,,536,,,,,,
CariFis,HarOzKod5,Özel Kod 5,Cari Fişi Özel Kod 5 in adı,Edit,,txt,,,,,,,,540,,,,,,
CariFis,KurFFisTip  ,Fatura,Cari bazlı toplu kur farkı işlemlerinde oluşturulacak fiş tipi ne olsun? ,ComboBox,Fatura&Cari Kur Farkı İşlemi,,,,,,,,,664,,,,,,
CariFis,NoMuhKodSave,Hayir,Fiş kaydı sırasında muhasebe kodu kontrolü sağlansın mı?,ComboBox,Evet&Hayir,,,,,,,,,869,,,,,,
CariFis,NoOzKod1,Hayir,Cari fişin Özel Kod 1 in girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,880,,,,,,
CariFis,NoOzKod2,Hayir,Cari fişin Özel Kod 2 in girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,886,,,,,,
CariFis,NoOzKod3,Hayir,Cari fişin Özel Kod 3 ün girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,892,,,,,,
CariFis,NoOzKod4,Hayir,Cari fişin Özel Kod 4 ün girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,898,,,,,,
CariFis,NoOzKod5,Hayir,Cari fişin Özel Kod 5 in girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,904,,,,,,
CariFis,SaveMuh,Hayir,Cari işlemlerde kaydetme işleminden sonra muhasebeleşme otomatik başlasın mı?,ComboBox,Evet&Hayir,,,,,,,,,1176,,,,,,
CariFis,SVMakbuzOnek,KRG,Verilen Serbest Meslek Makbuz numaraları için 3 harfli ön ek : ,Edit,,txt,,,,,,,,1299,,,,,,
CariFis,TopluKurFFFB,Hayir,Toplu Kur Farkı Fişi oluşturma işleminde fiş birleştirme sorusu sorulsun mu?(E-Defter kullanımında),ComboBox,Evet&Hayir,,,,,,,,,1327,,,,,,
CariFis,VadeSor,Hayir,Cari fişlerinde Vade tarihi (Borc-Alacak dekontunda) girmesi zorunlu olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,1415,,,,,,
CSFis,BAClosedV,Hayir,Çek Senet bordrolarında borç alacak kapatma tuşu görünsün mü?,ComboBox,Evet&Hayir,,,,,,,,,90,,,,,,
CSFis,BAClosedVAS,Hayir,Çek Senet bordrolarında kaydetme işleminden sonra borç alacak kapatma ekranı otomatik çıksın mı?,ComboBox,Evet&Hayir,,,,,,,,,96,,,,,,
CSFis,BAStayla,SatirSatir,Borç alacak kapama ekranı nasıl açılsın?,ComboBox,SatirSatir&Tümü,,,,,,,,,106,,,,,,
CSFis,CariBakiyeVisible,Gorunmesin,Çek Girişi ekranlarında Cari Bakiye otomatik olarak görünsün mü?,ComboBox,Gorunmesin&Tum Lokasyonlar&Bulunulan Lokasyon&,,,,,,,,,171,,,,,,
CSFis,CariOzKodVisible,Hayir,Cari seçim listesinde özel kodlar görüntülensin mi?,ComboBox,Evet&Hayir,,,,,,,,,179,,,,,,
CsFis,CekOzKod1,Özel Kod 1,Çek özel kod 1 tanımı ?,Edit,OzelKod1,txt,,,,,,,,188,,,,,,
CsFis,CekOzKod2,Özel Kod 2,Çek özel kod 2 tanımı ?,Edit,OzelKod2,txt,,,,,,,,189,,,,,,
CSFis,CekOzKod3,Özel Kod 3,Çek özel kod 3 tanımı ?,Edit,OzelKod3,txt,,,,,,,,190,,,,,,
CSFis,CekOzKod4,Özel Kod 4,Çek özel kod 4 tanımı ?,Edit,OzelKod4,txt,,,,,,,,191,,,,,,
CSFis,CekOzKod5,Özel Kod 5,Çek özel kod 5 tanımı ?,Edit,OzelKod5,txt,,,,,,,,192,,,,,,
CSFis,CsOzelKod,Hayir,Çek-Senet Girişlerindeki Özel Kodlar Çek-Senet işlemlerine de yansısın ,ComboBox,Evet&Hayir,,,,,,,,,219,,,,,,
CSFis,CsSatirDov,Hayir,Firma Çek çıkış bordrolarında satırda döviz kodu seçilebilsin mi?,ComboBox,Evet&Hayir,,,,,,,,,220,,,,,,
CSFis,CsSilPsw,,Çek-senet hareketinin silinmesi için gerekli olan şifre?,Edit,,txt,,,,,,,*,221,,,,,,
CSFis,DevirRisk,OzelKod1,Risk raporlarında devir ve çek kartlarının cari bağlantıları hangi kod üzerinden olsun?,ComboBox,OzelKod1&OzelKod2,,,,,,,,,286,,,,,,
CSFis,EkleDurumKol,Evet,Çek Senet hareket bordrolarında Ekle(F7) ye basınca gelen ekranda durum kolonu gözüksün mü?,ComboBox,Evet&Hayir,,,,,,,,,426,,,,,,
CSFis,FirmaHesapSec,Hayir,Firma Çek Senet bordroları bankadan ödeme yapılırken banka hesabı seçilsin mi?,ComboBox,Evet&Hayir,,,,,,,,,470,,,,,,
CSFis,HarListTut,Evet,Çek Senet işlem bordroları listelenirken bordro tutarıda getirilsin mi?,ComboBox,Evet&Hayir,,,,,,,,,520,,,,,,
CSFis,KaraListeCont,Hayir,Kara liste kontrolü olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,617,,,,,,
CSFis,kiciCari,Evet,Cari hesaba ve cari ye karşılıksız iade işleminde çekin girildiği kişiye iade zorunluluğu olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,649,,,,dbo,2024-11-13 11:26:46.303000,Update
CsFis,ManuelIslem,Hayir,Çek-Senet İşlemleri ekranlarında PortföyNo yazarak çek eklenebilsin mi ?,ComboBox,Evet&Hayir,,,,,,,,,702,,,,,,
CSFis,MyCekCont,Hayir,"Müşteri çek ve senetlerinde kayıt tipi ""kendi"" seçilirse borçlu bilgisi girilebilsin mi?",ComboBox,Evet&Hayir,,,,,,,,,843,,,,,,
CSFis,NoMuhKodSave,Hayir,Fiş kaydı sırasında muhasebe kodu kontrolü sağlansın mı?,ComboBox,Evet&Hayir,,,,,,,,,870,,,,,,
CSFis,NoOzKod1,Hayir,Çek-senet hareketinin Özel Kod 1 in girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,881,,,,,,
CSFis,NoOzKod2,Hayir,Çek-senet hareketinin Özel Kod 2 in girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,887,,,,,,
CSFis,NoOzKod3,Hayir,Çek-senet hareketinin Özel Kod 3 ün girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,893,,,,,,
CSFis,NoOzKod4,Hayir,Çek-senet hareketinin Özel Kod 4 ün girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,899,,,,,,
CSFis,NoOzKod5,Hayir,Çek-senet hareketinin Özel Kod 5 in girilmesi zorunlu olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,905,,,,,,
CSFis,OrtVadeTutar,Hayir,Çek-Senet İşlemleri ekranlarında çek-senet seçilirken ortalama vade ve tutarı hesaplasın mı ?,ComboBox,Evet&Hayir,,,,,,,,,938,,,,,,
CSFis,SameCekNo,Hayir,Aynı çek numarası tekrar kullanılabilsin mi?,ComboBox,Evet&Hayir,,,,,,,,,1156,,,,,,
CSFis,SaveMuh,Hayir,Çek Senet bordrolarında kaydetme işleminden sonra muhasebeleşme otomatik başlasın mı?,ComboBox,Evet&Hayir,,,,,,,,,1177,,,,,,
CSFis,VadeKont,Hayir,Çek Senet bordrosu girilirken vade tarihi-bordro tarihi kontrolü olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,1414,,,,,,
CSFis,XMLGetSend,Hayir,"Çek-Senet ekranlarında ""XML Al-Gönder"" butonları görünsün mü ?",ComboBox,Evet&Hayir,,,,,,,,,1433,,,,,,
CSFis,YazSortYaz,Hayir,Çek yazdırılırken sıralama ekranını çıksın mı?,ComboBox,Evet&Hayir,,,,,,,,,1439,,,,,,
Demirbas,AmortAltLimit,1000,Amortisman Alt Limit,Edit,,txt,,,,,,,,42,,,,,,
Demirbas,AmortSekli,Evet,Amortisman  Ayrılması Aylık Olsun mu ?,ComboBox,Evet&Hayir,,,,,,,,,43,,,,,,
Demirbas,BasYil,,Başlangıç Yılı,Edit,,txt,,,,,,,,107,,,,,,
Demirbas,CalisDonem,,Çalışılan Dönem (1-4),Edit,,txt,,,,,,,,166,,,,,,
Demirbas,CalisYil,,Çalışma Yılı,Edit,,txt,,,,,,,,168,,,,,,
Demirbas,HesapDonBas,,Hesap Dönemi Başlangıcı (1-12),Edit,,txt,,,,,,,,554,,,,,,
Demirbas,IzDeger,Evet,İz Değer Kullanılsın mı ?,ComboBox,Evet&Hayir,,,,,,,,,582,,,,,,
Demirbas,IzDegerTutar,,İz Değer Tutarı,Edit,,txt,,,,,,,,583,,,,,,
Demirbas,KDVMahsupSure ,,KDV Mahsup Süresi (1-3),Edit,,txt,,,,,,,,636,,,,,,
Demirbas,KZHesDonem,Evet,Kar Zarar Hesaplama Dönemi ?,ComboBox,Normal&Deger_Artisli,,,,,,,,,667,,,,,,
Demirbas,Muhasebelestir,Evet,Her amortisman ayrılma işleminden sonra otomatik muhasebeştirilsin mi ?,ComboBox,Evet&Hayir,,,,,,,,,826,,,,,,
Demirbas,MuhLocKont,Hayir,Demirbaş kartlarının muhasebe kod bağlantıları lokasyon bazlı olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,829,,,,,,
Demirbas,SurekliAmortAyir,Evet,Sürekli olarak Amortisman Ayrılsın mı ?,ComboBox,Evet&Hayir,,,,,,,,,1298,,,,,,
FatFis,AddOpField,,Fatura ekranında görmek istediğiniz ilave stok alanı,Edit,,txt,,,,,,,,11,,,,,,
FatFis,AddOpFieldC,,Fatura ekranında görmek istediğiniz ilave stok alanının tanımı,Edit,,txt,,,,,,,,13,,,,,,
FatFis,AddOpFieldS,,Fatura ekranında görmek istediğiniz ilave stok alanının özel 1 durumu,Edit,,txt,,,,,,,,15,,,,,,
FatFis,AddOpFieldS1,,Fatura ekranında görmek istediğiniz ilave stok alanının özel 2 durumu,Edit,,txt,,,,,,,,17,,,,,,
FatFis,AddOpFieldS2,,Fatura ekranında görmek istediğiniz ilave stok alanının özel 3 durumu,Edit,,txt,,,,,,,,19,,,,,,
FatFis,AllLocation,Hayir,Fatura/İrsaliye ekranındaki fiş listesinde tüm lokasyonlardaki faturalar/irsaliyeler görünsün mü?,ComboBox,Evet&Hayir,,,,,,,,,39,,,,,,
FatFis,ArasReceiverName,Cari Adı,"Aras Kargo entegrasynunda ""ReceiverName"" alanı için değer nereden alınsın?",ComboBox,Cari Adı&EkAdres2,,,,,,,,,47,,,,,,
FatFis,AutoBelLoc,Evet,İrsaliye ve fatura numarası artımı lokasyon bazında olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,63,,,,,,
FatFis,AutoFatNo,Evet,Fatura numarası otomatik artsın mı?,ComboBox,Evet&Hayir,,,,,,,,,69,,,,,,
FatFis,AutoirsNo,Evet,İrsaliye numarası otomatik artsın mı?,ComboBox,Evet&Hayir,,,,,,,,,72,,,,,,
FatFis,AutoSevket,Hayir,"Dahili irsaliyelerin kaydetme işleminde ""Sevket"" işlemi otomatik çalışsın mı?",ComboBox,Evet&Hayir,,,,,,,,,73,,,,,,
FatFis,AutoSipSevk,Hayir,"Dahili irsaliyelerin kaydetme işleminde ""Siparişe Döndür"" işlemi otomatik çalışsın mı?",ComboBox,Evet&Hayir,,,,,,,,,75,,,,,,
FatFis,AutoTip,EnBuyukNo,İrsaliye ve fatura numarası arttırılırken hangi kayıt üzerinden işlem yapılsın?,ComboBox,EnBuyukNo&SonNo,,,,,,,,,79,,,,,,
FatFis,BaBsCheck,Hayir,Fatura ekranında 'BABS de görünmesin' kutucuğu işaretli olarak gelsin mi? (Alış/Alış Hizmet Fatura),ComboBox,Evet&Hayir,,,,,,,,,85,,,,,,
FatFis,BABSKonsinye,Hayir,BA/BS formlarına konsinye dahil olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,86,,,,,,
FatFis,BABSOzKod,Hayir,BABS için işlem özel kod kriteri sorulsun mu?,ComboBox,Evet&Hayir,,,,,,,,,87,,,,,,
FatFis,BAClosedV,Hayir,Faturalarda borç alacak kapatma tuşu görünsün mü?,ComboBox,Evet&Hayir,,,,,,,,,91,,,,,,
FatFis,BAClosedVAS,Hayir,Faturalarda kaydetme işleminden sonra borç alacak kapatma ekranı otomatik çıksın mı?,ComboBox,Evet&Hayir,,,,,,,,,97,,,,,,
FatFis,BCNewSatir,Hayir,Fişte okutulan her barkod yeni satıra yazılsın mı?,ComboBox,Evet&Hayir,,,,,,,,,128,,,,,,
FatFis,BCSetLot,Hayir,Fişin içinde okutulan barkod lot no ya yazılsın mı?,ComboBox,Evet&Hayir,,,,,,,,,134,,,,,,
FatFis,BDSYazdir,Hayir,Yazdırma şekli ve Dizayn seçiminde bir daha sorma seçeneği cari bazlı olsun mu?,ComboBox,Evet&Hayir,,,,,,,,,137,,,,,,
FatFis,BirimManChg,Evet,Stok birimi elle yazılabilsin mi?,ComboBox,Evet&Hayir,,,,,,,,,148,,,,,,
FatFis,BirimManChgCont,Evet,Yazılan stok birimi tanımlı stok birimlerinde yoksa kaydetmeye izin vermesin,ComboBox,Evet&Hayir,,,,,,,,,149,,,,,,
FatFis,btCopyVi,Evet,"Fatura ve irsaliyede ""Kopyala"" tuşu görünsün mü?",ComboBox,Evet&Hayir,,,,,,,,,152,,,,,,
