Koli_KOD,Tanim,Beden_KOD,Tanim2,kgid,insUN,insDT,insApp,updUN,updDT,updApp
A294,---------,ZN01,------------,277,,,,,,
A295,-----------,ZN01,--------,278,,,,,,
A296,--,ZN01,-------,279,,,,,,
A297,------------,ZN01,------------,280,,,,,,
A298,-----,ZN01,-----------,281,,,,,,
A299,---------,ZN01,-----------,282,,,,,,
A300,-------,ZN01,-----------,283,,,,,,
A301,---------,ZN01,--------------,284,,,,,,
A302,---------,ZN01,-----------,285,,,,,,
A303,----,ZN01,------,286,,,,,,
A304,------------,ZN01,----------,287,,,,,,
A305,--------,ZN01,-----------,288,,,,,,
A306,---------,ZN01,------------,289,,,,,,
A307,-**,ZN01,***,290,,,,,,
A308,-------------,ZN01,----------,291,,,,,,
A309,----------,ZN01,------,292,,,,,,
A310,--------------,ZN01,--------------,293,,,,,,
A311,------------,ZN01,--------------,294,,,,,,
A312,-------------,ZN01,-------------,295,,,,,,
A313,-----------,ZN01,-----------,296,,,,,,
A314,---------------,ZN01,---------------,297,,,,,,
A315,-----------,ZN01,--------------,298,,,,,,
A316,-------------,ZN01,------,299,,,,,,
A317,--------,ZN01,---------,300,,,,,,
A318,------,ZN01,----------,301,,,,,,
A319,-----------,ZN01,----------,302,,,,,,
A320,------,ZN01,------------,303,,,,,,
A321,------------,ZN01,------------,304,,,,,,
A322,---------,ZN01,---------------,305,,,,,,
A323,---------,ZN01,--------,306,,,,,,
A324,---------,ZN01,-------,307,,,,,,
A325,----------,ZN01,-------------,308,,,,,,
A326,-----,ZN01,---------,309,,,,,,
A327,----------,ZN01,------------,310,,,,,,
A328,--------------,ZN01,------------,311,,,,,,
A329,-------,ZN01,----------,312,,,,,,
A330,----,ZN01,--------,313,,,,,,
A331,--------,ZN01,--------,314,,,,,,
A332,--------,ZN01,----------,315,,,,,,
A333,-----------,ZN01,-----------,316,,,,,,
A334,------,ZN01,--------,317,,,,,,
A335,--------,ZN01,-------------,318,,,,,,
A336,-----------,ZN01,----------,319,,,,,,
A337,-----------,ZN01,---------------,320,,,,,,
A338,-------,ZN01,------------,321,,,,,,
A339,-----------,ZN01,----------,322,,,,,,
A340,---------,ZN01,------------,323,,,,,,
A341,--------,ZN01,----------------,324,,,,,,
A342,--------,ZN01,--------------,325,,,,,,
A343,---------,ZN01,------------,326,,,,,,
A344,-----,ZN01,------------,327,,,,,,
A345,------,ZN01,----------,328,,,,,,
A346,---------,ZN01,----------,329,,,,,,
A347,------------,ZN01,----------,330,,,,,,
A348,----------,ZN01,---------------,331,,,,,,
A349,-----------,ZN01,------------,332,,,,,,
A350,--------,ZN01,-------------,333,,,,,,
A351,---------,ZN01,--------------,334,,,,,,
A352,------,ZN01,-------------,335,,,,,,
A353,---------,ZN01,----------,336,,,,,,
A354,--------,ZN01,------------,337,,,,,,
A355,-----------,ZN01,--------------,338,,,,,,
A356,-------,ZN01,-------,339,,,,,,
A357,-----------,ZN01,-----------,340,,,,,,
A358,--------,ZN01,--------,341,,,,,,
A359,-------,ZN01,----------,342,,,,,,
A360,--------,ZN01,-----------,343,,,,,,
A361,---------,ZN01,-------,344,,,,,,
A362,-----------,ZN01,-----------,345,,,,,,
A363,-----,ZN01,---------,346,,,,,,
A364,---------,ZN01,------------,347,,,,,,
A365,---------,ZN01,--------,348,,,,,,
A366,-------------,ZN01,----------,349,,,,,,
A367,---------,ZN01,-----------,350,,,,,,
A368,--------,ZN01,--------------,351,,,,,,
A369,------,ZN01,-----------,352,,,,,,
A370,------------------,ZN01,---------------,353,,,,,,
A371,--------------,ZN01,--------------,354,,,,,,
A372,----------,ZN01,-------------,355,,,,,,
A373,------------,ZN01,---------------,356,,,,,,
A374,---------,ZN01,-----------,357,,,,,,
A375,------,ZN01,----------,358,,,,,,
A376,--------,ZN01,---------------,359,,,,,,
A377,----------,ZN01,----------------,360,,,,,,
A378,-------,ZN01,-------------,361,,,,,,
A379,---------,ZN01,-----------,362,,,,,,
A380,--------------,ZN01,----------,363,,,,,,
A381,----------------,ZN01,------------,364,,,,,,
A382,--------,ZN01,---------,365,,,,,,
A383,------,ZN01,------------,366,,,,,,
A384,-------------,ZN01,------------,367,,,,,,
A385,----------,ZN01,-------------,368,,,,,,
A386,------------,ZN01,--------------,369,,,,,,
A387,-------,ZN01,--------------,370,,,,,,
A388,-------,ZN01,-------------,371,,,,,,
A389,----------,ZN01,----------,372,,,,,,
A390,-------,ZN01,--------,373,,,,,,
A391,-----------,ZN01,---------------,374,,,,,,
A392,-------------,ZN01,---------------,375,,,,,,
A393,---------,ZN01,-------------,376,,,,,,
A394,---------------,ZN01,-------------,377,,,,,,
A395,-------------,ZN01,-------------,378,,,,,,
A396,--------,ZN01,---------------,379,,,,,,
A397,-----------,ZN01,----------------,380,,,,,,
A398,----------,ZN01,-------------,381,,,,,,
A399,------------,ZN01,-----------,382,,,,,,
A400,-----------,ZN01,----------,383,,,,,,
A401,-----------,ZN01,-------------,384,,,,,,
A402,--------,ZN01,----------,385,,,,,,
A403,---------------,ZN01,-------------,386,,,,,,
A404,--------------,ZN01,--------------,387,,,,,,
A405,-----------,ZN01,-----------,388,,,,,,
A406,------------,ZN01,-------,389,,,,,,
A407,-------,ZN01,------------,390,,,,,,
A408,--------,ZN01,-----------------,391,,,,,,
A409,--------------,ZN01,---------------,392,,,,,,
A410,---------,ZN01,----------,393,,,,,,
A411,------,ZN01,----------,394,,,,,,
A412,----------,ZN01,-----------,395,,,,,,
A413,----,ZN01,----,396,,,,,,
A414,---------,ZN01,-------------,397,,,,,,
A415,--------,ZN01,---------------,398,,,,,,
A416,--------,ZN01,---------------,399,,,,,,
A417,-------,ZN01,------------,400,,,,,,
A418,------,ZN01,----------,401,,,,,,
A419,----------,ZN01,--------------,402,,,,,,
A420,------------,ZN01,----------------,403,,,,,,
A421,-----------,ZN01,------------------,404,,,,,,
A422,----------------,ZN01,-----------------,405,,,,,,
A423,--------,ZN01,------------,406,,,,,,
A424,---------,ZN01,---------------,407,,,,,,
A425,-------,ZN01,------------,408,,,,,,
A426,--------------,ZN01,--------,409,,,,,,
A427,----------,ZN01,-----------------,410,,,,,,
A428,-----------,ZN01,--------------,411,,,,,,
A429,-----------,ZN01,------------,412,,,,,,
A430,-----------,ZN01,-----------,413,,,,,,
A431,1635,ZN01,56448,414,,,,,,
A432,--------------,ZN01,-----------------,415,,,,,,
A433,----------,ZN01,---------------,416,,,,,,
A434,-----------,ZN01,-----------------,417,,,,,,
A435,-------,ZN01,------------,418,,,,,,
A436,-------,ZN01,----------------,419,,,,,,
A437,-------,ZN01,---------,420,,,,,,
A438,----------,ZN01,-----------,421,,,,,,
A439,------------,ZN01,--------------,422,,,,,,
A440,---------,ZN01,-----------,423,,,,,,
A441,-----,ZN01,-------------,424,,,,,,
A442,--------------,ZN01,-------------,425,,,,,,
A443,-------,ZN01,-----------,426,,,,,,
A444,-----------,ZN01,----------------,427,,,,,,
A445,-------------------,ZN01,--------------,428,,,,,,
A446,------------,ZN01,----------------,429,,,,,,
A447,--------,ZN01,-------------,430,,,,,,
A448,---------,ZN01,----------,431,,,,,,
A449,------------,ZN01,----------------,432,,,,,,
A450,------------,ZN01,--------------,433,,,,,,
A451,------------,ZN01,-----------------,434,,,,,,
A452,------------,ZN01,---------------,435,,,,,,
A453,----------,ZN01,-----------,436,,,,,,
A454,-------------,ZN01,----------------,437,,,,,,
A455,-------,ZN01,--------------,438,,,,,,
A456,----------,ZN01,---------------,439,,,,,,
A457,,ZN01,,440,,,,,,
A458,------------,ZN01,-------------,441,,,,,,
A459,-------,ZN01,-------------,442,,,,,,
A460,-----------,ZN01,---------------,443,,,,,,
A461,----------,ZN01,--------------,444,,,,,,
A462,--------------,ZN01,----------------,445,,,,,,
A463,---------,ZN01,--------------,446,,,,,,
A464,---------,ZN01,--------------,447,,,,,,
A465,---------,ZN01,-----------------,448,,,,,,
A466,-------,ZN01,--------------,449,,,,,,
A467,-----------,ZN01,--------------,450,,,,,,
A468,-----------,ZN01,---------------,451,,,,,,
A469,--------,ZN01,-------,452,,,,,,
A470,---------,ZN01,------------,453,,,,,,
A471,--------,ZN01,-------------,454,,,,,,
A472,--------,ZN01,----------,455,,,,,,
A473,------------,ZN01,-----------------,456,,,,,,
A474,-------,ZN01,----------------,457,,,,,,
A475,------------,ZN01,------------,458,,,,,,
A476,------------,ZN01,-----------,459,,,,,,
A477,--------,ZN01,-------------,460,,,,,,
A478,-----------,ZN01,-------------------,461,,,,,,
A479,----------,ZN01,-------------,462,,,,,,
A480,------------,ZN01,--------------,463,,,,,,
A481,-----------------,ZN01,----------------,464,,,,,,
A482,------------,ZN01,---------------,465,,,,,,
A483,----------,ZN01,------------------,466,,,,,,
A484,-------------,ZN01,-------------,467,,,,,,
A485,----------,ZN01,------------,468,,,,,,
A486,------------------,ZN01,-----------,469,,,,,,
A487,------,ZN01,--------------,470,,,,,,
A488,----------,ZN01,----------------,471,,,,,,
A489,---,ZN01,----------,472,,,,,,
A490,-----,ZN01,---------,473,,,,,,
A491,-------,ZN01,--------,474,,,,,,
A492,-----,ZN01,------,475,,,,,,
A493,------,ZN01,--------,476,,,,,,
A494,-----,ZN01,--------,477,,,,,,
A495,---,ZN01,---------,478,,,,,,
A496,---------,ZN01,---------,479,,,,,,
A497,-------,ZN01,--------,480,,,,,,
A498,-----,ZN01,----,481,,,,,,
A499,----,ZN01,----,482,,,,,,
A500,-----------,ZN01,----------,483,,,,,,
A501,------,ZN01,--------,484,,,,,,
A502,------,ZN01,-------,485,,,,,,
A503,-----,ZN01,-----,486,,,,,,
A504,----,ZN01,-------,487,,,,,,
A505,--------,ZN01,-------,488,,,,,,
A506,32565,ZN01,32565,489,,,,,,
A507,--------,ZN01,--------,490,,,,,,
A508,---------,ZN01,-----------,491,,,,,,
A509,--------,ZN01,-----------,492,,,,,,
A510,---------,ZN01,--------,493,,,,,,
A511,--------,ZN01,-----,494,,,,,,
A512,--------,ZN01,---------,495,,,,,,
A513,------,ZN01,-------,496,,,,,,
A514,------,ZN01,----------,497,,,,,,
A515,-----,ZN01,-------,498,,,,,,
A516,-------------------,ZN01,-------------------,499,,,,,,
A517,-----------------------,ZN01,------------------------,500,,,,,,
A518,----------------------,ZN01,-----------------------,501,,,,,,
A519,----------------,ZN01,----------------,502,,,,,,
A520,-----------------------,ZN01,-------------------------,503,,,,,,
A521,------,ZN01,-----,504,,,,,,
A522,------------------------,ZN01,------------------------,505,,,,,,
A523,-------------------,ZN01,--------------------,506,,,,,,
A524,-------------,ZN01,--------------,507,,,,,,
A525,-------------,ZN01,---------,508,,,,,,
A526,-------------,ZN01,----------------,509,,,,,,
A527,----------------,ZN01,---------,510,,,,,,
A528,---------------,ZN01,-------------,511,,,,,,
A529,-----------,ZN01,-------------,512,,,,,,
A530,------------,ZN01,-------,513,,,,,,
A531,----------,ZN01,----------,514,,,,,,
A532,----------------,ZN01,------------,515,,,,,,
A533,----,ZN01,----------,516,,,,,,
A534,------,ZN01,------------,517,,,,,,
A535,-----,ZN01,---------,518,,,,,,
A536,--------,ZN01,-------,519,,,,,,
A537,-------,ZN01,----------,520,,,,,,
A538,---,ZN01,-------------,521,,,,,,
A539,----------------,ZN01,----------,522,,,,,,
A540,--------------,ZN01,-----------,523,,,,,,
A541,---------,ZN01,----------,524,,,,,,
A542,--------------,ZN01,---------------,525,,,,,,
A543,-------,ZN01,-------------,526,,,,,,
A544,----------,ZN01,--------------,527,,,,,,
A545,--------,ZN01,--------------,528,,,,,,
A546,--------,ZN01,--------------,529,,,,,,
A547,----------,ZN01,------------,530,,,,,,
A548,-------------,ZN01,-----------,531,,,,,,
A549,-----------,ZN01,-------------------,532,,,,,,
A550,---------,ZN01,------,533,,,,,,
A551,----------,ZN01,-----------------,534,,,,,,
A552,---------------,ZN01,-------------,535,,,,,,
A553,------------,ZN01,----------,536,,,,,,
A554,-------,ZN01,-------------,537,,,,,,
A555,------,ZN01,----------,538,,,,,,
A556,-----,ZN01,---------,539,,,,,,
A557,--------,ZN01,-----------------,540,,,,,,
A558,-----------,ZN01,--------------------,541,,,,,,
A559,-------,ZN01,---------------,542,,,,,,
A560,-------,ZN01,---------------,543,,,,,,
A561,-----------,ZN01,------------,544,,,,,,
A562,-----------,ZN01,---------------,545,,,,,,
A563,-------------,ZN01,----------,546,,,,,,
