SKOD,RKOD,BedKod,Tip,Fiyat,ParaCinsi,FTarih,exCheck,insUN,insDT,UpdUN,UpdDT,kgid,insApp,updApp
002-760,0,0,S02,27.0000000000,US,2024-10-22 10:46:53.580000,*,yulya,2024-10-22 10:46:53.580000,,,5293,KGShop,
002-761,0,0,S02,27.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:14:13.810000,yulya,2024-10-22 10:15:04.090000,5284,KGShop,KGShop
002-766,0,0,S02,27.0000000000,US,2024-10-22 10:42:17.817000,*,yulya,2024-10-22 10:42:17.817000,,,5291,KGShop,
002-767,0,0,S02,27.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:39:52.630000,yulya,2024-10-22 10:40:21.560000,5290,KGShop,KGShop
002-768,0,0,S02,27.0000000000,US,2024-10-22 10:22:40.877000,*,yulya,2024-10-22 10:22:40.877000,,,5285,KGShop,
002-773,0,0,S02,27.0000000000,US,2024-10-22 10:25:10.293000,*,yulya,2024-10-22 10:25:10.293000,,,5286,KGShop,
002-774,0,0,S02,28.0000000000,US,2024-10-22 10:37:57.573000,*,yulya,2024-10-22 10:37:57.573000,,,5289,KGShop,
002-777,0,0,S02,28.0000000000,US,2024-10-22 00:00:00,*,yulya,2024-10-22 10:50:54.870000,yulya,2024-10-22 10:51:50.357000,5294,KGShop,KGShop
003- 15120,0,0,S02,34.0000000000,US,2024-07-01 00:00:00,*,,,,,3307,,
003- 15121,0,0,S02,36.0000000000,US,2024-07-04 00:00:00,*,,,,,3448,,
003- 3116,0,0,S02,34.0000000000,US,2024-07-04 00:00:00,*,,,,,3449,,
003- 3120,0,0,S03,48.0000000000,US,2024-07-01 00:00:00,,,,,,3308,,
003- 3120,0,0,S05,42.0000000000,US,2024-07-01 00:00:00,*,,,,,3309,,
003- 6721,0,0,S02,37.0000000000,US,2024-07-25 00:00:00,*,,,,,3945,,
003 8710,0,0,S02,34.0000000000,US,2024-02-05 00:00:00,*,,,,,2023,,
003 8711,0,0,S02,35.0000000000,US,2024-02-05 00:00:00,*,,,,,2024,,
003 8712,0,0,S02,36.0000000000,US,2024-02-05 00:00:00,*,,,,,2025,,
003 8713,0,0,S02,37.0000000000,US,2024-02-05 00:00:00,*,,,,,2026,,
003 8714,0,0,S02,34.0000000000,US,2024-02-05 00:00:00,*,,,,,2027,,
004-2212,0,0,S02,21.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:13:32.717000,4206,,
004-2213,0,0,S02,21.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:15:41.750000,4207,,
004-2322,0,0,S02,23.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:14:56.060000,4208,,
004-2366,0,0,S02,34.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:16:10.410000,4209,,
004-2424,0,0,S02,33.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:18:22.387000,4210,,
004-2426,0,0,S02,33.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:17:53.980000,4211,,
004-2434,0,0,S02,21.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:13:56.233000,4212,,
004-2435,0,0,S02,25.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:17:06.600000,4213,,
004-2444,0,0,S02,23.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:22:20.340000,yulya,2024-10-23 12:24:21.500000,5357,KGShop,KGShop
004-2445,0,0,S02,23.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:17:36.483000,4214,,
004-2448,0,0,S02,35.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:16:31.290000,4215,,
004-2449,0,0,S02,35.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:15:18.630000,4216,,
004-2450,0,0,S02,30.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:28:32.350000,yulya,2024-10-23 12:28:45.633000,5359,KGShop,KGShop
004-2452,0,0,S02,30.0000000000,US,2024-10-29 00:00:00,*,yulya,2024-10-29 11:17:43.747000,yulya,2024-10-29 11:18:09.307000,5513,KGShop,KGShop
004-2453,0,0,S02,25.0000000000,US,2024-10-18 00:00:00,*,,,yulya,2024-10-18 17:14:29.127000,4217,,
004-2454,0,0,S02,23.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:30:12.803000,yulya,2024-10-23 12:30:45.160000,5360,KGShop,KGShop
004-2455,0,0,S02,35.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 11:26:32.817000,yulya,2024-10-23 11:27:41.217000,5352,KGShop,KGShop
004-2456,0,0,S02,29.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:18:35.017000,yulya,2024-10-23 12:58:23.820000,5356,KGShop,KGShop
004-2457,0,0,S02,33.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:13:47.860000,yulya,2024-10-23 12:14:54.727000,5355,KGShop,KGShop
004-2458,0,0,S02,33.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 12:25:21.790000,yulya,2024-10-23 12:26:27.173000,5358,KGShop,KGShop
004-2459,0,0,S02,33.0000000000,US,2024-10-23 00:00:00,*,yulya,2024-10-23 11:31:06.280000,yulya,2024-10-23 11:31:41.283000,5353,KGShop,KGShop
004-2460,0,0,S02,26.0000000000,US,2024-10-29 00:00:00,*,yulya,2024-10-29 11:29:59.720000,yulya,2024-10-29 11:55:26.850000,5516,KGShop,KGShop
004-2461,0,0,S02,30.0000000000,US,2024-10-29 11:19:21.253000,*,yulya,2024-10-29 11:19:21.253000,,,5514,KGShop,
004-2463,0,0,S02,23.0000000000,US,2024-10-29 00:00:00,*,yulya,2024-10-29 11:52:35.070000,yulya,2024-10-29 11:53:17.997000,5518,KGShop,KGShop
004-2464,0,0,S02,33.0000000000,US,2024-10-29 00:00:00,*,yulya,2024-10-29 11:26:29.370000,yulya,2024-10-29 11:55:04.987000,5515,KGShop,KGShop
004-2465,0,0,S02,33.0000000000,US,2024-10-29 00:00:00,*,yulya,2024-10-29 11:44:49.820000,yulya,2024-10-29 11:55:46.510000,5517,KGShop,KGShop
004-2466,0,0,S02,21.0000000000,US,2025-04-23 00:00:00,*,yulya,2025-04-23 11:14:38.603000,yulya,2025-04-23 11:15:28.647000,7309,KGShop,KGShop
004-2469,0,0,S02,21.0000000000,US,2025-04-23 11:24:21.210000,*,yulya,2025-04-23 11:24:21.210000,,,7311,KGShop,
004-2474,0,0,S02,21.0000000000,US,2025-04-23 11:28:47.917000,*,yulya,2025-04-23 11:28:47.917000,,,7312,KGShop,
004-2475,0,0,S02,21.0000000000,US,2025-04-23 11:19:16.963000,*,yulya,2025-04-23 11:19:16.963000,,,7310,KGShop,
004-2477,0,0,S02,30.0000000000,US,2025-04-30 00:00:00,*,yulya,2025-04-30 17:18:55.657000,yulya,2025-04-30 17:19:48.260000,7318,KGShop,KGShop
006- 8002,0,0,S02,29.0000000000,US,2024-11-29 10:23:07.330000,*,yulya,2024-11-29 10:23:07.330000,,,6194,KGShop,
006- 8003,0,0,S02,29.0000000000,US,2024-12-12 00:00:00,*,yulya,2024-12-12 14:30:38.813000,yulya,2024-12-12 14:31:22.820000,6425,KGShop,KGShop
006- 8048,0,0,S02,29.0000000000,US,2024-11-29 00:00:00,*,yulya,2024-11-29 10:20:13.040000,,,6193,KGShop,
006- 8774,0,0,S02,33.0000000000,US,2024-05-31 00:00:00,*,,,,,2531,,
006- 8774,0,0,S03,36.0000000000,US,2024-05-31 00:00:00,,,,,,2532,,
006- 8775,0,0,S02,32.0000000000,US,2024-05-31 00:00:00,*,,,,,2533,,
006- 8775,0,0,S03,35.0000000000,US,2024-05-31 00:00:00,,,,,,2534,,
006- 8777,0,0,S02,33.0000000000,US,2024-05-31 00:00:00,*,,,,,2535,,
006- 8777,0,0,S03,36.0000000000,US,2024-05-31 00:00:00,,,,,,2536,,
006- 8779,0,0,S03,37.0000000000,US,2024-05-31 00:00:00,,,,,,2537,,
006- 8779,0,0,S04,34.0000000000,US,2024-05-31 00:00:00,*,,,,,2538,,
006- 8788,0,0,S02,38.0000000000,US,2024-05-31 00:00:00,*,,,,,2539,,
006- 8788,0,0,S03,44.0000000000,US,2024-05-31 00:00:00,,,,,,2540,,
006- 8788,0,0,S04,40.0000000000,US,2024-05-31 00:00:00,,,,,,2541,,
006- 8789,0,0,S02,37.0000000000,US,2024-05-31 00:00:00,*,,,,,2542,,
006- 8789,0,0,S03,43.0000000000,US,2024-05-31 00:00:00,,,,,,2543,,
006- 8789,0,0,S04,39.0000000000,US,2024-05-31 00:00:00,,,,,,2544,,
006- 8797,0,0,S02,35.0000000000,US,2024-05-31 00:00:00,*,,,,,2545,,
006- 8797,0,0,S03,41.0000000000,US,2024-05-31 00:00:00,,,,,,2546,,
006- 8797,0,0,S04,37.0000000000,US,2024-05-31 00:00:00,,,,,,2547,,
006- 8842,0,0,S02,34.0000000000,US,2024-05-31 00:00:00,*,,,,,2548,,
006- 8842,0,0,S03,41.0000000000,US,2024-05-31 00:00:00,,,,,,2549,,
006- 8842,0,0,S04,36.0000000000,US,2024-05-31 00:00:00,,,,,,2550,,
006- 8897,0,0,S03,37.0000000000,US,2024-05-31 00:00:00,*,,,,,2551,,
006- 8897,0,0,S04,34.0000000000,US,2024-05-31 00:00:00,,,,,,2552,,
006- 8898,0,0,S02,36.0000000000,US,2024-05-31 00:00:00,*,,,,,2553,,
006- 8898,0,0,S03,41.0000000000,US,2024-05-31 00:00:00,,,,,,2554,,
006- 8899,0,0,S02,37.0000000000,US,2024-07-04 00:00:00,*,,,,,3450,,
006- 8899,0,0,S03,41.0000000000,US,2024-07-04 00:00:00,,,,,,3451,,
006- 8900,0,0,S02,33.0000000000,US,2024-05-31 00:00:00,*,,,,,2555,,
006- 8900,0,0,S03,36.0000000000,US,2024-05-31 00:00:00,,,,,,2556,,
006- 8901,0,0,S02,34.0000000000,US,2024-05-31 00:00:00,*,,,,,2557,,
006- 8901,0,0,S03,37.0000000000,US,2024-05-31 00:00:00,,,,,,2558,,
006- 8902,0,0,S02,35.0000000000,US,2024-05-31 00:00:00,*,,,,,2559,,
006- 8902,0,0,S03,41.0000000000,US,2024-05-31 00:00:00,,,,,,2560,,
006- 8902,0,0,S04,37.0000000000,US,2024-05-31 00:00:00,,,,,,2561,,
006- 8903,0,0,S02,34.0000000000,US,2024-05-31 00:00:00,*,,,,,2562,,
006- 8903,0,0,S03,37.0000000000,US,2024-05-31 00:00:00,,,,,,2563,,
006- 8904,0,0,S02,37.0000000000,US,2024-05-31 00:00:00,*,,,,,2564,,
006- 8904,0,0,S03,43.0000000000,US,2024-05-31 00:00:00,,,,,,2565,,
006- 8904,0,0,S04,39.0000000000,US,2024-05-31 00:00:00,,,,,,2566,,
006- 8905,0,0,S02,37.0000000000,US,2024-05-31 00:00:00,*,,,,,2567,,
006- 8905,0,0,S03,43.0000000000,US,2024-05-31 00:00:00,,,,,,2568,,
006- 8905,0,0,S04,39.0000000000,US,2024-05-31 00:00:00,,,,,,2569,,
006- 8906,0,0,S02,33.0000000000,US,2024-05-31 00:00:00,*,,,,,2570,,
006- 8906,0,0,S03,36.0000000000,US,2024-05-31 00:00:00,,,,,,2571,,
006- 8907,0,0,S02,37.0000000000,US,2024-05-31 00:00:00,*,,,,,2572,,
006- 8907,0,0,S03,43.0000000000,US,2024-05-31 00:00:00,,,,,,2573,,
006- 8907,0,0,S04,39.0000000000,US,2024-05-31 00:00:00,,,,,,2574,,
006- 8909,0,0,S03,43.0000000000,US,2024-06-25 00:00:00,,,,,,3187,,
006- 8909,0,0,S04,39.0000000000,US,2024-06-25 00:00:00,,,,,,3188,,
006- 8909,0,0,S05,37.0000000000,US,2024-06-25 00:00:00,*,,,,,3189,,
006- 8912,0,0,S03,43.0000000000,US,2024-06-25 00:00:00,,,,,,3190,,
006- 8912,0,0,S04,39.0000000000,US,2024-06-25 00:00:00,,,,,,3191,,
006- 8912,0,0,S05,37.0000000000,US,2024-06-25 00:00:00,*,,,,,3192,,
006- 8913,0,0,S03,44.0000000000,US,2024-06-25 00:00:00,,,,,,3193,,
006- 8913,0,0,S04,40.0000000000,US,2024-06-25 00:00:00,,,,,,3194,,
006- 8913,0,0,S05,38.0000000000,US,2024-06-25 00:00:00,*,,,,,3195,,
006- 8918,0,0,S02,31.0000000000,US,2024-11-29 11:00:20.830000,*,yulya,2024-11-29 11:00:20.830000,,,6208,KGShop,
006- 8919,0,0,S02,31.0000000000,US,2024-11-29 10:54:02.487000,*,yulya,2024-11-29 10:54:02.487000,,,6205,KGShop,
006- 8920,0,0,S02,29.0000000000,US,2024-11-29 10:34:00.243000,*,yulya,2024-11-29 10:34:00.243000,,,6197,KGShop,
006- 8921,0,0,S02,29.0000000000,US,2024-11-29 10:37:45.573000,*,yulya,2024-11-29 10:37:45.573000,,,6198,KGShop,
006- 8922,0,0,S02,29.0000000000,US,2024-11-29 00:00:00,*,yulya,2024-11-29 10:27:26.303000,yulya,2024-11-29 10:28:25.863000,6196,KGShop,KGShop
006- 8923,0,0,S02,31.0000000000,US,2024-11-29 10:52:16.220000,*,yulya,2024-11-29 10:52:16.220000,,,6204,KGShop,
006- 8924,0,0,S02,31.0000000000,US,2024-11-29 10:56:30.910000,*,yulya,2024-11-29 10:56:30.910000,,,6206,KGShop,
006- 8925,0,0,S02,31.0000000000,US,2024-11-29 10:47:45.243000,*,yulya,2024-11-29 10:47:45.243000,,,6202,KGShop,
006- 8926,0,0,S02,31.0000000000,US,2024-11-29 10:50:08.643000,*,yulya,2024-11-29 10:50:08.643000,,,6203,KGShop,
006- 8927,0,0,S02,31.0000000000,US,2024-11-29 11:14:23.480000,*,yulya,2024-11-29 11:14:23.480000,,,6211,KGShop,
006- 8928,0,0,S02,31.0000000000,US,2024-11-29 11:02:12.070000,*,yulya,2024-11-29 11:02:12.070000,,,6209,KGShop,
006- 8929,0,0,S02,30.0000000000,US,2024-11-29 00:00:00,*,yulya,2024-11-29 10:25:10.663000,yulya,2024-11-29 10:25:49.650000,6195,KGShop,KGShop
006- 8930,0,0,S02,31.0000000000,US,2024-11-29 11:10:54.210000,*,yulya,2024-11-29 11:10:54.210000,,,6210,KGShop,
006- 8931,0,0,S02,31.0000000000,US,2024-11-29 10:58:36.670000,*,yulya,2024-11-29 10:58:36.670000,,,6207,KGShop,
006- 8932,0,0,S02,31.0000000000,US,2024-11-29 10:45:24.207000,*,yulya,2024-11-29 10:45:24.207000,,,6201,KGShop,
006- 8933,0,0,S02,31.0000000000,US,2024-11-29 16:47:35.337000,*,yulya,2024-11-29 16:47:35.337000,,,6242,KGShop,
006- 8934,0,0,S02,31.0000000000,US,2024-11-29 10:42:44.603000,*,yulya,2024-11-29 10:42:44.603000,,,6200,KGShop,
006- 8935,0,0,S02,31.0000000000,US,2024-11-29 00:00:00,*,yulya,2024-11-29 10:40:50.117000,yulya,2024-11-29 10:41:34.273000,6199,KGShop,KGShop
006- 8936,0,0,S02,31.0000000000,US,2024-11-29 16:51:51.360000,*,yulya,2024-11-29 16:51:51.360000,,,6244,KGShop,
006- 8937,0,0,S02,31.0000000000,US,2024-11-29 00:00:00,*,yulya,2024-11-29 16:41:08.757000,yulya,2024-11-29 16:43:58.797000,6241,KGShop,KGShop
006- 8938,0,0,S02,31.0000000000,US,2024-11-29 16:50:18.150000,*,yulya,2024-11-29 16:50:18.150000,,,6243,KGShop,
006- 8939,0,0,S02,31.0000000000,US,2024-12-12 14:38:53.743000,*,yulya,2024-12-12 14:38:53.743000,,,6427,KGShop,
006- 8940,0,0,S02,31.0000000000,US,2024-12-12 00:00:00,*,yulya,2024-12-12 14:35:33.150000,yulya,2024-12-12 14:37:32.557000,6426,KGShop,KGShop
006- 8941,0,0,S02,31.0000000000,US,2024-12-12 00:00:00,*,yulya,2024-12-12 14:43:35.697000,yulya,2024-12-12 14:44:11.120000,6429,KGShop,KGShop
006- 8942,0,0,S02,27.0000000000,US,2024-12-12 00:00:00,*,yulya,2024-12-12 14:41:07.003000,yulya,2024-12-12 14:42:04.837000,6428,KGShop,KGShop
006- 8943,0,0,S02,31.0000000000,US,2024-12-12 00:00:00,*,yulya,2024-12-12 14:56:23.107000,yulya,2024-12-12 14:57:18.747000,6434,KGShop,KGShop
006- 8944,0,0,S02,30.0000000000,US,2024-12-12 00:00:00,*,yulya,2024-12-12 14:54:51.823000,yulya,2024-12-12 14:55:13.437000,6433,KGShop,KGShop
006- 8945,0,0,S02,31.0000000000,US,2024-12-12 14:59:20.393000,*,yulya,2024-12-12 14:59:20.393000,,,6435,KGShop,
006- 8946,0,0,S02,32.0000000000,US,2024-12-12 00:00:00,*,yulya,2024-12-12 14:46:28.330000,yulya,2024-12-12 14:49:18.930000,6430,KGShop,KGShop
006- 8947,0,0,S02,32.0000000000,US,2024-12-12 14:52:40.490000,*,yulya,2024-12-12 14:52:40.490000,,,6432,KGShop,
006- 8948,0,0,S02,32.0000000000,US,2024-12-12 14:51:13.623000,*,yulya,2024-12-12 14:51:13.623000,,,6431,KGShop,
006- 8949,0,0,S02,30.0000000000,US,2024-12-26 00:00:00,*,yulya,2024-12-26 13:35:07.937000,yulya,2024-12-26 13:35:32.797000,6671,KGShop,KGShop
006- 8950,0,0,S02,31.0000000000,US,2024-12-26 00:00:00,*,yulya,2024-12-26 13:57:48.743000,yulya,2024-12-26 13:58:43.550000,6675,KGShop,KGShop
006- 8951,0,0,S02,31.0000000000,US,2024-12-26 00:00:00,*,yulya,2024-12-26 13:41:39.633000,yulya,2024-12-26 13:42:02.693000,6674,KGShop,KGShop
006- 8952,0,0,S02,31.0000000000,US,2024-12-26 00:00:00,*,yulya,2024-12-26 13:37:20.167000,yulya,2024-12-26 13:37:42.877000,6672,KGShop,KGShop
006- 8953,0,0,S02,29.0000000000,US,2024-12-26 00:00:00,*,yulya,2024-12-26 13:39:58.773000,yulya,2024-12-26 13:40:21.360000,6673,KGShop,KGShop
006- 8954,0,0,S02,31.0000000000,US,2024-12-26 13:26:52.930000,*,yulya,2024-12-26 13:26:52.930000,,,6670,KGShop,
006- 8955,0,0,S02,31.0000000000,US,2024-12-26 14:36:43.850000,*,yulya,2024-12-26 14:36:43.850000,,,6676,KGShop,
006- 8960,0,0,S02,24.0000000000,US,2025-02-14 13:54:27.110000,*,yulya,2025-02-14 13:54:27.110000,,,7230,KGShop,
006- 8961,0,0,S02,24.0000000000,US,2025-02-04 00:00:00,*,yulya,2025-02-04 11:51:17.207000,yulya,2025-02-04 11:51:55.713000,7216,KGShop,KGShop
006- 8962,0,0,S02,24.0000000000,US,2025-02-04 11:55:34.740000,*,yulya,2025-02-04 11:55:34.740000,,,7217,KGShop,
006- 8964,0,0,S02,24.0000000000,US,2025-02-14 13:58:17.323000,*,yulya,2025-02-14 13:58:17.323000,,,7231,KGShop,
009- 14-1,0,0,S02,29.0000000000,US,2024-11-28 17:20:57.463000,*,yulya,2024-11-28 17:20:57.463000,,,6170,KGShop,
009- 15-1,0,0,S02,29.0000000000,US,2024-11-28 17:22:26.020000,*,yulya,2024-11-28 17:22:26.020000,,,6171,KGShop,
009- 38,0,0,S02,29.0000000000,US,2024-06-04 00:00:00,*,,,,,2616,,
009- 39,0,0,S02,29.0000000000,US,2024-06-04 00:00:00,*,,,,,2617,,
009- 39-1,0,0,S02,28.0000000000,US,2025-02-27 00:00:00,*,yulya,2024-11-28 17:46:32.147000,yulya,2025-02-27 13:45:44.187000,6179,KGShop,KGShop
009- 400,0,0,S02,30.0000000000,US,2024-06-04 00:00:00,*,,,,,2618,,
009- 400-1,0,0,S02,29.0000000000,US,2024-11-28 00:00:00,*,yulya,2024-11-28 16:57:28.510000,yulya,2024-11-28 17:00:10.993000,6166,KGShop,KGShop
009- 401,0,0,S02,29.0000000000,US,2024-11-28 00:00:00,*,,,yulya,2024-11-28 18:07:07.077000,2619,,KGShop
009- 401-1,0,0,S02,29.0000000000,US,2024-11-28 00:00:00,*,yulya,2024-11-28 17:42:52.970000,yulya,2024-11-28 17:44:32.027000,6178,KGShop,KGShop
009- 402,0,0,S02,29.0000000000,US,2024-11-28 00:00:00,*,,,yulya,2024-11-28 17:15:47.393000,2620,,KGShop
009- 402-1,0,0,S02,29.0000000000,US,2024-11-28 17:17:10.740000,*,yulya,2024-11-28 17:17:10.740000,,,6169,KGShop,
009- 403,0,0,S02,31.0000000000,US,2024-06-04 00:00:00,*,,,,,2621,,
009- 404,0,0,S02,30.0000000000,US,2024-06-04 00:00:00,*,,,,,2622,,
009- 404-1,0,0,S02,29.0000000000,US,2024-11-28 00:00:00,*,yulya,2024-11-28 17:31:20.457000,yulya,2024-11-28 17:32:23.113000,6174,KGShop,KGShop
009- 406,0,0,S02,31.0000000000,US,2024-06-04 00:00:00,*,,,,,2623,,
009- 407,0,0,S02,31.0000000000,US,2024-06-04 00:00:00,*,,,,,2624,,
009- 407-1,0,0,S02,30.0000000000,US,2024-11-28 00:00:00,*,yulya,2024-11-28 17:26:39.877000,yulya,2024-11-28 17:29:48.723000,6173,KGShop,KGShop
009- 409 ,0,0,S02,30.0000000000,US,2024-06-04 00:00:00,*,,,,,2625,,
009- 410,0,0,S02,30.0000000000,US,2024-06-04 00:00:00,*,,,,,2626,,
009- 411,0,0,S02,31.0000000000,US,2024-06-04 00:00:00,*,,,,,2627,,
009- 412,0,0,S03,43.0000000000,US,2024-06-06 00:00:00,,,,,,2746,,
009- 412,0,0,S04,39.0000000000,US,2024-06-06 00:00:00,,,,,,2747,,
009- 412,0,0,S05,37.0000000000,US,2024-06-06 00:00:00,*,,,,,2748,,
009- 413,0,0,S03,38.0000000000,US,2024-06-06 00:00:00,,,,,,2749,,
009- 413,0,0,S04,34.0000000000,US,2024-06-06 00:00:00,,,,,,2750,,
009- 413,0,0,S05,32.0000000000,US,2024-06-06 00:00:00,*,,,,,2751,,
009- 414,0,0,S03,39.0000000000,US,2024-06-06 00:00:00,,,,,,2752,,
009- 414,0,0,S04,35.0000000000,US,2024-06-06 00:00:00,,,,,,2753,,
009- 414,0,0,S05,33.0000000000,US,2024-06-06 00:00:00,*,,,,,2754,,
009- 415,0,0,S03,39.0000000000,US,2024-06-06 00:00:00,,,,,,2755,,
009- 415,0,0,S04,35.0000000000,US,2024-06-06 00:00:00,,,,,,2756,,
009- 415,0,0,S05,33.0000000000,US,2024-06-06 00:00:00,*,,,,,2757,,
009- 416,0,0,S03,41.0000000000,US,2024-06-06 00:00:00,,,,,,2758,,
009- 416,0,0,S04,37.0000000000,US,2024-06-06 00:00:00,,,,,,2759,,
009- 416,0,0,S05,35.0000000000,US,2024-06-06 00:00:00,*,,,,,2760,,
009- 42,0,0,S02,29.0000000000,US,2024-06-04 00:00:00,*,,,,,2628,,
009- 42-1,0,0,S02,29.0000000000,US,2025-02-12 00:00:00,*,yulya,2024-11-28 18:07:36.833000,yulya,2025-02-12 11:31:22.347000,6186,KGShop,KGShop
009- 43-1,0,0,S02,28.0000000000,US,2024-11-28 00:00:00,*,yulya,2024-11-28 17:49:43.497000,yulya,2024-11-28 17:50:12.537000,6180,KGShop,KGShop
009- 44-1,0,0,S02,29.0000000000,US,2024-11-28 17:24:15.550000,*,yulya,2024-11-28 17:24:15.550000,,,6172,KGShop,
009- 45-1,0,0,S02,28.0000000000,US,2024-11-28 00:00:00,*,yulya,2024-11-28 17:41:15.340000,yulya,2024-11-28 17:41:43.813000,6177,KGShop,KGShop
009- 46-1,0,0,S02,28.0000000000,US,2024-11-28 00:00:00,*,yulya,2024-11-28 18:16:48.927000,yulya,2024-11-28 18:17:28.250000,6189,KGShop,KGShop
009- 47-1,0,0,S02,30.0000000000,US,2024-11-28 00:00:00,*,yulya,2024-11-28 18:13:08.210000,yulya,2024-11-28 18:13:49.007000,6188,KGShop,KGShop
009- 71,0,0,S02,28.0000000000,US,2024-06-04 00:00:00,*,,,,,2629,,
009- 781-1,0,0,S02,27.0000000000,US,2024-11-28 17:57:39.990000,*,yulya,2024-11-28 17:57:39.990000,,,6183,KGShop,
009- 782,0,0,S02,27.0000000000,US,2024-11-28 00:00:00,*,yulya,2024-11-28 17:54:03.547000,yulya,2024-11-28 17:54:50.013000,6181,KGShop,KGShop
009- 782-1,0,0,S02,27.0000000000,US,2024-11-28 17:56:08.350000,*,yulya,2024-11-28 17:56:08.350000,,,6182,KGShop,
009- 790-1,0,0,S02,29.0000000000,US,2024-11-28 17:06:12.163000,*,yulya,2024-11-28 17:06:12.163000,,,6167,KGShop,
009- 791-1,0,0,S02,29.0000000000,US,2024-11-28 17:10:59.260000,*,yulya,2024-11-28 17:10:59.260000,,,6168,KGShop,
009- 801-1,0,0,S02,27.0000000000,US,2024-11-28 17:38:45.270000,*,yulya,2024-11-28 17:38:45.270000,,,6176,KGShop,
009- 802-1,0,0,S02,27.0000000000,US,2024-11-28 18:01:41.813000,*,yulya,2024-11-28 18:01:41.813000,,,6185,KGShop,
009- 81,0,0,S02,28.0000000000,US,2024-06-04 00:00:00,*,,,,,2630,,
009- 851-1,0,0,S02,28.0000000000,US,2024-11-28 18:11:01.977000,*,yulya,2024-11-28 18:11:01.977000,,,6187,KGShop,
009- 852-1,0,0,S02,28.0000000000,US,2024-11-28 18:19:14.463000,*,yulya,2024-11-28 18:19:14.463000,,,6190,KGShop,
009- 870-1,0,0,S02,27.0000000000,US,2024-11-28 00:00:00,*,yulya,2024-11-28 17:36:26.553000,yulya,2024-11-28 17:36:54.900000,6175,KGShop,KGShop
009- 871-1,0,0,S02,27.0000000000,US,2024-11-28 17:59:54.883000,*,yulya,2024-11-28 17:59:54.883000,,,6184,KGShop,
