FisNo,FisTip,FisTar,Location,CariKod,BelgeNo,BelgeTar,iskonto,iskontoTut,ParaCinsi,GelenDep,GidenDep,SKullanici,KDVCheck,MuhFisNo,iptal,insUN,insDT,updUN,updDT,FisTur,locked,kgid,insApp,updApp
70,0,2023-10-20 14:05:45,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 14:06:03.490000,yulya,2023-10-20 14:06:03.490000,0,,70,,
71,0,2023-10-20 14:06:20,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 14:06:42.593000,yulya,2023-10-20 14:06:42.593000,0,,71,,
72,0,2023-10-20 14:07:28,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 14:08:08.227000,yulya,2023-10-20 14:08:08.227000,0,,72,,
73,0,2023-10-20 14:08:22,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 14:08:41.803000,yulya,2023-10-20 14:08:41.803000,0,,73,,
74,0,2023-10-20 14:08:56,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 14:09:11.787000,yulya,2023-10-20 14:09:11.787000,0,,74,,
75,0,2023-10-20 14:09:26,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 14:09:53.740000,yulya,2023-10-20 14:09:53.740000,0,,75,,
76,0,2023-10-20 15:11:24,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:13:09.493000,yulya,2023-10-20 15:13:09.493000,0,,76,,
77,0,2023-10-20 15:13:46,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:14:34.407000,yulya,2023-10-20 15:14:34.407000,0,,77,,
78,0,2023-10-20 15:14:49,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:15:03.980000,yulya,2023-10-20 15:15:03.980000,0,,78,,
79,0,2023-10-20 15:15:25,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:15:48.953000,yulya,2023-10-20 15:15:48.953000,0,,79,,
80,0,2023-10-20 15:15:59,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:16:31.117000,yulya,2023-10-20 15:16:31.117000,0,,80,,
81,0,2023-10-20 15:16:42,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:16:59.153000,yulya,2023-10-20 15:16:59.153000,0,,81,,
82,0,2023-10-20 15:22:08,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:22:48.260000,yulya,2023-10-20 15:22:48.260000,0,,82,,
83,0,2023-10-20 15:23:09,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:23:30.120000,yulya,2023-10-20 15:23:30.120000,0,,83,,
84,0,2023-10-20 15:24:08,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:24:36.237000,yulya,2023-10-20 15:24:36.237000,0,,84,,
85,0,2023-10-20 15:24:48,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:25:07.233000,yulya,2023-10-20 15:25:07.233000,0,,85,,
86,0,2023-10-20 15:25:54,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:26:15.570000,yulya,2023-10-20 15:26:15.573000,0,,86,,
87,0,2023-10-20 15:26:26,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:26:39.927000,yulya,2023-10-20 15:26:39.927000,0,,87,,
88,0,2023-10-20 15:26:50,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:27:10.120000,yulya,2023-10-20 15:27:10.120000,0,,88,,
89,0,2023-10-20 15:27:20,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:27:45.927000,yulya,2023-10-20 15:27:45.927000,0,,89,,
90,0,2023-10-20 15:28:06,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:28:26.963000,yulya,2023-10-20 15:28:26.963000,0,,90,,
91,0,2023-10-20 15:32:30,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:33:31.223000,yulya,2023-10-20 15:33:31.223000,0,,91,,
92,0,2023-10-20 15:33:53,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 15:34:06.873000,yulya,2023-10-20 15:34:06.873000,0,,92,,
93,0,2023-10-20 16:06:40,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:06:59.183000,yulya,2023-10-20 16:06:59.183000,0,,93,,
94,0,2023-10-20 16:10:50,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:11:13.400000,yulya,2023-10-20 16:11:13.400000,0,,94,,
95,0,2023-10-20 16:15:06,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:15:29.900000,yulya,2023-10-20 16:15:29.900000,0,,95,,
96,0,2023-10-20 16:19:48,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:20:25.140000,yulya,2023-10-20 16:20:25.140000,0,,96,,
97,0,2023-10-20 16:26:16,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:26:41.060000,yulya,2023-10-20 16:26:41.060000,0,,97,,
98,0,2023-10-20 16:31:03,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:31:27.100000,yulya,2023-10-20 16:31:27.100000,0,,98,,
99,0,2023-10-20 16:35:12,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:35:40.260000,yulya,2023-10-20 16:35:40.260000,0,,99,,
100,0,2023-10-20 16:39:04,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:39:26.240000,yulya,2023-10-20 16:39:26.240000,0,,100,,
101,0,2023-10-20 16:42:25,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:42:43.353000,yulya,2023-10-20 16:42:43.357000,0,,101,,
102,0,2023-10-20 16:46:22,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:46:47.897000,yulya,2023-10-20 16:46:47.897000,0,,102,,
103,0,2023-10-20 16:50:21,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:50:46.653000,yulya,2023-10-20 16:50:46.653000,0,,103,,
104,0,2023-10-20 16:54:09,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 16:54:32.183000,yulya,2023-10-20 16:54:32.183000,0,,104,,
105,0,2023-10-20 17:01:11,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 17:01:37.153000,yulya,2023-10-20 17:01:37.153000,0,,105,,
106,0,2023-10-20 17:06:54,L001,,,2023-10-20 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-20 17:07:25.397000,yulya,2023-10-20 17:07:25.397000,0,,106,,
107,0,2023-10-21 10:11:00,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 10:11:38.657000,yulya,2023-10-21 10:11:38.667000,0,,107,,
108,0,2023-10-21 10:15:04,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 10:15:17.503000,yulya,2023-10-21 10:15:17.503000,0,,108,,
109,0,2023-10-21 10:55:54,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 10:56:16.563000,yulya,2023-10-21 10:56:16.563000,0,,109,,
110,0,2023-10-21 10:56:32,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 10:56:44.423000,yulya,2023-10-21 10:56:44.423000,0,,110,,
111,0,2023-10-21 10:56:56,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 10:57:06.973000,yulya,2023-10-21 10:57:06.973000,0,,111,,
112,0,2023-10-21 10:57:18,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 10:57:37.130000,yulya,2023-10-21 10:57:37.130000,0,,112,,
113,0,2023-10-21 10:57:46,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 10:57:56.180000,yulya,2023-10-21 10:57:56.180000,0,,113,,
114,0,2023-10-21 10:58:04,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 10:58:14.407000,yulya,2023-10-21 10:58:14.407000,0,,114,,
115,0,2023-10-21 10:58:26,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 10:58:35.620000,yulya,2023-10-21 10:58:35.620000,0,,115,,
116,0,2023-10-21 10:58:44,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 10:58:53.957000,yulya,2023-10-21 10:58:53.957000,0,,116,,
117,0,2023-10-21 11:33:10,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 11:34:06.377000,yulya,2023-10-21 11:34:06.380000,0,,117,,
118,0,2023-10-21 11:35:04,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 11:35:33.043000,yulya,2023-10-21 11:35:33.043000,0,,118,,
119,0,2023-10-21 11:35:56,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 11:36:24.140000,yulya,2023-10-21 11:36:24.140000,0,,119,,
120,0,2023-10-21 11:36:43,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 11:37:09.280000,yulya,2023-10-21 11:37:09.280000,0,,120,,
121,0,2023-10-21 11:37:26,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 11:37:43.897000,yulya,2023-10-21 11:37:43.897000,0,,121,,
122,0,2023-10-21 11:45:46,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 11:46:08.267000,yulya,2023-10-21 11:46:08.267000,0,,122,,
123,0,2023-10-21 11:46:28,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 11:46:54.053000,yulya,2023-10-21 11:46:54.053000,0,,123,,
124,0,2023-10-21 11:47:02,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 11:47:26.830000,yulya,2023-10-21 11:47:26.830000,0,,124,,
125,0,2023-10-21 11:52:17,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 11:52:49.243000,yulya,2023-10-21 11:52:49.243000,0,,125,,
126,0,2023-10-21 12:03:14,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:03:42.320000,yulya,2023-10-21 12:03:42.320000,0,,126,,
127,0,2023-10-21 12:04:05,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:04:31.657000,yulya,2023-10-21 12:04:31.657000,0,,127,,
128,0,2023-10-21 12:04:41,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:05:06.723000,yulya,2023-10-21 12:05:06.723000,0,,128,,
129,0,2023-10-21 12:52:41,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:53:01.960000,yulya,2023-10-21 12:53:01.960000,0,,129,,
130,0,2023-10-21 12:53:12,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:53:24.097000,yulya,2023-10-21 12:53:24.100000,0,,130,,
131,0,2023-10-21 12:53:34,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:53:48.033000,yulya,2023-10-21 12:53:48.033000,0,,131,,
132,0,2023-10-21 12:54:02,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:54:15.873000,yulya,2023-10-21 12:54:15.873000,0,,132,,
133,0,2023-10-21 12:54:32,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:54:45.633000,yulya,2023-10-21 12:54:45.633000,0,,133,,
134,0,2023-10-21 12:54:57,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:55:04.663000,yulya,2023-10-21 12:55:04.663000,0,,134,,
135,0,2023-10-21 12:55:18,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:55:29.970000,yulya,2023-10-21 12:55:29.970000,0,,135,,
136,0,2023-10-21 12:55:42,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:55:56.490000,yulya,2023-10-21 12:55:56.493000,0,,136,,
137,0,2023-10-21 12:56:06,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:56:25.977000,yulya,2023-10-21 12:56:25.977000,0,,137,,
138,0,2023-10-21 12:56:37,L001,,,2023-10-21 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-21 12:56:56.810000,yulya,2023-10-21 12:56:56.810000,0,,138,,
139,0,2023-10-23 15:49:42,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:50:24.003000,yulya,2023-10-23 15:50:24.020000,0,,139,,
140,0,2023-10-23 15:50:51,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:51:07.980000,yulya,2023-10-23 15:51:07.980000,0,,140,,
141,0,2023-10-23 15:51:22,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:51:35.587000,yulya,2023-10-23 15:51:35.587000,0,,141,,
142,0,2023-10-23 15:51:52,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:52:12.193000,yulya,2023-10-23 15:52:12.193000,0,,142,,
143,0,2023-10-23 15:52:27,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:52:44.573000,yulya,2023-10-23 15:52:44.573000,0,,143,,
144,0,2023-10-23 15:53:05,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:53:19.293000,yulya,2023-10-23 15:53:19.293000,0,,144,,
145,0,2023-10-23 15:53:34,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:53:48.220000,yulya,2023-10-23 15:53:48.220000,0,,145,,
146,0,2023-10-23 15:54:02,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:54:16.933000,yulya,2023-10-23 15:54:16.933000,0,,146,,
147,0,2023-10-23 15:54:29,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:54:42.873000,yulya,2023-10-23 15:54:42.873000,0,,147,,
148,0,2023-10-23 15:54:55,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:55:11.093000,yulya,2023-10-23 15:55:11.093000,0,,148,,
149,0,2023-10-23 15:55:24,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:55:40.903000,yulya,2023-10-23 15:55:40.903000,0,,149,,
150,0,2023-10-23 15:55:57,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 15:56:11.863000,yulya,2023-10-23 15:56:11.863000,0,,150,,
151,0,2023-10-23 16:54:05,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:54:20.167000,yulya,2023-10-23 16:54:20.167000,0,,151,,
152,0,2023-10-23 16:54:37,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:54:48.710000,yulya,2023-10-23 16:54:48.710000,0,,152,,
153,0,2023-10-23 16:55:00,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:55:13.027000,yulya,2023-10-23 16:55:13.027000,0,,153,,
154,0,2023-10-23 16:55:23,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:55:36.467000,yulya,2023-10-23 16:55:36.467000,0,,154,,
155,0,2023-10-23 16:56:03,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:56:14.070000,yulya,2023-10-23 16:56:14.070000,0,,155,,
156,0,2023-10-23 16:56:27,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:56:49.567000,yulya,2023-10-23 16:56:49.567000,0,,156,,
157,0,2023-10-23 16:57:16,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:57:31.747000,yulya,2023-10-23 16:57:31.747000,0,,157,,
158,0,2023-10-23 16:57:43,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:57:58.313000,yulya,2023-10-23 16:57:58.317000,0,,158,,
159,0,2023-10-23 16:58:15,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:58:26.333000,yulya,2023-10-23 16:58:26.333000,0,,159,,
160,0,2023-10-23 16:58:38,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:58:49.877000,yulya,2023-10-23 16:58:49.877000,0,,160,,
161,0,2023-10-23 16:59:01,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:59:15.777000,yulya,2023-10-23 16:59:15.777000,0,,161,,
162,0,2023-10-23 16:59:29,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 16:59:40.310000,yulya,2023-10-23 16:59:40.310000,0,,162,,
163,0,2023-10-23 16:59:54,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 17:00:05.060000,yulya,2023-10-23 17:00:05.060000,0,,163,,
164,0,2023-10-23 17:00:14,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 17:00:26.570000,yulya,2023-10-23 17:00:26.573000,0,,164,,
165,0,2023-10-23 17:00:37,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 17:00:48.127000,yulya,2023-10-23 17:00:48.127000,0,,165,,
166,0,2023-10-23 17:01:02,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 17:01:12.733000,yulya,2023-10-23 17:01:12.733000,0,,166,,
167,0,2023-10-23 17:01:21,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 17:01:35.827000,yulya,2023-10-23 17:01:35.827000,0,,167,,
168,0,2023-10-23 17:01:50,L001,,,2023-10-23 00:00:00,0E-10,0.000000,,,,yulya,,0,,yulya,2023-10-23 17:01:59.697000,yulya,2023-10-23 17:01:59.697000,0,,168,,
